wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,f_0,f_1,f_5,f_10,f_15,f_20,f_25,f_30,f_35,f_40,f_45,f_50,f_55,f_60,f_65,f_70,f_75,f_80,m_0,m_1,m_5,m_10,m_15,m_20,m_25,m_30,m_35,m_40,m_45,m_50,m_55,m_60,m_65,m_70,m_75,m_80,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-04-18,5,0,,,115,17,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10502099999,41.716532,13,7.5,18.5,,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,2,53,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-04-19,5,0,,,120,17,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10500099999,10.634283,12.425926,9.3333333,17,0,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,0,53,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-04-20,7,0,,,127,17,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10500099999,10.634283,13.092593,5,19.333333,0,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,0,53,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-04-21,3,2,,,130,19,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10500099999,10.634283,14.240741,7.3333333,21,0,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,0,53,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-04-22,4,0,,,134,19,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10500099999,10.634283,15.759259,7,22.333333,0,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,1,54,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-04-23,7,3,,,141,22,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10500099999,10.634283,14.722222,5.6666667,23.333333,0,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,0,54,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-04-24,9,1,,,150,23,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10500099999,10.634283,13.555556,7,20.666667,0,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,0,54,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-04-25,3,1,,,153,24,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10502099999,41.716532,10.222222,6.5,15,0,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,1,55,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-04-26,3,0,,,156,24,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10500099999,10.634283,11.074074,5.3333333,16.666667,0,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,1,56,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-04-27,1,0,,,157,24,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10500099999,10.634283,14.074074,3.6666667,22,0,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,0,56,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-04-28,0,0,,,157,24,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10500099999,10.634283,13.481481,7,19.333333,,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,0,56,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-04-29,7,1,,,164,25,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10500099999,10.634283,13.833333,10.333333,17,0,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,0,56,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-04-30,6,0,,,170,25,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10500099999,10.634283,11.351852,8.6666667,15.666667,,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,2,58,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-05-01,2,0,,,172,25,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10502099999,41.716532,10.472222,7,15,,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,0,58,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-05-02,5,0,,,177,25,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10502099999,41.716532,9.8611111,5.5,13,,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,1,59,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-05-03,3,0,,,180,25,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10500099999,10.634283,11.537037,6.6666667,15.333333,0,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,1,60,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-05-04,1,0,,,181,25,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10500099999,10.634283,11.685185,7.3333333,15.666667,0,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,0,60,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-05-05,3,1,,,184,26,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10500099999,10.634283,9.537037,4.3333333,15,0,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,1,61,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-05-06,1,0,,,185,26,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10500099999,10.634283,10.740741,1.3333333,17.666667,0,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,0,61,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-05-07,2,2,,,187,28,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10500099999,10.634283,13.296296,3.3333333,21,0,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,0,61,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-05-08,3,1,,,190,29,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10500099999,10.634283,15.12963,6.3333333,22,0,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,0,61,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-05-09,1,1,,,191,30,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10502099999,41.716532,16.944444,9,24,0,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,0,61,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-05-10,0,0,,,191,30,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10500099999,10.634283,13.425926,7.6666667,18.666667,,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,0,61,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-05-11,1,2,,,192,32,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10500099999,10.634283,8.3518519,3.3333333,13,0,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,0,61,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-05-12,1,0,,,193,32,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10500099999,10.634283,6.9814815,0.33333333,12.666667,0,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,1,62,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-05-13,1,0,,,194,32,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10500099999,10.634283,8.5925926,2,14.333333,0,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,0,62,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-05-14,0,0,,,194,32,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10500099999,10.634283,9.1851852,2,15,0,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,0,62,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-05-15,1,0,,,195,32,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10500099999,10.634283,9.3333333,2.3333333,15.666667,0,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,0,62,,,,,,,
Q9796,,NL,Netherlands,LI,Limburg,0928,Kerkrade,NL,NLD,2,2020-05-16,0,0,,,195,32,,,,,,,,,,,,2721310,50.866667,6.0666667,155,22,,,10502099999,41.716532,11.444444,2.5,18,0,,193,751,942,989,1082,1144,1182,1140,1100,1086,1252,1364,1328,1191,1056,1017,741,1144,201,783,987,1024,1119,1174,1262,1207,1120,1081,1260,1370,1350,1203,1077,990,626,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45642,18495,18702,,,,,,,3857,4214,4762,4567,4679,5412,4527,3374,1444,361,0,62,,,,,,,
