date,key,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
2020-03-02,AR_S,1,2,,0,0,,,,
2020-03-02,AR_S_084,1,1,,0,0,,,,
2020-03-02,AR_X,1,2,,0,0,,,,
2020-03-02,AR_X_140,1,1,,0,0,,,,
2020-03-02,CH_BL,0,1,,0,0,,,,
2020-03-02,CH_GE,0,3,,0,0,,0,0,
2020-03-02,CH_GR,0,0,,0,0,,0,0,
2020-03-02,CH_JU,0,1,,0,0,,,,
2020-03-02,CH_NE,,1,,,,,,,
2020-03-02,CH_TI,0,0,,0,0,,0,0,
2020-03-02,CH_VD,2,6,,,,,,,
2020-03-02,CH_VS,3,10,,0,0,,0,0,
2020-03-02,CH_ZG,0,0,,0,0,,,,
2020-03-02,ES_AS,1,1,,0,1,,,,
2020-03-02,ES_VC,5,93,,0,3,,,,
2020-03-02,LU,,,,,,0,,,
2020-03-02,MX,1,3,,0,1,,,,
2020-03-02,MX_AGU,0,0,,0,0,,,,
2020-03-02,MX_BCN,0,0,,0,0,,,,
2020-03-02,MX_BCS,0,0,,0,0,,,,
2020-03-02,MX_CAM,0,0,,0,0,,,,
2020-03-02,MX_CHH,0,0,,0,0,,,,
2020-03-02,MX_CHP,0,0,,0,0,,,,
2020-03-02,MX_CMX,0,2,,0,1,,,,
2020-03-02,MX_COA,0,0,,0,0,,,,
2020-03-02,MX_COL,0,0,,0,0,,,,
2020-03-02,MX_DUR,0,0,,0,0,,,,
2020-03-02,MX_GRO,0,0,,0,0,,,,
2020-03-02,MX_GUA,0,0,,0,0,,,,
2020-03-02,MX_HID,0,0,,0,0,,,,
2020-03-02,MX_JAL,0,0,,0,0,,,,
2020-03-02,MX_MEX,1,1,,0,0,,,,
2020-03-02,MX_MIC,0,0,,0,0,,,,
2020-03-02,MX_MOR,0,0,,0,0,,,,
2020-03-02,MX_NAY,0,0,,0,0,,,,
2020-03-02,MX_NLE,0,0,,0,0,,,,
2020-03-02,MX_OAX,0,0,,0,0,,,,
2020-03-02,MX_PUE,0,0,,0,0,,,,
2020-03-02,MX_QUE,0,0,,0,0,,,,
2020-03-02,MX_ROO,0,0,,0,0,,,,
2020-03-02,MX_SIN,0,0,,0,0,,,,
2020-03-02,MX_SLP,0,0,,0,0,,,,
2020-03-02,MX_SON,0,0,,0,0,,,,
2020-03-02,MX_TAB,0,0,,0,0,,,,
2020-03-02,MX_TAM,0,0,,0,0,,,,
2020-03-02,MX_TLA,0,0,,0,0,,,,
2020-03-02,MX_VER,0,0,,0,0,,,,
2020-03-02,MX_YUC,0,0,,0,0,,,,
2020-03-02,MX_ZAC,0,0,,0,0,,,,
2020-03-02,PH_03,0,0,,,,,,,
2020-03-02,PH_03_TAR,0,0,,,,,,,
2020-03-02,ZA,,,,0,0,,0,0,
2020-03-03,AR,5,45,,0,7,,,,
2020-03-03,AR_B,2,13,,0,4,,,,
2020-03-03,AR_B_490,1,2,,0,2,,,,
2020-03-03,AR_B_840,1,1,,0,0,,,,
2020-03-03,AR_C,2,18,,0,3,,,,
2020-03-03,AR_C_001,0,2,,0,0,,,,
2020-03-03,AR_C_003,1,2,,0,0,,,,
2020-03-03,AR_C_013,1,1,,0,0,,,,
2020-03-03,AR_E,1,1,,0,0,,,,
2020-03-03,AR_E_015,1,1,,0,0,,,,
2020-03-03,CH_BL,0,1,,0,0,,,,
2020-03-03,CH_GE,1,4,,0,0,,0,0,
2020-03-03,CH_GR,0,0,,0,0,,0,0,
2020-03-03,CH_JU,0,1,,0,0,,,,
2020-03-03,CH_NE,0,1,,,,,,,
2020-03-03,CH_TI,0,0,,0,0,,0,0,
2020-03-03,CH_VD,2,8,,,,,,,
2020-03-03,CH_VS,2,12,,0,0,,0,0,
2020-03-03,CH_ZG,0,0,,0,0,,,,
2020-03-03,ES_AS,0,1,,0,1,,,,
2020-03-03,ES_VC,12,105,,2,5,,,,
2020-03-03,LU,,,,,,0,,,
2020-03-03,MX,0,3,,0,1,,,,
2020-03-03,MX_AGU,0,0,,0,0,,,,
2020-03-03,MX_BCN,0,0,,0,0,,,,
2020-03-03,MX_BCS,0,0,,0,0,,,,
2020-03-03,MX_CAM,0,0,,0,0,,,,
2020-03-03,MX_CHH,0,0,,0,0,,,,
2020-03-03,MX_CHP,0,0,,0,0,,,,
2020-03-03,MX_CMX,0,2,,0,1,,,,
2020-03-03,MX_COA,0,0,,0,0,,,,
2020-03-03,MX_COL,0,0,,0,0,,,,
2020-03-03,MX_DUR,0,0,,0,0,,,,
2020-03-03,MX_GRO,0,0,,0,0,,,,
2020-03-03,MX_GUA,0,0,,0,0,,,,
2020-03-03,MX_HID,0,0,,0,0,,,,
2020-03-03,MX_JAL,0,0,,0,0,,,,
2020-03-03,MX_MEX,0,1,,0,0,,,,
2020-03-03,MX_MIC,0,0,,0,0,,,,
2020-03-03,MX_MOR,0,0,,0,0,,,,
2020-03-03,MX_NAY,0,0,,0,0,,,,
2020-03-03,MX_NLE,0,0,,0,0,,,,
2020-03-03,MX_OAX,0,0,,0,0,,,,
2020-03-03,MX_PUE,0,0,,0,0,,,,
2020-03-03,MX_QUE,0,0,,0,0,,,,
2020-03-03,MX_ROO,0,0,,0,0,,,,
2020-03-03,MX_SIN,0,0,,0,0,,,,
2020-03-03,MX_SLP,0,0,,0,0,,,,
2020-03-03,MX_SON,0,0,,0,0,,,,
2020-03-03,MX_TAB,0,0,,0,0,,,,
2020-03-03,MX_TAM,0,0,,0,0,,,,
2020-03-03,MX_TLA,0,0,,0,0,,,,
2020-03-03,MX_VER,0,0,,0,0,,,,
2020-03-03,MX_YUC,0,0,,0,0,,,,
2020-03-03,MX_ZAC,0,0,,0,0,,,,
2020-03-03,PH_00,2,2,,,,,,,
2020-03-03,PH_40,1,1,,,,,,,
2020-03-03,PH_40_BTG,1,1,,,,,,,
2020-03-03,ZA,,,,0,0,,0,0,
2020-03-04,AR,13,58,,2,9,,,,
2020-03-04,AR_B,2,15,,0,4,,,,
2020-03-04,AR_B_490,2,4,,0,2,,,,
2020-03-04,AR_C,7,25,,1,4,,,,
2020-03-04,AR_C_001,1,3,,1,1,,,,
2020-03-04,AR_C_002,2,3,,0,0,,,,
2020-03-04,AR_C_015,1,1,,0,0,,,,
2020-03-04,AR_M,2,5,,1,1,,,,
2020-03-04,AR_M_098,1,1,,1,1,,,,
2020-03-04,AR_M_105,1,1,,0,0,,,,
2020-03-04,AR_R,1,1,,0,0,,,,
2020-03-04,AR_R_042,1,1,,0,0,,,,
2020-03-04,CH_BL,0,1,,0,0,,,,
2020-03-04,CH_GE,0,4,,0,0,,0,0,
2020-03-04,CH_GR,0,0,,0,0,,0,0,
2020-03-04,CH_JU,0,1,,0,0,,,,
2020-03-04,CH_NE,3,4,,,,,,,
2020-03-04,CH_SZ,,1,,,,,,,
2020-03-04,CH_TI,0,0,,0,0,,0,0,
2020-03-04,CH_VD,3,11,,,1,,,,
2020-03-04,CH_VS,1,13,,0,0,,0,0,
2020-03-04,CH_ZG,0,0,,0,0,,,,
2020-03-04,ES_AS,0,1,,0,1,,,,
2020-03-04,ES_VC,12,117,,1,6,,,,
2020-03-04,LU,,,,,,0,,,
2020-03-04,MX,2,5,,0,1,,,,
2020-03-04,MX_AGU,0,0,,0,0,,,,
2020-03-04,MX_BCN,0,0,,0,0,,,,
2020-03-04,MX_BCS,0,0,,0,0,,,,
2020-03-04,MX_CAM,0,0,,0,0,,,,
2020-03-04,MX_CHH,0,0,,0,0,,,,
2020-03-04,MX_CHP,0,0,,0,0,,,,
2020-03-04,MX_CMX,1,3,,0,1,,,,
2020-03-04,MX_COA,0,0,,0,0,,,,
2020-03-04,MX_COL,0,0,,0,0,,,,
2020-03-04,MX_DUR,0,0,,0,0,,,,
2020-03-04,MX_GRO,0,0,,0,0,,,,
2020-03-04,MX_GUA,0,0,,0,0,,,,
2020-03-04,MX_HID,0,0,,0,0,,,,
2020-03-04,MX_JAL,0,0,,0,0,,,,
2020-03-04,MX_MEX,1,2,,0,0,,,,
2020-03-04,MX_MIC,0,0,,0,0,,,,
2020-03-04,MX_MOR,0,0,,0,0,,,,
2020-03-04,MX_NAY,0,0,,0,0,,,,
2020-03-04,MX_NLE,0,0,,0,0,,,,
2020-03-04,MX_OAX,0,0,,0,0,,,,
2020-03-04,MX_PUE,0,0,,0,0,,,,
2020-03-04,MX_QUE,0,0,,0,0,,,,
2020-03-04,MX_ROO,0,0,,0,0,,,,
2020-03-04,MX_SIN,0,0,,0,0,,,,
2020-03-04,MX_SLP,0,0,,0,0,,,,
