key,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area
AR_B_217,,-35.566666666667,-58.016666666667,9,,,
AR_B_224,,-34.9,-60.033333333333,53,,,
AR_B_231,,-36.6,-60.75,116,3820,,
AR_B_238,,-36.316666666667,-57.666666666667,6,,,
AR_B_245,,-34.866666666667,-57.9,7,,,
AR_B_252,,-34.35,-58.766666666667,3,,,
AR_B_260,,-34.8,-58.466666666667,30,,,
AR_B_266,,-34.294144444444,-59.099266666667,37,,,
AR_B_270,,-34.833333333333,-58.55,22,,,
AR_B_274,,-34.816666666667,-58.283333333333,23,,,
AR_B_277,,-34.85,-62.4666666666667,117,,,
AR_B_280,2621700,-38.155833,-58.028333,56,,,
AR_B_287,,-36.033333333333,-60.016666666667,59,,,
AR_B_294,,-34.3,-61.3,90,,,
AR_B_301,,-35.75,-58.5,24,,,
AR_B_308,,-36.65,-57.783333333333,20,,,
AR_B_315,,-37.001944,-57.136111,6,2978,,
AR_B_322,2597520,-37.25,-61.25,196,,,
AR_B_329,,-34.9166666666667,-58.9333333333333,34,,,
AR_B_336,,-36.416666666667,-56.95,2,,,
AR_B_343,,-35.533333333333,-58.283333333333,20,,,
AR_B_351,,-36.033333333333,-59.1,101,,,
AR_B_357,2621716,-38.003333333333,-57.552777777778,94,,,
AR_B_364,,-34.616666666667,-58.95,100,,,
AR_B_371,,-34.566666666667,-58.516666666667,28,,,
AR_B_385,,-35,-61.033333333333,72,,,
AR_B_392,,-35.03,-63.009833333333,123,,,
AR_B_399,,-37,-62.4,124,,,
AR_B_406,,-36.283333333333,-61.716666666667,105,,,
AR_B_408,,-34.6,-58.633333333333,8,,,
AR_B_410,,-34.652222,-58.675,30,,,
AR_B_412,,-34.51,-58.78,35,,,
AR_B_413,,-34.583333333333,-60.95,87,,,
AR_B_420,,-36.566666666667,-56.683333333333,7,,,
AR_B_427,,-34.716666666667,-58.633333333333,15,326,,
AR_B_434,,-34.7,-58.4,8,,,
AR_B_441,,-34.916666666667,-57.95,23,,,
AR_B_448,2598224,-37.55,-60.8,212,,,
AR_B_455,,-36.033333333333,-59.1,37,,,
AR_B_462,,-34.5,-61.483333333333,87,,,
AR_B_469,,-34.866666666667,-61.533333333333,92,,,
AR_B_476,2599688,-38.16156,-58.77274,93,,,
AR_B_483,,-35.216666666667,-59.183333333333,33,,,
AR_B_490,,-34.76666667,-58.4,16,,,
AR_B_497,,-34.566666666667,-59.1,21,,,
AR_B_505,,-35.083333333333,-57.516666666667,18,,,
AR_B_511,,-36.866666666667,-57.866666666667,6,,,
AR_B_515,,-34.45,-58.63,30,,,
AR_B_518,2621605,-34.666666666667,-59.433333333333,26,,,
AR_B_525,,-34.766666666667,-58.833333333333,26,,,
AR_B_532,,-34.666666666667,-59.433333333333,43,,,
AR_B_539,,-34.666666666667,-58.716666666667,20,170,,
AR_B_547,,-35.45,-58.783333333333,23,,,
AR_B_553,2584665,-38.983333333333,-61.25,13,,,
AR_B_560,,-34.65,-58.783333333333,27,,,
AR_B_568,,-34.65,-58.616666666667,31,56,,
AR_B_574,,-35.016666666667,-59.266666666667,44,,,
AR_B_581,2598290,-38.55,-58.733333333333,16,,,
AR_B_588,,-38.466666666667,-60.95,78,,,
AR_B_595,,-35.7,-63,150,,,
AR_B_602,2582656,-40.816666666667,-63,40,,,
AR_B_609,,-35.8,-61.866666666667,87,,,
AR_B_616,,-36.26666667,-63.16666667,110,,,
AR_B_623,,-33.883333333333,-60.583333333333,68,,,
AR_B_630,,-36.016666666667,-58.116666666667,17,,,
AR_B_638,,-34.466666666667,-58.916666666667,,,,
AR_B_644,,-37.116666666667,-56.866666666667,20,,,
AR_B_648,,-34.466666666667,-58.916666666667,32,,,
AR_B_651,2581390,-37.55,-67.6,245,,,
AR_B_655,,-35.266666666667,-57.216666666667,19,,,
AR_B_658,,-34.716666666667,-58.266666666667,13,,,
AR_B_665,,-33.483333333333,-60.016666666667,34,,,
AR_B_672,,-36.766666666667,-59.1,57,4300,,
AR_B_679,,-35.650833,-63.254444,105,,,
AR_B_686,,-34.2,-60.733333333333,70,,,
AR_B_693,,-35.416666666667,-59.316666666667,32,,,
AR_B_700,2592550,-37.783333333333,-62.35,325,,,
AR_B_707,,-35.633333333333,-57.766666666667,38,,,
AR_B_714,,-34.3,-60.25,59,,,
AR_B_721,,-36.75,-62.833333333333,128,,,
AR_B_728,,-34.433333333333,-59.433333333333,48,,,
AR_B_735,,-34.25,-59.466666666667,27,,,
AR_B_742,2590286,-38.366666666667,-60.266666666667,77,,,
AR_B_749,,-34.45,-58.566666666667,21,,,
AR_B_756,,-34.466666666667,-58.5,27,,,
AR_B_760,,-34.55,-58.7,29,,,
AR_B_763,,-33.329833333333,-60.229833333333,53,,,
AR_B_770,,-33.666666666667,-59.666666666667,35,,,
AR_B_778,,-35.016666666667,-58.416666666667,23,,,
AR_B_784,,-34.766666666667,-59.683333333333,51,,,
AR_B_791,2607680,-37.066666666667,-59.133333333333,284,,,
AR_B_798,,-36.3818,-60.0355,88,,,
AR_B_805,,-34.416666666667,-58.583333333333,7,,,
AR_B_812,,-36.5,-57.316666666667,3,,,
AR_B_819,2586980,-38.1,-62.216666666667,252,,,
AR_B_826,,-35.966666666667,-62.683333333333,99,,,
AR_B_833,2590085,-38.366666666667,-60.266666666667,76,,,
AR_B_840,1767378,-34.598056,-58.565,2688,45,,
AR_B_847,,-36.458889,-62.861389,114,,,
AR_B_854,,-35.5,-60.25,53,,,
AR_B_861,1224657,-34.516666666667,-58.483333333333,11,,,
AR_B_868,,-37.25,-56.95,9,,,
AR_B_875,2582585,-38.816666666667,-62.7,32,11400,,
AR_B_882,,-34.1,-59.033333333333,25,1202,,
AR_C,1224652,-34.599722222222,-58.381944444444,25,203,,
AR_C_002,2224056,-34.590555555556,-58.390555555556,,5,,
AR_C_006,2221428,-34.616666666667,-58.45,33,7,,
AR_C_014,2222226,-34.588888888889,-58.430555555556,,16,,
AR_D,153538,-33.3,-66.35,592,76748,,
AR_D_007,,-32.6,-66.11666667,401,,,
AR_D_014,,-32.65,-66.45,,6626,,
AR_D_021,,-33.05,-65.61666667,,4484,,
AR_D_028,,-32.65,-65.23333333,759,2651,,
AR_D_035,,-33.66666667,-65.45,,,,
AR_D_042,,-34.75,-65.25,,19632,,
AR_D_049,,-32.33333333,-65.2,743,2476,,
AR_D_056,,-33.3,-66.33333333,,,,
AR_D_063,,-32.5778,-65.678,,3022,,
AR_E,153551,-32.0477,-60.281,57,78781,,
AR_E_008,,-32.224166666667,-58.144444444444,23,,,
AR_E_015,,-31.3916,-58.0177,,,,
AR_E_021,,-32.0644,-60.6425,,,,
AR_E_028,,-30.75694444,-57.985,,,,
AR_E_035,,-30.95611111,-58.77972222,68,,,
AR_E_042,,-30.385,-58.75194444,,,,
AR_E_049,,-33.1333,-59.3167,,,,
AR_E_056,,-33.016666666667,-58.516666666667,6,7086,,
AR_E_063,,-33.7137,-58.6648,,,,
AR_E_070,,-30.75,-59.65,,,,
AR_E_077,,-32.39555556,-59.78805556,,,,
AR_E_084,,-31.73305556,-60.53,,,,
AR_E_088,,-31.616666666667,-58.5,,1228,,
AR_E_091,,-32.30333333,-59.14138889,,,,
AR_E_098,,-32.48138889,-58.2325,,,,
AR_E_105,,-32.6217,-60.1578,6,,,
AR_E_113,,-31.86416667,-59.02694444,52,,,
AR_F,153536,-29.433333333333,-66.85,,89680,,
AR_F_007,,-28.569444,-66.798889,819,,,
AR_F_014,,-29.4333,-66.85,,,,
AR_F_021,,-28.84083333,-66.93972222,,,,
AR_F_028,,-29.31777778,-68.22777778,,,,
AR_F_035,,-30.35916667,-66.31333333,,,,
AR_F_042,,-29.165,-67.49527778,,,,
AR_F_049,,-28.92472222,-67.51972222,2681,6371,,
AR_F_056,,-30.5075,-66.52861111,,,,
AR_F_063,,-30.6316,-66.2663,,,,
AR_F_070,,-30.805,-66.60333333,,,,
AR_F_077,,-29.01083333,-68.22638889,,,,
AR_F_084,,-31.00861111,-65.9925,,,,
AR_F_091,,-31.5667,-66.25,,,,
AR_F_098,,-28.75361111,-68.20444444,4358,,,
AR_F_105,,-30.1333,-66.95,,,,
AR_F_112,,-31.34083333,-66.59138889,,,,
AR_F_119,,-28.41444444,-67.09861111,1627,,,
AR_F_126,,-29.28222222,-67.02111111,,,,
AR_G,153544,-27.783333333333,-64.266666666667,135,136351,,
AR_G_007,,-29.13333333,-62.65,,3692,,
AR_G_014,,-26.58388889,-62.84722222,,13507,,
AR_G_021,,-28.49333333,-63.8175,,,,
AR_G_028,,-28.5,-63.16667,113,3902,,
AR_G_035,,-27.73527778,-64.24333333,,3597,,
AR_G_042,,-28.9,-62.2667,,3314,,
AR_G_049,,-27.8,-64.2667,,2116,,
AR_G_056,,-25.80611111,-62.83138889,,12604,,
AR_G_063,,-28.6361,-65.1169,,6492,,
AR_G_070,,-27.70888889,-63.77416667,,,,
AR_G_077,,-28.46,-62.83388889,,6040,,
AR_G_084,,-27.95,-65.166666666667,648,2588,,
AR_G_091,,-27.16333333,-64.49083333,,4832,,
AR_G_098,,-27.93555556,-63.42916667,,9139,,
AR_G_105,,-28.30222222,-64.17888889,,,,
AR_G_112,,-29.5,-62.83333,82,,,
AR_G_119,,-27.63333333,-62.41666667,156,16127,,
AR_G_126,,-29.49916667,-63.695,,,,
AR_G_133,,-26.2,-64.24111111,,,,
AR_G_140,,-29.38277778,-63.47222222,,,,
AR_G_147,,-27.4975,-64.86305556,,2124,,
AR_G_154,,-29.7667,-62.0333,,3402,,
AR_G_161,,-27.91777778,-63.89527778,,1424,,
AR_G_168,,-28.985,-63.45055556,,,,
AR_G_175,,-28.25,-63.95,,,,
AR_G_182,,-28.15,-63.5333,,1549,,
AR_G_189,,-28.045,-64.22388889,,,,
AR_H,153554,-27.451388888889,-58.986666666667,102,99633,,
AR_H_007,,-26.516666666667,-61.166666666667,,,,
AR_H_014,,-27.05,-58.716666666667,,,,
AR_H_021,,-26.8,-60.45,,,,
AR_H_028,,-27.216666666667,-61.2,,,,
AR_H_036,,-27.316666666667,-61.25,,,,
AR_H_039,,-27.616666666667,-61.35,,,,
AR_H_043,,-27.816666666667,-61.15,,,,
AR_H_049,,-26.95,-60.966666666667,,,,
AR_H_056,,-27.216666666667,-59.283333333333,65,,,
AR_H_063,,-25.933333333333,-60.616666666667,,,,
AR_H_070,,-26.8,-60.35,101,,,
AR_H_077,,-27.383333333333,-59.083333333333,70,,,
AR_H_084,,-26.533333333333,-59.333333333333,,,,
AR_H_091,,-26.35,-60.433333333333,,,,
AR_H_098,,-27.583333333333,-60.716666666667,,,,
AR_H_105,,-27.083333333333,-61.083333333333,,,,
AR_H_112,,-27.283333333333,-60.7,,,,
AR_H_119,,-27.016666666667,-59.85,,,,
AR_H_126,,-27.266666666667,-58.966666666667,,,,
AR_H_133,,-26.866666666667,-60.216666666667,,,,
AR_H_140,,-27.45,-58.983333333333,50,,,
AR_H_147,,-27.283333333333,-60.416666666667,,,,
AR_H_154,,-26.933333333333,-59.533333333333,79,,,
AR_H_161,,-27.633333333333,-59.9,,,,
AR_H_168,,-26.916666666667,-60.05,,,,
AR_J,153539,-30.87,-68.98,2269,89651,,
AR_J_007,,-31.41666667,-68.5,,,,
AR_J_014,,-31.4,-68.36666667,840,,,
AR_J_021,,-31.36666667,-69.5,2933,,,
AR_J_028,,-31.516666666667,-68.533333333333,645,,,
AR_J_035,,-31.66666667,-68.13333333,589,,,
AR_J_042,,-31.48333333,-68.53333333,639,,,
AR_J_049,,-30.18333333,-69.15,3348,,,
AR_J_056,,-30.21666667,-68.58333333,1088,,,
AR_J_063,,-31.61666667,-68.38333333,,,,
AR_J_070,,-31.65,-68.55,661,,,
AR_J_077,,-31.56666667,-68.51666667,,,,
AR_J_084,,-31.51666667,-68.6,726,,,
AR_J_091,,-31.5,-68.28333333,,,,
AR_J_098,,-31.53333333,-68.46666667,608,,,
AR_J_105,,-32,-68.51666667,850,,,
AR_J_112,,-31.416666666667,-68.733333333333,,,,
AR_J_119,,-30.666666666667,-67.433333333333,879,,,
AR_J_126,,-31.8167,-68.2,,,,
AR_J_133,,-31.55,-68.7667,1940,,,
AR_K,153545,-28.466666666667,-65.783333333333,3347,102602,,
AR_K_007,,-28.170555555556,-65.791388888889,1505,,,
AR_K_014,,-28.8125,-65.50083333,933,,,
AR_K_021,,-27.6,-66.316666666667,954,,,
AR_K_028,,-26,-67.566666666667,,,,
AR_K_035,,-27.65,-67.033333333333,,,,
AR_K_042,,-28.733333333333,-65.983333333333,369,,,
AR_K_049,,-28.466666666667,-65.783333333333,,,,
AR_K_056,,-28.3,-65.366666666667,,,,
AR_K_063,,-28.383333333333,-65.7,808,,,
AR_K_070,,-29.266666666667,-65.033333333333,255,,,
AR_K_077,,-28.166666666667,-65.683333333333,971,,,
AR_K_084,,-28.173889,-66.211389,,4859,,
AR_K_091,,-26.683333333333,-66.033333333333,2858,,,
AR_K_098,,-28.1,-65.316666666667,,,,
AR_K_105,,-28.066666666667,-67.566666666667,4278,,,
AR_K_112,,-28.58333,-65.75,473,,,
AR_L,153541,-36.616666666667,-64.283333333333,279,143440,,
AR_L_007,,-37.1244,-63.6669,,,,
AR_L_014,,-38.982222222222,-64.090555555556,65,9078,,
AR_L_021,,-36.6203,-64.2906,,,,
AR_L_028,,-36.4064,-63.4236,,,,
AR_L_035,,-35.9158,-64.2958,,,,
AR_L_042,,-38.1397,-65.9158,,,,
AR_L_049,,-36.2256,-66.9403,,,,
AR_L_056,,-35.2347,-63.5919,,,,
AR_L_070,,-37.6642,-63.5378,,,,
AR_L_077,,-37.9019,-63.7433,,,,
AR_L_098,,-36.2164,-65.4372,,,,
AR_L_105,,-35.6525,-63.7581,,,,
AR_L_112,,-37.7686,-67.7139,,13160,,
AR_L_119,,-36.0544,-63.5661,,2557,,
AR_L_126,,-35.0681,-64.6839,,,,
AR_L_133,,-35.0678,-64.6839,,,,
AR_L_140,,-36.6736,-64.3797,278,5092,,
AR_L_147,,-35.6981,-64.1333,,,,
AR_L_154,,-37.3781,-64.6047,,,,
AR_M,153540,-32.890277777778,-68.847222222222,875,148827,,
AR_M_007,,-32.883333333333,-68.833333333333,769,54,,
AR_M_014,,-34.966666666667,-67.7,,,,
AR_M_021,,-32.916666666667,-68.816666666667,859,,,
AR_M_028,,-32.9,-68.783333333333,651,,,
AR_M_035,,-33.25,-68.716666666667,672,,,
AR_M_042,,-33.466666666667,-67.55,462,,,
AR_M_049,,-32.85,-68.816666666667,3611,,,
AR_M_056,,-32.716666666667,-68.583333333333,563,,,
AR_M_063,,-33.5,-62.966666666667,2392,,,
AR_M_070,,-32.966666666667,-68.766666666667,663,,,
AR_M_077,,-36.166666666667,-69.333333333333,,,,
AR_M_084,,-33.183333333333,-68.466666666667,,,,
AR_M_091,,-33.766666666667,-69.033333333333,,,,
AR_M_098,,-33.066666666667,-68.316666666667,604,,,
AR_M_105,,-34.616666666667,-68.316666666667,1300,31235,,
AR_M_112,,-33.283333333333,-68.033333333333,569,,,
AR_M_119,,-33.568888888889,-69.026388888889,,,,
AR_M_126,,-33.25,-69.25,1603,,,
AR_N,153553,-26.92,-54.52,190,29801,,
AR_N_007,,-27.914167,-55.755,,,,
AR_N_014,,-27.216667,-54.966667,,,,
AR_N_021,,-27.3694,-55.5822,,875,,
AR_N_028,,-27.4,-55.91,,,,
AR_N_035,,-27.9863288,-55.52531,,,,
AR_N_042,,-26.401111111111,-54.618611111111,,,,
AR_N_049,,-26.25,-53.65,,,,
AR_N_056,,-27.298611,-54.198611,,,,
AR_N_063,,-26.020556,-54.615278,,,,
AR_N_070,,-27.603889,-55.323611,,,,
AR_N_077,,-26.8,-55.033333,,,,
AR_N_084,,-26.567222,-54.765833,429,,,
AR_N_091,,-27.483333,-55.133333,,,,
AR_N_098,,-27.258889,-55.539167,,,,
AR_N_105,,-27.873889,-55.135,197,,,
AR_N_112,,-26.633333333333,-54.116666666667,562,,,
AR_N_119,,-27.569167,-54.684167,,,,
AR_P,2849847,-26.183333333333,-58.175,115,72066,,
AR_P_007,,-24.25,-61.25,,12850,,
AR_P_014,,-26.18333333,-58.175,,,,
AR_P_021,,-26.24527778,-58.62916667,,3480,,
AR_P_028,,-23.89888889,-61.85555556,,4431,,
AR_P_035,,-25.33333333,-59.68333333,,,,
AR_P_042,,-24.98138889,-58.55277778,,3041,,
AR_P_049,,-25.286111111111,-57.7225,67,,,
AR_P_056,,-25.73277778,-59.11,,8425,,
AR_P_063,,-23.19,-62.04361111,,3800,,
AR_Q,1606727,-38.951666666667,-68.074444444444,1086,94078,,
AR_Q_007,,-39.238333333333,-70.915555555556,,5200,,
AR_Q_014,,-38.354166666667,-68.787777777778,228,11655,,
AR_Q_021,,-39.556666666667,-70.593888888889,940,5490,,
AR_Q_028,,-40.048333333333,-70.075,568,5730,,
AR_Q_035,,-38.951388888889,-68.059166666667,812,7352,,
AR_Q_042,,-37.378333333333,-70.272222222222,,4330,,
AR_Q_049,,-39.950833333333,-71.070833333333,,4012,,
AR_Q_056,,-40.156666666667,-71.3525,2310,4930,,
AR_Q_063,,-38.066666666667,-70.614722222222,1432,5506,,
AR_Q_070,,-40.761944444444,-71.643055555556,1862,4230,,
AR_Q_077,,-37.1797,-70.6697,,6225,,
AR_Q_084,,-37.644722222222,-70.581666666667,,5545,,
AR_Q_091,,-37.390277777778,-68.925277777778,,8720,,
AR_Q_098,,-39.518611111111,-69.291111111111,,4580,,
AR_Q_105,,-38.523333333333,-70.361666666667,,5913,,
AR_Q_112,,-38.902777777778,-70.064722222222,868,5200,,
AR_R,153547,-40.8,-63,,203013,,
AR_R_007,,-40.80833333,-62.99472222,,,,
AR_R_014,,-39.2922,-65.6625,274,,,
AR_R_021,,-41.133333,-71.283333,,,,
AR_R_028,,-40.102222222222,-64.449444444444,,,,
AR_R_035,,-39.92722222,-68.34527778,,,,
AR_R_042,,-39.02,-67.61,,,,
AR_R_049,,-40.6,-67.783333,,,,
AR_R_063,,-39.016667,-64.083333,,,,
AR_R_070,,-41.1225,-70.72166667,,,,
AR_R_077,,-40.7167,-64.9167,,14015,,
AR_R_084,,-40.6799876,-66.165471,415,,,
AR_R_091,,-41.2503,-68.7041,,,,
AR_S,153543,-33.722777777778,-62.246111111111,53,133007,,
AR_S_007,,-32.5,-61.75,113,2386,,
AR_S_014,,-33.05,-61.166666666667,93,3449,,
AR_S_021,,-31.266666666667,-61.483333333333,103,6600,,
AR_S_028,,-33.233333333333,-60.333333333333,73,3225,,
AR_S_035,,-31.1,-60.083333333333,,3964,,
AR_S_042,,-33.65,-61.45,,11558,,
AR_S_049,,-29.666666666667,-59.2,56,10928,,
AR_S_056,,-32.816666666667,-61.4,,3184,,
AR_S_063,,-31.633333333333,-60.7,,3055,,
AR_S_070,,-31.416666666667,-60.933333333333,,6439,,
AR_S_077,,-29.233333333333,-61.766666666667,,16870,,
AR_S_084,,-32.95,-60.666666666667,,1890,,
AR_S_091,,-30.316666666667,-61.233333333333,,14850,,
AR_S_098,,-30.583333333333,-59.95,22,6929,,
AR_S_105,,-31.966666666667,-60.916666666667,,4282,,
AR_S_112,,-30.783333333333,-60.583333333333,,5575,,
AR_S_119,,-32.75,-60.733333333333,67,1867,,
AR_S_126,,-31.75,-61.833333333333,,4860,,
AR_S_133,,-29,-60.5,57,21096,,
AR_T,153558,-27,-65.5,551,22524,,
AR_T_007,,-26.50027778,-64.74194444,,,,
AR_T_014,,-26.84,-65.16194444,,,,
AR_T_021,,-27.34583333,-65.59277778,,,,
AR_T_028,,-27.05,-65.4,750,427,,
AR_T_035,,-27.64666667,-65.44027778,321,1678,,
AR_T_042,,-27.585555555556,-65.6175,,730,,
AR_T_049,,-27.771111111111,-65.585555555556,,917,,
AR_T_056,,-27.032777777778,-65.307222222222,,2027,,
AR_T_063,,-26.921944444444,-65.337777777778,416,540,,
AR_T_070,,-27.165,-65.497777777778,393,1169,,
AR_T_077,,-27.4333,-65.6167,461,585,,
AR_T_084,,-26.8333,-65.2,447,90,,
AR_T_091,,-27.263055555556,-65.357777777778,327,1261,,
AR_T_098,,-26.846388888889,-65.708888888889,1998,2741,,
AR_T_105,,-26.73444444,-65.25916667,627,,,
AR_T_112,,-26.2308,-65.2833,1701,2862,,
AR_T_119,,-26.81826,-65.31733,516,160,,
AR_U,153548,-43.3,-65.1,447,224686,,
AR_U_007,,-42.766666666667,-65.033333333333,,12940,,
AR_U_014,,-42.9,-71.31666667,,16250,,
AR_U_021,,-45.866666666667,-67.5,,14015,,
AR_U_028,,-44.766666666667,-65.716666666667,,16088,,
AR_U_035,,-42.9,-71.316666666667,,9435,,
AR_U_042,,-43.266666666667,-65.466666666667,,11076,,
AR_U_070,,-43.85,-69.033333333333,,22300,,
AR_U_077,,-43.283333333333,-65.083333333333,,3922,,
AR_U_084,,-45.016666666667,-70.816666666667,,22335,,
AR_U_091,,-45.583333333333,-69.083333333333,,14563,,
AR_U_098,,-44.016666666667,-70.466666666667,,14750,,
AR_U_105,,-42.383333333333,-66.95,611,19893,,
AR_V,153550,-54.362,-67.638,144,21571,,
AR_V_007,,-53.7864,-67.6967,,12181,,
AR_V_014,2654896,-54.62912,-67.8962,838,9390,,
AR_V_028,,-75,-49.5,,,,
AR_W,153552,-28.66,-57.63,96,88199,,
AR_W_007,3125242,-28.466666666667,-59.05,,1751,,
AR_W_014,3126747,-27.55,-57.533333333333,74,804,,
AR_W_021,3127758,-27.483333333333,-58.816666666667,62,90,,
AR_W_028,3127986,,,68,5124,,
AR_W_035,3134515,,,,8205,,
AR_W_042,3125243,,,63,1958,,
AR_W_049,3134516,-30,-59.33333,39,3928,,
AR_W_056,3138395,,,71,,,
AR_W_063,,-27.75,-57.616666666667,70,,,
AR_W_070,,-29.15,-59.25,31,,,
AR_W_077,,-27.266666666667,-58.25,,,,
AR_W_084,,-27.6,-56.666666666667,,,,
AR_W_091,,-29.016666666667,-59.166666666667,65,,,
AR_W_098,,-28.05,-58.216666666667,68,,,
AR_W_105,,-29.2,-58.083333333333,,,,
AR_W_112,,-30.25,-57.633333333333,52,,,
AR_W_119,,-29.66667,-57.25,58,4700,,
AR_W_126,,-28.25,-58.75,66,1907,,
AR_W_133,,-27.516666666667,-58.566666666667,,,,
AR_W_147,,-29.183333333333,-56.65,,,,
AR_W_154,,-28,-57.6,69,,,
AR_W_161,,-28.566666666667,-58.716666666667,65,,,
AR_W_168,,-28.55,-56.033333333333,99,,,
AR_W_175,,-30.066666666667,-58.766666666667,72,,,
AR_X,3592494,-32,-64,373,165321,,
AR_X_007,,-31.983333333333,-64.366666666667,584,4642,,
AR_X_014,,-31.41667,-64.2,409,562,,
AR_X_021,,-30.983333333333,-64.083333333333,531,2588,,
