date,key,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
2020-05-16,DE_NW,-34,-6,70,-28,-6,6
2020-05-16,DE_RP,-28,-4,65,-31,-7,5
2020-05-16,DE_SH,-34,-5,60,-20,-5,6
2020-05-16,DE_SL,-38,-12,67,-38,-13,6
2020-05-16,DE_SN,-27,-5,88,-15,13,1
2020-05-16,DE_ST,-32,-4,61,-22,8,2
2020-05-16,DE_TH,-27,-4,77,-5,9,1
2020-05-16,DK,-30,0,38,-37,-8,6
2020-05-16,DO,-63,-40,-53,-73,-46,22
2020-05-16,DO_01,-71,-45,-68,-82,-56,24
2020-05-16,DO_02,-53,-33,-51,,-25,
2020-05-16,DO_03,,,-34,,-21,
2020-05-16,DO_04,-56,-30,-59,,-35,
2020-05-16,DO_05,,,,,-33,
2020-05-16,DO_06,-61,-43,-44,-67,-45,
2020-05-16,DO_08,,,,,-32,
2020-05-16,DO_09,-52,-33,-51,-66,-41,
2020-05-16,DO_11,-72,-48,-75,-92,-62,28
2020-05-16,DO_12,-59,-30,-60,-79,-46,23
2020-05-16,DO_13,-56,-33,-59,-65,-37,19
2020-05-16,DO_14,-56,-34,-58,-60,-34,
2020-05-16,DO_15,-41,-25,-42,,-21,
2020-05-16,DO_17,-59,-29,-51,,-32,
2020-05-16,DO_18,-65,-39,-64,-75,-47,20
2020-05-16,DO_19,,-34,,,-41,
2020-05-16,DO_20,-61,-41,-67,-52,-40,
2020-05-16,DO_21,-54,-37,-47,,-35,20
2020-05-16,DO_22,-59,-33,-26,,-31,
2020-05-16,DO_23,-54,-34,-69,-75,-41,20
2020-05-16,DO_24,-46,-33,-49,,-32,
2020-05-16,DO_25,-63,-41,-52,-76,-48,21
2020-05-16,DO_26,,,,,-29,
2020-05-16,DO_27,-55,-28,-60,,-34,
2020-05-16,DO_28,-60,-38,-50,,-36,
2020-05-16,DO_29,-46,-36,-43,,-26,
2020-05-16,DO_30,,,-42,,-33,
2020-05-16,DO_31,,,-47,,-31,
2020-05-16,DO_32,-60,-42,-52,-66,-49,23
2020-05-16,EC,-77,-61,-71,-74,-51,29
2020-05-16,EC_A,-75,-71,-75,-78,-52,31
2020-05-16,EC_B,-69,,-71,,-40,
2020-05-16,EC_C,-63,-54,-61,,-37,
2020-05-16,EC_D,-63,-46,-60,,-41,
2020-05-16,EC_E,-76,-70,-64,-81,-49,25
2020-05-16,EC_F,-67,-62,-56,-84,-39,
2020-05-16,EC_G,-74,-47,-68,-82,-52,27
2020-05-16,EC_H,-76,-73,-74,-73,-41,32
2020-05-16,EC_I,-76,-75,-71,-89,-49,31
2020-05-16,EC_L,-77,-75,-73,-82,-55,28
2020-05-16,EC_M,-81,-71,-76,-89,-53,27
2020-05-16,EC_N,-76,-71,-54,,-44,
2020-05-16,EC_O,-71,-51,-63,-77,-48,25
2020-05-16,EC_P,-82,-66,-77,-71,-58,34
2020-05-16,EC_R,-63,-50,-56,-88,-38,23
2020-05-16,EC_S,-74,,-66,-77,-46,
2020-05-16,EC_SD,-70,-66,-65,-85,-47,28
2020-05-16,EC_SE,-80,-67,-78,-80,-49,26
2020-05-16,EC_T,-71,-64,-66,-83,-44,31
2020-05-16,EC_U,-59,-65,-60,-81,-44,
2020-05-16,EC_W,,,-72,,-60,
2020-05-16,EC_X,-71,-67,-70,-72,-33,32
2020-05-16,EC_Y,-81,,-74,-83,-46,
2020-05-16,EC_Z,-69,,-51,-78,-41,
2020-05-16,EE,-30,-5,-5,-23,-13,4
2020-05-16,EG,-48,2,-36,-42,-21,12
2020-05-16,ES,-76,-31,-39,-59,-40,17
2020-05-16,ES_AN,-73,-31,-42,-59,-35,15
2020-05-16,ES_AR,-71,-23,-21,-52,-36,15
2020-05-16,ES_AS,-66,-21,-4,-52,-32,12
2020-05-16,ES_CB,-71,-26,-17,-45,-33,14
2020-05-16,ES_CE,-71,-30,-47,,-35,
2020-05-16,ES_CL,-82,-36,-46,-58,-42,18
2020-05-16,ES_CM,-80,-35,-53,-61,-39,19
2020-05-16,ES_CN,-73,-33,-56,-66,-44,14
2020-05-16,ES_CT,-81,-34,-55,-63,-45,21
2020-05-16,ES_EX,-69,-25,-19,-38,-26,10
2020-05-16,ES_GA,-67,-21,-14,-48,-30,12
2020-05-16,ES_IB,-60,-24,-26,-56,-31,13
2020-05-16,ES_MC,-67,-23,-28,-41,-27,12
2020-05-16,ES_MD,-84,-32,-46,-66,-51,22
2020-05-16,ES_ML,-67,-34,-23,-66,-24,
2020-05-16,ES_NC,-70,-16,-22,-60,-33,15
2020-05-16,ES_PV,-72,-23,-13,-42,-40,18
2020-05-16,ES_RI,-71,-27,-33,-55,-36,15
2020-05-16,ES_VC,-79,-36,-46,-66,-43,20
2020-05-16,FI,-40,-9,38,-51,-15,6
2020-05-16,FJ,-14,-1,-9,-18,-10,10
2020-05-16,FR,-51,-12,-13,-43,-20,9
2020-05-16,FR_ARA,-53,-16,-13,-51,-19,9
2020-05-16,FR_BFC,-51,-14,6,-55,-13,8
2020-05-16,FR_BRE,-47,-9,49,-30,-14,7
2020-05-16,FR_COR,-49,-14,-27,-40,-18,8
2020-05-16,FR_CVL,-46,-12,-16,-49,-15,8
2020-05-16,FR_GES,-50,-14,1,-43,-18,8
2020-05-16,FR_HDF,-47,-11,3,-44,-16,8
2020-05-16,FR_IDF,-59,-13,-41,-44,-33,11
2020-05-16,FR_NAQ,-48,-10,1,-41,-14,8
2020-05-16,FR_NOR,-44,-9,8,-47,-16,7
2020-05-16,FR_OCC,-49,-12,-19,-43,-18,9
2020-05-16,FR_PAC,-51,-11,-33,-45,-22,10
2020-05-16,FR_PDL,-50,-13,26,-41,-14,7
2020-05-16,GA,-27,-18,-20,-35,-12,17
2020-05-16,GB,-74,-25,5,-58,-43,15
2020-05-16,GB_ENG_E06000001,-70,-22,,-22,-37,
2020-05-16,GB_ENG_E06000002,-72,-23,-4,-56,-35,
2020-05-16,GB_ENG_E06000003,-71,-20,29,-22,-38,
2020-05-16,GB_ENG_E06000004,-70,-27,12,-20,-36,14
2020-05-16,GB_ENG_E06000005,-71,-27,-2,-49,-41,
2020-05-16,GB_ENG_E06000006,-66,-23,26,-36,-39,
2020-05-16,GB_ENG_E06000007,-73,-25,39,-49,-39,14
2020-05-16,GB_ENG_E06000008,-71,-24,,-48,-37,
2020-05-16,GB_ENG_E06000009,-79,-21,10,-27,-43,
2020-05-16,GB_ENG_E06000010,-69,-25,8,-52,-38,13
2020-05-16,GB_ENG_E06000011,-70,-20,15,-24,-39,14
2020-05-16,GB_ENG_E06000012,-69,-20,-6,-36,-31,11
2020-05-16,GB_ENG_E06000013,-62,-16,28,-22,-36,
2020-05-16,GB_ENG_E06000014,-80,-37,-43,-73,-55,
2020-05-16,GB_ENG_E06000015,-74,-22,33,-70,-41,15
2020-05-16,GB_ENG_E06000016,-75,-25,15,-67,-35,14
2020-05-16,GB_ENG_E06000017,,,,,-44,
2020-05-16,GB_ENG_E06000018,-84,-30,4,-66,-45,14
2020-05-16,GB_ENG_E06000019,-72,-26,24,-28,-37,
2020-05-16,GB_ENG_E06000021,-73,-21,41,-58,-40,14
2020-05-16,GB_ENG_E06000022,-86,-33,-14,-57,-54,
2020-05-16,GB_ENG_E06000023,-82,-31,44,-71,-48,17
2020-05-16,GB_ENG_E06000024,-71,-28,25,-65,-42,15
2020-05-16,GB_ENG_E06000025,-71,-26,74,-39,-40,15
2020-05-16,GB_ENG_E06000026,-76,-29,41,-46,-45,14
2020-05-16,GB_ENG_E06000027,-75,-18,12,-36,-43,
2020-05-16,GB_ENG_E06000030,-74,-34,,-53,-39,14
2020-05-16,GB_ENG_E06000031,-67,-26,,-52,-32,13
2020-05-16,GB_ENG_E06000032,-64,-10,,-84,-35,15
2020-05-16,GB_ENG_E06000033,-75,-21,29,-56,-45,
2020-05-16,GB_ENG_E06000034,-80,-30,,-39,-35,14
2020-05-16,GB_ENG_E06000035,-71,-18,29,-49,-39,14
2020-05-16,GB_ENG_E06000036,-73,-25,12,-49,-42,
2020-05-16,GB_ENG_E06000037,-77,-30,22,-66,-45,
2020-05-16,GB_ENG_E06000038,-82,-30,28,-79,-46,
2020-05-16,GB_ENG_E06000039,-59,-22,36,-66,-39,
2020-05-16,GB_ENG_E06000040,-76,-24,-22,-50,-44,
2020-05-16,GB_ENG_E06000041,-67,-31,46,-52,-46,
2020-05-16,GB_ENG_E06000042,-75,-32,36,-64,-40,15
2020-05-16,GB_ENG_E06000043,-80,-31,-2,-62,-55,17
2020-05-16,GB_ENG_E06000044,-78,-28,,-51,-45,14
2020-05-16,GB_ENG_E06000045,-82,-19,-5,-56,-43,14
2020-05-16,GB_ENG_E06000046,-69,-20,12,-51,-42,
2020-05-16,GB_ENG_E06000047,-69,-19,30,-36,-42,14
2020-05-16,GB_ENG_E06000049,-72,-23,13,-58,-43,15
2020-05-16,GB_ENG_E06000050,-80,-25,8,-57,-46,15
2020-05-16,GB_ENG_E06000051,-73,-26,2,-41,-40,14
2020-05-16,GB_ENG_E06000052,-69,-28,11,-29,-42,13
2020-05-16,GB_ENG_E06000054,-71,-24,11,-41,-42,14
2020-05-16,GB_ENG_E06000055,-73,-24,27,-47,-37,15
2020-05-16,GB_ENG_E06000056,-67,-22,50,-45,-40,15
2020-05-16,GB_ENG_E06000057,-70,-16,-8,-25,-42,14
2020-05-16,GB_ENG_E06000059,-74,-24,30,-34,-45,14
2020-05-16,GB_ENG_E08000003,-73,-25,-1,-65,-42,15
2020-05-16,GB_ENG_E09000001,-78,-28,-2,-68,-49,18
2020-05-16,GB_ENG_E10000002,-71,-26,41,-50,-42,16
2020-05-16,GB_ENG_E10000003,-79,-28,10,-66,-44,15
2020-05-16,GB_ENG_E10000006,-74,-27,-15,-51,-49,15
2020-05-16,GB_ENG_E10000007,-73,-21,27,-33,-42,15
2020-05-16,GB_ENG_E10000008,-74,-26,12,-43,-43,13
2020-05-16,GB_ENG_E10000011,-72,-23,27,-36,-43,14
2020-05-16,GB_ENG_E10000012,-71,-26,20,-65,-42,15
2020-05-16,GB_ENG_E10000013,-76,-26,16,-42,-41,14
2020-05-16,GB_ENG_E10000014,-73,-25,40,-44,-40,15
2020-05-16,GB_ENG_E10000015,-72,-29,15,-58,-43,16
2020-05-16,GB_ENG_E10000016,-73,-27,13,-47,-41,14
2020-05-16,GB_ENG_E10000017,-70,-20,47,-47,-39,14
2020-05-16,GB_ENG_E10000018,-72,-22,30,-50,-42,15
2020-05-16,GB_ENG_E10000019,-71,-21,-1,-45,-38,13
2020-05-16,GB_ENG_E10000020,-74,-26,-11,-51,-40,14
2020-05-16,GB_ENG_E10000021,-73,-24,-1,-50,-36,14
2020-05-16,GB_ENG_E10000023,-75,-22,-17,-46,-45,15
2020-05-16,GB_ENG_E10000024,-71,-23,15,-38,-40,14
2020-05-16,GB_ENG_E10000025,-78,-29,6,-62,-46,16
2020-05-16,GB_ENG_E10000027,-73,-24,14,-36,-39,13
2020-05-16,GB_ENG_E10000028,-71,-25,19,-48,-42,14
2020-05-16,GB_ENG_E10000029,-73,-27,-4,-38,-40,14
2020-05-16,GB_ENG_E10000030,-75,-27,14,-57,-45,16
2020-05-16,GB_ENG_E10000031,-73,-22,9,-53,-42,14
2020-05-16,GB_ENG_E10000032,-71,-25,28,-75,-42,15
2020-05-16,GB_ENG_E10000034,-72,-26,38,-48,-42,14
2020-05-16,GB_NIR_N09000001,-63,-19,-44,-74,-41,
2020-05-16,GB_NIR_N09000002,-66,-21,-24,,-33,14
2020-05-16,GB_NIR_N09000003,-74,-23,-39,-62,-47,16
2020-05-16,GB_NIR_N09000004,-74,-14,-47,-53,-42,
2020-05-16,GB_NIR_N09000005,-65,-12,-49,-43,-43,
2020-05-16,GB_NIR_N09000006,-70,-15,-39,-46,-39,
2020-05-16,GB_NIR_N09000007,-72,-23,-53,-55,-44,
2020-05-16,GB_NIR_N09000008,-66,-15,-9,-57,-41,
2020-05-16,GB_NIR_N09000009,-64,-13,,-39,-36,
2020-05-16,GB_NIR_N09000010,-66,-14,-31,-35,-36,
2020-05-16,GB_NIR_N09000011,-64,-14,-34,-57,-44,
2020-05-16,GB_SCT_S08000016,-73,-25,-26,-34,-43,
2020-05-16,GB_SCT_S08000017,-72,-21,-36,-57,-44,
2020-05-16,GB_SCT_S08000022,-76,-33,-37,-60,-46,15
2020-05-16,GB_SCT_S08000029,-72,-18,-2,-44,-44,15
2020-05-16,GB_WLS_W11000024,-78,-27,-33,-40,-38,
2020-05-16,GB_WLS_W11000029,-80,-30,-32,-65,-49,17
2020-05-16,GB_WLS_W11000031,-73,-31,-27,-65,-45,16
2020-05-16,GE,-52,-27,-7,-44,-32,8
2020-05-16,GH,-24,-9,-19,-24,6,11
2020-05-16,GR,-44,7,65,-28,-18,7
2020-05-16,GT,-89,-85,-74,-89,-70,35
2020-05-16,GT_AV,-84,-81,-77,-78,-64,
2020-05-16,GT_BV,,,-65,,-54,
2020-05-16,GT_CM,-86,-80,-75,-87,-59,
2020-05-16,GT_CQ,-88,-88,-79,,-69,
2020-05-16,GT_ES,-85,-83,-64,-85,-58,
2020-05-16,GT_GU,-92,-86,-83,-91,-78,36
2020-05-16,GT_HU,-83,-83,-70,-89,-59,
2020-05-16,GT_IZ,-82,-82,-69,-81,-60,
2020-05-16,GT_JA,-85,-82,-75,,-61,
2020-05-16,GT_JU,-83,-82,-65,,-57,
2020-05-16,GT_PE,-80,-79,-53,-87,-56,
2020-05-16,GT_PR,-84,,-69,,-57,
2020-05-16,GT_QC,-75,-75,-67,-72,-51,
2020-05-16,GT_QZ,-89,-88,-80,-89,-71,35
2020-05-16,GT_RE,-89,-88,-64,-86,-61,
2020-05-16,GT_SA,-90,-87,-84,-83,-71,
2020-05-16,GT_SM,-78,-80,-61,-85,-55,
2020-05-16,GT_SO,-86,-81,-58,,-57,
2020-05-16,GT_SR,-81,-80,-70,,-53,
2020-05-16,GT_SU,-83,-84,-64,-87,-60,
2020-05-16,GT_TO,-71,,-83,,-53,
2020-05-16,GT_ZA,-84,-85,-80,,-61,
2020-05-16,GW,,,-21,,-7,
2020-05-16,HK,-17,7,-12,-20,-10,10
2020-05-16,HN,-82,-73,-62,-80,-56,25
2020-05-16,HN_AT,-82,-74,-63,-83,-56,
2020-05-16,HN_CH,-72,-67,-49,,-47,
2020-05-16,HN_CL,-65,-57,-59,,-36,
2020-05-16,HN_CM,-80,-78,-60,-81,-49,
2020-05-16,HN_CP,-82,-80,-66,-78,-55,
2020-05-16,HN_CR,-83,-68,-69,-81,-58,27
2020-05-16,HN_EP,-69,,-46,,-36,
2020-05-16,HN_FM,-87,-80,-73,-80,-65,28
2020-05-16,HN_IB,-77,,,,-52,
2020-05-16,HN_IN,,,-79,,-57,
2020-05-16,HN_LE,,,-48,,-45,
2020-05-16,HN_LP,,,-54,,-43,
2020-05-16,HN_OC,,,-74,,-51,
2020-05-16,HN_OL,-78,-78,-39,,-49,
2020-05-16,HN_SB,-71,,-49,,-43,
2020-05-16,HN_VA,,,-48,,-37,
2020-05-16,HN_YO,-76,-72,-67,-61,-49,
2020-05-16,HR,-18,5,30,-32,-10,1
2020-05-16,HT,-27,-18,-10,-42,-14,6
2020-05-16,HT_AR,,,0,,-4,
2020-05-16,HT_CE,,,-4,,-8,
2020-05-16,HT_ND,,,-16,,-4,
2020-05-16,HT_NE,,,,,-11,
2020-05-16,HT_OU,-29,-21,-19,-47,-18,8
2020-05-16,HT_SD,,,,,-2,
