date,key,noaa_station,noaa_distance,minimum_temperature,maximum_temperature,rainfall,snowfall
2020-05-02,CH_ZH,SZ000003700,7.53,,14.3,211,
2020-05-02,CI,IV000005555,112.655,,34.3,0,
2020-05-02,CK,FP000091929,998.771,25.3,31.2,0,
2020-05-02,CL,CIM00085574,48.037,5.9,25.8,0,
2020-05-02,CL_AI,CIM00085864,4.095,5,,3,
2020-05-02,CL_AN,CI000085442,23.825,16,18.4,0,
2020-05-02,CL_AP,CI000085406,14.041,,22,0,
2020-05-02,CL_AR,CI000085743,16.938,,16.6,0,
2020-05-02,CL_AT,CI000085488,296.048,11.4,18.2,0,
2020-05-02,CL_BI,CIM00085682,0.025,8.7,15.2,0,
2020-05-02,CL_CO,CI000085488,5.322,11.4,18.2,0,
2020-05-02,CL_LI,CI000085629,66.928,,19.4,0,
2020-05-02,CL_LL,CI000085799,14.28,,15.9,198,
2020-05-02,CL_LR,CIM00085766,22.079,,,3,
2020-05-02,CL_MA,CI000085934,18.318,3.6,10,0,
2020-05-02,CL_ML,CI000085629,64.838,,19.4,0,
2020-05-02,CL_NB,CIM00085672,8.197,,22,0,
2020-05-02,CL_RM,CIM00085577,3.083,5.5,26,0,
2020-05-02,CL_TA,CIM00085418,92.695,15.9,24.4,0,
2020-05-02,CL_VS,CIM00085574,87.477,5.9,25.8,0,
2020-05-02,CM,CM000064870,177.26,,,,
2020-05-02,CN,CHM00056080,9.111,-2.5,20.7,0,
2020-05-02,CN_AH,CHM00058321,22.331,16,,0,
2020-05-02,CN_BJ,CHM00054511,9.757,,34.1,0,
2020-05-02,CN_CQ,CHM00057516,5.33,19.4,33.7,0,
2020-05-02,CN_FJ,CHM00058834,86.849,20.4,31.8,239,
2020-05-02,CN_GD,CHM00059287,20.429,23.4,,0,
2020-05-02,CN_GS,CHM00052787,117.284,6.5,20.1,0,
2020-05-02,CN_GX,CHM00059431,107.894,22.6,30.4,3,
2020-05-02,CN_GZ,CHM00057816,29.575,15.8,,10,
2020-05-02,CN_HA,CHM00057083,91.914,,35.9,0,
2020-05-02,CN_HB,CHM00057461,110.42,19.4,34.7,0,
2020-05-02,CN_HE,CHM00053698,8.091,18.9,33.1,0,
2020-05-02,CN_HK,MCM00045011,60.067,22.6,28.5,0,
2020-05-02,CN_HL,RSM00031707,149.723,4.2,20.8,0,
2020-05-02,CN_HN,CHM00057866,131.07,22.8,31.5,0,
2020-05-02,CN_JL,CHM00054161,7.53,,29.9,0,
2020-05-02,CN_JS,CHM00058251,31.249,18.1,26.7,48,
2020-05-02,CN_JX,CHM00058715,71.47,20.5,30.5,102,
2020-05-02,CN_LN,CHM00054342,10.926,13.6,30.4,0,
2020-05-02,CN_MO,MCM00045011,4.707,22.6,28.5,0,
2020-05-02,CN_NM,CHM00053068,89.191,10,33.8,0,
2020-05-02,CN_NX,CHM00053614,6.145,11.9,33.8,0,
2020-05-02,CN_QH,CHM00056021,98.463,-5.7,12.1,0,
2020-05-02,CN_SC,CHM00056187,117.818,15.4,33.3,,
2020-05-02,CN_SD,CHM00054843,80.976,16,34.1,0,
2020-05-02,CN_SH,CHM00058362,25.954,20.2,29.7,0,
2020-05-02,CN_SN,CHM00057131,19.497,16.6,37.6,0,
2020-05-02,CN_SX,CHM00053772,10.127,12.5,,0,
2020-05-02,CN_TJ,CHM00054527,6.166,18.3,35.3,0,
2020-05-02,CN_TW,CHM00059134,308.726,21.7,,0,
2020-05-02,CN_XJ,CHM00051463,4.046,11.1,22.4,0,
2020-05-02,CN_XZ,CHM00055472,181.461,-6,11.4,3,
2020-05-02,CN_YN,CHM00056768,57.531,13.7,27.6,0,
2020-05-02,CN_ZJ,CHM00058457,4.086,19.8,,0,
2020-05-02,CO,COM00080234,46.725,20.4,,130,
2020-05-02,CO_05,COM00080112,16.894,12.9,,20,
2020-05-02,CO_05_05001,COM00080112,18.988,12.9,,20,
2020-05-02,CO_05_05002,COM00080112,41.652,12.9,,20,
2020-05-02,CO_05_05004,COM00080112,87.823,12.9,,20,
2020-05-02,CO_05_05021,COM00080112,39.097,12.9,,20,
2020-05-02,CO_05_05030,COM00080112,34,12.9,,20,
2020-05-02,CO_05_05031,COM00080112,91.193,12.9,,20,
2020-05-02,CO_05_05034,COM00080112,75.964,12.9,,20,
2020-05-02,CO_05_05036,COM00080112,32.29,12.9,,20,
2020-05-02,CO_05_05038,COM00080112,80.701,12.9,,20,
2020-05-02,CO_05_05040,COM00080112,105.567,12.9,,20,
2020-05-02,CO_05_05042,COM00080112,62.407,12.9,,20,
2020-05-02,CO_05_05044,COM00080112,50.106,12.9,,20,
2020-05-02,CO_05_05045,COM00080084,12.045,24.6,,10,
2020-05-02,CO_05_05051,COM00080063,66.149,25.2,35.2,0,
2020-05-02,CO_05_05055,COM00080112,57.333,12.9,,20,
2020-05-02,CO_05_05059,COM00080112,40.136,12.9,,20,
2020-05-02,CO_05_05079,COM00080112,31.987,12.9,,20,
2020-05-02,CO_05_05086,COM00080112,55.819,12.9,,20,
2020-05-02,CO_05_05088,COM00080112,23.829,12.9,,20,
2020-05-02,CO_05_05091,COM00080144,73.411,,,0,
2020-05-02,CO_05_05093,COM00080112,62.307,12.9,,20,
2020-05-02,CO_05_05101,COM00080144,70.918,,,0,
2020-05-02,CO_05_05107,COM00080112,106.122,12.9,,20,
2020-05-02,CO_05_05113,COM00080112,81.722,12.9,,20,
2020-05-02,CO_05_05120,COM00080063,148.007,25.2,35.2,0,
2020-05-02,CO_05_05125,COM00080112,67.741,12.9,,20,
2020-05-02,CO_05_05129,COM00080112,25.054,12.9,,20,
2020-05-02,CO_05_05134,COM00080112,91.643,12.9,,20,
2020-05-02,CO_05_05138,COM00080112,93.109,12.9,,20,
2020-05-02,CO_05_05142,COM00080112,78.442,12.9,,20,
2020-05-02,CO_05_05145,COM00080112,73.001,12.9,,20,
2020-05-02,CO_05_05147,COM00080084,8.988,24.6,,10,
2020-05-02,CO_05_05148,COM00080112,13.486,12.9,,20,
2020-05-02,CO_05_05150,COM00080112,63.955,12.9,,20,
2020-05-02,CO_05_05154,COM00080063,116.142,25.2,35.2,0,
2020-05-02,CO_05_05172,COM00080084,16.279,24.6,,10,
2020-05-02,CO_05_05190,COM00080112,55.595,12.9,,20,
2020-05-02,CO_05_05197,COM00080112,28.87,12.9,,20,
2020-05-02,CO_05_05206,COM00080112,31.4,12.9,,20,
2020-05-02,CO_05_05209,COM00080112,55.208,12.9,,20,
2020-05-02,CO_05_05212,COM00080112,22.588,12.9,,20,
2020-05-02,CO_05_05234,COM00080084,103.185,24.6,,10,
2020-05-02,CO_05_05237,COM00080112,35.818,12.9,,20,
2020-05-02,CO_05_05240,COM00080112,41.97,12.9,,20,
2020-05-02,CO_05_05250,COM00080091,127.996,25,,5,
2020-05-02,CO_05_05264,COM00080112,45.649,12.9,,20,
2020-05-02,CO_05_05266,COM00080112,17.41,12.9,,20,
2020-05-02,CO_05_05282,COM00080112,38.378,12.9,,20,
2020-05-02,CO_05_05284,COM00080112,103.865,12.9,,20,
2020-05-02,CO_05_05306,COM00080112,81.96,12.9,,20,
2020-05-02,CO_05_05308,COM00080112,23.713,12.9,,20,
2020-05-02,CO_05_05310,COM00080112,61.772,12.9,,20,
2020-05-02,CO_05_05313,COM00080112,26.391,12.9,,20,
2020-05-02,CO_05_05315,COM00080112,74.931,12.9,,20,
2020-05-02,CO_05_05318,COM00080112,12.87,12.9,,20,
2020-05-02,CO_05_05321,COM00080112,30.185,12.9,,20,
2020-05-02,CO_05_05347,COM00080112,34.325,12.9,,20,
2020-05-02,CO_05_05353,COM00080112,67.435,12.9,,20,
2020-05-02,CO_05_05360,COM00080112,20.653,12.9,,20,
2020-05-02,CO_05_05361,COM00080112,118.067,12.9,,20,
2020-05-02,CO_05_05364,COM00080112,76.809,12.9,,20,
2020-05-02,CO_05_05368,COM00080112,57.798,12.9,,20,
2020-05-02,CO_05_05376,COM00080112,15.29,12.9,,20,
2020-05-02,CO_05_05380,COM00080112,24.171,12.9,,20,
2020-05-02,CO_05_05390,COM00080112,51.195,12.9,,20,
2020-05-02,CO_05_05400,COM00080112,22.45,12.9,,20,
2020-05-02,CO_05_05411,COM00080112,71.467,12.9,,20,
2020-05-02,CO_05_05425,COM00080112,82.494,12.9,,20,
2020-05-02,CO_05_05440,COM00080112,9.361,12.9,,20,
2020-05-02,CO_05_05467,COM00080112,26.923,12.9,,20,
2020-05-02,CO_05_05475,COM00080084,92.078,24.6,,10,
2020-05-02,CO_05_05480,COM00080084,70.394,24.6,,10,
2020-05-02,CO_05_05483,COM00080112,67.579,12.9,,20,
2020-05-02,CO_05_05490,COM00080084,68.685,24.6,,10,
2020-05-02,CO_05_05495,COM00080063,141.174,25.2,35.2,0,
2020-05-02,CO_05_05501,COM00080112,67.067,12.9,,20,
2020-05-02,CO_05_05541,COM00080112,20.899,12.9,,20,
2020-05-02,CO_05_05543,COM00080112,109.374,12.9,,20,
2020-05-02,CO_05_05576,COM00080112,62.196,12.9,,20,
2020-05-02,CO_05_05579,COM00080091,88.767,25,,5,
2020-05-02,CO_05_05585,COM00080112,92.849,12.9,,20,
2020-05-02,CO_05_05591,COM00080112,92.54,12.9,,20,
2020-05-02,CO_05_05604,COM00080091,97.909,25,,5,
2020-05-02,CO_05_05607,COM00080112,14.736,12.9,,20,
2020-05-02,CO_05_05615,COM00080112,5.554,12.9,,20,
2020-05-02,CO_05_05628,COM00080028,28.928,,,,
2020-05-02,CO_05_05631,COM00080112,21.291,12.9,,20,
2020-05-02,CO_05_05642,COM00080112,65.284,12.9,,20,
2020-05-02,CO_05_05647,COM00080112,87.918,12.9,,20,
2020-05-02,CO_05_05649,COM00080112,47.701,12.9,,20,
2020-05-02,CO_05_05652,COM00080112,41.979,12.9,,20,
2020-05-02,CO_05_05656,COM00080112,45.633,12.9,,20,
2020-05-02,CO_05_05658,COM00080112,81.425,12.9,,20,
2020-05-02,CO_05_05659,COM00080063,77.549,25.2,35.2,0,
2020-05-02,CO_05_05660,COM00080112,49.444,12.9,,20,
2020-05-02,CO_05_05664,COM00080112,35.981,12.9,,20,
2020-05-02,CO_05_05665,COM00080084,63.613,24.6,,10,
2020-05-02,CO_05_05667,COM00080112,46.002,12.9,,20,
2020-05-02,CO_05_05670,COM00080112,57.068,12.9,,20,
2020-05-02,CO_05_05674,COM00080112,16.43,12.9,,20,
2020-05-02,CO_05_05679,COM00080112,35.96,12.9,,20,
2020-05-02,CO_05_05686,COM00080112,53.798,12.9,,20,
2020-05-02,CO_05_05690,COM00080112,44.334,12.9,,20,
2020-05-02,CO_05_05697,COM00080112,17.86,12.9,,20,
2020-05-02,CO_05_05736,COM00080091,98.944,25,,5,
2020-05-02,CO_05_05756,COM00080112,52.176,12.9,,20,
2020-05-02,CO_05_05761,COM00080112,51.54,12.9,,20,
2020-05-02,CO_05_05789,COM00080112,64.313,12.9,,20,
2020-05-02,CO_05_05790,COM00080063,145.682,25.2,35.2,0,
2020-05-02,CO_05_05792,COM00080112,55.375,12.9,,20,
2020-05-02,CO_05_05809,COM00080112,42.545,12.9,,20,
2020-05-02,CO_05_05819,COM00080112,98.934,12.9,,20,
2020-05-02,CO_05_05837,COM00080084,31.291,24.6,,10,
2020-05-02,CO_05_05842,COM00080112,116.356,12.9,,20,
2020-05-02,CO_05_05847,COM00080112,80.398,12.9,,20,
2020-05-02,CO_05_05854,COM00080112,111.09,12.9,,20,
2020-05-02,CO_05_05856,COM00080112,65.21,12.9,,20,
2020-05-02,CO_05_05858,COM00080112,96.56,12.9,,20,
2020-05-02,CO_05_05861,COM00080112,41.183,12.9,,20,
2020-05-02,CO_05_05873,COM00080144,103.949,,,0,
2020-05-02,CO_05_05885,COM00080112,85.882,12.9,,20,
2020-05-02,CO_05_05887,COM00080112,88.801,12.9,,20,
2020-05-02,CO_05_05890,COM00080112,66.175,12.9,,20,
2020-05-02,CO_05_05893,COM00080091,11.423,25,,5,
2020-05-02,CO_05_05895,COM00080091,127.968,25,,5,
2020-05-02,CO_08,COM00080028,10.385,,,,
2020-05-02,CO_08_08001,COM00080028,8.389,,,,
2020-05-02,CO_08_08078,COM00080028,18.415,,,,
2020-05-02,CO_08_08137,COM00080028,58.022,,,,
2020-05-02,CO_08_08141,COM00080028,49.141,,,,
2020-05-02,CO_08_08296,COM00080028,11.447,,,,
2020-05-02,CO_08_08372,COM00080028,28.574,,,,
2020-05-02,CO_08_08421,COM00080022,44.624,,,0,
2020-05-02,CO_08_08433,COM00080028,3.314,,,,
2020-05-02,CO_08_08436,COM00080028,52.875,,,,
2020-05-02,CO_08_08520,COM00080028,17.051,,,,
2020-05-02,CO_08_08549,COM00080028,38.909,,,,
2020-05-02,CO_08_08558,COM00080028,14.794,,,,
2020-05-02,CO_08_08560,COM00080028,27.76,,,,
2020-05-02,CO_08_08573,COM00080028,21.936,,,,
2020-05-02,CO_08_08606,COM00080022,42.928,,,0,
2020-05-02,CO_08_08634,COM00080028,11.435,,,,
2020-05-02,CO_08_08638,COM00080028,32.851,,,,
2020-05-02,CO_08_08675,COM00080022,62.012,,,0,
2020-05-02,CO_08_08685,COM00080028,14.992,,,,
2020-05-02,CO_08_08758,COM00080028,2.256,,,,
2020-05-02,CO_08_08770,COM00080028,62.943,,,,
2020-05-02,CO_08_08832,COM00080028,21.657,,,,
2020-05-02,CO_08_08849,COM00080028,26.856,,,,
2020-05-02,CO_11,CO000080222,13.201,9.5,19.1,20,
2020-05-02,CO_11_11001,CO000080222,13.201,9.5,19.1,20,
2020-05-02,CO_13,COM00080022,4.883,,,0,
2020-05-02,CO_13_13001,COM00080022,2.447,,,0,
2020-05-02,CO_13_13006,COM00080063,142.473,25.2,35.2,0,
2020-05-02,CO_13_13030,COM00080063,182.763,25.2,35.2,0,
2020-05-02,CO_13_13042,COM00080091,160.288,25,,5,
2020-05-02,CO_13_13052,COM00080022,27.779,,,0,
2020-05-02,CO_13_13062,COM00080022,58.098,,,0,
2020-05-02,CO_13_13074,COM00080063,189.521,25.2,35.2,0,
2020-05-02,CO_13_13140,COM00080022,68.744,,,0,
2020-05-02,CO_13_13160,COM00080091,40.947,25,,5,
2020-05-02,CO_13_13188,COM00080063,139.25,25.2,35.2,0,
2020-05-02,CO_13_13212,COM00080022,123.475,,,0,
2020-05-02,CO_13_13222,COM00080022,24.776,,,0,
2020-05-02,CO_13_13244,COM00080022,91.613,,,0,
2020-05-02,CO_13_13248,COM00080214,47.982,,,,
2020-05-02,CO_13_13268,COM00080036,178.25,25.3,,0,
2020-05-02,CO_13_13300,COM00080036,187.882,25.3,,0,
2020-05-02,CO_13_13430,COM00080063,126.241,25.2,35.2,0,
2020-05-02,CO_13_13433,COM00080022,42.25,,,0,
2020-05-02,CO_13_13440,COM00080063,172.883,25.2,35.2,0,
2020-05-02,CO_13_13442,COM00080022,56.381,,,0,
2020-05-02,CO_13_13458,COM00080091,159.37,25,,5,
2020-05-02,CO_13_13468,COM00080063,160.688,25.2,35.2,0,
2020-05-02,CO_13_13473,COM00080091,139.52,25,,5,
2020-05-02,CO_13_13490,COM00080091,169.004,25,,5,
2020-05-02,CO_13_13549,COM00080063,150.251,25.2,35.2,0,
2020-05-02,CO_13_13580,COM00080097,165.957,23.8,,0,
2020-05-02,CO_13_13600,COM00080097,163.609,23.8,,0,
2020-05-02,CO_13_13620,COM00080022,49.529,,,0,
2020-05-02,CO_13_13647,COM00080022,39.863,,,0,
2020-05-02,CO_13_13650,COM00080063,170.651,25.2,35.2,0,
2020-05-02,CO_13_13654,COM00080022,80.315,,,0,
2020-05-02,CO_13_13655,COM00080063,137.407,25.2,35.2,0,
2020-05-02,CO_13_13657,COM00080022,72.133,,,0,
2020-05-02,CO_13_13667,COM00080036,187.562,25.3,,0,
2020-05-02,CO_13_13670,COM00080091,51.923,25,,5,
2020-05-02,CO_13_13673,COM00080022,30.51,,,0,
2020-05-02,CO_13_13683,COM00080022,15.799,,,0,
2020-05-02,CO_13_13688,COM00080091,107.956,25,,5,
2020-05-02,CO_13_13744,COM00080091,104.838,25,,5,
2020-05-02,CO_13_13760,COM00080022,41.561,,,0,
2020-05-02,CO_13_13780,COM00080063,148.109,25.2,35.2,0,
2020-05-02,CO_13_13810,COM00080063,174.292,25.2,35.2,0,
2020-05-02,CO_13_13836,COM00080022,16.333,,,0,
2020-05-02,CO_13_13838,COM00080022,20.285,,,0,
2020-05-02,CO_13_13873,COM00080022,26.066,,,0,
2020-05-02,CO_13_13894,COM00080022,108.723,,,0,
2020-05-02,CO_15,CO000080222,126.895,9.5,19.1,20,
2020-05-02,CO_15_15001,CO000080222,127.858,9.5,19.1,20,
2020-05-02,CO_15_15022,CO000080222,90.601,9.5,19.1,20,
2020-05-02,CO_15_15047,CO000080222,167.246,9.5,19.1,20,
2020-05-02,CO_15_15051,CO000080222,141.274,9.5,19.1,20,
2020-05-02,CO_15_15087,COM00080094,130.071,19.9,,8,
2020-05-02,CO_15_15090,CO000080222,127.584,9.5,19.1,20,
2020-05-02,CO_15_15092,COM00080094,141.504,19.9,,8,
2020-05-02,CO_15_15097,COM00080094,110.668,19.9,,8,
2020-05-02,CO_15_15104,CO000080222,121.001,9.5,19.1,20,
2020-05-02,CO_15_15106,CO000080222,113.013,9.5,19.1,20,
2020-05-02,CO_15_15109,CO000080222,93.04,9.5,19.1,20,
2020-05-02,CO_15_15114,COM00080094,148.016,19.9,,8,
2020-05-02,CO_15_15131,CO000080222,99.993,9.5,19.1,20,
2020-05-02,CO_15_15135,COM00080234,111.455,20.4,,130,
2020-05-02,CO_15_15162,COM00080094,132.838,19.9,,8,
2020-05-02,CO_15_15172,CO000080222,100.89,9.5,19.1,20,
2020-05-02,CO_15_15176,CO000080222,108.434,9.5,19.1,20,
2020-05-02,CO_15_15180,COM00080094,99.034,19.9,,8,
2020-05-02,CO_15_15183,COM00080094,130.806,19.9,,8,
2020-05-02,CO_15_15185,COM00080091,117.679,25,,5,
2020-05-02,CO_15_15187,CO000080222,135.431,9.5,19.1,20,
2020-05-02,CO_15_15189,CO000080222,123.087,9.5,19.1,20,
2020-05-02,CO_15_15204,CO000080222,138.415,9.5,19.1,20,
2020-05-02,CO_15_15212,CO000080222,86.715,9.5,19.1,20,
2020-05-02,CO_15_15215,COM00080094,149.228,19.9,,8,
2020-05-02,CO_15_15218,COM00080094,85.364,19.9,,8,
2020-05-02,CO_15_15223,COM00080097,112.339,23.8,,0,
2020-05-02,CO_15_15224,CO000080222,121.377,9.5,19.1,20,
2020-05-02,CO_15_15226,CO000080222,163.61,9.5,19.1,20,
2020-05-02,CO_15_15232,CO000080222,124.846,9.5,19.1,20,
2020-05-02,CO_15_15236,COM00080234,84.568,20.4,,130,
2020-05-02,CO_15_15238,COM00080094,146.172,19.9,,8,
2020-05-02,CO_15_15244,COM00080094,114.285,19.9,,8,
2020-05-02,CO_15_15248,COM00080094,104.492,19.9,,8,
2020-05-02,CO_15_15272,COM00080094,163.51,19.9,,8,
2020-05-02,CO_15_15276,COM00080094,144.031,19.9,,8,
2020-05-02,CO_15_15293,CO000080222,134.391,9.5,19.1,20,
2020-05-02,CO_15_15296,COM00080094,153.163,19.9,,8,
2020-05-02,CO_15_15299,CO000080222,96.892,9.5,19.1,20,
2020-05-02,CO_15_15317,COM00080094,105.963,19.9,,8,
2020-05-02,CO_15_15322,CO000080222,82.332,9.5,19.1,20,
