key,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99
AM,2951776,1388616,1563160,1087759,1864017,1080324,1080324,103.68022,0.755,371410,351158,388963,477634,334993,344363,308329,118258,74946,18736
AN,197041,,,,,,,,,,,,,,,,,,
AO,30809762,15241447,15568315,10625055,20184707,7774200,7774200,24.713052,0.581,11635459,8840060,6026415,4216747,2686948,1629890,948428,349171,79466,19867
AQ,4400,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0
AR,44494502,21696699,22797803,3617403,40877099,14966530,19136241,16.25851,0.825,7355819,7157506,6826681,6447621,5812607,4406362,3591939,2300831,1030156,257539
AR_A,1333365,673363,703017,,,,,,,268943,266955,212805,189275,160571,115170,86105,51524,20026,5006
AR_B,1796320,8723915,9284692,,,,,,,2881917,2723201,2694460,2577223,2375614,1794069,1481475,949028,425296,106324
AR_C,3063728,1388989,1648746,,,,,,,324412,298565,460786,472042,412435,342733,320240,234078,137955,34489
AR_D,489255,257163,263645,,,,,,,90820,89857,73718,75245,67557,49711,40165,23049,8549,2137
AR_E,1235994,648501,682638,,,,,,,216950,218469,193658,183344,169502,131869,108690,70823,30267,7567
AR_F,387728,193780,200355,,,,,,,69140,71177,64996,58192,49012,34390,24682,14920,6101,1525
AR_G,896461,469064,486346,,,,,,,189980,189413,140116,128172,106937,80453,62446,37937,15965,3991
AR_H,1055259,562315,578256,,,,,,,213661,228138,177100,151009,137439,101480,69066,43809,15095,3774
AR_J,738959,370635,391529,,,,,,,143199,132455,112138,104815,90664,70139,59106,32746,13522,3380
AR_K,396895,201667,209432,,,,,,,75392,76351,60669,58075,49060,36434,28559,16815,7795,1949
AR_L,349299,171300,175265,,,,,,,54605,52414,49377,47540,46885,34869,31338,19654,7906,1977
AR_M,2086000,922278,982554,,,,,,,319646,300561,294526,266704,228873,182895,159273,99563,42233,10558
AR_N,1189446,633676,646747,,,,,,,265189,263443,189733,167571,155519,106718,71564,41951,14988,3747
AR_P,527895,280477,287978,,,,,,,107811,120302,81089,73736,69906,51148,33833,20529,8081,2020
AR_Q,637913,325191,333852,,,,,,,111701,110506,103281,105664,92690,61607,42405,20965,8179,2045
AR_R,638645,366128,375875,,,,,,,119929,123067,110576,109001,102641,73128,55091,31932,13310,3328
AR_S,3397532,1643525,1768441,,,,,,,502366,504301,525484,481898,438621,343792,292401,203294,95847,23962
AR_T,1448188,768898,815757,,,,,,,280676,278625,249428,224250,186940,152187,111162,67660,26982,6745
AR_U,618994,321775,324908,,,,,,,111344,106268,102663,100386,86889,60779,42968,22833,10042,2511
AR_V,160720,78783,75525,,,,,,,27877,26006,25924,24655,23566,14654,7551,2932,914,229
AR_W,1111052,518635,548312,,,,,,,194057,202519,162843,138438,133146,98625,72035,43712,17258,4314
AR_X,3567654,1744785,1867754,,,,,,,557834,550252,540226,513560,467916,358221,312630,203955,86356,21589
AR_Y,727780,365596,380826,,,,,,,135424,143479,113739,110636,89457,64465,48103,28644,9980,2495
AR_Z,273964,207537,199455,,,,,,,77559,66568,70161,68881,54778,34044,19874,10741,3509,877
AS,55465,,,7126,48339,,,277.325,,,,,,,,,,,
AT,8840521,4346935,4493586,3686762,5153759,1900547,1900547,107.12797,0.908,848452,836322,1129004,1220721,1168033,1364067,993420,755989,373648,93412
AT_11,291023,145333,149818,,,,,,,28510,28117,37925,41012,39316,45772,33425,25402,12538,3134
AT_12,1653419,1730978,1825595,,,,,,,343559,338664,457236,494349,473000,552345,402215,306116,151271,37818
AT_13,1888776,891387,959335,,,,,,,178764,176224,237955,257235,246093,287462,209282,159291,78733,19683
AT_21,560300,272981,284819,,,,,,,53882,53113,71704,77528,74179,86634,63088,48009,23730,5933
AT_22,1231865,613891,630657,,,,,,,120223,118504,159970,172976,165513,193291,140772,107115,52947,13237
AT_31,1453733,712510,729955,,,,,,,139322,137343,185444,200480,191796,224056,163137,124160,61382,15345
AT_32,545742,266503,280353,,,,,,,52809,52059,70287,75994,72696,84954,61867,47078,23290,5822
AT_33,739002,366570,380798,,,,,,,72183,71159,96080,103870,99371,116091,84526,64331,31806,7951
AT_34,388711,193256,198957,,,,,,,37951,37357,50347,54499,52150,60911,44379,33769,16680,4170
AU,24982688,12441473,12541215,3494578,21488110,4792281,15212363,3.2478709,0.939,2774642,2640728,2843005,3109769,2778831,2622713,2243199,1556965,706841,176710
AU_ACT,396857,176360,180555,,,,,,,45598,43102,58950,57626,46477,42172,32944,19524,8418,2104
AU_NSW,7480228,3572690,3687161,,,,,,,938198,881316,940523,1056684,925541,890467,766601,544755,252613,63153
AU_NT,245562,108476,101608,,,,,,,33936,29359,34698,36048,28606,24261,14939,6301,1549,387
AU_QLD,4703193,2138679,2179352,,,,,,,585998,557138,568702,622549,561602,521724,451837,293897,123667,30917
AU_SA,1742744,783692,809195,,,,,,,188963,190411,200238,210383,205267,204071,181645,130347,65250,16312
AU_TAS,509965,240680,251480,,,,,,,60971,61446,54588,60225,62410,67089,60929,42024,17982,4496
AU_VIC,5926624,2624174,2720893,,,,,,,671216,639886,730499,790654,696487,642512,548594,394710,184407,46102
AU_WA,2474410,1119313,1110236,,,,,,,294775,280556,312939,332425,298132,271742,217940,144515,61220,15305
AW,105845,50244,55601,59897,45948,,,588.02778,,12324,15111,16158,12129,15394,18559,14839,7508,2232,558
AZ,9939800,4958395,4981405,4405319,5534481,2285729,2285729,120.23467,0.757,1565985,1268061,1529049,1677313,1221857,1214851,748181,223248,101172,25293
BA,3323929,1628375,1695554,1720299,1603630,342577,,64.920488,0.768,307030,331347,443075,462247,463460,477200,434758,232776,119571,29893
BB,286641,138525,148116,197361,89280,,,666.60698,0.8,35410,37378,35539,36926,38369,39565,34685,21070,8390,2097
BD,161356039,81666653,79689386,102248095,59107944,19578421,24393966,1239.5793,0.608,30832763,30657076,30137822,25862589,19496399,15153780,7418540,3815642,1770644,442661
BD_01,502163,264186,237977,,,,,,,116068,94418,90050,75723,53460,42322,17911,8265,3157,789
BD_02,892781,,,,,,,,,,,,,,,,,,
BD_06,2324310,,,,,,,,,,,,,,,,,,
BD_07,1776795,,,,,,,,,,,,,,,,,,
BD_13,15941389,8742021,7199368,,,,,,,2246712,2871605,3927965,2939323,1878838,1262515,502400,208305,82981,20745
BD_20,2089001,,,,,,,,,,,,,,,,,,
BD_25,682669,,,,,,,,,,,,,,,,,,
BD_28,2069273,,,,,,,,,,,,,,,,,,
BD_38,1919062,,,,,,,,,,,,,,,,,,
BD_46,1834231,,,,,,,,,,,,,,,,,,
BD_50,1113257,,,,,,,,,,,,,,,,,,
BD_51,1535854,,,,,,,,,,,,,,,,,,
BD_56,675823,356534,319289,,,,,,,130147,126154,123534,109887,78428,61443,26963,13072,4956,1239
BD_58,1843194,,,,,,,,,,,,,,,,,,
BD_60,3434188,,,,,,,,,,,,,,,,,,
BD_61,2467968,,,,,,,,,,,,,,,,,,
BD_A,8325666,,,,,,,,,,,,,,,,,,
BD_B,29145000,,,,,,,,,,,,,,,,,,
BD_C,49729000,23488582,21785068,,,,,,,7592821,8173846,9473327,7536769,5329203,3940576,1832701,890691,402973,100743
BD_D,15687759,,,,,,,,,,,,,,,,,,
BD_E,18485858,,,,,,,,,,,,,,,,,,
BD_F,15787758,,,,,,,,,,,,,,,,,,
BD_G,9807000,,,,,,,,,,,,,,,,,,
BD_H,11370000,,,,,,,,,,,,,,,,,,
BE,11433256,5648792,5784464,228551,11204705,2049510,3081719,377.58441,0.916,1309231,1304621,1425618,1509829,1511745,1596404,1356880,930489,529298,132325
BF,19751535,9856908,9894627,13952879,5798656,2531381,2531381,72.191283,0.423,7000113,5471971,3945347,2699683,1736118,1054152,571716,244800,39795,9949
BG,7025037,3413178,3611859,1755697,5269340,1272418,1272418,64.7111,0.813,643645,642388,682023,933327,1029560,927725,915070,691134,266261,66565
BH,1569439,998975,570464,168134,1401305,564631,,2017.2737,0.846,294158,242655,452279,668233,353802,196797,92473,24481,6426,1607
BI,11175378,5540530,5634848,9719003,1456375,898968,,435.17827,0.417,3699967,2533353,1892908,1402966,754491,537960,350965,121426,30017,7504
BJ,11485048,5731245,5753803,6051242,5433806,927545,,101.85392,0.515,4071365,3007375,2214425,1564401,981291,604348,352054,173440,45157,11289
BM,63973,32321,34523,0,63973,,,1184.6852,,7429,7679,8064,7719,7252,10229,9484,5675,2650,663
BN,428962,222905,206057,95963,332999,,,81.396964,0.853,69994,68763,75243,82065,72109,53582,30846,10396,2910,728
BO,11353142,5701162,5651980,3471223,7881919,1814087,4692891,10.480146,0.693,2450025,2332687,2084189,1700014,1274363,870562,612209,361628,155043,38761
BO_B,421196,245805,231223,,,,,,,114879,101359,81256,64345,47737,30422,20040,11248,4594,1148
BO_C,1930143,1014560,1047406,,,,,,,423752,406838,365987,286322,215223,151503,109483,66121,29390,7347
BO_H,581347,307164,319064,,,,,,,134759,128304,101767,80106,62519,44753,35786,23481,11802,2951
BO_L,2719344,1532276,1572676,,,,,,,578239,576869,523521,458831,361547,250888,183665,111295,48078,12019
BO_N,110436,107332,91229,,,,,,,48903,42802,37954,29120,19105,11000,6032,2658,790,197
BO_O,494587,295404,302738,,,,,,,120965,110256,105231,84957,63015,47828,34006,20512,9098,2274
BO_P,823517,465482,475727,,,,,,,211492,188013,141881,118983,93824,71923,57001,36054,17630,4408
BO_S,2655084,1663966,1621440,,,,,,,703954,666505,622326,489046,346071,218167,135306,71805,25781,6445
BO_T,482196,291467,294000,,,,,,,112987,111647,104187,88234,65260,44032,30854,18428,7870,1968
BQ,25019,15970,15576,,,,,,,3788,3565,3771,4746,4191,5594,3259,1975,526,131
BR,209469333,102996245,106473088,28133826,181335507,21650181,87864411,25.061716,0.761,29625254,31935904,34928175,35391142,30230154,24792731,17111132,8927906,3392675,848169
BR_AC,881935,487130,486454,,,,,,,199657,186711,169701,151042,107290,76741,48092,22957,9114,2279
BR_AL,3322820,1671448,1806121,,,,,,,580865,600959,567166,548898,438218,329999,237350,118198,44733,11183
BR_AM,4063614,2195286,2173750,,,,,,,874863,819401,763249,706902,496974,344903,210621,104624,37999,9500
BR_AP,797722,472062,471869,,,,,,,187263,181716,174954,154694,106814,70264,39482,19312,7546,1886
BR_BA,15344447,7465074,7818563,,,,,,,2220305,2384183,2563767,2484599,1995720,1564991,1132889,605837,265077,66269
BR_CE,9020460,4682652,4991583,,,,,,,1386222,1597931,1612286,1505740,1267096,945424,725173,409878,179588,44897
BR_DF,3039444,1534136,1691605,,,,,,,438615,457186,578424,612247,469339,335411,204934,93040,29236,7309
BR_ES,3885049,1965385,2048543,,,,,,,519623,561852,654307,669147,578058,487927,303573,162208,61786,15447
BR_GO,6778772,3611795,3696125,,,,,,,1007347,1066676,1218651,1297081,1047518,792557,520949,256054,80870,20217
BR_MA,7000229,3849760,3921290,,,,,,,1422489,1394642,1358444,1142344,865082,683887,505518,269787,103086,25771
BR_MG,21119536,10592936,11020578,,,,,,,2655197,3038824,3360458,3456769,3130127,2676285,1839576,992156,371298,92824
BR_MS,2713147,1462513,1477185,,,,,,,420774,445385,471363,479407,421434,332032,212109,108760,38747,9687
BR_MT,3344544,1936727,1848573,,,,,,,564097,588167,638372,664258,541036,392808,242008,112895,33327,8332
BR_PA,8366628,4896722,4781476,,,,,,,1815266,1757575,1722083,1559427,1105965,812545,540423,256911,86402,21601
BR_PB,4025558,1992358,2161935,,,,,,,599419,625865,663695,647461,545681,421216,342135,196846,89580,22395
BR_PE,9473266,4702504,5149188,,,,,,,1447307,1522964,1602738,1591347,1295884,1016008,764305,403254,166308,41577
BR_PI,3219257,1670327,1762762,,,,,,,522710,554035,572129,525968,426823,349325,261196,146094,59847,14962
BR_PR,11320892,5608620,5874254,,,,,,,1454278,1639727,1737505,1864669,1709180,1412454,973655,487271,163308,40827
BR_RJ,16718956,8520501,9501395,,,,,,0.761,2067810,2329804,2620666,2917968,2657248,2411394,1674107,908177,347778,86944
BR_RN,3507003,1777286,1888332,,,,,,,509347,556810,621543,583968,507440,364753,278401,149343,75210,18803
BR_RO,1590011,930504,893831,,,,,,,285878,304845,313897,315614,248253,179428,107052,50317,15241,3810
BR_RR,1805788,323345,309756,,,,,,,126000,118989,113643,100238,73468,52099,30246,12658,4608,1152
BR_RS,11322895,5456728,5853107,,,,,,,1263292,1473052,1633144,1688936,1696485,1573686,1118156,592020,216851,54213
BR_SC,7001161,3649171,3755076,,,,,,,887283,1023934,1184811,1214569,1145064,933652,606154,287085,97356,24339
BR_SE,2288116,1164056,1240937,,,,,,,368951,393273,411577,395956,323169,231066,158095,81366,33232,8308
BR_SP,45595497,22348700,23876504,,,,,,,5512334,6017195,7306097,7831320,6819284,5846135,3924405,2024674,755008,188752
BR_TO,1550194,867522,842247,,,,,,,287452,293500,292704,279727,210736,155150,110148,56009,19474,4869
BS,385640,187324,198316,65462,320178,,,38.525475,0.807,56867,52984,66998,65347,55231,51179,35859,17902,6386,1597
BT,754394,399809,354585,445885,308509,,,19.777528,0.612,143587,147990,160394,158994,107201,69365,39393,19808,7170,1792
BV,0,,,,,,,,,,,,,,,,,,
BW,2254126,1088049,1166077,688726,1565400,,,3.9774249,0.717,503449,440019,434489,416716,279788,162851,105029,44099,10208,2552
BY,9483499,4413995,5069504,2029943,7453556,2004672,2004672,46.719504,0.808,1098612,928958,1045426,1466330,1269325,1273145,1148472,568614,290660,72665
BZ,383071,190798,192273,207916,175155,,,16.793994,0.708,86238,82523,80843,64127,47007,33585,18204,7378,1953,488
CA,37057765,18383790,18673975,6888668,30169097,6082425,17022069,4.0751882,0.926,3974421,4011735,4865795,5120305,4779488,5153661,4694522,3012273,1344147,336037
CA_AB,4306039,2203246,2193974,,,,,,,546477,487836,658663,704098,575876,569612,438567,276716,111500,27875
CA_BC,4841078,2438692,2538347,,,,,,,476438,504536,635202,655285,649064,696638,678237,440034,193284,48321
CA_MB,1343371,658434,670474,,,,,,,162205,157210,176256,177163,158365,177068,153837,100515,53031,13258
CA_NB,760868,384697,409695,,,,,,,75451,81916,91287,103085,102372,118745,113238,71673,29300,7325
CA_NL,528430,257583,274189,,,,,,,47478,50114,60967,67764,70430,84900,81328,45346,18756,4689
CA_NS,957600,454001,486374,,,,,,,86047,95863,111256,115100,118558,139624,141916,82559,39562,9890
CA_NT,44718,20302,21184,,,,,,,5295,5017,5483,5554,5643,5553,4814,2670,1166,291
CA_NU,38243,18289,19085,,,,,,,4756,4508,4937,5006,5076,5009,4349,2416,1054,263
CA_ON,14279196,6943365,7324195,,,,,,,1521517,1597126,1850049,1921885,1871173,1922987,1752625,1151041,543326,135831
CA_PE,152784,72864,76036,,,,,,,19004,18003,19681,19933,20254,19931,17282,9582,4184,1046
CA_QC,8484965,4215560,4413186,,,,,,,888899,866857,1088990,1189593,1065727,1245893,1176787,735039,296769,74192
CA_SK,1168057,573506,588480,,,,,,,136236,138314,158340,151119,131932,162720,127097,92275,51162,12791
CA_YT,38669,20193,21073,,,,,,,5267,4989,5455,5525,5614,5523,4789,2655,1159,290
CC,596,293,261,,,,,,,72,82,53,74,75,100,54,32,10,2
CD,84068091,41951875,42116216,46691418,37376673,13171256,20259574,37.082592,0.457,37854131,26607073,18240637,12557920,8271638,5664418,3205460,1616320,315894,78973
CF,4666377,2312821,2353556,2736177,1930200,850946,,7.4904122,0.367,1585790,1312996,906576,590567,412522,270873,176604,90748,18693,4673
CG,5244363,2618741,2625622,1735045,3509318,2229693,3367302,15.356846,0.606,1279425,876724,553604,444366,372313,241608,147763,73946,19698,4924
CH,8513227,4220251,4292976,2230721,6282506,1370779,1370779,215.43746,0.944,892036,838044,1041697,1223200,1170781,1328185,984507,754327,370887,92722
CH_AG,678207,334378,341282,,,,,,,69295,65085,80941,95063,90958,103213,76487,58606,28810,7202
CH_AI,16145,,,,,,,,,,,,,,,,,,
CH_AR,55234,,,,,,,,,,,,,,,,,,
CH_BE,1034977,506339,522185,,,,,,,105501,99084,123218,144723,138478,157103,116414,89206,43838,10959
CH_BL,288132,,,,,,,,,,,,,,,,,,
CH_BS,194766,88159,90012,,,,,,,18274,17183,21338,25033,23961,27206,20193,15457,7621,1905
CH_FR,318714,163727,168877,,,,,,,34117,32042,39847,46800,44780,50804,37646,28848,14176,3544
CH_GE,499480,252225,265292,,,,,,,53218,50069,61986,72652,69611,78872,58612,44864,22106,5527
CH_GL,40403,,,,,,,,,,,,,,,,,,
CH_GR,198379,105588,105754,,,,,,,21686,20362,25316,29729,28452,32284,23927,18331,9004,2251
CH_JU,73419,35252,36357,,,,,,,7355,6914,8577,10065,9637,10924,8107,6210,3056,764
CH_LU,409557,206653,205382,,,,,,,42265,39694,49362,57977,55475,62937,46636,35737,17562,4390
CH_NE,176850,87842,90596,,,,,,,18307,17198,21377,25103,24022,27249,20197,15476,7607,1902
CH_NW,43223,,,,,,,,,,,,,,,,,,
CH_OW,37841,19823,19698,,,,,,,4054,3807,4734,5562,5322,6037,4472,3428,1684,421
CH_SG,507697,290009,290492,,,,,,,59545,55925,69559,81666,78148,88678,65712,50349,24735,6184
CH_SH,81991,41559,41662,,,,,,,8521,8009,9967,11698,11191,12723,9436,7223,3562,891
CH_SO,273194,132961,137097,,,,,,,27703,26019,32352,37997,36359,41248,30568,23423,11511,2878
CH_SZ,159165,83527,83012,,,,,,,17083,16044,19952,23433,22421,25438,18850,14445,7098,1775
CH_TG,276472,136246,136477,,,,,,,27963,26269,32670,38366,36710,41665,30880,23657,11634,2909
CH_TI,353343,180027,187896,,,,,,,37620,35440,43968,51622,49632,56226,41700,31987,15782,3946
CH_UR,36433,,,,,,,,,,,,,,,,,,
CH_VD,799145,411254,432468,,,,,,,86556,81298,101077,118706,113592,128862,95499,73177,35964,8991
CH_VS,343955,177798,186990,,,,,,,37422,35148,43701,51325,49112,55716,41289,31639,15549,3887
CH_ZG,126837,,,,,,,,,,,,,,,,,,
CH_ZH,1520968,,,,,,,,,,,,,,,,,,
CI,25069229,12655168,12414061,12339325,12729904,4920776,4920776,78.834053,0.492,7826649,6050161,4672975,3163503,2151543,1414487,867911,346005,55416,13854
CK,17434,9284,8768,,,,,,,2343,2596,2609,1748,2276,2977,1898,1106,399,100
CL,18729160,9228413,9500747,2329158,16400002,6680371,6680371,25.189446,0.843,2599095,2551110,2893784,3013595,2584649,2469764,1773273,975856,363202,90800
CL_AI,103158,64629,60092,,,,,,,17392,18468,17849,19125,17481,16068,10788,5048,2002,500
CL_AN,607534,362001,327721,,,,,,,101547,92476,106863,111735,96157,83853,59751,27014,8261,2065
CL_AP,226068,87901,85278,,,,,,,25227,24101,26724,27709,21927,19875,15057,8717,3074,768
CL_AR,957224,555382,580687,,,,,,,147781,153215,179553,169417,142469,145463,104859,61802,25208,6302
CL_AT,286168,168351,156967,,,,,,,48932,44995,48303,49761,42211,41049,28640,14786,5313,1328
CL_BI,1556805,868946,907367,,,,,,,229033,231833,278379,265324,224894,236103,169326,96003,36334,9084
CL_CO,757586,440441,449145,,,,,,,122540,118919,135903,129406,115065,113213,82500,47228,19850,4962
CL_LI,914555,516462,515513,,,,,,,134484,137608,147377,140898,137926,143311,104811,58558,21602,5400
CL_LL,828708,520478,518727,,,,,,,139940,146207,154372,148558,141230,138818,92356,52343,20305,5076
CL_LR,384837,205546,207013,,,,,,,51985,53678,65255,63032,50357,55002,39444,22927,8703,2176
CL_MA,133282,87348,83239,,,,,,,21717,22425,23021,26497,23695,22687,17647,8959,3151,788
CL_ML,1044950,569214,583989,,,,,,,147896,151257,172013,162493,149398,158512,116543,65917,23339,5835
CL_NB,480609,245229,253367,,,,,,,61473,63951,70654,72854,61822,68076,53200,31279,12230,3057
CL_RM,7112808,3519453,3661975,,,,,,,993425,942740,1058185,1204892,1015444,886147,614692,322637,114613,28653
CL_TA,330558,235829,200939,,,,,,,64258,58705,68446,74870,60675,49601,35637,17667,5527,1382
CL_VS,1815902,1004554,1036706,,,,,,,259222,258996,305178,310417,252117,262771,206800,123577,49746,12436
CM,25216237,12607239,12608998,11000836,14215401,3655656,7067759,53.343989,0.556,8243018,6489565,4919353,3647497,2253835,1330995,790957,404391,99926,24982
CN,1392730000,714757755,677972245,568902350,823827650,25582138,388398439,148.34883,0.752,167535695,162390210,189853344,237818707,216114652,224569833,150506060,72702379,22399110,5599778
CN_AH,60300000,30551776,29271182,,,,,,,7466949,7215507,6378961,9348307,9627607,7910071,7208816,3343886,1058283,264571
CN_BJ,21710000,14568079,13783550,,,,,,,1833834,1906930,5528044,5337592,4203697,4863897,2597450,1541350,431068,107767
CN_CQ,4300000,13840469,13421311,,,,,,,3068198,3253119,2550161,3818530,3949089,4417729,3835949,1712915,524872,131218
CN_FJ,36894216,21140299,19899596,,,,,,,4738746,4307263,6398774,7703322,5967475,5895465,3414043,1808747,644848,161212
CN_GD,113460000,70267053,64857162,,,,,,,14865219,18271066,23487638,25602287,18456045,16264590,10109422,5439623,2102660,525665
CN_GS,25575254,13328036,12713462,,,,,,,3110848,3745827,3065094,4052763,4160412,3517514,2827747,1283802,221993,55498
CN_GX,46026629,25069843,23272352,,,,,,,7601180,6030870,5947584,7614458,6392573,6469534,4722800,2517854,836274,209068
CN_GZ,35800000,17699422,16679613,,,,,,,5421226,5648732,3331907,5417630,4464962,4313017,3550502,1721942,407294,101823
CN_HA,96050000,48610673,47482729,,,,,,,14831322,12014620,11849887,13800708,13442684,14030026,9913860,4456230,1403252,350813
CN_HB,58160000,28555407,27070894,,,,,,,5527321,5959328,6998097,8567428,9037366,9346281,6384006,2846377,768078,192019
CN_HE,71854202,62841789,59895859,,,,,,,13105046,11064913,19290515,19104117,17871289,21563016,12584824,5990610,1730654,432664
CN_HI,9171300,5315862,4725916,,,,,,,1416078,1378814,1421855,1668001,1420371,1265542,773920,482587,171688,42922
CN_HK,7500700,3566346,4024892,,,,,,0.933,677572,565178,894300,1151204,1147108,1214079,1045821,523688,297830,74458
CN_HL,38312224,20468605,19984718,,,,,,,3215867,3552687,4847086,7288869,6920908,7776749,4323658,1956088,457129,114282
CN_HN,65683722,35104833,33041397,,,,,,,8890828,6846501,8313150,10295674,10515239,10318070,7604205,3930542,1145617,286404
CN_JL,27462297,14130977,13797857,,,,,,,2352614,2412175,3323229,4778536,4809676,5447687,3033373,1334788,349405,87351
CN_JS,78659903,42338086,41461605,,,,,,,7678568,7799903,10784699,12998105,13249984,14060868,10155141,4925516,1717526,429381
CN_JX,44567475,25491174,23863921,,,,,,,7881554,6301678,5780735,8532609,6513133,6906927,4439812,2202076,637257,159314
CN_LN,43746323,23243336,22715421,,,,,,,3470893,3800885,5148938,7206046,7526402,9775862,5434056,2598590,797668,199417
CN_MO,642900,299848,320192,,,,,,,69630,42801,83844,127483,89509,92147,73852,28004,10216,2554
CN_NM,24706321,13889404,12807746,,,,,,,2547180,2708387,3443438,4881729,4436328,4673744,2449889,1237086,255495,63874
CN_NX,6301350,3809932,3621155,,,,,,,1071320,1073950,971793,1378001,1051788,917186,616787,280362,55920,13980
CN_QH,5930000,3437548,3200611,,,,,,,975820,956893,834190,1289332,1010747,730896,540455,245555,43417,10854
CN_SC,81100000,40782405,39442212,,,,,,,8906474,9610336,8153607,12608414,11685585,12323438,10475104,4655793,1444693,361173
CN_SD,95793065,51369923,50372291,,,,,,,11469457,9390523,12769085,15233896,15851259,17569052,11555021,5560427,1874795,468699
CN_SH,23390000,16597227,15675287,,,,,,,2104517,1937281,5502882,5862954,4455173,6291756,3423831,1717043,781662,195415
CN_SN,37327378,20090357,18818886,,,,,,,3885259,4740640,5334505,6137359,5743900,6470437,4161434,1908902,421446,105361
CN_SX,36500000,20199163,19105479,,,,,,,4350108,5490333,4935035,6368115,5828352,6347033,3631521,1792004,449713,112428
CN_TJ,13245000,8993527,7949630,,,,,,,1197727,1329085,2963260,2807520,2503389,3268863,1736142,813462,258967,64742
CN_TW,23140000,,,,,,,,,,,,,,,,,,
CN_XJ,21813334,13416105,12545213,,,,,,,3792274,3429639,3598871,4881281,3826240,2995520,2175002,997725,211813,52953
CN_XZ,3180000,1772183,1692991,,,,,,,615265,538811,575445,611392,425592,334997,231234,99013,26740,6685
CN_YN,47420000,25724401,23938872,,,,,,,7064078,6859679,6260963,9180097,6964042,6051153,4327116,2194167,609582,152396
CN_ZJ,56570000,33186047,31374254,,,,,,,6022779,6003299,8500731,11537569,10446593,10516999,6551252,3435430,1236519,309130
CO,49648685,24364709,25283976,9543470,40105215,10574409,21794184,44.748702,0.747,9371362,10076474,10294619,9956169,8263147,7278851,4818682,2334368,774406,193602
CO_05,6677930,3801244,4141816,,,,,,,1065082,1226370,1241921,1241516,1121149,986949,631057,306779,97790,24447
CO_05_05001,2529403,1479017,1611770,,,,,,,414151,477010,483247,483193,436447,384196,245602,119383,38046,9512
CO_05_05030,30376,,,,,,,,,,,,,,,,,,
CO_05_05031,22714,,,,,,,,,,,,,,,,,,
CO_05_05034,47384,,,,,,,,,,,,,,,,,,
CO_05_05042,22764,,,,,,,,,,,,,,,,,,
CO_05_05045,131405,,,,,,,,,,,,,,,,,,
CO_05_05051,44560,,,,,,,,,,,,,,,,,,
CO_05_05079,53167,,,,,,,,,,,,,,,,,,
CO_05_05088,371591,,,,,,,,,,,,,,,,,,
CO_05_05101,27458,,,,,,,,,,,,,,,,,,
CO_05_05120,42112,,,,,,,,,,,,,,,,,,
CO_05_05129,81381,,,,,,,,,,,,,,,,,,
CO_05_05147,61641,,,,,,,,,,,,,,,,,,
CO_05_05148,49076,,,,,,,,,,,,,,,,,,
