date,key,mobility_driving,mobility_transit,mobility_walking,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
2020-05-31,AU_TAS,-58.22,,,-32,-15,-62,-57,-21,10
2020-05-31,AU_VIC,-28.47,,,-30,-4,-25,-53,-21,10
2020-05-31,AU_WA,-18.35,,,-15,0,-28,-44,-13,6
2020-05-31,AW,,,,-40,-8,-9,-51,-30,
2020-05-31,BA,,,,-10,3,22,-16,0,0
2020-05-31,BB,,,,-52,-31,-39,-73,-35,12
2020-05-31,BD,,,,-47,-25,-21,-42,-25,13
2020-05-31,BE,-15.65,-50.52,-10.74,-48,4,60,-22,0,5
2020-05-31,BF,,,,-4,2,-3,-15,14,2
2020-05-31,BG,-16.23,,-31.48,-11,-5,49,-24,8,-2
2020-05-31,BH,,,,-24,-9,-22,-26,-17,14
2020-05-31,BJ,,,,-11,-3,1,-19,6,5
2020-05-31,BO,,,,-86,-86,-82,-87,-50,30
2020-05-31,BR,-47.4,-79.19,-64.12,-60,-9,-58,-47,-8,12
2020-05-31,BR_AC,,,,-69,-8,-52,-74,-13,11
2020-05-31,BR_AL,-56.18,,,-69,-26,-75,-72,-21,16
2020-05-31,BR_AM,11.81,,,-55,1,-49,-27,-5,10
2020-05-31,BR_AP,,,,-79,-7,-56,-70,-19,16
2020-05-31,BR_BA,-54.62,,,-67,-23,-63,-67,-15,15
2020-05-31,BR_CE,-56.9,,,-75,-18,-83,-63,-15,15
2020-05-31,BR_DF,-28.8,,,-56,0,-45,-31,-5,14
2020-05-31,BR_ES,-52.44,,,-65,-17,-79,-60,-11,13
2020-05-31,BR_GO,-25.7,,,-56,3,-21,-21,2,9
2020-05-31,BR_MA,-36.69,,,-60,-6,-42,-60,-9,13
2020-05-31,BR_MG,-43.66,,,-53,-2,-32,-41,-4,10
2020-05-31,BR_MS,-38.76,,,-39,3,-34,-40,5,8
2020-05-31,BR_MT,-14.34,,,-41,0,-28,-37,3,7
2020-05-31,BR_PA,-31.28,,,-61,-6,-51,-63,-9,13
2020-05-31,BR_PB,-54.32,,,-76,-18,-74,-64,-15,16
2020-05-31,BR_PE,-50.98,,,-72,-17,-68,-51,-17,16
2020-05-31,BR_PI,-46.98,,,-75,-67,-41,-75,-15,16
2020-05-31,BR_PR,-44.92,,,-49,-4,-46,-39,1,9
2020-05-31,BR_RJ,-57.31,,,-65,-11,-69,-50,-15,12
2020-05-31,BR_RN,-55.26,,,-69,-15,-68,-56,-16,16
2020-05-31,BR_RO,-22.67,,,-48,3,-22,-67,-2,9
2020-05-31,BR_RR,-4.69,,,-65,-4,-56,-63,-7,14
2020-05-31,BR_RS,-43.98,,,-58,-14,-64,-50,-6,13
2020-05-31,BR_SC,-50.17,,,-48,-21,-62,-58,-6,11
2020-05-31,BR_SE,-54.66,,,-69,-16,-68,-80,-13,14
2020-05-31,BR_SP,-51.32,,,-62,-8,-47,-46,-6,11
2020-05-31,BR_TO,-14.05,,,-51,-10,-27,-63,-4,8
2020-05-31,BS,,,,-94,-95,-75,-94,-69,26
2020-05-31,BW,,,,3,18,10,-17,16,12
2020-05-31,BY,,,,-17,0,34,-17,0,-2
2020-05-31,BZ,,,,-50,-25,-40,-56,-28,10
2020-05-31,CA,-12.78,-68.34,-16.07,-30,-12,69,-43,-13,7
2020-05-31,CA_AB,-6.54,,,-28,-11,21,-47,-16,6
2020-05-31,CA_BC,-14.45,,,-29,-4,50,-40,-19,7
2020-05-31,CA_MB,9.97,,,-18,0,160,-37,-12,1
2020-05-31,CA_NB,13.35,,,0,12,,-14,-3,-1
2020-05-31,CA_NL,21.26,,,-1,8,180,-49,6,-1
2020-05-31,CA_NS,-7,,,5,23,321,-25,2,-1
2020-05-31,CA_NT,-29.02,,,,,,-66,-19,
2020-05-31,CA_ON,-17.62,,,-32,-12,84,-44,-15,7
2020-05-31,CA_PE,23.24,,,1,20,,,8,
2020-05-31,CA_QC,-14.77,,,-36,-20,57,-45,-9,7
2020-05-31,CA_SK,4.35,,,-21,4,138,-34,-11,3
2020-05-31,CA_YT,25.29,,,,,,,,
2020-05-31,CH,24,-37.73,12.66,-19,14,82,-3,-4,1
2020-05-31,CH_AG,16.45,,,-15,28,75,10,-4,1
2020-05-31,CH_AR,74.71,,,,,,15,,
2020-05-31,CH_BE,66.67,,,-16,33,98,4,-6,0
2020-05-31,CH_BL,9.43,,,-12,,41,1,1,
2020-05-31,CH_BS,-25.73,,,,,,,,
2020-05-31,CH_FR,58.21,,,-6,,113,10,-1,0
2020-05-31,CH_GE,-37.83,,,-33,,54,-50,3,2
2020-05-31,CH_GL,158.41,,,,,,,,
2020-05-31,CH_GR,90.01,,,-47,-49,56,-29,-35,
2020-05-31,CH_JU,75.51,,,,,,45,10,
2020-05-31,CH_LU,42.89,,,-15,18,38,8,-9,0
2020-05-31,CH_NE,60.73,,,23,,,58,11,
2020-05-31,CH_NW,116.64,,,,,17,-7,,
2020-05-31,CH_OW,180.87,,,,,,16,,
2020-05-31,CH_SG,46.75,,,-20,23,103,23,0,0
2020-05-31,CH_SH,53.34,,,,,,34,,
2020-05-31,CH_SO,30.9,,,3,,69,-1,1,
2020-05-31,CH_SZ,83.65,,,13,,132,49,-5,
2020-05-31,CH_TG,43.77,,,17,,159,78,4,
2020-05-31,CH_TI,39.01,,,-6,-19,55,13,5,6
2020-05-31,CH_UR,,,,,,,6,,
2020-05-31,CH_VD,14.31,,,3,34,114,9,-2,1
2020-05-31,CH_VS,52.63,,,-28,-19,55,-16,-21,2
2020-05-31,CH_ZG,13.1,,,-6,,,4,3,
2020-05-31,CH_ZH,1.14,,,-33,12,6,-25,-4,2
2020-05-31,CI,,,,-7,-1,-11,-19,10,5
2020-05-31,CL,-71.52,,-79.27,-67,-44,-71,-62,-30,21
2020-05-31,CL_AI,,,,-65,-36,-68,-73,-14,
2020-05-31,CL_AN,-21.9,,,-49,-39,-63,-55,-20,16
2020-05-31,CL_AP,,,,-56,-32,-64,-54,-20,14
2020-05-31,CL_AR,-74.17,,,-67,-48,-70,-70,-24,23
2020-05-31,CL_AT,,,,-52,-28,-61,-67,-10,23
2020-05-31,CL_BI,-58.93,,,-59,-38,-70,-56,-17,22
2020-05-31,CL_CO,-63.91,,,-70,-48,-82,-66,-24,19
2020-05-31,CL_LI,-69.25,,,-57,-39,-63,-53,-16,19
2020-05-31,CL_LL,-70.41,,,-60,-43,-70,-61,-19,20
2020-05-31,CL_LR,-77.49,,,-71,-49,-76,-74,-22,22
2020-05-31,CL_MA,-62.87,,,-71,-53,-61,-85,-27,11
2020-05-31,CL_ML,-63.37,,,-59,-40,-64,-55,-15,22
2020-05-31,CL_NB,,,,-55,-46,-59,-82,-46,
2020-05-31,CL_RM,-77.16,,,-72,-45,-67,-65,-41,23
2020-05-31,CL_TA,-72.99,,,-82,-64,-83,-64,-43,24
2020-05-31,CL_VS,-77.51,,,-70,-50,-79,-66,-28,19
2020-05-31,CM,,,,-12,-9,-11,-11,6,6
2020-05-31,CO,-49.36,,-43.87,-70,-45,-62,-58,-24,19
2020-05-31,CO_05,,,,-67,-37,-55,-64,-18,17
2020-05-31,CO_08,,,,-77,-57,-69,-82,-38,19
2020-05-31,CO_11,,,,-65,-32,-54,-54,-22,19
2020-05-31,CO_13,,,,-90,-84,-84,-93,-55,23
2020-05-31,CO_15,,,,-72,-51,-72,-77,-25,20
2020-05-31,CO_17,,,,-75,-59,-66,-88,-24,19
2020-05-31,CO_18,,,,-57,-33,-45,,-11,
2020-05-31,CO_19,,,,-74,-61,-62,-59,-20,19
2020-05-31,CO_20,,,,-69,-46,-54,-77,-20,17
2020-05-31,CO_23,,,,-67,-35,-43,-48,-9,16
2020-05-31,CO_25,,,,-81,-71,-78,-63,-32,23
2020-05-31,CO_27,,,,-79,-74,-51,-82,-37,
2020-05-31,CO_41,,,,-82,-78,-71,,-30,20
2020-05-31,CO_44,,,,-73,-66,-63,-78,-32,15
2020-05-31,CO_47,,,,-86,-81,-81,-89,-46,20
2020-05-31,CO_50,,,,-68,-50,-51,-48,-17,20
2020-05-31,CO_52,,,,-71,-50,-59,-76,-15,18
2020-05-31,CO_54,,,,-62,-24,-50,-83,-3,12
2020-05-31,CO_63,,,,-73,-47,-77,-88,-30,19
2020-05-31,CO_66,,,,-64,-29,-61,-74,-21,18
2020-05-31,CO_68,,,,-83,-79,-74,-76,-42,22
2020-05-31,CO_70,,,,-85,-82,-73,-100,-35,22
2020-05-31,CO_73,,,,-72,-47,-58,-85,-21,18
2020-05-31,CO_76,,,,-65,-38,-60,-52,-18,17
2020-05-31,CO_81,,,,-63,-29,-49,-31,-11,
2020-05-31,CO_85,,,,-66,-47,-52,-54,-15,19
2020-05-31,CO_86,,,,-75,-76,-72,,-36,
2020-05-31,CO_88,,,,-88,,-83,-87,-52,
2020-05-31,CO_91,,,,,,-76,,,
2020-05-31,CO_95,,,,,,-67,,-17,
2020-05-31,CO_99,,,,,,-42,,,
2020-05-31,CR,,,,-60,-28,-62,-56,-26,17
2020-05-31,CV,,,,-45,-31,-42,-77,-21,
2020-05-31,CZ,1.02,-50.1,-55.54,-24,0,-35,-23,5,1
2020-05-31,CZ_10,,,,-35,-3,-42,-32,-5,-1
2020-05-31,CZ_20,36.58,,,-3,3,-17,11,15,1
2020-05-31,CZ_31,60.15,,,-16,-5,-39,-18,4,1
2020-05-31,CZ_32,26.43,,,-25,-9,-19,1,6,0
2020-05-31,CZ_41,5.36,,,-28,-8,-28,-25,4,0
2020-05-31,CZ_42,27.69,,,-20,3,-12,1,9,-1
2020-05-31,CZ_51,40.19,,,-7,9,-35,-10,7,0
2020-05-31,CZ_52,36.59,,,-18,-1,-21,-24,9,1
2020-05-31,CZ_53,31.01,,,-25,2,-44,-34,6,2
2020-05-31,CZ_63,53.1,,,-15,6,-22,-11,4,2
2020-05-31,CZ_64,7.17,,,-20,3,-57,-18,5,2
2020-05-31,CZ_71,22.48,,,-13,8,-46,-33,4,3
2020-05-31,CZ_72,16.02,,,-15,2,-47,-28,3,3
2020-05-31,CZ_80,-1.98,,,-28,-2,-61,-38,0,4
2020-05-31,DE,10.23,-21.08,15.52,-19,32,143,-13,8,0
2020-05-31,DE_BB,37.12,,,15,39,241,6,20,-2
2020-05-31,DE_BE,,,,-36,12,73,-28,13,-1
2020-05-31,DE_BW,13.45,,,-22,36,148,-8,4,0
2020-05-31,DE_BY,14.98,,,-28,19,87,-27,-2,2
2020-05-31,DE_HB,-10.94,,,-42,26,161,-34,10,-1
2020-05-31,DE_HE,2.69,,,-21,32,162,-36,6,0
2020-05-31,DE_HH,,,,-40,8,120,-31,11,0
2020-05-31,DE_MV,153.04,,,63,186,324,52,30,-4
2020-05-31,DE_NI,20.8,,,-15,41,227,0,9,0
2020-05-31,DE_NW,-2.7,,,-23,21,148,-17,9,0
2020-05-31,DE_RP,27.3,,,0,44,193,-7,3,0
2020-05-31,DE_SH,54.61,,,7,112,248,12,14,0
2020-05-31,DE_SL,14.99,,,-27,0,119,-25,-1,0
2020-05-31,DE_SN,16.59,,,-10,21,139,-6,16,-3
2020-05-31,DE_ST,33.38,,,2,37,165,-1,24,-4
2020-05-31,DE_TH,41.14,,,-3,37,152,5,14,-3
2020-05-31,DK,21.05,-33.1,12.14,-20,-11,235,-12,5,-1
2020-05-31,DO,,,,-45,-23,-43,-61,-17,11
2020-05-31,EC,,,,-73,-60,-67,-71,-26,21
2020-05-31,EE,39.21,-12.74,6.34,-14,2,109,-6,4,-5
2020-05-31,EG,-40.07,,-45.02,-50,-2,-35,-43,-25,13
2020-05-31,ES,-44.71,-68.22,-68.42,-57,-26,-16,-49,-16,7
2020-05-31,ES_AN,-47.77,,,-58,-30,-36,-55,-13,6
2020-05-31,ES_AR,-28.42,,,-55,-24,-13,-55,-17,5
2020-05-31,ES_AS,-9.32,,,-47,,-8,-49,-11,6
2020-05-31,ES_CB,1.96,,,-49,-15,-7,-44,-13,6
2020-05-31,ES_CE,,,,-69,-25,-43,,-23,
2020-05-31,ES_CL,-41.59,,,-64,-33,-29,-57,-21,8
2020-05-31,ES_CM,-37.96,,,-58,-26,-22,-58,-13,8
2020-05-31,ES_CN,-64.06,,,-61,-35,-25,-58,-29,7
2020-05-31,ES_CT,-51.95,,,-56,-21,-5,-39,-17,9
2020-05-31,ES_EX,-35.55,,,-54,-19,-20,-42,-9,5
2020-05-31,ES_GA,-11.5,,,-50,-20,7,-45,-9,5
2020-05-31,ES_IB,-7.4,,,-40,2,36,-52,-5,2
2020-05-31,ES_MC,-17.71,,,-49,-15,-4,-36,-6,5
2020-05-31,ES_MD,-51.35,,,-70,-31,-37,-59,-24,12
2020-05-31,ES_ML,,,,-38,,-11,-74,-3,
2020-05-31,ES_NC,-8.99,,,-46,-9,8,-50,-8,5
2020-05-31,ES_PV,-27.55,,,-44,2,20,-30,-16,7
2020-05-31,ES_RI,-30.62,,,-48,-16,-16,-55,-12,5
2020-05-31,ES_VC,-39.98,,,-57,-39,-25,-52,-10,6
2020-05-31,FI,41.29,-21.86,21.03,-26,9,122,-31,4,-2
2020-05-31,FJ,,,,-28,-10,-14,-40,-7,9
2020-05-31,FR,-9.15,-45.01,-48.35,-40,5,53,-38,7,2
2020-05-31,FR_ARA,,,,-45,-2,62,-48,5,1
2020-05-31,FR_BFC,,,,-37,7,85,-52,11,1
2020-05-31,FR_BRE,29.86,,,-33,24,105,-26,10,-1
2020-05-31,FR_COR,28.4,,,-35,-2,12,-37,-2,2
2020-05-31,FR_CVL,,,,-34,11,60,-52,12,1
2020-05-31,FR_GES,,,,-43,11,80,-46,5,1
2020-05-31,FR_HDF,,,,-37,12,127,-43,15,1
2020-05-31,FR_IDF,-34.53,,,-48,-3,25,-36,-1,3
2020-05-31,FR_NAQ,,,,-37,8,50,-40,10,1
2020-05-31,FR_NOR,,,,-22,32,117,-39,13,0
2020-05-31,FR_OCC,,,,-41,4,38,-45,8,2
2020-05-31,FR_PAC,8,,,-38,1,20,-38,2,2
2020-05-31,FR_PDL,7.34,,,-37,21,116,-39,16,-1
2020-05-31,GA,,,,-25,-10,-24,-39,5,14
2020-05-31,GB,-26.55,-68.05,-33.76,-67,-19,67,-45,-26,9
2020-05-31,GB_ENG,-26.21,,,,,,,,
2020-05-31,GB_ENG_E06000001,,,,-60,-16,,-7,-12,
2020-05-31,GB_ENG_E06000002,,,,-66,-14,22,-35,-19,
2020-05-31,GB_ENG_E06000003,,,,-63,-12,81,0,-22,
2020-05-31,GB_ENG_E06000004,,,,-65,-22,49,-6,-21,
2020-05-31,GB_ENG_E06000005,,,,-65,-20,,-44,-24,
2020-05-31,GB_ENG_E06000006,,,,-60,-16,,-17,-20,
2020-05-31,GB_ENG_E06000007,,,,-70,-19,89,-32,-21,8
2020-05-31,GB_ENG_E06000008,,,,-62,-7,,-26,-18,
2020-05-31,GB_ENG_E06000009,,,,-72,-5,213,32,-28,
2020-05-31,GB_ENG_E06000010,,,,-63,-16,,-43,-25,6
2020-05-31,GB_ENG_E06000011,,,,-60,-10,91,27,-23,7
2020-05-31,GB_ENG_E06000012,,,,-56,-12,,-9,-14,
2020-05-31,GB_ENG_E06000013,,,,-57,-9,79,-6,-17,
2020-05-31,GB_ENG_E06000014,,,,-76,-28,0,-65,-43,
2020-05-31,GB_ENG_E06000015,,,,-69,-18,44,-62,-24,8
2020-05-31,GB_ENG_E06000016,,,,-62,-19,120,-57,-22,8
2020-05-31,GB_ENG_E06000018,,,,-80,-24,77,-63,-30,9
2020-05-31,GB_ENG_E06000019,,,,-65,-20,61,3,-22,
2020-05-31,GB_ENG_E06000021,,,,-65,-15,77,-44,-24,7
2020-05-31,GB_ENG_E06000022,,,,-80,-24,60,-37,-44,
2020-05-31,GB_ENG_E06000023,,,,-76,-23,116,-65,-29,10
2020-05-31,GB_ENG_E06000024,,,,-64,-20,76,-63,-28,
2020-05-31,GB_ENG_E06000025,,,,-69,-24,98,-28,-23,9
2020-05-31,GB_ENG_E06000026,,,,-70,-23,63,-29,-29,7
2020-05-31,GB_ENG_E06000027,,,,-69,-14,76,-17,-30,
2020-05-31,GB_ENG_E06000030,,,,-70,-31,,-43,-21,8
2020-05-31,GB_ENG_E06000031,,,,-60,-16,,-53,-18,7
2020-05-31,GB_ENG_E06000032,,,,-56,-13,,-82,-18,9
2020-05-31,GB_ENG_E06000033,,,,-57,-12,185,-32,-25,
2020-05-31,GB_ENG_E06000034,,,,-76,-24,,-16,-20,
2020-05-31,GB_ENG_E06000035,,,,-64,-13,44,-25,-22,8
2020-05-31,GB_ENG_E06000036,,,,-70,-23,33,-26,-30,
2020-05-31,GB_ENG_E06000037,,,,-72,-28,51,-59,-23,
2020-05-31,GB_ENG_E06000038,,,,-76,-26,108,-73,-28,
2020-05-31,GB_ENG_E06000039,,,,-53,-16,62,-52,-30,
2020-05-31,GB_ENG_E06000040,,,,-69,-14,35,-16,-24,
2020-05-31,GB_ENG_E06000041,,,,-61,-27,,-24,-24,
2020-05-31,GB_ENG_E06000042,,,,-72,-24,103,-50,-25,9
2020-05-31,GB_ENG_E06000043,,,,-69,-23,97,-37,-38,10
2020-05-31,GB_ENG_E06000044,,,,-68,-20,,-27,-26,8
2020-05-31,GB_ENG_E06000045,,,,-77,-15,27,-52,-30,8
2020-05-31,GB_ENG_E06000046,,,,-59,-13,55,-35,-22,
2020-05-31,GB_ENG_E06000047,,,,-64,-15,88,-21,-25,8
2020-05-31,GB_ENG_E06000049,,,,-68,-16,29,-46,-24,9
2020-05-31,GB_ENG_E06000050,,,,-76,-18,46,-50,-29,10
2020-05-31,GB_ENG_E06000051,,,,-65,-17,52,-21,-25,8
2020-05-31,GB_ENG_E06000052,,,,-60,-19,58,-8,-27,7
2020-05-31,GB_ENG_E06000054,,,,-66,-18,50,-27,-26,9
2020-05-31,GB_ENG_E06000055,,,,-67,-17,70,-39,-23,
2020-05-31,GB_ENG_E06000056,,,,-58,-14,71,-29,-19,9
2020-05-31,GB_ENG_E06000057,,,,-61,-5,60,-3,-26,8
2020-05-31,GB_ENG_E06000059,,,,-63,-12,124,-10,-28,8
2020-05-31,GB_ENG_E08000003,,,,-68,-21,62,-59,-25,9
2020-05-31,GB_ENG_E09000001,,,,-73,-25,68,-61,-33,11
2020-05-31,GB_ENG_E10000002,,,,-67,-21,87,-32,-26,10
2020-05-31,GB_ENG_E10000003,,,,-73,-23,58,-57,-27,10
2020-05-31,GB_ENG_E10000006,,,,-65,-14,73,-27,-31,8
2020-05-31,GB_ENG_E10000007,,,,-68,-14,104,-13,-24,8
2020-05-31,GB_ENG_E10000008,,,,-67,-19,64,-24,-28,8
2020-05-31,GB_ENG_E10000011,,,,-62,-12,107,-14,-28,8
2020-05-31,GB_ENG_E10000012,,,,-65,-20,76,-60,-25,9
2020-05-31,GB_ENG_E10000013,,,,-70,-20,53,-31,-25,9
2020-05-31,GB_ENG_E10000014,,,,-68,-18,82,-22,-24,9
2020-05-31,GB_ENG_E10000015,,,,-68,-23,83,-41,-24,10
2020-05-31,GB_ENG_E10000016,,,,-67,-20,83,-28,-24,9
2020-05-31,GB_ENG_E10000017,,,,-61,-14,131,-24,-22,8
2020-05-31,GB_ENG_E10000018,,,,-66,-17,55,-39,-24,9
2020-05-31,GB_ENG_E10000019,,,,-63,-13,61,-16,-22,7
2020-05-31,GB_ENG_E10000020,,,,-67,-17,72,-38,-23,8
2020-05-31,GB_ENG_E10000021,,,,-66,-16,34,-39,-20,8
2020-05-31,GB_ENG_E10000023,,,,-67,-9,67,-16,-30,9
2020-05-31,GB_ENG_E10000024,,,,-68,-17,47,-18,-22,8
2020-05-31,GB_ENG_E10000025,,,,-72,-22,48,-49,-31,10
2020-05-31,GB_ENG_E10000027,,,,-67,-18,42,-21,-24,8
2020-05-31,GB_ENG_E10000028,,,,-65,-17,45,-40,-25,8
2020-05-31,GB_ENG_E10000029,,,,-65,-19,60,-11,-24,8
2020-05-31,GB_ENG_E10000030,,,,-71,-20,52,-40,-26,10
2020-05-31,GB_ENG_E10000031,,,,-68,-16,49,-40,-23,9
2020-05-31,GB_ENG_E10000032,,,,-63,-15,106,-73,-27,9
2020-05-31,GB_ENG_E10000034,,,,-67,-19,78,-32,-25,8
2020-05-31,GB_NIR,-17.69,,,,,,,,
2020-05-31,GB_NIR_N09000001,,,,-59,-25,,-78,-20,
2020-05-31,GB_NIR_N09000002,,,,-61,-13,36,,-16,6
2020-05-31,GB_NIR_N09000003,,,,-65,-20,26,-51,-25,9
2020-05-31,GB_NIR_N09000004,,,,-55,10,64,-4,-23,
2020-05-31,GB_NIR_N09000005,,,,-59,4,1,-25,-20,
2020-05-31,GB_NIR_N09000006,,,,-64,2,,-25,-15,
2020-05-31,GB_NIR_N09000007,,,,-66,-18,-27,-34,-25,
2020-05-31,GB_NIR_N09000008,,,,-50,2,,-21,-20,
2020-05-31,GB_NIR_N09000009,,,,-57,-2,,-19,-12,
2020-05-31,GB_NIR_N09000010,,,,-56,5,54,5,-16,
2020-05-31,GB_NIR_N09000011,,,,-50,-5,46,-1,-25,
2020-05-31,GB_SCT,-31.32,,,,,,,,
2020-05-31,GB_SCT_S08000016,,,,-54,-14,,3,-25,
2020-05-31,GB_SCT_S08000017,,,,-58,-15,23,-44,-24,
2020-05-31,GB_SCT_S08000022,,,,-64,-21,31,-42,-29,7
2020-05-31,GB_SCT_S08000029,,,,-61,-11,71,-18,-22,8
2020-05-31,GB_WLS,-38.13,,,,,,,,
2020-05-31,GB_WLS_W11000024,,,,-71,-21,-3,-24,-25,
2020-05-31,GB_WLS_W11000029,,,,-73,-25,1,-60,-35,12
2020-05-31,GB_WLS_W11000031,,,,-66,-23,13,-38,-30,10
2020-05-31,GE,,,,-42,-18,6,-30,-15,0
2020-05-31,GH,,,,-23,-9,-21,-26,6,12
2020-05-31,GR,-18.26,,-35.38,-30,34,61,-17,3,2
2020-05-31,GT,,,,-91,-92,-81,-91,-65,28
2020-05-31,GW,,,,,,,,-3,
2020-05-31,HK,-34.36,,-46.69,-14,6,-20,-21,-9,9
2020-05-31,HN,,,,-83,-77,-65,-83,-40,19
2020-05-31,HR,13.47,,-21.23,-13,-16,35,-20,6,-1
2020-05-31,HT,,,,-29,-22,-19,-46,-9,4
2020-05-31,HU,-14.19,,-63.49,-44,-77,9,-38,-10,3
2020-05-31,ID,-30.27,,-48.97,-37,-13,-38,-54,-5,12
2020-05-31,ID_AC,,,,-5,1,0,-41,3,3
2020-05-31,ID_BA,,,,-46,-34,-64,-82,-27,15
2020-05-31,ID_BB,,,,-33,-11,-11,-71,-1,9
2020-05-31,ID_BE,,,,-20,-9,-33,-59,8,8
2020-05-31,ID_BT,,,,-32,-10,-13,-62,-10,12
2020-05-31,ID_GO,,,,-37,-24,-23,-53,1,9
2020-05-31,ID_JA,,,,-24,-10,-18,-57,7,7
2020-05-31,ID_JB,,,,-48,-5,-24,-45,-5,12
2020-05-31,ID_JI,,,,-29,-14,-47,-60,-3,13
2020-05-31,ID_JK,,,,-56,-23,-93,-60,-22,15
2020-05-31,ID_JT,,,,-24,-13,-37,-57,3,9
2020-05-31,ID_KB,,,,-45,-24,-31,-53,-8,9
2020-05-31,ID_KI,,,,-27,-6,-22,-56,3,9
2020-05-31,ID_KR,,,,-35,-19,-27,-74,-13,12
2020-05-31,ID_KS,,,,-33,-20,-44,-59,2,13
2020-05-31,ID_KT,,,,-34,-22,-42,-52,5,10
2020-05-31,ID_KU,,,,-31,-11,-24,-53,1,9
2020-05-31,ID_LA,,,,-23,-2,-29,-51,9,8
2020-05-31,ID_MA,,,,-37,-24,-23,-64,-1,9
2020-05-31,ID_MU,,,,-36,-10,-20,-65,6,7
2020-05-31,ID_NB,,,,-36,-19,-40,-65,-2,10
2020-05-31,ID_NT,,,,-31,-16,-11,-61,11,7
2020-05-31,ID_PA,,,,-47,-33,-40,-59,-8,12
2020-05-31,ID_PB,,,,-33,-21,-35,-64,-1,10
2020-05-31,ID_RI,,,,-21,-10,-2,-52,2,8
2020-05-31,ID_SA,,,,-49,-23,-36,-65,-1,14
2020-05-31,ID_SB,,,,-29,-7,-31,-58,5,9
2020-05-31,ID_SG,,,,-32,-16,-30,-58,7,9
2020-05-31,ID_SN,,,,-43,-23,-31,-70,-5,13
2020-05-31,ID_SR,,,,-22,-16,-44,-61,12,9
2020-05-31,ID_SS,,,,-40,-19,-35,-56,2,12
2020-05-31,ID_ST,,,,-22,-6,0,-55,11,6
2020-05-31,ID_SU,,,,-32,-18,-29,-50,-2,10
2020-05-31,IE,-42.03,-69.69,-48.6,-64,-2,-22,-32,-18,10
