key,station,latitude,longitude,distance,measurement
CF,CTM00064650,4.398,18.519,367.472,TMAX|TMIN|PRCP|TAVG
CG,GBM00064570,-1.667,13.4,242.997,TMAX|TMIN|PRCP|TAVG
CH,SZ000003700,47.3831,8.5667,69.784,TMAX|TMIN|PRCP
CH_AG,GME00127786,47.5633,7.7942,28.715,TMAX|TMIN|PRCP|SNWD
CH_AI,SZ000002220,47.25,9.35,6.720,TMAX|TMIN
CH_AR,SZ000002220,47.25,9.35,14.554,TMAX|TMIN
CH_BE,SZE00116090,46.8167,6.95,50.771,TMAX|TMIN|PRCP|TAVG
CH_BL,GME00127786,47.5633,7.7942,11.516,TMAX|TMIN|PRCP|SNWD
CH_BS,SZ000001940,47.5331,7.5831,3.943,TMAX|TMIN|PRCP
CH_FR,SZE00116090,46.8167,6.95,15.066,TMAX|TMIN|PRCP|TAVG
CH_GE,SZ000008440,46.25,6.1331,4.367,TMAX|TMIN|PRCP|TAVG
CH_GL,SZ000002220,47.25,9.35,36.602,TMAX|TMIN
CH_GR,SZ000002220,47.25,9.35,56.766,TMAX|TMIN
CH_JU,SZ000001940,47.5331,7.5831,37.469,TMAX|TMIN|PRCP
CH_LU,SZ000003700,47.3831,8.5667,47.613,TMAX|TMIN|PRCP
CH_NE,SZE00116090,46.8167,6.95,22.449,TMAX|TMIN|PRCP|TAVG
CH_NW,SZ000003700,47.3831,8.5667,49.795,TMAX|TMIN|PRCP
CH_OW,SZ000003700,47.3831,8.5667,70.206,TMAX|TMIN|PRCP
CH_SG,SZ000002220,47.25,9.35,16.649,TMAX|TMIN
CH_SH,GME00130618,47.6789,8.3806,14.549,TMAX|TMIN|PRCP|SNWD
CH_SO,SZ000001940,47.5331,7.5831,42.780,TMAX|TMIN|PRCP
CH_SZ,SZ000003700,47.3831,8.5667,37.822,TMAX|TMIN|PRCP
CH_TG,GME00102404,47.6781,9.1908,14.060,TMAX|TMIN|SNWD
CH_TI,SZ000009480,46.0,8.9667,37.071,TMAX|TMIN|PRCP
CH_UR,SZ000003700,47.3831,8.5667,66.819,TMAX|TMIN|PRCP
CH_VD,SZE00116090,46.8167,6.95,37.756,TMAX|TMIN|PRCP|TAVG
CH_VS,SZE00105086,46.2167,7.3331,26.487,TMAX|TMIN|TAVG
CH_ZG,SZ000003700,47.3831,8.5667,24.322,TMAX|TMIN|PRCP
CH_ZH,SZ000003700,47.3831,8.5667,7.530,TMAX|TMIN|PRCP
CI,IV000005555,7.68,-5.03,112.655,TMAX|TMIN|PRCP
CK,FP000091929,-16.45,-151.75,1003.305,TMAX|TMIN
CL,CIM00085574,-33.393,-70.786,48.037,TMAX|TMIN|PRCP|TAVG
CL_AI,CIM00085864,-45.594,-72.106,4.095,TMAX|TMIN|PRCP|TAVG
CL_AN,CI000085442,-23.433,-70.45,23.825,TMAX|TMIN
CL_AP,CI000085406,-18.35,-70.333,14.040,TMAX|TMIN|TAVG
CL_AR,CI000085743,-38.75,-72.633,16.937,TMAX|TMIN|PRCP|TAVG
CL_AT,CI000085488,-29.917,-71.2,296.047,TMAX|TMIN|TAVG
CL_BI,CIM00085682,-36.773,-73.063,0.025,TMAX|TMIN|PRCP|TAVG
CL_CO,CI000085488,-29.917,-71.2,5.322,TMAX|TMIN|TAVG
CL_LI,CI000085629,-34.967,-71.233,66.927,TMAX|TMIN|TAVG
CL_LL,CI000085799,-41.433,-73.1,14.279,TMAX|TMIN|TAVG
CL_LR,CIM00085766,-39.65,-73.086,22.079,TMAX|TMIN|PRCP|TAVG
CL_MA,CI000085934,-53.0,-70.967,18.317,TMAX|TMIN|PRCP|TAVG
CL_ML,CI000085629,-34.967,-71.233,64.837,TMAX|TMIN|TAVG
CL_NB,CIM00085672,-36.582,-72.031,8.196,TMAX|TMIN|TAVG
CL_RM,CIM00085577,-33.433,-70.683,3.083,TMAX|TMIN
CL_TA,CIM00085418,-20.535,-70.181,92.694,TMAX|TMIN|PRCP|TAVG
CL_VS,CIM00085574,-33.393,-70.786,87.477,TMAX|TMIN|PRCP|TAVG
CM,CM000064870,7.35,13.567,177.259,TMAX|TMIN|PRCP|TAVG
CN,CHM00056080,35.0,102.9,9.111,TMAX|TMIN|PRCP|TAVG
CN,CHM00056080,35.0,102.9,9.111,TMAX|TMIN|PRCP|TAVG
CN_AH,CHM00058321,31.867,117.233,22.330,TMAX|TMIN|PRCP|TAVG
CN_BJ,CHM00054511,39.933,116.283,9.756,TMAX|TMIN|PRCP
CN_CQ,CHM00057516,29.583,106.467,5.329,TMAX|TMIN|PRCP
CN_FJ,CHM00058921,25.967,117.35,95.319,TMAX|TMIN|TAVG
CN_GD,CHM00059287,23.217,113.483,20.429,TMAX|TMIN|PRCP
CN_GS,CHM00052787,37.2,102.867,117.284,TMAX|TMIN|PRCP|TAVG
CN_GX,CHM00059431,22.633,108.217,107.893,TMAX|TMIN|PRCP
CN_GZ,CHM00057816,26.583,106.733,29.575,TMAX|TMIN|PRCP
CN_HA,CHM00057083,34.717,113.65,91.913,TMAX|TMIN|PRCP|TAVG
CN_HB,CHM00057461,30.7,111.3,110.419,TMAX|TMIN|PRCP|TAVG
CN_HE,CHM00053698,38.033,114.417,8.090,TMAX|TMIN|PRCP|TAVG
CN_HI,CHM00059758,20.0,110.25,8.578,TMAX|TMIN|PRCP|TAVG
CN_HK,MCM00045011,22.15,113.592,60.066,TMAX|TMIN|PRCP|TAVG
CN_HL,RSM00031707,47.7331,130.9667,149.722,TMAX|TMIN|PRCP|TAVG
CN_HN,CHM00057866,26.233,111.617,131.070,TMAX|TMIN|PRCP
CN_JL,CHM00054161,43.9,125.217,7.529,TMAX|TMIN|PRCP|TAVG
CN_JS,CHM00058251,32.85,120.283,31.248,TMAX|TMIN|PRCP|TAVG
CN_JX,CHM00058715,27.583,116.65,71.469,TMAX|TMIN|PRCP|TAVG
CN_LN,CHM00054342,41.733,123.517,10.925,TMAX|TMIN|PRCP|TAVG
CN_MO,MCM00045011,22.15,113.592,4.707,TMAX|TMIN|PRCP|TAVG
CN_NM,CHM00053068,43.65,112.0,89.191,TMAX|TMIN|PRCP|TAVG
CN_NX,CHM00053614,38.467,106.2,6.145,TMAX|TMIN|PRCP|TAVG
CN_QH,CHM00056021,34.133,95.783,98.463,TMAX|TMIN|PRCP|TAVG
CN_SC,CHM00056187,30.75,103.867,117.818,TMAX|TMIN|PRCP|TAVG
CN_SD,CHM00054843,36.767,119.183,80.976,TMAX|TMIN|PRCP|TAVG
CN_SH,CHM00058362,31.4,121.467,25.953,TMAX|TMIN|PRCP|TAVG
CN_SN,CHM00057131,34.433,108.967,19.497,TMAX|TMIN|PRCP|TAVG
CN_SX,CHM00053772,37.783,112.55,10.127,TMAX|TMIN|PRCP|TAVG
CN_TJ,CHM00054527,39.1,117.167,6.165,TMAX|TMIN|PRCP|TAVG
CN_TW,CHM00059134,24.483,118.083,308.725,TMAX|TMIN|PRCP|TAVG
CN_XJ,CHM00051463,43.8,87.65,4.045,TMAX|TMIN|PRCP|TAVG
CN_XZ,CHM00055472,30.95,88.633,181.461,TMAX|TMIN|PRCP|TAVG
CN_YN,CHM00056768,25.017,101.517,57.531,TMAX|TMIN|PRCP
CN_ZJ,CHM00058457,30.233,120.167,4.085,TMAX|TMIN|PRCP|TAVG
CO,COM00080234,4.168,-73.614,46.725,TMAX|TMIN|TAVG
CO_AMA,PE000084377,-3.783,-73.3,376.565,TMAX|TMIN|PRCP|TAVG
CO_ANT,COM00080210,4.813,-75.74,157.304,TMAX|TMIN|PRCP|TAVG
CO_ARA,COM00080099,7.069,-70.737,2.144,TMAX|TMIN|TAVG
CO_ATL,COM00080028,10.89,-74.781,10.384,TMAX|TMIN
CO_BOL,COM00080028,10.89,-74.781,95.645,TMAX|TMIN
CO_BOY,CO000080222,4.701,-74.15,126.894,TMAX|TMIN
CO_CAL,COM00080210,4.813,-75.74,38.240,TMAX|TMIN|PRCP|TAVG
CO_CAQ,CO000080259,3.55,-76.383,231.976,TMAX|TMIN|TAVG
CO_CAS,COM00080234,4.168,-73.614,187.339,TMAX|TMIN|TAVG
CO_CAU,CO000080259,3.55,-76.383,125.075,TMAX|TMIN|TAVG
CO_CES,COM00080009,11.12,-74.231,128.464,TMAX|TMIN|PRCP|TAVG
CO_CHO,COM00080210,4.813,-75.74,142.367,TMAX|TMIN|PRCP|TAVG
CO_COR,COM00080063,8.824,-75.826,10.366,TMAX|TMIN|TAVG
CO_CUN,CO000080222,4.701,-74.15,13.447,TMAX|TMIN
CO_DC,CO000080222,4.701,-74.15,13.201,TMAX|TMIN
CO_GUA,COM00080099,7.069,-70.737,473.262,TMAX|TMIN|TAVG
CO_GUV,COM00080234,4.168,-73.614,208.762,TMAX|TMIN|TAVG
CO_HUI,CO000080259,3.55,-76.383,134.560,TMAX|TMIN|TAVG
CO_LAG,COM00080009,11.12,-74.231,152.835,TMAX|TMIN|PRCP|TAVG
CO_MAG,COM00080009,11.12,-74.231,13.851,TMAX|TMIN|PRCP|TAVG
CO_MET,COM00080234,4.168,-73.614,2.934,TMAX|TMIN|TAVG
CO_NAR,COM00080370,0.862,-77.672,56.395,TMAX|TMIN|TAVG
CO_NSA,COM00080097,7.928,-72.512,3.383,TMAX|TMIN|TAVG
CO_PUT,COM00080370,0.862,-77.672,121.659,TMAX|TMIN|TAVG
CO_QUI,COM00080211,4.453,-75.766,11.550,TMAX|TMIN|TAVG
CO_RIS,COM00080210,4.813,-75.74,4.452,TMAX|TMIN|PRCP|TAVG
CO_SAN,COM00080094,7.127,-73.185,20.430,TMAX|TMIN|TAVG
CO_SAP,CO000080001,12.583,-81.717,3.670,TMAX|TMIN|TAVG
CO_SUC,COM00080063,8.824,-75.826,70.659,TMAX|TMIN|TAVG
CO_TOL,COM00080214,4.422,-75.133,11.197,TMAX|TMIN|PRCP|TAVG
CO_VAC,CO000080259,3.55,-76.383,20.980,TMAX|TMIN|TAVG
CO_VAU,COM00080234,4.168,-73.614,505.629,TMAX|TMIN|TAVG
CO_VID,COM00080099,7.069,-70.737,374.513,TMAX|TMIN|TAVG
CR,CS000081003,9.967,-83.017,107.745,TMAX|TMIN
CU,USC00082441,24.7706,-80.9072,340.006,TMAX|TMIN|TOBS|PRCP
CV,CVM00008589,14.917,-23.6,122.677,TMAX|TMIN|TAVG
CW,COM00080009,11.12,-74.231,585.182,TMAX|TMIN|PRCP|TAVG
CX,IDM00096751,-6.7,106.933,445.332,TMAX|TMIN|PRCP|TAVG
CY,CY000176090,34.8831,33.6331,59.171,TMAX|TMIN
CZ,EZM00011659,49.583,15.767,49.308,TMAX|TMIN|PRCP|TAVG
CZ_10,EZM00011520,50.0,14.45,9.570,TMAX|TMIN|PRCP|SNWD|TAVG
CZ_20,EZM00011520,50.0,14.45,5.151,TMAX|TMIN|PRCP|SNWD|TAVG
CZ_31,EZM00011487,49.467,13.833,74.034,TMAX|TMIN|PRCP|TAVG
CZ_32,EZM00011423,49.667,12.683,37.387,TMAX|TMIN|PRCP|TAVG
CZ_41,GME00132490,50.4319,12.6128,26.527,TMAX|TMIN|PRCP|SNWD
CZ_42,EZ000011464,50.5544,13.9314,8.351,TMAX|TMIN
CZ_51,GME00123862,50.9006,14.7475,28.512,TMAX|TMIN
CZ_52,EZM00011659,49.583,15.767,90.905,TMAX|TMIN|PRCP|TAVG
CZ_53,EZM00011659,49.583,15.767,47.031,TMAX|TMIN|PRCP|TAVG
CZ_63,EZM00011659,49.583,15.767,20.922,TMAX|TMIN|PRCP|TAVG
CZ_64,EZM00011723,49.151,16.694,8.887,TMAX|TMIN|PRCP|TAVG
CZ_71,EZM00011723,49.151,16.694,69.435,TMAX|TMIN|PRCP|TAVG
CZ_72,EZM00011782,49.696,18.111,62.666,TMAX|TMIN|PRCP|TAVG
CZ_80,EZM00011782,49.696,18.111,14.052,TMAX|TMIN|PRCP|TAVG
DE,GME00128962,51.0617,9.9275,8.533,TMAX|TMIN|PRCP|SNWD
DE_BB,GM000003342,52.3833,13.0639,4.474,TMAX|TMIN|PRCP|SNWD
DE_BE,GME00111445,52.4683,13.4039,5.557,TMAX|TMIN|PRCP
DE_BW,GME00126022,48.5383,9.2742,17.166,TMAX|TMIN
DE_BY,GME00124726,48.8308,11.4883,7.259,TMAX|TMIN|PRCP|SNWD
DE_HB,GMM00010129,53.5344,8.5769,20.836,TMAX|TMIN|PRCP|SNWD
DE_HE,GME00120982,50.6008,8.6506,8.389,TMAX|TMIN|PRCP|SNWD
DE_HH,GM000010147,53.635,9.99,9.477,TMAX|TMIN|PRCP
DE_MV,GME00129898,53.5214,12.6692,10.790,TMAX|TMIN
DE_NI,GME00126742,52.6725,9.2242,14.695,TMAX|TMIN|PRCP
DE_NW,GME00122134,51.5981,7.4056,17.707,TMAX|TMIN|PRCP|SNWD
DE_RP,GME00121222,49.9475,7.2644,13.811,TMAX|TMIN|PRCP|SNWD
DE_SH,GME00102193,54.5289,9.5492,6.927,TMAX|TMIN|PRCP|SNWD
DE_SL,GME00131290,49.2417,6.935,15.615,TMAX|TMIN|PRCP|SNWD
DE_SN,GME00131494,51.0517,13.3025,4.810,TMAX|TMIN
DE_ST,GME00102252,52.1031,11.5842,16.631,TMAX|TMIN|PRCP|SNWD
DE_TH,GME00102340,50.9844,10.9631,3.112,TMAX|TMIN|PRCP|TAVG
DJ,ET000063333,11.117,39.733,304.013,TMAX|TMIN
DK,DAM00006030,57.093,9.849,121.926,TMAX|TMIN|PRCP
DM,VQC00671740,17.7469,-64.7014,442.799,TMAX|TMIN|TOBS
DO,DRM00078486,18.433,-69.883,52.753,TMAX|TMIN|PRCP|TAVG
DZ,AGM00060602,30.133,-2.167,388.669,TMAX|TMIN|TAVG
EC,ECM00084179,-1.5,-77.9,56.715,TMAX|TMIN|PRCP|TAVG
EE,EN000026141,59.133,26.233,19.908,TMAX|TMIN|TAVG
EG,EGM00062387,28.083,30.733,209.097,TMAX|TMIN|TAVG
EH,WIM00060096,23.7,-15.867,324.509,TMAX|TMIN
ER,SAM00041140,16.901,42.586,489.245,TMAX|TMIN|PRCP|TAVG
ES,SPE00120305,40.4831,-3.4503,65.948,TMAX|TMIN|PRCP
ES_AN,SPE00120089,37.1894,-3.7892,44.515,TMAX|TMIN|PRCP
ES_AR,SPE00120539,40.9258,-1.2931,25.965,TMAX|TMIN|PRCP
ES_AS,SPE00119828,43.3542,-5.8728,10.547,TMAX|TMIN|PRCP
ES_CB,SPE00119990,43.4292,-3.8314,17.305,TMAX|TMIN
ES_CE,SPE00120017,35.89,-5.3456,4.125,TMAX|TMIN|TAVG
ES_CL,SPE00120593,41.65,-4.7667,39.692,TMAX|TMIN|PRCP|TAVG
ES_CM,SPE00120062,40.0667,-2.1381,96.958,TMAX|TMIN
ES_CN,SPE00120458,28.4631,-16.2553,50.151,TMAX|TMIN|PRCP
ES_CT,SPE00120242,41.6256,0.595,75.486,TMAX|TMIN|PRCP|TAVG
ES_EX,SPE00119918,39.4719,-6.3392,34.345,TMAX|TMIN|PRCP|TAVG
ES_GA,SPE00119729,42.8878,-8.4106,28.891,TMAX|TMIN
ES_IB,SPE00119882,39.5556,2.6264,32.643,TMAX|TMIN|PRCP
ES_MC,SPE00120332,37.9578,-1.2294,53.157,TMAX|TMIN|PRCP
ES_MD,SP000003195,40.4117,-3.6781,1.844,TMAX|TMIN|PRCP
ES_ML,SP000060338,35.2778,-2.9553,0.880,TMAX|TMIN|PRCP
ES_NC,SPE00120350,42.8175,-1.6364,1.113,TMAX|TMIN|PRCP
ES_PV,SPE00119747,42.8717,-2.7331,15.623,TMAX|TMIN|PRCP|TAVG
ES_RI,SPE00120188,42.4519,-2.3308,26.415,TMAX|TMIN
ES_VC,SPM00008284,39.489,-0.482,23.036,TMAX|TMIN|PRCP|TAVG
ET,ET000063450,9.033,38.75,137.368,TMAX|TMIN|PRCP|TAVG
FI,FIE00145702,65.3992,26.9667,44.430,TMAX|TMIN|PRCP
FJ,FJM00091683,-18.043,178.559,59.320,TMAX|TMIN
FK,FKM00088889,-51.823,-58.447,38.906,TMAX|TMIN
FM,FMW00040505,7.45,151.8333,506.425,TMAX|TMIN|PRCP|SNOW|SNWD
FO,DAM00006011,62.02,-6.77,6.792,TMAX|TMIN|PRCP|TAVG
FR,FR000007255,47.0592,2.3594,28.032,TMAX|TMIN|PRCP
FR_ARA,FR069029001,45.7264,5.0778,20.112,TMAX|TMIN|PRCP
FR_BFC,FRM00007280,47.269,5.09,71.111,TMAX|TMIN|PRCP|TAVG
FR_BRE,FRM00007207,47.2942,-3.2181,80.189,TMAX|TMIN|PRCP
FR_COR,FRM00007761,41.924,8.803,34.179,TMAX|TMIN|PRCP
FR_CVL,FR000007255,47.0592,2.3594,67.220,TMAX|TMIN|PRCP
FR_GES,FR000007190,48.5492,7.6403,10.394,TMAX|TMIN
FR_GUA,VQC00671740,17.7469,-64.7014,371.102,TMAX|TMIN|TOBS
FR_HDF,FRE00104036,50.1358,1.8339,66.554,TMAX|TMIN|PRCP
FR_IDF,FR000007150,48.8231,2.3367,3.525,TMAX|TMIN|PRCP
