key,latitude,longitude,area,elevation,population,gdp,gdp_per_capita,human_development_index,life_expectancy
AO_HUA,-12.5,15.666667,34274,,,,,,
AO_MAL,-9.533333,16.35,97602,,,,,,
AO_HUI,-14.25,14.833333,79022,,,,,,
AO_LNO,-8.283333,19.6,103760,,,,,,
AO_MOX,-11.791667,19.906111,223023,,727594,,,,
AO_NAM,-15.195278,12.150833,57091,,471613,,,,
AO_ZAI,-6.266667,14.233333,40130,,,,,,
AO_UIG,-7.616667,15.05,58698,,,,,,
AQ,-90,0,14000000,,1100,,,,
AR_A,-24.783333,-65.416667,155488,1246,1333365,,,,
AR_C,-34.599722,-58.381944,203.3,25,3063728,,,,
AR_B,-36.157222,-60.569722,307571,54,921168,,,,
AR_D,-33.3,-66.35,76748,592,489255,,,,
AR,-34,-64,2780400,,43417000,24450604877.608101,1148,0.705,73.618
AR_E,-32.0477,-60.281,78781,57,1235994,,,,
AR_F,-29.433333,-66.85,89680,,387728,,,,
AR_G,-27.783333,-64.266667,136351,135,896461,,,,
AR_H,-27.451389,-58.986667,99633,102,1055259,,,,
AO,-12.35,17.35,1246700,,4965988,5930503400.83228,664,0.382,46.105
AR_J,-30.87,-68.98,89651,2269,738959,,,,
AR_K,-28.466667,-65.783333,102602,3347,396895,,,,
AR_L,-36.616667,-64.283333,143440,279,349299,,,,
AR_P,-26.183333,-58.175,72066,115,527895,,,,
AR_M,-32.890278,-68.847222,148827,875,1886000,,,,
AR_N,-26.92,-54.52,29801,190,1189446,,,,
AR_Q,-38.951667,-68.074444,94078,1086,637913,,,,
AR_R,-40.8,-63,203013,,638645,,,,
AR_S,-33.722778,-62.246111,133007,53,3194537,,,,
AR_U,-43.3,-65.1,224686,447,618994,,,,
AR_T,-27,-65.5,22524,551,1448188,,,,
AR_W,-28.66,-57.63,88199,96,992595,,,,
AR_V,-54.362,-67.638,21571,144,160720,,,,
AT_1,47.5,16.416667,3961.8,333,291023,,,,
AR_X,-32,-64,165321,373,3567654,,,,
AT_2,46.761111,13.818889,9535.97,1449,560300,,,,
AR_Z,-48.823889,-69.815,243943,,273964,,,,
AR_Y,-23.75,-65.5,53219,3433,727780,,,,
AS,-14.295833,-170.7075,199,765,20012,,8751,,
AT_3,48.333333,15.75,19186,279,1653419,,,,
AT_5,47.766944,13.364167,7156.03,827,545742,,,,
AT_4,48.2,14,11981.92,343,1453733,,,,
AT_7,47.266667,11.4,12647.71,605,739002,,,,
AT_6,47.25,15.166667,16400.75,200,1231865,,,,
AT,48,14,83858,,8572895,6592693841.18495,935,0.747,77.87561
AT_8,47.243611,9.893889,2601.48,1063,388711,,,,
AT_11,47.5,16.416667,3961.8,333,291023,,,,
AT_12,48.333333,15.75,19186,279,1653419,,,,
AT_21,46.761111,13.818889,9535.97,1449,560300,,,,
AT_22,47.25,15.166667,16400.75,200,1231865,,,,
AT_9,48.20833,16.373064,414.78,151,1794770,,,,
AT_31,48.2,14,11981.92,343,1453733,,,,
AT_32,47.766944,13.364167,7156.03,827,545742,,,,
AT_13,48.20833,16.373064,414.78,151,1794770,,,,
AT_33,47.266667,11.4,12647.71,605,739002,,,,
AT_34,47.243611,9.893889,2601.48,1063,388711,,,,
AU_ACT,-35.45,148.980556,2358,892,385600,,,,
AU_NT,-20,133,1347791,326,211945,,,,
AU_NSW,-32,147,801150,160,7500600,,,,
AU_QLD,-20,143,1729742,744,4708500,,,,
AU_TAS,-42,147,68401,1009,514700,,,,
AU_SA,-30,135,984321,162,1682600,,,,
AU,-28,137,7692024,,23130931,18573188486.952599,1807,0.865,78.93171
AU_VIC,-37,144,227444,236,5821300,,,,
AU_WA,-26,121,2527013,536,2565600,,,,
AZ_NX,39.333333,45.5,5500,880,439800,,,,
AW,12.511063,-69.974224,178.916378,31,54208,,6472,,73.738
BA_BRC,43.83,17.71,26110.5,1126,2219220,,,,
BA_SRP,44.75,17.316667,24857,355,1228423,,,,
AZ,40.3,47.7,86600,,3897889,75198010965,1266,0.609,66.491
BB_01,13.083333,-59.533333,57,88,,,,,
BB_02,13.233333,-59.566667,36,,,,,,
BA,44,18,51197,,3531159,1255802469.1358,318,0.697,74.057
BB_04,13.216667,-59.616667,31,,,,,,
BB_03,13.133333,-59.533333,44,,,,,,
BB_05,13.166667,-59.483333,34,,,,,,
BB,13.17,-59.5525,439,,230858,441595558.606712,1275,0.67,73.213
BB_06,13.2,-59.533333,26,,,,,,
BB_07,13.3,-59.616667,36,84,,,,,
BB_09,13.25,-59.616667,34,,,,,,
BB_10,13.116667,-59.466667,60,,,,,,
BB_08,13.118056,-59.603056,39,,,,,,
BE_BRU,50.85,4.35,161.38,13,1154635,,,,
BE_VLG,51,4.5,13522,,6381859,,,,
BE_WAL,50.35,5.266667,16844,163,3624377,,,,
BB_11,13.183333,-59.583333,34,,,,,,
BF_01,12.5,-3.5,34333,291,,,,,
BF_02,10.25,-4.5,18406,280,,,,,
BE,50.641111,4.668056,30528,,11150516,11658722590.99,1273,0.755,77.61951
BD,24.016667,89.866667,147570,,49537147,4274893913.49536,88,0.338,64.702
BF_03,12.333333,-1.5,2805,,,,,,
BF_04,11.5,-0.25,11811,,,,,,
BF_05,13.25,-1,19829,,1203073,,,,
BF,12.266667,-2.066667,274200,,4829291,6481836768000,68,0.324,50.168
BF_07,11.5,-1.166667,11321,,,,,,
BF_06,11.75,-2.25,21722,,,,,,
BF_08,12,-1,36256,,,,,,
BF_09,11.25,-4.5,25344,,,,,,
BF_11,12.416667,-1,8545,,,,,,
BF_12,14.25,-0.75,35360,,,,,,
BF_10,13.25,-2.25,16207,,,,,,
BF_13,10.32556,-3.0925,16153,321,,,,,
BI_BL,-3.378889,29.426667,1319.12,1666,,,,,
BI_BB,-3.151389,29.374444,1089.04,909,,,,,
BI_BM,-3.378889,29.360833,86.52,780,,,,,
BI_BR,-3.896944,29.577778,2456.12,1864,,,,,
BI_CA,-3.214444,30.610556,1964.54,1662,,,,,
BH,26.0675,50.551111,765.004788,,162501,3072698328.46909,8537,0.679,74.239
BG,42.75,25.5,110993.6,,7867374,19839230769.230801,2238,0.665,71.4122
BI_CI,-2.826389,29.172778,1635.52,1433,,,,,
BI,-3.666667,29.816667,27834,,2786740,195999990,70,0.23,51.213
BI_GI,-3.469444,29.956944,1978.96,1647,,,,,
BI_KI,-2.551944,30.094167,1703.34,1408,,,,,
BI_KY,-2.916667,29.616667,1233.24,1772,,,,,
BI_KR,-3.129444,30.083056,1457.4,1547,,,,,
BI_MU,-3.254167,29.628611,695.52,1944,,,,,
BI_MA,-4.264167,29.816667,1959.6,1754,,,,,
BI_MW,-3.511944,29.699167,839.6,2005,,,,,
BI_RM,-3.966667,29.433333,1079.72,,,,,,
BI_MY,-2.823611,30.323611,1836.26,1683,,,,,
BI_NG,-2.908333,29.826528,1473.86,1706,,,,,
BI_RT,-3.877778,30.16,1959.45,1856,,,,,
BI_RY,-3.529722,30.291944,2338.88,1657,,,,,
BJ_AK,10.3,1.366667,20499,377,,,,,
BJ_AL,11.128611,2.936944,26242,,,,,,
BJ_AQ,6.666667,2.25,3233,98,,,,,
BJ_CO,7.933331,1.966669,13931,189,,,,,
BJ_BO,9.35,2.616667,25856,368,,,,,
BJ_DO,9.7,1.666667,11126,,,,,,
BJ_KO,6.961944,1.801667,2404,130,,,,,
BJ_LI,6.366667,2.433333,79,,678874,,,,
BJ,8.833333,2.183333,114763,,2431620,226195579.35701,93,0.286,55.218
BJ_MO,6.633333,1.716667,1605,,,,,,
BJ_OU,6.5,2.6,1281,,1096850,,,,
BJ_PL,6.966667,2.683333,3264,57,,,,,
BJ_ZO,7.183333,1.983333,5243,152,,,,,
BN_BE,4.416667,114.583333,2727,17,73200,,,,
BN_BM,4.9,114.9,570,13,307000,,,,
BN_TE,4.583333,115.166667,1304,121,10900,,,,
BN_TU,4.583333,114.666667,1166,31,51300,,,,
BM,32.333333,-64.75,53,,44400,,1902,,77.88537
BO_B,-14,-65,213564,146,421196,,,,
BN,4.4,114.566667,5765.313533,,81817,114040245.655299,1113,0.755,74.985
BO_C,-17.333333,-65.5,55631,2574,1930143,,,,
BO_H,-20,-64.416667,51524,2554,581347,,,,
BO_L,-15,-68.333333,133985,,2719344,,,,
BO_N,-11.183333,-67.183333,63827,235,110436,,,,
BO_O,-18.666667,-67.666667,53588,3729,494587,,,,
BO,-17.05687,-64.991229,1098581,,3353125,563110051.920733,101,0.536,60.122
BO_P,-20.666667,-66.666667,118218,,823517,,,,
BO_S,-17.333333,-61.5,370621,253,2655084,,,,
BO_T,-21.583333,-63.833333,37623,1129,482196,,,,
BQ,12.183333,-68.233333,322,,25019,,,,
BQ_BO,12.183333,-68.25,294,241,30000,,,,
BQ_SA,17.633333,-63.233333,13,,1915,,,,
BQ_SE,17.483333,-62.966667,32,13,,,,,
BR_AC,-9.04787,-70.5265,152581,234,758786,,,,
BR_AL,-9.57,-36.55,27767,246,3322820,,,,
BR_AP,1.3546,-51.9163,142814.6,142,797722,,,,
BR_AM,-5,-63,1559159,70,4001667,,,,
BR_CE,-5.08,-39.65,146348.3,279,9020460,,,,
BR,-14,-53,8515767,,202656788,15165569912.519899,210,0.547,69.599
BR_DF,-15.795,-47.757778,5802,1124,2570160,,,,
BR_ES,-19.71,-40.48,46077.5,756,3885049,,,,
BR_BA,-12.52,-41.69,564692,838,15203934,,,,
BR_MG,-19.816667,-43.95,586528.29,1193,20869101,,,,
BR_GO,-15.934444,-50.14,340086,607,6730848,,,,
BR_MA,-6.184167,-45.615,331983.2,134,7000229,,,,
BR_MS,-20.442778,-54.645833,358158.7,293,2713147,,,,
BR_MT,-15.566667,-56.066667,903357,408,3344544,,,,
BR_PA,-4.754,-52.8992,1247689.515,175,8272724,,,,
BR_PE,-8.34,-37.81,98937.8,504,9473266,,,,
BR_PB,-7.162778,-36.825,56584.6,496,4025558,,,,
BR_PI,-8.233333,-43.1,251529,252,3219257,,,,
BR_RJ,-22.362222,-42.720556,43696.1,1109,16635996,,,0.761,
BR_RN,-5.74,-36.55,53306.8,142,3507003,,,,
BR_PR,-24.67,-51.62,199314.9,672,11320892,,,,
BR_RO,-10.943,-62.8277,238512,277,1380952,,,,
BR_RR,2.1353,-61.364,224298.98,104,1805788,,,,
BR_SE,-10.59,-37.38,22050.3,223,2288116,,,,
BR_SC,-27.27,-50.49,95346.181,627,7001161,,,,
BR_SP,-21.829722,-49.2075,248209.4,514,44035304,,,,
BR_RS,-29.76,-53.16,281737.888,121,11322895,115000000000,10244,,
BR_TO,-10.8863,-48.3714,278420.7,525,1550194,,,,
BS_AK,22.433333,-73.966667,389,6,560,,,,
BS_BP,24.083333,-76.4,,10,,,,,
BS_BI,25.733333,-79.25,23,11,,,,,
BS_BY,25.566667,-77.75,78,4,,,,,
BS_CE,25.133333,-76.15,,23,,,,,
BS,23.7,-76.4,13878,,109526,169803921.568627,1550,0.778,72.093
BS_CO,26.433333,-77.133333,,4,,,,,
BS_CK,22.75,-74.216667,148,,323,,,,
BS_CI,24.311389,-75.423056,389,63,1503,,,,
BS_CS,24.4,-77.9,,3,,,,,
BS_EG,26.666667,-78.133333,,5,,,,,
BS_EX,23.716667,-76.083333,250,5,6928,,,,
BS_GC,27.229444,-78.334444,,,,,,,
BS_HI,25.5,-76.633333,,14,,,,,
BS_FP,26.52,-78.66,558,9,45945,,,,
BS_HT,26.539816,-76.962056,,,,,,,
BS_IN,21.076811,-73.28705,1679,33,,,,,
BS_LI,23.265278,-75.094444,596,,3024,,,,
BS_MI,26.3,-77.55,,,,,,,
BS_MG,22.375833,-72.908333,280,7,271,,,,
BS_MC,24.166667,-77.783333,,,,,,,
BS_NE,25.466667,-76.683333,,10,,,,,
BS_NO,26.783333,-77.433333,,5,,,,,
BS_NP,25.031944,-77.404167,207,6,274400,,,,
BS_NS,24.766944,-78.096111,,4,,,,,
BS_SA,23.9,-77.6,,3,,,,,
BS_RI,22.216667,-75.733333,23,25,70,,,,
BS_SE,24.8,-76.183333,,3,,,,,
BS_RC,23.682222,-74.868889,40,6,99,,,,
BS_SO,26.05,-77.25,,7,,,,,
BS_SW,25.545833,-76.761111,,8,,,,,
BS_WG,26.6,-78.5,,4,,,,,
BS_SS,24.036111,-74.488889,163,12,930,,,,
BV,-54.42222,3.35833,49,576,0,,,,
BW_CE,-22,26,147730,,563260,,,,
BW_CH,-18.5,25,,,,,,,
BW_FR,-21.173611,27.5125,,1001,,,,,
BW_GA,-24.656944,25.908611,169,1014,231626,,,,
BT,27.45,90.5,38394,,224155,135653295.165394,331,0.573,59.899
BW_JW,-24.601667,24.728056,,1189,,,,,
BW_GH,-22,22,117910,1088,33170,,,,
BW_KG,-25,22,106940,1054,50492,,,,
BW_KL,-24.25,26.5,7960,935,73507,,,,
BW,-22.2,23.7,581737,,524173,30412308.986401,57,0.453,49.712
BW_KW,-24,25,35890,1101,230335,,,,
BW_NE,-21.083333,27.5,5120,,132422,,,,
BW_LO,-25.216667,25.666667,,1188,29700,,,,
BW_NW,-19.5,23.5,129930,945,142970,,,,
BW_SO,-25,25,28470,,186831,,,,
BW_SE,-25,25.75,1780,1122,276319,,,,
BW_SP,-21.966667,27.916667,,878,49724,,,,
BW_ST,-20.563611,26.224444,,,,,,,
BZ_BZ,17.25,-88.166667,4204,22,110644,,,,
BZ_CY,16.833333,-88.916667,5338,654,90579,,,,
BZ_CZL,18.25,-88.333333,1860,1,46472,,,,
BZ_OW,17.833333,-88.833333,4737,48,,,,,
BZ_SC,16.833333,-88.5,2176,115,,,,,
BY,53.528333,28.046667,207600.496983,,9475100,76139250364,2124,0.683,67.90732
BZ,17.066667,-88.7,22966,,324528,28071888.562229,304,0.644,68.4
BZ_TOL,16.333333,-88.75,4649,163,,,,,
CA_AB,55,-115,661848,,4067175,,,,
CA_NB,46.6,-66,72908,,754260,,,,
CA_BC,54.5,-124.5,944735,,4659272,,,,
CA_NL,53,-60,405212,,526329,,,,
CA_MB,55,-97,647797,,1289792,,,,
CA_NS,45,-63,55283,,943575,,,,
CA,56,-109,9984670,,35158300,41093453544.909599,2294,0.827,80
CA_NU,70,-90,2038722,,38243,,,,
CA_PE,46.25,-63,5620,,146455,,,,
CA_NT,66,-119,1346106,,43595,,,,
CA_ON,50,-85,1076395,,13733544,,,,
CA_SK,55,-106,651900,,1132640,,,,
CD_BC,-5.816667,13.483333,53920,,,,,,
CC,-12.116667,96.9,14,,596,,,,
CA_YT,60.72086,-135.05323,482443,,36589,,,,
CA_QC,52,-72,1542056,,7903001,,,,
CD_BU,2.805556,24.740556,148331,,1093845,,,,
CD_HK,-11.669722,27.483333,132425,,3960945,,,,
CD_HL,-8.738611,24.990556,108204,,,,,,
CD_HU,2.766667,27.616667,89683,,,,,,
CD_EQ,0.066667,18.2667,103902,,1626606,,,,
CD,-2.88,23.656,2344858,,15248246,3359404117.64706,220,0.346,49.557
CD_IT,1.833333,29.5,65658,,,,,,
CD_KC,-5.9,21.45,61336,,2976806,,,,
CD_KE,-6.15,23.6,9481,,,,,,
CD_KG,-4.821845,17.039881,89974,,,,,,
CD_KL,-5.033611,18.833611,78219,,1400000,,,,
CD_KN,-4.331667,15.313889,9965,240,1600,,,,
CD_KS,-5.35,21.416667,95631,,,,,,
CD_LO,-6.133611,24.483611,56426,,,,,,
CD_LU,-10.716667,25.466667,121308,,1670000,,,,
CD_MN,-1.95,18.266667,127465,,,,,,
CD_MA,-2.95,25.95,132520,,,,,,
CD_MO,2.15,21.516667,58141,,,,,,
CD_NU,4.283333,21.016667,56644,,,,,,
CD_SA,-3.3575,23.596667,105000,,,,,,
CD_NK,-0.566667,28.7,59483,,,,,,
CD_SU,3.25,19.766667,51648,,,,,,
CD_SK,-3.016667,28.266667,64791,,,,,,
CD_TA,-5.916667,29.2,134940,,,,,,
CD_TO,0.516667,25.199722,199567,,,,,,
CD_TU,-0.733333,19.2,132940,,,,,,
CF_BB,8.416667,20.666667,58200,633,43229,,,,
CF_AC,7,18,50250,442,369220,,,,
CF_BGF,4.37325,18.562833,67339690,369,734350,,,,
CF_BK,5,21.5,17604,481,249150,,,,
CF_HM,6,26,55530,671,57602,,,,
CF_HK,7,23,86650,697,90316,,,,
CF_HS,4.5,16,30.203,585,364795,,,,
CF,6.7,20.9,622984,,1503501,112155598.949571,323.2,0.302,44.254
CF_KB,7.083333,19.25,19996,448,117816,,,,
CF_LB,4,18,19235,607,246875,,,,
CF_MB,5,23.5,61150,517,164009,,,,
CF_MP,5,18,31835,617,356725,,,,
CF_KG,5.75,19.083333,17204,525,118420,,,,
CF_NM,5.5,15.5,26600,900,233666,,,,
CF_OP,7,16,32100,776,430506,,,,
CF_VK,10.333333,22.75,46500,497,52255,,,,
CF_UK,6,21,49900,553,276710,,,,
CF_SE,3.5,16.083333,19412,605,101074,,,,
CG_11,-4.153611,13.55,12265,146,,,,,
CG_12,-4.361389,14.764444,33955,420,,,,,
CG_13,1.616667,16.05,55800,480,,,,,
CG_15,-0.866667,14.8167,26600,423,,,,,
CG_14,-2.535833,14.7525,38400,397,,,,,
CG_16,-4.788889,11.865278,1144,14,829134,,,,
CG,-0.75,15.383331,342000,,1013581,131731862.568975,127,0.527,51.473
CG_2,-0.866667,14.8167,20950,486,,,,,
CG_5,-0.866667,14.8167,13694,93,,,,,
CG_7,1.633333,18.066667,66044,342,,,,,
CG_8,-0.483333,15.9,48250,335,,,,,
CG_9,-4.2,12.666667,25942,234,,,,,
CG_BZV,-4.266667,15.283333,263.9,320,1827000,,,,
CH_AG,47.418,8.11,1403.77,382,678207,,,,
CH_AI,47.3,9.4,172.48,780,16145,,,,
CH_AR,47.3784,9.3128,242.84,771,55234,,,,
CH_BE,46.833333,7.616667,5959,542,1034977,,,,
CH_BL,47.463056,7.755833,517.67,327,288132,,,,
CH_BS,47.566667,7.6,36.95,260,188581,,,,
CH_FR,46.716667,7.083333,1671.36,643,318714,,,,
CH,46.798562,8.231973,41285,,8211700,9522746719.216141,1787,0.809,79.58049
CH_GE,46.218,6.166,282.49,375,499480,,,,
CH_GL,46.983333,9.066667,685.3,472,40403,,,,
CH_GR,46.75,9.5,7105.39,585,198379,,,,
CH_JU,47.366667,7.15,838.51,435,73419,,,,
CH_LU,47.083333,8.116667,1493.51,436,409557,,,,
CH_NE,46.983333,6.783333,802.24,430,176850,,,,
CH_OW,46.866667,8.033333,490.58,473,37841,,,,
CH_NW,46.95,8.4,275.85,454,43223,,,,
CH_SG,47.333333,9.166667,2030.75,668,507697,,,,
CH_SO,47.15,7.633333,790.45,432,273194,,,,
CH_SH,47.716667,8.566667,298.42,392,81991,,,,
CH_SZ,47.066667,8.75,907.88,516,159165,,,,
CH_TG,47.583333,9.066667,991.77,417,276472,,,,
CH_TI,46.316667,8.816667,2812.15,238,353343,,,,
CH_UR,46.783333,8.616667,1076.57,447,36433,,,,
CH_VS,46.066667,7.6,5224.5,512,343955,,,,
CH_ZG,47.1648,8.548,238.73,425,126837,,,,
CH_VD,46.616667,6.55,3212,495,799145,,,,
CH_ZH,47.413056,8.656389,1729,408,1520968,,,,
CI_AB,5.336389,-4.026667,422000000,18,4707404,,,,
CI_BS,4.751389,-6.638611,25800,,,,,,
CI_DN,9.5,-7.417,20997,,,,,,
CI_GD,6.133333,-5.933333,17580,,,,,,
CI_CM,6.733333,-3.483333,14173,,,,,,
CI,8,-6,322463,,3474724,546203561.571989,1398.99,0.376,46.969
CI_LC,6.65,-4.7,28500,,,,,,
CI_LG,5.933333,-4.216667,23280,,,,,,
CI_MG,7.4,-7.55,31050,,,,,,
CI_SM,6.883333,-6.45,23940,,,,,,
CI_SV,9.416667,-5.616667,40210,,,,,,
CI_VB,8.133333,-5.1,28518,,,,,,
CI_WR,8.483333,-6.6,31088,,,,,,
CI_ZZ,8.616667,-3.15,38251,356,,,,,
CI_YM,6.81769,-5.27618,3500000000,214,355573,,,,
CK,-15,-161,240,,14974,,,,
CL_AI,-45.57,-72.066111,108494.4,916,103158,,,,
CL_AN,-23.644167,-70.410833,126049.1,2552,607534,,,,
CL_AP,-18.475,-70.314444,16873.3,3753,226068,,,,
CL_AR,-38.9,-72.666667,31842.3,580,957224,,,,
CL_AT,-27.366667,-70.332222,75176.2,1800,286168,,,,
CL_BI,-36.772778,-73.063056,23890.2,119,1556805,,,,
CL,-33,-71,756102,,7649026,4110000000,532,0.636,76.533
CL_CO,-29.907778,-71.254167,40579.9,383,757586,,,,
CL_LI,-34.371944,-71.124528,16387,802,914555,,,,
CL_LL,-41.471667,-72.936667,48583.6,,828708,,,,
CL_LR,-39.808333,-73.241667,18429.5,310,384837,,,,
CL_ML,-35.426667,-71.671667,30296.1,187,1044950,,,,
CL_MA,-53.1625,-70.9225,132291.1,214,166533,,,,
CL_NB,-36.616667,-71.95,,,480609,,,,
CL_RM,-33.437778,-70.650278,15403.2,544,6061185,,,,
CL_TA,-20.283333,-69.333333,42225.8,2401,238950,,,,
CL_VS,-33.063056,-71.639444,16396.1,312,1815902,,,,
CM_AD,7.321389,13.583889,63701,917,838689,,,,
CM_CE,3.861389,11.520278,68953,643,2797212,,,,
CM_EN,10.594722,14.326111,34263,321,3142883,,,,
CM_ES,4.575,13.681389,109002,658,875949,,,,
CM_LT,4.045833,9.698611,20248,103,2294540,,,,
CM_NW,5.961389,10.151667,17300,1565,2095538,,,,
CM_NO,9.320556,13.395556,66090,283,1409445,,,,
CM_OU,5.479444,10.419444,13892,1082,2269136,,,,
CM,7,12,475442,,5361367,618740988.011405,119,0.405,49.7
CM_SW,4.15,9.238056,25410,270,1419269,,,,
CM_SU,2.919444,11.151667,47191,654,633082,,,,
CN_AH,31.833333,117,139000,,60300000,,,,
CN_FJ,25.9,118.3,121400,,36894216,,,,
CN_CQ,29.55,106.506944,82403,237,7990000,,,,
CN_BJ,39.905,116.391389,16410.54,43,21516000,,,,
CN_GD,23.4,113.5,179800,,106440000,,,,
CN,35,103,9596961,,1375198619,59716467625.314796,89,0.43,71.521
CN_GX,23.6,108.3,235001,,46026629,,,,
CN_GS,38,102,454000,,25575254,,,,
CN_GZ,26.833333,106.833333,,,35800000,,,,
CN_HA,33.9,113.5,,,94130000,,,,
CN,35,103,9596961,,1375198619,59716467625.314796,89,0.43,71.521
CN_HB,31.2,112.3,185900,,58160000,,,,
CN_HE,38.042222,114.508611,187240,,71854202,,,,
CN_HI,20.03342,110.32398,33920,1840,9171300,,,,
CN_HL,48,129,454800,,38312224,,,,
CN_HN,27.4,111.8,211836,,65683722,,,,
CN_JL,43.884167,125.308333,187400,,27462297,,,,
CN_JX,27.3,116,166900,,44567475,,,,
CN_JS,33,120,98285,,78659903,,,,
CN_HK,22.278333,114.158611,1105.69,7,7071576,,429,0.7,80.38293
CN_LN,41.803889,123.425833,145900,,43746323,,,,
CN_NM,44,113,1181104,,24706321,,,,
CN_NX,38.46654,106.27056,52188,,6301350,,,,
CN_QH,35,96,696700,,5930000,,,,
CN_SC,30,103,485000,,81100000,,,,
CN_SD,36.4,118.4,156700,,95793065,,,,
CN_MO,22.166667,113.55,,22,171456,1130457130.00739,78585.88,,80.15
CN_SX,37.873333,112.564444,156000,,36500000,,,,
CN_SN,34.266667,108.9,205800,,37327378,,,,
CN_SH,31.166667,121.466667,6341,4,23390000,,,,
CN_TJ,39.146667,117.205556,11920,5,13245000,,,,
CN_TW,23.7,121,35581,,23140000,,,,
CN_XJ,43.8253,87.61379,1664897.17,,21813334,,,,
CN_XZ,31.705556,86.940278,1228400,,3180000,,,,
CN_YN,24.5,101.5,394100,,47420000,,,,
CN_ZJ,30.266667,120.15,101800,,56570000,,,,
CO,4,-74,1141748,,16006395,377739622865,244,0.557,70.727
CO_05,6.216667,-75.566667,63612,2099,6690980,,,,
CO_05_05001,6.244747,-75.574828,380.74,1495,2529403,,,,
CO_05_05002,5.790556,-75.426944,,2275,,,,,
CO_05_05004,6.631667,-76.063889,290,1925,,,,,
CO_05_05021,6.377222,-75.141111,,1447,,,,,
CO_05_05030,6.038333,-75.702778,84,1400,30376,,,,
CO_05_05031,6.909167,-75.076667,1210,1550,22714,,,,
CO_05_05034,5.655556,-75.880278,40342,1360,47384,,,,
CO_05_05036,6.111667,-75.71,86,1950,,,,,
CO_05_05038,6.885278,-75.335278,,1675,,,,,
CO_05_05040,7.073611,-75.146944,,1535,,,,,
CO_05_05042,6.556389,-75.8275,493,550,22764,,,,
CO_05_05044,6.303611,-75.854167,256,645,,,,,
CO_05_05045,7.884722,-76.635,607,30,131405,,,,
CO_05_05051,8.851111,-76.427222,718,50,44560,,,,
CO_05_05055,5.731944,-75.141944,254,1750,,,,,
CO_05_05059,6.156389,-75.785833,110,1800,,,,,
CO_05_05079,6.4375,-75.330556,,1300,53167,,,,
CO_05_05086,6.605,-75.665833,,2550,,,,,
CO_05_05088,6.331944,-75.558056,142.36,1310,371591,,,,
CO_05_05091,5.734722,-75.979167,168,1550,,,,,
CO_05_05093,6.112222,-75.983889,252,1600,,,,,
CO_05_05101,5.849444,-76.020278,282,1200,27458,,,,
CO_05_05107,7.110556,-75.551111,401,1200,,,,,
CO_05_05113,6.72,-75.9075,,1625,,,,,
CO_05_05120,7.579444,-75.350278,,150,42112,,,,
CO_05_05125,6.406944,-75.985278,221,1820,,,,,
CO_05_05129,6.088611,-75.636111,133.4,1750,81381,,,,
CO_05_05134,6.979167,-75.295833,200,1200,,,,,
CO_05_05138,6.749722,-76.025833,391,1320,,,,,
CO_05_05142,6.407222,-74.756667,,652,,,,,
CO_05_05145,5.546667,-75.644167,86,1770,,,,,
CO_05_05147,7.758056,-76.655278,,83,61641,,,,
