date,key,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested
2020-06-21,CO_20_20001,6,0,28,,488,11,166,
2020-06-21,CO_20_20013,1,0,1,,61,1,18,
2020-06-21,CO_20_20178,0,0,1,,6,1,4,
2020-06-21,CO_20_20238,0,0,2,,20,1,6,
2020-06-21,CO_20_20310,0,0,1,,26,1,2,
2020-06-21,CO_20_20710,1,0,0,,1,0,0,
2020-06-21,CO_23,17,2,0,,421,27,144,
2020-06-21,CO_23_23001,6,1,0,,206,10,72,
2020-06-21,CO_23_23162,2,1,0,,22,1,7,
2020-06-21,CO_23_23189,2,0,0,,10,1,1,
2020-06-21,CO_23_23417,6,0,0,,81,7,23,
2020-06-21,CO_23_23660,1,0,0,,45,2,25,
2020-06-21,CO_25,32,1,54,,1944,51,1005,
2020-06-21,CO_25_25126,0,0,1,,59,0,29,
2020-06-21,CO_25_25151,0,0,1,,10,1,6,
2020-06-21,CO_25_25175,2,0,2,,86,0,55,
2020-06-21,CO_25_25183,1,0,0,,7,0,2,
2020-06-21,CO_25_25200,1,0,0,,4,0,3,
2020-06-21,CO_25_25214,1,0,0,,26,0,17,
2020-06-21,CO_25_25269,5,0,1,,70,1,36,
2020-06-21,CO_25_25286,1,0,4,,88,0,56,
2020-06-21,CO_25_25290,1,0,0,,49,3,27,
2020-06-21,CO_25_25307,0,0,7,,64,1,36,
2020-06-21,CO_25_25326,1,0,0,,2,0,1,
2020-06-21,CO_25_25386,0,0,1,,24,1,15,
2020-06-21,CO_25_25430,0,0,3,,66,1,33,
2020-06-21,CO_25_25473,2,0,5,,111,8,45,
2020-06-21,CO_25_25599,0,0,1,,2,0,2,
2020-06-21,CO_25_25754,13,1,23,,685,11,322,
2020-06-21,CO_25_25758,1,0,0,,18,1,8,
2020-06-21,CO_25_25769,0,0,1,,18,0,10,
2020-06-21,CO_25_25799,1,0,1,,30,2,25,
2020-06-21,CO_25_25815,0,0,1,,5,0,2,
2020-06-21,CO_25_25817,1,0,2,,22,2,13,
2020-06-21,CO_25_25875,1,0,0,,13,1,6,
2020-06-21,CO_27,11,3,21,,979,37,268,
2020-06-21,CO_27_27001,10,2,18,,883,27,218,
2020-06-21,CO_27_27025,0,1,0,,7,2,0,
2020-06-21,CO_27_27245,0,0,1,,2,0,1,
2020-06-21,CO_27_27361,0,0,2,,31,0,23,
2020-06-21,CO_27_27600,1,0,0,,11,1,1,
2020-06-21,CO_41,13,0,0,,305,13,240,
2020-06-21,CO_41_41001,8,0,0,,168,5,138,
2020-06-21,CO_41_41396,1,0,0,,7,0,5,
2020-06-21,CO_41_41483,1,0,0,,2,1,0,
2020-06-21,CO_41_41551,1,0,0,,18,2,13,
2020-06-21,CO_41_41668,2,0,0,,4,0,2,
2020-06-21,CO_44,24,2,0,,206,14,58,
2020-06-21,CO_44_44001,10,0,0,,31,2,12,
2020-06-21,CO_44_44078,2,0,0,,6,0,0,
2020-06-21,CO_44_44430,10,2,0,,93,9,30,
2020-06-21,CO_44_44847,2,0,0,,14,1,0,
2020-06-21,CO_47,77,3,15,,1258,96,582,
2020-06-21,CO_47_47001,52,0,11,,655,34,331,
2020-06-21,CO_47_47189,19,2,2,,311,31,109,
2020-06-21,CO_47_47245,3,0,0,,33,2,7,
2020-06-21,CO_47_47288,1,0,0,,10,0,3,
2020-06-21,CO_47_47545,0,1,0,,1,1,0,
2020-06-21,CO_47_47570,1,0,0,,178,19,111,
2020-06-21,CO_47_47745,1,0,2,,38,3,10,
2020-06-21,CO_50,32,0,0,,1102,14,956,
2020-06-21,CO_50_50001,30,0,0,,1035,11,921,
2020-06-21,CO_50_50006,1,0,0,,20,0,14,
2020-06-21,CO_50_50606,1,0,0,,7,1,3,
2020-06-21,CO_52,126,3,187,,2581,104,1189,
2020-06-21,CO_52_52001,31,1,8,,359,16,118,
2020-06-21,CO_52_52022,2,0,0,,13,0,6,
2020-06-21,CO_52_52051,1,0,0,,2,0,0,
2020-06-21,CO_52_52079,2,0,1,,5,2,1,
2020-06-21,CO_52_52203,1,0,0,,1,0,0,
2020-06-21,CO_52_52210,1,0,0,,5,0,4,
2020-06-21,CO_52_52215,0,0,1,,2,0,1,
2020-06-21,CO_52_52227,3,0,0,,40,0,26,
2020-06-21,CO_52_52233,0,0,1,,3,0,2,
2020-06-21,CO_52_52250,18,0,4,,58,2,8,
2020-06-21,CO_52_52320,1,0,0,,20,2,2,
2020-06-21,CO_52_52356,22,0,7,,258,8,138,
2020-06-21,CO_52_52390,0,0,18,,41,0,32,
2020-06-21,CO_52_52427,1,0,0,,9,2,0,
2020-06-21,CO_52_52435,0,0,1,,32,1,2,
2020-06-21,CO_52_52473,0,0,3,,54,3,45,
2020-06-21,CO_52_52490,1,0,0,,61,2,8,
2020-06-21,CO_52_52573,1,0,1,,2,0,1,
2020-06-21,CO_52_52621,7,0,0,,10,0,0,
2020-06-21,CO_52_52678,1,0,0,,2,1,0,
2020-06-21,CO_52_52683,1,0,0,,6,0,0,
2020-06-21,CO_52_52685,3,0,0,,27,1,4,
2020-06-21,CO_52_52696,7,0,0,,48,1,0,
2020-06-21,CO_52_52786,2,0,0,,8,0,1,
2020-06-21,CO_52_52835,20,2,142,,1334,54,753,
2020-06-21,CO_54,18,0,1,,241,18,134,
2020-06-21,CO_54_54001,14,0,1,,157,11,92,
2020-06-21,CO_54_54405,3,0,0,,18,1,6,
2020-06-21,CO_54_54874,1,0,0,,21,0,8,
2020-06-21,CO_63,2,0,0,,147,5,107,
2020-06-21,CO_63_63001,1,0,0,,96,2,67,
2020-06-21,CO_63_63130,1,0,0,,26,1,19,
2020-06-21,CO_66,10,0,2,,420,12,254,
2020-06-21,CO_66_66001,3,0,2,,238,8,169,
2020-06-21,CO_66_66170,5,0,0,,113,3,70,
2020-06-21,CO_66_66400,2,0,0,,41,0,8,
2020-06-21,CO_68,98,0,6,,460,12,111,
2020-06-21,CO_68_68001,13,0,2,,101,3,30,
2020-06-21,CO_68_68081,75,0,0,,203,4,50,
2020-06-21,CO_68_68276,4,0,1,,53,2,12,
2020-06-21,CO_68_68307,0,0,3,,29,1,6,
2020-06-21,CO_68_68377,2,0,0,,4,0,0,
2020-06-21,CO_68_68547,3,0,0,,28,0,4,
2020-06-21,CO_68_68770,1,0,0,,2,0,0,
2020-06-21,CO_70,41,2,5,,531,33,76,
2020-06-21,CO_70_70001,35,1,4,,433,32,59,
2020-06-21,CO_70_70215,2,1,0,,26,1,3,
