date,key,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall
2020-06-11,BR_SC,86956099999,10.970496,17.833333,16.222222,21.5,0,
2020-06-11,BR_SE,86615099999,45.652728,23.944444,20.888889,29.611111,0,
2020-06-11,BR_SP,86843099999,42.173488,23.222222,15.277778,31.111111,0,
2020-06-11,BR_TO,82336699999,66.122637,27.388889,22,33,0,
2020-06-11,BS,78073099999,183.97471,27.833333,24.777778,31.388889,0,
2020-06-11,BT,43399099999,106.2608,22.611111,15,27,0,
2020-06-11,BW,68040099999,214.66893,18.666667,6.1111111,26.5,0,
2020-06-11,BY,26114899999,39.351843,23.722222,17,32,7.112,
2020-06-11,BZ,78583099999,67.03093,29.888889,26.5,32.388889,0,
2020-06-11,CA,71077099999,39.926879,10.5,6.8888889,15.277778,0.254,
2020-06-11,CA_AB,71069099999,35.539577,14.611111,8,22,0,
2020-06-11,CA_BC,71933099999,15.087363,9.8888889,5.5,16,6.604,
2020-06-11,CA_MB,71079099999,104.47722,4.6666667,1.7777778,10,0,
2020-06-11,CA_NB,71038099999,1.2992187,15.611111,11.777778,19,0,
2020-06-11,CA_NL,71816099999,44.907814,9.8888889,2.7222222,14,1.016,
2020-06-11,CA_NS,71753099999,25.882151,10.111111,0.72222222,18.722222,0,
2020-06-11,CA_NT,71503099999,221.40958,10.722222,5.5,17,0,
2020-06-11,CA_NU,71914599999,146.468,3.3333333,0,6,0,30.48
2020-06-11,CA_ON,71832099999,67.791921,6.3888889,0.5,11.222222,18.796,
2020-06-11,CA_PE,71706099999,10.865633,14.666667,9,19,0,
2020-06-11,CA_QC,71520099999,79.953634,12.5,10.777778,15.5,5.08,
2020-06-11,CA_SK,71586099999,49.569055,8.5,4.7777778,18.777778,0.254,
2020-06-11,CA_YT,71964099999,1.4214259,11.888889,3,19,0,
2020-06-11,CC,96996099999,10.698529,26.333333,24.777778,28,0.508,
2020-06-11,CG,64454099999,135.38527,26.611111,25,29,0,
2020-06-11,CH_AI,11105099999,16.780139,14.833333,11.222222,19.777778,41.91,
2020-06-11,CH_AR,11105099999,26.069438,14.833333,11.222222,19.777778,41.91,
2020-06-11,CH_TG,10935099999,34.706757,14.944444,12,19,,
2020-06-11,CI,65555099999,106.07854,25,21,29,4.064,
2020-06-11,CK,91843099999,4.1120485,26.333333,21,28.611111,0,
2020-06-11,CL,85921299999,45.040896,11.666667,4,15,0,
2020-06-11,CL_AI,85864099999,4.0950178,3,0.5,8.7777778,29.21,
2020-06-11,CL_AN,85442099999,22.535488,15.611111,14,17.111111,0,
2020-06-11,CL_AP,85406099999,14.252549,19.166667,17,20.222222,0,
2020-06-11,CL_AR,85743099999,15.015228,11.277778,10.222222,12.111111,4.318,
2020-06-11,CL_AT,85467099999,45.17116,13.777778,11.722222,15.222222,0,
2020-06-11,CL_BI,85682099999,0.025192056,12.166667,11.5,14,4.064,
2020-06-11,CL_CO,85488099999,5.3018879,10.888889,6.7222222,16,0,
2020-06-11,CL_LI,85629099999,66.726371,8.6111111,5.8888889,13.5,0,
2020-06-11,CL_LL,85799099999,13.609857,10.388889,8,12,23.114,
2020-06-11,CL_LR,85766099999,22.079069,12.222222,10.888889,13,50.038,
2020-06-11,CL_MA,85934099999,18.941926,0.16666667,-1.8888889,3.2777778,0,
2020-06-11,CL_ML,85629099999,65.742015,8.6111111,5.8888889,13.5,0,
2020-06-11,CL_NB,85672099999,8.1967725,9.5555556,8.8888889,13.777778,0.508,
2020-06-11,CL_RM,85577099999,3.0834717,5.2222222,-0.61111111,16.611111,0,
2020-06-11,CL_TA,85418099999,92.694792,17.777778,15.888889,20,1.016,
2020-06-11,CL_VS,85921299999,19.547758,11.666667,4,15,0,
2020-06-11,CM,64870099999,176.57073,22.944444,20,25.222222,0,
2020-06-11,CN,52983099999,62.979451,18.555556,14.388889,25.388889,0.508,
2020-06-11,CN_AH,58321099999,28.786787,28.722222,22.888889,32,0,
2020-06-11,CN_BJ,54511099999,25.516709,25.166667,20,33.611111,0,
2020-06-11,CN_CQ,57516099999,22.88803,25.388889,23,31,0,
2020-06-11,CN_FJ,58931099999,28.555376,19.333333,16.777778,23.388889,0,
2020-06-11,CN_GD,59287099999,20.538324,30.333333,24.888889,35,0,
2020-06-11,CN_GS,52787099999,117.28434,9.0555556,5.2777778,14.722222,0,
2020-06-11,CN_GX,59431099999,111.11435,29.833333,23.888889,34,0,
2020-06-11,CN_GZ,57816099999,32.895896,25.055556,19.222222,29,0.762,
2020-06-11,CN_HA,57083099999,75.760717,24.222222,21,32.888889,27.178,
2020-06-11,CN_HB,57378099999,31.89969,26.777778,21.5,29.888889,75.946,
2020-06-11,CN_HE,53698099999,14.162607,27.5,23.111111,35.277778,0,
2020-06-11,CN_HI,47031199999,17.861851,30.055556,26,35,0,
2020-06-11,CN_HK,45039099999,14.187146,30,27,33.222222,0,
2020-06-11,CN_HL,50774099999,35.621239,15.111111,9.2777778,22.777778,1.27,
