date,key,new_confirmed_male,new_confirmed_female,total_confirmed_male,total_confirmed_female,new_deceased_male,new_deceased_female,total_deceased_male,total_deceased_female,new_recovered_male,new_recovered_female,total_recovered_male,total_recovered_female,new_tested_male,new_tested_female,total_tested_male,total_tested_female,new_hospitalized_male,new_hospitalized_female,total_hospitalized_male,total_hospitalized_female,current_hospitalized_male,current_hospitalized_female,new_intensive_care_male,new_intensive_care_female,total_intensive_care_male,total_intensive_care_female,current_intensive_care_male,current_intensive_care_female,new_ventilator_male,new_ventilator_female,total_ventilator_male,total_ventilator_female,current_ventilator_male,current_ventilator_female
2020-06-17,CO_08_08675,1,,8,10,0,,0,1,0,,0,1,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_08_08685,3,2,63,35,0,0,3,0,0,0,25,11,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_08_08758,88,71,1713,1339,3,3,89,65,25,13,581,417,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_08_08770,,1,7,6,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_08_08849,6,3,22,11,0,0,1,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_11,35,36,8940,8455,15,5,311,173,125,128,3971,3891,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_11_11001,35,36,8940,8455,15,5,311,173,125,128,3971,3891,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_13,76,50,3266,2214,2,3,155,101,74,70,1116,939,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_13_13001,68,48,2997,2059,2,3,142,92,69,69,1014,861,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_13_13052,,1,34,27,,0,2,1,,0,13,11,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_13_13244,1,,14,3,0,,0,0,1,,2,0,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_13_13430,1,,17,10,0,,1,1,0,,2,2,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_13_13442,1,,10,2,0,,0,0,0,,0,1,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_13_13657,,1,7,3,,0,0,0,,0,4,2,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_13_13683,2,,34,23,0,,2,2,0,,17,13,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_13_13836,3,0,85,44,0,0,5,1,3,1,43,30,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_13_13838,0,,20,8,0,,2,0,1,,9,1,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_15,3,3,127,134,1,1,8,7,0,2,82,103,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_15_15001,0,,35,39,1,,2,2,0,,23,27,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_15_15176,1,1,9,11,0,1,0,2,0,1,5,9,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_15_15238,,0,14,16,,0,0,0,,1,10,14,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_15_15272,1,,3,0,0,,0,0,0,,1,0,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_15_15776,,1,5,10,,0,0,0,,0,4,8,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_15_15814,,1,3,2,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_15_15861,1,,4,2,0,,0,0,0,,2,2,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_17,0,0,85,120,0,0,4,3,1,2,53,83,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_17_17001,0,0,38,56,0,0,1,1,1,1,18,31,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_17_17873,,0,5,8,,0,1,0,,1,3,7,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_19,7,4,110,97,0,0,4,5,0,1,48,44,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_19_19001,2,1,35,33,0,0,0,1,0,1,20,17,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_19_19455,3,2,8,5,0,0,1,1,0,0,3,2,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_19_19698,1,,12,7,0,,0,1,0,,5,2,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_19_19743,1,,2,0,0,,0,0,0,,1,0,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_19_19809,,1,6,5,,0,0,0,,0,0,1,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_20,15,15,267,323,0,0,12,8,2,1,67,48,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_20_20001,4,7,171,238,0,0,6,3,0,1,49,37,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_20_20011,1,1,7,6,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_20_20013,5,2,29,16,0,0,1,0,0,0,5,4,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_20_20060,3,2,7,7,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_20_20178,0,,3,3,0,,0,1,1,,2,1,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_20_20295,1,,1,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_20_20614,,2,4,7,,0,1,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_20_20621,0,1,4,9,0,0,0,0,1,0,2,2,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_20_20770,1,,7,3,0,,1,1,0,,1,0,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_23,4,1,137,174,0,1,10,10,0,0,48,64,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_23_23001,3,1,61,91,0,1,4,4,0,0,25,37,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_23_23686,1,,1,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_25,15,12,848,896,0,0,23,24,15,18,340,364,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_25_25035,,0,38,32,,0,0,0,,1,9,9,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_25_25126,,1,27,27,,0,0,0,,0,15,11,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_25_25175,1,0,35,37,0,0,0,0,0,1,24,24,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_25_25245,0,,12,6,0,,2,0,1,,4,6,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_25_25260,0,,3,2,0,,0,0,1,,2,1,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_25_25286,,1,35,42,,0,0,0,,0,17,21,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_25_25290,0,0,21,28,0,0,0,3,1,1,12,10,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_25_25307,1,2,27,36,0,0,0,1,1,1,6,11,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_25_25386,0,,14,8,0,,0,1,1,,8,2,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_25_25407,0,,4,10,0,,0,0,1,,1,2,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_25_25430,1,0,28,30,0,0,0,1,0,1,11,9,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_25_25473,,1,44,50,,0,4,4,,1,14,19,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_25_25745,1,,1,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_25_25754,9,3,277,329,0,0,4,4,6,8,95,114,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_25_25758,1,,6,8,0,,0,1,0,,4,4,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_25_25799,0,0,13,16,0,0,1,1,3,3,10,13,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_25_25815,,3,2,3,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_25_25843,1,0,13,20,0,0,0,1,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_25_25899,,1,36,37,,0,2,2,,0,12,16,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_27,13,5,443,382,1,1,14,14,4,4,79,103,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_27_27001,13,5,398,346,1,1,9,10,4,2,61,81,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_27_27361,,0,10,20,,0,0,0,,2,3,15,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_41,2,2,147,134,0,0,7,6,0,0,118,119,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_41_41001,1,,74,79,0,,2,3,0,,62,75,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_41_41799,1,2,6,6,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_44,5,4,113,44,1,0,5,4,0,0,31,23,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_44_44001,3,1,13,7,0,0,0,1,0,0,8,4,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_44_44430,2,3,40,26,1,0,5,1,0,0,12,14,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_47,12,16,523,496,0,1,50,31,13,15,250,278,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_47_47001,8,10,259,267,0,0,17,12,6,7,132,164,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_47_47189,3,5,134,100,0,1,16,7,1,0,53,48,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_47_47570,0,0,77,88,0,0,11,8,6,8,50,53,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_47_47745,1,1,23,12,0,0,2,1,0,0,7,1,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_50,2,3,963,72,1,0,8,5,0,1,902,51,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_50_50001,1,2,933,47,0,0,6,4,0,1,886,34,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_50_50568,1,1,5,2,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_50_50606,0,,3,2,1,,1,0,0,,1,2,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_52,7,9,1235,949,0,0,58,35,14,11,454,385,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_52_52001,2,3,152,159,0,0,10,5,1,2,35,40,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_52_52227,0,0,16,21,0,0,0,0,1,2,14,12,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_52_52356,2,1,132,80,0,0,7,1,1,0,82,30,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_52_52399,1,,5,0,0,,0,0,0,,1,0,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_52_52490,0,1,19,20,0,0,0,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_52_52560,0,,6,4,0,,1,0,1,,2,3,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_52_52678,,1,0,1,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_52_52786,1,1,4,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_52_52835,1,2,723,486,0,0,29,21,8,7,281,250,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_52_52885,0,,2,1,0,,0,0,1,,1,0,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_54,,1,89,75,,0,9,7,,0,61,54,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_54_54001,,1,59,52,,0,5,6,,0,47,36,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_63,,2,65,66,,0,2,3,,0,53,49,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_63_63001,,2,42,43,,0,2,0,,0,33,32,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_66,3,5,159,174,0,0,7,4,2,1,106,136,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_66_66001,2,1,97,107,0,0,5,2,0,0,72,91,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_66_66170,0,2,37,50,0,0,2,1,1,1,28,42,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_66_66400,1,2,14,11,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_66_66682,0,,8,6,0,,0,1,1,,4,1,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_68,16,12,174,123,0,0,7,3,4,5,49,45,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_68_68001,4,3,42,26,0,0,2,0,1,1,13,14,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_68_68081,5,0,67,43,0,0,2,1,2,4,20,23,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_68_68276,3,1,22,14,0,0,2,0,0,0,6,3,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_68_68307,,2,9,15,,0,0,1,,0,1,1,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_68_68322,0,,1,0,0,,0,0,1,,1,0,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_68_68377,,1,1,1,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_68_68689,4,5,5,5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_70,23,5,172,128,1,0,14,6,0,0,23,22,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_70_70001,20,5,144,107,1,0,14,6,0,0,17,17,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_70_70265,1,,1,1,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_70_70523,1,,2,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_70_70708,1,,5,2,0,,0,0,0,,0,1,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_73,59,6,296,174,0,0,7,8,2,1,154,86,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_73_73001,1,4,122,89,0,0,3,2,0,0,94,61,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_73_73268,54,0,85,36,0,0,2,1,1,1,6,9,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_73_73283,1,,2,4,0,,0,0,1,,1,0,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_73_73349,2,1,6,3,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_73_73449,,1,4,11,,0,0,2,,0,2,6,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_73_73624,1,,2,3,0,,0,0,0,,1,2,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_76,125,91,3750,2691,2,3,192,113,58,54,1273,1180,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_76_76001,85,77,2702,2018,2,1,126,67,46,42,950,948,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_76_76036,1,,2,1,0,,0,0,0,,1,0,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_76_76109,16,3,717,365,0,1,38,29,7,7,173,82,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_76_76111,3,1,15,15,0,0,0,0,1,1,6,8,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_76_76130,2,,31,36,0,,1,2,0,,10,11,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_76_76147,,0,6,12,,0,0,0,,1,5,12,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_76_76233,1,,13,8,0,,4,0,0,,5,3,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_76_76248,1,,14,11,0,,3,0,1,,8,9,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_76_76275,3,2,20,23,0,0,2,2,0,0,6,7,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_76_76364,2,0,39,39,0,1,1,2,0,0,22,23,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_76_76400,0,,6,5,0,,1,0,1,,5,2,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_76_76520,2,1,56,48,0,0,5,4,2,2,33,26,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_76_76563,3,2,13,17,0,0,3,2,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_76_76606,1,,4,2,0,,0,0,0,,0,1,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_76_76834,1,1,17,23,0,0,2,2,0,0,11,15,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_76_76869,,1,6,3,,0,0,0,,0,5,1,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_76_76892,4,3,59,44,0,0,1,1,0,1,20,22,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_85,1,,25,14,0,,0,0,0,,21,13,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_85_85440,1,,3,1,0,,0,0,0,,2,1,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_86,1,1,9,6,0,0,3,1,0,0,5,4,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_86_86865,1,1,2,2,0,0,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_91,3,5,1291,835,0,0,61,23,65,25,888,589,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_91_91001,3,5,1230,797,0,0,60,22,61,22,870,572,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_91_91540,0,0,61,38,0,0,1,1,4,3,18,17,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,FR,,,,,18,10,11227,7804,165,161,38137,35197,,,,,,,,,5179,4971,,,,,536,204,,,,,,
2020-06-17,FR_ARA,,,,,0,0,1035,674,22,26,3720,3790,,,,,,,,,353,304,,,,,29,8,,,,,,
2020-06-17,FR_ARA_01,,,,,1,0,60,42,0,2,209,201,,,,,,,,,30,33,,,,,0,0,,,,,,
2020-06-17,FR_ARA_03,,,,,0,0,21,18,0,0,78,112,,,,,,,,,10,5,,,,,1,0,,,,,,
2020-06-17,FR_ARA_07,,,,,0,0,76,31,2,1,206,220,,,,,,,,,8,5,,,,,3,0,,,,,,
2020-06-17,FR_ARA_15,,,,,0,0,6,3,0,0,29,21,,,,,,,,,5,4,,,,,0,0,,,,,,
2020-06-17,FR_ARA_26,,,,,0,0,79,50,1,0,264,229,,,,,,,,,23,14,,,,,2,0,,,,,,
2020-06-17,FR_ARA_38,,,,,0,0,87,64,6,2,321,333,,,,,,,,,31,28,,,,,4,0,,,,,,
2020-06-17,FR_ARA_42,,,,,0,0,166,79,0,0,482,452,,,,,,,,,65,44,,,,,6,1,,,,,,
2020-06-17,FR_ARA_43,,,,,0,0,11,7,0,0,41,64,,,,,,,,,0,2,,,,,0,0,,,,,,
2020-06-17,FR_ARA_63,,,,,0,0,25,17,1,0,91,83,,,,,,,,,9,8,,,,,2,0,,,,,,
2020-06-17,FR_ARA_69,,,,,-1,0,356,279,11,19,1388,1473,,,,,,,,,109,109,,,,,9,7,,,,,,
2020-06-17,FR_ARA_73,,,,,0,0,40,29,0,1,170,222,,,,,,,,,13,10,,,,,0,0,,,,,,
2020-06-17,FR_ARA_74,,,,,0,0,108,55,1,1,441,380,,,,,,,,,50,42,,,,,2,0,,,,,,
2020-06-17,FR_BFC,,,,,1,0,583,448,7,4,1787,1972,,,,,,,,,116,81,,,,,12,3,,,,,,
2020-06-17,FR_BFC_21,,,,,0,0,141,107,1,1,413,498,,,,,,,,,18,9,,,,,1,1,,,,,,
2020-06-17,FR_BFC_25,,,,,0,0,85,63,1,0,316,303,,,,,,,,,14,8,,,,,1,2,,,,,,
2020-06-17,FR_BFC_39,,,,,0,0,30,30,5,1,128,173,,,,,,,,,6,6,,,,,0,0,,,,,,
2020-06-17,FR_BFC_58,,,,,0,0,15,12,0,0,30,57,,,,,,,,,3,7,,,,,1,0,,,,,,
2020-06-17,FR_BFC_70,,,,,0,0,51,26,0,0,148,140,,,,,,,,,14,5,,,,,0,0,,,,,,
2020-06-17,FR_BFC_71,,,,,0,0,107,92,0,0,314,394,,,,,,,,,27,26,,,,,5,0,,,,,,
2020-06-17,FR_BFC_89,,,,,0,0,47,41,1,0,160,172,,,,,,,,,17,8,,,,,3,0,,,,,,
2020-06-17,FR_BFC_90,,,,,1,0,107,77,-1,2,278,235,,,,,,,,,17,12,,,,,1,0,,,,,,
2020-06-17,FR_BRE,,,,,0,0,149,108,0,1,659,559,,,,,,,,,77,57,,,,,7,3,,,,,,
2020-06-17,FR_BRE_22,,,,,0,0,21,16,0,0,97,101,,,,,,,,,11,15,,,,,1,2,,,,,,
2020-06-17,FR_BRE_29,,,,,0,0,28,15,0,0,96,70,,,,,,,,,11,8,,,,,2,0,,,,,,
2020-06-17,FR_BRE_35,,,,,0,0,45,41,0,1,248,194,,,,,,,,,32,22,,,,,2,1,,,,,,
2020-06-17,FR_BRE_56,,,,,0,0,55,36,0,0,218,194,,,,,,,,,23,12,,,,,2,0,,,,,,
2020-06-17,FR_COR,,,,,0,0,33,26,0,0,115,127,,,,,,,,,8,8,,,,,1,1,,,,,,
2020-06-17,FR_COR_2A,,,,,0,0,27,21,0,0,56,78,,,,,,,,,8,7,,,,,1,0,,,,,,
2020-06-17,FR_COR_2B,,,,,0,0,6,5,0,0,59,49,,,,,,,,,0,1,,,,,0,1,,,,,,
2020-06-17,FR_CVL,,,,,1,5,300,233,16,21,928,952,,,,,,,,,240,224,,,,,19,6,,,,,,
2020-06-17,FR_CVL_18,,,,,0,1,38,40,0,0,78,81,,,,,,,,,20,23,,,,,0,0,,,,,,
2020-06-17,FR_CVL_28,,,,,1,3,67,64,15,19,254,238,,,,,,,,,46,51,,,,,8,1,,,,,,
2020-06-17,FR_CVL_36,,,,,0,1,42,37,0,0,45,64,,,,,,,,,40,41,,,,,2,1,,,,,,
2020-06-17,FR_CVL_37,,,,,0,0,54,28,0,0,140,172,,,,,,,,,39,31,,,,,3,2,,,,,,
2020-06-17,FR_CVL_41,,,,,0,0,36,27,1,1,118,116,,,,,,,,,44,43,,,,,0,0,,,,,,
2020-06-17,FR_CVL_45,,,,,0,0,63,37,0,1,293,281,,,,,,,,,51,35,,,,,6,2,,,,,,
2020-06-17,FR_GES,,,,,1,1,2062,1446,25,16,6047,5690,,,,,,,,,674,671,,,,,59,18,,,,,,
2020-06-17,FR_GES_08,,,,,0,0,35,20,0,1,98,106,,,,,,,,,8,6,,,,,2,1,,,,,,
2020-06-17,FR_GES_10,,,,,0,0,88,48,3,0,322,290,,,,,,,,,15,10,,,,,3,0,,,,,,
2020-06-17,FR_GES_51,,,,,0,0,151,108,1,0,461,500,,,,,,,,,56,47,,,,,7,1,,,,,,
2020-06-17,FR_GES_52,,,,,0,0,41,45,1,0,121,118,,,,,,,,,7,18,,,,,1,0,,,,,,
2020-06-17,FR_GES_54,,,,,0,0,208,146,1,1,548,574,,,,,,,,,53,56,,,,,7,3,,,,,,
