key,wikidata,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level
AS,Q16641,AS,American Samoa,,,,,AS,ASM,0
AT,Q40,AT,Austria,,,,,AT,AUT,0
AT_11,Q43210,AT,Austria,11,Burgenland,,,AT,AUT,1
AT_12,Q42497,AT,Austria,12,Niederösterreich,,,AT,AUT,1
AT_13,Q1741,AT,Austria,13,Wien,,,AT,AUT,1
AT_21,Q37985,AT,Austria,21,Kärnten,,,AT,AUT,1
AT_22,Q41358,AT,Austria,22,Steiermark,,,AT,AUT,1
AT_31,Q41967,AT,Austria,31,Oberösterreich,,,AT,AUT,1
AT_32,Q43325,AT,Austria,32,Salzburg,,,AT,AUT,1
AT_33,Q42880,AT,Austria,33,Tirol,,,AT,AUT,1
AT_34,Q38981,AT,Austria,34,Vorarlberg,,,AT,AUT,1
AU,Q408,AU,Australia,,,,,AU,AUS,0
AU_ACT,Q3258,AU,Australia,ACT,Australian Capital Territory,,,AU,AUS,1
AU_NSW,Q3224,AU,Australia,NSW,New South Wales,,,AU,AUS,1
AU_NT,Q3235,AU,Australia,NT,Northern Territory,,,AU,AUS,1
AU_QLD,Q36074,AU,Australia,QLD,Queensland,,,AU,AUS,1
AU_SA,Q35715,AU,Australia,SA,South Australia,,,AU,AUS,1
AU_TAS,Q34366,AU,Australia,TAS,Tasmania,,,AU,AUS,1
AU_VIC,Q36687,AU,Australia,VIC,Victoria,,,AU,AUS,1
AU_WA,Q3206,AU,Australia,WA,Western Australia,,,AU,AUS,1
AW,Q21203,AW,Aruba,,,,,AW,ABW,0
AZ,Q227,AZ,Azerbaijan,,,,,AZ,AZE,0
BA,Q225,BA,Bosnia and Herzegovina,,,,,BA,BIH,0
BB,Q244,BB,Barbados,,,,,BB,BRB,0
BD,Q902,BD,Bangladesh,,,,,BD,BGD,0
BE,Q31,BE,Belgium,,,,,BE,BEL,0
BF,Q965,BF,Burkina Faso,,,,,BF,BFA,0
BG,Q219,BG,Bulgaria,,,,,BG,BGR,0
BH,Q398,BH,Bahrain,,,,,BH,BHR,0
BI,Q967,BI,Burundi,,,,,BI,BDI,0
BJ,Q962,BJ,Benin,,,,,BJ,BEN,0
BM,Q23635,BM,Bermuda,,,,,BM,BMU,0
BN,Q921,BN,Brunei,,,,,BN,BRN,0
BO,Q750,BO,Bolivia,,,,,BO,BOL,0
BO_B,Q233169,BO,Bolivia,B,Beni,,,BO,BOL,1
BO_C,Q233917,BO,Bolivia,C,Cochabamba,,,BO,BOL,1
BO_H,Q235110,BO,Bolivia,H,Chuquisaca,,,BO,BOL,1
BO_L,Q272784,BO,Bolivia,L,La Paz,,,BO,BOL,1
BO_N,Q235362,BO,Bolivia,N,Pando,,,BO,BOL,1
BO_O,Q1061368,BO,Bolivia,O,Oruro,,,BO,BOL,1
BO_P,Q238079,BO,Bolivia,P,Potosí,,,BO,BOL,1
BO_S,Q235106,BO,Bolivia,S,Santa Cruz,,,BO,BOL,1
BO_T,Q233933,BO,Bolivia,T,Tarija,,,BO,BOL,1
BQ,Q27561,BQ,Caribbean Netherlands,,,,,BQ,BES,0
BR,Q155,BR,Brazil,,,,,BR,BRA,0
BR_AC,Q40780,BR,Brazil,AC,Acre,,,BR,BRA,1
BR_AL,Q40885,BR,Brazil,AL,Alagoas,,,BR,BRA,1
BR_AM,Q40040,BR,Brazil,AM,Amazonas,,,BR,BRA,1
BR_AP,Q40130,BR,Brazil,AP,Amapá,,,BR,BRA,1
BR_BA,Q40430,BR,Brazil,BA,Bahia,,,BR,BRA,1
BR_CE,Q40123,BR,Brazil,CE,Ceará,,,BR,BRA,1
BR_DF,Q119158,BR,Brazil,DF,Distrito Federal,,,BR,BRA,1
BR_ES,Q43233,BR,Brazil,ES,Espirito Santo,,,BR,BRA,1
BR_GO,Q41587,BR,Brazil,GO,Goiás,,,BR,BRA,1
BR_MA,Q42362,BR,Brazil,MA,Maranhão,,,BR,BRA,1
BR_MG,Q39109,BR,Brazil,MG,Minas Gerais,,,BR,BRA,1
BR_MS,Q43319,BR,Brazil,MS,Mato Grosso do Sul,,,BR,BRA,1
BR_MT,Q42824,BR,Brazil,MT,Mato Grosso,,,BR,BRA,1
BR_PA,Q39517,BR,Brazil,PA,Pará,,,BR,BRA,1
BR_PB,Q38088,BR,Brazil,PB,Paraíba,,,BR,BRA,1
BR_PE,Q40942,BR,Brazil,PE,Pernambuco,,,BR,BRA,1
BR_PI,Q42722,BR,Brazil,PI,Piauí,,,BR,BRA,1
BR_PR,Q15499,BR,Brazil,PR,Paraná,,,BR,BRA,1
BR_RJ,Q41428,BR,Brazil,RJ,Rio de Janeiro,,,BR,BRA,1
BR_RN,Q43255,BR,Brazil,RN,Rio Grande do Norte,,,BR,BRA,1
BR_RO,Q43235,BR,Brazil,RO,Rondônia,,,BR,BRA,1
BR_RR,Q42508,BR,Brazil,RR,Roraima,,,BR,BRA,1
BR_RS,Q40030,BR,Brazil,RS,Rio Grande do Sul,,,BR,BRA,1
BR_SC,Q41115,BR,Brazil,SC,Santa Catarina,,,BR,BRA,1
BR_SE,Q43783,BR,Brazil,SE,Sergipe,,,BR,BRA,1
BR_SP,Q175,BR,Brazil,SP,São Paulo,,,BR,BRA,1
BR_TO,Q43695,BR,Brazil,TO,Tocantins,,,BR,BRA,1
BS,Q778,BS,Bahamas,,,,,BS,BHS,0
BT,Q917,BT,Bhutan,,,,,BT,BTN,0
BV,Q23408,BV,Bouvet Island,,,,,BV,BVT,0
BW,Q963,BW,Botswana,,,,,BW,BWA,0
BY,Q184,BY,Belarus,,,,,BY,BLR,0
BZ,Q242,BZ,Belize,,,,,BZ,BLZ,0
CA,Q16,CA,Canada,,,,,CA,CAN,0
CA_AB,Q1951,CA,Canada,AB,Alberta,,,CA,CAN,1
CA_BC,Q1974,CA,Canada,BC,British Columbia,,,CA,CAN,1
CA_MB,Q1948,CA,Canada,MB,Manitoba,,,CA,CAN,1
CA_NB,Q1965,CA,Canada,NB,New Brunswick,,,CA,CAN,1
CA_NL,Q2003,CA,Canada,NL,Newfoundland and Labrador,,,CA,CAN,1
CA_NS,Q1952,CA,Canada,NS,Nova Scotia,,,CA,CAN,1
CA_NT,Q2007,CA,Canada,NT,Northwest Territories,,,CA,CAN,1
CA_NU,Q2023,CA,Canada,NU,Nunavut,,,CA,CAN,1
CA_ON,Q1904,CA,Canada,ON,Ontario,,,CA,CAN,1
CA_PE,Q1979,CA,Canada,PE,Prince Edward Island,,,CA,CAN,1
CA_QC,Q176,CA,Canada,QC,Quebec,,,CA,CAN,1
CA_SK,Q1989,CA,Canada,SK,Saskatchewan,,,CA,CAN,1
CA_YT,Q2009,CA,Canada,YT,Yukon,,,CA,CAN,1
CC,Q36004,CC,Cocos Islands,,,,,CC,CCK,0
CD,Q974,CD,Democratic Republic of the Congo,,,,,CD,COD,0
CF,Q929,CF,Central African Republic,,,,,CF,CAF,0
CG,Q971,CG,Republic of the Congo,,,,,CG,COG,0
CH,Q39,CH,Switzerland,,,,,CH,CHE,0
CH_AG,Q11972,CH,Switzerland,AG,Aargau,,,CH,CHE,1
CH_AI,Q12094,CH,Switzerland,AI,Appenzell Innerrhoden,,,CH,CHE,1
CH_AR,Q12079,CH,Switzerland,AR,Appenzell Ausserrhoden,,,CH,CHE,1
CH_BE,Q11911,CH,Switzerland,BE,Bern,,,CH,CHE,1
CH_BL,Q12146,CH,Switzerland,BL,Basel-Landschaft,,,CH,CHE,1
CH_BS,Q12172,CH,Switzerland,BS,Basel-Stadt,,,CH,CHE,1
CH_FR,Q12640,CH,Switzerland,FR,Fribourg,,,CH,CHE,1
CH_GE,Q11917,CH,Switzerland,GE,Geneva,,,CH,CHE,1
CH_GL,Q11922,CH,Switzerland,GL,Glarus,,,CH,CHE,1
CH_GR,Q11925,CH,Switzerland,GR,Grisons,,,CH,CHE,1
CH_JU,Q12755,CH,Switzerland,JU,Jura,,,CH,CHE,1
CH_LU,Q12121,CH,Switzerland,LU,Lucerne,,,CH,CHE,1
CH_NE,Q12738,CH,Switzerland,NE,Neuchâtel,,,CH,CHE,1
CH_NW,Q12592,CH,Switzerland,NW,Nidwalden,,,CH,CHE,1
CH_OW,Q12573,CH,Switzerland,OW,Obwalden,,,CH,CHE,1
CH_SG,Q12746,CH,Switzerland,SG,St. Gallen,,,CH,CHE,1
CH_SH,Q12697,CH,Switzerland,SH,Schaffhausen,,,CH,CHE,1
CH_SO,Q11929,CH,Switzerland,SO,Solothurn,,,CH,CHE,1
CH_SZ,Q12433,CH,Switzerland,SZ,Schwyz,,,CH,CHE,1
CH_TG,Q12713,CH,Switzerland,TG,Thurgau,,,CH,CHE,1
CH_TI,Q12724,CH,Switzerland,TI,Ticino,,,CH,CHE,1
CH_UR,Q12404,CH,Switzerland,UR,Uri,,,CH,CHE,1
CH_VD,Q12771,CH,Switzerland,VD,Vaud,,,CH,CHE,1
CH_VS,Q834,CH,Switzerland,VS,Valais,,,CH,CHE,1
CH_ZG,Q11933,CH,Switzerland,ZG,Zug,,,CH,CHE,1
CH_ZH,Q11943,CH,Switzerland,ZH,Zürich,,,CH,CHE,1
CI,Q1008,CI,Ivory Coast,,,,,CI,CIV,0
CK,Q26988,CK,Cook Islands,,,,,CK,COK,0
CL,Q298,CL,Chile,,,,,CL,CHL,0
CL_AI,Q2181,CL,Chile,AI,Aysén,,,CL,CHL,1
CL_AN,Q2118,CL,Chile,AN,Antofagasta,,,CL,CHL,1
CL_AP,Q2109,CL,Chile,AP,Arica y Parinacota,,,CL,CHL,1
CL_AR,Q2176,CL,Chile,AR,Araucanía,,,CL,CHL,1
CL_AT,Q2120,CL,Chile,AT,Atacama,,,CL,CHL,1
CL_BI,Q2170,CL,Chile,BI,Biobío,,,CL,CHL,1
CL_CO,Q2121,CL,Chile,CO,Coquimbo,,,CL,CHL,1
CL_LI,Q2133,CL,Chile,LI,O'Higgins,,,CL,CHL,1
CL_LL,Q2178,CL,Chile,LL,Los Lagos,,,CL,CHL,1
CL_LR,Q2177,CL,Chile,LR,Los Ríos,,,CL,CHL,1
CL_MA,Q2189,CL,Chile,MA,Magallanes,,,CL,CHL,1
CL_ML,Q2166,CL,Chile,ML,Maule,,,CL,CHL,1
CL_NB,Q24076693,CL,Chile,NB,Ñuble,,,CL,CHL,1
CL_RM,Q2131,CL,Chile,RM,Santiago Metropolitan,,,CL,CHL,1
CL_TA,Q2114,CL,Chile,TA,Tarapacá,,,CL,CHL,1
CL_VS,Q219458,CL,Chile,VS,Valparaíso,,,CL,CHL,1
CM,Q1009,CM,Cameroon,,,,,CM,CMR,0
CN,Q148,CN,China,,,,,CN,CHN,0
CN_AH,Q40956,CN,China,AH,Anhui,,,CN,CHN,1
CN_BJ,Q956,CN,China,BJ,Beijing,,,CN,CHN,1
CN_CQ,Q11725,CN,China,CQ,Chongqing,,,CN,CHN,1
CN_FJ,Q41705,CN,China,FJ,Fujian,,,CN,CHN,1
CN_GD,Q15175,CN,China,GD,Guangdong,,,CN,CHN,1
CN_GS,Q42392,CN,China,GS,Gansu,,,CN,CHN,1
CN_GX,Q15176,CN,China,GX,Guangxi,,,CN,CHN,1
CN_GZ,Q47097,CN,China,GZ,Guizhou,,,CN,CHN,1
CN_HA,Q43684,CN,China,HA,Henan,,,CN,CHN,1
CN_HB,Q46862,CN,China,HB,Hubei,,,CN,CHN,1
CN_HE,Q21208,CN,China,HE,Hebei,,,CN,CHN,1
CN_HI,Q42200,CN,China,HI,Hainan,,,CN,CHN,1
CN_HK,Q8646,CN,China,HK,Hong Kong,,,CN,CHN,1
CN_HL,Q19206,CN,China,HL,Heilongjiang,,,CN,CHN,1
CN_HN,Q45761,CN,China,HN,Hunan,,,CN,CHN,1
CN_JL,Q45208,CN,China,JL,Jilin,,,CN,CHN,1
CN_JS,Q16963,CN,China,JS,Jiangsu,,,CN,CHN,1
CN_JX,Q57052,CN,China,JX,Jiangxi,,,CN,CHN,1
CN_LN,Q43934,CN,China,LN,Liaoning,,,CN,CHN,1
CN_MO,Q14773,CN,China,MO,Macau,,,CN,CHN,1
CN_NM,Q41079,CN,China,NM,Inner Mongolia,,,CN,CHN,1
CN_NX,Q57448,CN,China,NX,Ningxia,,,CN,CHN,1
CN_QH,Q45833,CN,China,QH,Qinghai,,,CN,CHN,1
CN_SC,Q19770,CN,China,SC,Sichuan,,,CN,CHN,1
CN_SD,Q43407,CN,China,SD,Shandong,,,CN,CHN,1
CN_SH,Q8686,CN,China,SH,Shanghai,,,CN,CHN,1
CN_SN,Q47974,CN,China,SN,Shaanxi,,,CN,CHN,1
CN_SX,Q46913,CN,China,SX,Shanxi,,,CN,CHN,1
CN_TJ,Q11736,CN,China,TJ,Tianjin,,,CN,CHN,1
CN_TW,Q57251,CN,China,TW,Taiwan,,,CN,CHN,1
CN_XJ,Q34800,CN,China,XJ,Xinjiang,,,CN,CHN,1
CN_XZ,Q17269,CN,China,XZ,Tibet,,,CN,CHN,1
CN_YN,Q43194,CN,China,YN,Yunnan,,,CN,CHN,1
CN_ZJ,Q16967,CN,China,ZJ,Zhejiang,,,CN,CHN,1
CO,Q739,CO,Colombia,,,,,CO,COL,0
CO_AMA,Q44724,CO,Colombia,AMA,Amazonas,,,CO,COL,1
CO_ANT,Q123304,CO,Colombia,ANT,Antioquia,,,CO,COL,1
CO_ARA,Q230223,CO,Colombia,ARA,Arauca,,,CO,COL,1
CO_ATL,Q230882,CO,Colombia,ATL,Atlántico,,,CO,COL,1
CO_BOL,Q230597,CO,Colombia,BOL,Bolívar,,,CO,COL,1
CO_BOY,Q121233,CO,Colombia,BOY,Boyacá,,,CO,COL,1
CO_CAL,Q230607,CO,Colombia,CAL,Caldas,,,CO,COL,1
CO_CAQ,Q13985,CO,Colombia,CAQ,Caquetá,,,CO,COL,1
CO_CAS,Q13984,CO,Colombia,CAS,Casanare,,,CO,COL,1
CO_CAU,Q230602,CO,Colombia,CAU,Cauca,,,CO,COL,1
CO_CES,Q234916,CO,Colombia,CES,Cesar,,,CO,COL,1
CO_CHO,Q230584,CO,Colombia,CHO,Chocó,,,CO,COL,1
CO_COR,Q234912,CO,Colombia,COR,Córdoba,,,CO,COL,1
CO_CUN,Q232564,CO,Colombia,CUN,Cundinamarca,,,CO,COL,1
CO_DC,Q2841,CO,Colombia,DC,Bogotá,,,CO,COL,1
CO_GUA,Q238645,CO,Colombia,GUA,Guainía,,,CO,COL,1
CO_GUV,Q272885,CO,Colombia,GUV,Guaviare,,,CO,COL,1
CO_HUI,Q234920,CO,Colombia,HUI,Huila,,,CO,COL,1
CO_LAG,Q272747,CO,Colombia,LAG,La Guajira,,,CO,COL,1
CO_MAG,Q199910,CO,Colombia,MAG,Magdalena,,,CO,COL,1
CO_MET,Q238629,CO,Colombia,MET,Meta,,,CO,COL,1
CO_NAR,Q230217,CO,Colombia,NAR,Nariño,,,CO,COL,1
CO_NSA,Q233058,CO,Colombia,NSA,Norte de Santander,,,CO,COL,1
CO_PUT,Q232953,CO,Colombia,PUT,Putumayo,,,CO,COL,1
CO_QUI,Q13995,CO,Colombia,QUI,Quindío,,,CO,COL,1
CO_RIS,Q13993,CO,Colombia,RIS,Risaralda,,,CO,COL,1
CO_SAN,Q235166,CO,Colombia,SAN,Santander,,,CO,COL,1
CO_SAP,Q26855,CO,Colombia,SAP,San Andrés,,,CO,COL,1
CO_SUC,Q235188,CO,Colombia,SUC,Sucre,,,CO,COL,1
CO_TOL,Q234501,CO,Colombia,TOL,Tolima,,,CO,COL,1
CO_VAC,Q13990,CO,Colombia,VAC,Valle del Cauca,,,CO,COL,1
CO_VAU,Q234505,CO,Colombia,VAU,Vaupés,,,CO,COL,1
CO_VID,Q268729,CO,Colombia,VID,Vichada,,,CO,COL,1
CR,Q800,CR,Costa Rica,,,,,CR,CRI,0
CU,Q241,CU,Cuba,,,,,CU,CUB,0
CV,Q1011,CV,Cape Verde,,,,,CV,CPV,0
CW,Q25279,CW,Curaçao,,,,,CW,CUW,0
CX,Q31063,CX,Christmas Island,,,,,CX,CXR,0
CY,Q229,CY,Cyprus,,,,,CY,CYP,0
CZ,Q213,CZ,Czech Republic,,,,,CZ,CZE,0
CZ_10,Q1085,CZ,Czech Republic,10,Hlavní město Praha,,,CZ,CZE,1
CZ_20,Q188399,CZ,Czech Republic,20,Středočeský kraj,,,CZ,CZE,1
CZ_31,Q188373,CZ,Czech Republic,31,Jihočeský kraj,,,CZ,CZE,1
CZ_32,Q46070,CZ,Czech Republic,32,Plzeňský kraj,,,CZ,CZE,1
CZ_41,Q191091,CZ,Czech Republic,41,Karlovarský kraj,,,CZ,CZE,1
CZ_42,Q192702,CZ,Czech Republic,42,Ústecký kraj,,,CZ,CZE,1
CZ_51,Q193266,CZ,Czech Republic,51,Liberecký kraj,,,CZ,CZE,1
CZ_52,Q193295,CZ,Czech Republic,52,Královéhradecký kraj,,,CZ,CZE,1
CZ_53,Q193317,CZ,Czech Republic,53,Pardubický kraj,,,CZ,CZE,1
CZ_63,Q190930,CZ,Czech Republic,63,Kraj Vysočina,,,CZ,CZE,1
CZ_64,Q192697,CZ,Czech Republic,64,Jihomoravský kraj,,,CZ,CZE,1
CZ_71,Q193307,CZ,Czech Republic,71,Olomoucký kraj,,,CZ,CZE,1
CZ_72,Q192536,CZ,Czech Republic,72,Zlínský kraj,,,CZ,CZE,1
CZ_80,Q190550,CZ,Czech Republic,80,Moravskoslezský kraj,,,CZ,CZE,1
DE,Q183,DE,Germany,,,,,DE,DEU,0
DE_BB,Q1208,DE,Germany,BB,Brandenburg,,,DE,DEU,1
DE_BE,Q64,DE,Germany,BE,Berlin,,,DE,DEU,1
DE_BW,Q985,DE,Germany,BW,Baden-Württemberg,,,DE,DEU,1
DE_BY,Q980,DE,Germany,BY,Bavaria,,,DE,DEU,1
DE_HB,Q1209,DE,Germany,HB,Bremen,,,DE,DEU,1
DE_HE,Q1199,DE,Germany,HE,Hesse,,,DE,DEU,1
DE_HH,Q1055,DE,Germany,HH,Hamburg,,,DE,DEU,1
DE_MV,Q1196,DE,Germany,MV,Mecklenburg-Vorpommern,,,DE,DEU,1
DE_NI,Q1197,DE,Germany,NI,Lower Saxony,,,DE,DEU,1
DE_NW,Q1198,DE,Germany,NW,North Rhine-Westphalia,,,DE,DEU,1
DE_RP,Q1200,DE,Germany,RP,Rhineland-Palatinate,,,DE,DEU,1
DE_SH,Q1194,DE,Germany,SH,Schleswig-Holstein,,,DE,DEU,1
DE_SL,Q1201,DE,Germany,SL,Saarland,,,DE,DEU,1
DE_SN,Q1202,DE,Germany,SN,Saxony,,,DE,DEU,1
DE_ST,Q1206,DE,Germany,ST,Saxony-Anhalt,,,DE,DEU,1
DE_TH,Q1205,DE,Germany,TH,Thuringia,,,DE,DEU,1
DJ,Q977,DJ,Djibouti,,,,,DJ,DJI,0
DK,Q35,DK,Denmark,,,,,DK,DNK,0
DM,Q784,DM,Dominica,,,,,DM,DMA,0
DO,Q786,DO,Dominican Republic,,,,,DO,DOM,0
DZ,Q262,DZ,Algeria,,,,,DZ,DZA,0
EC,Q736,EC,Ecuador,,,,,EC,ECU,0
EE,Q191,EE,Estonia,,,,,EE,EST,0
EG,Q79,EG,Egypt,,,,,EG,EGY,0
EH,Q6250,EH,Western Sahara,,,,,EH,ESH,0
ER,Q986,ER,Eritrea,,,,,ER,ERI,0
ES,Q29,ES,Spain,,,,,ES,ESP,0
ES_AN,Q5783,ES,Spain,AN,Andalucía,,,ES,ESP,1
ES_AR,Q4040,ES,Spain,AR,Aragón,,,ES,ESP,1
ES_AS,Q3934,ES,Spain,AS,Asturias,,,ES,ESP,1
ES_CB,Q3946,ES,Spain,CB,Cantabria,,,ES,ESP,1
ES_CE,Q5823,ES,Spain,CE,Ceuta,,,ES,ESP,1
ES_CL,Q5739,ES,Spain,CL,Castilla y León,,,ES,ESP,1
ES_CM,Q5748,ES,Spain,CM,Castilla-La Mancha,,,ES,ESP,1
ES_CN,Q5813,ES,Spain,CN,Islas Canarias,,,ES,ESP,1
ES_CT,Q5705,ES,Spain,CT,Cataluña,,,ES,ESP,1
ES_EX,Q5777,ES,Spain,EX,Extremadura,,,ES,ESP,1
ES_GA,Q3908,ES,Spain,GA,Galicia,,,ES,ESP,1
ES_IB,Q5765,ES,Spain,IB,Islas Baleares,,,ES,ESP,1
ES_MC,Q5772,ES,Spain,MC,Murcia,,,ES,ESP,1
ES_MD,Q5756,ES,Spain,MD,Madrid,,,ES,ESP,1
ES_ML,Q5831,ES,Spain,ML,Melilla,,,ES,ESP,1
ES_NC,Q4018,ES,Spain,NC,Navarra,,,ES,ESP,1
ES_PV,Q3995,ES,Spain,PV,País Vasco,,,ES,ESP,1
ES_RI,Q5727,ES,Spain,RI,La Rioja,,,ES,ESP,1
ES_VC,Q5720,ES,Spain,VC,Comunidad Valenciana,,,ES,ESP,1
ET,Q115,ET,Ethiopia,,,,,ET,ETH,0
FI,Q33,FI,Finland,,,,,FI,FIN,0
FJ,Q712,FJ,Fiji,,,,,FJ,FJI,0
FK,Q9648,FK,Falkland Islands,,,,,FK,FLK,0
FM,Q3359409,FM,Micronesia,,,,,FM,FSM,0
FO,Q4628,FO,Faroe Islands,,,,,FO,FRO,0
FR,Q142,FR,France,,,,,FR,FRA,0
FR_ARA,Q18338206,FR,France,ARA,Auvergne-Rhône-Alpes,,,FR,FRA,1
FR_BFC,Q18578267,FR,France,BFC,Bourgogne-Franche-Comté,,,FR,FRA,1
FR_BL,,FR,France,BL,Saint Barthélemy,,,FR,FRA,1
FR_BRE,Q327,FR,France,BRE,Brittany,,,FR,FRA,1
FR_COR,Q14112,FR,France,COR,Corsica,,,FR,FRA,1
FR_CVL,Q13947,FR,France,CVL,Centre-Val de Loire,,,FR,FRA,1
FR_GES,Q18677983,FR,France,GES,Grand Est,,,FR,FRA,1
FR_GF,,FR,France,GF,French Guiana,,,FR,FRA,1
FR_GUA,Q17012,FR,France,GUA,Guadeloupe,,,FR,FRA,1
FR_HDF,Q18677767,FR,France,HDF,Hauts-de-France,,,FR,FRA,1
FR_IDF,Q13917,FR,France,IDF,Île-de-France,,,FR,FRA,1
FR_LRE,Q17070,FR,France,LRE,La Réunion,,,FR,FRA,1
FR_MAY,Q17063,FR,France,MAY,Mayotte,,,FR,FRA,1
FR_MF,,FR,France,MF,Saint Martin,,,FR,FRA,1
FR_MQ,,FR,France,MQ,Martinique,,,FR,FRA,1
FR_NAQ,Q18678082,FR,France,NAQ,Nouvelle-Aquitaine,,,FR,FRA,1
FR_NOR,Q402814,FR,France,NOR,Normandy,,,FR,FRA,1
FR_OCC,Q18678265,FR,France,OCC,Occitanie,,,FR,FRA,1
FR_PAC,Q15104,FR,France,PAC,Provence-Alpes-Côte d'Azur,,,FR,FRA,1
FR_PDL,Q16994,FR,France,PDL,Pays de la Loire,,,FR,FRA,1
GA,Q1000,GA,Gabon,,,,,GA,GAB,0
GB,Q145,GB,United Kingdom,,,,,GB,GBR,0
GB_ENG,Q21,GB,United Kingdom,ENG,England,,,GB,GBR,1
GB_ENG_E06000001,Q2594690,GB,United Kingdom,ENG,England,E06000001,Hartlepool,GB,GBR,2
GB_ENG_E06000002,Q2673020,GB,United Kingdom,ENG,England,E06000002,Middlesbrough,GB,GBR,2
GB_ENG_E06000003,Q1434448,GB,United Kingdom,ENG,England,E06000003,Redcar and Cleveland,GB,GBR,2
GB_ENG_E06000004,Q894094,GB,United Kingdom,ENG,England,E06000004,Stockton-on-Tees,GB,GBR,2
GB_ENG_E06000005,Q1171024,GB,United Kingdom,ENG,England,E06000005,Darlington,GB,GBR,2
GB_ENG_E06000006,Q376141,GB,United Kingdom,ENG,England,E06000006,Halton,GB,GBR,2
GB_ENG_E06000007,Q894095,GB,United Kingdom,ENG,England,E06000007,Warrington,GB,GBR,2
GB_ENG_E06000008,Q880782,GB,United Kingdom,ENG,England,E06000008,Blackburn with Darwen,GB,GBR,2
GB_ENG_E06000009,Q20989106,GB,United Kingdom,ENG,England,E06000009,Blackpool,GB,GBR,2
GB_ENG_E06000010,Q21885987,GB,United Kingdom,ENG,England,E06000010,Citi of Kingston upon Hull,GB,GBR,2
GB_ENG_E06000011,Q21695028,GB,United Kingdom,ENG,England,E06000011,East Riding of Yorkshire,GB,GBR,2
GB_ENG_E06000012,Q1342914,GB,United Kingdom,ENG,England,E06000012,North East Lincolnshire,GB,GBR,2
GB_ENG_E06000013,Q175945,GB,United Kingdom,ENG,England,E06000013,North Lincolnshire,GB,GBR,2
GB_ENG_E06000014,Q20986421,GB,United Kingdom,ENG,England,E06000014,York,GB,GBR,2
GB_ENG_E06000015,Q21885980,GB,United Kingdom,ENG,England,E06000015,Derby,GB,GBR,2
GB_ENG_E06000016,Q21683242,GB,United Kingdom,ENG,England,E06000016,Leicester,GB,GBR,2
GB_ENG_E06000017,Q23107,GB,United Kingdom,ENG,England,E06000017,Rutland,GB,GBR,2
GB_ENG_E06000018,Q21885994,GB,United Kingdom,ENG,England,E06000018,Nottingham,GB,GBR,2
GB_ENG_E06000019,Q23129,GB,United Kingdom,ENG,England,E06000019,Couty of Herefordshire,GB,GBR,2
