key,latitude,longitude,elevation,area
CL_AP,-18.475,-70.314444,3753,16873
CL_AR,-38.9,-72.666667,580,31842
CL_AT,-27.366667,-70.332222,1800,75176
CL_BI,-36.772778,-73.063056,119,23890
CL_CO,-29.907778,-71.254167,383,40580
CL_LI,-34.371944,-71.124528,802,16387
CL_LL,-41.471667,-72.936667,,48584
CL_LR,-39.808333,-73.241667,310,18430
CL_MA,-53.1625,-70.9225,214,132291
CL_ML,-35.426667,-71.671667,187,30296
CL_NB,-36.616667,-71.95,,
CL_RM,-33.437778,-70.650278,544,15403
CL_TA,-20.283333,-69.333333,2401,42226
CL_VS,-33.063056,-71.639444,312,16396
CM,7,12,,475442
CN,35,103,,9596961
CN_AH,31.833333,117,,139000
CN_BJ,39.905,116.39139,43,16411
CN_CQ,29.55,106.50694,243,82403
CN_FJ,25.9,118.3,,121400
CN_GD,23.4,113.5,,179800
CN_GS,38,102,,454000
CN_GX,23.6,108.3,,235001
CN_GZ,26.833333,106.83333,,
CN_HA,33.9,113.5,,
CN_HB,31.2,112.3,,185900
CN_HE,38.042222,114.50861,,187240
CN_HI,20.03342,110.32398,1840,33920
CN_HK,22.278333,114.15861,7,2755
CN_HL,48,129,,454800
CN_HN,27.4,111.8,,211836
CN_JL,43.884167,125.30833,,187400
CN_JS,33,120,,98285
CN_JX,27.3,116,,166900
CN_LN,41.803889,123.42583,,145900
CN_MO,22.166667,113.55,22,
CN_NM,44,113,,1181104
CN_NX,38.46654,106.27056,,52188
CN_QH,35,96,,696700
CN_SC,30,103,,485000
CN_SD,36.4,118.4,,156700
CN_SH,31.166667,121.46667,4,6341
CN_SN,34.266667,108.9,,205800
CN_SX,37.873333,112.56444,,156000
CN_TJ,39.146667,117.20556,5,11920
CN_TW,23.7,121,,35581
CN_XJ,43.8253,87.61379,,1664897
CN_XZ,31.705556,86.940278,,1228400
CN_YN,24.5,101.5,,394100
CN_ZJ,30.266667,120.15,,101800
CO,4,-74,,1141748
CO_05,6.2166667,-75.566667,2099,63612
CO_05_05001,6.2447472,-75.574828,1495,381
CO_05_05002,5.7905556,-75.426944,2275,
CO_05_05004,6.6316667,-76.063889,1925,290
CO_05_05021,6.3772222,-75.141111,1447,
CO_05_05030,6.0383333,-75.702778,1400,84
CO_05_05031,6.9091667,-75.076667,1550,1210
CO_05_05034,5.6555556,-75.880278,1360,40342
CO_05_05036,6.1116667,-75.71,1950,86
CO_05_05038,6.8852778,-75.335278,1675,
CO_05_05040,7.0736111,-75.146944,1535,
CO_05_05042,6.5563889,-75.8275,550,493
CO_05_05044,6.3036111,-75.854167,645,256
CO_05_05045,7.8847222,-76.635,30,607
CO_05_05051,8.8511111,-76.427222,50,718
CO_05_05055,5.7319444,-75.141944,1750,254
CO_05_05059,6.1563889,-75.785833,1800,110
CO_05_05079,6.4375,-75.330556,1300,
CO_05_05086,6.605,-75.665833,2550,
CO_05_05088,6.3319444,-75.558056,1310,142
CO_05_05091,5.7347222,-75.979167,1550,168
CO_05_05093,6.1122222,-75.983889,1600,252
CO_05_05101,5.8494444,-76.020278,1200,282
CO_05_05107,7.1105556,-75.551111,1200,401
CO_05_05113,6.72,-75.9075,1625,
CO_05_05120,7.5794444,-75.350278,150,
CO_05_05125,6.4069444,-75.985278,1820,221
CO_05_05129,6.0886111,-75.636111,1750,133
CO_05_05134,6.9791667,-75.295833,1200,200
CO_05_05138,6.7497222,-76.025833,1320,391
CO_05_05142,6.4072222,-74.756667,652,
CO_05_05145,5.5466667,-75.644167,1770,86
CO_05_05147,7.7580556,-76.655278,83,
CO_05_05148,6.0819444,-75.334167,2150,448
CO_05_05150,6.7227778,-75.2825,1700,
CO_05_05154,7.9847222,-75.198056,150,1411
CO_05_05172,7.6697222,-76.681389,34,608
CO_05_05190,6.5383333,-75.088611,1050,46
CO_05_05197,6.0577778,-75.185278,1300,210
CO_05_05206,6.395,-75.258333,1832,167
CO_05_05209,6.0455556,-75.9075,2400,
CO_05_05212,6.3486111,-75.510278,1454,70
CO_05_05234,7.0013889,-76.261111,450,
CO_05_05237,6.4858333,-75.395278,2205,
CO_05_05240,6.3263889,-75.766111,1150,
CO_05_05250,7.6047222,-74.808611,57,
CO_05_05264,6.5652778,-75.514167,2300,
CO_05_05266,6.1719444,-75.580278,1575,79
CO_05_05282,5.9266667,-75.673889,1800,
CO_05_05284,6.7786111,-76.131389,1350,
CO_05_05306,6.6805556,-75.952778,1511,
CO_05_05308,6.3769444,-75.446111,1425,
CO_05_05310,6.6816667,-75.218056,1805,
CO_05_05313,6.1441667,-75.185278,2081,
CO_05_05315,6.8138889,-75.240833,1875,87
CO_05_05318,6.2791667,-75.441944,2150,
CO_05_05321,6.2325,-75.158611,2000,
CO_05_05347,6.2105556,-75.73,1778,117
CO_05_05353,5.803,-75.912,942,
CO_05_05360,6.1726,-75.6096,1550,21
CO_05_05361,7.1711111,-75.763611,1550,
CO_05_05364,5.5983333,-75.819722,1750,224
CO_05_05368,5.7911111,-75.785833,1931,74
CO_05_05376,6.0277778,-75.431111,2200,131
CO_05_05380,6.1561111,-75.641389,1775,
CO_05_05390,5.7419444,-75.605278,600,55
CO_05_05400,5.9727778,-75.361111,2500,198
CO_05_05411,6.6780556,-75.812222,867,
CO_05_05425,6.5533333,-74.787222,915,
CO_05_05440,6.1744444,-75.338889,2120,
CO_05_05467,5.9447222,-75.523889,2350,
CO_05_05475,6.985,-76.753056,216,
CO_05_05480,7.2433333,-76.435833,169,
CO_05_05483,5.6091667,-75.176389,1656,
CO_05_05490,8.4258333,-76.783889,0,
CO_05_05495,8.0958333,-74.775,28,
CO_05_05501,6.6277778,-75.811944,500,
CO_05_05541,6.2188889,-75.241944,2000,
CO_05_05543,7.0213889,-75.909444,1200,
CO_05_05576,5.7905556,-75.840556,1894,
CO_05_05579,6.4905556,-74.404722,70,
CO_05_05585,6.1844444,-74.583611,113,
CO_05_05591,5.8727778,-74.639722,148,
CO_05_05604,7.0275,-74.693889,700,1985
CO_05_05607,6.0597222,-75.503889,2175,273
CO_05_05615,6.1533333,-75.374167,2130,196
CO_05_05628,10.666667,-74.916667,1556,265
CO_05_05631,6.1508333,-75.615,1550,15
CO_05_05642,5.9638889,-75.9775,1400,418
CO_05_05647,6.9144444,-75.675833,2191,177
CO_05_05649,6.1872222,-74.992222,1113,702
CO_05_05652,5.9641667,-75.101667,1250,373
CO_05_05656,6.4416667,-75.727778,780,155
CO_05_05658,6.8497222,-75.683611,2748,127
CO_05_05659,8.7611111,-76.528611,25,239
CO_05_05660,6.0422222,-74.993333,1050,453
CO_05_05664,6.4594444,-75.557778,2475,229
CO_05_05665,8.275,-76.376944,206,476
CO_05_05667,6.295,-75.028056,1000,362
CO_05_05670,6.4852778,-75.019722,1475,441
CO_05_05674,6.2819444,-75.332222,2000,243
CO_05_05679,5.8747222,-75.566111,1800,185
CO_05_05686,6.6472222,-75.460556,2550,812
CO_05_05690,6.4708333,-75.165833,1975,271
CO_05_05697,6.1375,-75.263889,2150,75
CO_05_05736,7.0780556,-74.701667,650,1231
CO_05_05756,5.7094444,-75.310556,2475,1323
CO_05_05761,6.5016667,-75.743333,2303,223
CO_05_05789,5.6647222,-75.714444,1638,264
CO_05_05790,7.5838889,-75.400278,125,1569
CO_05_05792,5.865,-75.8225,1235,119
CO_05_05809,6.0625,-75.793611,1550,142
CO_05_05819,7.0102778,-75.701667,1850,139
CO_05_05837,8.0930556,-76.728333,2,3055
CO_05_05842,6.8986111,-76.173611,895,236
CO_05_05847,6.3155556,-76.134167,1830,2556
CO_05_05854,7.1636111,-75.439167,1100,
CO_05_05856,5.6144444,-75.625556,1375,130
CO_05_05858,6.7730556,-74.799444,980,512
CO_05_05861,5.9608333,-75.733611,1126,141
CO_05_05873,6.5894444,-76.899722,0,1780
CO_05_05885,6.6766667,-74.841111,1250,477
CO_05_05887,6.9633333,-75.417222,2265,724
CO_05_05890,6.5977778,-75.012222,1450,941
CO_05_05893,7.0061111,-73.908889,34,1881
CO_05_05895,7.4897222,-74.8675,64,1064
CO_08,10.983333,-74.783333,123,3388
CO_08_08001,10.963889,-74.796389,18,154
CO_08_08078,10.795556,-74.919444,118,127
CO_08_08137,10.377778,-74.881389,13,105
CO_08_08141,10.459167,-74.880556,12,143
CO_08_08296,10.900278,-74.885278,79,98
CO_08_08372,10.828611,-75.035,51,176
CO_08_08421,10.608333,-75.141667,38,246
CO_08_08433,10.860278,-74.778889,5,108
CO_08_08436,10.448056,-74.959167,13,206
CO_08_08520,10.738889,-74.754722,7,94
CO_08_08549,10.750278,-75.1075,378,258
CO_08_08558,10.777222,-74.852778,83,73
CO_08_08560,10.641944,-74.753056,15,204
CO_08_08573,10.992222,-74.952778,10,73
CO_08_08606,10.494444,-75.124167,19,363
CO_08_08634,10.790278,-74.755556,2,43
CO_08_08638,10.63,-74.923611,87,399
CO_08_08675,10.324722,-74.958889,8,50
CO_08_08685,10.7575,-74.755833,2,67
CO_08_08758,10.909722,-74.785833,5,67
CO_08_08770,10.3325,-74.879722,5,42
CO_08_08832,10.874167,-74.978611,193,176
CO_08_08849,10.742778,-74.975833,95,103
CO_11,4.6126389,-74.0705,2640,1578
CO_11_11001,4.6126389,-74.0705,2640,1578
CO_13,10.4,-75.5,16,25978
CO_13_13001,10.423611,-75.525278,2,572
CO_13_13006,8.5691667,-74.556111,20,1471
CO_13_13030,8.7913889,-74.163611,21,249
CO_13_13042,8.4588889,-73.941389,65,534
CO_13_13052,10.255,-75.344722,63,566
CO_13_13062,10.249444,-75.019444,53,162
CO_13_13074,8.9455556,-74.105833,20,
CO_13_13140,10.25,-74.915833,10,
CO_13_13160,7.3761111,-73.915278,24,
CO_13_13188,9.2783333,-74.644722,19,
CO_13_13212,9.5,-74.91667,56,
CO_13_13222,10.5675,-75.325833,68,
CO_13_13244,9.7166667,-75.116667,197,954
CO_13_13248,4.0263889,-74.960556,193,
CO_13_13268,8.9883333,-73.949444,21,
CO_13_13300,8.9555556,-74.076944,18,
CO_13_13430,9.2466667,-74.759444,49,1568
CO_13_13433,10.232222,-75.191111,12,
CO_13_13440,9.1530556,-74.288056,25,295
CO_13_13442,9.9811111,-75.298611,30,547
CO_13_13458,8.2958333,-74.472778,78,2089
CO_13_13468,9.2394444,-74.425,10,645
CO_13_13473,8.2769444,-73.866667,19,1765
CO_13_13490,8.5261111,-74.037778,100,407
CO_13_13549,8.915,-74.461944,19,
CO_13_13580,8.6663889,-73.822222,19,396
CO_13_13600,8.5886111,-73.84,19,1414
CO_13_13620,10.3925,-75.063056,19,
CO_13_13647,10.397778,-75.151389,13,208
CO_13_13650,9.2119444,-74.323056,18,288
CO_13_13654,9.8311111,-75.121944,227,434
CO_13_13655,8.2497222,-74.72,25,549
CO_13_13657,9.9522222,-75.081111,142,637
CO_13_13667,8.9388889,-74.039167,19,742
CO_13_13670,7.4763889,-73.923056,22,1977
CO_13_13673,10.603889,-75.287778,42,223
CO_13_13683,10.445556,-75.368611,43,151
CO_13_13688,7.9633333,-74.053333,610,2360
CO_13_13744,7.9563889,-73.946111,33,1345
CO_13_13760,10.390833,-75.136667,11,131
CO_13_13780,9.3027778,-74.567778,6,261
CO_13_13810,8.5577778,-74.263889,47,758
CO_13_13836,10.331944,-75.414167,128,185
CO_13_13838,10.272778,-75.443889,109,148
CO_13_13873,10.444167,-75.274722,140,135
CO_13_13894,9.7447222,-74.817222,5,287
CO_15,5.5333333,-73.366667,2427,23189
CO_15_15001,5.5402778,-73.361389,2782,118
CO_15_15022,4.9705556,-73.378611,2048,
CO_15_15047,5.5194444,-72.883611,3030,943
CO_15_15051,5.7544444,-73.4375,2739,155
CO_15_15087,5.9894444,-72.912222,2650,
CO_15_15090,5.2266667,-73.126667,1260,62
CO_15_15092,5.9111111,-72.808333,2575,123
CO_15_15097,6.3308333,-72.584167,2114,159
CO_15_15104,5.4541667,-73.361944,2420,48
CO_15_15106,5.6913889,-73.922222,1340,64
CO_15_15109,5.5113889,-73.941944,903,
CO_15_15114,5.8302778,-72.884167,2472,22
CO_15_15131,5.5541667,-73.865556,2735,
CO_15_15135,5.0311111,-73.103333,898,302
CO_15_15162,5.9563889,-72.946944,2819,62
CO_15_15172,5.1669444,-73.368889,1763,148
CO_15_15176,5.6175,-73.816389,2556,133
CO_15_15180,6.5530556,-72.499444,2470,659
CO_15_15183,6.1877778,-72.4725,3105,748
CO_15_15185,6.0283333,-73.446944,1575,158
CO_15_15187,5.5586111,-73.282222,2903,56
CO_15_15189,5.4088889,-73.296111,2460,73
CO_15_15204,5.6338889,-73.323056,2814,149
CO_15_15212,5.4738889,-74.0475,967,
CO_15_15215,5.8286111,-72.845,2365,
CO_15_15218,6.5002778,-72.738889,1886,103
CO_15_15223,7.0008333,-72.108056,286,1650
CO_15_15224,5.5438889,-73.454167,2650,44
CO_15_15226,5.58,-72.965833,2895,43
CO_15_15232,5.61,-73.488889,2900,120
CO_15_15236,4.8877778,-73.368333,1803,108
CO_15_15238,5.8219444,-73.029722,2530,267
CO_15_15244,6.4094444,-72.444444,2784,253
CO_15_15248,6.4825,-72.496667,3105,70
CO_15_15272,5.6694444,-72.992778,2442,110
CO_15_15276,5.8594444,-72.918611,2465,85
CO_15_15293,5.7508333,-73.549444,2119,66
CO_15_15296,5.8027778,-72.805,2800,88
CO_15_15299,5.0822222,-73.363889,1685,192
CO_15_15317,6.4594444,-72.500556,3393,60
CO_15_15322,5.0058333,-73.473056,1815,36
CO_15_15325,4.9661111,-73.489167,1640,112
CO_15_15332,6.4625,-72.411944,2908,934
CO_15_15362,5.6125,-72.978611,2560,34
CO_15_15367,5.385,-73.363611,2119,59
CO_15_15368,6.1458333,-72.570833,3209,
CO_15_15377,5.5633333,-72.5775,1210,
CO_15_15380,5.0955556,-73.443611,2733,57
CO_15_15401,5.5227806,-74.2328,1380,
CO_15_15403,6.3161111,-72.56,2466,
CO_15_15407,5.6330556,-73.525556,2000,128
CO_15_15425,4.9719444,-73.319444,1467,200
CO_15_15442,5.5488889,-74.006667,587,
CO_15_15455,5.1963889,-73.144444,1432,
CO_15_15464,5.7533333,-72.798611,2975,366
CO_15_15466,5.7225,-72.849167,3536,
CO_15_15469,5.8744444,-73.571667,1669,220
CO_15_15476,5.5772222,-73.367222,2690,62
CO_15_15480,5.5297222,-74.104444,740,147
CO_15_15491,5.7697222,-72.94,2510,55
CO_15_15494,5.3541667,-73.456389,2457,0
CO_15_15500,5.5944444,-73.308056,2815,59
CO_15_15507,5.6577778,-74.180556,1050,
CO_15_15511,5.1405556,-73.397778,1985,68
CO_15_15514,5.0988889,-73.051667,1270,
CO_15_15516,5.78,-73.1175,2525,306
CO_15_15518,5.2930556,-72.703056,793,322
CO_15_15522,6.4427778,-72.459167,2258,42
CO_15_15531,5.6561111,-73.978889,1215,
CO_15_15533,5.6252778,-72.423889,971,436
CO_15_15537,5.9855556,-72.749444,2200,116
CO_15_15542,5.5588889,-73.050278,2858,282
CO_15_15550,5.7225,-72.485278,1552,469
CO_15_15572,5.9761111,-74.5875,145,1472
CO_15_15580,5.5194444,-74.179167,1231,
CO_15_15599,5.4008333,-73.335556,2308,146
CO_15_15600,5.5388889,-73.63,2150,233
CO_15_15621,5.3566667,-73.208611,2075,258
CO_15_15632,5.6969444,-73.763056,2575,247
CO_15_15638,5.5833333,-73.542222,2036,62
CO_15_15646,5.4919444,-73.486667,2735,160
CO_15_15660,5.2225,-73.076944,1705,106
CO_15_15664,6.0191667,-73.546667,1518,74
CO_15_15667,4.820164,-73.168417,464,458
CO_15_15673,6.4025,-72.555,2496,131
CO_15_15676,5.5177778,-73.722778,2615,90
CO_15_15681,5.6513889,-74.069444,704,194
CO_15_15686,6.0572222,-73.481111,1593,67
CO_15_15690,4.86,-73.262778,855,326
CO_15_15693,5.8747222,-72.981667,2753,107
CO_15_15696,5.7136111,-73.603056,2227,98
CO_15_15720,6.1313889,-72.7075,2600,184
CO_15_15723,6.0933333,-72.711667,2600,81
CO_15_15740,5.5130556,-73.244167,3044,125
CO_15_15753,6.3327778,-72.683889,1950,136
CO_15_15755,6.0408333,-72.636389,2413,600
CO_15_15757,5.9977778,-72.692222,2669,151
CO_15_15759,5.7158333,-72.933333,2569,209
CO_15_15761,4.9861111,-73.432222,1670,59
CO_15_15762,5.57402,-73.49701,2587,42
CO_15_15763,5.765,-73.248056,2860,289
CO_15_15764,5.5005556,-73.333333,2942,57
CO_15_15774,6.2294444,-72.691111,2485,191
CO_15_15776,5.6205556,-73.621389,1800,102
CO_15_15778,5.0211111,-73.451944,1856,41
CO_15_15790,5.9091667,-72.781389,2530,167
CO_15_15798,5.0769444,-73.421111,1600,51
CO_15_15804,5.3172222,-73.396944,2115,12176
CO_15_15806,5.7480556,-72.998889,2538,94
CO_15_15808,5.5808333,-73.646111,2106,79
CO_15_15810,6.4202778,-72.691667,1914,72
CO_15_15814,5.5647222,-73.184444,2761,165
CO_15_15816,5.9375,-73.513333,3098,118
CO_15_15820,5.7677778,-72.831667,2900,37
CO_15_15822,5.5602778,-72.986111,2870,314
CO_15_15832,5.7302778,-73.932222,1246,77
CO_15_15835,5.3236111,-73.489722,2389,106
CO_15_15837,5.6897222,-73.2275,2431,165
CO_15_15839,6.0316667,-72.856111,2700,135
CO_15_15842,5.2205556,-73.457222,2480,148
CO_15_15861,5.3663889,-73.521944,2729,159
CO_15_15879,5.4363889,-73.296111,2520,68
CO_15_15897,5.2838889,-73.170278,1665,262
CO_17,5.1,-75.55,3190,7888
CO_17_17001,5.0661111,-75.484722,2200,572
CO_17_17013,5.6091667,-75.456389,2214,
CO_17_17042,5.2333333,-75.783333,1790,
CO_17_17050,5.2713889,-75.490833,1920,152
CO_17_17088,4.9936111,-75.811944,1632,114
CO_17_17174,4.9805556,-75.6075,1378,112
CO_17_17272,5.2961111,-75.561667,1550,193
CO_17_17380,5.4538389,-74.664675,176,574
CO_17_17388,5.3994444,-75.546944,1819,
CO_17_17433,5.2519444,-75.156944,1871,
CO_17_17442,5.4752778,-75.599167,1189,
CO_17_17444,5.2969444,-75.053056,1600,90
CO_17_17446,5.2841667,-75.260278,2858,
CO_17_17486,5.1663889,-75.518889,1969,
CO_17_17495,5.5741667,-74.888889,700,211
CO_17_17513,5.5258333,-75.458889,1819,234
CO_17_17524,5.0194444,-75.623333,1465,
CO_17_17541,5.384,-75.161167,2050,530
CO_17_17614,5.4208333,-75.702778,1844,429
CO_17_17616,5.1638889,-75.767222,1743,172
CO_17_17653,5.4080556,-75.487778,1822,422
CO_17_17662,5.4130556,-74.992778,1460,761
CO_17_17665,5.09,-75.79,1710,67
CO_17_17777,5.4505556,-75.651389,1183,125
CO_17_17867,5.3163889,-74.9125,603,507
CO_17_17873,5.0455556,-75.515278,1920,480
CO_17_17877,5.0605556,-75.873333,998,172
CO_18,1.6166667,-75.6,182,88965
CO_18_18001,1.6141667,-75.611667,242,2292
CO_18_18029,1.3288889,-75.878333,538,
CO_18_18094,1.4163611,-75.872722,320,
CO_18_18150,1.3361111,-74.846667,229,
CO_18_18205,1.0330556,-75.919444,372,
CO_18_18247,1.68,-75.285,509,
CO_18_18256,1.5694444,-75.326389,486,
CO_18_18410,1.4791667,-75.436111,491,
CO_18_18460,1.2891667,-75.506389,460,
CO_18_18479,1.4858333,-75.724444,544,
CO_18_18592,1.9075,-75.158333,523,
CO_18_18610,1.3286111,-75.972778,613,
CO_18_18753,2.1152778,-74.77,280,17875
CO_18_18756,0.69833333,-75.253889,203,42178
CO_18_18785,0.87583333,-75.619722,250,1827
CO_18_18860,1.1933333,-75.706389,485,1218
CO_19,2.45,-76.616667,1693,29308
CO_19_19001,2.4591667,-76.600278,1760,512
CO_19_19022,1.9130556,-76.856111,2075,
CO_19_19050,2.2558333,-77.249167,1250,713
CO_19_19075,2.0405556,-77.216389,1200,360
CO_19_19100,1.8358333,-76.966389,1777,746
CO_19_19110,3.0163889,-76.641111,2313,410
CO_19_19130,2.6233333,-76.573056,1765,
CO_19_19137,2.7969444,-76.482778,1526,
CO_19_19142,3.0355556,-76.407778,1095,
CO_19_19212,3.1738889,-76.259444,920,
CO_19_19256,2.4513889,-76.810833,1840,
CO_19_19290,1.6822222,-77.072222,1500,56
CO_19_19300,3.1336111,-76.3925,852,
CO_19_19318,2.5697222,-77.886111,6,
CO_19_19355,2.5502778,-76.063611,1591,
CO_19_19364,2.7763889,-76.323889,2507,254
CO_19_19392,2.1775,-76.764167,1633,
CO_19_19397,2.0008333,-76.777778,1443,
CO_19_19418,2.8463889,-77.247222,455,
CO_19_19450,1.7952778,-77.165278,923,
CO_19_19455,3.2502778,-76.228611,1041,
CO_19_19473,2.7602806,-76.6339,1813,
CO_19_19513,3.2219444,-76.313056,849,100
CO_19_19517,2.6469444,-75.971667,1591,
CO_19_19532,2.1141667,-76.983056,626,
CO_19_19533,1.1158333,-76.326111,1500,
CO_19_19548,2.70214,-76.59736,1771,197
CO_19_19573,3.23,-76.4175,849,
CO_19_19585,2.3413889,-76.496944,2850,
CO_19_19622,2.26,-76.74,1717,
CO_19_19693,1.8411111,-76.7717,2700,436
CO_19_19698,3.0083333,-76.483889,1071,521
CO_19_19701,1.7005556,-76.572778,1700,3198
CO_19_19743,2.6108333,-76.378889,2800,813
CO_19_19760,2.2530556,-76.614444,2726,574
CO_19_19780,2.9541667,-76.693611,1050,391
CO_19_19785,2.0375,-76.925,1616,
CO_19_19807,2.3527778,-76.681944,1850,180
CO_19_19809,2.7719444,-77.665,85,1813
CO_19_19821,2.9580556,-76.271389,1701,399
CO_19_19824,2.5102778,-76.401944,2750,
CO_19_19845,3.1736111,-76.463056,1000,78
