key,life_expectancy,smoking_prevalence,diabetes_prevalence,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians
HT,63.66,12.7,6.7,184.3,26.5,,0.6798,0.2343
HU,75.817073,30.6,6.9,38.8,23,,6.9157,3.4075
ID,71.509,39.4,6.3,112.4,26.4,1.2,2.4149,0.4269
IE,82.607317,24.3,3.2,11.9,10.3,,16.0996,3.3125
IL,82.802439,25.2,9.7,15.4,9.6,,5.7002,4.6249
IM,77.96585,,,,,,,
IN,69.416,11.5,10.4,184.3,23.3,,1.7271,0.8571
IQ,70.454,,8.8,75.1,21.3,,2.0448,0.7079
IR,76.479,11,9.6,50.9,14.8,,2.6286,1.5844
IS,82.660976,14.7,5.8,8.7,9.1,,16.2132,4.0778
IT,82.946341,23.7,5,15,9.5,,5.7401,3.9774
JM,74.368,16.8,11.3,25.4,14.7,,0.8068,1.3061
JO,74.405,,12.7,51.2,19.2,1.4,2.8212,2.3237
JP,84.210976,22.1,5.6,11.9,8.4,,12.1531,2.4115
KE,66.342,10.7,3.1,78.1,13.4,,1.1656,0.1565
KG,71.4,26.5,6.1,110.7,24.9,,,
KH,69.57,17.2,6.4,149.8,21.1,0.8,0.6855,
KI,68.116,47,22.5,140.2,28.4,1.9,3.8342,
KM,64.118,14,12.3,172.4,22.9,,0.6285,0.2715
KN,71.33659,,13.3,,,,4.2188,2.6758
KP,72.095,,6.4,207.2,25.6,,4.4489,3.6834
KR,82.626829,23.3,6.9,20.5,7.8,11.5,7.3009,2.3608
KW,75.398,22.5,12.2,103.8,17.4,,7.4145,2.6463
KY,82.19024,,6.8,,,,,
KZ,73.15,24,6.1,62.7,26.8,,7.2936,
LA,67.61,28.9,6.4,188.5,27,,0.9522,0.3726
LB,78.875,33.8,11.2,51.4,17.9,,1.6735,2.1038
LC,76.057,,11.6,30,18.8,,3.1547,0.6409
LI,83.746341,,9.4,,,,,
LK,76.812,13,10.7,79.8,17.4,,2.1803,1.0041
LR,63.73,9.8,2.4,170.2,17.6,,0.5321,0.0376
LS,53.705,26.7,4.5,177.6,26.6,,3.2567,
LT,76.290244,28.8,3.8,34,20.7,,9.8472,6.3528
LU,82.095122,23.5,5,11.6,10,4.8,12.1744,3.009
LV,74.678049,37,5,41.3,21.9,,4.7517,3.1905
LY,72.724,,10.2,71.9,20.1,,6.5305,2.0905
MA,76.453,23.4,7,49.1,12.4,,1.3887,0.7308
MC,,,2.9,,,,,
MD,71.808,24.2,5.7,78.3,24.9,,4.9235,3.2066
ME,76.77,45.9,9,78.6,20.6,,5.2294,2.7557
MG,66.681,,4.5,159.6,22.9,,0.146,
MH,65.23902,,30.5,,,,3.339,
MK,75.688,,9.3,82.2,20.3,,3.7917,2.8736
ML,58.893,12.3,2.4,209.1,24.6,,0.3585,0.1286
MM,66.867,20.3,3.9,156.4,24.2,,0.9993,0.677
MN,69.689,25.6,4.7,155.9,30.2,,3.8938,2.8592
MO,84.118,,4.3,,,,,
MR,64.704,,7.1,169.5,18.1,,0.9252,0.1865
MT,82.346341,25.5,8.3,20.2,10.8,,9.4833,2.8598
MU,74.416341,21.6,22,38.3,22.6,,3.5152,2.5331
MV,78.627,28.3,9.2,25.6,13.4,,6.4282,4.5627
MW,63.798,14.5,4.5,115,16.4,,0.4386,0.0358
MX,74.992,14,13.5,36.7,15.7,1.5,2.3961,2.3827
MY,75.997,21.5,16.7,47.4,17.2,1.9,3.4676,1.5358
MZ,60.163,16.6,3.3,110,18.4,,0.6847,0.0838
"NA",63.373,21.4,4.5,145,21.3,,1.954,0.4182
NC,77.14878,,21.8,,,,,
NE,62.024,7.7,2.4,251.8,20,0.3,0.2695,0.0433
NG,54.332,5.8,3.1,307.4,22.5,,1.1792,0.3806
NI,74.275,,11.4,55.7,14.2,,1.5334,0.9775
NL,81.760976,25.8,5.4,13.7,11.2,,11.1839,3.6054
NO,82.812195,20.2,5.3,8.6,9.2,,18.2248,2.9164
NP,70.478,22.8,7.2,193.8,21.8,,3.1084,0.7486
NR,,40,12,,,,7.6636,1.3462
NZ,81.858537,16,6.2,7.2,10.1,,12.4482,3.5898
OM,77.633,11.1,10.1,53.9,17.8,,4.1965,2.0031
PA,78.329,6.1,7.7,25.8,13,,3.0741,1.5687
PE,76.516,4.8,6.6,63.9,12.6,,2.4398,1.3048
PF,77.462,,19.5,,,,,
PG,64.263,36.3,17.9,152,30,,0.4548,0.0699
PH,71.095,24.3,7.1,185.2,26.8,,4.9351,0.6004
PK,67.114,20.1,19.9,173.6,24.7,,0.6683,0.9801
PL,77.753659,28,6.1,37.9,18.7,,6.8926,2.3788
PR,79.778195,,13.7,,,,,
PS,73.895,,9.5,,,,,
PT,81.72439,22.7,9.8,9.8,11.1,,6.9746,5.124
PW,69.12927,15.6,17.9,,,,7.2626,
PY,74.131,13.4,9.6,57.5,17.5,,1.6604,1.3544
QA,80.1,20.6,15.6,47.4,15.3,,7.2628,2.4852
RO,75.409756,29.7,6.9,59.3,21.4,,7.3891,2.9807
RS,75.539024,38.9,9,62.5,19.1,,6.0855,3.1131
RU,72.657317,39.3,6.1,49.4,25.4,,8.5429,4.0139
RW,68.7,12.3,5.1,121.4,18.2,,1.2044,0.134
SA,74.998,15.6,15.8,83.7,16.4,,5.4763,2.6117
SB,72.835,,19,137,23.8,,2.1642,0.1937
SC,72.841463,21.5,12.3,49.3,21.2,,8.0773,2.1212
SD,65.095,,22.1,184.9,26,,0.6952,0.2618
SE,82.512195,18.8,4.8,7.2,9.1,,11.8164,3.984
SG,83.146341,16.5,5.5,25.9,9.3,2.4,6.2432,2.2936
SI,81.029268,22.5,5.9,22.6,12.7,,9.9745,3.0861
SK,77.165854,30.1,6.5,33.5,17.2,5.8,6.0671,3.4156
SL,54.309,24.8,2.4,324.1,30.5,,0.2239,
SM,85.41707,,5.9,,,,,
SN,67.665,8.2,2.4,160.7,18.1,,0.3127,0.0691
SO,57.068,,5.1,212.8,21.8,,,
SR,71.57,25,12.5,56.7,21.7,,2.7569,1.2101
SS,57.604,,10.2,165.1,19.8,,,
ST,70.17,,2.4,162.4,18.5,,1.9242,0.0531
SV,73.096,9.9,8.8,41.9,14,,1.8344,1.5662
SX,78.292683,,6.8,,,,,
SY,71.779,,13.5,75.2,21.8,,1.5406,1.2874
SZ,59.401,9,4.5,137,26.7,,4.1415,0.3285
TD,53.977,,6,280.1,23.9,,0.2322,0.0434
TG,60.76,7.4,2.4,249.6,23.6,,0.4102,0.0774
TH,76.931,19.9,7,61.5,14.5,,2.7593,0.805
TJ,70.879,,6.1,129.3,25.3,,,
TL,69.26,42.6,6.7,139.8,19.9,,1.668,0.7224
TM,68.073,,6.1,79.3,29.5,,,
TN,76.505,32.7,8.5,56.1,16.1,2.3,2.5136,1.3025
TO,70.801,27.9,15.7,73.3,23.3,,4.157,
TR,77.437,27.2,11.1,46.6,16.1,,2.7107,1.8492
TT,73.38,,11,38.6,21.3,,4.0934,4.1675
TV,,,22.1,,,,4.2609,
TZ,65.015,14.8,5.7,139,17.9,,0.5843,0.014
UA,71.582683,28.9,6.1,70.7,24.7,,,
UG,62.973,10,2.5,155.7,21.9,,1.2382,0.168
US,78.539024,21.8,10.8,13.3,14.6,,14.548,2.612
US_GU,79.575,,,,,,,
US_PR,79.78832,,,,,,,
US_VI,79.26829,,,,,,,
UY,77.77,16.8,7.3,17.5,16.7,,1.9412,5.0794
UZ,71.573,12.6,6.5,81.1,24.5,,,
VC,72.415,,11.6,47.6,23.2,,7.0145,
VE,72.128,,7,34.6,18.1,,0.9416,
VG,,,14.2,,,,,
VI,79.568293,,12.3,,,,,
VN,75.317,22.8,6,64.5,17.1,,1.4463,0.8281
VU,70.323,18.6,11.9,135.6,23.3,,1.4247,0.1653
WS,73.187,27.7,9.2,85,20.6,,2.4885,0.3445
YE,66.096,18.4,5.4,194.2,30.6,,0.7852,
ZA,63.857,20.3,12.7,86.7,26.2,,1.3078,0.9054
ZM,63.51,13.8,4.5,127.2,17.9,,1.3376,1.1867
ZW,61.195,15.8,1.8,133,19.3,,1.9346,0.2096
