date,match_string,total_confirmed,country_code,key,new_confirmed
2020-06-04,West Kordofan,12,SD,SD_GK,1
2020-05-31,West Kordofan,11,SD,SD_GK,5
2020-05-21,West Kordofan,6,SD,SD_GK,1
2020-05-14,West Kordofan,5,SD,SD_GK,0
2020-05-11,West Kordofan,5,SD,SD_GK,4
2020-04-30,West Kordofan,1,SD,SD_GK,
2020-06-18,White Nile,110,SD,SD_NW,9
2020-06-16,White Nile,101,SD,SD_NW,44
2020-06-04,White Nile,57,SD,SD_NW,14
2020-05-31,White Nile,43,SD,SD_NW,33
2020-05-21,White Nile,10,SD,SD_NW,6
2020-05-14,White Nile,4,SD,SD_NW,2
2020-05-11,White Nile,2,SD,SD_NW,1
2020-04-30,White Nile,1,SD,SD_NW,
