date,subregion1_code,total_confirmed,total_deceased,total_hospitalized,total_intensive_care,new_confirmed,new_deceased,new_hospitalized,new_intensive_care,country_code,key
2020-02-28,AR,0,,,,0,,,,ES,ES_AR
2020-02-29,AR,0,,,,0,,,,ES,ES_AR
2020-03-01,AR,0,,,,0,,,,ES,ES_AR
2020-03-02,AR,0,,,,0,,,,ES,ES_AR
2020-03-03,AR,0,,,,0,,,,ES,ES_AR
2020-03-04,AR,1,,,,1,,,,ES,ES_AR
2020-03-05,AR,1,,,,0,,,,ES,ES_AR
2020-03-06,AR,5,,,,4,,,,ES,ES_AR
2020-03-07,AR,5,,,,0,,,,ES,ES_AR
2020-03-08,AR,7,3,,3,2,,,,ES,ES_AR
2020-03-09,AR,30,4,,3,23,1,,0,ES,ES_AR
2020-03-10,AR,38,4,22,3,8,0,,0,ES,ES_AR
2020-03-11,AR,45,6,28,3,7,2,6,0,ES,ES_AR
2020-03-12,AR,64,7,30,3,19,1,2,0,ES,ES_AR
2020-03-13,AR,80,7,42,5,16,0,12,2,ES,ES_AR
2020-03-14,AR,121,7,59,5,41,0,17,0,ES,ES_AR
2020-03-15,AR,147,11,64,7,26,4,5,2,ES,ES_AR
2020-03-16,AR,207,12,74,9,60,1,10,2,ES,ES_AR
2020-03-17,AR,226,13,81,9,19,1,7,0,ES,ES_AR
2020-03-18,AR,281,15,101,14,55,2,20,5,ES,ES_AR
2020-03-19,AR,360,17,127,28,79,2,26,14,ES,ES_AR
2020-03-20,AR,424,22,192,33,64,5,65,5,ES,ES_AR
2020-03-21,AR,532,24,241,45,108,2,49,12,ES,ES_AR
2020-03-22,AR,638,32,298,52,106,8,57,7,ES,ES_AR
2020-03-23,AR,758,37,384,66,120,5,86,14,ES,ES_AR
2020-03-24,AR,907,40,459,75,149,3,75,9,ES,ES_AR
2020-03-25,AR,1116,48,562,93,209,8,103,18,ES,ES_AR
2020-03-26,AR,1338,58,693,114,222,10,131,21,ES,ES_AR
2020-03-27,AR,1592,93,835,124,254,35,142,10,ES,ES_AR
2020-03-28,AR,1858,104,835,145,266,11,0,21,ES,ES_AR
2020-03-29,AR,2078,106,1094,148,220,2,259,3,ES,ES_AR
2020-03-30,AR,2272,138,1176,157,194,32,82,9,ES,ES_AR
2020-03-31,AR,2491,169,1234,160,219,31,58,3,ES,ES_AR
2020-04-01,AR,2700,200,1320,170,209,31,86,10,ES,ES_AR
2020-04-02,AR,2889,224,1431,172,189,24,111,2,ES,ES_AR
2020-04-03,AR,3078,251,1505,182,189,27,74,10,ES,ES_AR
2020-04-04,AR,3232,270,1588,182,154,19,83,0,ES,ES_AR
2020-04-05,AR,3347,284,1637,186,115,14,49,4,ES,ES_AR
2020-04-06,AR,3449,312,1663,196,102,28,26,10,ES,ES_AR
2020-04-07,AR,3549,349,1716,204,100,37,53,8,ES,ES_AR
2020-04-08,AR,3685,385,1765,210,136,36,49,6,ES,ES_AR
2020-04-09,AR,3831,409,1822,212,146,24,57,2,ES,ES_AR
2020-04-10,AR,3969,425,1860,215,138,16,38,3,ES,ES_AR
2020-04-11,AR,4070,450,1901,221,101,25,41,6,ES,ES_AR
2020-04-12,AR,4187,464,1938,223,117,14,37,2,ES,ES_AR
2020-04-13,AR,4245,492,1966,229,58,28,28,6,ES,ES_AR
2020-04-14,AR,4338,514,2006,231,93,22,40,2,ES,ES_AR
2020-04-15,AR,4411,543,2108,235,73,29,102,4,ES,ES_AR
2020-04-16,AR,4489,562,2151,235,78,19,43,0,ES,ES_AR
2020-04-17,AR,4551,601,2180,237,62,39,29,2,ES,ES_AR
2020-04-18,AR,4608,619,2216,240,57,18,36,3,ES,ES_AR
2020-04-19,AR,4654,637,2244,242,46,18,28,2,ES,ES_AR
2020-04-20,AR,4684,643,2271,244,30,6,27,2,ES,ES_AR
2020-04-21,AR,4761,656,2304,246,77,13,33,2,ES,ES_AR
2020-04-22,AR,4833,681,2340,247,72,25,36,1,ES,ES_AR
2020-04-23,AR,4867,695,2359,248,34,14,19,1,ES,ES_AR
2020-04-24,AR,4922,709,2372,249,55,14,13,1,ES,ES_AR
2020-04-25,AR,4955,712,2395,251,33,3,23,2,ES,ES_AR
2020-04-26,AR,4985,726,2403,251,30,14,8,0,ES,ES_AR
2020-04-27,AR,5004,735,2425,252,19,9,22,1,ES,ES_AR
2020-04-28,AR,5042,736,2454,252,38,1,29,0,ES,ES_AR
2020-04-29,AR,5091,739,2477,252,49,3,23,0,ES,ES_AR
2020-04-30,AR,5116,749,2494,253,25,10,17,1,ES,ES_AR
2020-05-01,AR,5136,761,2503,253,20,12,9,0,ES,ES_AR
2020-05-02,AR,5164,761,2519,253,28,0,16,0,ES,ES_AR
2020-05-03,AR,5188,762,2526,253,24,1,7,0,ES,ES_AR
2020-05-04,AR,5207,770,2539,253,19,8,13,0,ES,ES_AR
2020-05-05,AR,5231,788,2552,253,24,18,13,0,ES,ES_AR
2020-05-06,AR,5258,800,2564,255,27,12,12,2,ES,ES_AR
2020-05-07,AR,5274,815,2578,255,16,15,14,0,ES,ES_AR
2020-05-08,AR,5291,823,2583,255,17,8,5,0,ES,ES_AR
2020-05-09,AR,5316,824,2588,255,25,1,5,0,ES,ES_AR
2020-05-10,AR,5336,825,2595,255,20,1,7,0,ES,ES_AR
2020-05-11,AR,5359,828,2606,255,23,3,11,0,ES,ES_AR
2020-05-12,AR,5372,829,2614,255,13,1,8,0,ES,ES_AR
2020-05-13,AR,5389,836,2625,255,17,7,11,0,ES,ES_AR
2020-05-14,AR,5432,837,2637,255,43,1,12,0,ES,ES_AR
2020-05-15,AR,5456,838,2648,255,24,1,11,0,ES,ES_AR
2020-05-16,AR,5478,838,2655,255,22,0,7,0,ES,ES_AR
2020-05-17,AR,5503,838,2659,255,25,0,4,0,ES,ES_AR
2020-05-18,AR,5520,843,2667,255,17,5,8,0,ES,ES_AR
2020-05-19,AR,5551,847,2434,255,31,4,-233,0,ES,ES_AR
2020-05-20,AR,5588,848,2442,256,37,1,8,1,ES,ES_AR
2020-02-20,AS,0,,,,,,,,ES,ES_AS
2020-02-21,AS,0,,,,0,,,,ES,ES_AS
2020-02-22,AS,0,,,,0,,,,ES,ES_AS
2020-02-23,AS,0,,,,0,,,,ES,ES_AS
2020-02-24,AS,0,,,,0,,,,ES,ES_AS
2020-02-25,AS,0,,,,0,,,,ES,ES_AS
2020-02-26,AS,0,,,,0,,,,ES,ES_AS
2020-02-27,AS,0,,,,0,,,,ES,ES_AS
2020-02-28,AS,0,,,,0,,,,ES,ES_AS
2020-02-29,AS,1,0,0,1,1,,,,ES,ES_AS
2020-03-01,AS,1,0,0,1,0,0,0,0,ES,ES_AS
2020-03-02,AS,1,0,1,1,0,0,1,0,ES,ES_AS
2020-03-03,AS,2,0,1,1,1,0,0,0,ES,ES_AS
2020-03-04,AS,4,0,1,1,2,0,0,0,ES,ES_AS
2020-03-05,AS,4,0,4,1,0,0,3,0,ES,ES_AS
2020-03-06,AS,7,0,4,1,3,0,0,0,ES,ES_AS
2020-03-07,AS,8,0,4,1,1,0,0,0,ES,ES_AS
2020-03-08,AS,10,0,7,1,2,0,3,0,ES,ES_AS
2020-03-09,AS,15,0,11,1,5,0,4,0,ES,ES_AS
2020-03-10,AS,32,0,13,2,17,0,2,1,ES,ES_AS
2020-03-11,AS,37,0,15,2,5,0,2,0,ES,ES_AS
2020-03-12,AS,40,1,18,2,3,1,3,0,ES,ES_AS
2020-03-13,AS,86,2,24,2,46,1,6,0,ES,ES_AS
2020-03-14,AS,123,2,28,3,37,0,4,1,ES,ES_AS
2020-03-15,AS,160,2,39,3,37,0,11,0,ES,ES_AS
2020-03-16,AS,224,2,57,6,64,0,18,3,ES,ES_AS
2020-03-17,AS,269,2,78,9,45,0,21,3,ES,ES_AS
2020-03-18,AS,310,2,105,11,41,0,27,2,ES,ES_AS
2020-03-19,AS,429,4,129,13,119,2,24,2,ES,ES_AS
2020-03-20,AS,524,7,155,18,95,3,26,5,ES,ES_AS
2020-03-21,AS,569,12,180,22,45,5,25,4,ES,ES_AS
2020-03-22,AS,621,22,210,25,52,10,30,3,ES,ES_AS
2020-03-23,AS,754,26,251,29,133,4,41,4,ES,ES_AS
2020-03-24,AS,812,29,281,39,58,3,30,10,ES,ES_AS
2020-03-25,AS,891,29,322,48,79,0,41,9,ES,ES_AS
2020-03-26,AS,960,39,370,56,69,10,48,8,ES,ES_AS
2020-03-27,AS,1037,44,427,59,77,5,57,3,ES,ES_AS
2020-03-28,AS,1143,47,452,63,106,3,25,4,ES,ES_AS
2020-03-29,AS,1206,59,491,67,63,12,39,4,ES,ES_AS
2020-03-30,AS,1295,66,529,71,89,7,38,4,ES,ES_AS
2020-03-31,AS,1367,75,554,79,72,9,25,8,ES,ES_AS
2020-04-01,AS,1435,76,602,84,68,1,48,5,ES,ES_AS
2020-04-02,AS,1504,80,634,88,69,4,32,4,ES,ES_AS
2020-04-03,AS,1573,83,657,91,69,3,23,3,ES,ES_AS
2020-04-04,AS,1627,87,674,93,54,4,17,2,ES,ES_AS
2020-04-05,AS,1681,93,695,94,54,6,21,1,ES,ES_AS
2020-04-06,AS,1702,101,727,96,21,8,32,2,ES,ES_AS
2020-04-07,AS,1729,107,747,97,27,6,20,1,ES,ES_AS
2020-04-08,AS,1774,113,775,100,45,6,28,3,ES,ES_AS
2020-04-09,AS,1822,129,797,100,48,16,22,0,ES,ES_AS
2020-04-10,AS,1865,134,831,101,43,5,34,1,ES,ES_AS
2020-04-11,AS,1949,150,863,102,84,16,32,1,ES,ES_AS
2020-04-12,AS,2001,157,884,105,52,7,21,3,ES,ES_AS
2020-04-13,AS,2030,165,902,109,29,8,18,4,ES,ES_AS
2020-04-14,AS,2089,172,914,111,59,7,12,2,ES,ES_AS
2020-04-15,AS,2110,176,927,112,21,4,13,1,ES,ES_AS
2020-04-16,AS,2163,186,966,113,53,10,39,1,ES,ES_AS
2020-04-17,AS,2186,190,980,113,23,4,14,0,ES,ES_AS
2020-04-18,AS,2203,197,988,114,17,7,8,1,ES,ES_AS
2020-04-19,AS,2213,199,993,115,10,2,5,1,ES,ES_AS
2020-04-20,AS,2220,203,999,116,7,4,6,1,ES,ES_AS
2020-04-21,AS,2230,211,1007,116,10,8,8,0,ES,ES_AS
2020-04-22,AS,2241,222,1009,116,11,11,2,0,ES,ES_AS
2020-04-23,AS,2245,228,1012,117,4,6,3,1,ES,ES_AS
2020-04-24,AS,2249,235,1020,117,4,7,8,0,ES,ES_AS
2020-04-25,AS,2261,243,1022,117,12,8,2,0,ES,ES_AS
2020-04-26,AS,2263,248,1028,117,2,5,6,0,ES,ES_AS
2020-04-27,AS,2269,252,1035,117,6,4,7,0,ES,ES_AS
2020-04-28,AS,2284,259,1041,117,15,7,6,0,ES,ES_AS
2020-04-29,AS,2295,263,1047,117,11,4,6,0,ES,ES_AS
2020-04-30,AS,2310,264,1048,118,15,1,1,1,ES,ES_AS
2020-05-01,AS,2311,270,1052,120,1,6,4,2,ES,ES_AS
2020-05-02,AS,2313,270,1055,120,2,0,3,0,ES,ES_AS
2020-05-03,AS,2315,274,1057,120,2,4,2,0,ES,ES_AS
2020-05-04,AS,2316,275,1061,120,1,1,4,0,ES,ES_AS
2020-05-05,AS,2322,278,1068,120,6,3,7,0,ES,ES_AS
2020-05-06,AS,2330,279,1072,121,8,1,4,1,ES,ES_AS
2020-05-07,AS,2338,280,1076,121,8,1,4,0,ES,ES_AS
2020-05-08,AS,2344,280,1077,121,6,0,1,0,ES,ES_AS
2020-05-09,AS,2346,283,1080,121,2,3,3,0,ES,ES_AS
2020-05-10,AS,2350,288,1080,121,4,5,0,0,ES,ES_AS
2020-05-11,AS,2352,290,1080,121,2,2,0,0,ES,ES_AS
2020-05-12,AS,2356,292,1080,121,4,2,0,0,ES,ES_AS
2020-05-13,AS,2357,293,1084,121,1,1,4,0,ES,ES_AS
2020-05-14,AS,2364,298,1087,121,7,5,3,0,ES,ES_AS
2020-05-15,AS,2366,299,1087,121,2,1,0,0,ES,ES_AS
2020-05-16,AS,2366,299,1087,121,0,0,0,0,ES,ES_AS
2020-05-17,AS,2370,301,1088,121,4,2,1,0,ES,ES_AS
2020-05-18,AS,2373,303,1088,121,3,2,0,0,ES,ES_AS
2020-05-19,AS,2374,304,1089,121,1,1,1,0,ES,ES_AS
2020-05-20,AS,2374,307,1089,121,0,3,0,0,ES,ES_AS
2020-02-20,CB,0,,,,,,,,ES,ES_CB
2020-02-21,CB,0,,,,0,,,,ES,ES_CB
2020-02-22,CB,0,,,,0,,,,ES,ES_CB
2020-02-23,CB,0,,,,0,,,,ES,ES_CB
2020-02-24,CB,0,,,,0,,,,ES,ES_CB
2020-02-25,CB,0,,,,0,,,,ES,ES_CB
2020-02-26,CB,0,,,,0,,,,ES,ES_CB
2020-02-27,CB,0,,,,0,,,,ES,ES_CB
2020-02-28,CB,0,,,,0,,,,ES,ES_CB
2020-02-29,CB,1,,,,1,,,,ES,ES_CB
2020-03-01,CB,10,,,,9,,,,ES,ES_CB
2020-03-02,CB,10,,,,0,,,,ES,ES_CB
2020-03-03,CB,10,,,,0,,,,ES,ES_CB
2020-03-04,CB,10,,,,0,,,,ES,ES_CB
2020-03-05,CB,10,,,,0,,,,ES,ES_CB
2020-03-06,CB,10,,,,0,,,,ES,ES_CB
2020-03-07,CB,12,,,,2,,,,ES,ES_CB
2020-03-08,CB,12,0,,0,0,,,,ES,ES_CB
2020-03-09,CB,12,0,,0,0,0,,0,ES,ES_CB
2020-03-10,CB,12,0,0,0,0,0,,0,ES,ES_CB
2020-03-11,CB,16,0,3,0,4,0,3,0,ES,ES_CB
2020-03-12,CB,29,0,3,0,13,0,0,0,ES,ES_CB
2020-03-13,CB,31,0,3,0,2,0,0,0,ES,ES_CB
2020-03-14,CB,51,0,3,0,20,0,0,0,ES,ES_CB
2020-03-15,CB,58,0,18,2,7,0,15,2,ES,ES_CB
2020-03-16,CB,58,0,18,2,0,0,0,0,ES,ES_CB
2020-03-17,CB,68,1,25,3,10,1,7,1,ES,ES_CB
2020-03-18,CB,83,1,40,4,15,0,15,1,ES,ES_CB
2020-03-19,CB,144,1,61,7,61,0,21,3,ES,ES_CB
2020-03-20,CB,215,2,92,9,71,1,31,2,ES,ES_CB
2020-03-21,CB,282,5,116,9,67,3,24,0,ES,ES_CB
2020-03-22,CB,347,6,157,14,65,1,41,5,ES,ES_CB
2020-03-23,CB,425,9,200,16,78,3,43,2,ES,ES_CB
2020-03-24,CB,510,14,241,18,85,5,41,2,ES,ES_CB
2020-03-25,CB,671,17,300,26,161,3,59,8,ES,ES_CB
2020-03-26,CB,810,21,355,29,139,4,55,3,ES,ES_CB
2020-03-27,CB,937,22,406,37,127,1,51,8,ES,ES_CB
2020-03-28,CB,1023,26,449,40,86,4,43,3,ES,ES_CB
2020-03-29,CB,1100,27,481,46,77,1,32,6,ES,ES_CB
2020-03-30,CB,1171,37,522,50,71,10,41,4,ES,ES_CB
2020-03-31,CB,1213,54,543,54,42,17,21,4,ES,ES_CB
2020-04-01,CB,1268,60,567,57,55,6,24,3,ES,ES_CB
2020-04-02,CB,1321,64,592,59,53,4,25,2,ES,ES_CB
2020-04-03,CB,1384,68,619,60,63,4,27,1,ES,ES_CB
2020-04-04,CB,1441,68,639,62,57,0,20,2,ES,ES_CB
2020-04-05,CB,1483,77,658,65,42,9,19,3,ES,ES_CB
2020-04-06,CB,1501,85,677,66,18,8,19,1,ES,ES_CB
2020-04-07,CB,1572,92,700,69,71,7,23,3,ES,ES_CB
2020-04-08,CB,1619,98,720,71,47,6,20,2,ES,ES_CB
2020-04-09,CB,1659,102,747,73,40,4,27,2,ES,ES_CB
2020-04-10,CB,1719,107,773,75,60,5,26,2,ES,ES_CB
2020-04-11,CB,1752,110,805,75,33,3,32,0,ES,ES_CB
2020-04-12,CB,1777,117,827,75,25,7,22,0,ES,ES_CB
2020-04-13,CB,1796,120,853,76,19,3,26,1,ES,ES_CB
2020-04-14,CB,1823,132,873,76,27,12,20,0,ES,ES_CB
2020-04-15,CB,1845,137,890,77,22,5,17,1,ES,ES_CB
2020-04-16,CB,1884,144,903,78,39,7,13,1,ES,ES_CB
2020-04-17,CB,1990,149,911,78,106,5,8,0,ES,ES_CB
2020-04-18,CB,1949,153,924,78,-41,4,13,0,ES,ES_CB
2020-04-19,CB,1973,158,934,78,24,5,10,0,ES,ES_CB
2020-04-20,CB,1998,165,948,78,25,7,14,0,ES,ES_CB
2020-04-21,CB,2012,167,956,78,14,2,8,0,ES,ES_CB
2020-04-22,CB,2023,173,965,78,11,6,9,0,ES,ES_CB
2020-04-23,CB,2055,178,978,78,32,5,13,0,ES,ES_CB
2020-04-24,CB,2071,182,982,78,16,4,4,0,ES,ES_CB
2020-04-25,CB,2083,183,991,78,12,1,9,0,ES,ES_CB
2020-04-26,CB,2104,186,995,78,21,3,4,0,ES,ES_CB
2020-04-27,CB,2115,188,1000,78,11,2,5,0,ES,ES_CB
2020-04-28,CB,2146,191,1006,79,31,3,6,1,ES,ES_CB
2020-04-29,CB,2173,191,1007,79,27,0,1,0,ES,ES_CB
2020-04-30,CB,2184,192,1009,79,11,1,2,0,ES,ES_CB
2020-05-01,CB,2201,193,1009,79,17,1,0,0,ES,ES_CB
2020-05-02,CB,2205,195,1010,79,4,2,1,0,ES,ES_CB
2020-05-03,CB,2206,197,1011,79,1,2,1,0,ES,ES_CB
2020-05-04,CB,2207,198,1015,79,1,1,4,0,ES,ES_CB
2020-05-05,CB,2213,199,1018,79,6,1,3,0,ES,ES_CB
2020-05-06,CB,2220,200,1020,79,7,1,2,0,ES,ES_CB
2020-05-07,CB,2232,201,1022,79,12,1,2,0,ES,ES_CB
2020-05-08,CB,2241,201,1023,79,9,0,1,0,ES,ES_CB
2020-05-09,CB,2244,201,1027,79,3,0,4,0,ES,ES_CB
2020-05-10,CB,2245,201,1027,79,1,0,0,0,ES,ES_CB
2020-05-11,CB,2246,203,1027,79,1,2,0,0,ES,ES_CB
2020-05-12,CB,2256,205,1029,79,10,2,2,0,ES,ES_CB
2020-05-13,CB,2256,205,1030,79,0,0,1,0,ES,ES_CB
2020-05-14,CB,2263,206,1031,79,7,1,1,0,ES,ES_CB
2020-05-15,CB,2265,206,1032,79,2,0,1,0,ES,ES_CB
2020-05-16,CB,2268,207,1033,79,3,1,1,0,ES,ES_CB
2020-05-17,CB,2271,207,1035,79,3,0,2,0,ES,ES_CB
2020-05-18,CB,2273,208,1035,79,2,1,0,0,ES,ES_CB
2020-05-19,CB,2277,209,1036,79,4,1,1,0,ES,ES_CB
2020-05-20,CB,2279,209,1036,79,2,0,0,0,ES,ES_CB
2020-02-20,CE,0,,,,,,,,ES,ES_CE
2020-02-21,CE,0,,,,0,,,,ES,ES_CE
2020-02-22,CE,0,,,,0,,,,ES,ES_CE
2020-02-23,CE,0,,,,0,,,,ES,ES_CE
2020-02-24,CE,0,,,,0,,,,ES,ES_CE
2020-02-25,CE,0,,,,0,,,,ES,ES_CE
2020-02-26,CE,0,,,,0,,,,ES,ES_CE
2020-02-27,CE,0,,,,0,,,,ES,ES_CE
2020-02-28,CE,0,,,,0,,,,ES,ES_CE
2020-02-29,CE,0,,,,0,,,,ES,ES_CE
2020-03-01,CE,0,,,,0,,,,ES,ES_CE
2020-03-02,CE,0,,,,0,,,,ES,ES_CE
2020-03-03,CE,0,,,,0,,,,ES,ES_CE
2020-03-04,CE,0,,,,0,,,,ES,ES_CE
2020-03-05,CE,0,,,,0,,,,ES,ES_CE
2020-03-06,CE,0,,,,0,,,,ES,ES_CE
2020-03-07,CE,0,,,,0,,,,ES,ES_CE
2020-03-08,CE,0,0,,0,0,,,,ES,ES_CE
2020-03-09,CE,0,0,,0,0,0,,0,ES,ES_CE
2020-03-10,CE,0,0,0,0,0,0,,0,ES,ES_CE
2020-03-11,CE,0,0,0,0,0,0,0,0,ES,ES_CE
2020-03-12,CE,0,0,0,0,0,0,0,0,ES,ES_CE
2020-03-13,CE,0,0,0,0,0,0,0,0,ES,ES_CE
2020-03-14,CE,1,0,0,0,1,0,0,0,ES,ES_CE
2020-03-15,CE,1,0,0,0,0,0,0,0,ES,ES_CE
2020-03-16,CE,1,0,0,0,0,0,0,0,ES,ES_CE
2020-03-17,CE,1,0,0,0,0,0,0,0,ES,ES_CE
2020-03-18,CE,1,0,0,0,0,0,0,0,ES,ES_CE
2020-03-19,CE,5,0,0,0,4,0,0,0,ES,ES_CE
2020-03-20,CE,5,0,0,0,0,0,0,0,ES,ES_CE
2020-03-21,CE,5,0,0,0,0,0,0,0,ES,ES_CE
2020-03-22,CE,6,0,0,0,1,0,0,0,ES,ES_CE
2020-03-23,CE,6,0,0,0,0,0,0,0,ES,ES_CE
