population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,key
144373535,66908372,77465163,36689646,107683889,12476171,33674031,8.822068,RU
12626950,6206092,6420858,10440846,2186104,1094796,1094796,498.65987,RW
197097,102006,95091,161509,35588,,,69.303887,WS
33860,,,891,32969,,,563.08333,SM
215056,107615,107441,56779,158277,,,219.82083,ST
34268528,19783531,14484997,5460690,28807838,7070665,16282472,15.676654,SA
16296364,7946434,8349930,8530658,7765706,3057065,3057065,82.347478,SN
6944975,3402287,3542688,3037732,3907243,1393717,1393717,79.837686,RS
97625,50107,47518,41863,55762,,,210.35217,SC
7813215,3898354,3914861,4493849,3319366,1168424,1168424,105.98717,SL
5703569,2985477,2718092,0,5703569,5868104,5868104,7952.9984,SG
40733,,,0,40733,,,1193.3529,SX
5454073,2655082,2798991,2523654,2930419,432508,,113.28559,SK
2087946,1039309,1048637,943292,1144654,,,102.96366,SI
669823,340583,329240,507659,162164,,,23.324687,SB
15442905,7700196,7742709,8408044,7034861,2179855,2179855,23.923477,SO
58558270,28859303,29698967,19408553,39149717,5635127,20836302,47.63012,ZA
11062113,5536529,5525584,8860863,2201250,385765,,,SS
47076781,23127681,23949100,9149372,37927409,6559041,12100168,93.677197,ES
21803000,10463418,11339582,17750912,4052088,606158,,345.55892,LK
52823,,,36554,16269,,,201.69615,KN
182790,90019,92771,148510,34280,,,298.17869,LC
38002,,,,,,,672.05882,FR_MF
110589,56095,54494,52404,58185,,,282.58974,VC
42813238,21387956,21425282,27856005,14957233,5677921,5677921,,SD
581372,292260,289112,197114,384258,,,3.69225,SR
10285453,5150312,5135141,1264288,9021165,1608037,1608037,24.981498,SE
8574832,4252464,4322368,2242404,6332428,1383092,1383092,215.46535,CH
17070135,8554552,8515583,7712116,9358019,2353637,5502085,92.067108,SY
9321018,4697950,4623068,6775541,2545477,893826,,65.572714,TJ
58005463,28980622,29024841,37993578,20011885,6368272,7429015,63.579079,TZ
69625582,33904846,35720736,34330982,35294600,10350204,14170741,135.89721,TH
1293119,653506,639613,892937,400182,,,85.270477,TL
8082366,4020649,4061717,4667728,3414638,1785310,1785310,145.04677,TG
104494,52284,52210,80349,24145,,,143.32917,TO
1394973,688984,705989,653029,741944,544259,,270.92749,TT
11694719,5797979,5896740,3595658,8099061,2327822,2327822,74.441323,TN
83429615,41173713,42255902,20331797,63097818,14967667,30836753,106.96013,TR
5942089,2925686,3016403,2849351,3092738,828065,,12.450595,TM
38191,,,2536,35655,,,39.647368,TC
11646,,,4284,7362,,,383.6,TV
44269594,21807169,22462425,33485078,10784516,3137690,3137690,213.06173,UG
44385155,20560382,23824773,13549456,30835699,2973335,5415973,77.029671,UA
9770529,6766808,3003721,1290785,8479744,2833079,5914068,135.60911,AE
66834405,33007819,33826586,10926089,55908316,9176530,18018197,274.70898,GB
328239523,162417882,165821641,57576495,270663028,18804722,152587187,35.713622,US
3461734,1671890,1789844,158340,3303394,1744700,1744700,19.708028,UY
33580650,16748844,16831806,16644921,16935729,2490334,2490334,77.470851,UZ
299882,152038,147844,223730,76152,,,24.009844,VU
28515829,14045228,14470601,3353461,25162368,2935501,9431165,32.730792,VE
96462106,48151351,48310755,61129966,35332140,8371428,16735581,308.12525,VN
106631,50679,55952,4444,102187,,,305.64857,VI
4685306,2376173,2309133,1103858,3581448,693323,,758.98455,PS
29161922,14692284,14469638,18292399,10869523,2874373,2874373,53.977853,YE
17861030,8843212,9017818,9989317,7871713,2646619,2646619,23.341479,ZM
14645468,6983351,7662117,9928163,4717305,1521311,1521311,37.324591,ZW
