date,total_confirmed,total_confirmed_male,total_confirmed_female,total_confirmed_age_00,total_confirmed_age_01,total_confirmed_age_02,total_confirmed_age_03,total_confirmed_age_04,total_confirmed_age_05,total_confirmed_age_06,total_confirmed_age_07,total_confirmed_age_08,age_bin_00,age_bin_01,age_bin_02,age_bin_03,age_bin_04,age_bin_05,age_bin_06,age_bin_07,age_bin_08,key,new_confirmed,new_confirmed_male,new_confirmed_female,new_confirmed_age_00,new_confirmed_age_01,new_confirmed_age_02,new_confirmed_age_03,new_confirmed_age_04,new_confirmed_age_05,new_confirmed_age_06,new_confirmed_age_07,new_confirmed_age_08
2020-04-04,1882,950,932,27,78,279,330,367,402,211,121,67,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,267,120,147,3,10,39,45,52,58,41,10,9
2020-04-05,1927,972,955,27,82,289,338,371,410,217,126,67,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,45,22,23,0,4,10,8,4,8,6,5,0
2020-04-06,2176,1092,1084,36,95,339,372,418,461,233,137,85,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,249,120,129,9,13,50,34,47,51,16,11,18
2020-04-07,2308,1150,1158,38,100,366,394,438,489,244,143,96,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,132,58,74,2,5,27,22,20,28,11,6,11
2020-04-08,2487,1231,1256,41,109,391,416,465,530,267,153,115,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,179,81,98,3,9,25,22,27,41,23,10,19
2020-04-09,2605,1285,1320,44,116,409,432,487,555,287,155,120,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,118,54,64,3,7,18,16,22,25,20,2,5
2020-04-10,2769,1362,1407,45,125,429,461,511,589,302,162,145,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,164,77,87,1,9,20,29,24,34,15,7,25
2020-04-11,2905,1429,1476,47,137,449,476,533,616,319,167,161,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,136,67,69,2,12,20,15,22,27,17,5,16
2020-04-12,2974,1464,1510,48,145,465,484,541,626,329,169,167,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,69,35,34,1,8,16,8,8,10,10,2,6
2020-04-13,3064,1500,1564,49,155,483,492,552,641,333,177,182,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,90,36,54,1,10,18,8,11,15,4,8,15
2020-04-14,3161,1535,1626,53,159,505,508,562,655,339,184,196,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,97,35,62,4,4,22,16,10,14,6,7,14
2020-04-15,3237,1569,1668,54,163,514,521,571,668,349,190,207,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,76,34,42,1,4,9,13,9,13,10,6,11
2020-04-16,3369,1628,1741,55,172,534,545,585,699,360,197,222,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,132,59,73,1,9,20,24,14,31,11,7,15
2020-04-17,3489,1682,1807,61,173,553,556,603,724,371,206,242,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,120,54,66,6,1,19,11,18,25,11,9,20
2020-04-18,3681,1766,1915,64,181,581,596,629,756,387,213,274,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,192,84,108,3,8,28,40,26,32,16,7,32
2020-04-19,3783,1811,1972,68,188,600,610,647,773,396,220,281,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,102,45,57,4,7,19,14,18,17,9,7,7
2020-04-20,3868,1841,2027,69,191,623,628,659,790,398,223,287,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,85,30,55,1,3,23,18,12,17,2,3,6
2020-04-21,4014,1909,2105,79,201,651,650,681,806,406,231,309,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,146,68,78,10,10,28,22,22,16,8,8,22
2020-04-22,4129,1963,2166,82,204,674,671,691,827,418,234,328,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,115,54,61,3,3,23,21,10,21,12,3,19
2020-04-23,4284,2034,2250,86,211,708,701,715,853,428,240,342,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,155,71,84,4,7,34,30,24,26,10,6,14
2020-04-24,4395,2090,2305,94,218,724,718,729,872,437,247,356,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,111,56,55,8,7,16,17,14,19,9,7,14
2020-04-25,4475,2128,2347,96,225,741,734,744,881,442,249,363,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,80,38,42,2,7,17,16,15,9,5,2,7
2020-04-26,4576,2171,2405,99,233,756,748,756,897,455,256,376,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,101,43,58,3,8,15,14,12,16,13,7,13
2020-04-27,4695,2233,2462,108,244,791,766,776,910,463,257,380,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,119,62,57,9,11,35,18,20,13,8,1,4
2020-04-28,4740,2256,2484,108,247,798,778,783,921,466,257,382,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,45,23,22,0,3,7,12,7,11,3,0,2
2020-04-29,4906,2345,2561,114,259,827,806,801,947,487,265,400,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,166,89,77,6,12,29,28,18,26,21,8,18
2020-04-30,4995,2388,2607,118,260,848,825,813,965,495,268,403,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,89,43,46,4,1,21,19,12,18,8,3,3
2020-05-01,5051,2420,2631,120,264,863,836,819,971,502,270,406,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,56,32,24,2,4,15,11,6,6,7,2,3
2020-05-02,5176,2506,2670,127,268,895,871,834,987,507,273,414,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,125,86,39,7,4,32,35,15,16,5,3,8
2020-05-03,5254,2555,2699,129,271,908,889,849,999,512,278,419,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,78,49,29,2,3,13,18,15,12,5,5,5
2020-05-04,5327,2601,2726,136,276,920,910,859,1010,515,279,422,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,73,46,27,7,5,12,21,10,11,3,1,3
2020-05-05,5412,2637,2775,140,281,940,923,874,1022,521,283,428,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,85,36,49,4,5,20,13,15,12,6,4,6
2020-05-06,5573,2745,2828,149,288,978,970,898,1043,528,286,433,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,161,108,53,9,7,38,47,24,21,7,3,5
2020-05-07,5673,2796,2877,151,297,997,985,913,1067,538,289,436,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,100,51,49,2,9,19,15,15,24,10,3,3
2020-05-08,5738,2831,2907,152,304,1012,996,924,1077,544,292,437,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,65,35,30,1,7,15,11,11,10,6,3,1
2020-05-09,5880,2902,2978,159,314,1040,1028,945,1093,549,299,453,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,142,71,71,7,10,28,32,21,16,5,7,16
2020-05-10,5962,2941,3021,159,323,1060,1037,960,1109,556,303,455,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,82,39,43,0,9,20,9,15,16,7,4,2
2020-05-11,5984,2955,3029,161,325,1065,1044,964,1109,558,303,455,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,22,14,8,2,2,5,7,4,0,2,0,0
2020-05-12,6003,2962,3041,161,325,1069,1047,968,1115,559,303,456,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,19,7,12,0,0,4,3,4,6,1,0,1
2020-05-13,6054,2987,3067,163,328,1083,1060,973,1124,563,304,456,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,51,25,26,2,3,14,13,5,9,4,1,0
2020-05-14,6145,3038,3107,165,333,1100,1075,991,1141,573,306,461,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,91,51,40,2,5,17,15,18,17,10,2,5
2020-05-15,6228,3076,3152,166,338,1113,1094,1006,1156,578,307,470,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,83,38,45,1,5,13,19,15,15,5,1,9
2020-05-16,6286,3099,3187,166,341,1118,1108,1014,1171,585,309,474,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,58,23,35,0,3,5,14,8,15,7,2,4
2020-05-17,6347,3132,3215,166,345,1126,1124,1027,1179,592,310,478,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,61,33,28,0,4,8,16,13,8,7,1,4
2020-05-18,6380,3151,3229,167,346,1131,1136,1033,1183,593,311,480,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,33,19,14,1,1,5,12,6,4,1,1,2
2020-05-19,6399,3157,3242,167,347,1134,1140,1039,1185,593,311,483,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,19,6,13,0,1,3,4,6,2,0,0,3
2020-05-20,6443,3183,3260,172,350,1137,1152,1045,1190,596,316,485,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,44,26,18,5,3,3,12,6,5,3,5,2
2020-05-21,6493,3204,3289,174,351,1143,1163,1056,1201,600,317,488,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,50,21,29,2,1,6,11,11,11,4,1,3
2020-05-22,6537,3225,3312,176,353,1151,1166,1064,1214,605,320,488,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,44,21,23,2,2,8,3,8,13,5,3,0
2020-05-23,6568,3244,3324,179,357,1154,1172,1069,1218,607,320,492,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,31,19,12,3,4,3,6,5,4,2,0,4
2020-05-24,6579,3249,3330,182,358,1155,1175,1071,1219,609,319,491,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,11,5,6,3,1,1,3,2,1,2,-1,-1
2020-05-25,6599,3261,3338,184,359,1162,1180,1073,1221,610,319,491,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,20,12,8,2,1,7,5,2,2,1,0,0
2020-05-26,6628,3272,3356,185,360,1166,1189,1077,1229,611,320,491,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,29,11,18,1,1,4,9,4,8,1,1,0
2020-05-27,6692,3307,3385,189,370,1183,1197,1084,1235,616,325,493,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,64,35,29,4,10,17,8,7,6,5,5,2
2020-05-28,6743,3333,3410,191,371,1195,1209,1089,1245,622,328,493,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,51,26,25,2,1,12,12,5,10,6,3,0
2020-05-29,6776,3351,3425,191,372,1205,1214,1094,1250,625,331,494,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,33,18,15,0,1,10,5,5,5,3,3,1
2020-05-30,6826,3375,3451,194,377,1218,1224,1098,1260,626,334,495,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,50,24,26,3,5,13,10,4,10,1,3,1
2020-05-31,6859,3387,3472,194,379,1230,1229,1103,1265,629,335,495,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,33,12,21,0,2,12,5,5,5,3,1,0
2020-06-01,6885,3404,3481,198,384,1236,1230,1108,1267,631,336,495,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,26,17,9,4,5,6,1,5,2,2,1,0
2020-06-02,6887,3408,3479,198,388,1235,1231,1108,1267,628,337,495,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,2,4,-2,0,4,-1,1,0,0,-3,1,0
2020-06-03,6911,3420,3491,199,389,1244,1234,1111,1269,632,337,496,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,24,12,12,1,1,9,3,3,2,4,0,1
2020-06-04,6911,3420,3491,199,389,1244,1234,1111,1269,632,337,496,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-05,6941,3438,3503,202,393,1250,1239,1115,1276,632,337,497,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,30,18,12,3,4,6,5,4,7,0,0,1
2020-06-06,6964,3451,3513,202,396,1255,1245,1116,1283,632,337,498,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,23,13,10,0,3,5,6,1,7,0,0,1
2020-06-07,6981,3462,3519,202,398,1258,1248,1117,1286,635,337,500,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,17,11,6,0,2,3,3,1,3,3,0,2
2020-06-08,7001,3471,3530,203,399,1261,1252,1124,1288,635,339,500,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,20,9,11,1,1,3,4,7,2,0,2,0
2020-06-09,7025,3476,3549,204,402,1262,1258,1130,1292,637,339,501,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,24,5,19,1,3,1,6,6,4,2,0,1
2020-06-10,7040,3485,3555,205,404,1265,1261,1132,1292,638,341,502,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,15,9,6,1,2,3,3,2,0,1,2,1
2020-06-11,7064,3500,3564,206,404,1270,1269,1135,1295,639,343,503,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,24,15,9,1,0,5,8,3,3,1,2,1
2020-06-12,7073,3503,3570,206,404,1273,1271,1137,1296,640,343,503,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,9,3,6,0,0,3,2,2,1,1,0,0
2020-06-13,7087,3509,3578,207,404,1276,1277,1137,1298,641,343,504,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,14,6,8,1,0,3,6,0,2,1,0,1
2020-06-14,7104,3524,3580,208,405,1281,1281,1140,1301,641,343,504,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,17,15,2,1,1,5,4,3,3,0,0,0
2020-06-15,7108,3527,3581,208,405,1281,1283,1141,1302,641,343,504,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,4,3,1,0,0,0,2,1,1,0,0,0
2020-06-16,7112,3528,3584,208,405,1282,1284,1142,1302,641,344,504,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,4,1,3,0,0,1,1,1,0,0,1,0
2020-06-17,7117,3530,3587,209,405,1284,1284,1143,1302,642,344,504,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,5,2,3,1,0,2,0,1,0,1,0,0
2020-06-18,7117,3530,3587,209,405,1284,1284,1143,1302,642,344,504,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-19,7133,3540,3593,210,405,1289,1284,1147,1304,642,348,504,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,16,10,6,1,0,5,0,4,2,0,4,0
2020-06-20,7142,3543,3599,212,405,1290,1286,1148,1304,644,348,505,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,9,3,6,2,0,1,2,1,0,2,0,1
2020-06-21,7143,3544,3599,212,405,1290,1286,1148,1304,645,348,505,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,1,1,0,0,0,0,0,0,0,1,0,0
2020-06-22,7144,3544,3600,212,405,1290,1287,1148,1304,645,348,505,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,1,0,1,0,0,0,1,0,0,0,0,0
2020-06-23,7155,3549,3606,215,405,1291,1288,1150,1305,646,349,506,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,11,5,6,3,0,1,1,2,1,1,1,1
2020-06-24,7167,3554,3613,216,407,1293,1290,1153,1306,646,350,506,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,12,5,7,1,2,2,2,3,1,0,1,0
2020-06-25,7172,3555,3617,216,407,1295,1290,1156,1306,646,350,506,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,5,1,4,0,0,2,0,3,0,0,0,0
2020-06-26,7191,3566,3625,216,407,1299,1295,1159,1310,647,351,507,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,19,11,8,0,0,4,5,3,4,1,1,1
2020-06-27,7198,3570,3628,216,407,1301,1295,1162,1311,647,351,508,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,7,4,3,0,0,2,0,3,1,0,0,1
2020-06-28,7198,3570,3628,216,407,1301,1295,1162,1311,647,351,508,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-29,7209,3580,3629,216,409,1302,1298,1164,1315,647,350,508,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,11,10,1,0,2,1,3,2,4,0,-1,0
