date,yyyymmdd,total_tested,total_recovered,total_hospitalized,total_intensive_care,total_ventilator,total_deceased,contactsidentified,contactstraced,scannedtravellers,passengerselevatedtemperature,covidsuspectedcriteria,source,key,new_tested,new_recovered,new_hospitalized,new_intensive_care,new_ventilator,new_deceased
2020-03-24,20200324,15529,2,,0,0,0,,,,,,,ZA,2714,1,,0,0,0
2020-03-25,20200325,,4,,2,0,0,,,,,,,ZA,0,2,,2,0,0
2020-03-26,20200326,20471,4,,2,0,0,,,,,,,ZA,4942,0,,0,0,0
2020-03-27,20200327,28537,31,55,4,3,1,4407,3645,,,,,ZA,8066,27,,2,3,1
2020-03-28,20200328,31963,31,,,,1,,,,,,,ZA,3426,0,0,0,0,0
2020-03-29,20200329,35593,31,,,,2,,,,,,,ZA,3630,0,0,0,0,1
2020-03-30,20200330,38409,31,,,,3,,,,,,,ZA,2816,0,0,0,0,1
2020-03-31,20200331,41072,31,,,,5,,,,,,,ZA,2663,0,0,0,0,2
2020-04-01,20200401,44292,31,,,,5,,,,,,,ZA,3220,0,0,0,0,0
2020-04-02,20200402,47965,45,,,,5,,,,,,,ZA,3673,14,0,0,0,0
2020-04-03,20200403,50361,45,,,,9,,,,,,,ZA,2396,0,0,0,0,4
2020-04-04,20200404,53937,45,,,,9,,,,,,,ZA,3576,0,0,0,0,0
2020-04-05,20200405,56873,45,,10,,11,,,,,,,ZA,2936,0,0,6,0,2
2020-04-06,20200406,58098,45,,10,,12,,,,,,,ZA,1225,0,0,0,0,1
2020-04-07,20200407,,45,,10,,13,,,,,,,ZA,0,0,0,0,0,1
2020-04-08,20200408,63776,45,,10,,18,,,,,,,ZA,5678,0,0,0,0,5
2020-04-09,20200409,68874,45,,10,,18,,,,,,,ZA,5098,0,0,0,0,0
2020-04-10,20200410,73028,410,,,,24,,,,,,,ZA,4154,365,0,0,0,6
2020-04-11,20200411,75053,410,,,,25,,,,,,,ZA,2025,0,0,0,0,1
2020-04-12,20200412,80085,410,,,,25,,,,,,,ZA,5032,0,0,0,0,0
2020-04-13,20200413,83663,410,,,,27,,,,,,,ZA,3578,0,0,0,0,2
2020-04-14,20200414,87022,410,,,,27,,,,,,,ZA,3359,0,0,0,0,0
2020-04-15,20200415,90515,410,,,,34,,,,,,,ZA,3493,0,0,0,0,7
2020-04-16,20200416,95060,903,,,,48,,,,,,,ZA,4545,493,0,0,0,14
2020-04-17,20200417,100827,903,,,,50,,,,,,,ZA,5767,0,0,0,0,2
2020-04-18,20200418,108201,903,241,36,26,52,,,,,,,ZA,7374,0,186,26,23,2
2020-04-19,20200419,114711,903,241,36,26,54,,,,,,,ZA,6510,0,0,0,0,2
2020-04-20,20200420,121510,1055,241,36,26,58,,,,,,https://twitter.com/DrZweliMkhize/status/1252310038666006528?s=20,ZA,6799,152,0,0,0,4
2020-04-21,20200421,126937,1055,241,36,26,58,,,,,,https://twitter.com/DrZweliMkhize/status/1252634824935976960?s=20,ZA,5427,0,0,0,0,0
2020-04-22,20200422,133774,1055,241,36,26,65,,,,,,https://sacoronavirus.co.za/2020/04/22/update-on-covid-19-22nd-april-2020/,ZA,6837,0,0,0,0,7
2020-04-23,20200423,143570,1473,241,36,26,75,,,,,,"https://sacoronavirus.co.za/2020/04/23/update-on-covid-19-23rd-april-2020-, https://twitter.com/nicd_sa/status/1253374043111272450/photo/1",ZA,9796,418,0,0,0,10
2020-04-24,20200424,152390,1473,241,36,26,79,,,,,,"https://twitter.com/nicd_sa/status/1253769210301427713?s=21, https://twitter.com/nicd_sa/status/1253769210301427713/photo/1",ZA,8820,0,0,0,0,4
2020-04-25,20200425,161004,1473,241,36,26,86,,,,,,https://twitter.com/DrZweliMkhize/status/1254108225991041024?s=20,ZA,8614,0,0,0,0,7
2020-04-26,20200426,168643,1473,241,36,26,87,,,,,,https://twitter.com/DrZweliMkhize/status/1254477361615187968?s=20,ZA,7639,0,0,0,0,1
2020-04-27,20200427,178470,1473,241,36,26,90,,,,,,https://twitter.com/DrZweliMkhize/status/1254477361615187968?s=20,ZA,9827,0,0,0,0,3
2020-04-28,20200428,185497,1473,241,36,26,93,,,,,,"https://twitter.com/DrZweliMkhize/status/1254477361615187968?s=20, https://twitter.com/nicd_sa/status/1255208067551170564/photo/1",ZA,7027,0,0,0,0,3
2020-04-29,20200429,197127,2073,241,36,26,103,,,,,,https://sacoronavirus.co.za/2020/04/29/update-on-covid-19-29th-april-2020/,ZA,11630,600,0,0,0,10
2020-04-30,20200430,207530,2073,241,36,26,103,,,,,,https://sacoronavirus.co.za/2020/04/30/update-on-covid-19-30th-april-2020/,ZA,10403,0,0,0,0,0
2020-05-01,20200501,217522,2382,241,36,26,116,,,,,,https://sacoronavirus.co.za/2020/05/01/update-on-covid-19-1st-may-2020/,ZA,9992,309,0,0,0,13
2020-05-02,20200502,230686,2549,241,36,26,123,,,,,,https://sacoronavirus.co.za/2020/05/02/update-on-covid-19-2nd-may-2020/,ZA,13164,167,0,0,0,7
2020-05-03,20200503,245747,2549,241,36,26,131,,,,,,https://twitter.com/nicd_sa/status/1257006165889880069?s=20,ZA,15061,0,0,0,0,8
2020-05-04,20200504,257541,2746,411,36,26,138,,,,,,https://sacoronavirus.co.za/2020/05/04/update-on-covid-19-4th-may-2020/,ZA,11794,197,170,0,0,7
2020-05-05,20200505,268064,2746,411,36,26,148,,,,,,https://sacoronavirus.co.za/2020/05/05/update-on-covid-19-5th-may-2020/,ZA,10523,0,0,0,0,10
2020-05-06,20200506,279379,3153,411,36,26,153,,,,,,https://twitter.com/HealthZA/status/1258130333272244229?s=20,ZA,11315,407,0,0,0,5
2020-05-07,20200507,292153,3153,411,36,26,161,,,,,,https://sacoronavirus.co.za/2020/05/07/update-on-covid-19-7th-may-2020/,ZA,12774,0,0,0,0,8
2020-05-08,20200508,307752,3153,411,36,26,178,,,,,,https://sacoronavirus.co.za/2020/05/08/update-on-covid-19-8th-may-2020/,ZA,15599,0,0,0,0,17
2020-05-09,20200509,324079,3983,411,36,26,186,,,,,,https://sacoronavirus.co.za/2020/05/09/update-on-covid-19-9th-may-2020/,ZA,16327,830,0,0,0,8
2020-05-10,20200510,341336,4173,411,36,26,194,,,,,,https://sacoronavirus.co.za/2020/05/10/update-on-covid-19-10th-may-2020/,ZA,17257,190,0,0,0,8
2020-05-11,20200511,356067,4357,411,36,26,206,,,,,,https://twitter.com/DrZweliMkhize/status/1259849590251098112?s=20,ZA,14731,184,0,0,0,12
2020-05-12,20200512,369697,4357,411,36,26,206,,,,,,https://twitter.com/nicd_sa/status/1260170708329672706?s=20,ZA,13630,0,0,0,0,0
2020-05-13,20200513,386352,4745,411,36,26,219,,,,,,https://twitter.com/nicd_sa/status/1260674090282684417/photo/1,ZA,16655,388,0,0,0,13
2020-05-14,20200514,403018,5676,411,36,26,238,,,,,,https://sacoronavirus.co.za/2020/05/14/update-on-covid-19-14th-may-2020/,ZA,16666,931,0,0,0,19
2020-05-15,20200515,421555,6083,411,36,26,247,,,,,,https://mobile.twitter.com/nicd_sa/status/1261360621804806145/photo/1,ZA,18537,407,0,0,0,9
2020-05-16,20200516,439559,6478,411,36,26,261,,,,,,https://sacoronavirus.co.za/2020/05/16/update-on-covid-19-16th-may-2020/,ZA,18004,395,0,0,0,14
2020-05-17,20200517,460873,7006,411,36,26,264,,,,,,https://sacoronavirus.co.za/2020/05/17/update-on-covid-19-17th-may-2020/,ZA,21314,528,0,0,0,3
2020-05-18,20200518,475071,7298,411,36,26,286,,,,,,https://sacoronavirus.co.za/2020/05/18/update-on-covid-19-18th-may-2020/,ZA,14198,292,0,0,0,22
2020-05-19,20200519,488609,7960,411,36,26,312,,,,,,https://sacoronavirus.co.za/2020/05/19/update-on-covid-19-19th-may-2020/,ZA,13538,662,0,0,0,26
2020-05-20,20200520,505861,8950,,,,339,,,,,,https://sacoronavirus.co.za/2020/05/20/update-on-covid-19-20th-may-2020/,ZA,17252,990,0,0,0,27
2020-05-21,20200521,525433,8950,,,,369,,,,,,https://twitter.com/nicd_sa/status/1263466016874680322,ZA,19572,0,0,0,0,30
2020-05-22,20200522,543032,10104,,,,397,,,,,,https://sacoronavirus.co.za/2020/05/22/update-on-covid-19-22nd-may-2020/,ZA,17599,1154,0,0,0,28
2020-05-23,20200523,564370,10104,,,,407,,,,,,https://twitter.com/nicd_sa/status/1264277822891327489/photo/1,ZA,21338,0,0,0,0,10
2020-05-24,20200524,583855,11100,842,128,,429,,,,,,https://sacoronavirus.co.za/2020/05/24/update-on-covid-19-24th-may-2020/;https://sacoronavirus.co.za/2020/05/24/address-by-president-cyril-ramaphosa-on-south-africas-response-to-the-coronavirus-pandemic-24th-may-2020/,ZA,19485,996,431,92,0,22
2020-05-25,20200525,596777,11917,842,128,,481,,,,,,https://twitter.com/DrZweliMkhize/status/1264999754964054016?s=20,ZA,12922,817,0,0,0,52
2020-05-26,20200526,605991,12741,,,,524,,,,,,https://twitter.com/nicd_sa/status/1265381678001913857/photo/1,ZA,9214,824,0,0,0,43
2020-05-27,20200527,634996,13451,,,,552,,,,,,https://sacoronavirus.co.za/2020/05/27/update-on-covid-19-27th-may-2020/,ZA,29005,710,0,0,0,28
2020-05-28,20200528,655723,14370,,,,577,,,,,,https://twitter.com/nicd_sa/status/1266132429858918400?s=20,ZA,20727,919,0,0,0,25
2020-05-29,20200529,680175,15093,,,,611,,,,,,https://sacoronavirus.co.za/2020/05/29/update-on-covid-19-29th-may-2020/,ZA,24452,723,0,0,0,34
2020-05-30,20200530,701883,16116,,,,643,,,,,,https://sacoronavirus.co.za/2020/05/30/update-on-covid-19-30th-may-2020/,ZA,21708,1023,0,0,0,32
2020-05-31,20200531,725125,16809,,,,683,,,,,,https://sacoronavirus.co.za/2020/05/31/update-on-covid-19-31st-may-2020/,ZA,23242,693,0,0,0,40
2020-06-01,20200601,742742,17291,,,,705,,,,,,https://sacoronavirus.co.za/2020/06/01/update-on-covid-19-1st-june-202/,ZA,17617,482,0,0,0,22
2020-06-02,20200602,761534,18313,,,,755,,,,,,https://sacoronavirus.co.za/2020/06/02/update-on-covid-19-02nd-june-2020/,ZA,18792,1022,0,0,0,50
2020-06-03,20200603,785979,19682,,,,792,,,,,,https://sacoronavirus.co.za/2020/06/03/update-on-covid-19-03rd-june-2020/,ZA,24445,1369,0,0,0,37
2020-06-04,20200604,820675,21311,,,,848,,,,,,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-4-june-2020/,ZA,34696,1629,0,0,0,56
2020-06-05,20200605,850871,23088,,,,908,,,,,,https://sacoronavirus.co.za/2020/06/05/update-on-covid-19-05th-june-2020/,ZA,30196,1777,0,0,0,60
2020-06-06,20200606,891668,24258,,,,952,,,,,,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-6-june-2020/,ZA,40797,1170,0,0,0,44
2020-06-07,20200607,920064,24364,,,,998,,,,,,https://sacoronavirus.co.za/2020/06/07/update-on-covid-19-07th-june-2020/,ZA,28396,106,0,0,0,46
2020-06-08,20200608,943059,26099,,,,1080,,,,,,https://sacoronavirus.co.za/2020/06/08/update-on-covid-19-08th-june-2020/,ZA,22995,1735,0,0,0,82
2020-06-09,20200609,968070,29006,,,,1162,,,,,,https://sacoronavirus.co.za/2020/06/09/update-on-covid-19-09th-june-2020/,ZA,25011,2907,0,0,0,82
2020-06-10,20200610,998400,31505,,,,1210,,,,,,https://sacoronavirus.co.za/2020/06/10/update-on-covid-19-10th-june-2020/,ZA,30330,2499,0,0,0,48
2020-06-11,20200611,1028399,33252,,,,1284,,,,,,https://sacoronavirus.co.za/2020/06/11/update-on-covid-19-11th-june-2020/,ZA,29999,1747,0,0,0,74
2020-06-12,20200612,1060425,35008,,,,1354,,,,,,https://sacoronavirus.co.za/2020/06/12/update-on-covid-19-12th-june-2020/,ZA,32026,1756,0,0,0,70
2020-06-13,20200613,1087887,36850,,,,1423,,,,,,https://sacoronavirus.co.za/2020/06/13/update-on-covid-19-13th-june-2020/,ZA,27462,1842,0,0,0,69
2020-06-14,20200614,1121958,38531,,,,1480,,,,,,https://sacoronavirus.co.za/2020/06/14/update-on-covid-19-14th-june-2020/,ZA,34071,1681,0,0,0,57
2020-06-15,20200615,1148933,39867,,,,1568,,,,,,https://sacoronavirus.co.za/2020/06/15/update-on-covid-19-15th-june-2020/,ZA,26975,1336,0,0,0,88
2020-06-16,20200616,1172513,42063,,,,1625,,,,,,https://twitter.com/nicd_sa/status/1273017728232800257,ZA,23580,2196,0,0,0,57
2020-06-17,20200617,1207360,44343,,,,1674,,,,,,https://sacoronavirus.co.za/2020/06/17/update-on-covid-19-17th-june-2020/,ZA,34847,2280,0,0,0,49
2020-06-18,20200618,1228098,44920,,,,1737,,,,,,https://twitter.com/nicd_sa/status/1273701719126552576/photo/1,ZA,20738,577,0,0,0,63
2020-06-19,20200619,1260434,47825,,,,1831,,,,,,https://sacoronavirus.co.za/2020/06/19/update-on-covid-19-19th-june-2020/,ZA,32336,2905,0,0,0,94
