date,total_confirmed,total_recovered,total_deceased,key,new_confirmed,new_recovered,new_deceased
2020-04-10,1395,256,56,CZ_10,39,29,6
2020-04-11,1422,292,61,CZ_10,27,36,5
2020-04-12,1437,319,64,CZ_10,15,27,3
2020-04-13,1446,344,68,CZ_10,9,25,4
2020-04-14,1458,406,70,CZ_10,12,62,2
2020-04-15,1483,466,70,CZ_10,25,60,0
2020-04-16,1517,545,70,CZ_10,34,79,0
2020-04-17,1541,618,71,CZ_10,24,73,1
2020-04-18,1585,642,73,CZ_10,44,24,2
2020-04-19,1591,676,74,CZ_10,6,34,1
2020-04-20,1609,710,77,CZ_10,18,34,3
2020-04-21,1626,764,77,CZ_10,17,54,0
2020-04-22,1635,811,77,CZ_10,9,47,0
2020-04-23,1655,839,79,CZ_10,20,28,2
2020-04-24,1663,873,82,CZ_10,8,34,3
2020-04-25,1677,896,84,CZ_10,14,23,2
2020-04-26,1679,904,84,CZ_10,2,8,0
2020-04-27,1682,931,84,CZ_10,3,27,0
2020-04-28,1687,945,84,CZ_10,5,14,0
2020-04-29,1695,965,85,CZ_10,8,20,1
2020-04-30,1706,998,86,CZ_10,11,33,1
2020-05-01,1715,1017,87,CZ_10,9,19,1
2020-05-02,1726,1024,87,CZ_10,11,7,0
2020-05-03,1729,1036,88,CZ_10,3,12,1
2020-05-04,1736,1062,89,CZ_10,7,26,1
2020-05-05,1749,1086,89,CZ_10,13,24,0
2020-05-06,1758,1110,89,CZ_10,9,24,0
2020-05-07,1769,1126,89,CZ_10,11,16,0
2020-05-08,1796,1135,89,CZ_10,27,9,0
2020-05-09,1807,1147,90,CZ_10,11,12,1
2020-05-10,1808,1156,91,CZ_10,1,9,1
2020-05-11,1822,1166,91,CZ_10,14,10,0
2020-05-12,1837,1179,91,CZ_10,15,13,0
2020-05-13,1852,1195,91,CZ_10,15,16,0
2020-05-14,1867,1212,92,CZ_10,15,17,1
2020-05-15,1880,1222,92,CZ_10,13,10,0
2020-05-16,1910,1228,93,CZ_10,30,6,1
2020-05-17,1919,1230,93,CZ_10,9,2,0
2020-05-18,1934,1243,93,CZ_10,15,13,0
2020-05-19,1945,1249,93,CZ_10,11,6,0
2020-05-20,1953,1263,93,CZ_10,8,14,0
2020-05-21,1965,1275,93,CZ_10,12,12,0
2020-05-22,1975,1281,93,CZ_10,10,6,0
2020-05-23,1980,1289,93,CZ_10,5,8,0
2020-05-24,1982,1291,93,CZ_10,2,2,0
2020-05-25,1986,1302,93,CZ_10,4,11,0
2020-05-26,1991,1311,93,CZ_10,5,9,0
2020-05-27,2000,1322,93,CZ_10,9,11,0
2020-05-28,2019,1327,94,CZ_10,19,5,1
2020-05-29,2024,1336,94,CZ_10,5,9,0
2020-05-30,2038,1342,94,CZ_10,14,6,0
2020-05-31,2047,1345,94,CZ_10,9,3,0
2020-06-01,2054,1362,95,CZ_10,7,17,1
2020-06-02,2066,1375,95,CZ_10,12,13,0
2020-06-03,2090,1387,95,CZ_10,24,12,0
2020-06-04,2100,1398,96,CZ_10,10,11,1
2020-06-05,2103,1411,96,CZ_10,3,13,0
2020-06-06,2106,1414,96,CZ_10,3,3,0
2020-06-07,2113,1420,96,CZ_10,7,6,0
2020-06-08,2119,1431,96,CZ_10,6,11,0
2020-06-09,2130,1436,96,CZ_10,11,5,0
2020-06-10,2140,1449,96,CZ_10,10,13,0
2020-06-11,2154,1456,97,CZ_10,14,7,1
2020-06-12,2172,1462,97,CZ_10,18,6,0
2020-06-13,2190,1465,97,CZ_10,18,3,0
2020-06-14,2204,1467,97,CZ_10,14,2,0
2020-06-15,2215,1474,97,CZ_10,11,7,0
2020-06-16,2229,1479,97,CZ_10,14,5,0
2020-06-17,2246,1484,97,CZ_10,17,5,0
2020-06-18,2258,1493,98,CZ_10,12,9,1
2020-06-19,2274,1496,98,CZ_10,16,3,0
2020-06-20,2289,1498,99,CZ_10,15,2,1
2020-06-21,2295,1500,100,CZ_10,6,2,1
2020-03-01,0,0,0,CZ_20,,,
2020-03-02,0,0,0,CZ_20,0,0,0
2020-03-03,0,0,0,CZ_20,0,0,0
2020-03-04,0,0,0,CZ_20,0,0,0
2020-03-05,0,0,0,CZ_20,0,0,0
2020-03-06,0,0,0,CZ_20,0,0,0
2020-03-07,0,0,0,CZ_20,0,0,0
2020-03-08,2,0,0,CZ_20,2,0,0
2020-03-09,4,0,0,CZ_20,2,0,0
2020-03-10,4,0,0,CZ_20,0,0,0
2020-03-11,12,0,0,CZ_20,8,0,0
2020-03-12,21,0,0,CZ_20,9,0,0
2020-03-13,23,0,0,CZ_20,2,0,0
2020-03-14,31,1,0,CZ_20,8,1,0
2020-03-15,32,1,0,CZ_20,1,0,0
2020-03-16,51,1,0,CZ_20,19,0,0
2020-03-17,61,1,0,CZ_20,10,0,0
2020-03-18,79,1,0,CZ_20,18,0,0
2020-03-19,108,1,0,CZ_20,29,0,0
2020-03-20,128,1,0,CZ_20,20,0,0
2020-03-21,131,1,0,CZ_20,3,0,0
2020-03-22,135,1,0,CZ_20,4,0,0
2020-03-23,176,2,0,CZ_20,41,1,0
2020-03-24,200,2,0,CZ_20,24,0,0
2020-03-25,214,2,1,CZ_20,14,0,1
2020-03-26,245,6,1,CZ_20,31,4,0
2020-03-27,287,9,1,CZ_20,42,3,0
2020-03-28,306,9,1,CZ_20,19,0,0
2020-03-29,319,10,2,CZ_20,13,1,1
2020-03-30,364,11,2,CZ_20,45,1,0
2020-03-31,393,11,3,CZ_20,29,0,1
2020-04-01,418,14,4,CZ_20,25,3,1
2020-04-02,443,20,5,CZ_20,25,6,1
2020-04-03,469,29,5,CZ_20,26,9,0
2020-04-04,505,29,7,CZ_20,36,0,2
2020-04-05,522,36,7,CZ_20,17,7,0
2020-04-06,564,48,7,CZ_20,42,12,0
2020-04-07,587,64,9,CZ_20,23,16,2
2020-04-08,630,77,10,CZ_20,43,13,1
2020-04-09,651,104,13,CZ_20,21,27,3
2020-04-10,687,116,15,CZ_20,36,12,2
2020-04-11,704,130,15,CZ_20,17,14,0
2020-04-12,716,144,16,CZ_20,12,14,1
2020-04-13,720,161,16,CZ_20,4,17,0
2020-04-14,731,174,17,CZ_20,11,13,1
2020-04-15,751,195,17,CZ_20,20,21,0
2020-04-16,776,229,17,CZ_20,25,34,0
2020-04-17,789,265,17,CZ_20,13,36,0
2020-04-18,797,299,17,CZ_20,8,34,0
2020-04-19,803,312,19,CZ_20,6,13,2
2020-04-20,819,354,20,CZ_20,16,42,1
2020-04-21,825,377,20,CZ_20,6,23,0
2020-04-22,837,427,20,CZ_20,12,50,0
2020-04-23,843,466,20,CZ_20,6,39,0
2020-04-24,849,509,20,CZ_20,6,43,0
2020-04-25,855,526,20,CZ_20,6,17,0
2020-04-26,862,543,20,CZ_20,7,17,0
2020-04-27,867,559,20,CZ_20,5,16,0
2020-04-28,880,576,21,CZ_20,13,17,1
2020-04-29,881,603,21,CZ_20,1,27,0
2020-04-30,886,637,22,CZ_20,5,34,1
2020-05-01,895,654,22,CZ_20,9,17,0
2020-05-02,898,667,22,CZ_20,3,13,0
2020-05-03,899,675,22,CZ_20,1,8,0
2020-05-04,901,695,22,CZ_20,2,20,0
2020-05-05,907,710,22,CZ_20,6,15,0
2020-05-06,919,728,22,CZ_20,12,18,0
2020-05-07,922,759,22,CZ_20,3,31,0
2020-05-08,927,767,23,CZ_20,5,8,1
2020-05-09,930,774,23,CZ_20,3,7,0
2020-05-10,936,778,23,CZ_20,6,4,0
2020-05-11,942,789,23,CZ_20,6,11,0
2020-05-12,945,795,23,CZ_20,3,6,0
2020-05-13,957,806,23,CZ_20,12,11,0
2020-05-14,986,815,23,CZ_20,29,9,0
2020-05-15,988,829,23,CZ_20,2,14,0
2020-05-16,993,832,23,CZ_20,5,3,0
2020-05-17,996,839,23,CZ_20,3,7,0
2020-05-18,1000,843,23,CZ_20,4,4,0
2020-05-19,1006,848,23,CZ_20,6,5,0
2020-05-20,1014,854,23,CZ_20,8,6,0
2020-05-21,1016,864,23,CZ_20,2,10,0
2020-05-22,1020,868,23,CZ_20,4,4,0
2020-05-23,1022,873,23,CZ_20,2,5,0
2020-05-24,1026,873,23,CZ_20,4,0,0
2020-05-25,1026,879,23,CZ_20,0,6,0
2020-05-26,1029,887,23,CZ_20,3,8,0
2020-05-27,1032,891,23,CZ_20,3,4,0
2020-05-28,1035,895,23,CZ_20,3,4,0
2020-05-29,1039,905,23,CZ_20,4,10,0
2020-05-30,1048,915,23,CZ_20,9,10,0
2020-05-31,1048,919,23,CZ_20,0,4,0
2020-06-01,1048,923,23,CZ_20,0,4,0
2020-06-02,1048,943,23,CZ_20,0,20,0
2020-06-03,1050,950,23,CZ_20,2,7,0
2020-06-04,1053,950,23,CZ_20,3,0,0
2020-06-05,1054,959,23,CZ_20,1,9,0
2020-06-06,1058,960,23,CZ_20,4,1,0
2020-06-07,1059,966,23,CZ_20,1,6,0
2020-06-08,1063,970,23,CZ_20,4,4,0
2020-06-09,1065,973,23,CZ_20,2,3,0
2020-06-10,1078,978,23,CZ_20,13,5,0
2020-06-11,1087,982,23,CZ_20,9,4,0
2020-06-12,1096,983,23,CZ_20,9,1,0
2020-06-13,1105,983,23,CZ_20,9,0,0
2020-06-14,1114,984,23,CZ_20,9,1,0
2020-06-15,1120,986,23,CZ_20,6,2,0
2020-06-16,1128,990,23,CZ_20,8,4,0
2020-06-17,1129,990,23,CZ_20,1,0,0
2020-06-18,1133,993,23,CZ_20,4,3,0
2020-06-19,1137,997,23,CZ_20,4,4,0
2020-06-20,1140,997,23,CZ_20,3,0,0
2020-06-21,1141,998,23,CZ_20,1,1,0
2020-03-01,0,0,0,CZ_31,,,
2020-03-02,0,0,0,CZ_31,0,0,0
2020-03-03,0,0,0,CZ_31,0,0,0
2020-03-04,0,0,0,CZ_31,0,0,0
2020-03-05,0,0,0,CZ_31,0,0,0
2020-03-06,0,0,0,CZ_31,0,0,0
2020-03-07,0,0,0,CZ_31,0,0,0
2020-03-08,0,0,0,CZ_31,0,0,0
2020-03-09,0,0,0,CZ_31,0,0,0
2020-03-10,0,0,0,CZ_31,0,0,0
2020-03-11,1,0,0,CZ_31,1,0,0
2020-03-12,1,0,0,CZ_31,0,0,0
2020-03-13,3,0,0,CZ_31,2,0,0
2020-03-14,4,0,0,CZ_31,1,0,0
2020-03-15,9,0,0,CZ_31,5,0,0
2020-03-16,11,0,0,CZ_31,2,0,0
2020-03-17,16,0,0,CZ_31,5,0,0
2020-03-18,19,0,0,CZ_31,3,0,0
2020-03-19,19,0,0,CZ_31,0,0,0
2020-03-20,29,0,0,CZ_31,10,0,0
2020-03-21,30,0,0,CZ_31,1,0,0
2020-03-22,30,0,0,CZ_31,0,0,0
2020-03-23,32,0,0,CZ_31,2,0,0
2020-03-24,35,0,0,CZ_31,3,0,0
2020-03-25,53,0,0,CZ_31,18,0,0
2020-03-26,66,0,0,CZ_31,13,0,0
2020-03-27,76,0,0,CZ_31,10,0,0
2020-03-28,79,0,0,CZ_31,3,0,0
2020-03-29,82,1,0,CZ_31,3,1,0
2020-03-30,89,2,0,CZ_31,7,1,0
2020-03-31,99,3,0,CZ_31,10,1,0
2020-04-01,105,3,0,CZ_31,6,0,0
2020-04-02,113,3,0,CZ_31,8,0,0
2020-04-03,116,3,0,CZ_31,3,0,0
2020-04-04,118,3,0,CZ_31,2,0,0
2020-04-05,118,4,0,CZ_31,0,1,0
2020-04-06,121,4,0,CZ_31,3,0,0
2020-04-07,125,5,1,CZ_31,4,1,1
2020-04-08,134,6,1,CZ_31,9,1,0
2020-04-09,136,16,1,CZ_31,2,10,0
2020-04-10,138,17,1,CZ_31,2,1,0
2020-04-11,148,22,3,CZ_31,10,5,2
2020-04-12,153,22,4,CZ_31,5,0,1
2020-04-13,154,27,4,CZ_31,1,5,0
2020-04-14,155,36,4,CZ_31,1,9,0
2020-04-15,156,44,4,CZ_31,1,8,0
2020-04-16,157,55,4,CZ_31,1,11,0
2020-04-17,158,63,5,CZ_31,1,8,1
2020-04-18,158,63,5,CZ_31,0,0,0
2020-04-19,159,63,5,CZ_31,1,0,0
2020-04-20,159,67,5,CZ_31,0,4,0
2020-04-21,161,86,5,CZ_31,2,19,0
2020-04-22,165,92,5,CZ_31,4,6,0
2020-04-23,167,99,5,CZ_31,2,7,0
2020-04-24,169,107,5,CZ_31,2,8,0
2020-04-25,169,110,5,CZ_31,0,3,0
2020-04-26,171,111,6,CZ_31,2,1,1
2020-04-27,171,115,6,CZ_31,0,4,0
2020-04-28,172,118,6,CZ_31,1,3,0
2020-04-29,172,121,6,CZ_31,0,3,0
2020-04-30,172,123,6,CZ_31,0,2,0
2020-05-01,172,125,6,CZ_31,0,2,0
2020-05-02,172,125,6,CZ_31,0,0,0
2020-05-03,172,126,6,CZ_31,0,1,0
2020-05-04,172,128,6,CZ_31,0,2,0
2020-05-05,174,134,6,CZ_31,2,6,0
2020-05-06,174,137,6,CZ_31,0,3,0
2020-05-07,177,140,6,CZ_31,3,3,0
2020-05-08,177,143,6,CZ_31,0,3,0
2020-05-09,177,145,6,CZ_31,0,2,0
2020-05-10,177,145,6,CZ_31,0,0,0
2020-05-11,177,145,6,CZ_31,0,0,0
2020-05-12,180,149,6,CZ_31,3,4,0
2020-05-13,180,153,6,CZ_31,0,4,0
2020-05-14,180,155,6,CZ_31,0,2,0
2020-05-15,180,155,6,CZ_31,0,0,0
2020-05-16,180,156,6,CZ_31,0,1,0
2020-05-17,180,156,6,CZ_31,0,0,0
2020-05-18,181,157,6,CZ_31,1,1,0
2020-05-19,181,159,6,CZ_31,0,2,0
2020-05-20,181,162,6,CZ_31,0,3,0
2020-05-21,181,163,6,CZ_31,0,1,0
2020-05-22,181,164,6,CZ_31,0,1,0
2020-05-23,181,164,6,CZ_31,0,0,0
2020-05-24,181,164,6,CZ_31,0,0,0
2020-05-25,181,164,6,CZ_31,0,0,0
2020-05-26,181,166,6,CZ_31,0,2,0
2020-05-27,182,167,6,CZ_31,1,1,0
2020-05-28,185,167,6,CZ_31,3,0,0
2020-05-29,185,169,6,CZ_31,0,2,0
2020-05-30,185,169,6,CZ_31,0,0,0
2020-05-31,185,169,6,CZ_31,0,0,0
2020-06-01,185,170,6,CZ_31,0,1,0
2020-06-02,186,170,6,CZ_31,1,0,0
2020-06-03,186,171,6,CZ_31,0,1,0
2020-06-04,186,171,6,CZ_31,0,0,0
2020-06-05,187,172,6,CZ_31,1,1,0
2020-06-06,189,172,6,CZ_31,2,0,0
2020-06-07,189,172,6,CZ_31,0,0,0
2020-06-08,189,173,6,CZ_31,0,1,0
2020-06-09,190,174,6,CZ_31,1,1,0
2020-06-10,190,174,6,CZ_31,0,0,0
2020-06-11,191,175,6,CZ_31,1,1,0
2020-06-12,191,175,6,CZ_31,0,0,0
2020-06-13,191,175,6,CZ_31,0,0,0
2020-06-14,191,175,6,CZ_31,0,0,0
2020-06-15,191,175,6,CZ_31,0,0,0
2020-06-16,191,175,6,CZ_31,0,0,0
2020-06-17,191,175,6,CZ_31,0,0,0
2020-06-18,191,177,6,CZ_31,0,2,0
2020-06-19,191,179,6,CZ_31,0,2,0
2020-06-20,191,180,6,CZ_31,0,1,0
2020-06-21,191,180,6,CZ_31,0,0,0
2020-03-01,0,0,0,CZ_32,,,
2020-03-02,0,0,0,CZ_32,0,0,0
2020-03-03,0,0,0,CZ_32,0,0,0
2020-03-04,0,0,0,CZ_32,0,0,0
2020-03-05,0,0,0,CZ_32,0,0,0
2020-03-06,0,0,0,CZ_32,0,0,0
2020-03-07,0,0,0,CZ_32,0,0,0
2020-03-08,0,0,0,CZ_32,0,0,0
2020-03-09,0,0,0,CZ_32,0,0,0
2020-03-10,0,0,0,CZ_32,0,0,0
2020-03-11,1,0,0,CZ_32,1,0,0
2020-03-12,2,0,0,CZ_32,1,0,0
2020-03-13,3,0,0,CZ_32,1,0,0
2020-03-14,5,0,0,CZ_32,2,0,0
2020-03-15,8,0,0,CZ_32,3,0,0
2020-03-16,12,0,0,CZ_32,4,0,0
2020-03-17,12,0,0,CZ_32,0,0,0
2020-03-18,17,0,0,CZ_32,5,0,0
2020-03-19,19,1,0,CZ_32,2,1,0
2020-03-20,20,1,0,CZ_32,1,0,0
2020-03-21,20,1,0,CZ_32,0,0,0
2020-03-22,22,1,0,CZ_32,2,0,0
2020-03-23,23,1,0,CZ_32,1,0,0
2020-03-24,27,1,0,CZ_32,4,0,0
2020-03-25,33,1,0,CZ_32,6,0,0
2020-03-26,34,1,0,CZ_32,1,0,0
2020-03-27,59,1,0,CZ_32,25,0,0
2020-03-28,82,1,0,CZ_32,23,0,0
2020-03-29,86,1,0,CZ_32,4,0,0
2020-03-30,122,3,0,CZ_32,36,2,0
2020-03-31,127,6,0,CZ_32,5,3,0
2020-04-01,137,14,0,CZ_32,10,8,0
2020-04-02,148,18,0,CZ_32,11,4,0
2020-04-03,173,19,2,CZ_32,25,1,2
2020-04-04,212,23,2,CZ_32,39,4,0
2020-04-05,220,23,2,CZ_32,8,0,0
2020-04-06,267,24,2,CZ_32,47,1,0
2020-04-07,281,29,2,CZ_32,14,5,0
2020-04-08,316,38,3,CZ_32,35,9,1
2020-04-09,374,44,5,CZ_32,58,6,2
2020-04-10,381,51,5,CZ_32,7,7,0
2020-04-11,399,61,6,CZ_32,18,10,1
2020-04-12,428,70,7,CZ_32,29,9,1
2020-04-13,438,83,7,CZ_32,10,13,0
2020-04-14,464,89,8,CZ_32,26,6,1
2020-04-15,484,100,8,CZ_32,20,11,0
2020-04-16,489,116,8,CZ_32,5,16,0
2020-04-17,496,127,8,CZ_32,7,11,0
2020-04-18,513,137,8,CZ_32,17,10,0
2020-04-19,524,145,8,CZ_32,11,8,0
2020-04-20,534,163,8,CZ_32,10,18,0
2020-04-21,545,171,8,CZ_32,11,8,0
2020-04-22,553,184,8,CZ_32,8,13,0
2020-04-23,560,209,8,CZ_32,7,25,0
2020-04-24,567,228,8,CZ_32,7,19,0
2020-04-25,574,251,8,CZ_32,7,23,0
2020-04-26,578,267,8,CZ_32,4,16,0
2020-04-27,585,283,8,CZ_32,7,16,0
2020-04-28,587,300,9,CZ_32,2,17,1
2020-04-29,591,324,9,CZ_32,4,24,0
2020-04-30,596,342,9,CZ_32,5,18,0
2020-05-01,600,354,10,CZ_32,4,12,1
2020-05-02,604,377,10,CZ_32,4,23,0
2020-05-03,605,388,10,CZ_32,1,11,0
2020-05-04,609,396,11,CZ_32,4,8,1
2020-05-05,619,408,12,CZ_32,10,12,1
2020-05-06,622,422,13,CZ_32,3,14,1
2020-05-07,630,435,13,CZ_32,8,13,0
2020-05-08,632,445,13,CZ_32,2,10,0
2020-05-09,632,460,13,CZ_32,0,15,0
2020-05-10,635,466,13,CZ_32,3,6,0
2020-05-11,635,471,14,CZ_32,0,5,1
2020-05-12,635,483,14,CZ_32,0,12,0
2020-05-13,635,495,16,CZ_32,0,12,2
2020-05-14,638,501,16,CZ_32,3,6,0
2020-05-15,644,503,16,CZ_32,6,2,0
2020-05-16,646,510,16,CZ_32,2,7,0
2020-05-17,646,516,17,CZ_32,0,6,1
2020-05-18,646,523,17,CZ_32,0,7,0
2020-05-19,648,529,17,CZ_32,2,6,0
2020-05-20,650,541,17,CZ_32,2,12,0
2020-05-21,653,544,17,CZ_32,3,3,0
2020-05-22,653,560,17,CZ_32,0,16,0
2020-05-23,653,563,17,CZ_32,0,3,0
2020-05-24,653,567,17,CZ_32,0,4,0
2020-05-25,654,581,17,CZ_32,1,14,0
2020-05-26,655,584,17,CZ_32,1,3,0
2020-05-27,655,588,17,CZ_32,0,4,0
2020-05-28,658,591,17,CZ_32,3,3,0
2020-05-29,658,599,17,CZ_32,0,8,0
2020-05-30,658,600,17,CZ_32,0,1,0
2020-05-31,658,601,17,CZ_32,0,1,0
2020-06-01,658,602,17,CZ_32,0,1,0
2020-06-02,658,604,17,CZ_32,0,2,0
2020-06-03,658,611,17,CZ_32,0,7,0
2020-06-04,658,611,17,CZ_32,0,0,0
2020-06-05,659,613,17,CZ_32,1,2,0
2020-06-06,659,613,17,CZ_32,0,0,0
2020-06-07,659,614,17,CZ_32,0,1,0
2020-06-08,659,619,17,CZ_32,0,5,0
2020-06-09,659,620,17,CZ_32,0,1,0
2020-06-10,659,621,17,CZ_32,0,1,0
2020-06-11,659,621,17,CZ_32,0,0,0
2020-06-12,659,625,17,CZ_32,0,4,0
2020-06-13,659,625,17,CZ_32,0,0,0
2020-06-14,659,626,17,CZ_32,0,1,0
2020-06-15,659,628,17,CZ_32,0,2,0
2020-06-16,660,629,17,CZ_32,1,1,0
2020-06-17,660,629,17,CZ_32,0,0,0
2020-06-18,660,630,17,CZ_32,0,1,0
2020-06-19,664,630,17,CZ_32,4,0,0
2020-06-20,664,630,17,CZ_32,0,0,0
2020-06-21,664,630,17,CZ_32,0,0,0
2020-03-01,0,0,0,CZ_41,,,
2020-03-02,0,0,0,CZ_41,0,0,0
2020-03-03,0,0,0,CZ_41,0,0,0
2020-03-04,0,0,0,CZ_41,0,0,0
2020-03-05,0,0,0,CZ_41,0,0,0
2020-03-06,0,0,0,CZ_41,0,0,0
2020-03-07,0,0,0,CZ_41,0,0,0
2020-03-08,0,0,0,CZ_41,0,0,0
2020-03-09,0,0,0,CZ_41,0,0,0
2020-03-10,0,0,0,CZ_41,0,0,0
2020-03-11,1,0,0,CZ_41,1,0,0
2020-03-12,1,0,0,CZ_41,0,0,0
2020-03-13,1,0,0,CZ_41,0,0,0
2020-03-14,1,0,0,CZ_41,0,0,0
2020-03-15,9,0,0,CZ_41,8,0,0
2020-03-16,17,0,0,CZ_41,8,0,0
2020-03-17,19,0,0,CZ_41,2,0,0
2020-03-18,21,0,0,CZ_41,2,0,0
2020-03-19,27,0,0,CZ_41,6,0,0
2020-03-20,29,0,0,CZ_41,2,0,0
2020-03-21,38,0,0,CZ_41,9,0,0
2020-03-22,40,0,0,CZ_41,2,0,0
2020-03-23,43,0,0,CZ_41,3,0,0
2020-03-24,49,0,0,CZ_41,6,0,0
2020-03-25,59,0,0,CZ_41,10,0,0
2020-03-26,66,0,0,CZ_41,7,0,0
2020-03-27,70,0,0,CZ_41,4,0,0
2020-03-28,80,1,1,CZ_41,10,1,1
2020-03-29,87,3,1,CZ_41,7,2,0
2020-03-30,90,5,1,CZ_41,3,2,0
2020-03-31,101,7,2,CZ_41,11,2,1
2020-04-01,104,9,3,CZ_41,3,2,1
2020-04-02,112,10,3,CZ_41,8,1,0
2020-04-03,127,11,3,CZ_41,15,1,0
2020-04-04,139,11,3,CZ_41,12,0,0
2020-04-05,148,16,5,CZ_41,9,5,2
2020-04-06,159,17,6,CZ_41,11,1,1
2020-04-07,168,18,7,CZ_41,9,1,1
2020-04-08,175,20,7,CZ_41,7,2,0
2020-04-09,177,26,8,CZ_41,2,6,1
2020-04-10,188,32,8,CZ_41,11,6,0
2020-04-11,190,37,8,CZ_41,2,5,0
2020-04-12,197,42,9,CZ_41,7,5,1
2020-04-13,199,43,11,CZ_41,2,1,2
2020-04-14,205,48,11,CZ_41,6,5,0
2020-04-15,215,49,11,CZ_41,10,1,0
2020-04-16,218,54,11,CZ_41,3,5,0
2020-04-17,225,75,15,CZ_41,7,21,4
2020-04-18,228,82,15,CZ_41,3,7,0
2020-04-19,239,84,16,CZ_41,11,2,1
2020-04-20,249,93,16,CZ_41,10,9,0
2020-04-21,263,98,16,CZ_41,14,5,0
2020-04-22,277,105,17,CZ_41,14,7,1
2020-04-23,288,116,17,CZ_41,11,11,0
2020-04-24,311,122,17,CZ_41,23,6,0
2020-04-25,344,126,18,CZ_41,33,4,1
2020-04-26,349,132,20,CZ_41,5,6,2
2020-04-27,352,143,20,CZ_41,3,11,0
2020-04-28,356,151,20,CZ_41,4,8,0
2020-04-29,358,159,20,CZ_41,2,8,0
2020-04-30,364,166,20,CZ_41,6,7,0
2020-05-01,371,170,21,CZ_41,7,4,1
2020-05-02,373,179,21,CZ_41,2,9,0
2020-05-03,377,183,22,CZ_41,4,4,1
2020-05-04,383,196,22,CZ_41,6,13,0
2020-05-05,404,197,22,CZ_41,21,1,0
2020-05-06,410,206,23,CZ_41,6,9,1
2020-05-07,414,215,24,CZ_41,4,9,1
2020-05-08,420,222,25,CZ_41,6,7,1
2020-05-09,421,229,27,CZ_41,1,7,2
2020-05-10,422,243,27,CZ_41,1,14,0
2020-05-11,426,254,27,CZ_41,4,11,0
2020-05-12,428,258,30,CZ_41,2,4,3
2020-05-13,429,260,30,CZ_41,1,2,0
2020-05-14,430,265,31,CZ_41,1,5,1
2020-05-15,431,265,32,CZ_41,1,0,1
2020-05-16,431,268,32,CZ_41,0,3,0
2020-05-17,431,289,32,CZ_41,0,21,0
2020-05-18,434,293,33,CZ_41,3,4,1
2020-05-19,435,296,33,CZ_41,1,3,0
2020-05-20,441,305,35,CZ_41,6,9,2
2020-05-21,442,311,35,CZ_41,1,6,0
2020-05-22,443,315,35,CZ_41,1,4,0
2020-05-23,447,318,35,CZ_41,4,3,0
2020-05-24,448,320,35,CZ_41,1,2,0
2020-05-25,448,324,36,CZ_41,0,4,1
2020-05-26,448,329,36,CZ_41,0,5,0
2020-05-27,448,339,36,CZ_41,0,10,0
2020-05-28,448,341,37,CZ_41,0,2,1
2020-05-29,449,343,37,CZ_41,1,2,0
2020-05-30,449,344,37,CZ_41,0,1,0
2020-05-31,449,346,37,CZ_41,0,2,0
2020-06-01,449,346,37,CZ_41,0,0,0
2020-06-02,451,348,37,CZ_41,2,2,0
2020-06-03,453,352,37,CZ_41,2,4,0
2020-06-04,461,357,37,CZ_41,8,5,0
2020-06-05,467,361,37,CZ_41,6,4,0
2020-06-06,468,363,37,CZ_41,1,2,0
