date,country_code,match_string,new_confirmed,new_deceased,total_confirmed,total_deceased,key
2020-04-27,JP,京都,15,1,309,9,JP_26
2020-04-28,JP,京都,4,,313,9,JP_26
2020-04-29,JP,京都,4,1,317,10,JP_26
2020-04-30,JP,京都,3,,320,10,JP_26
2020-05-01,JP,京都,4,1,324,11,JP_26
2020-05-02,JP,京都,5,1,329,12,JP_26
2020-05-03,JP,京都,2,,331,12,JP_26
2020-05-04,JP,京都,3,,334,12,JP_26
2020-05-05,JP,京都,4,1,338,13,JP_26
2020-05-06,JP,京都,3,,341,13,JP_26
2020-05-07,JP,京都,6,,347,13,JP_26
2020-05-08,JP,京都,1,,348,13,JP_26
2020-05-09,JP,京都,4,,352,13,JP_26
2020-05-12,JP,京都,4,,356,13,JP_26
2020-05-13,JP,京都,1,,357,13,JP_26
2020-05-14,JP,京都,1,,358,13,JP_26
2020-05-16,JP,京都,,1,358,14,JP_26
2020-05-24,JP,京都,,1,358,15,JP_26
2020-05-26,JP,京都,,1,358,16,JP_26
2020-05-28,JP,京都,,1,358,17,JP_26
2020-06-04,JP,京都,,1,358,18,JP_26
2020-06-06,JP,京都,1,,359,18,JP_26
2020-06-09,JP,京都,1,,360,18,JP_26
2020-06-16,JP,京都,3,,363,18,JP_26
2020-03-13,JP,佐賀,1,,1,0,JP_41
2020-03-31,JP,佐賀,1,,2,0,JP_41
2020-04-01,JP,佐賀,1,,3,0,JP_41
2020-04-03,JP,佐賀,2,,5,0,JP_41
2020-04-04,JP,佐賀,1,,6,0,JP_41
2020-04-05,JP,佐賀,2,,8,0,JP_41
2020-04-07,JP,佐賀,3,,11,0,JP_41
2020-04-09,JP,佐賀,1,,12,0,JP_41
2020-04-11,JP,佐賀,1,,13,0,JP_41
2020-04-14,JP,佐賀,2,,15,0,JP_41
2020-04-17,JP,佐賀,1,,16,0,JP_41
2020-04-19,JP,佐賀,1,,17,0,JP_41
2020-04-22,JP,佐賀,2,,19,0,JP_41
2020-04-23,JP,佐賀,9,,28,0,JP_41
2020-04-24,JP,佐賀,8,,36,0,JP_41
2020-04-25,JP,佐賀,1,,37,0,JP_41
2020-04-28,JP,佐賀,1,,38,0,JP_41
2020-04-29,JP,佐賀,3,,41,0,JP_41
2020-05-01,JP,佐賀,1,,42,0,JP_41
2020-05-03,JP,佐賀,2,,44,0,JP_41
2020-05-04,JP,佐賀,1,,45,0,JP_41
2020-03-01,JP,兵庫,1,,1,0,JP_28
2020-03-03,JP,兵庫,2,,3,0,JP_28
2020-03-05,JP,兵庫,1,,4,0,JP_28
2020-03-06,JP,兵庫,4,,8,0,JP_28
2020-03-07,JP,兵庫,2,,10,0,JP_28
2020-03-08,JP,兵庫,2,,12,0,JP_28
2020-03-09,JP,兵庫,4,,16,0,JP_28
2020-03-10,JP,兵庫,8,,24,0,JP_28
2020-03-11,JP,兵庫,13,1,37,1,JP_28
2020-03-12,JP,兵庫,9,,46,1,JP_28
2020-03-13,JP,兵庫,10,,56,1,JP_28
2020-03-14,JP,兵庫,11,,67,1,JP_28
2020-03-15,JP,兵庫,11,,78,1,JP_28
2020-03-16,JP,兵庫,4,1,82,2,JP_28
2020-03-17,JP,兵庫,4,,86,2,JP_28
2020-03-18,JP,兵庫,5,1,91,3,JP_28
2020-03-19,JP,兵庫,2,1,93,4,JP_28
2020-03-20,JP,兵庫,8,,101,4,JP_28
2020-03-21,JP,兵庫,6,,107,4,JP_28
2020-03-22,JP,兵庫,4,2,111,6,JP_28
2020-03-23,JP,兵庫,2,,113,6,JP_28
2020-03-24,JP,兵庫,5,,118,6,JP_28
2020-03-25,JP,兵庫,1,,119,6,JP_28
2020-03-26,JP,兵庫,1,1,120,7,JP_28
2020-03-27,JP,兵庫,3,2,123,9,JP_28
2020-03-28,JP,兵庫,3,1,126,10,JP_28
2020-03-29,JP,兵庫,7,,133,10,JP_28
2020-03-30,JP,兵庫,4,1,137,11,JP_28
2020-03-31,JP,兵庫,11,,148,11,JP_28
2020-04-01,JP,兵庫,14,,162,11,JP_28
2020-04-02,JP,兵庫,7,,169,11,JP_28
2020-04-03,JP,兵庫,6,,175,11,JP_28
2020-04-04,JP,兵庫,15,,190,11,JP_28
2020-04-05,JP,兵庫,13,,203,11,JP_28
2020-04-06,JP,兵庫,6,1,209,12,JP_28
2020-04-07,JP,兵庫,20,,229,12,JP_28
2020-04-08,JP,兵庫,19,,248,12,JP_28
2020-04-09,JP,兵庫,39,1,287,13,JP_28
2020-04-10,JP,兵庫,29,,316,13,JP_28
2020-04-11,JP,兵庫,42,1,358,14,JP_28
2020-04-12,JP,兵庫,17,,375,14,JP_28
2020-04-13,JP,兵庫,9,1,384,15,JP_28
2020-04-14,JP,兵庫,19,,403,15,JP_28
2020-04-15,JP,兵庫,20,,423,15,JP_28
2020-04-16,JP,兵庫,31,1,454,16,JP_28
2020-04-17,JP,兵庫,27,1,481,17,JP_28
2020-04-18,JP,兵庫,21,,502,17,JP_28
2020-04-19,JP,兵庫,11,2,513,19,JP_28
2020-04-20,JP,兵庫,11,3,524,22,JP_28
2020-04-21,JP,兵庫,19,,543,22,JP_28
2020-04-22,JP,兵庫,17,,560,22,JP_28
2020-04-23,JP,兵庫,20,,580,22,JP_28
2020-04-24,JP,兵庫,25,1,605,23,JP_28
2020-04-25,JP,兵庫,15,1,620,24,JP_28
2020-04-26,JP,兵庫,9,,629,24,JP_28
2020-04-27,JP,兵庫,1,,630,24,JP_28
2020-04-28,JP,兵庫,7,3,637,27,JP_28
2020-04-29,JP,兵庫,6,,643,27,JP_28
2020-04-30,JP,兵庫,3,,646,27,JP_28
2020-05-01,JP,兵庫,5,,651,27,JP_28
2020-05-02,JP,兵庫,4,1,655,28,JP_28
2020-05-03,JP,兵庫,12,,667,28,JP_28
2020-05-04,JP,兵庫,,1,667,29,JP_28
2020-05-05,JP,兵庫,6,1,673,30,JP_28
2020-05-06,JP,兵庫,3,,676,30,JP_28
2020-05-07,JP,兵庫,3,2,679,32,JP_28
2020-05-08,JP,兵庫,1,,680,32,JP_28
2020-05-09,JP,兵庫,8,2,688,34,JP_28
2020-05-10,JP,兵庫,5,,693,34,JP_28
2020-05-11,JP,兵庫,1,,694,34,JP_28
2020-05-12,JP,兵庫,,1,694,35,JP_28
2020-05-13,JP,兵庫,3,2,697,37,JP_28
2020-05-14,JP,兵庫,1,,698,37,JP_28
2020-05-15,JP,兵庫,,1,698,38,JP_28
2020-05-16,JP,兵庫,1,,699,38,JP_28
2020-05-22,JP,兵庫,,2,699,40,JP_28
2020-05-28,JP,兵庫,,1,699,41,JP_28
2020-05-29,JP,兵庫,,1,699,42,JP_28
2020-06-08,JP,兵庫,,1,699,43,JP_28
2020-01-28,JP,北海道,1,,1,0,JP_01
2020-02-14,JP,北海道,1,,2,0,JP_01
2020-02-19,JP,北海道,2,,4,0,JP_01
2020-02-20,JP,北海道,1,,5,0,JP_01
2020-02-21,JP,北海道,3,,8,0,JP_01
2020-02-22,JP,北海道,9,,17,0,JP_01
2020-02-23,JP,北海道,9,,26,0,JP_01
2020-02-24,JP,北海道,4,,30,0,JP_01
2020-02-25,JP,北海道,5,,35,0,JP_01
2020-02-26,JP,北海道,4,1,39,1,JP_01
2020-02-27,JP,北海道,15,1,54,2,JP_01
2020-02-28,JP,北海道,12,,66,2,JP_01
2020-02-29,JP,北海道,4,,70,2,JP_01
2020-03-01,JP,北海道,2,1,72,3,JP_01
2020-03-02,JP,北海道,5,,77,3,JP_01
2020-03-03,JP,北海道,2,,79,3,JP_01
2020-03-04,JP,北海道,3,,82,3,JP_01
2020-03-05,JP,北海道,1,,83,3,JP_01
2020-03-06,JP,北海道,7,,90,3,JP_01
2020-03-07,JP,北海道,8,,98,3,JP_01
2020-03-08,JP,北海道,3,,101,3,JP_01
2020-03-09,JP,北海道,7,,108,3,JP_01
2020-03-10,JP,北海道,3,,111,3,JP_01
2020-03-11,JP,北海道,7,,118,3,JP_01
2020-03-12,JP,北海道,10,1,128,4,JP_01
2020-03-13,JP,北海道,9,,137,4,JP_01
2020-03-14,JP,北海道,7,,144,4,JP_01
2020-03-15,JP,北海道,4,1,148,5,JP_01
2020-03-16,JP,北海道,4,1,152,6,JP_01
2020-03-18,JP,北海道,2,,154,6,JP_01
2020-03-19,JP,北海道,3,,157,6,JP_01
2020-03-20,JP,北海道,1,,158,6,JP_01
2020-03-21,JP,北海道,1,,159,6,JP_01
2020-03-22,JP,北海道,3,,162,6,JP_01
2020-03-24,JP,北海道,1,,163,6,JP_01
2020-03-25,JP,北海道,4,1,167,7,JP_01
2020-03-26,JP,北海道,1,,168,7,JP_01
2020-03-27,JP,北海道,1,,169,7,JP_01
2020-03-28,JP,北海道,2,,171,7,JP_01
2020-03-29,JP,北海道,4,,175,7,JP_01
2020-03-30,JP,北海道,1,,176,7,JP_01
2020-04-01,JP,北海道,4,,180,7,JP_01
2020-04-02,JP,北海道,3,1,183,8,JP_01
2020-04-03,JP,北海道,5,,188,8,JP_01
2020-04-04,JP,北海道,3,,191,8,JP_01
2020-04-06,JP,北海道,,1,191,9,JP_01
2020-04-07,JP,北海道,4,,195,9,JP_01
2020-04-08,JP,北海道,10,,205,9,JP_01
2020-04-09,JP,北海道,18,1,223,10,JP_01
2020-04-10,JP,北海道,13,,236,10,JP_01
2020-04-11,JP,北海道,16,,252,10,JP_01
2020-04-12,JP,北海道,12,1,264,11,JP_01
2020-04-13,JP,北海道,5,,269,11,JP_01
2020-04-14,JP,北海道,18,2,287,13,JP_01
2020-04-15,JP,北海道,23,1,310,14,JP_01
2020-04-16,JP,北海道,22,,332,14,JP_01
2020-04-17,JP,北海道,32,2,364,16,JP_01
2020-04-18,JP,北海道,38,2,402,18,JP_01
2020-04-19,JP,北海道,27,,429,18,JP_01
2020-04-20,JP,北海道,17,3,446,21,JP_01
2020-04-21,JP,北海道,22,2,468,23,JP_01
2020-04-22,JP,北海道,22,2,490,25,JP_01
2020-04-23,JP,北海道,45,,535,25,JP_01
2020-04-24,JP,北海道,22,,557,25,JP_01
2020-04-25,JP,北海道,39,,596,25,JP_01
2020-04-26,JP,北海道,14,,610,25,JP_01
2020-04-27,JP,北海道,35,1,645,26,JP_01
2020-04-28,JP,北海道,38,1,683,27,JP_01
2020-04-29,JP,北海道,38,,721,27,JP_01
2020-04-30,JP,北海道,41,2,762,29,JP_01
2020-05-01,JP,北海道,23,8,785,37,JP_01
2020-05-02,JP,北海道,33,3,818,40,JP_01
2020-05-03,JP,北海道,25,1,843,41,JP_01
2020-05-04,JP,北海道,31,2,874,43,JP_01
2020-05-05,JP,北海道,11,2,885,45,JP_01
2020-05-06,JP,北海道,22,1,907,46,JP_01
2020-05-07,JP,北海道,14,1,921,47,JP_01
2020-05-08,JP,北海道,6,1,927,48,JP_01
2020-05-09,JP,北海道,11,3,938,51,JP_01
2020-05-10,JP,北海道,9,5,947,56,JP_01
2020-05-11,JP,北海道,10,6,957,62,JP_01
2020-05-12,JP,北海道,13,6,970,68,JP_01
2020-05-13,JP,北海道,4,2,974,70,JP_01
2020-05-14,JP,北海道,6,2,980,72,JP_01
2020-05-15,JP,北海道,8,1,988,73,JP_01
2020-05-16,JP,北海道,7,1,995,74,JP_01
2020-05-17,JP,北海道,7,1,1002,75,JP_01
2020-05-18,JP,北海道,1,1,1003,76,JP_01
2020-05-19,JP,北海道,3,1,1006,77,JP_01
2020-05-20,JP,北海道,1,,1007,77,JP_01
2020-05-21,JP,北海道,5,1,1012,78,JP_01
2020-05-22,JP,北海道,5,,1017,78,JP_01
2020-05-23,JP,北海道,8,1,1025,79,JP_01
2020-05-24,JP,北海道,15,2,1040,81,JP_01
2020-05-25,JP,北海道,3,2,1043,83,JP_01
2020-05-26,JP,北海道,9,1,1052,84,JP_01
2020-05-27,JP,北海道,5,1,1057,85,JP_01
2020-05-28,JP,北海道,6,1,1063,86,JP_01
2020-05-29,JP,北海道,3,,1066,86,JP_01
2020-05-30,JP,北海道,4,,1070,86,JP_01
2020-05-31,JP,北海道,4,,1074,86,JP_01
2020-06-01,JP,北海道,5,1,1079,87,JP_01
2020-06-02,JP,北海道,3,,1082,87,JP_01
2020-06-03,JP,北海道,3,1,1085,88,JP_01
2020-06-04,JP,北海道,3,2,1088,90,JP_01
2020-06-05,JP,北海道,4,,1092,90,JP_01
2020-06-06,JP,北海道,8,,1100,90,JP_01
2020-06-07,JP,北海道,4,,1104,90,JP_01
2020-06-08,JP,北海道,4,1,1108,91,JP_01
2020-06-09,JP,北海道,7,,1115,91,JP_01
2020-06-10,JP,北海道,5,,1120,91,JP_01
2020-06-11,JP,北海道,7,,1127,91,JP_01
2020-06-12,JP,北海道,10,,1137,91,JP_01
2020-06-13,JP,北海道,9,,1146,91,JP_01
2020-06-14,JP,北海道,7,,1153,91,JP_01
2020-06-15,JP,北海道,6,,1159,91,JP_01
2020-06-16,JP,北海道,2,1,1161,92,JP_01
2020-06-17,JP,北海道,6,,1167,92,JP_01
2020-01-31,JP,千葉,1,,1,0,JP_12
2020-02-04,JP,千葉,1,,2,0,JP_12
2020-02-05,JP,千葉,1,,3,0,JP_12
2020-02-13,JP,千葉,1,,4,0,JP_12
2020-02-20,JP,千葉,1,,5,0,JP_12
2020-02-21,JP,千葉,1,,6,0,JP_12
2020-02-22,JP,千葉,3,,9,0,JP_12
2020-02-23,JP,千葉,1,,10,0,JP_12
2020-02-26,JP,千葉,3,,13,0,JP_12
2020-03-01,JP,千葉,1,,14,0,JP_12
2020-03-04,JP,千葉,1,,15,0,JP_12
2020-03-06,JP,千葉,2,,17,0,JP_12
2020-03-07,JP,千葉,4,,21,0,JP_12
2020-03-09,JP,千葉,1,,22,0,JP_12
2020-03-10,JP,千葉,1,,23,0,JP_12
2020-03-11,JP,千葉,2,,25,0,JP_12
2020-03-12,JP,千葉,2,,27,0,JP_12
2020-03-13,JP,千葉,2,,29,0,JP_12
2020-03-14,JP,千葉,2,,31,0,JP_12
2020-03-18,JP,千葉,2,,33,0,JP_12
2020-03-19,JP,千葉,3,,36,0,JP_12
2020-03-20,JP,千葉,5,,41,0,JP_12
2020-03-21,JP,千葉,1,,42,0,JP_12
2020-03-22,JP,千葉,2,,44,0,JP_12
2020-03-23,JP,千葉,3,,47,0,JP_12
2020-03-24,JP,千葉,1,,48,0,JP_12
2020-03-25,JP,千葉,5,,53,0,JP_12
2020-03-26,JP,千葉,3,,56,0,JP_12
2020-03-27,JP,千葉,8,,64,0,JP_12
2020-03-28,JP,千葉,61,1,125,1,JP_12
2020-03-29,JP,千葉,33,,158,1,JP_12
2020-03-31,JP,千葉,13,,171,1,JP_12
2020-04-01,JP,千葉,14,,185,1,JP_12
2020-04-02,JP,千葉,5,,190,1,JP_12
2020-04-03,JP,千葉,20,,210,1,JP_12
2020-04-04,JP,千葉,26,,236,1,JP_12
2020-04-05,JP,千葉,26,,262,1,JP_12
2020-04-06,JP,千葉,18,,280,1,JP_12
2020-04-07,JP,千葉,13,,293,1,JP_12
2020-04-08,JP,千葉,34,,327,1,JP_12
2020-04-09,JP,千葉,30,,357,1,JP_12
2020-04-10,JP,千葉,33,1,390,2,JP_12
2020-04-11,JP,千葉,36,2,426,4,JP_12
2020-04-12,JP,千葉,44,1,470,5,JP_12
2020-04-13,JP,千葉,19,,489,5,JP_12
2020-04-14,JP,千葉,16,1,505,6,JP_12
2020-04-15,JP,千葉,35,1,540,7,JP_12
2020-04-16,JP,千葉,58,,598,7,JP_12
2020-04-17,JP,千葉,35,1,633,8,JP_12
2020-04-18,JP,千葉,34,2,667,10,JP_12
2020-04-19,JP,千葉,18,1,685,11,JP_12
2020-04-20,JP,千葉,22,,707,11,JP_12
2020-04-21,JP,千葉,21,2,728,13,JP_12
2020-04-22,JP,千葉,20,3,748,16,JP_12
2020-04-23,JP,千葉,24,2,772,18,JP_12
2020-04-24,JP,千葉,18,3,790,21,JP_12
2020-04-25,JP,千葉,8,1,798,22,JP_12
2020-04-26,JP,千葉,8,4,806,26,JP_12
2020-04-27,JP,千葉,7,3,813,29,JP_12
2020-04-28,JP,千葉,8,2,821,31,JP_12
2020-04-29,JP,千葉,4,,825,31,JP_12
2020-04-30,JP,千葉,9,1,834,32,JP_12
2020-05-01,JP,千葉,6,2,840,34,JP_12
2020-05-02,JP,千葉,6,,846,34,JP_12
2020-05-03,JP,千葉,5,,851,34,JP_12
2020-05-04,JP,千葉,5,,856,34,JP_12
2020-05-05,JP,千葉,1,2,857,36,JP_12
2020-05-06,JP,千葉,2,1,859,37,JP_12
2020-05-07,JP,千葉,5,1,864,38,JP_12
2020-05-08,JP,千葉,3,,867,38,JP_12
2020-05-09,JP,千葉,3,1,870,39,JP_12
2020-05-10,JP,千葉,,1,870,40,JP_12
2020-05-11,JP,千葉,3,,873,40,JP_12
2020-05-12,JP,千葉,3,,876,40,JP_12
2020-05-13,JP,千葉,2,,878,40,JP_12
2020-05-15,JP,千葉,2,2,880,42,JP_12
2020-05-16,JP,千葉,8,,888,42,JP_12
2020-05-18,JP,千葉,2,,890,42,JP_12
2020-05-20,JP,千葉,1,,891,42,JP_12
2020-05-21,JP,千葉,3,2,894,44,JP_12
2020-05-27,JP,千葉,1,,895,44,JP_12
2020-05-28,JP,千葉,1,1,896,45,JP_12
2020-05-30,JP,千葉,1,,897,45,JP_12
2020-05-31,JP,千葉,1,,898,45,JP_12
2020-06-02,JP,千葉,1,,899,45,JP_12
2020-06-03,JP,千葉,1,,900,45,JP_12
2020-06-05,JP,千葉,1,,901,45,JP_12
2020-06-07,JP,千葉,3,,904,45,JP_12
2020-06-09,JP,千葉,3,,907,45,JP_12
2020-06-10,JP,千葉,2,,909,45,JP_12
2020-06-11,JP,千葉,3,,912,45,JP_12
2020-06-12,JP,千葉,3,,915,45,JP_12
2020-06-13,JP,千葉,1,,916,45,JP_12
2020-06-17,JP,千葉,1,,917,45,JP_12
2020-02-13,JP,和歌山,1,,1,0,JP_30
2020-02-14,JP,和歌山,1,,2,0,JP_30
2020-02-15,JP,和歌山,3,,5,0,JP_30
2020-02-17,JP,和歌山,4,,9,0,JP_30
2020-02-18,JP,和歌山,3,,12,0,JP_30
2020-02-22,JP,和歌山,1,,13,0,JP_30
2020-02-28,JP,和歌山,,1,13,1,JP_30
2020-03-05,JP,和歌山,1,,14,1,JP_30
2020-03-15,JP,和歌山,1,,15,1,JP_30
2020-03-19,JP,和歌山,2,,17,1,JP_30
2020-03-30,JP,和歌山,1,,18,1,JP_30
2020-04-01,JP,和歌山,1,,19,1,JP_30
2020-04-02,JP,和歌山,2,,21,1,JP_30
2020-04-03,JP,和歌山,1,,22,1,JP_30
2020-04-05,JP,和歌山,2,,24,1,JP_30
2020-04-06,JP,和歌山,5,,29,1,JP_30
2020-04-07,JP,和歌山,2,,31,1,JP_30
2020-04-08,JP,和歌山,3,,34,1,JP_30
2020-04-09,JP,和歌山,3,,37,1,JP_30
2020-04-10,JP,和歌山,1,,38,1,JP_30
2020-04-12,JP,和歌山,1,,39,1,JP_30
2020-04-14,JP,和歌山,1,,40,1,JP_30
2020-04-15,JP,和歌山,2,,42,1,JP_30
2020-04-16,JP,和歌山,1,,43,1,JP_30
2020-04-17,JP,和歌山,1,,44,1,JP_30
2020-04-18,JP,和歌山,1,,45,1,JP_30
2020-04-21,JP,和歌山,2,,47,1,JP_30
2020-04-22,JP,和歌山,2,,49,1,JP_30
2020-04-23,JP,和歌山,1,,50,1,JP_30
2020-04-24,JP,和歌山,2,,52,1,JP_30
2020-04-25,JP,和歌山,5,,57,1,JP_30
2020-04-26,JP,和歌山,1,,58,1,JP_30
2020-04-27,JP,和歌山,1,,59,1,JP_30
2020-04-28,JP,和歌山,1,1,60,2,JP_30
2020-04-30,JP,和歌山,2,,62,2,JP_30
2020-05-11,JP,和歌山,,1,62,3,JP_30
2020-05-12,JP,和歌山,1,,63,3,JP_30
2020-02-21,JP,埼玉,1,,1,0,JP_11
2020-03-05,JP,埼玉,2,,3,0,JP_11
2020-03-06,JP,埼玉,3,,6,0,JP_11
2020-03-08,JP,埼玉,1,,7,0,JP_11
2020-03-10,JP,埼玉,5,,12,0,JP_11
2020-03-11,JP,埼玉,2,,14,0,JP_11
2020-03-12,JP,埼玉,6,,20,0,JP_11
2020-03-13,JP,埼玉,2,,22,0,JP_11
2020-03-14,JP,埼玉,7,,29,0,JP_11
2020-03-17,JP,埼玉,4,,33,0,JP_11
2020-03-18,JP,埼玉,1,,34,0,JP_11
2020-03-19,JP,埼玉,4,,38,0,JP_11
2020-03-20,JP,埼玉,3,,41,0,JP_11
2020-03-21,JP,埼玉,3,,44,0,JP_11
2020-03-22,JP,埼玉,6,1,50,1,JP_11
2020-03-23,JP,埼玉,1,,51,1,JP_11
2020-03-24,JP,埼玉,7,,58,1,JP_11
2020-03-25,JP,埼玉,1,,59,1,JP_11
2020-03-26,JP,埼玉,7,,66,1,JP_11
2020-03-27,JP,埼玉,6,1,72,2,JP_11
2020-03-28,JP,埼玉,6,,78,2,JP_11
2020-03-29,JP,埼玉,5,,83,2,JP_11
2020-03-30,JP,埼玉,1,,84,2,JP_11
2020-03-31,JP,埼玉,15,,99,2,JP_11
2020-04-01,JP,埼玉,4,1,103,3,JP_11
2020-04-02,JP,埼玉,14,,117,3,JP_11
2020-04-03,JP,埼玉,17,,134,3,JP_11
2020-04-04,JP,埼玉,25,,159,3,JP_11
2020-04-05,JP,埼玉,25,,184,3,JP_11
2020-04-06,JP,埼玉,14,1,198,4,JP_11
2020-04-07,JP,埼玉,17,,215,4,JP_11
2020-04-08,JP,埼玉,34,1,249,5,JP_11
2020-04-09,JP,埼玉,35,,284,5,JP_11
2020-04-10,JP,埼玉,53,1,337,6,JP_11
2020-04-11,JP,埼玉,37,,374,6,JP_11
2020-04-12,JP,埼玉,40,,414,6,JP_11
2020-04-13,JP,埼玉,15,1,429,7,JP_11
2020-04-14,JP,埼玉,22,2,451,9,JP_11
2020-04-15,JP,埼玉,61,1,512,10,JP_11
2020-04-16,JP,埼玉,51,2,563,12,JP_11
2020-04-17,JP,埼玉,26,1,589,13,JP_11
2020-04-18,JP,埼玉,37,,626,13,JP_11
2020-04-19,JP,埼玉,37,,663,13,JP_11
2020-04-20,JP,埼玉,12,,675,13,JP_11
2020-04-21,JP,埼玉,10,2,685,15,JP_11
2020-04-22,JP,埼玉,39,1,724,16,JP_11
2020-04-23,JP,埼玉,33,7,757,23,JP_11
2020-04-24,JP,埼玉,18,,775,23,JP_11
2020-04-25,JP,埼玉,22,1,797,24,JP_11
2020-04-26,JP,埼玉,19,1,816,25,JP_11
2020-04-27,JP,埼玉,8,2,824,27,JP_11
2020-04-28,JP,埼玉,7,3,831,30,JP_11
2020-04-29,JP,埼玉,15,,846,30,JP_11
2020-04-30,JP,埼玉,12,4,858,34,JP_11
2020-05-01,JP,埼玉,5,2,863,36,JP_11
2020-05-02,JP,埼玉,21,1,884,37,JP_11
2020-05-03,JP,埼玉,12,1,896,38,JP_11
2020-05-04,JP,埼玉,5,1,901,39,JP_11
2020-05-05,JP,埼玉,6,,907,39,JP_11
2020-05-06,JP,埼玉,9,1,916,40,JP_11
2020-05-07,JP,埼玉,14,1,930,41,JP_11
2020-05-08,JP,埼玉,11,,941,41,JP_11
2020-05-09,JP,埼玉,16,,957,41,JP_11
2020-05-10,JP,埼玉,5,1,962,42,JP_11
2020-05-11,JP,埼玉,2,,964,42,JP_11
2020-05-12,JP,埼玉,1,1,965,43,JP_11
2020-05-13,JP,埼玉,4,1,969,44,JP_11
2020-05-14,JP,埼玉,4,1,973,45,JP_11
2020-05-15,JP,埼玉,2,,975,45,JP_11
2020-05-16,JP,埼玉,5,1,980,46,JP_11
2020-05-17,JP,埼玉,4,,984,46,JP_11
2020-05-18,JP,埼玉,3,,987,46,JP_11
2020-05-20,JP,埼玉,5,,992,46,JP_11
2020-05-21,JP,埼玉,1,,993,46,JP_11
2020-05-22,JP,埼玉,1,,994,46,JP_11
2020-05-23,JP,埼玉,1,,995,46,JP_11
2020-05-25,JP,埼玉,,1,995,47,JP_11
2020-05-28,JP,埼玉,2,1,997,48,JP_11
2020-05-29,JP,埼玉,2,,999,48,JP_11
2020-06-02,JP,埼玉,,1,999,49,JP_11
