date,match_string,new_hospitalized,total_hospitalized,country_code,subregion1_code,new_intensive_care,total_intensive_care,key
2020-06-23,Ayrshire & Arran,5,3415,GB,SCT,5,677,GB_SCT_S08000015
2020-06-24,Ayrshire & Arran,5,3420,GB,SCT,5,682,GB_SCT_S08000015
2020-03-26,Borders,5,5,GB,SCT,5,45,GB_SCT_S08000016
2020-03-27,Borders,6,11,GB,SCT,5,50,GB_SCT_S08000016
2020-03-28,Borders,15,26,GB,SCT,5,55,GB_SCT_S08000016
2020-03-29,Borders,20,46,GB,SCT,5,60,GB_SCT_S08000016
2020-03-30,Borders,17,63,GB,SCT,5,65,GB_SCT_S08000016
2020-03-31,Borders,28,91,GB,SCT,5,70,GB_SCT_S08000016
2020-04-01,Borders,29,120,GB,SCT,6,76,GB_SCT_S08000016
2020-04-02,Borders,28,148,GB,SCT,7,83,GB_SCT_S08000016
2020-04-03,Borders,34,182,GB,SCT,7,90,GB_SCT_S08000016
2020-04-04,Borders,36,218,GB,SCT,6,96,GB_SCT_S08000016
2020-04-05,Borders,40,258,GB,SCT,8,104,GB_SCT_S08000016
2020-04-06,Borders,41,299,GB,SCT,7,111,GB_SCT_S08000016
2020-04-07,Borders,39,338,GB,SCT,7,118,GB_SCT_S08000016
2020-04-08,Borders,39,377,GB,SCT,9,127,GB_SCT_S08000016
2020-04-09,Borders,46,423,GB,SCT,7,134,GB_SCT_S08000016
2020-04-10,Borders,45,468,GB,SCT,6,140,GB_SCT_S08000016
2020-04-11,Borders,44,512,GB,SCT,6,146,GB_SCT_S08000016
2020-04-12,Borders,44,556,GB,SCT,8,154,GB_SCT_S08000016
2020-04-13,Borders,41,597,GB,SCT,8,162,GB_SCT_S08000016
2020-04-14,Borders,42,639,GB,SCT,6,168,GB_SCT_S08000016
2020-04-15,Borders,42,681,GB,SCT,6,174,GB_SCT_S08000016
2020-04-16,Borders,43,724,GB,SCT,6,180,GB_SCT_S08000016
2020-04-17,Borders,43,767,GB,SCT,6,186,GB_SCT_S08000016
2020-04-18,Borders,42,809,GB,SCT,6,192,GB_SCT_S08000016
2020-04-19,Borders,43,852,GB,SCT,6,198,GB_SCT_S08000016
2020-04-20,Borders,41,893,GB,SCT,7,205,GB_SCT_S08000016
2020-04-21,Borders,39,932,GB,SCT,9,214,GB_SCT_S08000016
2020-04-22,Borders,38,970,GB,SCT,7,221,GB_SCT_S08000016
2020-04-23,Borders,34,1004,GB,SCT,7,228,GB_SCT_S08000016
2020-04-24,Borders,34,1038,GB,SCT,5,233,GB_SCT_S08000016
2020-04-25,Borders,34,1072,GB,SCT,5,238,GB_SCT_S08000016
2020-04-26,Borders,34,1106,GB,SCT,5,243,GB_SCT_S08000016
2020-04-27,Borders,34,1140,GB,SCT,5,248,GB_SCT_S08000016
2020-04-28,Borders,32,1172,GB,SCT,5,253,GB_SCT_S08000016
2020-04-29,Borders,31,1203,GB,SCT,5,258,GB_SCT_S08000016
2020-04-30,Borders,31,1234,GB,SCT,5,263,GB_SCT_S08000016
2020-05-01,Borders,30,1264,GB,SCT,5,268,GB_SCT_S08000016
2020-05-02,Borders,27,1291,GB,SCT,5,273,GB_SCT_S08000016
2020-05-03,Borders,25,1316,GB,SCT,5,278,GB_SCT_S08000016
2020-05-04,Borders,25,1341,GB,SCT,5,283,GB_SCT_S08000016
2020-05-05,Borders,26,1367,GB,SCT,5,288,GB_SCT_S08000016
2020-05-06,Borders,28,1395,GB,SCT,5,293,GB_SCT_S08000016
2020-05-07,Borders,29,1424,GB,SCT,5,298,GB_SCT_S08000016
2020-05-08,Borders,28,1452,GB,SCT,5,303,GB_SCT_S08000016
2020-05-09,Borders,28,1480,GB,SCT,5,308,GB_SCT_S08000016
2020-05-10,Borders,27,1507,GB,SCT,5,313,GB_SCT_S08000016
2020-05-11,Borders,28,1535,GB,SCT,5,318,GB_SCT_S08000016
2020-05-12,Borders,26,1561,GB,SCT,5,323,GB_SCT_S08000016
2020-05-13,Borders,27,1588,GB,SCT,5,328,GB_SCT_S08000016
2020-05-14,Borders,27,1615,GB,SCT,5,333,GB_SCT_S08000016
2020-05-15,Borders,25,1640,GB,SCT,5,338,GB_SCT_S08000016
2020-05-16,Borders,25,1665,GB,SCT,5,343,GB_SCT_S08000016
2020-05-17,Borders,26,1691,GB,SCT,5,348,GB_SCT_S08000016
2020-05-18,Borders,27,1718,GB,SCT,5,353,GB_SCT_S08000016
2020-05-19,Borders,21,1739,GB,SCT,5,358,GB_SCT_S08000016
2020-05-20,Borders,21,1760,GB,SCT,5,363,GB_SCT_S08000016
2020-05-21,Borders,12,1772,GB,SCT,5,368,GB_SCT_S08000016
2020-05-22,Borders,12,1784,GB,SCT,5,373,GB_SCT_S08000016
2020-05-23,Borders,11,1795,GB,SCT,5,378,GB_SCT_S08000016
2020-05-24,Borders,11,1806,GB,SCT,5,383,GB_SCT_S08000016
2020-05-25,Borders,11,1817,GB,SCT,5,388,GB_SCT_S08000016
2020-05-26,Borders,9,1826,GB,SCT,5,393,GB_SCT_S08000016
2020-05-27,Borders,9,1835,GB,SCT,5,398,GB_SCT_S08000016
2020-05-28,Borders,9,1844,GB,SCT,5,403,GB_SCT_S08000016
2020-05-29,Borders,9,1853,GB,SCT,5,408,GB_SCT_S08000016
2020-05-30,Borders,9,1862,GB,SCT,5,413,GB_SCT_S08000016
2020-05-31,Borders,9,1871,GB,SCT,5,418,GB_SCT_S08000016
2020-06-01,Borders,9,1880,GB,SCT,5,423,GB_SCT_S08000016
2020-06-02,Borders,9,1889,GB,SCT,5,428,GB_SCT_S08000016
2020-06-03,Borders,9,1898,GB,SCT,5,433,GB_SCT_S08000016
2020-06-04,Borders,9,1907,GB,SCT,5,438,GB_SCT_S08000016
2020-06-05,Borders,9,1916,GB,SCT,5,443,GB_SCT_S08000016
2020-06-06,Borders,9,1925,GB,SCT,5,448,GB_SCT_S08000016
2020-06-07,Borders,9,1934,GB,SCT,5,453,GB_SCT_S08000016
2020-06-08,Borders,9,1943,GB,SCT,5,458,GB_SCT_S08000016
2020-06-09,Borders,9,1952,GB,SCT,5,463,GB_SCT_S08000016
2020-06-10,Borders,9,1961,GB,SCT,5,468,GB_SCT_S08000016
2020-06-11,Borders,9,1970,GB,SCT,5,473,GB_SCT_S08000016
2020-06-12,Borders,9,1979,GB,SCT,5,478,GB_SCT_S08000016
2020-06-13,Borders,9,1988,GB,SCT,5,483,GB_SCT_S08000016
2020-06-14,Borders,9,1997,GB,SCT,5,488,GB_SCT_S08000016
2020-06-15,Borders,9,2006,GB,SCT,5,493,GB_SCT_S08000016
2020-06-16,Borders,9,2015,GB,SCT,5,498,GB_SCT_S08000016
2020-06-17,Borders,9,2024,GB,SCT,5,503,GB_SCT_S08000016
2020-06-18,Borders,9,2033,GB,SCT,5,508,GB_SCT_S08000016
2020-06-19,Borders,9,2042,GB,SCT,5,513,GB_SCT_S08000016
2020-06-20,Borders,9,2051,GB,SCT,5,518,GB_SCT_S08000016
2020-06-21,Borders,9,2060,GB,SCT,5,523,GB_SCT_S08000016
2020-06-22,Borders,9,2069,GB,SCT,5,528,GB_SCT_S08000016
2020-06-23,Borders,9,2078,GB,SCT,5,533,GB_SCT_S08000016
2020-06-24,Borders,9,2087,GB,SCT,5,538,GB_SCT_S08000016
2020-03-18,Borders,,,GB,SCT,5,5,GB_SCT_S08000016
2020-03-19,Borders,,,GB,SCT,5,10,GB_SCT_S08000016
2020-03-20,Borders,,,GB,SCT,5,15,GB_SCT_S08000016
2020-03-21,Borders,,,GB,SCT,5,20,GB_SCT_S08000016
2020-03-22,Borders,,,GB,SCT,5,25,GB_SCT_S08000016
2020-03-23,Borders,,,GB,SCT,5,30,GB_SCT_S08000016
2020-03-24,Borders,,,GB,SCT,5,35,GB_SCT_S08000016
2020-03-25,Borders,,,GB,SCT,5,40,GB_SCT_S08000016
2020-03-26,Dumfries & Galloway,11,11,GB,SCT,5,45,GB_SCT_S08000017
2020-03-27,Dumfries & Galloway,13,24,GB,SCT,5,50,GB_SCT_S08000017
2020-03-28,Dumfries & Galloway,13,37,GB,SCT,5,55,GB_SCT_S08000017
2020-03-29,Dumfries & Galloway,15,52,GB,SCT,5,60,GB_SCT_S08000017
2020-03-30,Dumfries & Galloway,16,68,GB,SCT,5,65,GB_SCT_S08000017
2020-03-31,Dumfries & Galloway,21,89,GB,SCT,5,70,GB_SCT_S08000017
2020-04-01,Dumfries & Galloway,20,109,GB,SCT,5,75,GB_SCT_S08000017
2020-04-02,Dumfries & Galloway,19,128,GB,SCT,5,80,GB_SCT_S08000017
2020-04-03,Dumfries & Galloway,19,147,GB,SCT,6,86,GB_SCT_S08000017
2020-04-04,Dumfries & Galloway,20,167,GB,SCT,5,91,GB_SCT_S08000017
2020-04-05,Dumfries & Galloway,23,190,GB,SCT,5,96,GB_SCT_S08000017
2020-04-06,Dumfries & Galloway,21,211,GB,SCT,5,101,GB_SCT_S08000017
2020-04-07,Dumfries & Galloway,16,227,GB,SCT,5,106,GB_SCT_S08000017
2020-04-08,Dumfries & Galloway,20,247,GB,SCT,6,112,GB_SCT_S08000017
2020-04-09,Dumfries & Galloway,22,269,GB,SCT,9,121,GB_SCT_S08000017
2020-04-10,Dumfries & Galloway,24,293,GB,SCT,8,129,GB_SCT_S08000017
2020-04-11,Dumfries & Galloway,25,318,GB,SCT,7,136,GB_SCT_S08000017
2020-04-12,Dumfries & Galloway,24,342,GB,SCT,9,145,GB_SCT_S08000017
2020-04-13,Dumfries & Galloway,23,365,GB,SCT,8,153,GB_SCT_S08000017
2020-04-14,Dumfries & Galloway,19,384,GB,SCT,6,159,GB_SCT_S08000017
2020-04-15,Dumfries & Galloway,20,404,GB,SCT,6,165,GB_SCT_S08000017
2020-04-16,Dumfries & Galloway,20,424,GB,SCT,6,171,GB_SCT_S08000017
2020-04-17,Dumfries & Galloway,19,443,GB,SCT,5,176,GB_SCT_S08000017
2020-04-18,Dumfries & Galloway,21,464,GB,SCT,5,181,GB_SCT_S08000017
2020-04-19,Dumfries & Galloway,20,484,GB,SCT,5,186,GB_SCT_S08000017
2020-04-20,Dumfries & Galloway,24,508,GB,SCT,5,191,GB_SCT_S08000017
2020-04-21,Dumfries & Galloway,23,531,GB,SCT,5,196,GB_SCT_S08000017
2020-04-22,Dumfries & Galloway,18,549,GB,SCT,5,201,GB_SCT_S08000017
2020-04-23,Dumfries & Galloway,16,565,GB,SCT,5,206,GB_SCT_S08000017
2020-04-24,Dumfries & Galloway,11,576,GB,SCT,5,211,GB_SCT_S08000017
2020-04-25,Dumfries & Galloway,11,587,GB,SCT,5,216,GB_SCT_S08000017
2020-04-26,Dumfries & Galloway,12,599,GB,SCT,5,221,GB_SCT_S08000017
2020-04-27,Dumfries & Galloway,12,611,GB,SCT,5,226,GB_SCT_S08000017
2020-04-28,Dumfries & Galloway,13,624,GB,SCT,5,231,GB_SCT_S08000017
2020-04-29,Dumfries & Galloway,13,637,GB,SCT,5,236,GB_SCT_S08000017
2020-04-30,Dumfries & Galloway,10,647,GB,SCT,5,241,GB_SCT_S08000017
2020-05-01,Dumfries & Galloway,10,657,GB,SCT,5,246,GB_SCT_S08000017
2020-05-02,Dumfries & Galloway,8,665,GB,SCT,5,251,GB_SCT_S08000017
2020-05-03,Dumfries & Galloway,8,673,GB,SCT,5,256,GB_SCT_S08000017
2020-05-04,Dumfries & Galloway,7,680,GB,SCT,5,261,GB_SCT_S08000017
2020-05-05,Dumfries & Galloway,5,685,GB,SCT,5,266,GB_SCT_S08000017
2020-05-06,Dumfries & Galloway,5,690,GB,SCT,5,271,GB_SCT_S08000017
2020-05-07,Dumfries & Galloway,5,695,GB,SCT,5,276,GB_SCT_S08000017
2020-05-08,Dumfries & Galloway,5,700,GB,SCT,5,281,GB_SCT_S08000017
2020-05-09,Dumfries & Galloway,5,705,GB,SCT,5,286,GB_SCT_S08000017
2020-05-10,Dumfries & Galloway,5,710,GB,SCT,5,291,GB_SCT_S08000017
2020-05-11,Dumfries & Galloway,5,715,GB,SCT,5,296,GB_SCT_S08000017
2020-05-12,Dumfries & Galloway,5,720,GB,SCT,5,301,GB_SCT_S08000017
2020-05-13,Dumfries & Galloway,5,725,GB,SCT,5,306,GB_SCT_S08000017
2020-05-14,Dumfries & Galloway,5,730,GB,SCT,5,311,GB_SCT_S08000017
2020-05-15,Dumfries & Galloway,5,735,GB,SCT,5,316,GB_SCT_S08000017
2020-05-16,Dumfries & Galloway,5,740,GB,SCT,5,321,GB_SCT_S08000017
2020-05-17,Dumfries & Galloway,5,745,GB,SCT,5,326,GB_SCT_S08000017
2020-05-18,Dumfries & Galloway,5,750,GB,SCT,5,331,GB_SCT_S08000017
2020-05-19,Dumfries & Galloway,5,755,GB,SCT,5,336,GB_SCT_S08000017
2020-05-20,Dumfries & Galloway,5,760,GB,SCT,5,341,GB_SCT_S08000017
2020-05-21,Dumfries & Galloway,5,765,GB,SCT,5,346,GB_SCT_S08000017
2020-05-22,Dumfries & Galloway,5,770,GB,SCT,5,351,GB_SCT_S08000017
2020-05-23,Dumfries & Galloway,5,775,GB,SCT,5,356,GB_SCT_S08000017
2020-05-24,Dumfries & Galloway,5,780,GB,SCT,5,361,GB_SCT_S08000017
2020-05-25,Dumfries & Galloway,5,785,GB,SCT,5,366,GB_SCT_S08000017
2020-05-26,Dumfries & Galloway,5,790,GB,SCT,5,371,GB_SCT_S08000017
2020-05-27,Dumfries & Galloway,5,795,GB,SCT,5,376,GB_SCT_S08000017
2020-05-28,Dumfries & Galloway,5,800,GB,SCT,5,381,GB_SCT_S08000017
2020-05-29,Dumfries & Galloway,5,805,GB,SCT,5,386,GB_SCT_S08000017
2020-05-30,Dumfries & Galloway,5,810,GB,SCT,5,391,GB_SCT_S08000017
2020-05-31,Dumfries & Galloway,5,815,GB,SCT,5,396,GB_SCT_S08000017
2020-06-01,Dumfries & Galloway,5,820,GB,SCT,5,401,GB_SCT_S08000017
2020-06-02,Dumfries & Galloway,5,825,GB,SCT,5,406,GB_SCT_S08000017
2020-06-03,Dumfries & Galloway,5,830,GB,SCT,5,411,GB_SCT_S08000017
2020-06-04,Dumfries & Galloway,5,835,GB,SCT,5,416,GB_SCT_S08000017
2020-06-05,Dumfries & Galloway,5,840,GB,SCT,5,421,GB_SCT_S08000017
2020-06-06,Dumfries & Galloway,5,845,GB,SCT,5,426,GB_SCT_S08000017
2020-06-07,Dumfries & Galloway,5,850,GB,SCT,5,431,GB_SCT_S08000017
2020-06-08,Dumfries & Galloway,5,855,GB,SCT,5,436,GB_SCT_S08000017
2020-06-09,Dumfries & Galloway,5,860,GB,SCT,5,441,GB_SCT_S08000017
2020-06-10,Dumfries & Galloway,5,865,GB,SCT,5,446,GB_SCT_S08000017
2020-06-11,Dumfries & Galloway,5,870,GB,SCT,5,451,GB_SCT_S08000017
2020-06-12,Dumfries & Galloway,5,875,GB,SCT,5,456,GB_SCT_S08000017
2020-06-13,Dumfries & Galloway,5,880,GB,SCT,5,461,GB_SCT_S08000017
2020-06-14,Dumfries & Galloway,5,885,GB,SCT,5,466,GB_SCT_S08000017
2020-06-15,Dumfries & Galloway,5,890,GB,SCT,5,471,GB_SCT_S08000017
2020-06-16,Dumfries & Galloway,5,895,GB,SCT,5,476,GB_SCT_S08000017
2020-06-17,Dumfries & Galloway,5,900,GB,SCT,5,481,GB_SCT_S08000017
2020-06-18,Dumfries & Galloway,5,905,GB,SCT,5,486,GB_SCT_S08000017
2020-06-19,Dumfries & Galloway,5,910,GB,SCT,5,491,GB_SCT_S08000017
2020-06-20,Dumfries & Galloway,5,915,GB,SCT,5,496,GB_SCT_S08000017
2020-06-21,Dumfries & Galloway,5,920,GB,SCT,5,501,GB_SCT_S08000017
2020-06-22,Dumfries & Galloway,5,925,GB,SCT,5,506,GB_SCT_S08000017
2020-06-23,Dumfries & Galloway,5,930,GB,SCT,5,511,GB_SCT_S08000017
2020-06-24,Dumfries & Galloway,5,935,GB,SCT,5,516,GB_SCT_S08000017
2020-03-18,Dumfries & Galloway,,,GB,SCT,5,5,GB_SCT_S08000017
2020-03-19,Dumfries & Galloway,,,GB,SCT,5,10,GB_SCT_S08000017
2020-03-20,Dumfries & Galloway,,,GB,SCT,5,15,GB_SCT_S08000017
2020-03-21,Dumfries & Galloway,,,GB,SCT,5,20,GB_SCT_S08000017
2020-03-22,Dumfries & Galloway,,,GB,SCT,5,25,GB_SCT_S08000017
2020-03-23,Dumfries & Galloway,,,GB,SCT,5,30,GB_SCT_S08000017
2020-03-24,Dumfries & Galloway,,,GB,SCT,5,35,GB_SCT_S08000017
2020-03-25,Dumfries & Galloway,,,GB,SCT,5,40,GB_SCT_S08000017
2020-03-26,Fife,20,20,GB,SCT,5,45,GB_SCT_S08000029
2020-03-27,Fife,23,43,GB,SCT,5,50,GB_SCT_S08000029
2020-03-28,Fife,30,73,GB,SCT,5,55,GB_SCT_S08000029
2020-03-29,Fife,31,104,GB,SCT,6,61,GB_SCT_S08000029
2020-03-30,Fife,41,145,GB,SCT,6,67,GB_SCT_S08000029
2020-03-31,Fife,52,197,GB,SCT,7,74,GB_SCT_S08000029
2020-04-01,Fife,34,231,GB,SCT,10,84,GB_SCT_S08000029
2020-04-02,Fife,65,296,GB,SCT,11,95,GB_SCT_S08000029
2020-04-03,Fife,76,372,GB,SCT,12,107,GB_SCT_S08000029
2020-04-04,Fife,84,456,GB,SCT,12,119,GB_SCT_S08000029
2020-04-05,Fife,87,543,GB,SCT,10,129,GB_SCT_S08000029
2020-04-06,Fife,95,638,GB,SCT,9,138,GB_SCT_S08000029
2020-04-07,Fife,89,727,GB,SCT,11,149,GB_SCT_S08000029
2020-04-08,Fife,96,823,GB,SCT,13,162,GB_SCT_S08000029
2020-04-09,Fife,100,923,GB,SCT,13,175,GB_SCT_S08000029
2020-04-10,Fife,94,1017,GB,SCT,9,184,GB_SCT_S08000029
2020-04-11,Fife,97,1114,GB,SCT,10,194,GB_SCT_S08000029
2020-04-12,Fife,99,1213,GB,SCT,9,203,GB_SCT_S08000029
2020-04-13,Fife,101,1314,GB,SCT,6,209,GB_SCT_S08000029
2020-04-14,Fife,102,1416,GB,SCT,5,214,GB_SCT_S08000029
2020-04-15,Fife,92,1508,GB,SCT,5,219,GB_SCT_S08000029
2020-04-16,Fife,96,1604,GB,SCT,6,225,GB_SCT_S08000029
2020-04-17,Fife,98,1702,GB,SCT,6,231,GB_SCT_S08000029
2020-04-18,Fife,91,1793,GB,SCT,6,237,GB_SCT_S08000029
2020-04-19,Fife,105,1898,GB,SCT,5,242,GB_SCT_S08000029
2020-04-20,Fife,105,2003,GB,SCT,5,247,GB_SCT_S08000029
2020-04-21,Fife,102,2105,GB,SCT,6,253,GB_SCT_S08000029
2020-04-22,Fife,100,2205,GB,SCT,7,260,GB_SCT_S08000029
2020-04-23,Fife,113,2318,GB,SCT,6,266,GB_SCT_S08000029
2020-04-24,Fife,110,2428,GB,SCT,6,272,GB_SCT_S08000029
2020-04-25,Fife,111,2539,GB,SCT,6,278,GB_SCT_S08000029
2020-04-26,Fife,113,2652,GB,SCT,6,284,GB_SCT_S08000029
2020-04-27,Fife,109,2761,GB,SCT,6,290,GB_SCT_S08000029
2020-04-28,Fife,113,2874,GB,SCT,6,296,GB_SCT_S08000029
2020-04-29,Fife,114,2988,GB,SCT,6,302,GB_SCT_S08000029
2020-04-30,Fife,103,3091,GB,SCT,6,308,GB_SCT_S08000029
2020-05-01,Fife,100,3191,GB,SCT,6,314,GB_SCT_S08000029
2020-05-02,Fife,100,3291,GB,SCT,6,320,GB_SCT_S08000029
