key,date,current_hospitalized,current_intensive_care,total_recovered,total_deceased,current_hospitalized_female,current_hospitalized_male,current_intensive_care_female,current_intensive_care_male,total_recovered_female,total_recovered_male,total_deceased_female,total_deceased_male,new_recovered,new_deceased,new_recovered_female,new_recovered_male,new_deceased_female,new_deceased_male
FR,2020-05-01,25724,3808,49975,15301,12613,13111,995,2813,23212,26763,6196,9105,734,118,327,407,47,71
FR,2020-05-02,25668,3760,50322,15419,12605,13063,993,2767,23380,26942,6242,9177,347,118,168,179,46,72
FR,2020-05-03,25656,3752,50541,15517,12600,13056,983,2769,23500,27041,6285,9232,219,98,120,99,43,55
FR,2020-05-04,25387,3628,51126,15759,12463,12924,940,2688,23798,27328,6401,9358,585,242,298,287,116,126
FR,2020-05-05,24616,3366,52488,15993,12050,12566,843,2523,24535,27953,6522,9471,1362,234,737,625,121,113
FR,2020-05-06,23825,3088,53714,16169,11662,12163,753,2335,25169,28545,6587,9582,1226,176,634,592,65,111
FR,2020-05-07,23045,2906,54766,16316,11329,11716,728,2178,25667,29099,6645,9671,1052,147,498,554,58,89
FR,2020-05-08,22563,2813,55515,16426,11099,11464,694,2119,26063,29452,6671,9755,749,110,396,353,26,84
FR,2020-05-09,22454,2757,55770,16502,11072,11382,686,2071,26183,29587,6695,9807,255,76,120,135,24,52
FR,2020-05-10,22404,2722,55978,16569,11071,11333,679,2043,26290,29688,6725,9844,208,67,107,101,30,37
FR,2020-05-11,22124,2661,56477,16747,10919,11205,662,1999,26551,29926,6810,9937,499,178,261,238,85,93
FR,2020-05-12,21441,2492,57532,16927,10581,10860,645,1847,27090,30442,6886,10041,1055,180,539,516,76,104
FR,2020-05-13,20925,2380,58414,17025,10285,10640,607,1773,27556,30858,6932,10093,882,98,466,416,46,52
FR,2020-05-14,20322,2252,59338,17148,9997,10325,563,1689,28014,31324,6988,10160,924,123,458,466,56,67
FR,2020-05-15,19721,2159,60180,17267,9688,10033,547,1612,28454,31726,7046,10221,842,119,440,402,58,61
FR,2020-05-16,19294,2088,60795,17337,9483,9811,531,1557,28769,32026,7074,10263,615,70,315,300,28,42
FR,2020-05-17,19225,2044,60942,17391,9447,9778,523,1521,28840,32102,7096,10295,147,54,71,76,22,32
FR,2020-05-18,18877,1955,61455,17513,9296,9581,501,1454,29087,32368,7143,10370,513,122,247,266,47,75
FR,2020-05-19,18331,1852,62288,17637,9023,9308,469,1383,29532,32756,7198,10439,833,124,445,388,55,69
FR,2020-05-20,17811,1751,63076,17732,8760,9051,439,1312,29938,33138,7247,10485,788,95,406,382,49,46
FR,2020-05-21,17458,1705,63577,17789,8576,8882,421,1284,30205,33372,7273,10516,501,57,267,234,26,31
FR,2020-05-22,17259,1661,63926,17864,8499,8760,415,1246,30365,33561,7299,10565,349,75,160,189,26,49
FR,2020-05-23,17053,1625,64263,17906,8400,8653,408,1217,30526,33737,7316,10590,337,42,161,176,17,25
FR,2020-05-24,17061,1615,64333,17940,8414,8647,408,1207,30554,33779,7327,10613,70,34,28,42,11,23
FR,2020-05-25,16672,1568,64911,18030,8217,8455,403,1165,30870,34041,7354,10676,578,90,316,262,27,63
FR,2020-05-26,16138,1514,65587,18112,7956,8182,387,1127,31223,34364,7392,10720,676,82,353,323,38,44
FR,2020-05-27,15559,1462,66291,18176,7661,7898,370,1092,31596,34695,7423,10753,704,64,373,331,31,33
FR,2020-05-28,15090,1390,66893,18241,7422,7668,349,1041,31923,34970,7446,10795,602,65,327,275,23,42
FR,2020-05-29,14580,1324,67501,18301,7162,7418,335,989,32243,35258,7472,10829,608,60,320,288,26,34
FR,2020-05-30,14265,1288,67964,18358,7009,7256,333,955,32475,35489,7497,10861,463,57,232,231,25,32
FR,2020-05-31,14206,1282,68051,18389,6986,7220,327,955,32509,35542,7509,10880,87,31,34,53,12,19
FR,2020-06-01,14172,1265,68136,18420,6976,7196,326,939,32543,35593,7523,10897,85,31,34,51,14,17
FR,2020-06-02,13912,1217,68506,18504,6865,7047,315,902,32706,35800,7566,10938,370,84,163,207,43,41
FR,2020-06-03,13396,1175,69149,18585,6571,6825,307,868,33070,36079,7607,10978,643,81,364,279,41,40
FR,2020-06-04,12985,1130,69665,18629,6374,6611,298,832,33315,36350,7628,11001,516,44,245,271,21,23
FR,2020-06-05,12571,1060,70192,18674,6174,6397,279,781,33573,36619,7647,11027,527,45,258,269,19,26
FR,2020-06-06,12355,1026,70493,18705,6068,6287,264,762,33720,36773,7667,11038,301,31,147,154,20,11
FR,2020-06-07,12338,1020,70529,18718,6058,6280,262,758,33742,36787,7672,11046,36,13,22,14,5,8
FR,2020-06-08,12192,991,70747,18772,5990,6202,256,735,33857,36890,7692,11080,218,54,115,103,20,34
FR,2020-06-09,11839,922,71187,18825,5821,6018,239,683,34077,37110,7715,11110,440,53,220,220,23,30
FR,2020-06-10,11556,900,71510,18848,5667,5889,244,656,34252,37258,7728,11120,323,23,175,148,13,10
FR,2020-06-11,11344,871,71824,18876,5559,5785,239,632,34411,37413,7744,11132,314,28,159,155,16,12
FR,2020-06-12,11004,846,72246,18904,5390,5614,235,611,34629,37617,7757,11147,422,28,218,204,13,15
FR,2020-06-13,10789,838,72481,18928,5283,5506,234,604,34748,37733,7767,11161,235,24,119,116,10,14
FR,2020-06-14,10760,836,72532,18937,5269,5491,236,600,34773,37759,7772,11165,51,9,25,26,5,4
FR,2020-06-15,10631,813,72717,18966,5206,5425,229,584,34879,37838,7781,11185,185,29,106,79,9,20
FR,2020-06-16,10413,788,73008,19003,5095,5318,221,567,35036,37972,7794,11209,291,37,157,134,13,24
FR,2020-06-17,10150,740,73334,19031,4971,5179,204,536,35197,38137,7804,11227,326,28,161,165,10,18
FR,2020-06-18,10009,720,73553,19059,4907,5102,199,521,35315,38238,7814,11245,219,28,118,101,10,18
FR,2020-06-19,9858,695,73779,19071,4821,5037,188,507,35440,38339,7820,11251,226,12,125,101,6,6
FR,2020-06-20,9727,683,73975,19087,4766,4961,183,500,35532,38443,7824,11263,196,16,92,104,4,12
FR,2020-06-21,9712,684,74035,19094,4761,4951,184,500,35561,38474,7829,11265,60,7,29,31,5,2
FR_ARA,2020-03-18,153,30,68,7,62,91,8,22,31,37,3,4,,,,,,
FR_ARA,2020-03-19,226,53,99,11,85,141,11,42,49,50,5,6,31,4,18,13,2,2
FR_ARA,2020-03-20,325,64,143,26,123,202,13,51,73,70,12,14,44,15,24,20,7,8
FR_ARA,2020-03-21,388,64,157,31,156,232,12,52,79,78,13,18,14,5,6,8,1,4
FR_ARA,2020-03-22,512,80,176,40,212,300,17,63,88,88,18,22,19,9,9,10,5,4
FR_ARA,2020-03-23,723,127,216,62,315,408,31,96,105,111,29,33,40,22,17,23,11,11
FR_ARA,2020-03-24,910,168,281,79,386,524,42,126,142,139,37,42,65,17,37,28,8,9
FR_ARA,2020-03-25,1190,246,371,100,504,686,58,188,194,177,46,54,90,21,52,38,9,12
FR_ARA,2020-03-26,1396,281,462,127,601,795,67,214,241,221,55,72,91,27,47,44,9,18
FR_ARA,2020-03-27,1613,333,573,158,671,942,73,260,293,280,69,89,111,31,52,59,14,17
FR_ARA,2020-03-28,1872,421,664,187,781,1091,97,324,333,331,81,106,91,29,40,51,12,17
FR_ARA,2020-03-29,2076,486,718,219,861,1215,110,376,359,359,89,130,54,32,26,28,8,24
FR_ARA,2020-03-30,2288,572,803,255,934,1354,129,443,407,396,105,150,85,36,48,37,16,20
FR_ARA,2020-03-31,2442,613,942,287,1002,1440,145,468,476,466,117,170,139,32,69,70,12,20
FR_ARA,2020-04-01,2584,661,1147,341,1063,1521,156,505,570,577,134,207,205,54,94,111,17,37
FR_ARA,2020-04-02,2658,689,1326,395,1082,1576,161,528,665,661,162,233,179,54,95,84,28,26
FR_ARA,2020-04-03,2794,714,1486,439,1147,1647,168,546,742,744,180,259,160,44,77,83,18,26
FR_ARA,2020-04-04,2831,739,1642,469,1183,1648,174,565,804,838,188,281,156,30,62,94,8,22
FR_ARA,2020-04-05,2938,769,1705,499,1236,1702,184,585,833,872,197,302,63,30,29,34,9,21
FR_ARA,2020-04-06,2986,775,1815,544,1258,1728,188,587,891,924,216,328,110,45,58,52,19,26
FR_ARA,2020-04-07,2925,748,2067,586,1246,1679,177,571,1010,1057,233,353,252,42,119,133,17,25
FR_ARA,2020-04-08,2879,729,2268,640,1237,1642,172,557,1108,1160,250,390,201,54,98,103,17,37
FR_ARA,2020-04-09,2932,711,2443,671,1292,1640,168,543,1191,1252,259,412,175,31,83,92,9,22
FR_ARA,2020-04-10,2927,689,2622,706,1306,1621,163,526,1277,1345,272,434,179,35,86,93,13,22
FR_ARA,2020-04-11,2962,673,2785,740,1360,1602,157,516,1338,1447,289,451,163,34,61,102,17,17
FR_ARA,2020-04-12,3002,665,2863,758,1388,1614,152,513,1375,1488,295,463,78,18,37,41,6,12
FR_ARA,2020-04-13,3030,662,2897,779,1414,1616,153,509,1385,1512,300,479,34,21,10,24,5,16
FR_ARA,2020-04-14,3019,651,3007,821,1415,1604,151,500,1434,1573,320,501,110,42,49,61,20,22
FR_ARA,2020-04-15,2980,631,3241,870,1387,1593,151,480,1558,1683,341,529,234,49,124,110,21,28
FR_ARA,2020-04-16,2944,620,3384,912,1368,1576,148,472,1639,1745,356,556,143,42,81,62,15,27
FR_ARA,2020-04-17,2940,594,3561,938,1375,1565,139,455,1725,1836,367,571,177,26,86,91,11,15
FR_ARA,2020-04-18,2919,571,3718,976,1381,1538,128,443,1795,1923,390,586,157,38,70,87,23,15
FR_ARA,2020-04-19,2959,565,3754,995,1408,1551,130,435,1814,1940,398,597,36,19,19,17,8,11
FR_ARA,2020-04-20,2912,568,3825,1046,1386,1526,128,440,1847,1978,423,623,71,51,33,38,25,26
FR_ARA,2020-04-21,2847,544,4010,1087,1349,1498,121,423,1947,2063,437,650,185,41,100,85,14,27
FR_ARA,2020-04-22,2789,509,4174,1116,1334,1455,114,395,2025,2149,448,668,164,29,78,86,11,18
FR_ARA,2020-04-23,2735,476,4311,1150,1317,1418,101,375,2092,2219,462,688,137,34,67,70,14,20
FR_ARA,2020-04-24,2687,458,4445,1175,1299,1388,98,360,2160,2285,475,700,134,25,68,66,13,12
FR_ARA,2020-04-25,2658,438,4561,1195,1296,1362,95,343,2219,2342,481,714,116,20,59,57,6,14
FR_ARA,2020-04-26,2669,433,4589,1209,1305,1364,95,338,2236,2353,485,724,28,14,17,11,4,10
FR_ARA,2020-04-27,2639,427,4578,1238,1286,1353,97,330,2221,2357,494,744,-11,29,-15,4,9,20
FR_ARA,2020-04-28,2584,400,4667,1258,1266,1318,89,311,2272,2395,502,756,89,20,51,38,8,12
FR_ARA,2020-04-29,2532,382,4875,1302,1233,1299,81,301,2394,2481,516,786,208,44,122,86,14,30
FR_ARA,2020-04-30,2486,371,5006,1321,1202,1284,83,288,2471,2535,529,792,131,19,77,54,13,6
FR_ARA,2020-05-01,2467,359,5092,1336,1195,1272,82,277,2511,2581,534,802,86,15,40,46,5,10
FR_ARA,2020-05-02,2470,359,5117,1345,1197,1273,81,278,2522,2595,535,810,25,9,11,14,1,8
FR_ARA,2020-05-03,2478,358,5125,1356,1205,1273,80,278,2527,2598,537,819,8,11,5,3,2,9
FR_ARA,2020-05-04,2435,345,5179,1378,1190,1245,76,269,2553,2626,545,833,54,22,26,28,8,14
FR_ARA,2020-05-05,2392,314,5288,1411,1164,1228,64,250,2615,2673,555,856,109,33,62,47,10,23
FR_ARA,2020-05-06,2292,296,5422,1428,1110,1182,60,236,2687,2735,563,865,134,17,72,62,8,9
FR_ARA,2020-05-07,2199,276,5558,1452,1073,1126,59,217,2758,2800,572,880,136,24,71,65,9,15
FR_ARA,2020-05-08,2122,262,5642,1459,1036,1086,54,208,2804,2838,574,885,84,7,46,38,2,5
FR_ARA,2020-05-09,2116,255,5660,1464,1033,1083,54,201,2812,2848,575,889,18,5,8,10,1,4
FR_ARA,2020-05-10,2110,253,5673,1473,1036,1074,55,198,2820,2853,578,895,13,9,8,5,3,6
FR_ARA,2020-05-11,2079,245,5725,1489,1022,1057,52,193,2846,2879,584,905,52,16,26,26,6,10
FR_ARA,2020-05-12,2017,236,5829,1506,986,1031,53,183,2907,2922,590,916,104,17,61,43,6,11
FR_ARA,2020-05-13,1911,224,5966,1515,917,994,49,175,2990,2976,595,920,137,9,83,54,5,4
FR_ARA,2020-05-14,1870,211,6054,1526,898,972,44,167,3037,3017,601,925,88,11,47,41,6,5
FR_ARA,2020-05-15,1825,205,6108,1538,882,943,47,158,3065,3043,607,931,54,12,28,26,6,6
FR_ARA,2020-05-16,1761,189,6194,1552,855,906,42,147,3104,3090,611,941,86,14,39,47,4,10
FR_ARA,2020-05-17,1773,189,6198,1554,861,912,43,146,3107,3091,612,942,4,2,3,1,1,1
FR_ARA,2020-05-18,1732,183,6246,1561,844,888,40,143,3129,3117,612,949,48,7,22,26,0,7
FR_ARA,2020-05-19,1662,171,6337,1581,801,861,36,135,3186,3151,622,959,91,20,57,34,10,10
FR_ARA,2020-05-20,1572,164,6443,1593,757,815,35,129,3237,3206,627,966,106,12,51,55,5,7
FR_ARA,2020-05-21,1534,159,6508,1598,734,800,34,125,3273,3235,629,969,65,5,36,29,2,3
FR_ARA,2020-05-22,1524,152,6529,1605,730,794,33,119,3287,3242,630,975,21,7,14,7,1,6
FR_ARA,2020-05-23,1506,148,6556,1612,723,783,32,116,3299,3257,633,979,27,7,12,15,3,4
FR_ARA,2020-05-24,1517,149,6558,1612,729,788,33,116,3299,3259,633,979,2,0,0,2,0,0
FR_ARA,2020-05-25,1457,144,6636,1622,705,752,34,110,3334,3302,635,987,78,10,35,43,2,8
FR_ARA,2020-05-26,1397,138,6693,1634,683,714,32,106,3358,3335,639,995,57,12,24,33,4,8
FR_ARA,2020-05-27,1327,133,6762,1641,642,685,30,103,3400,3362,645,996,69,7,42,27,6,1
FR_ARA,2020-05-28,1235,116,6855,1649,583,652,25,91,3462,3393,648,1001,93,8,62,31,3,5
FR_ARA,2020-05-29,1156,110,6931,1657,538,618,23,87,3503,3428,653,1004,76,8,41,35,5,3
FR_ARA,2020-05-30,1153,118,6959,1658,529,624,25,93,3521,3438,653,1005,28,1,18,10,0,1
FR_ARA,2020-05-31,1158,126,6975,1661,530,628,26,100,3526,3449,653,1008,16,3,5,11,0,3
FR_ARA,2020-06-01,1160,122,6976,1663,530,630,25,97,3527,3449,654,1009,1,2,1,0,1,1
FR_ARA,2020-06-02,1126,116,7011,1673,520,606,25,91,3541,3470,658,1015,35,10,14,21,4,6
FR_ARA,2020-06-03,1067,100,7068,1680,498,569,23,77,3564,3504,662,1018,57,7,23,34,4,3
FR_ARA,2020-06-04,995,94,7148,1682,459,536,23,71,3606,3542,663,1019,80,2,42,38,1,1
FR_ARA,2020-06-05,942,85,7211,1682,428,514,19,66,3641,3570,663,1019,63,0,35,28,0,0
FR_ARA,2020-06-06,921,83,7233,1684,419,502,19,64,3651,3582,664,1020,22,2,10,12,1,1
FR_ARA,2020-06-07,920,83,7234,1685,420,500,19,64,3651,3583,664,1021,1,1,0,1,0,1
FR_ARA,2020-06-08,904,81,7258,1692,416,488,17,64,3661,3597,666,1026,24,7,10,14,2,5
FR_ARA,2020-06-09,861,67,7292,1695,398,463,14,53,3678,3614,666,1029,34,3,17,17,0,3
FR_ARA,2020-06-10,831,64,7330,1700,381,450,16,48,3699,3631,668,1032,38,5,21,17,2,3
FR_ARA,2020-06-11,808,50,7360,1704,371,437,14,36,3713,3647,672,1032,30,4,14,16,4,0
FR_ARA,2020-06-12,763,45,7402,1705,350,413,12,33,3732,3670,673,1032,42,1,19,23,1,0
FR_ARA,2020-06-13,754,41,7415,1706,347,407,9,32,3737,3678,673,1033,13,1,5,8,0,1
FR_ARA,2020-06-14,752,41,7417,1706,347,405,9,32,3737,3680,673,1033,2,0,0,2,0,0
FR_ARA,2020-06-15,706,39,7447,1708,325,381,8,31,3757,3690,673,1035,30,2,20,10,0,2
FR_ARA,2020-06-16,696,38,7462,1709,326,370,8,30,3764,3698,674,1035,15,1,7,8,1,0
FR_ARA,2020-06-17,657,37,7510,1709,304,353,8,29,3790,3720,674,1035,48,0,26,22,0,0
FR_ARA,2020-06-18,639,34,7522,1710,298,341,8,26,3798,3724,674,1036,12,1,8,4,0,1
FR_ARA,2020-06-19,635,35,7523,1710,296,339,8,27,3801,3722,674,1036,1,0,3,-2,0,0
FR_ARA,2020-06-20,613,35,7548,1711,283,330,8,27,3813,3735,675,1036,25,1,12,13,1,0
FR_ARA,2020-06-21,599,35,7563,1711,278,321,8,27,3819,3744,675,1036,15,0,6,9,0,0
FR_ARA_01,2020-03-18,2,0,1,0,1,1,0,0,0,1,0,0,,,,,,
FR_ARA_01,2020-03-19,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
FR_ARA_01,2020-03-20,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
FR_ARA_01,2020-03-21,4,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0
FR_ARA_01,2020-03-22,8,1,2,0,4,4,0,1,1,1,0,0,1,0,1,0,0,0
FR_ARA_01,2020-03-23,17,3,7,0,5,12,0,3,2,5,0,0,5,0,1,4,0,0
FR_ARA_01,2020-03-24,22,3,11,0,5,17,0,3,5,6,0,0,4,0,3,1,0,0
FR_ARA_01,2020-03-25,29,6,15,0,9,20,1,5,6,9,0,0,4,0,1,3,0,0
FR_ARA_01,2020-03-26,33,6,17,2,11,22,1,5,7,10,2,0,2,2,1,1,2,0
FR_ARA_01,2020-03-27,49,9,17,2,16,33,1,8,7,10,2,0,0,0,0,0,0,0
FR_ARA_01,2020-03-28,53,12,20,3,18,35,3,9,8,12,2,1,3,1,1,2,0,1
FR_ARA_01,2020-03-29,53,13,23,6,18,35,3,10,9,14,2,4,3,3,1,2,0,3
FR_ARA_01,2020-03-30,63,18,24,9,24,39,4,14,9,15,4,5,1,3,0,1,2,1
FR_ARA_01,2020-03-31,71,15,32,10,30,41,4,11,12,20,4,6,8,1,3,5,0,1
FR_ARA_01,2020-04-01,90,27,39,12,42,48,12,15,13,26,5,7,7,2,1,6,1,1
FR_ARA_01,2020-04-02,102,32,58,14,42,60,11,21,22,36,6,8,19,2,9,10,1,1
FR_ARA_01,2020-04-03,97,30,70,17,38,59,11,19,27,43,8,9,12,3,5,7,2,1
FR_ARA_01,2020-04-04,106,31,79,22,43,63,9,22,30,49,9,13,9,5,3,6,1,4
FR_ARA_01,2020-04-05,109,29,82,24,45,64,9,20,31,51,10,14,3,2,1,2,1,1
FR_ARA_01,2020-04-06,112,29,88,25,47,65,9,20,35,53,10,15,6,1,4,2,0,1
FR_ARA_01,2020-04-07,116,31,93,27,52,64,10,21,35,58,10,17,5,2,0,5,0,2
FR_ARA_01,2020-04-08,121,33,101,31,54,67,12,21,39,62,12,19,8,4,4,4,2,2
FR_ARA_01,2020-04-09,121,31,108,35,49,72,10,21,44,64,15,20,7,4,5,2,3,1
FR_ARA_01,2020-04-10,125,26,114,40,52,73,7,19,46,68,16,24,6,5,2,4,1,4
FR_ARA_01,2020-04-11,115,28,127,42,47,68,7,21,51,76,18,24,13,2,5,8,2,0
FR_ARA_01,2020-04-12,115,28,131,42,47,68,6,22,53,78,18,24,4,0,2,2,0,0
FR_ARA_01,2020-04-13,117,28,134,44,50,67,7,21,54,80,19,25,3,2,1,2,1,1
FR_ARA_01,2020-04-14,129,27,139,46,61,68,7,20,57,82,20,26,5,2,3,2,1,1
FR_ARA_01,2020-04-15,134,21,165,52,65,69,6,15,67,98,20,32,26,6,10,16,0,6
FR_ARA_01,2020-04-16,147,22,164,52,74,73,5,17,65,99,20,32,-1,0,-2,1,0,0
FR_ARA_01,2020-04-17,146,23,172,54,71,75,6,17,69,103,21,33,8,2,4,4,1,1
FR_ARA_01,2020-04-18,169,24,175,59,87,82,7,17,70,105,24,35,3,5,1,2,3,2
FR_ARA_01,2020-04-19,168,23,177,59,86,82,6,17,71,106,24,35,2,0,1,1,0,0
FR_ARA_01,2020-04-20,167,21,180,61,86,81,4,17,74,106,25,36,3,2,3,0,1,1
FR_ARA_01,2020-04-21,166,23,190,63,85,81,4,19,79,111,25,38,10,2,5,5,0,2
FR_ARA_01,2020-04-22,163,19,205,67,82,81,3,16,88,117,28,39,15,4,9,6,3,1
FR_ARA_01,2020-04-23,161,20,214,71,82,79,4,16,92,122,29,42,9,4,4,5,1,3
FR_ARA_01,2020-04-24,163,20,218,72,84,79,4,16,95,123,29,43,4,1,3,1,0,1
FR_ARA_01,2020-04-25,160,19,222,74,80,80,3,16,98,124,30,44,4,2,3,1,1,1
FR_ARA_01,2020-04-26,162,19,223,74,81,81,3,16,99,124,30,44,1,0,1,0,0,0
FR_ARA_01,2020-04-27,159,18,230,74,77,82,3,15,105,125,30,44,7,0,6,1,0,0
FR_ARA_01,2020-04-28,154,17,232,76,76,78,3,14,106,126,31,45,2,2,1,1,1,1
FR_ARA_01,2020-04-29,159,15,250,79,79,80,3,12,116,134,33,46,18,3,10,8,2,1
FR_ARA_01,2020-04-30,159,16,257,80,76,83,4,12,123,134,34,46,7,1,7,0,1,0
FR_ARA_01,2020-05-01,157,13,262,81,74,83,3,10,126,136,35,46,5,1,3,2,1,0
FR_ARA_01,2020-05-02,158,14,262,81,74,84,3,11,126,136,35,46,0,0,0,0,0,0
FR_ARA_01,2020-05-03,158,14,262,81,74,84,3,11,126,136,35,46,0,0,0,0,0,0
FR_ARA_01,2020-05-04,156,11,265,81,74,82,2,9,127,138,35,46,3,0,1,2,0,0
FR_ARA_01,2020-05-05,147,11,276,85,68,79,1,10,135,141,35,50,11,4,8,3,0,4
FR_ARA_01,2020-05-06,141,10,290,85,66,75,1,9,143,147,35,50,14,0,8,6,0,0
FR_ARA_01,2020-05-07,134,9,296,85,62,72,1,8,147,149,35,50,6,0,4,2,0,0
FR_ARA_01,2020-05-08,133,8,298,85,61,72,1,7,148,150,35,50,2,0,1,1,0,0
FR_ARA_01,2020-05-09,131,6,300,86,61,70,1,5,149,151,35,51,2,1,1,1,0,1
FR_ARA_01,2020-05-10,133,6,302,86,64,69,1,5,150,152,35,51,2,0,1,1,0,0
FR_ARA_01,2020-05-11,132,8,308,88,63,69,1,7,154,154,35,53,6,2,4,2,0,2
FR_ARA_01,2020-05-12,135,8,309,88,66,69,2,6,154,155,35,53,1,0,0,1,0,0
FR_ARA_01,2020-05-13,139,8,313,88,68,71,2,6,155,158,35,53,4,0,1,3,0,0
