key,date,new_deceased,new_deceased_age_06,new_deceased_age_04,new_deceased_age_05,new_deceased_age_02,new_deceased_age_03,new_deceased_age_01,new_deceased_age_00,new_deceased_male,new_deceased_female,age_bin_00,age_bin_01,age_bin_02,age_bin_03,age_bin_04,age_bin_05,age_bin_06,total_deceased,total_deceased_age_06,total_deceased_age_04,total_deceased_age_05,total_deceased_age_02,total_deceased_age_03,total_deceased_age_01,total_deceased_age_00,total_deceased_male,total_deceased_female
CZ_10,2020-04-14,2,,2,,,,,,,2,30-39,40-49,50-59,60-69,70-79,80-89,90-,70,23,17,25,3,2,0,0,36,34
CZ_10,2020-04-17,1,,,1,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,71,23,17,26,3,2,0,0,37,34
CZ_10,2020-04-18,2,,1,1,,,,,1,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,73,23,18,27,3,2,0,0,38,35
CZ_10,2020-04-19,1,,1,,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,74,23,19,27,3,2,0,0,38,36
CZ_10,2020-04-20,3,1,,1,,1,,,3,,30-39,40-49,50-59,60-69,70-79,80-89,90-,77,24,19,28,3,3,0,0,41,36
CZ_10,2020-04-23,2,1,,1,,,,,1,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,79,25,19,29,3,3,0,0,42,37
CZ_10,2020-04-24,3,,1,2,,,,,2,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,82,25,20,31,3,3,0,0,44,38
CZ_10,2020-04-25,2,,1,1,,,,,2,,30-39,40-49,50-59,60-69,70-79,80-89,90-,84,25,21,32,3,3,0,0,46,38
CZ_10,2020-04-29,1,,,1,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,85,25,21,33,3,3,0,0,46,39
CZ_10,2020-04-30,1,,,1,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,86,25,21,34,3,3,0,0,46,40
CZ_10,2020-05-01,1,1,,,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,87,26,21,34,3,3,0,0,46,41
CZ_10,2020-05-03,1,1,,,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,88,27,21,34,3,3,0,0,47,41
CZ_10,2020-05-04,1,1,,,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,89,28,21,34,3,3,0,0,48,41
CZ_10,2020-05-09,1,1,,,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,90,29,21,34,3,3,0,0,48,42
CZ_10,2020-05-10,1,,1,,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,91,29,22,34,3,3,0,0,48,43
CZ_10,2020-05-14,1,1,,,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,92,30,22,34,3,3,0,0,48,44
CZ_10,2020-05-16,1,1,,,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,93,31,22,34,3,3,0,0,49,44
CZ_10,2020-05-28,1,,,1,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,94,31,22,35,3,3,0,0,50,44
CZ_10,2020-06-01,1,,,1,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,95,31,22,36,3,3,0,0,51,44
CZ_10,2020-06-04,1,1,,,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,96,32,22,36,3,3,0,0,51,45
CZ_10,2020-06-11,1,1,,,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,97,33,22,36,3,3,0,0,51,46
CZ_10,2020-06-18,1,1,,,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,98,34,22,36,3,3,0,0,52,46
CZ_10,2020-06-20,1,,,,,1,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,99,34,22,36,3,4,0,0,53,46
CZ_10,2020-06-21,1,1,,,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,100,35,22,36,3,4,0,0,53,47
CZ_10,2020-06-24,3,2,1,,,,,,1,2,30-39,40-49,50-59,60-69,70-79,80-89,90-,103,37,23,36,3,4,0,0,54,49
CZ_10_100,2020-03-22,1,1,,,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,1,1,0,0,0,0,0,0,1,0
CZ_10_100,2020-03-24,1,,1,,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,2,1,1,0,0,0,0,0,1,1
CZ_10_100,2020-03-25,4,2,1,1,,,,,2,2,30-39,40-49,50-59,60-69,70-79,80-89,90-,6,3,2,1,0,0,0,0,3,3
CZ_10_100,2020-03-27,2,1,,1,,,,,2,,30-39,40-49,50-59,60-69,70-79,80-89,90-,8,4,2,2,0,0,0,0,5,3
CZ_10_100,2020-03-28,3,,1,2,,,,,1,2,30-39,40-49,50-59,60-69,70-79,80-89,90-,11,4,3,4,0,0,0,0,6,5
CZ_10_100,2020-03-29,2,,,2,,,,,,2,30-39,40-49,50-59,60-69,70-79,80-89,90-,13,4,3,6,0,0,0,0,6,7
CZ_10_100,2020-03-30,4,2,,1,1,,,,2,2,30-39,40-49,50-59,60-69,70-79,80-89,90-,17,6,3,7,1,0,0,0,8,9
CZ_10_100,2020-03-31,3,2,,1,,,,,1,2,30-39,40-49,50-59,60-69,70-79,80-89,90-,20,8,3,8,1,0,0,0,9,11
CZ_10_100,2020-04-01,3,,,3,,,,,2,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,23,8,3,11,1,0,0,0,11,12
CZ_10_100,2020-04-02,2,1,,1,,,,,2,,30-39,40-49,50-59,60-69,70-79,80-89,90-,25,9,3,12,1,0,0,0,13,12
CZ_10_100,2020-04-03,4,2,1,1,,,,,3,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,29,11,4,13,1,0,0,0,16,13
CZ_10_100,2020-04-04,5,3,,2,,,,,1,4,30-39,40-49,50-59,60-69,70-79,80-89,90-,34,14,4,15,1,0,0,0,17,17
CZ_10_100,2020-04-05,3,3,,,,,,,1,2,30-39,40-49,50-59,60-69,70-79,80-89,90-,37,17,4,15,1,0,0,0,18,19
CZ_10_100,2020-04-06,3,,1,2,,,,,1,2,30-39,40-49,50-59,60-69,70-79,80-89,90-,40,17,5,17,1,0,0,0,19,21
CZ_10_100,2020-04-07,3,,,1,1,1,,,3,,30-39,40-49,50-59,60-69,70-79,80-89,90-,43,17,5,18,2,1,0,0,22,21
CZ_10_100,2020-04-08,6,1,3,2,,,,,3,3,30-39,40-49,50-59,60-69,70-79,80-89,90-,49,18,8,20,2,1,0,0,25,24
CZ_10_100,2020-04-09,1,,1,,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,50,18,9,20,2,1,0,0,26,24
CZ_10_100,2020-04-10,6,1,2,2,,1,,,4,2,30-39,40-49,50-59,60-69,70-79,80-89,90-,56,19,11,22,2,2,0,0,30,26
CZ_10_100,2020-04-11,5,,2,2,1,,,,3,2,30-39,40-49,50-59,60-69,70-79,80-89,90-,61,19,13,24,3,2,0,0,33,28
CZ_10_100,2020-04-12,3,2,1,,,,,,1,2,30-39,40-49,50-59,60-69,70-79,80-89,90-,64,21,14,24,3,2,0,0,34,30
CZ_10_100,2020-04-13,4,2,1,1,,,,,2,2,30-39,40-49,50-59,60-69,70-79,80-89,90-,68,23,15,25,3,2,0,0,36,32
CZ_10_100,2020-04-14,2,,2,,,,,,,2,30-39,40-49,50-59,60-69,70-79,80-89,90-,70,23,17,25,3,2,0,0,36,34
CZ_10_100,2020-04-17,1,,,1,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,71,23,17,26,3,2,0,0,37,34
CZ_10_100,2020-04-18,2,,1,1,,,,,1,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,73,23,18,27,3,2,0,0,38,35
CZ_10_100,2020-04-19,1,,1,,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,74,23,19,27,3,2,0,0,38,36
CZ_10_100,2020-04-20,3,1,,1,,1,,,3,,30-39,40-49,50-59,60-69,70-79,80-89,90-,77,24,19,28,3,3,0,0,41,36
CZ_10_100,2020-04-23,2,1,,1,,,,,1,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,79,25,19,29,3,3,0,0,42,37
CZ_10_100,2020-04-24,3,,1,2,,,,,2,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,82,25,20,31,3,3,0,0,44,38
CZ_10_100,2020-04-25,2,,1,1,,,,,2,,30-39,40-49,50-59,60-69,70-79,80-89,90-,84,25,21,32,3,3,0,0,46,38
CZ_10_100,2020-04-29,1,,,1,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,85,25,21,33,3,3,0,0,46,39
CZ_10_100,2020-04-30,1,,,1,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,86,25,21,34,3,3,0,0,46,40
CZ_10_100,2020-05-01,1,1,,,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,87,26,21,34,3,3,0,0,46,41
CZ_10_100,2020-05-03,1,1,,,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,88,27,21,34,3,3,0,0,47,41
CZ_10_100,2020-05-04,1,1,,,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,89,28,21,34,3,3,0,0,48,41
CZ_10_100,2020-05-09,1,1,,,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,90,29,21,34,3,3,0,0,48,42
CZ_10_100,2020-05-10,1,,1,,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,91,29,22,34,3,3,0,0,48,43
CZ_10_100,2020-05-14,1,1,,,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,92,30,22,34,3,3,0,0,48,44
CZ_10_100,2020-05-16,1,1,,,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,93,31,22,34,3,3,0,0,49,44
CZ_10_100,2020-05-28,1,,,1,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,94,31,22,35,3,3,0,0,50,44
CZ_10_100,2020-06-01,1,,,1,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,95,31,22,36,3,3,0,0,51,44
CZ_10_100,2020-06-04,1,1,,,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,96,32,22,36,3,3,0,0,51,45
CZ_10_100,2020-06-11,1,1,,,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,97,33,22,36,3,3,0,0,51,46
CZ_10_100,2020-06-18,1,1,,,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,98,34,22,36,3,3,0,0,52,46
CZ_10_100,2020-06-20,1,,,,,1,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,99,34,22,36,3,4,0,0,53,46
CZ_10_100,2020-06-21,1,1,,,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,100,35,22,36,3,4,0,0,53,47
CZ_10_100,2020-06-24,3,2,1,,,,,,1,2,30-39,40-49,50-59,60-69,70-79,80-89,90-,103,37,23,36,3,4,0,0,54,49
CZ_20,2020-03-25,1,,,1,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,1,0,0,1,0,0,0,0,1,0
CZ_20,2020-03-29,1,,,,,,1,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,2,0,0,1,0,0,1,0,1,1
CZ_20,2020-03-31,1,,,,,1,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,3,0,0,1,0,1,1,0,1,2
CZ_20,2020-04-01,1,,,,1,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,4,0,0,1,1,1,1,0,2,2
CZ_20,2020-04-02,1,,,1,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,5,0,0,2,1,1,1,0,2,3
CZ_20,2020-04-04,2,,,2,,,,,2,,30-39,40-49,50-59,60-69,70-79,80-89,90-,7,0,0,4,1,1,1,0,4,3
CZ_20,2020-04-07,2,,1,1,,,,,1,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,9,0,1,5,1,1,1,0,5,4
CZ_20,2020-04-08,1,,1,,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,10,0,2,5,1,1,1,0,5,5
CZ_20,2020-04-09,3,,,2,,1,,,2,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,13,0,2,7,1,2,1,0,7,6
CZ_20,2020-04-10,2,,,1,,,,1,1,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,15,0,2,8,1,2,1,1,8,7
CZ_20,2020-04-12,1,,,1,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,16,0,2,9,1,2,1,1,9,7
CZ_20,2020-04-14,1,,,,,,1,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,17,0,2,9,1,2,2,1,10,7
CZ_20,2020-04-19,2,,1,1,,,,,1,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,19,0,3,10,1,2,2,1,11,8
CZ_20,2020-04-20,1,,1,,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,20,0,4,10,1,2,2,1,12,8
CZ_20,2020-04-28,1,,,,1,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,21,0,4,10,2,2,2,1,12,9
CZ_20,2020-04-30,1,,1,,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,22,0,5,10,2,2,2,1,12,10
CZ_20,2020-05-08,1,,,1,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,23,0,5,11,2,2,2,1,13,10
CZ_20,2020-06-25,1,,,,1,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,24,0,5,11,3,2,2,1,13,11
CZ_20_201,2020-04-28,1,,,,1,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,1,0,0,0,1,0,0,0,0,1
CZ_20_202,2020-04-30,1,,1,,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,1,0,1,0,0,0,0,0,0,1
CZ_20_203,2020-03-25,1,,,1,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,1,0,0,1,0,0,0,0,1,0
CZ_20_203,2020-04-01,1,,,,1,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,2,0,0,1,1,0,0,0,2,0
CZ_20_203,2020-04-07,1,,,1,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,3,0,0,2,1,0,0,0,2,1
CZ_20_203,2020-04-09,1,,,1,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,4,0,0,3,1,0,0,0,2,2
CZ_20_203,2020-04-10,1,,,1,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,5,0,0,4,1,0,0,0,3,2
CZ_20_203,2020-04-12,1,,,1,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,6,0,0,5,1,0,0,0,4,2
CZ_20_204,2020-04-08,1,,1,,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,1,0,1,0,0,0,0,0,0,1
CZ_20_206,2020-04-09,1,,,,,1,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,1,0,0,0,0,1,0,0,1,0
CZ_20_206,2020-04-19,1,,,1,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,2,0,0,1,0,1,0,0,2,0
CZ_20_207,2020-03-31,1,,,,,1,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,1,0,0,0,0,1,0,0,0,1
CZ_20_208,2020-04-04,1,,,1,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,1,0,0,1,0,0,0,0,1,0
CZ_20_209,2020-03-29,1,,,,,,1,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,1,0,0,0,0,0,1,0,0,1
CZ_20_209,2020-04-02,1,,,1,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,2,0,0,1,0,0,1,0,0,2
CZ_20_209,2020-04-04,1,,,1,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,3,0,0,2,0,0,1,0,1,2
CZ_20_209,2020-04-09,1,,,1,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,4,0,0,3,0,0,1,0,2,2
CZ_20_209,2020-06-25,1,,,,1,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,5,0,0,3,1,0,1,0,2,3
CZ_20_20A,2020-04-14,1,,,,,,1,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,1,0,0,0,0,0,1,0,1,0
CZ_20_20A,2020-04-19,1,,1,,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,2,0,1,0,0,0,1,0,1,1
CZ_20_20A,2020-04-20,1,,1,,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,3,0,2,0,0,0,1,0,2,1
CZ_20_20A,2020-05-08,1,,,1,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,4,0,2,1,0,0,1,0,3,1
CZ_20_20B,2020-04-07,1,,1,,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,1,0,1,0,0,0,0,0,1,0
CZ_20_20B,2020-04-10,1,,,,,,,1,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,2,0,1,0,0,0,0,1,1,1
CZ_31,2020-04-07,1,,,,,1,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,1,0,0,0,0,1,0,0,0,1
CZ_31,2020-04-11,2,,,1,,,1,,2,,30-39,40-49,50-59,60-69,70-79,80-89,90-,3,0,0,1,0,1,1,0,2,1
CZ_31,2020-04-12,1,,1,,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,4,0,1,1,0,1,1,0,3,1
CZ_31,2020-04-17,1,,,1,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,5,0,1,2,0,1,1,0,4,1
CZ_31,2020-04-26,1,,,1,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,6,0,1,3,0,1,1,0,5,1
CZ_31_315,2020-04-07,1,,,,,1,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,1,0,0,0,0,1,0,0,0,1
CZ_31_315,2020-04-11,2,,,1,,,1,,2,,30-39,40-49,50-59,60-69,70-79,80-89,90-,3,0,0,1,0,1,1,0,2,1
CZ_31_315,2020-04-12,1,,1,,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,4,0,1,1,0,1,1,0,3,1
CZ_31_315,2020-04-26,1,,,1,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,5,0,1,2,0,1,1,0,4,1
CZ_31_316,2020-04-17,1,,,1,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,1,0,0,1,0,0,0,0,1,0
CZ_32,2020-04-03,2,,,1,,1,,,2,,30-39,40-49,50-59,60-69,70-79,80-89,90-,2,0,0,1,0,1,0,0,2,0
CZ_32,2020-04-08,1,,,1,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,3,0,0,2,0,1,0,0,2,1
CZ_32,2020-04-09,2,,,2,,,,,2,,30-39,40-49,50-59,60-69,70-79,80-89,90-,5,0,0,4,0,1,0,0,4,1
CZ_32,2020-04-11,1,,,,,1,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,6,0,0,4,0,2,0,0,5,1
CZ_32,2020-04-12,1,,,1,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,7,0,0,5,0,2,0,0,5,2
CZ_32,2020-04-14,1,,1,,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,8,0,1,5,0,2,0,0,5,3
CZ_32,2020-04-28,1,,,1,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,9,0,1,6,0,2,0,0,6,3
CZ_32,2020-05-01,1,,,1,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,10,0,1,7,0,2,0,0,6,4
CZ_32,2020-05-04,1,,,,,1,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,11,0,1,7,0,3,0,0,7,4
CZ_32,2020-05-05,1,,,,,1,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,12,0,1,7,0,4,0,0,8,4
CZ_32,2020-05-06,1,,1,,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,13,0,2,7,0,4,0,0,9,4
CZ_32,2020-05-11,1,,1,,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,14,0,3,7,0,4,0,0,9,5
CZ_32,2020-05-13,2,,1,,,1,,,2,,30-39,40-49,50-59,60-69,70-79,80-89,90-,16,0,4,7,0,5,0,0,11,5
CZ_32,2020-05-17,1,,,1,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,17,0,4,8,0,5,0,0,11,6
CZ_32_321,2020-04-03,2,,,1,,1,,,2,,30-39,40-49,50-59,60-69,70-79,80-89,90-,2,0,0,1,0,1,0,0,2,0
CZ_32_321,2020-04-09,2,,,2,,,,,2,,30-39,40-49,50-59,60-69,70-79,80-89,90-,4,0,0,3,0,1,0,0,4,0
CZ_32_321,2020-04-11,1,,,,,1,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,5,0,0,3,0,2,0,0,5,0
CZ_32_321,2020-04-12,1,,,1,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,6,0,0,4,0,2,0,0,5,1
CZ_32_321,2020-04-14,1,,1,,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,7,0,1,4,0,2,0,0,5,2
CZ_32_321,2020-05-04,1,,,,,1,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,8,0,1,4,0,3,0,0,6,2
CZ_32_323,2020-04-08,1,,,1,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,1,0,0,1,0,0,0,0,0,1
CZ_32_323,2020-05-05,1,,,,,1,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,2,0,0,1,0,1,0,0,1,1
CZ_32_323,2020-05-11,1,,1,,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,3,0,1,1,0,1,0,0,1,2
CZ_32_324,2020-04-28,1,,,1,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,1,0,0,1,0,0,0,0,1,0
CZ_32_324,2020-05-01,1,,,1,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,2,0,0,2,0,0,0,0,1,1
CZ_32_324,2020-05-06,1,,1,,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,3,0,1,2,0,0,0,0,2,1
CZ_32_324,2020-05-13,1,,,,,1,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,4,0,1,2,0,1,0,0,3,1
CZ_32_324,2020-05-17,1,,,1,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,5,0,1,3,0,1,0,0,3,2
CZ_32_327,2020-05-13,1,,1,,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,1,0,1,0,0,0,0,0,1,0
CZ_41,2020-03-28,1,,,1,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,1,0,0,1,0,0,0,0,1,0
CZ_41,2020-03-31,1,,,1,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,2,0,0,2,0,0,0,0,2,0
CZ_41,2020-04-01,1,,1,,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,3,0,1,2,0,0,0,0,3,0
CZ_41,2020-04-05,2,,1,,,1,,,2,,30-39,40-49,50-59,60-69,70-79,80-89,90-,5,0,2,2,0,1,0,0,5,0
CZ_41,2020-04-06,1,,,1,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,6,0,2,3,0,1,0,0,6,0
CZ_41,2020-04-07,1,,1,,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,7,0,3,3,0,1,0,0,7,0
CZ_41,2020-04-09,1,,,,,1,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,8,0,3,3,0,2,0,0,8,0
CZ_41,2020-04-12,1,,1,,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,9,0,4,3,0,2,0,0,8,1
