date,total_confirmed,total_tested,total_deceased,new_confirmed,new_tested,new_deceased,key
2020-05-03,343330,1003291,57019,5591,58848,598,GB
2020-05-04,349291,1069533,57601,5961,66242,582,GB
2020-05-05,355698,1143229,59019,6407,73696,1418,GB
2020-05-06,363731,1204530,60350,8033,61301,1331,GB
2020-05-07,371234,1276223,61396,7503,71693,1046,GB
2020-05-08,377279,1347607,62627,6045,71384,1231,GB
2020-05-09,382379,1414537,63305,5100,66930,678,GB
2020-05-10,387359,1482165,63821,4980,67628,516,GB
2020-05-11,392859,1551036,64245,5500,68871,424,GB
2020-05-12,397694,1615136,65546,4835,64100,1301,GB
2020-05-13,402357,1681469,66537,4663,66333,991,GB
2020-05-14,407049,1757873,67376,4692,76404,839,GB
2020-05-15,411886,1832522,68161,4837,74649,785,GB
2020-05-16,416339,1916808,69100,4453,84286,939,GB
2020-05-17,420733,1997323,69410,4394,80515,310,GB
2020-05-18,424642,2069504,69733,3909,72181,323,GB
2020-05-19,179571,187082,70849,1335,4629,1116,GB
2020-05-20,428963,2189133,71599,2986,115000,750,GB
2020-05-21,432575,2262538,72261,3612,73405,662,GB
2020-05-22,436806,2348370,72961,4231,85832,700,GB
2020-05-23,440430,208993,73519,3624,5249,558,GB
2020-05-24,443359,212720,74405,2929,3727,886,GB
2020-05-25,445659,216869,74646,2300,4149,241,GB
2020-05-26,450369,221580,74928,4710,4711,282,GB
2020-05-27,453091,226865,75808,2722,5285,880,GB
2020-05-28,455587,232382,76642,2496,5517,834,GB
2020-05-29,458255,238089,77391,2668,5707,749,GB
2020-05-30,460316,242660,77853,2061,4571,462,GB
2020-05-31,462624,246090,78066,2308,3430,213,GB
2020-06-01,464738,251073,78284,2114,4983,218,GB
2020-06-02,467000,256832,78946,2262,5759,662,GB
2020-06-03,469411,262844,79665,2411,6012,719,GB
2020-06-04,471637,269989,79477,2226,7145,348,GB
2020-06-05,473703,276638,80734,2066,6649,721,GB
2020-06-06,475538,280980,81138,1835,4342,404,GB
2020-06-07,477115,284737,81288,1577,3757,150,GB
2020-06-08,478710,289974,81402,1595,5237,114,GB
2020-06-09,480839,294853,81982,2129,4879,580,GB
2020-06-10,482288,300128,82485,1449,5275,503,GB
2020-06-11,483901,304965,82783,1613,4837,298,GB
2020-06-12,485803,310391,83183,1902,5426,400,GB
2020-06-13,487571,314802,83551,1768,4411,368,GB
2020-06-14,489359,318169,83621,1788,3367,70,GB
2020-06-15,492938,394612,83698,3579,76443,77,GB
2020-06-16,494604,400260,84176,1666,5648,478,GB
2020-06-17,496075,406200,84539,1471,5940,363,GB
2020-06-18,497601,412435,84801,1526,6235,262,GB
2020-06-19,499336,417924,85152,1735,5489,351,GB
2020-06-20,500834,425155,85409,1498,7231,257,GB
2020-06-21,502261,430297,85496,1427,5142,87,GB
2020-06-22,503490,435161,85528,1229,4864,32,GB
2020-06-23,504758,440032,85871,1268,4871,343,GB
2020-06-24,505620,445311,86175,862,5279,304,GB
2020-06-25,506956,452388,86473,1336,7077,298,GB
2020-06-26,508509,460315,86843,1553,7927,370,GB
2020-06-27,509627,465135,87036,1118,4820,193,GB
2020-06-28,510583,470103,87107,956,4968,71,GB
2020-06-29,511416,473433,87154,833,3330,47,GB
2020-06-30,330905,260336,85953,699,1937,309,GB
