date,total_confirmed,total_deceased,total_tested,total_recovered,current_hospitalized,total_hospitalized,current_intensive_care,total_intensive_care,current_ventilator,total_ventilator,key,new_confirmed,new_deceased,new_tested,new_recovered,new_hospitalized,new_intensive_care,new_ventilator
2020-05-25,6029,117,111622,4249,92,605,,,17,111,US_AR,107,1,3041,101,7,0,0
2020-05-24,5922,116,108581,4148,86,598,,,17,111,US_AR,310,3,5534,119,8,0,0
2020-05-23,5612,113,103047,4029,81,590,,,14,111,US_AR,0,0,0,0,6,0,1
2020-05-22,5612,113,103047,4029,86,584,,,14,110,US_AR,154,3,3771,114,49,0,9
2020-05-21,5458,110,99276,3915,78,535,,,14,101,US_AR,455,3,3018,63,0,0,0
2020-05-20,5003,107,96258,3852,78,535,,,14,101,US_AR,80,5,2557,113,0,0,0
2020-05-19,4923,102,93701,3739,78,535,,,14,101,US_AR,110,2,8462,94,5,0,0
2020-05-18,4813,100,85239,3645,77,530,,,12,101,US_AR,54,2,54,55,10,0,0
2020-05-17,4759,98,85185,3590,65,520,,,9,101,US_AR,181,0,3541,118,0,0,0
2020-05-16,4578,98,81644,3472,65,520,,,10,101,US_AR,115,0,115,82,0,0,0
2020-05-15,4463,98,81529,3390,65,520,,,9,101,US_AR,227,1,5711,113,11,0,1
2020-05-14,4236,97,75818,3277,64,509,,,13,100,US_AR,72,2,2603,57,12,0,1
2020-05-13,4164,95,73215,3220,59,497,,,12,99,US_AR,0,0,2771,0,12,0,1
2020-05-12,4164,95,70444,3220,59,485,,,12,98,US_AR,130,1,1414,71,5,0,0
2020-05-11,4034,94,69030,3149,61,480,,,11,98,US_AR,287,6,3502,181,9,0,2
2020-05-10,3747,88,65528,2968,64,471,,,14,96,US_AR,0,0,0,0,0,0,0
2020-05-09,3747,88,65528,2968,64,471,,,14,96,US_AR,53,0,1534,809,5,0,3
2020-05-08,3694,88,63994,2159,70,466,,,14,93,US_AR,83,1,3999,36,4,0,0
2020-05-07,3611,87,59995,2123,69,462,,,14,93,US_AR,43,2,992,14,9,0,4
2020-05-06,3568,85,59003,2109,69,453,,,14,89,US_AR,72,2,4368,68,0,0,0
2020-05-05,3496,83,54635,2041,89,453,,,16,89,US_AR,38,2,193,25,15,0,1
2020-05-04,3458,81,54442,2016,91,438,,,16,88,US_AR,27,5,1552,17,11,0,0
2020-05-03,3431,76,52890,1999,100,427,,,20,88,US_AR,59,3,1308,12,13,0,3
2020-05-02,3372,73,51582,1987,95,414,,,20,85,US_AR,51,9,1906,14,0,0,0
2020-05-01,3321,64,49676,1973,95,414,,,23,85,US_AR,66,3,1297,668,12,0,0
2020-04-30,3255,61,48379,1305,95,402,,,23,85,US_AR,63,2,2930,56,13,0,3
2020-04-29,3192,59,45449,1249,93,389,,,18,82,US_AR,81,7,4778,103,98,0,25
2020-04-28,3111,52,40671,1146,104,,,,20,,US_AR,94,2,214,159,0,0,0
2020-04-27,3017,50,40457,987,109,,,,25,,US_AR,76,1,988,2,0,0,0
2020-04-26,2941,49,39469,985,104,291,,,25,57,US_AR,112,2,1416,21,0,0,0
2020-04-25,2829,47,38053,964,104,291,,,25,57,US_AR,88,2,2475,35,0,0,0
2020-04-24,2741,45,35578,929,101,291,,,24,57,US_AR,276,0,3988,27,0,0,0
2020-04-23,2465,45,31590,902,101,291,,,24,57,US_AR,189,3,1877,39,0,0,0
2020-04-22,2276,42,29713,863,97,291,,,23,57,US_AR,49,-1,2272,54,0,0,0
2020-04-21,2227,43,27441,809,86,291,,,27,57,US_AR,304,1,888,60,0,0,0
2020-04-20,1923,42,26553,749,93,291,,,24,57,US_AR,142,2,2344,28,0,0,0
2020-04-19,1781,40,24209,721,88,291,,,25,57,US_AR,42,2,68,18,0,0,0
2020-04-18,1739,38,24141,703,86,291,,,22,57,US_AR,44,1,647,110,161,0,18
2020-04-17,1695,37,23494,593,83,,,,21,,US_AR,75,0,819,45,0,0,0
2020-04-16,1620,37,22675,548,85,,,,21,,US_AR,51,4,841,59,0,0,0
2020-04-15,1569,33,21834,489,83,130,,43,26,39,US_AR,89,3,703,62,0,0,0
2020-04-14,1480,30,21131,427,81,130,,43,29,39,US_AR,70,0,327,36,0,0,0
2020-04-13,1410,30,20804,391,74,130,,43,28,39,US_AR,130,3,1082,24,0,0,0
2020-04-12,1280,27,19722,367,74,130,,43,30,39,US_AR,54,3,1144,27,0,0,0
2020-04-11,1226,24,18578,340,86,130,,43,33,39,US_AR,55,1,1458,28,0,0,0
2020-04-10,1171,23,17120,312,86,130,,43,33,39,US_AR,52,2,2169,24,0,0,0
2020-04-09,1119,21,14951,288,73,130,,43,31,39,US_AR,119,3,421,80,0,0,0
2020-04-08,1000,18,14530,208,76,130,,43,30,39,US_AR,54,2,892,66,-18,,-4
2020-04-07,946,16,13638,142,74,148,,,26,43,US_AR,71,0,793,40,11,,4
2020-04-06,875,16,12845,102,74,137,,,22,39,US_AR,45,0,1603,5,7,,0
2020-04-05,830,16,11242,97,67,130,,,27,39,US_AR,87,2,872,18,24,,0
2020-04-04,743,14,10370,79,72,106,,,23,39,US_AR,39,2,671,19,1,,0
2020-04-03,704,12,9699,60,71,105,,,26,39,US_AR,61,0,1176,13,5,,7
2020-04-02,643,12,8523,47,66,100,,,23,32,US_AR,59,2,585,5,10,,0
2020-04-01,584,10,7938,42,56,90,,,25,32,US_AR,61,2,1456,7,,,
2020-03-31,523,8,6482,35,64,,,,23,,US_AR,50,1,747,6,,,
2020-03-30,473,7,5735,29,62,,,,21,,US_AR,47,1,2282,1,,,
2020-03-29,426,6,3453,28,43,,,,16,,US_AR,22,1,111,4,,,
2020-03-28,404,5,3342,24,48,,,,17,,US_AR,23,2,1416,5,,,
