date,total_confirmed,total_deceased,new_confirmed,new_deceased,total_tested,total_tested_antibody,total_tested_all,current_hospitalized,key,new_tested,new_tested_antibody,new_tested_all
2020-05-04,32332,884,784,17,,,407398,1533,US_TX,,,16838
2020-05-05,33369,906,1037,22,,,427210,1888,US_TX,,,19812
2020-05-06,34422,948,1053,42,,,438938,1812,US_TX,,,11728
2020-05-07,35390,973,968,25,,,455162,1750,US_TX,,,16224
2020-05-08,36609,1004,1219,31,,,477118,1734,US_TX,,,21956
2020-05-09,37860,1049,1251,45,472782,16512,489294,1735,US_TX,,,12176
2020-05-10,38869,1088,1009,39,496328,17650,513978,1626,US_TX,23546,1138,24684
2020-05-11,39869,1100,1000,12,506771,18926,525697,1525,US_TX,10443,1276,11719
2020-05-12,41048,1133,1179,33,511385,26787,538172,1725,US_TX,4614,7861,12475
2020-05-13,42403,1158,1355,25,556776,30655,587431,1676,US_TX,45391,3868,49259
2020-05-14,43851,1216,1448,58,587313,35971,623284,1648,US_TX,30537,5316,35853
2020-05-15,45198,1272,1347,56,609630,36362,645992,1716,US_TX,22317,391,22708
2020-05-16,46999,1305,1801,33,638739,39732,678471,1791,US_TX,29109,3370,32479
2020-05-17,47784,1336,785,31,650355,42921,693276,1512,US_TX,11616,3189,14805
2020-05-18,48693,1347,909,11,679845,43168,723013,1551,US_TX,29490,247,29737
2020-05-19,49912,1369,1219,22,700146,44791,744937,1732,US_TX,20301,1623,21924
2020-05-20,51323,1419,1411,50,720928,49313,770241,1791,US_TX,20782,4522,25304
2020-05-21,52268,1440,945,21,740181,60252,800433,1680,US_TX,19253,10939,30192
2020-05-22,53449,1480,1181,40,762706,71731,834437,1578,US_TX,22525,11479,34004
2020-05-23,54509,1506,1060,26,,,870935,1688,US_TX,0,0,36498
2020-05-24,55348,1519,839,13,805654,80700,886354,1572,US_TX,42948,8969,15419
2020-05-25,55971,1527,623,8,821233,84841,906074,1511,US_TX,15579,4141,19720
2020-05-26,56560,1536,589,9,855674,87565,943239,1534,US_TX,34441,2724,37165
2020-05-27,57921,1562,1361,26,873218,88643,961861,1645,US_TX,17544,1078,18622
2020-05-28,59776,1601,1855,39,893275,96719,989994,1692,US_TX,20057,8076,28133
2020-05-29,61006,1626,1230,25,928517,98932,1027449,1701,US_TX,35242,2213,37455
2020-05-30,62338,1648,1332,22,951865,102928,1054793,1752,US_TX,23348,3996,27344
2020-05-31,64287,1672,1949,24,970031,103460,1073491,1684,US_TX,18166,532,18698
2020-06-01,64880,1678,593,6,986224,107452,1093676,1756,US_TX,16193,3992,20185
2020-06-02,66568,1698,1688,20,1006768,110506,1117274,1773,US_TX,20544,3054,23598
2020-06-03,68271,1734,1703,36,1038555,112313,1150868,1799,US_TX,31787,1807,33594
2020-06-04,69920,1767,1649,33,1061576,113372,1174948,1796,US_TX,23021,1059,24080
2020-06-05,71613,1788,1693,21,1093277,115910,1209187,1855,US_TX,31701,2538,34239
2020-06-06,73553,1819,1940,31,1092012,126943,1218955,1822,US_TX,-1265,11033,9768
2020-06-07,74978,1830,1425,11,1120316,135583,1255899,1878,US_TX,28304,8640,36944
2020-06-08,75616,1836,638,6,1147355,138784,1286139,1935,US_TX,27039,3201,30240
2020-06-09,77253,1853,1637,17,1161087,140962,1302049,2056,US_TX,13732,2178,15910
2020-06-10,79757,1885,2504,32,1206320,142573,1348893,2153,US_TX,45233,1611,46844
2020-06-11,81583,1920,1826,35,1226957,143174,1370131,2008,US_TX,20637,601,21238
2020-06-12,83680,1939,2097,19,1260319,144050,1404369,2166,US_TX,33362,876,34238
2020-06-13,86011,1957,2331,18,1295983,146967,1442950,2242,US_TX,35664,2917,38581
2020-06-14,87854,1976,1843,19,1314761,149090,1463851,2287,US_TX,18778,2123,20901
2020-06-15,89108,1983,1254,7,1348442,150573,1499015,2326,US_TX,33681,1483,35164
2020-06-16,91730,2029,2622,46,1369638,152796,1522434,2518,US_TX,21196,2223,23419
2020-06-17,96335,2062,3129,33,1407741,152796,1560537,2793,US_TX,38103,0,38103
2020-06-18,99851,2105,3516,43,1423914,153011,1576925,2947,US_TX,16173,215,16388
2020-06-19,103305,2140,3454,35,1463398,159453,1622851,3148,US_TX,39484,6442,45926
2020-06-20,107735,2165,4430,25,1526180,163944,1690124,3247,US_TX,62782,4491,67273
2020-06-21,111601,2182,3866,17,1549009,166168,1715177,3409,US_TX,22829,2224,25053
2020-06-22,114881,2192,3280,10,1597290,170411,1767701,3711,US_TX,48281,4243,52524
2020-06-23,120370,2220,5489,28,1630258,175384,1805642,4092,US_TX,32968,4973,37941
2020-06-24,125921,2249,5551,29,1659340,176697,1836037,4389,US_TX,29082,1313,30395
2020-06-25,131917,2296,5996,47,1697334,177863,1875197,4739,US_TX,37994,1166,39160
2020-06-26,137624,2324,5707,28,1722826,180835,1903661,5102,US_TX,25492,2972,28464
2020-06-27,143371,2366,5747,42,,,1959617,5523,US_TX,0,0,55956
,,,,,,,,,US_TX,,,
,,,,,,,,,US_TX,,,
