gdp,gdp_per_capita,key
nan,,CL_MA
nan,,CL_ML
nan,,CL_NB
nan,,CL_RM
nan,,CL_TA
nan,,CL_VS
34798596482.4274,1451,CM
12237700479375.0,8826,CN
nan,,CN_AH
nan,,CN_BJ
nan,,CN_CQ
nan,,CN_FJ
nan,,CN_GD
nan,,CN_GS
nan,,CN_GX
nan,,CN_GZ
nan,,CN_HA
nan,,CN_HB
nan,,CN_HE
nan,,CN_HI
nan,46193,CN_HK
nan,,CN_HL
nan,,CN_HN
nan,,CN_JL
nan,,CN_JS
nan,,CN_JX
nan,,CN_LN
50361201096.4366,78585.88,CN_MO
nan,,CN_NM
nan,,CN_NX
nan,,CN_QH
nan,,CN_SC
nan,,CN_SD
nan,,CN_SH
nan,,CN_SN
nan,,CN_SX
nan,,CN_TJ
nan,,CN_TW
nan,,CN_XJ
nan,,CN_XZ
nan,,CN_YN
nan,,CN_ZJ
309191382833.365,6408,CO
nan,,CO_05
nan,,CO_05_05001
nan,,CO_05_05002
nan,,CO_05_05004
nan,,CO_05_05021
nan,,CO_05_05030
nan,,CO_05_05031
nan,,CO_05_05034
nan,,CO_05_05036
nan,,CO_05_05038
nan,,CO_05_05040
nan,,CO_05_05042
nan,,CO_05_05044
nan,,CO_05_05045
nan,,CO_05_05051
nan,,CO_05_05055
nan,,CO_05_05059
nan,,CO_05_05079
nan,,CO_05_05086
nan,,CO_05_05088
nan,,CO_05_05091
nan,,CO_05_05093
nan,,CO_05_05101
nan,,CO_05_05107
nan,,CO_05_05113
nan,,CO_05_05120
nan,,CO_05_05125
nan,,CO_05_05129
nan,,CO_05_05134
nan,,CO_05_05138
nan,,CO_05_05142
nan,,CO_05_05145
nan,,CO_05_05147
nan,,CO_05_05148
nan,,CO_05_05150
nan,,CO_05_05154
nan,,CO_05_05172
nan,,CO_05_05190
nan,,CO_05_05197
nan,,CO_05_05206
nan,,CO_05_05209
nan,,CO_05_05212
nan,,CO_05_05234
nan,,CO_05_05237
nan,,CO_05_05240
nan,,CO_05_05250
nan,,CO_05_05264
nan,,CO_05_05266
nan,,CO_05_05282
nan,,CO_05_05284
nan,,CO_05_05306
nan,,CO_05_05308
nan,,CO_05_05310
nan,,CO_05_05313
nan,,CO_05_05315
nan,,CO_05_05318
nan,,CO_05_05321
nan,,CO_05_05347
nan,,CO_05_05353
nan,,CO_05_05360
nan,,CO_05_05361
nan,,CO_05_05364
nan,,CO_05_05368
nan,,CO_05_05376
nan,,CO_05_05380
nan,,CO_05_05390
nan,,CO_05_05400
nan,,CO_05_05411
nan,,CO_05_05425
nan,,CO_05_05440
nan,,CO_05_05467
nan,,CO_05_05475
nan,,CO_05_05480
nan,,CO_05_05483
nan,,CO_05_05490
nan,,CO_05_05495
nan,,CO_05_05501
nan,,CO_05_05541
nan,,CO_05_05543
nan,,CO_05_05576
nan,,CO_05_05579
nan,,CO_05_05585
nan,,CO_05_05591
nan,,CO_05_05604
nan,,CO_05_05607
nan,,CO_05_05615
nan,,CO_05_05628
nan,,CO_05_05631
nan,,CO_05_05642
nan,,CO_05_05647
nan,,CO_05_05649
nan,,CO_05_05652
nan,,CO_05_05656
nan,,CO_05_05658
nan,,CO_05_05659
nan,,CO_05_05660
nan,,CO_05_05664
nan,,CO_05_05665
nan,,CO_05_05667
nan,,CO_05_05670
nan,,CO_05_05674
nan,,CO_05_05679
nan,,CO_05_05686
nan,,CO_05_05690
nan,,CO_05_05697
nan,,CO_05_05736
nan,,CO_05_05756
nan,,CO_05_05761
nan,,CO_05_05789
nan,,CO_05_05790
nan,,CO_05_05792
nan,,CO_05_05809
nan,,CO_05_05819
nan,,CO_05_05837
nan,,CO_05_05842
nan,,CO_05_05847
nan,,CO_05_05854
nan,,CO_05_05856
nan,,CO_05_05858
nan,,CO_05_05861
nan,,CO_05_05873
nan,,CO_05_05885
nan,,CO_05_05887
nan,,CO_05_05890
nan,,CO_05_05893
nan,,CO_05_05895
nan,,CO_08
nan,,CO_08_08001
nan,,CO_08_08078
nan,,CO_08_08137
nan,,CO_08_08141
nan,,CO_08_08296
nan,,CO_08_08372
nan,,CO_08_08421
nan,,CO_08_08433
nan,,CO_08_08436
nan,,CO_08_08520
nan,,CO_08_08549
nan,,CO_08_08558
nan,,CO_08_08560
nan,,CO_08_08573
nan,,CO_08_08606
nan,,CO_08_08634
nan,,CO_08_08638
nan,,CO_08_08675
nan,,CO_08_08685
nan,,CO_08_08758
nan,,CO_08_08770
nan,,CO_08_08832
nan,,CO_08_08849
nan,,CO_11
nan,,CO_11_11001
nan,,CO_13
nan,,CO_13_13001
nan,,CO_13_13006
nan,,CO_13_13030
nan,,CO_13_13042
nan,,CO_13_13052
nan,,CO_13_13062
nan,,CO_13_13074
nan,,CO_13_13140
nan,,CO_13_13160
nan,,CO_13_13188
nan,,CO_13_13212
nan,,CO_13_13222
nan,,CO_13_13244
nan,,CO_13_13248
nan,,CO_13_13268
nan,,CO_13_13300
nan,,CO_13_13430
nan,,CO_13_13433
nan,,CO_13_13440
nan,,CO_13_13442
nan,,CO_13_13458
nan,,CO_13_13468
nan,,CO_13_13473
nan,,CO_13_13490
nan,,CO_13_13549
nan,,CO_13_13580
nan,,CO_13_13600
nan,,CO_13_13620
nan,,CO_13_13647
nan,,CO_13_13650
nan,,CO_13_13654
nan,,CO_13_13655
nan,,CO_13_13657
nan,,CO_13_13667
nan,,CO_13_13670
nan,,CO_13_13673
nan,,CO_13_13683
nan,,CO_13_13688
nan,,CO_13_13744
nan,,CO_13_13760
nan,,CO_13_13780
nan,,CO_13_13810
nan,,CO_13_13836
nan,,CO_13_13838
nan,,CO_13_13873
nan,,CO_13_13894
nan,,CO_15
nan,,CO_15_15001
nan,,CO_15_15022
nan,,CO_15_15047
nan,,CO_15_15051
nan,,CO_15_15087
nan,,CO_15_15090
nan,,CO_15_15092
nan,,CO_15_15097
nan,,CO_15_15104
nan,,CO_15_15106
nan,,CO_15_15109
nan,,CO_15_15114
nan,,CO_15_15131
nan,,CO_15_15135
nan,,CO_15_15162
nan,,CO_15_15172
nan,,CO_15_15176
nan,,CO_15_15180
nan,,CO_15_15183
nan,,CO_15_15185
nan,,CO_15_15187
nan,,CO_15_15189
nan,,CO_15_15204
nan,,CO_15_15212
nan,,CO_15_15215
nan,,CO_15_15218
nan,,CO_15_15223
nan,,CO_15_15224
nan,,CO_15_15226
nan,,CO_15_15232
nan,,CO_15_15236
nan,,CO_15_15238
nan,,CO_15_15244
nan,,CO_15_15248
nan,,CO_15_15272
nan,,CO_15_15276
nan,,CO_15_15293
nan,,CO_15_15296
nan,,CO_15_15299
nan,,CO_15_15317
nan,,CO_15_15322
nan,,CO_15_15325
nan,,CO_15_15332
nan,,CO_15_15362
nan,,CO_15_15367
nan,,CO_15_15368
nan,,CO_15_15377
nan,,CO_15_15380
nan,,CO_15_15401
nan,,CO_15_15403
nan,,CO_15_15407
nan,,CO_15_15425
nan,,CO_15_15442
nan,,CO_15_15455
nan,,CO_15_15464
nan,,CO_15_15466
nan,,CO_15_15469
nan,,CO_15_15476
nan,,CO_15_15480
nan,,CO_15_15491
nan,,CO_15_15494
nan,,CO_15_15500
nan,,CO_15_15507
nan,,CO_15_15511
nan,,CO_15_15514
nan,,CO_15_15516
nan,,CO_15_15518
nan,,CO_15_15522
nan,,CO_15_15531
nan,,CO_15_15533
nan,,CO_15_15537
nan,,CO_15_15542
nan,,CO_15_15550
nan,,CO_15_15572
nan,,CO_15_15580
nan,,CO_15_15599
nan,,CO_15_15600
nan,,CO_15_15621
nan,,CO_15_15632
nan,,CO_15_15638
nan,,CO_15_15646
nan,,CO_15_15660
nan,,CO_15_15664
nan,,CO_15_15667
nan,,CO_15_15673
nan,,CO_15_15676
nan,,CO_15_15681
nan,,CO_15_15686
nan,,CO_15_15690
nan,,CO_15_15693
nan,,CO_15_15696
nan,,CO_15_15720
nan,,CO_15_15723
nan,,CO_15_15740
nan,,CO_15_15753
nan,,CO_15_15755
nan,,CO_15_15757
nan,,CO_15_15759
nan,,CO_15_15761
nan,,CO_15_15762
nan,,CO_15_15763
nan,,CO_15_15764
nan,,CO_15_15774
nan,,CO_15_15776
nan,,CO_15_15778
nan,,CO_15_15790
nan,,CO_15_15798
nan,,CO_15_15804
nan,,CO_15_15806
nan,,CO_15_15808
nan,,CO_15_15810
nan,,CO_15_15814
nan,,CO_15_15816
nan,,CO_15_15820
nan,,CO_15_15822
nan,,CO_15_15832
nan,,CO_15_15835
nan,,CO_15_15837
nan,,CO_15_15839
nan,,CO_15_15842
nan,,CO_15_15861
nan,,CO_15_15879
nan,,CO_15_15897
nan,,CO_17
nan,,CO_17_17001
nan,,CO_17_17013
nan,,CO_17_17042
nan,,CO_17_17050
nan,,CO_17_17088
nan,,CO_17_17174
nan,,CO_17_17272
nan,,CO_17_17380
nan,,CO_17_17388
nan,,CO_17_17433
nan,,CO_17_17442
nan,,CO_17_17444
nan,,CO_17_17446
nan,,CO_17_17486
nan,,CO_17_17495
nan,,CO_17_17513
nan,,CO_17_17524
nan,,CO_17_17541
nan,,CO_17_17614
nan,,CO_17_17616
nan,,CO_17_17653
nan,,CO_17_17662
nan,,CO_17_17665
nan,,CO_17_17777
nan,,CO_17_17867
nan,,CO_17_17873
nan,,CO_17_17877
nan,,CO_18
nan,,CO_18_18001
nan,,CO_18_18029
nan,,CO_18_18094
nan,,CO_18_18150
nan,,CO_18_18205
nan,,CO_18_18247
nan,,CO_18_18256
nan,,CO_18_18410
nan,,CO_18_18460
nan,,CO_18_18479
nan,,CO_18_18592
nan,,CO_18_18610
nan,,CO_18_18753
nan,,CO_18_18756
nan,,CO_18_18785
nan,,CO_18_18860
nan,,CO_19
nan,,CO_19_19001
nan,,CO_19_19022
nan,,CO_19_19050
nan,,CO_19_19075
nan,,CO_19_19100
nan,,CO_19_19110
nan,,CO_19_19130
nan,,CO_19_19137
nan,,CO_19_19142
nan,,CO_19_19212
nan,,CO_19_19256
nan,,CO_19_19290
nan,,CO_19_19300
nan,,CO_19_19318
nan,,CO_19_19355
nan,,CO_19_19364
nan,,CO_19_19392
nan,,CO_19_19397
nan,,CO_19_19418
nan,,CO_19_19450
nan,,CO_19_19455
nan,,CO_19_19473
nan,,CO_19_19513
nan,,CO_19_19517
nan,,CO_19_19532
nan,,CO_19_19533
nan,,CO_19_19548
nan,,CO_19_19573
nan,,CO_19_19585
nan,,CO_19_19622
nan,,CO_19_19693
nan,,CO_19_19698
nan,,CO_19_19701
nan,,CO_19_19743
nan,,CO_19_19760
nan,,CO_19_19780
nan,,CO_19_19785
nan,,CO_19_19807
nan,,CO_19_19809
nan,,CO_19_19821
nan,,CO_19_19824
nan,,CO_19_19845
nan,,CO_20
nan,,CO_20_20001
nan,,CO_20_20011
nan,,CO_20_20013
nan,,CO_20_20032
nan,,CO_20_20045
nan,,CO_20_20060
nan,,CO_20_20175
nan,,CO_20_20178
nan,,CO_20_20228
nan,,CO_20_20238
nan,,CO_20_20250
nan,,CO_20_20295
nan,,CO_20_20310
nan,,CO_20_20383
nan,,CO_20_20400
nan,,CO_20_20443
nan,,CO_20_20517
nan,,CO_20_20550
nan,,CO_20_20570
nan,,CO_20_20614
nan,,CO_20_20621
nan,,CO_20_20710
nan,,CO_20_20750
nan,,CO_20_20770
nan,,CO_20_20787
nan,,CO_23
nan,,CO_23_23001
nan,,CO_23_23068
nan,,CO_23_23079
nan,,CO_23_23090
nan,,CO_23_23162
nan,,CO_23_23168
nan,,CO_23_23182
nan,,CO_23_23189
nan,,CO_23_23300
nan,,CO_23_23350
nan,,CO_23_23417
nan,,CO_23_23419
nan,,CO_23_23464
nan,,CO_23_23466
nan,,CO_23_23500
nan,,CO_23_23555
nan,,CO_23_23570
nan,,CO_23_23574
nan,,CO_23_23580
nan,,CO_23_23586
nan,,CO_23_23660
nan,,CO_23_23670
nan,,CO_23_23672
nan,,CO_23_23675
nan,,CO_23_23678
nan,,CO_23_23682
nan,,CO_23_23686
nan,,CO_23_23807
nan,,CO_23_23815
nan,,CO_23_23855
nan,,CO_25
nan,,CO_25_25001
nan,,CO_25_25019
nan,,CO_25_25035
nan,,CO_25_25040
nan,,CO_25_25053
nan,,CO_25_25086
nan,,CO_25_25095
nan,,CO_25_25099
nan,,CO_25_25120
nan,,CO_25_25123
nan,,CO_25_25126
nan,,CO_25_25148
nan,,CO_25_25151
nan,,CO_25_25154
nan,,CO_25_25168
nan,,CO_25_25175
nan,,CO_25_25178
nan,,CO_25_25181
nan,,CO_25_25183
nan,,CO_25_25200
nan,,CO_25_25214
nan,,CO_25_25224
nan,,CO_25_25245
nan,,CO_25_25258
nan,,CO_25_25260
nan,,CO_25_25269
nan,,CO_25_25279
nan,,CO_25_25281
nan,,CO_25_25286
nan,,CO_25_25288
nan,,CO_25_25290
nan,,CO_25_25293
nan,,CO_25_25295
nan,,CO_25_25297
nan,,CO_25_25299
nan,,CO_25_25307
nan,,CO_25_25312
nan,,CO_25_25317
nan,,CO_25_25320
nan,,CO_25_25322
nan,,CO_25_25324
nan,,CO_25_25326
nan,,CO_25_25328
nan,,CO_25_25335
nan,,CO_25_25339
nan,,CO_25_25368
nan,,CO_25_25372
nan,,CO_25_25377
nan,,CO_25_25386
nan,,CO_25_25394
nan,,CO_25_25398
nan,,CO_25_25402
nan,,CO_25_25407
nan,,CO_25_25426
nan,,CO_25_25430
nan,,CO_25_25436
nan,,CO_25_25438
nan,,CO_25_25473
nan,,CO_25_25483
nan,,CO_25_25486
nan,,CO_25_25488
nan,,CO_25_25489
nan,,CO_25_25491
nan,,CO_25_25506
nan,,CO_25_25513
nan,,CO_25_25518
nan,,CO_25_25524
nan,,CO_25_25530
nan,,CO_25_25535
nan,,CO_25_25572
nan,,CO_25_25580
nan,,CO_25_25592
nan,,CO_25_25594
nan,,CO_25_25596
nan,,CO_25_25599
nan,,CO_25_25612
nan,,CO_25_25645
nan,,CO_25_25649
nan,,CO_25_25653
nan,,CO_25_25658
nan,,CO_25_25662
nan,,CO_25_25718
nan,,CO_25_25736
nan,,CO_25_25740
nan,,CO_25_25743
nan,,CO_25_25745
nan,,CO_25_25754
nan,,CO_25_25758
nan,,CO_25_25769
nan,,CO_25_25772
nan,,CO_25_25777
nan,,CO_25_25779
nan,,CO_25_25781
nan,,CO_25_25785
nan,,CO_25_25793
nan,,CO_25_25797
nan,,CO_25_25799
nan,,CO_25_25805
nan,,CO_25_25807
nan,,CO_25_25815
nan,,CO_25_25817
nan,,CO_25_25823
nan,,CO_25_25839
nan,,CO_25_25841
nan,,CO_25_25843
nan,,CO_25_25845
nan,,CO_25_25851
nan,,CO_25_25862
nan,,CO_25_25867
nan,,CO_25_25871
nan,,CO_25_25873
nan,,CO_25_25875
nan,,CO_25_25878
nan,,CO_25_25885
nan,,CO_25_25898
nan,,CO_25_25899
nan,,CO_27
nan,,CO_27_27001
nan,,CO_27_27006
nan,,CO_27_27025
nan,,CO_27_27050
nan,,CO_27_27073
nan,,CO_27_27075
nan,,CO_27_27077
nan,,CO_27_27099
nan,,CO_27_27135
nan,,CO_27_27150
nan,,CO_27_27160
nan,,CO_27_27205
nan,,CO_27_27245
nan,,CO_27_27250
nan,,CO_27_27361
nan,,CO_27_27372
nan,,CO_27_27413
nan,,CO_27_27425
nan,,CO_27_27430
nan,,CO_27_27450
nan,,CO_27_27491
nan,,CO_27_27495
nan,,CO_27_27580
nan,,CO_27_27600
nan,,CO_27_27615
nan,,CO_27_27660
nan,,CO_27_27745
nan,,CO_27_27787
nan,,CO_27_27800
nan,,CO_27_27810
nan,,CO_41
nan,,CO_41_41001
nan,,CO_41_41006
nan,,CO_41_41013
nan,,CO_41_41016
nan,,CO_41_41020
nan,,CO_41_41026
nan,,CO_41_41078
nan,,CO_41_41132
nan,,CO_41_41206
nan,,CO_41_41244
nan,,CO_41_41298
nan,,CO_41_41306
nan,,CO_41_41319
nan,,CO_41_41349
nan,,CO_41_41357
nan,,CO_41_41359
nan,,CO_41_41378
nan,,CO_41_41396
nan,,CO_41_41483
nan,,CO_41_41503
nan,,CO_41_41518
nan,,CO_41_41524
nan,,CO_41_41530
nan,,CO_41_41548
nan,,CO_41_41551
nan,,CO_41_41615
nan,,CO_41_41660
nan,,CO_41_41668
nan,,CO_41_41676
nan,,CO_41_41770
nan,,CO_41_41791
nan,,CO_41_41797
nan,,CO_41_41799
nan,,CO_41_41801
nan,,CO_41_41807
nan,,CO_41_41872
nan,,CO_41_41885
nan,,CO_44
nan,,CO_44_44001
nan,,CO_44_44035
nan,,CO_44_44078
nan,,CO_44_44090
nan,,CO_44_44098
nan,,CO_44_44110
nan,,CO_44_44279
nan,,CO_44_44378
nan,,CO_44_44420
nan,,CO_44_44430
nan,,CO_44_44560
nan,,CO_44_44650
nan,,CO_44_44847
nan,,CO_44_44855
nan,,CO_44_44874
nan,,CO_47
nan,,CO_47_47001
nan,,CO_47_47030
nan,,CO_47_47053
nan,,CO_47_47058
nan,,CO_47_47161
nan,,CO_47_47170
nan,,CO_47_47189
nan,,CO_47_47205
nan,,CO_47_47245
nan,,CO_47_47258
nan,,CO_47_47268
nan,,CO_47_47288
nan,,CO_47_47318
nan,,CO_47_47460
nan,,CO_47_47541
nan,,CO_47_47545
nan,,CO_47_47551
nan,,CO_47_47555
nan,,CO_47_47570
nan,,CO_47_47605
nan,,CO_47_47660
nan,,CO_47_47675
nan,,CO_47_47692
nan,,CO_47_47703
nan,,CO_47_47707
nan,,CO_47_47720
nan,,CO_47_47745
nan,,CO_47_47798
nan,,CO_47_47960
nan,,CO_47_47980
nan,,CO_50
nan,,CO_50_50001
nan,,CO_50_50006
nan,,CO_50_50110
nan,,CO_50_50124
nan,,CO_50_50150
nan,,CO_50_50223
nan,,CO_50_50226
nan,,CO_50_50245
nan,,CO_50_50251
nan,,CO_50_50270
nan,,CO_50_50287
nan,,CO_50_50313
nan,,CO_50_50318
nan,,CO_50_50325
nan,,CO_50_50330
nan,,CO_50_50350
nan,,CO_50_50370
nan,,CO_50_50400
nan,,CO_50_50450
nan,,CO_50_50568
nan,,CO_50_50573
nan,,CO_50_50577
nan,,CO_50_50590
nan,,CO_50_50606
nan,,CO_50_50680
nan,,CO_50_50683
nan,,CO_50_50686
nan,,CO_50_50689
nan,,CO_50_50711
nan,,CO_52
nan,,CO_52_52001
nan,,CO_52_52019
nan,,CO_52_52022
nan,,CO_52_52036
nan,,CO_52_52051
nan,,CO_52_52079
nan,,CO_52_52083
nan,,CO_52_52110
nan,,CO_52_52203
nan,,CO_52_52207
nan,,CO_52_52210
nan,,CO_52_52215
nan,,CO_52_52224
nan,,CO_52_52227
nan,,CO_52_52233
nan,,CO_52_52240
nan,,CO_52_52250
nan,,CO_52_52254
nan,,CO_52_52256
nan,,CO_52_52258
nan,,CO_52_52260
nan,,CO_52_52287
nan,,CO_52_52317
nan,,CO_52_52320
nan,,CO_52_52323
nan,,CO_52_52352
nan,,CO_52_52354
nan,,CO_52_52356
nan,,CO_52_52378
nan,,CO_52_52381
nan,,CO_52_52385
nan,,CO_52_52390
nan,,CO_52_52399
nan,,CO_52_52405
nan,,CO_52_52411
nan,,CO_52_52418
nan,,CO_52_52427
nan,,CO_52_52435
nan,,CO_52_52473
nan,,CO_52_52480
nan,,CO_52_52490
nan,,CO_52_52506
nan,,CO_52_52520
nan,,CO_52_52540
nan,,CO_52_52560
nan,,CO_52_52565
nan,,CO_52_52573
nan,,CO_52_52585
nan,,CO_52_52612
nan,,CO_52_52621
nan,,CO_52_52678
nan,,CO_52_52683
nan,,CO_52_52685
nan,,CO_52_52687
nan,,CO_52_52693
nan,,CO_52_52694
nan,,CO_52_52696
nan,,CO_52_52699
nan,,CO_52_52720
nan,,CO_52_52786
nan,,CO_52_52788
nan,,CO_52_52835
nan,,CO_52_52838
nan,,CO_52_52885
nan,,CO_54
nan,,CO_54_54001
nan,,CO_54_54003
nan,,CO_54_54051
nan,,CO_54_54099
nan,,CO_54_54109
nan,,CO_54_54125
nan,,CO_54_54128
nan,,CO_54_54172
nan,,CO_54_54174
nan,,CO_54_54206
nan,,CO_54_54223
nan,,CO_54_54239
nan,,CO_54_54245
nan,,CO_54_54250
nan,,CO_54_54261
nan,,CO_54_54313
nan,,CO_54_54344
nan,,CO_54_54347
nan,,CO_54_54377
nan,,CO_54_54385
nan,,CO_54_54398
nan,,CO_54_54405
nan,,CO_54_54418
nan,,CO_54_54480
nan,,CO_54_54498
nan,,CO_54_54518
nan,,CO_54_54520
nan,,CO_54_54553
nan,,CO_54_54599
nan,,CO_54_54660
nan,,CO_54_54670
nan,,CO_54_54673
nan,,CO_54_54680
nan,,CO_54_54720
nan,,CO_54_54743
nan,,CO_54_54800
nan,,CO_54_54810
nan,,CO_54_54820
nan,,CO_54_54871
nan,,CO_54_54874
nan,,CO_63
nan,,CO_63_63001
nan,,CO_63_63111
nan,,CO_63_63130
nan,,CO_63_63190
nan,,CO_63_63212
nan,,CO_63_63272
nan,,CO_63_63302
nan,,CO_63_63401
nan,,CO_63_63470
nan,,CO_63_63548
nan,,CO_63_63594
nan,,CO_63_63690
nan,,CO_66
nan,,CO_66_66001
nan,,CO_66_66045
nan,,CO_66_66075
nan,,CO_66_66088
nan,,CO_66_66170
nan,,CO_66_66318
nan,,CO_66_66383
nan,,CO_66_66400
nan,,CO_66_66440
nan,,CO_66_66456
nan,,CO_66_66572
nan,,CO_66_66594
nan,,CO_66_66682
nan,,CO_66_66687
nan,,CO_68
nan,,CO_68_68001
nan,,CO_68_68013
nan,,CO_68_68020
nan,,CO_68_68051
nan,,CO_68_68077
nan,,CO_68_68079
nan,,CO_68_68081
nan,,CO_68_68092
nan,,CO_68_68101
nan,,CO_68_68121
nan,,CO_68_68132
nan,,CO_68_68147
nan,,CO_68_68152
nan,,CO_68_68160
nan,,CO_68_68162
nan,,CO_68_68167
nan,,CO_68_68169
nan,,CO_68_68176
nan,,CO_68_68179
nan,,CO_68_68190
nan,,CO_68_68207
nan,,CO_68_68209
nan,,CO_68_68211
nan,,CO_68_68217
nan,,CO_68_68229
nan,,CO_68_68235
nan,,CO_68_68245
nan,,CO_68_68250
nan,,CO_68_68255
nan,,CO_68_68264
nan,,CO_68_68266
nan,,CO_68_68271
nan,,CO_68_68276
nan,,CO_68_68296
nan,,CO_68_68298
nan,,CO_68_68307
nan,,CO_68_68318
nan,,CO_68_68320
nan,,CO_68_68322
nan,,CO_68_68324
nan,,CO_68_68327
nan,,CO_68_68344
nan,,CO_68_68368
nan,,CO_68_68370
nan,,CO_68_68377
nan,,CO_68_68385
nan,,CO_68_68397
nan,,CO_68_68406
nan,,CO_68_68418
nan,,CO_68_68425
nan,,CO_68_68432
nan,,CO_68_68444
nan,,CO_68_68464
nan,,CO_68_68468
nan,,CO_68_68498
nan,,CO_68_68500
nan,,CO_68_68502
nan,,CO_68_68522
nan,,CO_68_68524
nan,,CO_68_68533
nan,,CO_68_68547
nan,,CO_68_68549
nan,,CO_68_68572
nan,,CO_68_68573
nan,,CO_68_68575
nan,,CO_68_68615
nan,,CO_68_68655
nan,,CO_68_68669
nan,,CO_68_68673
nan,,CO_68_68682
nan,,CO_68_68684
nan,,CO_68_68686
nan,,CO_68_68689
nan,,CO_68_68705
nan,,CO_68_68720
nan,,CO_68_68745
nan,,CO_68_68755
nan,,CO_68_68770
nan,,CO_68_68773
nan,,CO_68_68780
nan,,CO_68_68820
nan,,CO_68_68855
nan,,CO_68_68861
