date,total_confirmed,new_confirmed,key
2020-06-04,684,1,GB_ENG_E06000002
2020-06-05,685,1,GB_ENG_E06000002
2020-06-06,687,2,GB_ENG_E06000002
2020-06-08,688,1,GB_ENG_E06000002
2020-06-10,689,1,GB_ENG_E06000002
2020-06-11,691,2,GB_ENG_E06000002
2020-06-13,692,1,GB_ENG_E06000002
2020-06-15,694,2,GB_ENG_E06000002
2020-06-17,695,1,GB_ENG_E06000002
2020-06-20,695,0,GB_ENG_E06000002
2020-03-10,1,,GB_ENG_E06000003
2020-03-17,2,1,GB_ENG_E06000003
2020-03-19,3,1,GB_ENG_E06000003
2020-03-21,4,1,GB_ENG_E06000003
2020-03-22,7,3,GB_ENG_E06000003
2020-03-23,9,2,GB_ENG_E06000003
2020-03-24,11,2,GB_ENG_E06000003
2020-03-25,14,3,GB_ENG_E06000003
2020-03-26,20,6,GB_ENG_E06000003
2020-03-27,30,10,GB_ENG_E06000003
2020-03-28,41,11,GB_ENG_E06000003
2020-03-29,48,7,GB_ENG_E06000003
2020-03-30,55,7,GB_ENG_E06000003
2020-03-31,63,8,GB_ENG_E06000003
2020-04-01,74,11,GB_ENG_E06000003
2020-04-02,81,7,GB_ENG_E06000003
2020-04-03,98,17,GB_ENG_E06000003
2020-04-04,111,13,GB_ENG_E06000003
2020-04-05,119,8,GB_ENG_E06000003
2020-04-06,128,9,GB_ENG_E06000003
2020-04-07,140,12,GB_ENG_E06000003
2020-04-09,149,9,GB_ENG_E06000003
2020-04-10,158,9,GB_ENG_E06000003
2020-04-11,174,16,GB_ENG_E06000003
2020-04-12,182,8,GB_ENG_E06000003
2020-04-13,196,14,GB_ENG_E06000003
2020-04-14,201,5,GB_ENG_E06000003
2020-04-15,206,5,GB_ENG_E06000003
2020-04-16,212,6,GB_ENG_E06000003
2020-04-17,218,6,GB_ENG_E06000003
2020-04-18,222,4,GB_ENG_E06000003
2020-04-19,230,8,GB_ENG_E06000003
2020-04-20,238,8,GB_ENG_E06000003
2020-04-21,256,18,GB_ENG_E06000003
2020-04-22,268,12,GB_ENG_E06000003
2020-04-23,277,9,GB_ENG_E06000003
2020-04-24,288,11,GB_ENG_E06000003
2020-04-25,293,5,GB_ENG_E06000003
2020-04-26,295,2,GB_ENG_E06000003
2020-04-27,304,9,GB_ENG_E06000003
2020-04-28,313,9,GB_ENG_E06000003
2020-04-29,320,7,GB_ENG_E06000003
2020-04-30,326,6,GB_ENG_E06000003
2020-05-01,332,6,GB_ENG_E06000003
2020-05-03,337,5,GB_ENG_E06000003
2020-05-04,344,7,GB_ENG_E06000003
2020-05-05,349,5,GB_ENG_E06000003
2020-05-06,357,8,GB_ENG_E06000003
2020-05-07,364,7,GB_ENG_E06000003
2020-05-08,367,3,GB_ENG_E06000003
2020-05-09,369,2,GB_ENG_E06000003
2020-05-10,375,6,GB_ENG_E06000003
2020-05-12,378,3,GB_ENG_E06000003
2020-05-13,383,5,GB_ENG_E06000003
2020-05-14,384,1,GB_ENG_E06000003
2020-05-16,386,2,GB_ENG_E06000003
2020-05-17,388,2,GB_ENG_E06000003
2020-05-18,394,6,GB_ENG_E06000003
2020-05-19,400,6,GB_ENG_E06000003
2020-05-21,403,3,GB_ENG_E06000003
2020-05-22,405,2,GB_ENG_E06000003
2020-05-24,408,3,GB_ENG_E06000003
2020-05-25,413,5,GB_ENG_E06000003
2020-05-26,415,2,GB_ENG_E06000003
2020-05-27,418,3,GB_ENG_E06000003
2020-05-28,421,3,GB_ENG_E06000003
2020-05-29,423,2,GB_ENG_E06000003
2020-05-31,426,3,GB_ENG_E06000003
2020-06-02,427,1,GB_ENG_E06000003
2020-06-05,428,1,GB_ENG_E06000003
2020-06-09,429,1,GB_ENG_E06000003
2020-06-20,429,0,GB_ENG_E06000003
2020-03-09,1,,GB_ENG_E06000004
2020-03-10,3,2,GB_ENG_E06000004
2020-03-11,4,1,GB_ENG_E06000004
2020-03-14,5,1,GB_ENG_E06000004
2020-03-16,6,1,GB_ENG_E06000004
2020-03-17,9,3,GB_ENG_E06000004
2020-03-19,10,1,GB_ENG_E06000004
2020-03-20,12,2,GB_ENG_E06000004
2020-03-23,15,3,GB_ENG_E06000004
2020-03-24,17,2,GB_ENG_E06000004
2020-03-25,19,2,GB_ENG_E06000004
2020-03-26,25,6,GB_ENG_E06000004
2020-03-27,34,9,GB_ENG_E06000004
2020-03-28,44,10,GB_ENG_E06000004
2020-03-29,48,4,GB_ENG_E06000004
2020-03-30,64,16,GB_ENG_E06000004
2020-03-31,72,8,GB_ENG_E06000004
2020-04-01,85,13,GB_ENG_E06000004
2020-04-02,98,13,GB_ENG_E06000004
2020-04-03,114,16,GB_ENG_E06000004
2020-04-04,125,11,GB_ENG_E06000004
2020-04-05,137,12,GB_ENG_E06000004
2020-04-06,146,9,GB_ENG_E06000004
2020-04-07,166,20,GB_ENG_E06000004
2020-04-08,175,9,GB_ENG_E06000004
2020-04-09,193,18,GB_ENG_E06000004
2020-04-10,199,6,GB_ENG_E06000004
2020-04-11,210,11,GB_ENG_E06000004
2020-04-12,220,10,GB_ENG_E06000004
2020-04-13,229,9,GB_ENG_E06000004
2020-04-14,244,15,GB_ENG_E06000004
2020-04-15,253,9,GB_ENG_E06000004
2020-04-16,261,8,GB_ENG_E06000004
2020-04-17,264,3,GB_ENG_E06000004
2020-04-18,270,6,GB_ENG_E06000004
2020-04-19,279,9,GB_ENG_E06000004
2020-04-20,295,16,GB_ENG_E06000004
2020-04-21,306,11,GB_ENG_E06000004
2020-04-22,321,15,GB_ENG_E06000004
2020-04-23,331,10,GB_ENG_E06000004
2020-04-24,336,5,GB_ENG_E06000004
2020-04-25,339,3,GB_ENG_E06000004
2020-04-26,348,9,GB_ENG_E06000004
2020-04-27,354,6,GB_ENG_E06000004
2020-04-28,375,21,GB_ENG_E06000004
2020-04-29,382,7,GB_ENG_E06000004
2020-04-30,392,10,GB_ENG_E06000004
2020-05-01,409,17,GB_ENG_E06000004
2020-05-02,413,4,GB_ENG_E06000004
2020-05-03,421,8,GB_ENG_E06000004
2020-05-04,432,11,GB_ENG_E06000004
2020-05-05,448,16,GB_ENG_E06000004
2020-05-06,458,10,GB_ENG_E06000004
2020-05-07,464,6,GB_ENG_E06000004
2020-05-08,466,2,GB_ENG_E06000004
2020-05-09,472,6,GB_ENG_E06000004
2020-05-10,482,10,GB_ENG_E06000004
2020-05-11,486,4,GB_ENG_E06000004
2020-05-12,496,10,GB_ENG_E06000004
2020-05-13,503,7,GB_ENG_E06000004
2020-05-14,509,6,GB_ENG_E06000004
2020-05-15,518,9,GB_ENG_E06000004
2020-05-16,525,7,GB_ENG_E06000004
2020-05-17,527,2,GB_ENG_E06000004
2020-05-18,540,13,GB_ENG_E06000004
2020-05-19,552,12,GB_ENG_E06000004
2020-05-20,558,6,GB_ENG_E06000004
2020-05-21,560,2,GB_ENG_E06000004
2020-05-22,563,3,GB_ENG_E06000004
2020-05-23,571,8,GB_ENG_E06000004
2020-05-24,576,5,GB_ENG_E06000004
2020-05-25,583,7,GB_ENG_E06000004
2020-05-26,591,8,GB_ENG_E06000004
2020-05-27,594,3,GB_ENG_E06000004
2020-05-28,597,3,GB_ENG_E06000004
2020-05-29,600,3,GB_ENG_E06000004
2020-05-30,602,2,GB_ENG_E06000004
2020-05-31,603,1,GB_ENG_E06000004
2020-06-01,605,2,GB_ENG_E06000004
2020-06-02,612,7,GB_ENG_E06000004
2020-06-03,615,3,GB_ENG_E06000004
2020-06-05,617,2,GB_ENG_E06000004
2020-06-06,618,1,GB_ENG_E06000004
2020-06-08,620,2,GB_ENG_E06000004
2020-06-09,623,3,GB_ENG_E06000004
2020-06-10,626,3,GB_ENG_E06000004
2020-06-11,627,1,GB_ENG_E06000004
2020-06-12,630,3,GB_ENG_E06000004
2020-06-15,634,4,GB_ENG_E06000004
2020-06-16,636,2,GB_ENG_E06000004
2020-06-18,643,7,GB_ENG_E06000004
2020-06-19,644,1,GB_ENG_E06000004
2020-06-20,644,0,GB_ENG_E06000004
2020-03-06,1,,GB_ENG_E06000005
2020-03-12,2,1,GB_ENG_E06000005
2020-03-19,3,1,GB_ENG_E06000005
2020-03-23,4,1,GB_ENG_E06000005
2020-03-24,6,2,GB_ENG_E06000005
2020-03-25,9,3,GB_ENG_E06000005
2020-03-26,12,3,GB_ENG_E06000005
2020-03-27,14,2,GB_ENG_E06000005
2020-03-28,17,3,GB_ENG_E06000005
2020-03-29,18,1,GB_ENG_E06000005
2020-03-30,27,9,GB_ENG_E06000005
2020-03-31,29,2,GB_ENG_E06000005
2020-04-01,33,4,GB_ENG_E06000005
2020-04-02,38,5,GB_ENG_E06000005
2020-04-03,44,6,GB_ENG_E06000005
2020-04-04,55,11,GB_ENG_E06000005
2020-04-05,57,2,GB_ENG_E06000005
2020-04-06,78,21,GB_ENG_E06000005
2020-04-07,89,11,GB_ENG_E06000005
2020-04-08,109,20,GB_ENG_E06000005
2020-04-09,123,14,GB_ENG_E06000005
2020-04-10,127,4,GB_ENG_E06000005
2020-04-11,136,9,GB_ENG_E06000005
2020-04-12,151,15,GB_ENG_E06000005
2020-04-13,156,5,GB_ENG_E06000005
2020-04-14,163,7,GB_ENG_E06000005
2020-04-15,173,10,GB_ENG_E06000005
2020-04-16,179,6,GB_ENG_E06000005
2020-04-17,186,7,GB_ENG_E06000005
2020-04-18,194,8,GB_ENG_E06000005
2020-04-19,199,5,GB_ENG_E06000005
2020-04-20,212,13,GB_ENG_E06000005
2020-04-21,222,10,GB_ENG_E06000005
2020-04-22,228,6,GB_ENG_E06000005
2020-04-23,236,8,GB_ENG_E06000005
2020-04-24,244,8,GB_ENG_E06000005
2020-04-25,249,5,GB_ENG_E06000005
2020-04-26,251,2,GB_ENG_E06000005
2020-04-27,272,21,GB_ENG_E06000005
2020-04-28,278,6,GB_ENG_E06000005
2020-04-29,289,11,GB_ENG_E06000005
2020-04-30,295,6,GB_ENG_E06000005
2020-05-01,301,6,GB_ENG_E06000005
2020-05-02,307,6,GB_ENG_E06000005
2020-05-04,320,13,GB_ENG_E06000005
2020-05-05,324,4,GB_ENG_E06000005
2020-05-06,328,4,GB_ENG_E06000005
2020-05-07,332,4,GB_ENG_E06000005
2020-05-09,337,5,GB_ENG_E06000005
2020-05-10,340,3,GB_ENG_E06000005
2020-05-11,344,4,GB_ENG_E06000005
2020-05-12,350,6,GB_ENG_E06000005
2020-05-13,351,1,GB_ENG_E06000005
2020-05-14,352,1,GB_ENG_E06000005
2020-05-15,353,1,GB_ENG_E06000005
2020-05-16,354,1,GB_ENG_E06000005
2020-05-17,355,1,GB_ENG_E06000005
2020-05-18,359,4,GB_ENG_E06000005
2020-05-19,362,3,GB_ENG_E06000005
2020-05-20,367,5,GB_ENG_E06000005
2020-05-21,368,1,GB_ENG_E06000005
2020-05-22,370,2,GB_ENG_E06000005
2020-05-23,371,1,GB_ENG_E06000005
2020-05-24,374,3,GB_ENG_E06000005
2020-05-25,377,3,GB_ENG_E06000005
2020-05-27,385,8,GB_ENG_E06000005
2020-05-28,388,3,GB_ENG_E06000005
2020-05-29,389,1,GB_ENG_E06000005
2020-05-30,390,1,GB_ENG_E06000005
2020-06-01,392,2,GB_ENG_E06000005
2020-06-02,393,1,GB_ENG_E06000005
2020-06-04,396,3,GB_ENG_E06000005
2020-06-05,397,1,GB_ENG_E06000005
2020-06-06,398,1,GB_ENG_E06000005
2020-06-07,399,1,GB_ENG_E06000005
2020-06-08,400,1,GB_ENG_E06000005
2020-06-10,401,1,GB_ENG_E06000005
2020-06-11,402,1,GB_ENG_E06000005
2020-06-13,406,4,GB_ENG_E06000005
2020-06-18,407,1,GB_ENG_E06000005
2020-06-20,407,0,GB_ENG_E06000005
2020-03-12,2,,GB_ENG_E06000006
2020-03-13,3,1,GB_ENG_E06000006
2020-03-14,4,1,GB_ENG_E06000006
2020-03-16,5,1,GB_ENG_E06000006
2020-03-17,7,2,GB_ENG_E06000006
2020-03-20,8,1,GB_ENG_E06000006
2020-03-24,13,5,GB_ENG_E06000006
2020-03-25,16,3,GB_ENG_E06000006
2020-03-26,18,2,GB_ENG_E06000006
2020-03-27,25,7,GB_ENG_E06000006
2020-03-28,34,9,GB_ENG_E06000006
2020-03-29,36,2,GB_ENG_E06000006
2020-03-30,48,12,GB_ENG_E06000006
2020-03-31,57,9,GB_ENG_E06000006
2020-04-01,65,8,GB_ENG_E06000006
2020-04-02,79,14,GB_ENG_E06000006
2020-04-03,97,18,GB_ENG_E06000006
2020-04-04,108,11,GB_ENG_E06000006
2020-04-05,123,15,GB_ENG_E06000006
2020-04-06,147,24,GB_ENG_E06000006
2020-04-07,159,12,GB_ENG_E06000006
2020-04-08,173,14,GB_ENG_E06000006
2020-04-09,188,15,GB_ENG_E06000006
2020-04-10,200,12,GB_ENG_E06000006
2020-04-11,211,11,GB_ENG_E06000006
2020-04-12,215,4,GB_ENG_E06000006
2020-04-13,223,8,GB_ENG_E06000006
2020-04-14,233,10,GB_ENG_E06000006
2020-04-15,244,11,GB_ENG_E06000006
2020-04-16,254,10,GB_ENG_E06000006
2020-04-17,264,10,GB_ENG_E06000006
2020-04-18,270,6,GB_ENG_E06000006
2020-04-19,279,9,GB_ENG_E06000006
2020-04-20,286,7,GB_ENG_E06000006
2020-04-21,291,5,GB_ENG_E06000006
2020-04-22,295,4,GB_ENG_E06000006
2020-04-23,300,5,GB_ENG_E06000006
2020-04-24,305,5,GB_ENG_E06000006
2020-04-25,306,1,GB_ENG_E06000006
2020-04-27,312,6,GB_ENG_E06000006
2020-04-28,316,4,GB_ENG_E06000006
2020-04-29,323,7,GB_ENG_E06000006
2020-04-30,329,6,GB_ENG_E06000006
2020-05-01,332,3,GB_ENG_E06000006
2020-05-02,334,2,GB_ENG_E06000006
2020-05-03,336,2,GB_ENG_E06000006
2020-05-04,338,2,GB_ENG_E06000006
2020-05-05,340,2,GB_ENG_E06000006
2020-05-06,341,1,GB_ENG_E06000006
2020-05-07,343,2,GB_ENG_E06000006
2020-05-08,347,4,GB_ENG_E06000006
2020-05-09,348,1,GB_ENG_E06000006
2020-05-11,352,4,GB_ENG_E06000006
2020-05-12,355,3,GB_ENG_E06000006
2020-05-13,359,4,GB_ENG_E06000006
2020-05-14,360,1,GB_ENG_E06000006
2020-05-15,361,1,GB_ENG_E06000006
2020-05-16,372,11,GB_ENG_E06000006
2020-05-17,376,4,GB_ENG_E06000006
2020-05-18,380,4,GB_ENG_E06000006
2020-05-19,386,6,GB_ENG_E06000006
2020-05-20,387,1,GB_ENG_E06000006
2020-05-21,391,4,GB_ENG_E06000006
2020-05-25,392,1,GB_ENG_E06000006
2020-05-26,395,3,GB_ENG_E06000006
2020-05-27,398,3,GB_ENG_E06000006
2020-05-29,404,6,GB_ENG_E06000006
2020-06-02,406,2,GB_ENG_E06000006
2020-06-04,407,1,GB_ENG_E06000006
2020-06-09,408,1,GB_ENG_E06000006
2020-06-10,411,3,GB_ENG_E06000006
2020-06-18,412,1,GB_ENG_E06000006
2020-06-20,412,0,GB_ENG_E06000006
2020-03-09,1,,GB_ENG_E06000007
2020-03-12,3,2,GB_ENG_E06000007
2020-03-15,4,1,GB_ENG_E06000007
2020-03-19,6,2,GB_ENG_E06000007
2020-03-20,7,1,GB_ENG_E06000007
2020-03-21,8,1,GB_ENG_E06000007
2020-03-22,10,2,GB_ENG_E06000007
2020-03-23,15,5,GB_ENG_E06000007
2020-03-24,18,3,GB_ENG_E06000007
2020-03-25,19,1,GB_ENG_E06000007
2020-03-26,22,3,GB_ENG_E06000007
2020-03-27,32,10,GB_ENG_E06000007
2020-03-28,40,8,GB_ENG_E06000007
2020-03-29,50,10,GB_ENG_E06000007
2020-03-30,68,18,GB_ENG_E06000007
2020-03-31,87,19,GB_ENG_E06000007
2020-04-01,104,17,GB_ENG_E06000007
2020-04-02,129,25,GB_ENG_E06000007
2020-04-03,145,16,GB_ENG_E06000007
2020-04-04,161,16,GB_ENG_E06000007
2020-04-05,184,23,GB_ENG_E06000007
2020-04-06,217,33,GB_ENG_E06000007
2020-04-07,248,31,GB_ENG_E06000007
2020-04-08,286,38,GB_ENG_E06000007
2020-04-09,308,22,GB_ENG_E06000007
2020-04-10,336,28,GB_ENG_E06000007
2020-04-11,353,17,GB_ENG_E06000007
2020-04-12,360,7,GB_ENG_E06000007
2020-04-13,377,17,GB_ENG_E06000007
2020-04-14,406,29,GB_ENG_E06000007
2020-04-15,419,13,GB_ENG_E06000007
2020-04-16,445,26,GB_ENG_E06000007
2020-04-17,458,13,GB_ENG_E06000007
2020-04-18,469,11,GB_ENG_E06000007
2020-04-19,476,7,GB_ENG_E06000007
2020-04-20,496,20,GB_ENG_E06000007
2020-04-21,520,24,GB_ENG_E06000007
2020-04-22,533,13,GB_ENG_E06000007
2020-04-23,556,23,GB_ENG_E06000007
2020-04-24,564,8,GB_ENG_E06000007
2020-04-25,574,10,GB_ENG_E06000007
2020-04-26,581,7,GB_ENG_E06000007
2020-04-27,596,15,GB_ENG_E06000007
2020-04-28,612,16,GB_ENG_E06000007
2020-04-29,623,11,GB_ENG_E06000007
2020-04-30,639,16,GB_ENG_E06000007
2020-05-01,645,6,GB_ENG_E06000007
2020-05-02,649,4,GB_ENG_E06000007
2020-05-03,652,3,GB_ENG_E06000007
2020-05-04,662,10,GB_ENG_E06000007
2020-05-05,665,3,GB_ENG_E06000007
2020-05-06,675,10,GB_ENG_E06000007
2020-05-07,679,4,GB_ENG_E06000007
2020-05-08,680,1,GB_ENG_E06000007
2020-05-09,685,5,GB_ENG_E06000007
2020-05-10,688,3,GB_ENG_E06000007
2020-05-11,692,4,GB_ENG_E06000007
2020-05-12,701,9,GB_ENG_E06000007
2020-05-13,710,9,GB_ENG_E06000007
2020-05-14,718,8,GB_ENG_E06000007
2020-05-15,722,4,GB_ENG_E06000007
2020-05-16,730,8,GB_ENG_E06000007
2020-05-17,733,3,GB_ENG_E06000007
2020-05-18,739,6,GB_ENG_E06000007
2020-05-19,746,7,GB_ENG_E06000007
2020-05-20,747,1,GB_ENG_E06000007
2020-05-21,756,9,GB_ENG_E06000007
2020-05-22,759,3,GB_ENG_E06000007
2020-05-23,760,1,GB_ENG_E06000007
2020-05-24,762,2,GB_ENG_E06000007
2020-05-25,763,1,GB_ENG_E06000007
2020-05-26,765,2,GB_ENG_E06000007
2020-05-27,767,2,GB_ENG_E06000007
2020-05-28,769,2,GB_ENG_E06000007
2020-05-29,771,2,GB_ENG_E06000007
2020-05-31,774,3,GB_ENG_E06000007
2020-06-01,776,2,GB_ENG_E06000007
2020-06-02,780,4,GB_ENG_E06000007
2020-06-03,781,1,GB_ENG_E06000007
2020-06-04,782,1,GB_ENG_E06000007
2020-06-05,785,3,GB_ENG_E06000007
2020-06-06,786,1,GB_ENG_E06000007
2020-06-07,787,1,GB_ENG_E06000007
2020-06-08,788,1,GB_ENG_E06000007
2020-06-09,790,2,GB_ENG_E06000007
2020-06-10,792,2,GB_ENG_E06000007
2020-06-11,794,2,GB_ENG_E06000007
2020-06-12,797,3,GB_ENG_E06000007
2020-06-13,798,1,GB_ENG_E06000007
2020-06-14,799,1,GB_ENG_E06000007
2020-06-16,801,2,GB_ENG_E06000007
2020-06-17,802,1,GB_ENG_E06000007
2020-06-20,802,0,GB_ENG_E06000007
2020-03-13,1,,GB_ENG_E06000008
2020-03-20,3,2,GB_ENG_E06000008
2020-03-22,4,1,GB_ENG_E06000008
2020-03-23,7,3,GB_ENG_E06000008
2020-03-24,11,4,GB_ENG_E06000008
2020-03-25,12,1,GB_ENG_E06000008
2020-03-26,14,2,GB_ENG_E06000008
2020-03-27,18,4,GB_ENG_E06000008
2020-03-28,22,4,GB_ENG_E06000008
2020-03-29,30,8,GB_ENG_E06000008
2020-03-30,38,8,GB_ENG_E06000008
2020-03-31,46,8,GB_ENG_E06000008
2020-04-01,54,8,GB_ENG_E06000008
2020-04-02,66,12,GB_ENG_E06000008
2020-04-03,75,9,GB_ENG_E06000008
2020-04-04,85,10,GB_ENG_E06000008
2020-04-05,93,8,GB_ENG_E06000008
2020-04-06,103,10,GB_ENG_E06000008
2020-04-07,117,14,GB_ENG_E06000008
2020-04-08,129,12,GB_ENG_E06000008
2020-04-09,146,17,GB_ENG_E06000008
2020-04-10,158,12,GB_ENG_E06000008
2020-04-11,168,10,GB_ENG_E06000008
2020-04-12,180,12,GB_ENG_E06000008
2020-04-13,191,11,GB_ENG_E06000008
2020-04-14,207,16,GB_ENG_E06000008
2020-04-15,216,9,GB_ENG_E06000008
2020-04-16,227,11,GB_ENG_E06000008
2020-04-17,232,5,GB_ENG_E06000008
2020-04-18,246,14,GB_ENG_E06000008
2020-04-19,251,5,GB_ENG_E06000008
2020-04-20,259,8,GB_ENG_E06000008
2020-04-21,267,8,GB_ENG_E06000008
2020-04-22,275,8,GB_ENG_E06000008
2020-04-23,286,11,GB_ENG_E06000008
