date,country_code,subregion1_code,new_confirmed,new_deceased,total_confirmed,total_deceased,key
2020-04-08,BR,AC,4,1,54,2,BR_AC
2020-04-09,BR,AC,8,0,62,2,BR_AC
2020-04-10,BR,AC,8,0,70,2,BR_AC
2020-04-11,BR,AC,2,0,72,2,BR_AC
2020-04-12,BR,AC,5,0,77,2,BR_AC
2020-04-13,BR,AC,13,1,90,3,BR_AC
2020-04-14,BR,AC,9,0,99,3,BR_AC
2020-04-15,BR,AC,2,0,101,3,BR_AC
2020-04-16,BR,AC,9,2,110,5,BR_AC
2020-04-17,BR,AC,25,0,135,5,BR_AC
2020-04-18,BR,AC,7,0,142,5,BR_AC
2020-04-19,BR,AC,21,1,163,6,BR_AC
2020-04-20,BR,AC,13,2,176,8,BR_AC
2020-04-21,BR,AC,19,0,195,8,BR_AC
2020-04-22,BR,AC,19,0,214,8,BR_AC
2020-04-23,BR,AC,13,2,227,10,BR_AC
2020-04-24,BR,AC,7,1,234,11,BR_AC
2020-04-25,BR,AC,24,0,258,11,BR_AC
2020-04-26,BR,AC,21,0,279,11,BR_AC
2020-04-27,BR,AC,0,3,279,14,BR_AC
2020-04-28,BR,AC,32,2,311,16,BR_AC
2020-04-29,BR,AC,43,1,354,17,BR_AC
2020-04-30,BR,AC,50,2,404,19,BR_AC
2020-05-01,BR,AC,82,0,486,19,BR_AC
2020-05-02,BR,AC,67,3,553,22,BR_AC
2020-05-03,BR,AC,104,2,657,24,BR_AC
2020-05-04,BR,AC,76,4,733,28,BR_AC
2020-05-05,BR,AC,84,1,817,29,BR_AC
2020-05-06,BR,AC,126,4,943,33,BR_AC
2020-05-07,BR,AC,71,3,1014,36,BR_AC
2020-05-08,BR,AC,163,2,1177,38,BR_AC
2020-05-09,BR,AC,158,1,1335,39,BR_AC
2020-05-10,BR,AC,112,2,1447,41,BR_AC
2020-05-11,BR,AC,13,4,1460,45,BR_AC
2020-05-12,BR,AC,130,6,1590,51,BR_AC
2020-05-13,BR,AC,104,1,1694,52,BR_AC
2020-05-14,BR,AC,46,3,1740,55,BR_AC
2020-05-15,BR,AC,45,2,1785,57,BR_AC
2020-05-16,BR,AC,82,2,1867,59,BR_AC
2020-05-17,BR,AC,130,1,1997,60,BR_AC
2020-05-18,BR,AC,237,7,2234,67,BR_AC
2020-05-19,BR,AC,248,5,2482,72,BR_AC
2020-05-20,BR,AC,335,4,2817,76,BR_AC
2020-05-21,BR,AC,286,2,3103,78,BR_AC
2020-05-22,BR,AC,240,2,3343,80,BR_AC
2020-05-23,BR,AC,524,7,3867,87,BR_AC
2020-05-24,BR,AC,293,5,4160,92,BR_AC
2020-05-25,BR,AC,341,5,4501,97,BR_AC
2020-05-26,BR,AC,280,8,4781,105,BR_AC
2020-05-27,BR,AC,470,8,5251,113,BR_AC
2020-05-28,BR,AC,349,9,5600,122,BR_AC
2020-05-29,BR,AC,241,13,5841,135,BR_AC
2020-05-30,BR,AC,231,7,6072,142,BR_AC
2020-05-31,BR,AC,147,6,6219,148,BR_AC
2020-06-01,BR,AC,107,13,6326,161,BR_AC
2020-06-02,BR,AC,139,4,6465,165,BR_AC
2020-06-03,BR,AC,214,6,6679,171,BR_AC
2020-06-04,BR,AC,342,10,7021,181,BR_AC
2020-06-05,BR,AC,263,9,7284,190,BR_AC
2020-06-06,BR,AC,241,11,7525,201,BR_AC
2020-06-07,BR,AC,458,6,7983,207,BR_AC
2020-06-08,BR,AC,145,4,8128,211,BR_AC
2020-06-09,BR,AC,329,12,8457,223,BR_AC
2020-06-10,BR,AC,289,14,8746,237,BR_AC
2020-06-11,BR,AC,345,8,9091,245,BR_AC
2020-06-12,BR,AC,204,9,9295,254,BR_AC
2020-06-13,BR,AC,239,2,9534,256,BR_AC
2020-06-14,BR,AC,108,3,9642,259,BR_AC
2020-06-15,BR,AC,129,6,9771,265,BR_AC
2020-06-16,BR,AC,232,6,10003,271,BR_AC
2020-06-17,BR,AC,336,10,10339,281,BR_AC
2020-02-26,BR,AP,0,0,0,0,BR_AP
2020-02-27,BR,AP,0,0,0,0,BR_AP
2020-02-28,BR,AP,0,0,0,0,BR_AP
2020-02-29,BR,AP,0,0,0,0,BR_AP
2020-03-01,BR,AP,0,0,0,0,BR_AP
2020-03-02,BR,AP,0,0,0,0,BR_AP
2020-03-03,BR,AP,0,0,0,0,BR_AP
2020-03-04,BR,AP,0,0,0,0,BR_AP
2020-03-05,BR,AP,0,0,0,0,BR_AP
2020-03-06,BR,AP,0,0,0,0,BR_AP
2020-03-07,BR,AP,0,0,0,0,BR_AP
2020-03-08,BR,AP,0,0,0,0,BR_AP
2020-03-09,BR,AP,0,0,0,0,BR_AP
2020-03-10,BR,AP,0,0,0,0,BR_AP
2020-03-11,BR,AP,0,0,0,0,BR_AP
2020-03-12,BR,AP,0,0,0,0,BR_AP
2020-03-13,BR,AP,0,0,0,0,BR_AP
2020-03-14,BR,AP,0,0,0,0,BR_AP
2020-03-15,BR,AP,0,0,0,0,BR_AP
2020-03-16,BR,AP,0,0,0,0,BR_AP
2020-03-17,BR,AP,0,0,0,0,BR_AP
2020-03-18,BR,AP,0,0,0,0,BR_AP
2020-03-19,BR,AP,0,0,0,0,BR_AP
2020-03-20,BR,AP,1,0,1,0,BR_AP
2020-03-21,BR,AP,0,0,1,0,BR_AP
2020-03-22,BR,AP,0,0,1,0,BR_AP
2020-03-23,BR,AP,0,0,1,0,BR_AP
2020-03-24,BR,AP,0,0,1,0,BR_AP
2020-03-25,BR,AP,0,0,1,0,BR_AP
2020-03-26,BR,AP,1,0,2,0,BR_AP
2020-03-27,BR,AP,0,0,2,0,BR_AP
2020-03-28,BR,AP,2,0,4,0,BR_AP
2020-03-29,BR,AP,0,0,4,0,BR_AP
2020-03-30,BR,AP,4,0,8,0,BR_AP
2020-03-31,BR,AP,2,0,10,0,BR_AP
2020-04-01,BR,AP,1,0,11,0,BR_AP
2020-04-02,BR,AP,0,0,11,0,BR_AP
2020-04-03,BR,AP,8,0,19,0,BR_AP
2020-04-04,BR,AP,9,1,28,1,BR_AP
2020-04-05,BR,AP,1,1,29,2,BR_AP
2020-04-06,BR,AP,5,0,34,2,BR_AP
2020-04-07,BR,AP,14,0,48,2,BR_AP
2020-04-08,BR,AP,59,0,107,2,BR_AP
2020-04-09,BR,AP,21,0,128,2,BR_AP
2020-04-10,BR,AP,38,0,166,2,BR_AP
2020-04-11,BR,AP,27,1,193,3,BR_AP
2020-04-12,BR,AP,37,2,230,5,BR_AP
2020-04-13,BR,AP,12,0,242,5,BR_AP
2020-04-14,BR,AP,65,1,307,6,BR_AP
2020-04-15,BR,AP,27,1,334,7,BR_AP
2020-04-16,BR,AP,28,2,362,9,BR_AP
2020-04-17,BR,AP,8,1,370,10,BR_AP
2020-04-18,BR,AP,23,0,393,10,BR_AP
2020-04-19,BR,AP,23,1,416,11,BR_AP
2020-04-20,BR,AP,17,2,433,13,BR_AP
2020-04-21,BR,AP,24,0,457,13,BR_AP
2020-04-22,BR,AP,22,1,479,14,BR_AP
2020-04-23,BR,AP,69,2,548,16,BR_AP
2020-04-24,BR,AP,85,2,633,18,BR_AP
2020-04-25,BR,AP,52,1,685,19,BR_AP
2020-04-26,BR,AP,113,2,798,21,BR_AP
2020-04-27,BR,AP,44,5,842,26,BR_AP
2020-04-28,BR,AP,76,2,918,28,BR_AP
2020-04-29,BR,AP,98,3,1016,31,BR_AP
2020-04-30,BR,AP,64,3,1080,34,BR_AP
2020-05-01,BR,AP,41,3,1121,37,BR_AP
2020-05-02,BR,AP,66,3,1187,40,BR_AP
2020-05-03,BR,AP,295,3,1482,43,BR_AP
2020-05-04,BR,AP,251,6,1733,49,BR_AP
2020-05-05,BR,AP,198,6,1931,55,BR_AP
2020-05-06,BR,AP,115,1,2046,56,BR_AP
2020-05-07,BR,AP,153,5,2199,61,BR_AP
2020-05-08,BR,AP,123,5,2322,66,BR_AP
2020-05-09,BR,AP,171,3,2493,69,BR_AP
2020-05-10,BR,AP,120,3,2613,72,BR_AP
2020-05-11,BR,AP,58,1,2671,73,BR_AP
2020-05-12,BR,AP,239,13,2910,86,BR_AP
2020-05-13,BR,AP,95,8,3005,94,BR_AP
2020-05-14,BR,AP,423,7,3428,101,BR_AP
2020-05-15,BR,AP,202,2,3630,103,BR_AP
2020-05-16,BR,AP,204,5,3834,108,BR_AP
2020-05-17,BR,AP,118,11,3952,119,BR_AP
2020-05-18,BR,AP,71,8,4023,127,BR_AP
2020-05-19,BR,AP,287,9,4310,136,BR_AP
2020-05-20,BR,AP,239,6,4549,142,BR_AP
2020-05-21,BR,AP,639,9,5188,151,BR_AP
2020-05-22,BR,AP,467,6,5655,157,BR_AP
2020-05-23,BR,AP,436,5,6091,162,BR_AP
2020-05-24,BR,AP,262,1,6353,163,BR_AP
2020-05-25,BR,AP,231,5,6584,168,BR_AP
2020-05-26,BR,AP,383,5,6967,173,BR_AP
2020-05-27,BR,AP,652,10,7619,183,BR_AP
2020-05-28,BR,AP,533,15,8152,198,BR_AP
2020-05-29,BR,AP,317,9,8469,207,BR_AP
2020-05-30,BR,AP,844,8,9313,215,BR_AP
2020-05-31,BR,AP,289,7,9602,222,BR_AP
2020-06-01,BR,AP,288,6,9890,228,BR_AP
2020-06-02,BR,AP,621,9,10511,237,BR_AP
2020-06-03,BR,AP,596,10,11107,247,BR_AP
2020-06-04,BR,AP,444,7,11551,254,BR_AP
2020-06-05,BR,AP,776,6,12327,260,BR_AP
2020-06-06,BR,AP,446,9,12773,269,BR_AP
2020-06-07,BR,AP,272,3,13045,272,BR_AP
2020-06-08,BR,AP,249,6,13294,278,BR_AP
2020-06-09,BR,AP,477,7,13771,285,BR_AP
2020-06-10,BR,AP,852,4,14623,289,BR_AP
2020-06-11,BR,AP,543,14,15166,303,BR_AP
2020-06-12,BR,AP,517,9,15683,312,BR_AP
2020-06-13,BR,AP,639,7,16322,319,BR_AP
2020-06-14,BR,AP,190,5,16512,324,BR_AP
2020-06-15,BR,AP,301,5,16813,329,BR_AP
2020-06-16,BR,AP,1211,8,18024,337,BR_AP
2020-06-17,BR,AP,594,1,18618,338,BR_AP
2020-02-26,BR,AM,0,0,0,0,BR_AM
2020-02-27,BR,AM,0,0,0,0,BR_AM
2020-02-28,BR,AM,0,0,0,0,BR_AM
2020-02-29,BR,AM,0,0,0,0,BR_AM
2020-03-01,BR,AM,0,0,0,0,BR_AM
2020-03-02,BR,AM,0,0,0,0,BR_AM
2020-03-03,BR,AM,0,0,0,0,BR_AM
2020-03-04,BR,AM,0,0,0,0,BR_AM
2020-03-05,BR,AM,0,0,0,0,BR_AM
2020-03-06,BR,AM,0,0,0,0,BR_AM
2020-03-07,BR,AM,0,0,0,0,BR_AM
2020-03-08,BR,AM,0,0,0,0,BR_AM
2020-03-09,BR,AM,0,0,0,0,BR_AM
2020-03-10,BR,AM,0,0,0,0,BR_AM
2020-03-11,BR,AM,0,0,0,0,BR_AM
2020-03-12,BR,AM,0,0,0,0,BR_AM
2020-03-13,BR,AM,0,0,0,0,BR_AM
2020-03-14,BR,AM,0,0,0,0,BR_AM
2020-03-15,BR,AM,1,0,1,0,BR_AM
2020-03-16,BR,AM,0,0,1,0,BR_AM
2020-03-17,BR,AM,0,0,1,0,BR_AM
2020-03-18,BR,AM,0,0,1,0,BR_AM
2020-03-19,BR,AM,2,0,3,0,BR_AM
2020-03-20,BR,AM,0,0,3,0,BR_AM
2020-03-21,BR,AM,8,0,11,0,BR_AM
2020-03-22,BR,AM,15,0,26,0,BR_AM
2020-03-23,BR,AM,6,0,32,0,BR_AM
2020-03-24,BR,AM,15,0,47,0,BR_AM
2020-03-25,BR,AM,7,1,54,1,BR_AM
2020-03-26,BR,AM,13,0,67,1,BR_AM
2020-03-27,BR,AM,14,0,81,1,BR_AM
2020-03-28,BR,AM,30,0,111,1,BR_AM
2020-03-29,BR,AM,29,0,140,1,BR_AM
2020-03-30,BR,AM,11,0,151,1,BR_AM
2020-03-31,BR,AM,24,2,175,3,BR_AM
2020-04-01,BR,AM,25,0,200,3,BR_AM
2020-04-02,BR,AM,29,0,229,3,BR_AM
2020-04-03,BR,AM,31,4,260,7,BR_AM
2020-04-04,BR,AM,51,5,311,12,BR_AM
2020-04-05,BR,AM,106,2,417,14,BR_AM
2020-04-06,BR,AM,115,5,532,19,BR_AM
2020-04-07,BR,AM,104,4,636,23,BR_AM
2020-04-08,BR,AM,168,7,804,30,BR_AM
2020-04-09,BR,AM,95,10,899,40,BR_AM
2020-04-10,BR,AM,82,10,981,50,BR_AM
2020-04-11,BR,AM,69,3,1050,53,BR_AM
2020-04-12,BR,AM,156,9,1206,62,BR_AM
2020-04-13,BR,AM,69,9,1275,71,BR_AM
2020-04-14,BR,AM,209,19,1484,90,BR_AM
2020-04-15,BR,AM,70,16,1554,106,BR_AM
2020-04-16,BR,AM,165,18,1719,124,BR_AM
2020-04-17,BR,AM,90,21,1809,145,BR_AM
2020-04-18,BR,AM,88,16,1897,161,BR_AM
2020-04-19,BR,AM,147,21,2044,182,BR_AM
2020-04-20,BR,AM,116,3,2160,185,BR_AM
2020-04-21,BR,AM,110,8,2270,193,BR_AM
2020-04-22,BR,AM,209,14,2479,207,BR_AM
2020-04-23,BR,AM,409,27,2888,234,BR_AM
2020-04-24,BR,AM,306,21,3194,255,BR_AM
2020-04-25,BR,AM,441,32,3635,287,BR_AM
2020-04-26,BR,AM,198,17,3833,304,BR_AM
2020-04-27,BR,AM,95,16,3928,320,BR_AM
2020-04-28,BR,AM,409,31,4337,351,BR_AM
2020-04-29,BR,AM,464,29,4801,380,BR_AM
2020-04-30,BR,AM,453,45,5254,425,BR_AM
2020-05-01,BR,AM,469,51,5723,476,BR_AM
2020-05-02,BR,AM,339,25,6062,501,BR_AM
2020-05-03,BR,AM,621,47,6683,548,BR_AM
2020-05-04,BR,AM,559,36,7242,584,BR_AM
2020-05-05,BR,AM,867,65,8109,649,BR_AM
2020-05-06,BR,AM,1134,102,9243,751,BR_AM
2020-05-07,BR,AM,856,55,10099,806,BR_AM
2020-05-08,BR,AM,628,68,10727,874,BR_AM
2020-05-09,BR,AM,1198,88,11925,962,BR_AM
2020-05-10,BR,AM,674,42,12599,1004,BR_AM
2020-05-11,BR,AM,320,31,12919,1035,BR_AM
2020-05-12,BR,AM,1249,63,14168,1098,BR_AM
2020-05-13,BR,AM,1648,62,15816,1160,BR_AM
2020-05-14,BR,AM,1365,75,17181,1235,BR_AM
2020-05-15,BR,AM,1211,96,18392,1331,BR_AM
2020-05-16,BR,AM,1285,44,19677,1375,BR_AM
2020-05-17,BR,AM,651,38,20328,1413,BR_AM
2020-05-18,BR,AM,585,20,20913,1433,BR_AM
2020-05-19,BR,AM,1219,58,22132,1491,BR_AM
2020-05-20,BR,AM,1572,70,23704,1561,BR_AM
2020-05-21,BR,AM,1663,59,25367,1620,BR_AM
2020-05-22,BR,AM,1671,49,27038,1669,BR_AM
2020-05-23,BR,AM,1764,75,28802,1744,BR_AM
2020-05-24,BR,AM,1065,14,29867,1758,BR_AM
2020-05-25,BR,AM,415,23,30282,1781,BR_AM
2020-05-26,BR,AM,1667,71,31949,1852,BR_AM
2020-05-27,BR,AM,1559,39,33508,1891,BR_AM
2020-05-28,BR,AM,2638,73,36146,1964,BR_AM
2020-05-29,BR,AM,2763,47,38909,2011,BR_AM
2020-05-30,BR,AM,1651,36,40560,2047,BR_AM
2020-05-31,BR,AM,818,5,41378,2052,BR_AM
2020-06-01,BR,AM,396,19,41774,2071,BR_AM
2020-06-02,BR,AM,1421,31,43195,2102,BR_AM
2020-06-03,BR,AM,1152,36,44347,2138,BR_AM
2020-06-04,BR,AM,2126,45,46473,2183,BR_AM
2020-06-05,BR,AM,1193,16,47666,2199,BR_AM
2020-06-06,BR,AM,1119,33,48785,2232,BR_AM
2020-06-07,BR,AM,484,18,49269,2250,BR_AM
2020-06-08,BR,AM,542,21,49811,2271,BR_AM
2020-06-09,BR,AM,1423,44,51234,2315,BR_AM
2020-06-10,BR,AM,1615,48,52849,2363,BR_AM
2020-06-11,BR,AM,1140,37,53989,2400,BR_AM
2020-06-12,BR,AM,1122,29,55111,2429,BR_AM
2020-06-13,BR,AM,915,36,56026,2465,BR_AM
2020-06-14,BR,AM,480,27,56506,2492,BR_AM
2020-06-15,BR,AM,271,20,56777,2512,BR_AM
2020-06-16,BR,AM,1241,37,58018,2549,BR_AM
2020-06-17,BR,AM,1529,30,59547,2579,BR_AM
2020-02-26,BR,PA,0,0,0,0,BR_PA
2020-02-27,BR,PA,0,0,0,0,BR_PA
2020-02-28,BR,PA,0,0,0,0,BR_PA
2020-02-29,BR,PA,0,0,0,0,BR_PA
2020-03-01,BR,PA,0,0,0,0,BR_PA
2020-03-02,BR,PA,0,0,0,0,BR_PA
2020-03-03,BR,PA,0,0,0,0,BR_PA
2020-03-04,BR,PA,0,0,0,0,BR_PA
2020-03-05,BR,PA,0,0,0,0,BR_PA
2020-03-06,BR,PA,0,0,0,0,BR_PA
2020-03-07,BR,PA,0,0,0,0,BR_PA
2020-03-08,BR,PA,0,0,0,0,BR_PA
2020-03-09,BR,PA,0,0,0,0,BR_PA
2020-03-10,BR,PA,0,0,0,0,BR_PA
2020-03-11,BR,PA,0,0,0,0,BR_PA
2020-03-12,BR,PA,0,0,0,0,BR_PA
2020-03-13,BR,PA,0,0,0,0,BR_PA
2020-03-14,BR,PA,0,0,0,0,BR_PA
2020-03-15,BR,PA,0,0,0,0,BR_PA
2020-03-16,BR,PA,0,0,0,0,BR_PA
2020-03-17,BR,PA,0,0,0,0,BR_PA
2020-03-18,BR,PA,0,0,0,0,BR_PA
2020-03-19,BR,PA,1,0,1,0,BR_PA
2020-03-20,BR,PA,1,0,2,0,BR_PA
2020-03-21,BR,PA,0,0,2,0,BR_PA
2020-03-22,BR,PA,2,0,4,0,BR_PA
2020-03-23,BR,PA,1,0,5,0,BR_PA
2020-03-24,BR,PA,0,0,5,0,BR_PA
2020-03-25,BR,PA,2,0,7,0,BR_PA
2020-03-26,BR,PA,6,0,13,0,BR_PA
2020-03-27,BR,PA,0,0,13,0,BR_PA
2020-03-28,BR,PA,4,0,17,0,BR_PA
2020-03-29,BR,PA,1,0,18,0,BR_PA
2020-03-30,BR,PA,3,0,21,0,BR_PA
2020-03-31,BR,PA,11,0,32,0,BR_PA
2020-04-01,BR,PA,8,0,40,0,BR_PA
2020-04-02,BR,PA,6,1,46,1,BR_PA
2020-04-03,BR,PA,4,0,50,1,BR_PA
2020-04-04,BR,PA,30,0,80,1,BR_PA
2020-04-05,BR,PA,6,0,86,1,BR_PA
2020-04-06,BR,PA,16,2,102,3,BR_PA
2020-04-07,BR,PA,36,2,138,5,BR_PA
2020-04-08,BR,PA,29,1,167,6,BR_PA
2020-04-09,BR,PA,1,1,168,7,BR_PA
2020-04-10,BR,PA,2,2,170,9,BR_PA
2020-04-11,BR,PA,47,1,217,10,BR_PA
2020-04-12,BR,PA,29,3,246,13,BR_PA
2020-04-13,BR,PA,24,2,270,15,BR_PA
2020-04-14,BR,PA,53,4,323,19,BR_PA
2020-04-15,BR,PA,61,2,384,21,BR_PA
2020-04-16,BR,PA,54,3,438,24,BR_PA
2020-04-17,BR,PA,119,2,557,26,BR_PA
2020-04-18,BR,PA,83,7,640,33,BR_PA
2020-04-19,BR,PA,45,1,685,34,BR_PA
2020-04-20,BR,PA,217,1,902,35,BR_PA
2020-04-21,BR,PA,124,3,1026,38,BR_PA
2020-04-22,BR,PA,169,5,1195,43,BR_PA
2020-04-23,BR,PA,72,10,1267,53,BR_PA
2020-04-24,BR,PA,179,22,1446,75,BR_PA
2020-04-25,BR,PA,133,11,1579,86,BR_PA
2020-04-26,BR,PA,288,14,1867,100,BR_PA
2020-04-27,BR,PA,261,14,2128,114,BR_PA
2020-04-28,BR,PA,134,15,2262,129,BR_PA
2020-04-29,BR,PA,160,8,2422,137,BR_PA
2020-04-30,BR,PA,454,71,2876,208,BR_PA
2020-05-01,BR,PA,300,27,3176,235,BR_PA
2020-05-02,BR,PA,284,38,3460,273,BR_PA
2020-05-03,BR,PA,403,36,3863,309,BR_PA
2020-05-04,BR,PA,262,21,4125,330,BR_PA
2020-05-05,BR,PA,347,39,4472,369,BR_PA
2020-05-06,BR,PA,545,23,5017,392,BR_PA
2020-05-07,BR,PA,507,18,5524,410,BR_PA
2020-05-08,BR,PA,617,105,6141,515,BR_PA
2020-05-09,BR,PA,634,63,6775,578,BR_PA
2020-05-10,BR,PA,481,74,7256,652,BR_PA
2020-05-11,BR,PA,307,56,7563,708,BR_PA
2020-05-12,BR,PA,1053,156,8616,864,BR_PA
2020-05-13,BR,PA,1002,82,9618,946,BR_PA
2020-05-14,BR,PA,1249,117,10867,1063,BR_PA
2020-05-15,BR,PA,1242,82,12109,1145,BR_PA
2020-05-16,BR,PA,1075,54,13184,1199,BR_PA
2020-05-17,BR,PA,680,40,13864,1239,BR_PA
2020-05-18,BR,PA,870,90,14734,1329,BR_PA
2020-05-19,BR,PA,1561,190,16295,1519,BR_PA
2020-05-20,BR,PA,1840,114,18135,1633,BR_PA
2020-05-21,BR,PA,1621,219,19756,1852,BR_PA
2020-05-22,BR,PA,1713,85,21469,1937,BR_PA
2020-05-23,BR,PA,1228,64,22697,2001,BR_PA
2020-05-24,BR,PA,1428,147,24125,2148,BR_PA
2020-05-25,BR,PA,1952,224,26077,2372,BR_PA
2020-05-26,BR,PA,2523,97,28600,2469,BR_PA
2020-05-27,BR,PA,2433,76,31033,2545,BR_PA
2020-05-28,BR,PA,2666,159,33699,2704,BR_PA
2020-05-29,BR,PA,2787,123,36486,2827,BR_PA
2020-05-30,BR,PA,810,73,37296,2900,BR_PA
2020-05-31,BR,PA,665,23,37961,2923,BR_PA
2020-06-01,BR,PA,85,2,38046,2925,BR_PA
2020-06-02,BR,PA,3161,115,41207,3040,BR_PA
2020-06-03,BR,PA,3567,153,44774,3193,BR_PA
2020-06-04,BR,PA,3275,223,48049,3416,BR_PA
2020-06-05,BR,PA,2911,122,50960,3538,BR_PA
2020-06-06,BR,PA,2216,74,53176,3612,BR_PA
2020-06-07,BR,PA,1095,66,54271,3678,BR_PA
2020-06-08,BR,PA,1761,94,56032,3772,BR_PA
2020-06-09,BR,PA,3116,81,59148,3853,BR_PA
2020-06-10,BR,PA,2947,74,62095,3927,BR_PA
2020-06-11,BR,PA,2031,103,64126,4030,BR_PA
2020-06-12,BR,PA,2202,102,66328,4132,BR_PA
2020-06-13,BR,PA,2182,45,68510,4177,BR_PA
2020-06-14,BR,PA,669,14,69179,4191,BR_PA
2020-06-15,BR,PA,45,10,69224,4201,BR_PA
2020-06-16,BR,PA,2019,90,71243,4291,BR_PA
2020-06-17,BR,PA,2949,59,74192,4350,BR_PA
2020-02-26,BR,RO,0,0,0,0,BR_RO
2020-02-27,BR,RO,0,0,0,0,BR_RO
2020-02-28,BR,RO,0,0,0,0,BR_RO
2020-02-29,BR,RO,0,0,0,0,BR_RO
2020-03-01,BR,RO,0,0,0,0,BR_RO
2020-03-02,BR,RO,0,0,0,0,BR_RO
2020-03-03,BR,RO,0,0,0,0,BR_RO
2020-03-04,BR,RO,0,0,0,0,BR_RO
2020-03-05,BR,RO,0,0,0,0,BR_RO
2020-03-06,BR,RO,0,0,0,0,BR_RO
2020-03-07,BR,RO,0,0,0,0,BR_RO
2020-03-08,BR,RO,0,0,0,0,BR_RO
2020-03-09,BR,RO,0,0,0,0,BR_RO
2020-03-10,BR,RO,0,0,0,0,BR_RO
2020-03-11,BR,RO,0,0,0,0,BR_RO
2020-03-12,BR,RO,0,0,0,0,BR_RO
2020-03-13,BR,RO,0,0,0,0,BR_RO
2020-03-14,BR,RO,0,0,0,0,BR_RO
2020-03-15,BR,RO,0,0,0,0,BR_RO
2020-03-16,BR,RO,0,0,0,0,BR_RO
2020-03-17,BR,RO,0,0,0,0,BR_RO
2020-03-18,BR,RO,0,0,0,0,BR_RO
2020-03-19,BR,RO,0,0,0,0,BR_RO
2020-03-20,BR,RO,1,0,1,0,BR_RO
2020-03-21,BR,RO,0,0,1,0,BR_RO
2020-03-22,BR,RO,2,0,3,0,BR_RO
2020-03-23,BR,RO,0,0,3,0,BR_RO
2020-03-24,BR,RO,0,0,3,0,BR_RO
2020-03-25,BR,RO,2,0,5,0,BR_RO
2020-03-26,BR,RO,0,0,5,0,BR_RO
2020-03-27,BR,RO,1,0,6,0,BR_RO
2020-03-28,BR,RO,0,0,6,0,BR_RO
2020-03-29,BR,RO,0,0,6,0,BR_RO
2020-03-30,BR,RO,0,0,6,0,BR_RO
2020-03-31,BR,RO,2,1,8,1,BR_RO
2020-04-01,BR,RO,1,0,9,1,BR_RO
2020-04-02,BR,RO,1,0,10,1,BR_RO
2020-04-03,BR,RO,0,0,10,1,BR_RO
2020-04-04,BR,RO,1,0,11,1,BR_RO
2020-04-05,BR,RO,1,0,12,1,BR_RO
2020-04-06,BR,RO,2,0,14,1,BR_RO
2020-04-07,BR,RO,4,0,18,1,BR_RO
2020-04-08,BR,RO,0,0,18,1,BR_RO
2020-04-09,BR,RO,10,1,28,2,BR_RO
2020-04-10,BR,RO,4,0,32,2,BR_RO
2020-04-11,BR,RO,1,0,33,2,BR_RO
2020-04-12,BR,RO,2,0,35,2,BR_RO
2020-04-13,BR,RO,7,0,42,2,BR_RO
2020-04-14,BR,RO,22,0,64,2,BR_RO
2020-04-15,BR,RO,5,0,69,2,BR_RO
