date,new_hospitalized,incid_rea,new_deceased,new_recovered,key,total_hospitalized,total_deceased,total_recovered
2020-05-02,453,64,120,381,FR,96473,15731,52824
2020-05-03,345,80,101,245,FR,96818,15832,53069
2020-05-04,689,84,245,619,FR,97507,16077,53688
2020-05-05,987,111,244,1435,FR,98494,16321,55123
2020-05-06,833,69,181,1298,FR,99327,16502,56421
2020-05-07,728,99,159,1291,FR,100055,16661,57712
2020-05-08,510,89,118,817,FR,100565,16779,58529
2020-05-09,265,38,77,274,FR,100830,16856,58803
2020-05-10,253,38,70,212,FR,101083,16926,59015
2020-05-11,523,82,184,560,FR,101606,17110,59575
2020-05-12,670,92,194,1118,FR,102276,17304,60693
2020-05-13,543,69,105,943,FR,102819,17409,61636
2020-05-14,542,52,126,970,FR,103361,17535,62606
2020-05-15,438,64,120,892,FR,103799,17655,63498
2020-05-16,350,46,78,652,FR,104149,17733,64150
2020-05-17,152,24,54,159,FR,104301,17787,64309
2020-05-18,375,38,123,548,FR,104676,17910,64857
2020-05-19,506,69,140,882,FR,105182,18050,65739
2020-05-20,432,43,102,823,FR,105614,18152,66562
2020-05-21,271,28,58,530,FR,105885,18210,67092
2020-05-22,263,36,75,373,FR,106148,18285,67465
2020-05-23,233,30,47,361,FR,106381,18332,67826
2020-05-24,121,24,36,80,FR,106502,18368,67906
2020-05-25,342,45,93,609,FR,106844,18461,68515
2020-05-26,318,37,92,718,FR,107162,18553,69233
2020-05-27,271,32,67,736,FR,107433,18620,69969
2020-05-28,253,36,69,621,FR,107686,18689,70590
2020-05-29,255,29,63,656,FR,107941,18752,71246
2020-05-30,227,29,57,486,FR,108168,18809,71732
2020-05-31,72,18,35,93,FR,108240,18844,71825
2020-06-01,89,9,31,95,FR,108329,18875,71920
2020-06-02,229,33,85,402,FR,108558,18960,72322
2020-06-03,250,26,85,668,FR,108808,19045,72990
2020-06-04,195,23,46,544,FR,109003,19091,73534
2020-06-05,213,19,47,548,FR,109216,19138,74082
2020-06-06,143,15,35,309,FR,109359,19173,74391
2020-06-07,37,4,13,39,FR,109396,19186,74430
2020-06-08,145,23,55,245,FR,109541,19241,74675
2020-06-09,169,15,53,463,FR,109710,19294,75138
2020-06-10,130,23,34,337,FR,109840,19328,75475
2020-06-11,143,26,28,322,FR,109983,19356,75797
2020-06-12,136,18,33,440,FR,110119,19389,76237
2020-06-13,68,14,24,247,FR,110187,19413,76484
2020-06-14,33,6,9,51,FR,110220,19422,76535
2020-06-15,114,12,30,198,FR,110334,19452,76733
2020-06-16,143,14,42,317,FR,110477,19494,77050
2020-06-17,116,14,30,345,FR,110593,19524,77395
2020-06-18,136,15,29,236,FR,110729,19553,77631
2020-06-19,116,10,14,246,FR,110845,19567,77877
2020-06-20,90,7,19,206,FR,110935,19586,78083
2020-06-21,48,5,7,60,FR,110983,19593,78143
2020-06-22,142,16,23,242,FR,111125,19616,78385
2020-06-23,117,15,26,286,FR,111242,19642,78671
2020-06-24,97,8,13,272,FR,111339,19655,78943
2020-03-19,337,44,21,76,FR_ARA,337,21,76
2020-03-20,98,16,5,34,FR_ARA,435,26,110
2020-03-21,152,15,7,24,FR_ARA,587,33,134
2020-03-22,133,25,12,20,FR_ARA,720,45,154
2020-03-23,230,45,18,34,FR_ARA,950,63,188
2020-03-24,228,47,16,63,FR_ARA,1178,79,251
2020-03-25,373,85,20,93,FR_ARA,1551,99,344
2020-03-26,338,64,28,93,FR_ARA,1889,127,437
2020-03-27,372,77,32,114,FR_ARA,2261,159,551
2020-03-28,407,108,31,95,FR_ARA,2668,190,646
2020-03-29,326,89,33,58,FR_ARA,2994,223,704
2020-03-30,364,116,37,90,FR_ARA,3358,260,794
2020-03-31,343,64,32,146,FR_ARA,3701,292,940
2020-04-01,437,82,54,213,FR_ARA,4138,346,1153
2020-04-02,330,64,56,186,FR_ARA,4468,402,1339
2020-04-03,356,55,44,169,FR_ARA,4824,446,1508
2020-04-04,229,57,30,158,FR_ARA,5053,476,1666
2020-04-05,225,68,33,70,FR_ARA,5278,509,1736
2020-04-06,240,43,48,119,FR_ARA,5518,557,1855
2020-04-07,272,45,46,265,FR_ARA,5790,603,2120
2020-04-08,243,39,54,214,FR_ARA,6033,657,2334
2020-04-09,286,34,32,192,FR_ARA,6319,689,2526
2020-04-10,224,30,37,187,FR_ARA,6543,726,2713
2020-04-11,257,29,34,168,FR_ARA,6800,760,2881
2020-04-12,144,18,19,83,FR_ARA,6944,779,2964
2020-04-13,97,17,21,35,FR_ARA,7041,800,2999
2020-04-14,156,23,43,116,FR_ARA,7197,843,3115
2020-04-15,271,33,49,243,FR_ARA,7468,892,3358
2020-04-16,175,27,42,151,FR_ARA,7643,934,3509
2020-04-17,220,16,28,190,FR_ARA,7863,962,3699
2020-04-18,198,20,38,162,FR_ARA,8061,1000,3861
2020-04-19,112,13,19,39,FR_ARA,8173,1019,3900
2020-04-20,88,21,52,72,FR_ARA,8261,1071,3972
2020-04-21,181,29,42,189,FR_ARA,8442,1113,4161
2020-04-22,137,12,30,171,FR_ARA,8579,1143,4332
2020-04-23,139,9,35,145,FR_ARA,8718,1178,4477
2020-04-24,136,14,25,140,FR_ARA,8854,1203,4617
2020-04-25,127,11,20,121,FR_ARA,8981,1223,4738
2020-04-26,55,2,14,28,FR_ARA,9036,1237,4766
2020-04-27,82,8,29,66,FR_ARA,9118,1266,4832
2020-04-28,154,8,32,172,FR_ARA,9272,1298,5004
2020-04-29,80,9,24,126,FR_ARA,9352,1322,5130
2020-04-30,120,12,26,139,FR_ARA,9472,1348,5269
2020-05-01,92,12,17,95,FR_ARA,9564,1365,5364
2020-05-02,43,9,9,28,FR_ARA,9607,1374,5392
2020-05-03,31,4,11,12,FR_ARA,9638,1385,5404
2020-05-04,50,6,22,56,FR_ARA,9688,1407,5460
2020-05-05,120,9,34,122,FR_ARA,9808,1441,5582
2020-05-06,69,9,18,140,FR_ARA,9877,1459,5722
2020-05-07,77,8,26,142,FR_ARA,9954,1485,5864
2020-05-08,46,6,7,99,FR_ARA,10000,1492,5963
2020-05-09,20,2,4,20,FR_ARA,10020,1496,5983
2020-05-10,20,3,10,15,FR_ARA,10040,1506,5998
2020-05-11,52,7,16,55,FR_ARA,10092,1522,6053
2020-05-12,61,8,18,111,FR_ARA,10153,1540,6164
2020-05-13,46,4,10,141,FR_ARA,10199,1550,6305
2020-05-14,69,5,11,95,FR_ARA,10268,1561,6400
2020-05-15,23,7,11,63,FR_ARA,10291,1572,6463
2020-05-16,53,3,14,91,FR_ARA,10344,1586,6554
2020-05-17,21,3,2,5,FR_ARA,10365,1588,6559
2020-05-18,20,2,7,51,FR_ARA,10385,1595,6610
2020-05-19,51,4,20,101,FR_ARA,10436,1615,6711
2020-05-20,42,2,12,112,FR_ARA,10478,1627,6823
2020-05-21,45,3,5,77,FR_ARA,10523,1632,6900
2020-05-22,19,2,7,23,FR_ARA,10542,1639,6923
2020-05-23,21,2,9,28,FR_ARA,10563,1648,6951
2020-05-24,13,2,0,3,FR_ARA,10576,1648,6954
2020-05-25,41,5,10,84,FR_ARA,10617,1658,7038
2020-05-26,29,1,13,69,FR_ARA,10646,1671,7107
2020-05-27,28,7,7,76,FR_ARA,10674,1678,7183
2020-05-28,14,1,9,95,FR_ARA,10688,1687,7278
2020-05-29,13,1,8,84,FR_ARA,10701,1695,7362
2020-05-30,26,10,1,31,FR_ARA,10727,1696,7393
2020-05-31,24,9,3,16,FR_ARA,10751,1699,7409
2020-06-01,5,0,2,2,FR_ARA,10756,1701,7411
2020-06-02,18,3,10,43,FR_ARA,10774,1711,7454
2020-06-03,24,2,8,60,FR_ARA,10798,1719,7514
2020-06-04,14,3,4,82,FR_ARA,10812,1723,7596
2020-06-05,13,1,0,63,FR_ARA,10825,1723,7659
2020-06-06,4,0,2,22,FR_ARA,10829,1725,7681
2020-06-07,1,0,1,2,FR_ARA,10830,1726,7683
2020-06-08,18,3,7,27,FR_ARA,10848,1733,7710
2020-06-09,9,0,3,35,FR_ARA,10857,1736,7745
2020-06-10,15,2,5,39,FR_ARA,10872,1741,7784
2020-06-11,12,0,4,31,FR_ARA,10884,1745,7815
2020-06-12,9,0,2,49,FR_ARA,10893,1747,7864
2020-06-13,5,1,1,13,FR_ARA,10898,1748,7877
2020-06-14,0,0,0,2,FR_ARA,10898,1748,7879
2020-06-15,3,0,2,35,FR_ARA,10901,1750,7914
2020-06-16,20,1,4,24,FR_ARA,10921,1754,7938
2020-06-17,19,4,2,55,FR_ARA,10940,1756,7993
2020-06-18,9,1,2,21,FR_ARA,10949,1758,8014
2020-06-19,12,1,0,15,FR_ARA,10961,1758,8029
2020-06-20,9,0,1,29,FR_ARA,10970,1759,8058
2020-06-21,1,0,0,15,FR_ARA,10971,1759,8073
2020-06-22,7,0,3,11,FR_ARA,10978,1762,8084
2020-06-23,11,0,1,23,FR_ARA,10989,1763,8107
2020-06-24,6,1,1,15,FR_ARA,10995,1764,8122
2020-03-19,96,33,13,35,FR_BFC,96,13,35
2020-03-20,77,9,3,15,FR_BFC,173,16,50
2020-03-21,67,11,14,37,FR_BFC,240,30,87
2020-03-22,130,14,13,77,FR_BFC,370,43,164
2020-03-23,87,12,14,19,FR_BFC,457,57,183
2020-03-24,185,19,23,88,FR_BFC,642,80,271
2020-03-25,204,30,17,67,FR_BFC,846,97,338
2020-03-26,165,19,21,54,FR_BFC,1011,118,392
2020-03-27,109,24,16,33,FR_BFC,1120,134,425
2020-03-28,127,21,9,63,FR_BFC,1247,143,488
2020-03-29,158,33,16,57,FR_BFC,1405,159,545
2020-03-30,105,20,23,58,FR_BFC,1510,182,603
2020-03-31,203,30,28,76,FR_BFC,1713,210,679
2020-04-01,168,33,18,70,FR_BFC,1881,228,749
2020-04-02,214,33,41,109,FR_BFC,2095,269,858
2020-04-03,134,28,33,91,FR_BFC,2229,302,949
2020-04-04,147,22,21,77,FR_BFC,2376,323,1026
2020-04-05,96,12,18,32,FR_BFC,2472,341,1058
2020-04-06,127,24,26,45,FR_BFC,2599,367,1103
2020-04-07,163,29,29,102,FR_BFC,2762,396,1205
2020-04-08,117,14,16,88,FR_BFC,2879,412,1293
2020-04-09,86,10,15,80,FR_BFC,2965,427,1373
2020-04-10,177,20,32,76,FR_BFC,3142,459,1449
2020-04-11,82,3,19,104,FR_BFC,3224,478,1553
2020-04-12,112,9,22,33,FR_BFC,3336,500,1586
2020-04-13,51,13,12,22,FR_BFC,3387,512,1608
2020-04-14,118,5,39,25,FR_BFC,3505,551,1633
2020-04-15,120,10,31,116,FR_BFC,3625,582,1749
2020-04-16,123,16,27,67,FR_BFC,3748,609,1816
2020-04-17,108,5,16,71,FR_BFC,3856,625,1887
2020-04-18,51,12,21,61,FR_BFC,3907,646,1948
2020-04-19,40,12,13,53,FR_BFC,3947,659,2001
2020-04-20,52,6,20,26,FR_BFC,3999,679,2027
2020-04-21,86,13,28,81,FR_BFC,4085,707,2108
2020-04-22,111,17,16,83,FR_BFC,4196,723,2191
2020-04-23,51,6,32,74,FR_BFC,4247,755,2265
2020-04-24,70,4,18,91,FR_BFC,4317,773,2356
2020-04-25,50,7,16,55,FR_BFC,4367,789,2411
2020-04-26,24,4,11,10,FR_BFC,4391,800,2421
2020-04-27,42,6,17,32,FR_BFC,4433,817,2453
2020-04-28,56,10,7,52,FR_BFC,4489,824,2505
2020-04-29,71,7,13,71,FR_BFC,4560,837,2576
2020-04-30,71,9,6,63,FR_BFC,4631,843,2639
2020-05-01,24,1,5,56,FR_BFC,4655,848,2695
2020-05-02,17,4,7,9,FR_BFC,4672,855,2704
2020-05-03,13,3,6,4,FR_BFC,4685,861,2708
2020-05-04,31,2,13,22,FR_BFC,4716,874,2730
2020-05-05,69,8,15,72,FR_BFC,4785,889,2802
2020-05-06,55,2,12,37,FR_BFC,4840,901,2839
2020-05-07,31,3,10,85,FR_BFC,4871,911,2924
2020-05-08,35,7,8,66,FR_BFC,4906,919,2990
2020-05-09,17,2,7,19,FR_BFC,4923,926,3009
2020-05-10,12,0,5,4,FR_BFC,4935,931,3013
2020-05-11,31,6,13,19,FR_BFC,4966,944,3032
2020-05-12,21,7,10,44,FR_BFC,4987,954,3076
2020-05-13,32,2,6,43,FR_BFC,5019,960,3119
2020-05-14,15,1,3,29,FR_BFC,5034,963,3148
2020-05-15,12,4,2,41,FR_BFC,5046,965,3189
2020-05-16,12,2,2,28,FR_BFC,5058,967,3217
2020-05-17,1,0,0,2,FR_BFC,5059,967,3219
2020-05-18,18,0,10,23,FR_BFC,5077,977,3242
2020-05-19,16,2,9,43,FR_BFC,5093,986,3285
2020-05-20,24,3,2,49,FR_BFC,5117,988,3334
2020-05-21,13,0,3,56,FR_BFC,5130,991,3390
2020-05-22,9,2,5,23,FR_BFC,5139,996,3413
2020-05-23,10,2,0,12,FR_BFC,5149,996,3425
2020-05-24,4,1,2,4,FR_BFC,5153,998,3429
2020-05-25,21,2,4,46,FR_BFC,5174,1002,3475
2020-05-26,17,2,3,119,FR_BFC,5191,1005,3594
2020-05-27,20,1,4,59,FR_BFC,5211,1009,3653
2020-05-28,9,1,3,24,FR_BFC,5220,1012,3677
2020-05-29,29,0,4,50,FR_BFC,5249,1016,3727
2020-05-30,8,0,1,12,FR_BFC,5257,1017,3739
2020-05-31,2,0,1,7,FR_BFC,5259,1018,3746
2020-06-01,3,0,1,3,FR_BFC,5262,1019,3749
2020-06-02,9,1,2,28,FR_BFC,5271,1021,3777
2020-06-03,6,1,4,42,FR_BFC,5277,1025,3819
2020-06-04,15,0,5,23,FR_BFC,5292,1030,3842
2020-06-05,3,1,0,12,FR_BFC,5295,1030,3854
2020-06-06,3,0,1,7,FR_BFC,5298,1031,3861
2020-06-07,0,0,0,1,FR_BFC,5298,1031,3862
2020-06-08,10,1,1,10,FR_BFC,5308,1032,3872
2020-06-09,10,1,4,34,FR_BFC,5318,1036,3906
2020-06-10,3,0,4,26,FR_BFC,5321,1040,3932
2020-06-11,5,2,0,8,FR_BFC,5326,1040,3940
2020-06-12,21,0,0,55,FR_BFC,5347,1040,3995
2020-06-13,1,0,2,6,FR_BFC,5348,1042,4001
2020-06-14,0,0,0,5,FR_BFC,5348,1042,4006
2020-06-15,4,0,0,2,FR_BFC,5352,1042,4008
2020-06-16,2,0,0,14,FR_BFC,5354,1042,4022
2020-06-17,0,0,1,13,FR_BFC,5354,1043,4035
2020-06-18,1,1,1,5,FR_BFC,5355,1044,4040
2020-06-19,6,0,0,25,FR_BFC,5361,1044,4065
2020-06-20,0,0,0,1,FR_BFC,5361,1044,4066
2020-06-21,0,0,0,0,FR_BFC,5361,1044,4066
2020-06-22,6,1,1,7,FR_BFC,5367,1045,4073
2020-06-23,4,1,0,8,FR_BFC,5371,1045,4081
2020-06-24,2,0,1,6,FR_BFC,5373,1046,4087
2020-03-19,52,8,4,21,FR_BRE,52,4,21
2020-03-20,16,2,2,3,FR_BRE,68,6,24
2020-03-21,34,9,3,2,FR_BRE,102,9,26
2020-03-22,21,8,2,7,FR_BRE,123,11,33
2020-03-23,25,6,6,6,FR_BRE,148,17,39
2020-03-24,31,8,2,19,FR_BRE,179,19,58
2020-03-25,41,5,3,16,FR_BRE,220,22,74
2020-03-26,59,10,1,13,FR_BRE,279,23,87
2020-03-27,38,9,5,18,FR_BRE,317,28,105
2020-03-28,50,19,3,15,FR_BRE,367,31,120
2020-03-29,55,4,4,21,FR_BRE,422,35,141
2020-03-30,42,10,4,7,FR_BRE,464,39,148
2020-03-31,41,12,5,21,FR_BRE,505,44,169
2020-04-01,68,19,5,15,FR_BRE,573,49,184
2020-04-02,60,18,8,27,FR_BRE,633,57,211
2020-04-03,45,9,6,20,FR_BRE,678,63,231
2020-04-04,32,7,6,30,FR_BRE,710,69,261
2020-04-05,28,6,6,9,FR_BRE,738,75,270
2020-04-06,39,4,7,16,FR_BRE,777,82,286
2020-04-07,40,5,9,43,FR_BRE,817,91,329
2020-04-08,72,7,10,40,FR_BRE,889,101,369
2020-04-09,34,4,2,24,FR_BRE,923,103,393
2020-04-10,43,5,13,35,FR_BRE,966,116,428
2020-04-11,44,7,8,39,FR_BRE,1010,124,467
2020-04-12,39,3,3,13,FR_BRE,1049,127,480
2020-04-13,13,4,4,10,FR_BRE,1062,131,490
2020-04-14,39,4,13,21,FR_BRE,1101,144,511
2020-04-15,32,1,10,30,FR_BRE,1133,154,541
2020-04-16,26,2,8,36,FR_BRE,1159,162,577
2020-04-17,25,3,5,20,FR_BRE,1184,167,597
2020-04-18,26,5,10,32,FR_BRE,1210,177,629
2020-04-19,11,1,5,13,FR_BRE,1221,182,642
2020-04-20,11,1,4,11,FR_BRE,1232,186,653
2020-04-21,24,3,4,31,FR_BRE,1256,190,684
2020-04-22,22,3,0,25,FR_BRE,1278,190,709
2020-04-23,28,0,6,22,FR_BRE,1306,196,731
2020-04-24,23,1,0,21,FR_BRE,1329,196,752
2020-04-25,12,1,3,26,FR_BRE,1341,199,778
2020-04-26,3,1,1,6,FR_BRE,1344,200,784
2020-04-27,4,1,1,2,FR_BRE,1348,201,786
2020-04-28,21,1,5,23,FR_BRE,1369,206,809
2020-04-29,9,2,2,14,FR_BRE,1378,208,823
2020-04-30,14,0,2,15,FR_BRE,1392,210,838
2020-05-01,6,0,0,23,FR_BRE,1398,210,861
2020-05-02,15,2,4,10,FR_BRE,1413,214,871
2020-05-03,6,0,3,7,FR_BRE,1419,217,878
2020-05-04,9,2,3,9,FR_BRE,1428,220,887
2020-05-05,7,1,0,12,FR_BRE,1435,220,899
2020-05-06,10,1,1,14,FR_BRE,1445,221,913
2020-05-07,5,3,1,17,FR_BRE,1450,222,930
2020-05-08,10,2,1,17,FR_BRE,1460,223,947
2020-05-09,5,2,1,7,FR_BRE,1465,224,954
2020-05-10,3,1,1,3,FR_BRE,1468,225,957
2020-05-11,6,2,3,5,FR_BRE,1474,228,962
2020-05-12,9,0,1,19,FR_BRE,1483,229,981
2020-05-13,3,1,1,29,FR_BRE,1486,230,1010
2020-05-14,5,1,1,8,FR_BRE,1491,231,1018
2020-05-15,7,0,1,23,FR_BRE,1498,232,1041
2020-05-16,14,3,2,14,FR_BRE,1512,234,1055
2020-05-17,4,0,1,5,FR_BRE,1516,235,1060
2020-05-18,4,2,3,11,FR_BRE,1520,238,1071
2020-05-19,6,0,1,15,FR_BRE,1526,239,1086
2020-05-20,11,1,0,11,FR_BRE,1537,239,1097
2020-05-21,5,0,1,7,FR_BRE,1542,240,1104
2020-05-22,8,0,1,3,FR_BRE,1550,241,1107
2020-05-23,4,1,0,7,FR_BRE,1554,241,1114
2020-05-24,1,1,0,0,FR_BRE,1555,241,1114
2020-05-25,5,1,2,7,FR_BRE,1560,243,1121
2020-05-26,3,1,2,13,FR_BRE,1563,245,1134
2020-05-27,5,0,2,6,FR_BRE,1568,247,1140
2020-05-28,2,1,1,7,FR_BRE,1570,248,1147
2020-05-29,6,1,0,5,FR_BRE,1576,248,1152
2020-05-30,5,0,0,13,FR_BRE,1581,248,1165
2020-05-31,1,0,0,0,FR_BRE,1582,248,1165
2020-06-01,2,0,2,2,FR_BRE,1584,250,1167
2020-06-02,1,1,1,7,FR_BRE,1585,251,1174
2020-06-03,7,0,1,17,FR_BRE,1592,252,1191
2020-06-04,3,0,1,4,FR_BRE,1595,253,1195
2020-06-05,5,0,1,10,FR_BRE,1600,254,1205
2020-06-06,1,0,0,2,FR_BRE,1601,254,1207
2020-06-07,2,0,0,1,FR_BRE,1603,254,1208
2020-06-08,2,1,0,5,FR_BRE,1605,254,1213
2020-06-09,0,0,0,3,FR_BRE,1605,254,1216
2020-06-10,3,0,0,1,FR_BRE,1608,254,1217
2020-06-11,3,1,0,10,FR_BRE,1611,254,1227
2020-06-12,1,0,1,5,FR_BRE,1612,255,1232
2020-06-13,1,1,0,11,FR_BRE,1613,255,1243
2020-06-14,0,0,1,1,FR_BRE,1613,256,1244
2020-06-15,3,0,0,1,FR_BRE,1616,256,1245
2020-06-16,2,0,0,2,FR_BRE,1618,256,1247
2020-06-17,0,0,0,1,FR_BRE,1618,256,1248
2020-06-18,0,0,0,4,FR_BRE,1618,256,1252
2020-06-19,4,0,0,9,FR_BRE,1622,256,1261
2020-06-20,0,0,0,5,FR_BRE,1622,256,1266
2020-06-21,0,0,0,0,FR_BRE,1622,256,1266
2020-06-22,1,0,0,2,FR_BRE,1623,256,1268
2020-06-23,1,0,1,4,FR_BRE,1624,257,1272
2020-06-24,0,0,1,2,FR_BRE,1624,258,1274
2020-03-19,59,10,1,10,FR_COR,59,1,10
2020-03-20,36,0,2,23,FR_COR,95,3,33
2020-03-21,4,0,1,3,FR_COR,99,4,36
2020-03-22,7,2,2,1,FR_COR,106,6,37
2020-03-23,16,2,1,9,FR_COR,122,7,46
2020-03-24,12,0,0,7,FR_COR,134,7,53
2020-03-25,22,0,8,3,FR_COR,156,15,56
2020-03-26,27,4,4,10,FR_COR,183,19,66
2020-03-27,15,1,0,7,FR_COR,198,19,73
2020-03-28,10,6,0,2,FR_COR,208,19,75
2020-03-29,16,4,0,8,FR_COR,224,19,83
2020-03-30,14,1,0,12,FR_COR,238,19,95
2020-03-31,13,2,1,12,FR_COR,251,20,107
2020-04-01,3,3,1,3,FR_COR,254,21,110
2020-04-02,20,3,2,8,FR_COR,274,23,118
2020-04-03,9,1,3,7,FR_COR,283,26,125
2020-04-04,27,2,0,2,FR_COR,310,26,127
2020-04-05,0,0,0,2,FR_COR,310,26,129
2020-04-06,1,1,4,0,FR_COR,311,30,129
2020-04-07,5,3,2,1,FR_COR,316,32,130
2020-04-08,6,3,0,3,FR_COR,322,32,133
2020-04-09,2,1,2,2,FR_COR,324,34,135
2020-04-10,0,0,1,8,FR_COR,324,35,143
2020-04-11,1,0,1,2,FR_COR,325,36,145
2020-04-12,3,1,0,4,FR_COR,328,36,149
2020-04-13,3,1,2,0,FR_COR,331,38,149
2020-04-14,2,1,0,3,FR_COR,333,38,152
2020-04-15,14,1,3,2,FR_COR,347,41,154
2020-04-16,3,1,0,3,FR_COR,350,41,157
2020-04-17,2,1,1,1,FR_COR,352,42,158
2020-04-18,4,0,0,11,FR_COR,356,42,169
2020-04-19,4,0,2,4,FR_COR,360,44,173
2020-04-20,0,2,3,2,FR_COR,360,47,175
2020-04-21,2,0,1,5,FR_COR,362,48,180
2020-04-22,8,1,1,5,FR_COR,370,49,185
2020-04-23,1,0,0,4,FR_COR,371,49,189
2020-04-24,6,0,0,2,FR_COR,377,49,191
2020-04-25,0,0,1,5,FR_COR,377,50,196
2020-04-26,0,0,0,0,FR_COR,377,50,196
2020-04-27,0,0,0,0,FR_COR,377,50,196
2020-04-28,5,1,0,7,FR_COR,382,50,203
2020-04-29,2,0,0,7,FR_COR,384,50,210
2020-04-30,3,0,0,3,FR_COR,387,50,213
2020-05-01,3,0,0,1,FR_COR,390,50,214
2020-05-02,0,0,0,2,FR_COR,390,50,216
2020-05-03,0,0,1,0,FR_COR,390,51,216
2020-05-04,1,0,0,2,FR_COR,391,51,218
2020-05-05,1,0,0,2,FR_COR,392,51,220
2020-05-06,0,0,1,2,FR_COR,392,52,222
2020-05-07,0,0,0,2,FR_COR,392,52,224
2020-05-08,0,0,0,2,FR_COR,392,52,226
2020-05-09,1,0,0,0,FR_COR,393,52,226
2020-05-10,0,0,0,0,FR_COR,393,52,226
2020-05-11,1,0,0,0,FR_COR,394,52,226
2020-05-12,5,3,1,5,FR_COR,399,53,231
2020-05-13,1,0,1,2,FR_COR,400,54,233
2020-05-14,0,1,0,1,FR_COR,400,54,234
2020-05-15,0,0,2,4,FR_COR,400,56,238
2020-05-16,0,0,0,0,FR_COR,400,56,238
2020-05-17,0,0,0,0,FR_COR,400,56,238
2020-05-18,2,0,1,2,FR_COR,402,57,240
2020-05-19,1,0,0,2,FR_COR,403,57,242
2020-05-20,0,0,0,3,FR_COR,403,57,245
2020-05-21,0,0,0,0,FR_COR,403,57,245
2020-05-22,0,0,0,1,FR_COR,403,57,246
2020-05-23,0,0,0,0,FR_COR,403,57,246
2020-05-24,0,0,1,0,FR_COR,403,58,246
2020-05-25,0,0,0,0,FR_COR,403,58,246
2020-05-26,1,1,0,0,FR_COR,404,58,246
2020-05-27,1,0,0,6,FR_COR,405,58,252
2020-05-28,0,0,0,1,FR_COR,405,58,253
2020-05-29,1,0,0,3,FR_COR,406,58,256
2020-05-30,0,0,0,0,FR_COR,406,58,256
2020-05-31,0,0,0,0,FR_COR,406,58,256
2020-06-01,0,0,0,0,FR_COR,406,58,256
2020-06-02,0,0,0,0,FR_COR,406,58,256
2020-06-03,0,0,0,1,FR_COR,406,58,257
2020-06-04,0,0,0,3,FR_COR,406,58,260
2020-06-05,0,0,0,0,FR_COR,406,58,260
2020-06-06,1,0,0,0,FR_COR,407,58,260
2020-06-07,0,0,0,0,FR_COR,407,58,260
2020-06-08,2,0,0,1,FR_COR,409,58,261
2020-06-09,0,0,0,0,FR_COR,409,58,261
2020-06-10,0,0,0,1,FR_COR,409,58,262
2020-06-11,0,0,0,0,FR_COR,409,58,262
2020-06-12,0,0,1,2,FR_COR,409,59,264
2020-06-13,0,0,0,4,FR_COR,409,59,268
2020-06-14,0,0,0,0,FR_COR,409,59,268
