match_string,total_confirmed,total_deceased,total_recovered,current_confirmed,date,country_code,key,new_confirmed,new_deceased,new_recovered
NAJAF,410,320,6,84,2020-06-04,IQ,IQ_NA,58,9,0
NAJAF,352,311,6,35,2020-06-02,IQ,IQ_NA,6,305,-304
NAJAF,346,6,310,30,2020-05-31,IQ,IQ_NA,39,-293,304
NAJAF,307,299,6,2,2020-05-13,IQ,IQ_NA,301,293,6
NAJAF,6,6,0,0,2020-05-12,IQ,IQ_NA,-301,-291,-6
NAJAF,307,297,6,4,2020-05-11,IQ,IQ_NA,,,
NAJAF,,,,,2020-05-10,IQ,IQ_NA,,,
NINEWA,84,0,51,33,2020-06-14,IQ,IQ_NI,28,-37,51
NINEWA,56,37,0,19,2020-06-07,IQ,IQ_NI,5,23,0
NINEWA,51,14,0,37,2020-06-02,IQ,IQ_NI,6,14,-14
NINEWA,45,0,14,31,2020-05-31,IQ,IQ_NI,37,-6,14
NINEWA,8,6,0,2,2020-05-13,IQ,IQ_NI,0,0,0
NINEWA,8,6,0,2,2020-05-12,IQ,IQ_NI,2,0,0
NINEWA,6,6,0,0,2020-05-11,IQ,IQ_NI,,,
NINEWA,,,,,2020-05-10,IQ,IQ_NI,,,
SALAH AL-DIN,135,2,18,115,2020-06-14,IQ,IQ_SD,80,-16,18
SALAH AL-DIN,55,18,0,37,2020-06-07,IQ,IQ_SD,33,8,0
SALAH AL-DIN,22,10,0,12,2020-06-02,IQ,IQ_SD,0,10,-10
SALAH AL-DIN,22,0,10,12,2020-05-31,IQ,IQ_SD,13,-6,10
SALAH AL-DIN,9,6,0,3,2020-05-13,IQ,IQ_SD,0,0,0
SALAH AL-DIN,9,6,0,3,2020-05-12,IQ,IQ_SD,0,2,0
SALAH AL-DIN,9,4,0,5,2020-05-11,IQ,IQ_SD,,,
SALAH AL-DIN,,,,,2020-05-10,IQ,IQ_SD,,,
SULAYMANIYAH,1349,38,290,1021,2020-06-14,IQ,IQ_SU,599,-151,270
SULAYMANIYAH,750,189,20,541,2020-06-07,IQ,IQ_SU,354,16,14
SULAYMANIYAH,396,173,6,217,2020-06-02,IQ,IQ_SU,102,168,-167
SULAYMANIYAH,294,5,173,116,2020-05-31,IQ,IQ_SU,134,-151,169
SULAYMANIYAH,160,156,4,0,2020-05-13,IQ,IQ_SU,0,0,0
SULAYMANIYAH,160,156,4,0,2020-05-12,IQ,IQ_SU,0,0,0
SULAYMANIYAH,160,156,4,0,2020-05-11,IQ,IQ_SU,,,
SULAYMANIYAH,,,,,2020-05-10,IQ,IQ_SU,,,
THI-QAR,790,17,326,447,2020-06-14,IQ,IQ_DQ,415,-132,321
THI-QAR,375,149,5,221,2020-06-07,IQ,IQ_DQ,239,67,1
THI-QAR,136,82,4,50,2020-06-02,IQ,IQ_DQ,0,78,-78
THI-QAR,136,4,82,50,2020-05-31,IQ,IQ_DQ,64,-58,79
THI-QAR,72,62,3,7,2020-05-13,IQ,IQ_DQ,0,0,0
THI-QAR,72,62,3,7,2020-05-12,IQ,IQ_DQ,0,4,0
THI-QAR,72,58,3,11,2020-05-11,IQ,IQ_DQ,,,
THI-QAR,,,,,2020-05-10,IQ,IQ_DQ,,,
WASSIT,1057,21,152,884,2020-06-14,IQ,IQ_WA,682,-39,142
WASSIT,375,60,10,305,2020-06-07,IQ,IQ_WA,216,2,6
WASSIT,159,58,4,97,2020-06-02,IQ,IQ_WA,41,54,-50
WASSIT,118,4,54,60,2020-05-31,IQ,IQ_WA,81,-30,52
WASSIT,37,34,2,1,2020-05-13,IQ,IQ_WA,0,0,0
WASSIT,37,34,2,1,2020-05-12,IQ,IQ_WA,0,1,0
WASSIT,37,33,2,2,2020-05-11,IQ,IQ_WA,,,
WASSIT,,,,,2020-05-10,IQ,IQ_WA,,,
baghdad,0,0,0,0,2020-05-10,IQ,IQ_BG,,,
baghdad,1009,478,52,479,2020-05-11,IQ,IQ_BG,1009,478,52
baghdad,1080,529,54,497,2020-05-12,IQ,IQ_BG,71,51,2
baghdad,1162,542,57,563,2020-05-13,IQ,IQ_BG,82,13,3
baghdad,3525,132,1186,2207,2020-05-31,IQ,IQ_BG,2363,-410,1129
baghdad,3697,1258,139,2300,2020-06-02,IQ,IQ_BG,172,1126,-1047
baghdad,4848,2092,172,2584,2020-06-04,IQ,IQ_BG,1151,834,33
baghdad,6646,2787,217,3642,2020-06-07,IQ,IQ_BG,1798,695,45
baghdad,9917,363,4536,5018,2020-06-14,IQ,IQ_BG,3271,-2424,4319
