country_code,match_string,date,total_confirmed,recovered,total_deceased,total_tested,hospitalized,icu,new_confirmed,new_deceased,new_tested,key
AT,burgenland,2020-04-18,298,181,7,2301,17,5,9,0,92,AT_11
AT,burgenland,2020-04-19,302,198,8,2357,16,5,4,1,56,AT_11
AT,burgenland,2020-04-20,307,200,8,2386,16,4,5,0,29,AT_11
AT,burgenland,2020-04-21,310,210,8,2534,17,4,3,0,148,AT_11
AT,burgenland,2020-04-22,311,227,9,2660,12,2,1,1,126,AT_11
AT,burgenland,2020-04-23,314,226,9,3006,17,4,3,0,346,AT_11
AT,burgenland,2020-04-24,315,230,8,3568,14,2,1,-1,562,AT_11
AT,burgenland,2020-04-25,316,235,8,4155,12,2,1,0,587,AT_11
AT,burgenland,2020-04-26,317,234,9,4167,11,2,1,1,12,AT_11
AT,burgenland,2020-04-27,320,236,9,4232,13,2,3,0,65,AT_11
AT,burgenland,2020-04-28,321,242,10,5302,11,3,1,1,1070,AT_11
AT,burgenland,2020-04-29,322,246,10,5971,8,2,1,0,669,AT_11
AT,burgenland,2020-04-30,325,250,10,6619,9,2,3,0,648,AT_11
AT,burgenland,2020-05-01,326,255,10,6959,8,2,1,0,340,AT_11
AT,burgenland,2020-05-02,327,256,10,7426,8,2,1,0,467,AT_11
AT,burgenland,2020-05-03,327,258,10,7529,4,1,0,0,103,AT_11
AT,burgenland,2020-05-04,328,261,11,7637,3,1,1,1,108,AT_11
AT,burgenland,2020-05-05,329,261,11,7795,6,1,1,0,158,AT_11
AT,burgenland,2020-05-06,330,264,11,7847,5,1,1,0,52,AT_11
AT,burgenland,2020-05-07,330,269,11,8078,4,1,0,0,231,AT_11
AT,burgenland,2020-05-08,330,272,11,8145,6,0,0,0,67,AT_11
AT,burgenland,2020-05-09,331,279,11,8255,6,0,1,0,110,AT_11
AT,burgenland,2020-05-10,330,282,11,8444,6,0,-1,0,189,AT_11
AT,burgenland,2020-05-11,331,283,11,8477,3,0,1,0,33,AT_11
AT,burgenland,2020-05-12,332,290,11,8817,0,0,1,0,340,AT_11
AT,burgenland,2020-05-13,335,297,11,9162,4,0,3,0,345,AT_11
AT,burgenland,2020-05-14,334,300,11,9482,3,0,-1,0,320,AT_11
AT,burgenland,2020-05-15,334,302,11,9635,4,0,0,0,153,AT_11
AT,burgenland,2020-05-16,335,308,11,9599,3,0,1,0,-36,AT_11
AT,burgenland,2020-05-17,337,311,11,10046,4,0,2,0,447,AT_11
AT,burgenland,2020-05-18,337,312,11,10384,3,0,0,0,338,AT_11
AT,burgenland,2020-05-19,338,316,11,10431,2,0,1,0,47,AT_11
AT,burgenland,2020-05-20,336,316,11,10882,1,0,-2,0,451,AT_11
AT,burgenland,2020-05-21,336,317,11,10958,3,0,0,0,76,AT_11
AT,burgenland,2020-05-22,337,318,11,10959,1,0,1,0,1,AT_11
AT,burgenland,2020-05-23,338,318,11,11134,1,0,1,0,175,AT_11
AT,burgenland,2020-05-24,340,318,11,11300,2,0,2,0,166,AT_11
AT,burgenland,2020-05-25,341,320,11,11416,2,0,1,0,116,AT_11
AT,burgenland,2020-05-26,341,320,11,11571,2,0,0,0,155,AT_11
AT,burgenland,2020-05-27,340,321,11,12236,2,0,-1,0,665,AT_11
AT,burgenland,2020-05-28,341,324,11,12623,2,0,1,0,387,AT_11
AT,burgenland,2020-05-29,341,325,11,12875,2,0,0,0,252,AT_11
AT,burgenland,2020-05-30,342,325,11,13058,2,0,1,0,183,AT_11
AT,burgenland,2020-05-31,342,325,11,12953,2,0,0,0,-105,AT_11
AT,burgenland,2020-06-01,342,326,11,13028,2,0,0,0,75,AT_11
AT,burgenland,2020-06-02,342,327,11,13089,2,0,0,0,61,AT_11
AT,burgenland,2020-06-03,342,328,11,13232,2,0,0,0,143,AT_11
AT,burgenland,2020-06-04,342,328,11,13995,2,0,0,0,763,AT_11
AT,burgenland,2020-06-05,342,329,11,14101,2,0,0,0,106,AT_11
AT,burgenland,2020-06-06,342,329,11,14167,2,0,0,0,66,AT_11
AT,burgenland,2020-06-07,342,329,11,14291,2,0,0,0,124,AT_11
AT,burgenland,2020-06-08,342,329,11,14353,2,0,0,0,62,AT_11
AT,burgenland,2020-06-09,342,331,11,14403,0,0,0,0,50,AT_11
AT,burgenland,2020-06-10,343,332,11,14538,0,0,1,0,135,AT_11
AT,burgenland,2020-06-11,343,332,11,14564,0,0,0,0,26,AT_11
AT,burgenland,2020-06-12,343,332,11,14574,0,0,0,0,10,AT_11
AT,burgenland,2020-06-13,343,329,11,14640,0,0,0,0,66,AT_11
AT,burgenland,2020-06-14,343,329,11,14896,0,0,0,0,256,AT_11
AT,burgenland,2020-06-15,343,329,11,14968,0,0,0,0,72,AT_11
AT,burgenland,2020-06-16,343,329,11,15331,0,0,0,0,363,AT_11
AT,burgenland,2020-06-17,344,329,11,15512,0,0,1,0,181,AT_11
AT,burgenland,2020-06-18,344,330,11,15565,0,0,0,0,53,AT_11
AT,burgenland,2020-06-19,345,329,11,15668,0,0,1,0,103,AT_11
AT,burgenland,2020-06-20,346,329,11,15742,2,0,1,0,74,AT_11
AT,burgenland,2020-06-21,346,329,11,15378,2,0,0,0,-364,AT_11
AT,burgenland,2020-06-22,346,330,11,15970,0,0,0,0,592,AT_11
AT,burgenland,2020-06-23,347,331,11,16090,0,0,1,0,120,AT_11
AT,burgenland,2020-06-24,349,331,11,16156,0,0,2,0,66,AT_11
AT,burgenland,2020-06-25,349,332,11,16247,0,0,0,0,91,AT_11
AT,kärnten,2020-03-05,1,,,,,,,,,AT_21
AT,kärnten,2020-03-06,1,,,,,,0,,,AT_21
AT,kärnten,2020-03-07,1,,,,,,0,,,AT_21
AT,kärnten,2020-03-08,1,,,,,,0,,,AT_21
AT,kärnten,2020-03-09,1,,,,,,0,,,AT_21
AT,kärnten,2020-03-10,1,,,,,,0,,,AT_21
AT,kärnten,2020-03-11,3,,,,,,2,,,AT_21
AT,kärnten,2020-03-12,3,,,,,,0,,,AT_21
AT,kärnten,2020-03-13,4,0,0,,,,1,,,AT_21
AT,kärnten,2020-03-14,5,0,0,,,,1,0,,AT_21
AT,kärnten,2020-03-15,6,0,0,,,,1,0,,AT_21
AT,kärnten,2020-03-16,18,0,0,,,,12,0,,AT_21
AT,kärnten,2020-03-17,27,0,0,,,,9,0,,AT_21
AT,kärnten,2020-03-18,41,0,0,,,,14,0,,AT_21
AT,kärnten,2020-03-19,50,0,0,,,,9,0,,AT_21
AT,kärnten,2020-03-20,71,0,0,,,,21,0,,AT_21
AT,kärnten,2020-03-21,83,0,0,,,,12,0,,AT_21
AT,kärnten,2020-03-22,105,0,0,,,,22,0,,AT_21
AT,kärnten,2020-03-23,122,0,0,,,,17,0,,AT_21
AT,kärnten,2020-03-24,141,0,0,,,,19,0,,AT_21
AT,kärnten,2020-03-25,161,0,0,,,,20,0,,AT_21
AT,kärnten,2020-03-26,183,0,0,,,,22,0,,AT_21
AT,kärnten,2020-03-27,204,,,,22,8,21,0,,AT_21
AT,kärnten,2020-03-28,224,,,,22,8,20,0,,AT_21
AT,kärnten,2020-03-29,260,,,,22,9,36,0,,AT_21
AT,kärnten,2020-03-30,269,,,,26,10,9,0,,AT_21
AT,kärnten,2020-03-31,288,,,,32,12,19,0,,AT_21
AT,kärnten,2020-04-01,297,,,,29,11,9,0,,AT_21
AT,kärnten,2020-04-02,300,,,,28,11,3,0,,AT_21
AT,kärnten,2020-04-03,307,,,,28,11,7,0,,AT_21
AT,kärnten,2020-04-04,310,,,,32,11,3,0,,AT_21
AT,kärnten,2020-04-05,330,,,,35,13,20,0,,AT_21
AT,kärnten,2020-04-06,333,,,,34,12,3,0,,AT_21
AT,kärnten,2020-04-07,341,,,,35,12,8,0,,AT_21
AT,kärnten,2020-04-08,361,,,,33,12,20,0,,AT_21
AT,kärnten,2020-04-09,366,,,,32,13,5,0,,AT_21
AT,kärnten,2020-04-10,376,,,,30,12,10,0,,AT_21
AT,kärnten,2020-04-11,383,,,,29,10,7,0,,AT_21
AT,kärnten,2020-04-12,385,,,,27,10,2,0,,AT_21
AT,kärnten,2020-04-13,386,,,,27,10,1,0,,AT_21
AT,kärnten,2020-04-16,389,269,8,6767,23,10,1,0,218,AT_21
AT,kärnten,2020-04-17,394,274,8,6956,18,8,5,0,189,AT_21
AT,kärnten,2020-04-18,394,295,9,7156,16,9,0,1,200,AT_21
AT,kärnten,2020-04-19,394,302,10,7268,15,9,0,1,112,AT_21
AT,kärnten,2020-04-20,394,307,10,7624,15,9,0,0,356,AT_21
AT,kärnten,2020-04-21,402,316,12,7914,17,9,8,2,290,AT_21
AT,kärnten,2020-04-22,402,331,12,8269,14,7,0,0,355,AT_21
AT,kärnten,2020-04-23,402,346,12,8528,14,7,0,0,259,AT_21
AT,kärnten,2020-04-24,402,356,12,8755,14,7,0,0,227,AT_21
AT,kärnten,2020-04-25,404,360,12,8947,13,7,2,0,192,AT_21
AT,kärnten,2020-04-26,404,364,12,9036,12,6,0,0,89,AT_21
AT,kärnten,2020-04-27,407,368,12,9119,12,6,3,0,83,AT_21
AT,kärnten,2020-04-28,410,372,12,9471,11,6,3,0,352,AT_21
AT,kärnten,2020-04-29,410,378,12,9648,10,5,0,0,177,AT_21
AT,kärnten,2020-04-30,410,379,12,9904,8,5,0,0,256,AT_21
AT,kärnten,2020-05-01,410,381,12,10152,8,5,0,0,248,AT_21
AT,kärnten,2020-05-02,410,381,12,10302,7,4,0,0,150,AT_21
AT,kärnten,2020-05-03,410,382,13,10519,6,3,0,1,217,AT_21
AT,kärnten,2020-05-04,410,382,13,10837,6,3,0,0,318,AT_21
AT,kärnten,2020-05-05,411,383,13,11029,5,2,1,0,192,AT_21
AT,kärnten,2020-05-06,411,385,13,11483,5,3,0,0,454,AT_21
AT,kärnten,2020-05-07,411,385,13,11647,5,3,0,0,164,AT_21
AT,kärnten,2020-05-08,411,386,13,11980,3,2,0,0,333,AT_21
AT,kärnten,2020-05-09,411,387,13,12208,3,2,0,0,228,AT_21
AT,kärnten,2020-05-10,411,388,13,12414,2,0,0,0,206,AT_21
AT,kärnten,2020-05-11,411,389,13,12496,1,0,0,0,82,AT_21
AT,kärnten,2020-05-12,411,388,13,12836,1,0,0,0,340,AT_21
AT,kärnten,2020-05-13,410,388,13,13172,2,0,-1,0,336,AT_21
AT,kärnten,2020-05-14,411,389,13,13509,2,0,1,0,337,AT_21
AT,kärnten,2020-05-15,411,390,13,13750,2,0,0,0,241,AT_21
AT,kärnten,2020-05-16,411,390,13,13890,1,0,0,0,140,AT_21
AT,kärnten,2020-05-17,411,390,13,13941,1,0,0,0,51,AT_21
AT,kärnten,2020-05-18,411,390,13,14011,1,0,0,0,70,AT_21
AT,kärnten,2020-05-19,411,392,13,14410,1,0,0,0,399,AT_21
AT,kärnten,2020-05-20,411,393,13,14763,1,0,0,0,353,AT_21
AT,kärnten,2020-05-21,411,393,13,14910,1,0,0,0,147,AT_21
AT,kärnten,2020-05-22,411,393,13,15022,1,0,0,0,112,AT_21
AT,kärnten,2020-05-23,411,395,13,15144,0,0,0,0,122,AT_21
AT,kärnten,2020-05-24,411,395,13,15198,0,0,0,0,54,AT_21
AT,kärnten,2020-05-25,411,396,13,15255,0,0,0,0,57,AT_21
AT,kärnten,2020-05-26,413,397,13,15717,0,0,2,0,462,AT_21
AT,kärnten,2020-05-27,414,398,13,15924,0,0,1,0,207,AT_21
AT,kärnten,2020-05-28,414,398,13,16295,0,0,0,0,371,AT_21
AT,kärnten,2020-05-29,414,398,13,16663,0,0,0,0,368,AT_21
AT,kärnten,2020-05-30,414,398,13,16935,0,0,0,0,272,AT_21
AT,kärnten,2020-05-31,414,398,13,17104,0,0,0,0,169,AT_21
AT,kärnten,2020-06-01,414,398,13,17204,0,0,0,0,100,AT_21
AT,kärnten,2020-06-02,415,398,13,17395,0,0,1,0,191,AT_21
AT,kärnten,2020-06-03,416,398,13,17836,0,0,1,0,441,AT_21
AT,kärnten,2020-06-04,416,398,13,18212,0,0,0,0,376,AT_21
AT,kärnten,2020-06-05,416,398,13,18555,0,0,0,0,343,AT_21
AT,kärnten,2020-06-06,416,398,13,19066,0,0,0,0,511,AT_21
AT,kärnten,2020-06-07,416,398,13,19241,0,0,0,0,175,AT_21
AT,kärnten,2020-06-08,416,399,13,19455,0,0,0,0,214,AT_21
AT,kärnten,2020-06-09,415,400,13,19818,0,0,-1,0,363,AT_21
AT,kärnten,2020-06-10,415,401,13,20221,0,0,0,0,403,AT_21
AT,kärnten,2020-06-11,415,401,13,20509,0,0,0,0,288,AT_21
AT,kärnten,2020-06-12,415,401,13,20774,0,0,0,0,265,AT_21
AT,kärnten,2020-06-13,415,401,13,21035,0,0,0,0,261,AT_21
AT,kärnten,2020-06-14,415,401,13,21279,0,0,0,0,244,AT_21
AT,kärnten,2020-06-15,419,401,13,21395,0,0,4,0,116,AT_21
AT,kärnten,2020-06-16,419,401,13,21973,0,0,0,0,578,AT_21
AT,kärnten,2020-06-17,419,402,13,22357,0,0,0,0,384,AT_21
AT,kärnten,2020-06-18,418,402,13,22722,0,0,-1,0,365,AT_21
AT,kärnten,2020-06-19,419,402,13,23094,0,0,1,0,372,AT_21
AT,kärnten,2020-06-20,422,402,13,23379,1,0,3,0,285,AT_21
AT,kärnten,2020-06-21,422,402,13,22596,1,0,0,0,-783,AT_21
AT,kärnten,2020-06-22,422,402,13,23941,1,0,0,0,1345,AT_21
AT,kärnten,2020-06-23,422,402,13,24315,1,0,0,0,374,AT_21
AT,kärnten,2020-06-24,426,402,13,24731,2,0,4,0,416,AT_21
AT,kärnten,2020-06-25,426,402,13,25219,2,0,0,0,488,AT_21
AT,niederösterreich,2020-03-04,5,,,,,,,,,AT_12
AT,niederösterreich,2020-03-05,13,,,,,,8,,,AT_12
AT,niederösterreich,2020-03-06,15,,,,,,2,,,AT_12
AT,niederösterreich,2020-03-07,23,,,,,,8,,,AT_12
AT,niederösterreich,2020-03-08,31,,,,,,8,,,AT_12
AT,niederösterreich,2020-03-09,36,,,,,,5,,,AT_12
AT,niederösterreich,2020-03-10,40,,,,,,4,,,AT_12
AT,niederösterreich,2020-03-11,45,,,,,,5,,,AT_12
AT,niederösterreich,2020-03-12,51,,,,,,6,,,AT_12
AT,niederösterreich,2020-03-13,63,1,0,,,,12,,,AT_12
AT,niederösterreich,2020-03-14,82,1,0,,,,19,0,,AT_12
AT,niederösterreich,2020-03-15,111,1,0,,,,29,0,,AT_12
AT,niederösterreich,2020-03-16,152,1,0,,,,41,0,,AT_12
AT,niederösterreich,2020-03-17,216,2,0,,,,64,0,,AT_12
AT,niederösterreich,2020-03-18,256,2,0,,,,40,0,,AT_12
AT,niederösterreich,2020-03-19,305,2,0,,,,49,0,,AT_12
AT,niederösterreich,2020-03-20,355,2,0,,,,50,0,,AT_12
AT,niederösterreich,2020-03-21,394,2,0,,,,39,0,,AT_12
AT,niederösterreich,2020-03-22,446,2,0,,,,52,0,,AT_12
AT,niederösterreich,2020-03-23,564,0,0,,,,118,0,,AT_12
AT,niederösterreich,2020-03-24,620,0,0,,,,56,0,,AT_12
AT,niederösterreich,2020-03-25,750,0,0,,,,130,0,,AT_12
AT,niederösterreich,2020-03-26,873,0,0,,,,123,0,,AT_12
AT,niederösterreich,2020-03-27,1163,,,,127,18,290,0,,AT_12
AT,niederösterreich,2020-03-28,1299,,,,127,18,136,0,,AT_12
AT,niederösterreich,2020-03-29,1452,,,,160,26,153,0,,AT_12
AT,niederösterreich,2020-03-30,1584,,,,167,26,132,0,,AT_12
AT,niederösterreich,2020-03-31,1676,,,,223,32,92,0,,AT_12
AT,niederösterreich,2020-04-01,1726,,,,200,36,50,0,,AT_12
AT,niederösterreich,2020-04-02,1790,,,,203,43,64,0,,AT_12
AT,niederösterreich,2020-04-03,1862,,,,203,43,72,0,,AT_12
AT,niederösterreich,2020-04-04,1863,,,,206,39,1,0,,AT_12
AT,niederösterreich,2020-04-05,1942,,,,212,43,79,0,,AT_12
AT,niederösterreich,2020-04-06,2061,,,,207,43,119,0,,AT_12
AT,niederösterreich,2020-04-07,2111,,,,217,48,50,0,,AT_12
AT,niederösterreich,2020-04-08,2157,,,,208,55,46,0,,AT_12
AT,niederösterreich,2020-04-09,2203,,,,208,54,46,0,,AT_12
AT,niederösterreich,2020-04-10,2249,,,,205,53,46,0,,AT_12
AT,niederösterreich,2020-04-11,2302,,,,236,42,53,0,,AT_12
AT,niederösterreich,2020-04-12,2342,,,,231,42,40,0,,AT_12
AT,niederösterreich,2020-04-13,2376,,,,234,42,34,0,,AT_12
AT,niederösterreich,2020-04-16,2436,1415,73,17410,236,46,21,2,1222,AT_12
AT,niederösterreich,2020-04-17,2461,1498,77,18269,219,40,25,4,859,AT_12
AT,niederösterreich,2020-04-18,2469,1560,80,18831,207,41,8,3,562,AT_12
AT,niederösterreich,2020-04-19,2476,1560,82,19112,196,40,7,2,281,AT_12
AT,niederösterreich,2020-04-20,2495,1572,83,19588,193,37,19,1,476,AT_12
AT,niederösterreich,2020-04-21,2500,1623,85,20218,151,42,5,2,630,AT_12
AT,niederösterreich,2020-04-22,2519,1685,87,20980,141,43,19,2,762,AT_12
AT,niederösterreich,2020-04-23,2531,1841,88,21969,131,43,12,1,989,AT_12
AT,niederösterreich,2020-04-24,2546,1890,89,22572,127,40,15,1,603,AT_12
AT,niederösterreich,2020-04-25,2553,1950,90,24800,114,37,7,1,2228,AT_12
AT,niederösterreich,2020-04-26,2562,2026,90,25849,120,39,9,0,1049,AT_12
AT,niederösterreich,2020-04-27,2573,2042,92,27250,113,37,11,2,1401,AT_12
AT,niederösterreich,2020-04-28,2577,2101,92,28534,110,35,4,0,1284,AT_12
AT,niederösterreich,2020-04-29,2591,2141,92,29741,104,36,14,0,1207,AT_12
AT,niederösterreich,2020-04-30,2619,2164,92,31034,104,36,28,0,1293,AT_12
AT,niederösterreich,2020-05-01,2625,2221,92,31930,99,37,6,0,896,AT_12
AT,niederösterreich,2020-05-02,2630,2238,92,32438,90,35,5,0,508,AT_12
AT,niederösterreich,2020-05-03,2633,2255,92,32815,85,34,3,0,377,AT_12
AT,niederösterreich,2020-05-04,2638,2270,93,33646,86,35,5,1,831,AT_12
AT,niederösterreich,2020-05-05,2650,2310,95,34690,86,33,12,2,1044,AT_12
AT,niederösterreich,2020-05-06,2661,2369,95,35997,84,29,11,0,1307,AT_12
AT,niederösterreich,2020-05-07,2666,2370,95,37010,76,28,5,0,1013,AT_12
AT,niederösterreich,2020-05-08,2682,2394,95,38048,73,28,16,0,1038,AT_12
AT,niederösterreich,2020-05-09,2684,2405,95,39532,72,25,2,0,1484,AT_12
AT,niederösterreich,2020-05-10,2687,2414,95,40655,68,24,3,0,1123,AT_12
AT,niederösterreich,2020-05-11,2704,2418,95,41724,69,23,17,0,1069,AT_12
AT,niederösterreich,2020-05-12,2709,2433,95,42771,67,21,5,0,1047,AT_12
AT,niederösterreich,2020-05-13,2720,2467,95,43776,65,21,11,0,1005,AT_12
AT,niederösterreich,2020-05-14,2732,2487,97,44954,62,20,12,2,1178,AT_12
AT,niederösterreich,2020-05-15,2765,2503,97,46257,58,18,33,0,1303,AT_12
AT,niederösterreich,2020-05-16,2780,2510,98,47426,53,17,15,1,1169,AT_12
AT,niederösterreich,2020-05-17,2785,2512,98,48584,49,15,5,0,1158,AT_12
AT,niederösterreich,2020-05-18,2798,2516,98,49590,49,15,13,0,1006,AT_12
AT,niederösterreich,2020-05-19,2789,2529,99,50494,45,14,-9,1,904,AT_12
AT,niederösterreich,2020-05-20,2799,2557,99,51582,41,14,10,0,1088,AT_12
AT,niederösterreich,2020-05-21,2806,2562,99,52614,42,13,7,0,1032,AT_12
AT,niederösterreich,2020-05-22,2838,2574,100,53663,38,12,32,1,1049,AT_12
AT,niederösterreich,2020-05-23,2830,2583,100,56075,35,11,-8,0,2412,AT_12
AT,niederösterreich,2020-05-24,2835,2596,100,57841,31,11,5,0,1766,AT_12
AT,niederösterreich,2020-05-25,2845,2604,100,58868,32,11,10,0,1027,AT_12
AT,niederösterreich,2020-05-26,2851,2621,100,60525,32,13,6,0,1657,AT_12
AT,niederösterreich,2020-05-27,2860,2633,100,62155,28,13,9,0,1630,AT_12
AT,niederösterreich,2020-05-28,2861,2647,100,64267,26,13,1,0,2112,AT_12
AT,niederösterreich,2020-05-29,2864,2654,100,66422,26,11,3,0,2155,AT_12
AT,niederösterreich,2020-05-30,2866,2667,100,68149,25,10,2,0,1727,AT_12
AT,niederösterreich,2020-05-31,2866,2673,100,69621,22,10,0,0,1472,AT_12
AT,niederösterreich,2020-06-01,2866,2673,100,71433,21,10,0,0,1812,AT_12
AT,niederösterreich,2020-06-02,2866,2678,100,72439,20,9,0,0,1006,AT_12
AT,niederösterreich,2020-06-03,2868,2687,100,73642,19,6,2,0,1203,AT_12
AT,niederösterreich,2020-06-04,2870,2695,100,74761,18,6,2,0,1119,AT_12
AT,niederösterreich,2020-06-05,2876,2699,100,76964,18,6,6,0,2203,AT_12
AT,niederösterreich,2020-06-06,2880,2706,100,77996,16,5,4,0,1032,AT_12
AT,niederösterreich,2020-06-07,2883,2707,100,79508,14,5,3,0,1512,AT_12
AT,niederösterreich,2020-06-08,2889,2707,100,80732,14,6,6,0,1224,AT_12
AT,niederösterreich,2020-06-09,2891,2717,100,82507,15,5,2,0,1775,AT_12
AT,niederösterreich,2020-06-10,2891,2725,100,84197,12,4,0,0,1690,AT_12
AT,niederösterreich,2020-06-11,2893,2742,100,85688,13,2,2,0,1491,AT_12
AT,niederösterreich,2020-06-12,2899,2746,100,86793,12,0,6,0,1105,AT_12
AT,niederösterreich,2020-06-13,2906,2750,100,88187,14,2,7,0,1394,AT_12
AT,niederösterreich,2020-06-14,2912,2750,100,89200,10,2,6,0,1013,AT_12
AT,niederösterreich,2020-06-15,2922,2750,100,90321,11,2,10,0,1121,AT_12
AT,niederösterreich,2020-06-16,2924,2753,100,91352,9,1,2,0,1031,AT_12
AT,niederösterreich,2020-06-17,2927,2754,100,92627,7,1,3,0,1275,AT_12
AT,niederösterreich,2020-06-18,2932,2756,100,93840,9,1,5,0,1213,AT_12
AT,niederösterreich,2020-06-19,2939,2761,100,94919,11,1,7,0,1079,AT_12
AT,niederösterreich,2020-06-20,2940,2765,100,96193,12,2,1,0,1274,AT_12
AT,niederösterreich,2020-06-21,2947,2767,100,97526,10,2,7,0,1333,AT_12
AT,niederösterreich,2020-06-22,2954,2769,100,98881,9,3,7,0,1355,AT_12
AT,niederösterreich,2020-06-23,2958,2777,101,99930,11,4,4,1,1049,AT_12
AT,niederösterreich,2020-06-24,2965,2778,101,101104,8,4,7,0,1174,AT_12
AT,niederösterreich,2020-06-25,2971,2783,102,101888,11,3,6,1,784,AT_12
AT,oberösterreich,2020-03-06,1,,,,,,,,,AT_31
AT,oberösterreich,2020-03-07,4,,,,,,3,,,AT_31
AT,oberösterreich,2020-03-08,7,,,,,,3,,,AT_31
AT,oberösterreich,2020-03-09,11,,,,,,4,,,AT_31
AT,oberösterreich,2020-03-10,22,,,,,,11,,,AT_31
AT,oberösterreich,2020-03-11,35,,,,,,13,,,AT_31
AT,oberösterreich,2020-03-12,58,,,,,,23,,,AT_31
AT,oberösterreich,2020-03-13,84,0,0,,,,26,,,AT_31
AT,oberösterreich,2020-03-14,116,0,0,,,,32,0,,AT_31
AT,oberösterreich,2020-03-15,159,0,0,,,,43,0,,AT_31
AT,oberösterreich,2020-03-16,202,0,0,,,,43,0,,AT_31
AT,oberösterreich,2020-03-17,248,0,0,,,,46,0,,AT_31
AT,oberösterreich,2020-03-18,305,0,0,,,,57,0,,AT_31
AT,oberösterreich,2020-03-19,371,0,0,,,,66,0,,AT_31
AT,oberösterreich,2020-03-20,421,0,0,,,,50,0,,AT_31
AT,oberösterreich,2020-03-21,548,0,0,,,,127,0,,AT_31
AT,oberösterreich,2020-03-22,628,0,0,,,,80,0,,AT_31
AT,oberösterreich,2020-03-23,707,0,0,,,,79,0,,AT_31
AT,oberösterreich,2020-03-24,795,0,0,,,,88,0,,AT_31
AT,oberösterreich,2020-03-25,915,0,0,,,,120,0,,AT_31
AT,oberösterreich,2020-03-27,1285,,,,82,10,370,0,,AT_31
AT,oberösterreich,2020-03-28,1402,,,,82,10,117,0,,AT_31
AT,oberösterreich,2020-03-29,1527,,,,138,22,125,0,,AT_31
AT,oberösterreich,2020-03-30,1573,,,,156,23,46,0,,AT_31
AT,oberösterreich,2020-03-31,1656,,,,167,27,83,0,,AT_31
AT,oberösterreich,2020-04-01,1748,,,,142,29,92,0,,AT_31
AT,oberösterreich,2020-04-02,1810,,,,138,31,62,0,,AT_31
AT,oberösterreich,2020-04-03,1869,,,,135,33,59,0,,AT_31
AT,oberösterreich,2020-04-04,1916,,,,135,33,47,0,,AT_31
AT,oberösterreich,2020-04-05,1955,,,,136,32,39,0,,AT_31
AT,oberösterreich,2020-04-06,1978,,,,135,29,23,0,,AT_31
AT,oberösterreich,2020-04-07,2021,,,,125,31,43,0,,AT_31
