date,current_hospitalized,current_intensive_care,total_deceased,new_recovered,new_tested,key,new_deceased,total_recovered,total_tested
2020-04-03,183,35,29,19,117,LU,1,131,2800
2020-04-04,190,33,34,13,71,LU,5,144,2871
2020-04-05,177,33,36,10,39,LU,2,154,2910
2020-04-06,180,31,38,16,77,LU,2,170,2987
2020-04-07,179,31,43,12,87,LU,5,182,3074
2020-04-08,189,33,46,10,80,LU,3,192,3154
2020-04-09,185,29,49,10,71,LU,3,202,3225
2020-04-10,186,28,55,20,48,LU,6,222,3273
2020-04-11,172,30,58,8,12,LU,3,230,3285
2020-04-12,183,31,62,3,19,LU,4,233,3304
2020-04-13,161,33,65,14,3,LU,3,247,3307
2020-04-14,163,34,68,21,76,LU,3,268,3383
2020-04-15,144,35,68,14,50,LU,0,282,3433
2020-04-16,157,32,71,18,44,LU,3,300,3477
2020-04-17,141,30,71,15,55,LU,0,315,3532
2020-04-18,152,31,74,10,19,LU,3,325,3551
2020-04-19,148,30,75,0,8,LU,1,325,3559
2020-04-20,149,31,78,22,31,LU,3,347,3590
2020-04-21,147,31,80,10,48,LU,2,357,3638
2020-04-22,143,28,81,13,18,LU,1,370,3656
2020-04-23,133,24,84,12,20,LU,3,382,3676
2020-04-24,129,25,85,17,32,LU,1,399,3708
2020-04-25,119,23,88,6,15,LU,3,405,3723
2020-04-26,121,20,88,4,6,LU,0,409,3729
2020-04-27,112,20,89,19,12,LU,1,428,3741
2020-04-28,115,22,89,20,33,LU,0,448,3774
2020-04-29,101,24,90,10,16,LU,1,458,3790
2020-04-30,87,24,92,13,14,LU,2,471,3804
2020-05-01,98,25,93,4,7,LU,1,475,3811
2020-05-02,93,24,96,3,12,LU,3,478,3823
2020-05-03,92,23,96,2,4,LU,0,480,3827
2020-05-04,90,22,98,8,12,LU,2,488,3839
2020-05-05,98,20,98,16,11,LU,0,504,3850
2020-05-06,90,21,100,6,9,LU,2,510,3859
2020-05-07,80,16,100,7,11,LU,0,517,3870
2020-05-08,88,15,101,12,6,LU,1,529,3876
2020-05-09,79,14,101,6,9,LU,0,535,3885
2020-05-10,69,18,101,3,2,LU,0,538,3887
2020-05-11,66,22,102,1,7,LU,1,539,3894
2020-05-12,67,22,103,7,10,LU,1,546,3904
2020-05-13,67,11,103,8,12,LU,0,554,3916
2020-05-14,71,11,104,3,7,LU,1,557,3923
2020-05-15,58,15,105,3,9,LU,1,560,3932
2020-05-16,50,13,106,5,13,LU,1,565,3945
2020-05-17,46,8,106,1,2,LU,0,566,3947
2020-05-18,50,10,108,6,12,LU,2,572,3959
2020-05-19,51,6,108,5,12,LU,0,577,3971
2020-05-20,56,6,108,10,9,LU,0,587,3980
2020-05-21,46,5,108,1,1,LU,0,588,3981
2020-05-22,47,8,108,9,9,LU,0,597,3990
2020-05-23,36,7,109,0,2,LU,1,597,3992
2020-05-24,37,4,109,0,1,LU,0,597,3993
2020-05-25,39,5,109,2,2,LU,0,599,3995
2020-05-26,46,4,110,3,6,LU,1,602,4001
2020-05-27,35,4,110,4,7,LU,0,606,4008
2020-05-28,30,4,110,3,4,LU,0,609,4012
2020-05-29,32,3,110,5,4,LU,0,614,4016
2020-05-30,30,3,110,2,2,LU,0,616,4018
2020-05-31,31,3,110,2,1,LU,0,618,4019
2020-06-01,28,4,110,1,1,LU,0,619,4020
2020-06-02,31,2,110,2,4,LU,0,621,4024
2020-06-03,28,3,110,2,4,LU,0,623,4028
2020-06-04,28,1,110,5,5,LU,0,628,4033
2020-06-05,21,1,110,4,2,LU,0,632,4035
2020-06-06,15,1,110,0,4,LU,0,632,4039
2020-06-07,19,2,110,1,1,LU,0,633,4040
2020-06-08,20,2,110,2,6,LU,0,635,4046
2020-06-09,17,1,110,4,3,LU,0,639,4049
2020-06-10,17,1,110,5,3,LU,0,644,4052
2020-06-11,16,0,110,1,3,LU,0,645,4055
