date,total_hospitalized_symptomatic,current_intensive_care,current_hospitalized,total_quarantined,current_confirmed,new_current_confirmed,new_confirmed,total_recovered,total_deceased,total_confirmed,total_tested,cases_tested?,key,new_hospitalized_symptomatic,new_quarantined,new_recovered,new_deceased,new_tested,total_current_confirmed
2020-04-11,28144,3381,31525,68744,100269,1996,4694,32534,19468,152271,963473,,IT,-98,2210,2079,619,56609,100048
2020-04-12,27847,3343,31190,71063,102253,1984,4092,34211,19899,156363,1010193,,IT,-297,2319,1677,431,46720,102032
2020-04-13,28023,3260,31283,72333,103616,1363,3153,35435,20465,159516,1046910,,IT,176,1270,1224,566,36717,103395
2020-04-14,28011,3186,31197,73094,104291,675,2972,37130,21067,162488,1073689,,IT,-12,761,1695,602,26779,104070
2020-04-15,27643,3079,30722,74696,105418,1127,2667,38092,21645,165155,1117404,,IT,-368,1602,962,578,43715,105197
2020-04-16,26893,2936,29829,76778,106607,1189,3786,40164,22170,168941,1178403,,IT,-750,2082,2072,525,60999,106386
2020-04-17,25786,2812,28598,78364,106962,355,3493,42727,22745,172434,1244108,,IT,-1107,1586,2563,575,65705,106741
2020-04-18,25007,2733,27740,80031,107771,809,3491,44927,23227,175925,1305833,,IT,-779,1667,2200,482,61725,107550
2020-04-19,25033,2635,27668,80589,108257,486,3047,47055,23660,178972,1356541,935310,IT,26,558,2128,433,50708,108036
2020-04-20,24906,2573,27479,80758,108237,-20,2256,48877,24114,181228,1398024,943151,IT,-127,169,1822,454,41483,108016
2020-04-21,24134,2471,26605,81104,107709,-528,2729,51600,24648,183957,1450150,971246,IT,-772,346,2723,534,52126,107488
2020-04-22,23805,2384,26189,81510,107699,-10,3370,54543,25085,187327,1513251,1015494,IT,-329,406,2943,437,63101,107478
2020-04-23,22871,2267,25138,81710,106848,-851,2646,57576,25549,189973,1579909,1052577,IT,-934,200,3033,464,66658,106627
2020-04-24,22068,2173,24241,82286,106527,-321,3021,60498,25969,192994,1642356,1147850,IT,-803,576,2922,420,62447,106306
2020-04-25,21533,2102,23635,82212,105847,-680,2357,63120,26384,195351,1707743,1186526,IT,-535,-74,2622,415,65387,105626
2020-04-26,21372,2009,23381,82722,106103,256,2324,64928,26644,197675,1757659,1210639,IT,-161,510,1808,260,49916,105882
