date,YYYYMMDD,cumulative_tests,recovered,hospitalisation,critical_icu,ventilation,deaths,contacts_identified,contacts_traced,scanned_travellers,passengers_elevated_temperature,covid_suspected_criteria,source
28-05-2020,20200528,655723,14370,,,,577,,,,,,https://twitter.com/nicd_sa/status/1266132429858918400?s=20
29-05-2020,20200529,680175,15093,,,,611,,,,,,https://sacoronavirus.co.za/2020/05/29/update-on-covid-19-29th-may-2020/
30-05-2020,20200530,701883,16116,,,,643,,,,,,https://sacoronavirus.co.za/2020/05/30/update-on-covid-19-30th-may-2020/
31-05-2020,20200531,725125,16809,,,,683,,,,,,https://sacoronavirus.co.za/2020/05/31/update-on-covid-19-31st-may-2020/
01-06-2020,20200601,742742,17291,,,,705,,,,,,https://sacoronavirus.co.za/2020/06/01/update-on-covid-19-1st-june-202/
02-06-2020,20200602,761534,18313,,,,755,,,,,,https://sacoronavirus.co.za/2020/06/02/update-on-covid-19-02nd-june-2020/
03-06-2020,20200603,785979,19682,,,,792,,,,,,https://sacoronavirus.co.za/2020/06/03/update-on-covid-19-03rd-june-2020/
04-06-2020,20200604,820675,21311,,,,848,,,,,,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-4-june-2020/
05-06-2020,20200605,850871,23088,,,,908,,,,,,https://sacoronavirus.co.za/2020/06/05/update-on-covid-19-05th-june-2020/
06-06-2020,20200606,891668,24258,,,,952,,,,,,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-6-june-2020/
07-06-2020,20200607,920064,24364,,,,998,,,,,,https://sacoronavirus.co.za/2020/06/07/update-on-covid-19-07th-june-2020/
08-06-2020,20200608,943059,26099,,,,1080,,,,,,https://sacoronavirus.co.za/2020/06/08/update-on-covid-19-08th-june-2020/
09-06-2020,20200609,968070,29006,,,,1162,,,,,,https://sacoronavirus.co.za/2020/06/09/update-on-covid-19-09th-june-2020/
10-06-2020,20200610,998400,31505,,,,1210,,,,,,https://sacoronavirus.co.za/2020/06/10/update-on-covid-19-10th-june-2020/
11-06-2020,20200611,1028399,33252,,,,1284,,,,,,https://sacoronavirus.co.za/2020/06/11/update-on-covid-19-11th-june-2020/
12-06-2020,20200612,1060425,35008,,,,1354,,,,,,https://sacoronavirus.co.za/2020/06/12/update-on-covid-19-12th-june-2020/
13-06-2020,20200613,1087887,36850,,,,1423,,,,,,https://sacoronavirus.co.za/2020/06/13/update-on-covid-19-13th-june-2020/
14-06-2020,20200614,1121958,38531,,,,1480,,,,,,https://sacoronavirus.co.za/2020/06/14/update-on-covid-19-14th-june-2020/
15-06-2020,20200615,1148933,39867,,,,1568,,,,,,https://sacoronavirus.co.za/2020/06/15/update-on-covid-19-15th-june-2020/
16-06-2020,20200616,1172513,42063,,,,1625,,,,,,https://twitter.com/nicd_sa/status/1273017728232800257
17-06-2020,20200617,1207360,44343,,,,1674,,,,,,https://sacoronavirus.co.za/2020/06/17/update-on-covid-19-17th-june-2020/
18-06-2020,20200618,1228098,44920,,,,1737,,,,,,https://twitter.com/nicd_sa/status/1273701719126552576/photo/1
19-06-2020,20200619,1260434,47825,,,,1831,,,,,,https://sacoronavirus.co.za/2020/06/19/update-on-covid-19-19th-june-2020/
20-06-2020,20200620,1293608,50326,,,,1877,,,,,,https://sacoronavirus.co.za/2020/06/20/update-on-covid-19-20th-june-2020/
21-06-2020,20200621,1328060,51608,,,,1930,,,,,,https://sacoronavirus.co.za/2020/06/21/update-on-covid-19-21st-june-2020/
22-06-2020,20200622,1353176,53444,,,,1991,,,,,,https://sacoronavirus.co.za/2020/06/22/update-on-covid-19-22nd-june-2020/
23-06-2020,20200623,1382772,55045,,,,2102,,,,,,https://sacoronavirus.co.za/2020/06/23/update-on-covid-19-23rd-june-2020/
