Date,Country,Indicator,Value
2020-02-17,Northern Ireland,Tests,37
2020-02-17,Scotland,ConfirmedCases,0
2020-02-17,Scotland,Deaths,0
2020-02-17,Scotland,Tests,264
2020-02-17,UK,ConfirmedCases,9
2020-02-17,UK,Deaths,0
2020-02-17,UK,Tests,4501
2020-02-17,Wales,ConfirmedCases,0
2020-02-17,Wales,Tests,4
2020-02-18,Northern Ireland,ConfirmedCases,0
2020-02-18,Northern Ireland,Tests,40
2020-02-18,Scotland,ConfirmedCases,0
2020-02-18,Scotland,Deaths,0
2020-02-18,Scotland,Tests,276
2020-02-18,UK,ConfirmedCases,9
2020-02-18,UK,Deaths,0
2020-02-18,UK,Tests,4916
2020-02-18,Wales,ConfirmedCases,0
2020-02-18,Wales,Tests,4
2020-02-19,England,ConfirmedCases,19
2020-02-19,Northern Ireland,ConfirmedCases,0
2020-02-19,Northern Ireland,Deaths,0
2020-02-19,Northern Ireland,Tests,43
2020-02-19,Scotland,ConfirmedCases,0
2020-02-19,Scotland,Deaths,0
2020-02-19,Scotland,Tests,306
2020-02-19,UK,ConfirmedCases,9
2020-02-19,UK,Deaths,0
2020-02-19,UK,Tests,5207
2020-02-19,Wales,ConfirmedCases,0
2020-02-19,Wales,Tests,4
2020-02-20,Northern Ireland,ConfirmedCases,0
2020-02-20,Northern Ireland,Tests,44
2020-02-20,Scotland,ConfirmedCases,0
2020-02-20,Scotland,Deaths,0
2020-02-20,Scotland,Tests,327
2020-02-20,UK,ConfirmedCases,9
2020-02-20,UK,Deaths,0
2020-02-20,UK,Tests,5549
2020-02-20,Wales,ConfirmedCases,0
2020-02-20,Wales,Tests,4
2020-02-21,England,ConfirmedCases,20
2020-02-21,Northern Ireland,ConfirmedCases,0
2020-02-21,Northern Ireland,Tests,47
2020-02-21,Scotland,ConfirmedCases,0
2020-02-21,Scotland,Deaths,0
2020-02-21,Scotland,Tests,368
2020-02-21,UK,ConfirmedCases,9
2020-02-21,UK,Deaths,0
2020-02-21,UK,Tests,5885
2020-02-21,Wales,ConfirmedCases,0
2020-02-21,Wales,Tests,4
2020-02-22,Scotland,ConfirmedCases,0
2020-02-22,Scotland,Deaths,0
2020-02-22,Scotland,Tests,382
2020-02-22,UK,ConfirmedCases,9
2020-02-22,UK,Deaths,0
2020-02-22,UK,Tests,6152
2020-02-22,Wales,ConfirmedCases,0
2020-02-22,Wales,Tests,4
2020-02-23,England,ConfirmedCases,24
2020-02-23,Northern Ireland,ConfirmedCases,0
2020-02-23,Northern Ireland,Tests,50
2020-02-23,Scotland,ConfirmedCases,0
2020-02-23,Scotland,Deaths,0
2020-02-23,Scotland,Tests,393
2020-02-23,UK,ConfirmedCases,9
2020-02-23,UK,Deaths,0
2020-02-23,UK,Tests,6324
2020-02-23,Wales,ConfirmedCases,0
2020-02-23,Wales,Tests,5
2020-02-24,England,ConfirmedCases,25
2020-02-24,Northern Ireland,ConfirmedCases,0
2020-02-24,Northern Ireland,Tests,52
2020-02-24,Scotland,ConfirmedCases,0
2020-02-24,Scotland,Deaths,0
2020-02-24,Scotland,Tests,404
2020-02-24,UK,ConfirmedCases,13
2020-02-24,UK,Deaths,0
2020-02-24,UK,Tests,6536
2020-02-24,Wales,ConfirmedCases,0
2020-02-24,Wales,Tests,5
2020-02-25,England,ConfirmedCases,29
2020-02-25,Northern Ireland,ConfirmedCases,0
2020-02-25,Northern Ireland,Tests,76
2020-02-25,Scotland,ConfirmedCases,0
2020-02-25,Scotland,Deaths,0
2020-02-25,Scotland,Tests,412
2020-02-25,UK,ConfirmedCases,13
2020-02-25,UK,Deaths,0
2020-02-25,UK,Tests,6795
2020-02-25,Wales,ConfirmedCases,0
2020-02-25,Wales,Tests,5
2020-02-26,England,ConfirmedCases,32
2020-02-26,Northern Ireland,ConfirmedCases,0
2020-02-26,Northern Ireland,Deaths,0
2020-02-26,Northern Ireland,Tests,117
2020-02-26,Scotland,ConfirmedCases,0
2020-02-26,Scotland,Deaths,0
2020-02-26,Scotland,Tests,437
2020-02-26,UK,ConfirmedCases,13
2020-02-26,UK,Deaths,0
2020-02-26,UK,Tests,7132
2020-02-26,Wales,ConfirmedCases,0
2020-02-26,Wales,Tests,5
2020-02-27,England,ConfirmedCases,38
2020-02-27,Northern Ireland,ConfirmedCases,0
2020-02-27,Northern Ireland,Deaths,0
2020-02-27,Northern Ireland,Tests,159
2020-02-27,Scotland,ConfirmedCases,0
2020-02-27,Scotland,Deaths,0
2020-02-27,Scotland,Tests,470
2020-02-27,UK,ConfirmedCases,13
2020-02-27,UK,Deaths,0
2020-02-27,UK,Tests,7690
2020-02-27,Wales,ConfirmedCases,1
2020-02-27,Wales,Tests,6
2020-02-28,England,ConfirmedCases,50
2020-02-28,Northern Ireland,ConfirmedCases,0
2020-02-28,Northern Ireland,Deaths,0
2020-02-28,Northern Ireland,Tests,185
2020-02-28,Scotland,ConfirmedCases,0
2020-02-28,Scotland,Deaths,0
2020-02-28,Scotland,Tests,500
2020-02-28,UK,ConfirmedCases,19
2020-02-28,UK,Deaths,0
2020-02-28,UK,Tests,8986
2020-02-28,Wales,ConfirmedCases,1
2020-02-28,Wales,Deaths,0
2020-02-28,Wales,Tests,7
2020-02-29,England,ConfirmedCases,54
2020-02-29,Northern Ireland,ConfirmedCases,0
2020-02-29,Northern Ireland,Deaths,0
2020-02-29,Northern Ireland,Tests,201
2020-02-29,Scotland,ConfirmedCases,0
2020-02-29,Scotland,Deaths,0
2020-02-29,Scotland,Tests,630
2020-02-29,UK,ConfirmedCases,23
2020-02-29,UK,Deaths,0
2020-02-29,UK,Tests,10483
2020-02-29,Wales,ConfirmedCases,1
2020-02-29,Wales,Deaths,0
2020-02-29,Wales,Tests,7
2020-03-01,England,ConfirmedCases,85
2020-03-01,Northern Ireland,ConfirmedCases,0
2020-03-01,Northern Ireland,Deaths,0
2020-03-01,Northern Ireland,Tests,211
2020-03-01,Scotland,ConfirmedCases,0
2020-03-01,Scotland,Deaths,0
2020-03-01,Scotland,Tests,698
2020-03-01,UK,ConfirmedCases,35
2020-03-01,UK,Deaths,0
2020-03-01,UK,Tests,11750
2020-03-01,Wales,ConfirmedCases,1
2020-03-01,Wales,Deaths,0
2020-03-01,Wales,Tests,9
2020-03-02,England,ConfirmedCases,124
2020-03-02,Northern Ireland,ConfirmedCases,0
2020-03-02,Northern Ireland,Deaths,0
2020-03-02,Northern Ireland,Tests,230
2020-03-02,Scotland,ConfirmedCases,1
2020-03-02,Scotland,Deaths,0
2020-03-02,Scotland,Tests,815
2020-03-02,UK,ConfirmedCases,40
2020-03-02,UK,Deaths,0
2020-03-02,UK,Tests,13525
2020-03-02,Wales,ConfirmedCases,1
2020-03-02,Wales,Deaths,0
2020-03-02,Wales,Tests,9
2020-03-03,England,ConfirmedCases,175
2020-03-03,Northern Ireland,ConfirmedCases,0
2020-03-03,Northern Ireland,Deaths,0
2020-03-03,Northern Ireland,Tests,256
2020-03-03,Scotland,ConfirmedCases,1
2020-03-03,Scotland,Deaths,0
2020-03-03,Scotland,Tests,915
2020-03-03,UK,ConfirmedCases,51
2020-03-03,UK,Deaths,0
2020-03-03,UK,Tests,13911
2020-03-03,Wales,ConfirmedCases,1
2020-03-03,Wales,Deaths,0
2020-03-03,Wales,Tests,10
2020-03-04,England,ConfirmedCases,224
2020-03-04,Northern Ireland,ConfirmedCases,0
2020-03-04,Northern Ireland,Deaths,0
2020-03-04,Northern Ireland,Tests,283
2020-03-04,Scotland,ConfirmedCases,3
2020-03-04,Scotland,Deaths,0
2020-03-04,Scotland,Tests,1046
2020-03-04,UK,ConfirmedCases,85
2020-03-04,UK,Deaths,0
2020-03-04,UK,Tests,16659
2020-03-04,Wales,ConfirmedCases,2
2020-03-04,Wales,Deaths,0
2020-03-04,Wales,Tests,13
2020-03-05,England,ConfirmedCases,271
2020-03-05,England,Deaths,0
2020-03-05,Northern Ireland,ConfirmedCases,0
2020-03-05,Northern Ireland,Deaths,0
2020-03-05,Northern Ireland,Tests,309
2020-03-05,Scotland,ConfirmedCases,6
2020-03-05,Scotland,Deaths,0
2020-03-05,Scotland,Tests,1256
2020-03-05,UK,ConfirmedCases,114
2020-03-05,UK,Deaths,0
2020-03-05,UK,Tests,18083
2020-03-05,Wales,ConfirmedCases,2
2020-03-05,Wales,Deaths,0
2020-03-05,Wales,Tests,13
2020-03-06,England,ConfirmedCases,344
2020-03-06,England,Deaths,1
2020-03-06,Northern Ireland,ConfirmedCases,0
2020-03-06,Northern Ireland,Deaths,0
2020-03-06,Northern Ireland,Tests,328
2020-03-06,Scotland,ConfirmedCases,11
2020-03-06,Scotland,Deaths,0
2020-03-06,Scotland,Tests,1525
2020-03-06,UK,ConfirmedCases,160
2020-03-06,UK,Deaths,1
2020-03-06,UK,Tests,20338
2020-03-06,Wales,ConfirmedCases,2
2020-03-06,Wales,Deaths,0
2020-03-06,Wales,Tests,15
2020-03-07,England,ConfirmedCases,391
2020-03-07,England,Deaths,2
2020-03-07,Northern Ireland,ConfirmedCases,0
2020-03-07,Northern Ireland,Deaths,0
2020-03-07,Northern Ireland,Tests,349
2020-03-07,Scotland,ConfirmedCases,16
2020-03-07,Scotland,Deaths,0
2020-03-07,Scotland,Tests,1680
2020-03-07,UK,ConfirmedCases,206
2020-03-07,UK,Deaths,2
2020-03-07,UK,Tests,21460
2020-03-07,Wales,ConfirmedCases,4
2020-03-07,Wales,Deaths,0
2020-03-07,Wales,Tests,17
2020-03-08,England,ConfirmedCases,441
2020-03-08,England,Deaths,2
2020-03-08,Northern Ireland,ConfirmedCases,0
2020-03-08,Northern Ireland,Deaths,0
2020-03-08,Northern Ireland,Tests,379
2020-03-08,Scotland,ConfirmedCases,18
2020-03-08,Scotland,Deaths,0
2020-03-08,Scotland,Tests,1957
2020-03-08,UK,ConfirmedCases,271
2020-03-08,UK,Deaths,2
2020-03-08,UK,Tests,23513
2020-03-08,Wales,ConfirmedCases,4
2020-03-08,Wales,Deaths,0
2020-03-08,Wales,Tests,17
2020-03-09,England,ConfirmedCases,566
2020-03-09,England,Deaths,3
2020-03-09,Northern Ireland,ConfirmedCases,1
2020-03-09,Northern Ireland,Deaths,0
2020-03-09,Northern Ireland,Tests,441
2020-03-09,Scotland,ConfirmedCases,23
2020-03-09,Scotland,Deaths,0
2020-03-09,Scotland,Tests,2101
2020-03-09,UK,ConfirmedCases,321
2020-03-09,UK,Deaths,3
2020-03-09,UK,Tests,24960
2020-03-09,Wales,ConfirmedCases,7
2020-03-09,Wales,Deaths,0
2020-03-09,Wales,Tests,20
2020-03-10,England,ConfirmedCases,791
2020-03-10,England,Deaths,7
2020-03-10,Northern Ireland,ConfirmedCases,5
2020-03-10,Northern Ireland,Deaths,0
2020-03-10,Northern Ireland,Tests,598
2020-03-10,Scotland,ConfirmedCases,27
2020-03-10,Scotland,Deaths,0
2020-03-10,Scotland,Tests,2234
2020-03-10,UK,ConfirmedCases,373
2020-03-10,UK,Deaths,7
2020-03-10,UK,Tests,26261
2020-03-10,Wales,ConfirmedCases,18
2020-03-10,Wales,Deaths,0
2020-03-10,Wales,Tests,31
2020-03-11,England,ConfirmedCases,1156
2020-03-11,England,Deaths,7
2020-03-11,Northern Ireland,ConfirmedCases,16
2020-03-11,Northern Ireland,Deaths,0
2020-03-11,Northern Ireland,Tests,764
2020-03-11,Scotland,ConfirmedCases,36
2020-03-11,Scotland,Deaths,0
2020-03-11,Scotland,Tests,2316
2020-03-11,UK,ConfirmedCases,456
