Report Date,As of Date,State,Confirmed Cases,Source
06/16/2020,06/13/2020,Khartoum,5666,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/16/2020,06/13/2020,North Darfur,117,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/16/2020,06/13/2020,North Kordofan,145,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/16/2020,06/13/2020,Northern,30,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/16/2020,06/13/2020,Red Sea,89,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/16/2020,06/13/2020,River Nile,59,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/16/2020,06/13/2020,Sennar,150,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/16/2020,06/13/2020,South Darfur,36,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/16/2020,06/13/2020,South Kordofan,7,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/16/2020,06/13/2020,West Darfur,28,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/16/2020,06/13/2020,West Kordofan,22,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/16/2020,06/13/2020,White Nile,101,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2011%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,Abyei PCA,,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,Al Jazirah,420,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,Blue Nile,11,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,Central Darfur,4,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,East Darfur,16,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,Gedaref,169,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,Kassala,52,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,Khartoum,4313,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,North Darfur,68,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,North Kordofan,137,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,Northern,2,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,Red Sea,13,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,River Nile,24,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,Sennar,116,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,South Darfur,35,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,South Kordofan,6,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,West Darfur,26,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,West Kordofan,12,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
06/04/2020,06/02/2020,White Nile,57,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%204%20Jun%202020%20%281%29.pdf
05/31/2020,05/28/2020,Abyei PCA,,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
05/31/2020,05/28/2020,Al Jazirah,335,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
05/31/2020,05/28/2020,Blue Nile,8,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
05/31/2020,05/28/2020,Central Darfur,4,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
05/31/2020,05/28/2020,East Darfur,14,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
05/31/2020,05/28/2020,Gedaref,151,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
05/31/2020,05/28/2020,Kassala,40,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
05/31/2020,05/28/2020,Khartoum,3794,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
05/31/2020,05/28/2020,North Darfur,61,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
05/31/2020,05/28/2020,North Kordofan,124,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
05/31/2020,05/28/2020,Northern,15,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
05/31/2020,05/28/2020,Red Sea,10,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
05/31/2020,05/28/2020,River Nile,17,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
05/31/2020,05/28/2020,Sennar,108,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
05/31/2020,05/28/2020,South Darfur,35,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
05/31/2020,05/28/2020,South Kordofan,6,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
05/31/2020,05/28/2020,West Darfur,24,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
05/31/2020,05/28/2020,West Kordofan,11,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
05/31/2020,05/28/2020,White Nile,43,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2029%20May%202020.pdf
05/21/2020,05/20/2020,Abyei PCA,,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2021%20May%202020.pdf
05/21/2020,05/20/2020,Al Jazirah,170,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2021%20May%202020.pdf
05/21/2020,05/20/2020,Blue Nile,4,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2021%20May%202020.pdf
05/21/2020,05/20/2020,Central Darfur,2,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2021%20May%202020.pdf
05/21/2020,05/20/2020,East Darfur,9,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2021%20May%202020.pdf
05/21/2020,05/20/2020,Gedaref,94,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2021%20May%202020.pdf
05/21/2020,05/20/2020,Kassala,33,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2021%20May%202020.pdf
05/21/2020,05/20/2020,Khartoum,2553,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2021%20May%202020.pdf
05/21/2020,05/20/2020,North Darfur,16,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2021%20May%202020.pdf
05/21/2020,05/20/2020,North Kordofan,95,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2021%20May%202020.pdf
05/21/2020,05/20/2020,Northern,13,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2021%20May%202020.pdf
05/21/2020,05/20/2020,Red Sea,8,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2021%20May%202020.pdf
05/21/2020,05/20/2020,River Nile,16,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2021%20May%202020.pdf
05/21/2020,05/20/2020,Sennar,67,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2021%20May%202020.pdf
05/21/2020,05/20/2020,South Darfur,25,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2021%20May%202020.pdf
05/21/2020,05/20/2020,South Kordofan,3,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2021%20May%202020.pdf
05/21/2020,05/20/2020,West Darfur,14,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2021%20May%202020.pdf
05/21/2020,05/20/2020,West Kordofan,6,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2021%20May%202020.pdf
05/21/2020,05/20/2020,White Nile,10,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2021%20May%202020.pdf
05/14/2020,05/13/2020,Abyei PCA,,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2014%20May%202020.pdf
05/14/2020,05/13/2020,Al Jazirah,107,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2014%20May%202020.pdf
05/14/2020,05/13/2020,Blue Nile,1,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2014%20May%202020.pdf
05/14/2020,05/13/2020,Central Darfur,2,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2014%20May%202020.pdf
05/14/2020,05/13/2020,East Darfur,2,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2014%20May%202020.pdf
05/14/2020,05/13/2020,Gedaref,54,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2014%20May%202020.pdf
05/14/2020,05/13/2020,Kassala,6,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2014%20May%202020.pdf
05/14/2020,05/13/2020,Khartoum,1474,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2014%20May%202020.pdf
05/14/2020,05/13/2020,North Darfur,5,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2014%20May%202020.pdf
05/14/2020,05/13/2020,North Kordofan,67,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2014%20May%202020.pdf
05/14/2020,05/13/2020,Northern,7,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2014%20May%202020.pdf
05/14/2020,05/13/2020,Red Sea,3,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2014%20May%202020.pdf
05/14/2020,05/13/2020,River Nile,8,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2014%20May%202020.pdf
05/14/2020,05/13/2020,Sennar,49,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2014%20May%202020.pdf
05/14/2020,05/13/2020,South Darfur,19,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2014%20May%202020.pdf
05/14/2020,05/13/2020,South Kordofan,1,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2014%20May%202020.pdf
05/14/2020,05/13/2020,West Darfur,4,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2014%20May%202020.pdf
05/14/2020,05/13/2020,West Kordofan,5,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2014%20May%202020.pdf
05/14/2020,05/13/2020,White Nile,4,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2014%20May%202020.pdf
07/05/2020,05/10/2020,Abyei PCA,,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%207%20May%202020.pdf
07/05/2020,05/10/2020,Al Jazirah,55,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%207%20May%202020.pdf
07/05/2020,05/10/2020,Blue Nile,1,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%207%20May%202020.pdf
07/05/2020,05/10/2020,Central Darfur,1,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%207%20May%202020.pdf
07/05/2020,05/10/2020,East Darfur,2,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%207%20May%202020.pdf
07/05/2020,05/10/2020,Gedaref,32,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%207%20May%202020.pdf
07/05/2020,05/10/2020,Kassala,1,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%207%20May%202020.pdf
07/05/2020,05/10/2020,Khartoum,1149,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%207%20May%202020.pdf
07/05/2020,05/10/2020,North Darfur,5,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%207%20May%202020.pdf
07/05/2020,05/10/2020,North Kordofan,42,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%207%20May%202020.pdf
07/05/2020,05/10/2020,Northern,7,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%207%20May%202020.pdf
07/05/2020,05/10/2020,Red Sea,1,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%207%20May%202020.pdf
07/05/2020,05/10/2020,River Nile,8,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%207%20May%202020.pdf
07/05/2020,05/10/2020,Sennar,35,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%207%20May%202020.pdf
07/05/2020,05/10/2020,South Darfur,16,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%207%20May%202020.pdf
07/05/2020,05/10/2020,South Kordofan,1,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%207%20May%202020.pdf
07/05/2020,05/10/2020,West Darfur,2,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%207%20May%202020.pdf
07/05/2020,05/10/2020,West Kordofan,5,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%207%20May%202020.pdf
07/05/2020,05/10/2020,White Nile,2,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%207%20May%202020.pdf
04/30/2020,04/29/2020,Abyei PCA,,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2030%20Apr%202020.pdf
04/30/2020,04/29/2020,Al Jazirah,19,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2030%20Apr%202020.pdf
04/30/2020,04/29/2020,Blue Nile,,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2030%20Apr%202020.pdf
04/30/2020,04/29/2020,Central Darfur,1,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2030%20Apr%202020.pdf
04/30/2020,04/29/2020,East Darfur,1,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2030%20Apr%202020.pdf
04/30/2020,04/29/2020,Gedaref,3,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2030%20Apr%202020.pdf
04/30/2020,04/29/2020,Kassala,,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2030%20Apr%202020.pdf
04/30/2020,04/29/2020,Khartoum,344,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2030%20Apr%202020.pdf
04/30/2020,04/29/2020,North Darfur,,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2030%20Apr%202020.pdf
04/30/2020,04/29/2020,North Kordofan,,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2030%20Apr%202020.pdf
04/30/2020,04/29/2020,Northern,,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2030%20Apr%202020.pdf
04/30/2020,04/29/2020,Red Sea,1,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2030%20Apr%202020.pdf
04/30/2020,04/29/2020,River Nile,3,https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%2030%20Apr%202020.pdf
