,,26/2,27/2,28/2,29/2,1/3,2/3,3/3,4/3,5/3,6/3,7/3,8/3,9/3,10/3,11/3,12/3,13/3,14/3,15/3,16/3,17/3,18/3,19/3,20/3,21/3,22/3,23/3,24/3,25/3,26/3,27/3,28/3,29/3,30/3,31/3,1/4,2/4,3/4,4/4,5/4,6/4,7/4,8/4,9/4,10/4,11/4,12/4,13/4,14/4,15/4,16/4,17/4,18/4,19/4,20/4,21/4,22/4,23/4,24/4,25/4,26/4,27/4,28/4,29/4,30/4,1/5,2/5,3/5,4/5,5/5,6/5,7/5,8/5,9/5,10/5,11/5,12/5,13/5,14/5,15/5,16/5,17/5,18/5,19/5,20/5,21/5,22/5,23/5,24/5,25/5,26/5,27/5,28/5,29/5,30/5,31/5,1/6,2/6,3/6,4/6,5/6,6/6,7/6,8/6,9/6,10/6,11/6,12/6,13/6,14/6,15/6,16/6,17/6,18/6,19/6,20/6,21/6,22/6,23/6,24/6,25/6,26/6,27/6,28/6
Bahia,BA,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,27,3,8,8,14,13,8,20,11,13,26,22,37,33,21,15,50,69,30,25,41,62,45,31,38,50,36,48,144,108,134,37,111,148,155,145,173,119,128,145,186,106,205,234,230,180,239,306,261,227,290,356,384,250,396,343,408,1173,186,129,138,2432,184,744,616,443,899,305,362,504,893,954,709,766,506,2532,1021,1012,2956,977,854,465,1766,2204,1206,774,1123,613,1219,1586,1720,651,2345,1382,975,807,1998,2847,2360,2131,8822,3251
Ceará,CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,11,35,13,44,51,19,18,35,47,32,34,24,18,54,106,77,103,93,190,38,240,134,53,104,94,124,205,152,229,298,350,218,230,234,194,688,202,621,412,893,192,349,339,273,430,61,2670,430,834,1584,1068,923,813,907,813,744,1921,1413,1305,460,2108,1749,2448,853,3160,549,473,590,836,254,546,574,8111,1983,2015,2569,2983,3739,1800,1980,696,1334,2779,3018,2477,1826,724,319,2714,1827,3678,2306,2590,2293,710,1292,3370,2050,2548,2296,2206,940
Maranhão,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,2,3,1,2,7,8,23,17,10,7,8,37,39,58,43,20,51,54,47,33,152,65,102,243,165,115,76,208,153,194,154,118,187,118,276,386,316,299,235,187,303,498,361,520,856,834,545,382,586,689,938,853,900,746,960,916,944,1154,1555,2424,1595,1492,1867,1834,2503,2138,2019,658,1328,1549,2455,2684,2157,2123,1778,2698,1439,2172,1925,1254,991,742,2119,2024,1356,2409,1173,386,630,1332,1293,1611,1773,1417,397
Paraíba,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,4,5,0,1,2,3,1,8,3,2,1,1,5,14,24,6,16,10,25,15,14,30,10,31,9,18,38,44,41,61,52,44,90,66,115,112,108,135,50,142,132,164,374,125,185,184,252,268,316,378,324,284,439,514,538,400,644,626,315,193,903,1290,923,879,851,300,533,1164,1159,1561,1000,1208,523,641,1501,1580,1338,1186,898,559,655,1460,1584,48,3333,1428,263,469,1746,913,912,2008,1410,437
Pernambuco,PE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,12,2,0,7,5,0,4,2,8,12,5,5,9,8,11,30,40,25,22,129,49,154,129,132,144,194,130,200,199,323,187,266,231,218,390,221,480,508,391,460,366,470,682,458,811,498,220,462,556,943,763,883,805,493,541,592,687,621,2279,964,642,1148,1318,1351,1849,1026,973,607,488,1065,794,1542,1172,1023,450,608,955,1044,1004,850,881,463,305,925,1059,878,799,590,246,920,1019,1180,1094,1398,995,381,337,1191,1114,668,1285,1018
Piauí,PI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,2,1,0,2,3,2,2,0,1,2,1,1,0,5,3,7,2,1,3,6,8,17,16,11,21,22,13,28,20,11,39,41,34,33,44,46,59,87,65,77,42,91,74,102,80,102,45,54,111,169,172,121,180,167,35,153,197,215,222,184,132,160,170,246,277,260,242,186,188,387,322,236,653,388,373,143,306,432,464,514,488,328,204,524,678,540,468,1246,451,212,793,958,853,943,642,493
Rio Grande do Norte,RN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,4,0,1,5,9,17,23,9,5,10,13,71,36,30,4,8,7,0,2,26,13,37,37,23,1,63,53,15,64,13,38,62,46,27,44,7,25,229,91,120,69,26,29,115,38,165,82,98,9,61,44,334,170,249,218,133,47,299,313,264,191,348,98,62,713,158,0,833,939,649,-87,269,916,133,158,9,3,1436,139,541,1666,267,288,382,43,998,0,677,150,3167,84,667,118,1699,891,1066,522,203
Sergipe,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,4,0,0,5,1,0,0,0,0,0,3,1,3,2,2,5,0,4,0,3,3,0,2,0,1,1,2,5,18,12,3,6,25,7,20,9,6,38,83,57,110,70,84,129,42,126,100,216,224,150,183,29,232,236,226,374,267,208,223,401,310,457,188,209,183,134,287,177,244,306,343,194,234,322,434,211,377,395,318,437,399,489,441,478,1332,1102,1707,635,497,531,470,641,536,399,499,470,728,827,1411,1102
Nordeste,(NE),0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,0,1,0,23,5,55,44,34,63,77,46,36,67,82,85,96,70,85,132,173,219,243,238,287,250,408,417,286,354,364,470,497,618,677,961,1038,793,788,780,1101,1412,1284,1628,1238,1896,1238,1779,2074,1852,2242,1410,3576,2043,2590,3926,3567,3632,3344,2608,3008,3453,4800,5507,5993,3468,4593,7941,6345,5707,8410,5268,6081,4114,5627,6083,5986,8414,15110,8185,5046,9901,10187,11081,11472,8845,6659,6697,11380,11611,11847,8679,7762,6196,8293,10739,12435,8055,14132,13520,5359,5595,11046,12403,11852,12511,18372,8632
Espirito Santo,ES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,2,2,13,0,3,4,6,0,8,6,7,12,12,12,24,19,14,13,28,15,18,46,27,49,34,47,33,94,197,102,96,147,69,44,101,50,18,214,108,93,78,233,358,197,323,101,140,176,166,270,404,170,187,220,268,314,412,385,397,149,413,536,399,786,642,398,89,358,524,595,719,700,534,253,379,1082,970,773,1215,841,669,1040,1305,1380,885,1028,675,509,1140,1371,1489,1230,1471,1074,642,926,1043,1654,1765,1406,0,2031
Minas Gerais,MG,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,2,8,14,6,3,45,45,2,3,20,36,16,26,30,14,39,56,27,33,68,27,34,55,41,43,52,56,9,69,19,55,63,56,77,35,41,53,25,111,62,67,38,63,109,69,108,88,95,229,105,153,165,173,180,114,83,115,298,217,246,278,137,84,282,309,310,399,343,330,294,554,495,675,546,398,834,206,269,1071,1024,961,944,764,180,219,1399,947,1658,508,767,347,296,1323,1559,1146,1253,336,1277,979,1446,1426,6122,2075,1775
Rio de Janeiro,RJ,0,0,0,0,0,0,0,0,1,0,1,1,5,0,5,3,0,6,2,7,2,12,20,44,10,67,47,72,65,51,72,65,42,57,51,124,160,82,172,148,67,227,250,278,248,143,248,376,179,333,201,405,194,222,134,407,246,620,110,546,283,833,560,365,584,713,380,593,582,670,904,861,1585,1188,133,877,547,242,739,520,1614,637,4427,1140,2567,1717,1500,944,3379,1386,726,2374,2488,3067,4467,968,1142,2202,2508,1692,2134,1467,3223,1743,3480,1394,1402,2009,1052,736,1374,2397,3620,354,6061,2159,596,1439,3297,2624,2404,2600,306,2495
São Paulo,SP,0,0,0,1,0,0,0,1,3,4,3,3,0,3,11,12,14,9,71,16,12,76,46,110,63,172,114,65,52,190,171,183,45,66,822,642,525,542,418,154,246,816,1026,772,736,203,336,140,476,1672,525,1273,1053,373,313,805,529,826,1086,2178,711,981,2345,2117,2540,1676,800,598,415,1866,3800,2075,1902,2581,1033,687,1588,3378,3189,4092,2805,1162,721,2929,3864,3880,3132,3687,1603,1464,2392,3466,6382,5691,5586,2556,1598,6999,5188,5717,5365,5984,2524,1520,5545,6178,6204,5380,4975,5327,3258,8825,1232,1111,19030,4135,3392,2788,7502,9347,9765,9921,7073,6156
Sudeste,(SE),0,0,0,1,0,0,0,1,4,5,4,5,5,3,16,15,15,15,73,26,16,104,82,162,89,284,209,143,126,261,287,270,120,165,899,817,765,670,637,383,368,1092,1349,1137,1054,447,674,572,757,2118,978,1843,1399,819,551,1297,929,1521,1325,3000,1169,1945,3046,2824,3551,2694,1591,1387,1366,2817,5023,3371,4064,4119,1467,1867,2518,4232,4557,5243,5094,2085,5645,4887,7139,6693,5673,5372,5401,3502,4196,6930,10264,10004,10985,4611,3325,10552,9737,9206,9675,9236,7180,4483,10549,10351,9438,10075,7210,7339,6119,12889,7664,4254,27708,8621,4966,6430,12821,15071,15360,20049,9454,12457
Paraná,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,10,9,11,7,6,9,16,21,17,14,15,7,24,45,28,49,94,43,20,45,36,70,34,33,62,18,35,12,29,42,71,42,20,17,39,19,37,21,16,30,85,77,59,40,45,22,48,26,39,29,55,74,50,14,57,90,67,76,103,44,74,121,135,194,129,160,113,119,181,200,272,252,237,214,148,328,331,326,528,257,292,134,283,517,626,248,528,350,133,841,528,834,866,877,839,623,729,1110,858,851,1147,923
Rio Grande do Sul,RS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,4,9,9,9,23,12,14,12,25,45,27,2,29,15,33,32,28,62,14,8,63,27,47,63,18,4,13,11,36,47,33,22,29,23,35,15,19,71,67,35,70,62,58,82,98,63,90,47,45,104,235,79,318,46,49,34,341,0,80,600,98,40,0,15,1223,500,445,418,134,89,226,263,1186,0,1008,90,0,587,479,612,573,454,98,115,552,817,549,216,243,34,777,1033,657,694,765,551,210,362,1154,1145,1051,1054,886,243
Santa Catarina,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,3,10,1,30,6,11,39,2,13,27,35,10,3,22,16,12,34,53,23,22,38,40,44,192,39,36,9,49,27,31,42,36,13,50,38,28,24,55,39,26,102,139,519,90,19,242,0,173,104,294,165,123,167,57,100,204,95,504,230,116,98,399,238,86,111,848,149,89,179,141,356,628,530,248,259,461,162,374,498,314,439,280,0,627,402,359,212,131,64,600,442,613,558,749,786,474,355,1307,1677,1030,996,861,556
Sul,(S),0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,2,4,2,1,4,19,29,19,64,25,31,60,43,79,71,51,54,25,79,93,68,145,161,74,105,110,123,177,244,76,111,38,120,86,93,106,136,78,105,70,86,114,159,95,112,194,282,678,247,122,377,69,266,234,568,273,496,287,156,148,602,185,651,906,317,182,473,374,1444,805,1422,727,336,387,548,819,2086,782,1493,563,609,1077,1184,1436,1415,1150,670,249,1462,1736,1534,676,902,448,1510,2316,1798,2086,2380,2214,1523,1340,3190,3932,2939,2901,2894,1722
Distrito Federal,DF,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,2,5,9,4,16,45,13,17,16,27,0,40,30,30,29,23,20,23,15,32,52,14,5,19,17,18,28,24,35,24,13,31,34,30,16,65,45,9,65,17,26,24,53,80,67,62,81,110,100,83,119,50,88,352,184,134,106,101,196,213,224,371,353,228,251,234,308,381,406,303,387,292,280,551,539,422,752,306,730,746,764,903,1285,1642,773,6,1461,1343,1074,889,563,912,813,1696,1760,1381,2381,1336,989,921,1220,1886,1617,2455,1440,2139
Goiás,GO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,2,4,3,5,1,2,4,2,10,10,7,2,3,4,6,2,15,15,12,4,14,25,21,12,18,20,4,51,20,14,17,43,15,10,18,17,15,33,20,67,43,45,44,76,27,17,25,11,61,102,3,26,16,24,7,15,19,289,149,68,52,57,97,132,136,190,73,66,69,159,172,247,229,266,117,204,471,193,374,429,296,144,311,397,638,498,189,94,4,2238,1082,972,1068,723,853,739,917,1032,1054,925,1316,757,364
Mato Grosso,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,1,3,0,2,3,2,7,2,9,8,12,4,16,2,12,18,4,9,2,11,4,13,5,6,9,3,7,0,2,38,19,7,3,7,4,31,5,23,11,6,7,21,14,38,40,45,17,22,50,70,58,60,72,50,36,58,59,118,48,132,110,38,128,211,112,152,258,68,112,168,139,346,287,181,216,222,239,263,490,271,161,337,324,203,736,388,841,609,508,551,638,784,714,869,779,882
Mato Grosso do Sul,MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,2,7,5,0,2,1,1,3,3,5,8,4,3,2,7,2,3,1,14,5,4,8,3,1,12,2,6,10,12,18,7,3,2,2,11,27,4,17,4,2,9,6,6,5,6,2,9,5,23,15,20,16,23,20,25,22,27,29,62,43,29,51,53,59,53,66,99,77,86,76,94,62,71,79,78,156,123,72,135,121,71,131,142,256,148,234,198,118,234,379,110,392,324,247,154,393,417,322,390,394,220
Centro-Oeste,(CO),0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,4,2,7,14,9,20,51,26,23,18,38,4,54,43,42,39,36,35,34,28,62,81,33,26,49,59,61,52,54,58,51,70,70,63,65,86,90,65,29,86,81,105,55,140,134,118,146,168,166,133,120,139,141,209,416,265,215,163,153,281,327,593,607,522,392,387,418,550,688,703,561,629,498,644,1020,974,897,1338,562,1125,1463,1252,1746,2073,2254,1254,610,2228,2386,2318,1497,1052,1451,3493,3215,3847,2947,4337,3122,2483,2543,3283,4141,3578,5030,3370,3605
