Amazonas,Anzoátegui,Apure,Aragua,Barinas,Bolívar,Carabobo,Cojedes,Delta Amacuro,Distrito Capital,Falcón,Guárico,La Guaira,Lara,Los Roques,Mérida,Miranda,Monagas,Nueva Esparta,Portuguesa,Sucre,Táchira,Trujillo,Yaracuy,Zulia,date
0,3,2,31,7,3,0,1,0,33,2,2,14,5,5,2,87,1,100,4,2,19,7,1,4,2020-05-02
0,3,2,31,7,3,0,1,0,33,2,2,14,5,5,2,88,1,108,4,2,20,7,1,4,2020-05-03
0,3,2,34,7,3,0,1,0,33,3,2,16,5,5,2,89,1,111,4,2,20,7,1,6,2020-05-04
0,4,3,34,7,3,0,1,0,33,3,2,15,5,5,2,89,1,112,4,2,22,7,1,6,2020-05-05
0,4,3,34,7,5,0,1,0,33,3,2,15,5,5,2,89,1,116,4,2,22,7,1,6,2020-05-06
0,4,3,34,7,9,0,1,0,33,4,2,15,5,5,2,89,1,122,5,2,22,7,1,6,2020-05-07
0,4,3,34,7,11,0,1,0,33,4,2,15,5,5,2,89,1,122,5,2,22,7,1,6,2020-05-08
0,4,3,34,7,12,0,1,0,33,5,2,15,5,5,2,90,1,125,5,2,23,7,1,6,2020-05-09
0,4,3,34,7,12,0,1,0,33,5,2,15,5,5,2,90,1,125,5,2,23,7,1,6,2020-05-09
0,4,6,36,7,12,0,1,0,34,5,2,15,5,5,2,96,1,127,5,2,23,7,1,6,2020-05-10
4,4,6,36,7,13,0,1,0,34,6,2,15,5,5,2,97,1,129,5,2,26,7,1,6,2020-05-11
4,4,6,39,7,13,0,1,0,34,7,2,17,5,5,2,98,1,130,5,2,26,7,1,6,2020-05-12
4,4,6,40,7,13,0,1,0,34,7,2,17,5,5,2,98,1,130,5,2,26,7,1,6,2020-05-13
4,4,6,47,7,13,0,1,1,34,7,2,18,9,5,2,98,1,130,5,5,26,8,1,6,2020-05-14
7,4,6,47,7,16,0,1,1,34,7,2,26,9,5,2,98,1,130,5,5,27,8,1,6,2020-05-15
7,4,6,47,8,16,1,1,1,33,7,2,28,9,4,1,102,1,130,5,5,25,8,2,6,2020-05-16
8,5,6,47,11,16,1,1,1,63,7,2,28,9,4,1,102,1,140,5,5,25,8,2,6,2020-05-17
8,5,10,47,11,16,1,1,1,96,7,2,28,9,4,1,102,1,140,5,5,25,8,2,6,2020-05-18
9,5,10,48,11,24,1,1,1,109,7,3,36,18,4,1,124,1,144,5,5,33,8,2,8,2020-05-19
9,5,20,49,12,47,1,1,1,109,10,3,36,29,4,4,125,2,144,5,6,108,8,2,9,2020-05-20
13,5,55,51,12,52,1,1,1,109,10,3,36,30,4,4,130,2,144,5,8,129,8,2,9,2020-05-21
13,5,55,51,20,78,1,3,1,114,13,3,36,30,4,5,141,2,144,5,9,130,8,2,9,2020-05-22
14,5,72,51,20,84,1,3,6,119,15,3,37,37,4,6,142,2,144,5,9,146,8,2,9,2020-05-23
14,5,73,51,20,113,1,3,6,120,15,3,59,37,4,6,146,2,144,5,9,151,8,6,9,2020-05-24
14,5,142,51,20,114,1,3,6,131,16,3,59,37,4,11,153,2,146,5,9,153,8,6,22,2020-05-25
14,8,157,61,22,124,6,4,6,135,15,6,64,39,4,17,177,3,146,12,13,89,8,8,39,2020-05-26
14,8,157,62,22,146,6,4,6,135,15,6,64,39,4,17,178,3,146,12,13,99,8,8,39,2020-05-27
14,8,183,62,22,146,6,4,6,135,21,6,64,39,4,18,179,3,146,12,13,99,8,8,39,2020-05-28
14,8,254,62,22,146,6,4,6,135,21,6,66,39,4,18,179,3,146,12,13,108,8,8,39,2020-05-29
14,8,255,72,22,146,6,4,6,136,21,6,66,39,4,18,181,5,146,12,14,111,8,8,61,2020-05-30
14,9,256,74,22,169,6,4,6,138,21,6,66,39,4,18,186,5,148,12,14,119,8,8,107,2020-05-31
14,9,259,78,22,188,6,6,10,150,21,6,66,40,4,19,191,5,148,12,14,119,8,8,107,2020-06-01
14,9,348,80,22,202,7,6,10,154,21,6,66,41,4,21,223,5,148,14,15,122,8,8,108,2020-06-02
14,10,452,80,22,203,7,6,10,156,21,6,67,42,4,21,263,5,149,14,15,128,8,8,108,2020-06-03
14,10,472,102,23,219,7,6,10,159,28,6,79,42,4,21,264,5,150,14,19,136,17,8,137,2020-06-04
14,10,475,102,23,298,7,6,10,167,34,6,79,42,4,21,299,5,150,14,19,137,18,9,138,2020-06-05
14,10,492,103,23,300,7,6,10,168,34,6,80,42,4,26,305,5,150,14,19,162,18,9,138,2020-06-06
14,20,493,103,23,300,7,6,10,178,34,6,80,42,4,26,310,5,150,14,19,261,19,9,183,2020-06-07
14,20,495,103,23,300,7,6,10,178,34,6,80,42,4,26,310,5,150,14,19,320,19,9,183,2020-06-08
14,20,556,103,23,300,7,6,10,178,34,6,80,42,4,26,310,5,150,14,19,355,19,9,183,2020-06-09
14,20,682,106,23,300,7,6,10,178,34,6,81,42,4,26,310,5,150,14,19,384,19,9,183,2020-06-10
14,20,757,106,23,300,7,7,10,181,34,6,82,42,4,27,311,5,151,14,21,398,19,9,190,2020-06-11
14,20,757,106,23,333,7,7,10,182,34,6,82,42,4,27,311,5,151,14,21,402,19,9,228,2020-06-12
14,20,775,106,23,362,7,7,10,186,34,6,82,42,4,27,313,5,151,14,21,412,21,9,228,2020-06-13
15,20,775,106,23,362,7,7,10,187,35,6,82,46,4,29,314,5,151,15,21,426,21,9,228,2020-06-14
15,20,812,107,23,381,7,7,10,190,35,6,82,46,4,29,315,5,151,15,21,438,22,9,228,2020-06-15
15,20,825,109,29,418,7,7,10,191,35,6,82,46,4,29,317,5,151,15,21,445,23,9,243,2020-06-16
15,20,842,110,29,427,7,7,10,192,36,6,90,48,4,29,317,5,152,15,21,445,23,9,291,2020-06-17
15,20,842,146,29,449,9,7,10,199,37,6,99,48,4,29,324,5,152,15,23,448,26,9,435,2020-06-18
16,21,856,149,29,463,16,7,10,212,46,6,99,49,4,31,329,5,152,15,23,448,26,9,463,2020-06-19
16,21,891,150,29,481,19,7,10,216,46,6,99,63,4,32,331,5,152,15,23,465,26,9,475,2020-06-20
16,21,944,150,29,484,19,7,10,226,46,6,99,63,4,32,351,15,154,16,26,473,32,9,558,2020-06-21
16,21,944,150,29,489,19,7,10,235,48,6,99,64,4,32,352,15,160,16,26,473,32,9,578,2020-06-22
16,21,977,152,29,533,27,9,10,240,48,6,100,74,4,32,360,15,170,19,37,521,49,9,590,2020-06-23
16,22,977,166,71,533,27,9,10,249,48,6,117,88,4,57,368,19,170,19,37,521,51,11,590,2020-06-24
16,22,1062,185,87,533,27,9,10,254,48,6,118,88,4,57,384,19,170,20,37,557,51,11,590,2020-06-25
16,24,1077,193,87,539,33,9,10,258,53,6,118,103,4,59,403,19,170,20,42,574,59,13,674,2020-06-26
16,24,1081,210,87,591,36,9,10,308,53,6,119,119,4,62,404,19,170,20,60,574,60,13,724,2020-06-27
