dep,jour,p,t,cl_age90
12,2020-05-13,2,77,0
12,2020-05-13,0,7,09
12,2020-05-13,0,2,19
12,2020-05-13,0,3,29
12,2020-05-13,0,4,39
12,2020-05-13,0,12,49
12,2020-05-13,0,12,59
12,2020-05-13,0,13,69
12,2020-05-13,0,7,79
12,2020-05-13,0,10,89
12,2020-05-13,2,7,90
13,2020-05-13,63,3183,0
13,2020-05-13,1,56,09
13,2020-05-13,1,108,19
13,2020-05-13,5,367,29
13,2020-05-13,7,430,39
13,2020-05-13,2,484,49
13,2020-05-13,8,591,59
13,2020-05-13,2,382,69
13,2020-05-13,12,238,79
13,2020-05-13,14,299,89
13,2020-05-13,10,218,90
14,2020-05-13,3,468,0
14,2020-05-13,0,24,09
14,2020-05-13,2,23,19
14,2020-05-13,0,58,29
14,2020-05-13,0,78,39
14,2020-05-13,0,69,49
14,2020-05-13,0,48,59
14,2020-05-13,0,51,69
14,2020-05-13,0,45,79
14,2020-05-13,0,40,89
14,2020-05-13,1,18,90
15,2020-05-13,0,46,0
15,2020-05-13,0,3,09
15,2020-05-13,0,4,19
15,2020-05-13,0,5,29
15,2020-05-13,0,7,39
15,2020-05-13,0,4,49
15,2020-05-13,0,8,59
15,2020-05-13,0,5,69
15,2020-05-13,0,5,79
15,2020-05-13,0,5,89
15,2020-05-13,0,0,90
16,2020-05-13,1,147,0
16,2020-05-13,0,1,09
16,2020-05-13,0,3,19
16,2020-05-13,0,1,29
16,2020-05-13,0,6,39
16,2020-05-13,0,10,49
16,2020-05-13,0,4,59
16,2020-05-13,0,8,69
16,2020-05-13,0,8,79
16,2020-05-13,0,52,89
16,2020-05-13,1,54,90
17,2020-05-13,1,139,0
17,2020-05-13,0,6,09
17,2020-05-13,0,8,19
17,2020-05-13,0,16,29
17,2020-05-13,0,13,39
17,2020-05-13,1,25,49
17,2020-05-13,0,24,59
17,2020-05-13,0,18,69
17,2020-05-13,0,16,79
17,2020-05-13,0,8,89
17,2020-05-13,0,4,90
18,2020-05-13,2,100,0
18,2020-05-13,0,6,09
18,2020-05-13,0,1,19
18,2020-05-13,0,7,29
18,2020-05-13,0,18,39
18,2020-05-13,0,16,49
18,2020-05-13,1,18,59
18,2020-05-13,0,6,69
18,2020-05-13,0,13,79
18,2020-05-13,1,8,89
18,2020-05-13,0,7,90
19,2020-05-13,3,174,0
19,2020-05-13,0,3,09
19,2020-05-13,0,13,19
19,2020-05-13,1,33,29
19,2020-05-13,1,21,39
19,2020-05-13,1,28,49
19,2020-05-13,0,27,59
19,2020-05-13,0,9,69
19,2020-05-13,0,11,79
19,2020-05-13,0,21,89
19,2020-05-13,0,8,90
21,2020-05-13,4,307,0
21,2020-05-13,0,12,09
21,2020-05-13,0,8,19
21,2020-05-13,0,24,29
21,2020-05-13,0,34,39
21,2020-05-13,1,36,49
21,2020-05-13,0,54,59
21,2020-05-13,0,43,69
21,2020-05-13,2,32,79
21,2020-05-13,0,44,89
21,2020-05-13,1,17,90
22,2020-05-13,3,276,0
22,2020-05-13,0,13,09
22,2020-05-13,0,16,19
22,2020-05-13,0,39,29
22,2020-05-13,0,26,39
22,2020-05-13,1,42,49
22,2020-05-13,1,39,59
22,2020-05-13,0,26,69
22,2020-05-13,0,22,79
22,2020-05-13,1,32,89
22,2020-05-13,0,20,90
23,2020-05-13,1,147,0
23,2020-05-13,0,0,09
23,2020-05-13,0,5,19
23,2020-05-13,0,19,29
23,2020-05-13,0,22,39
23,2020-05-13,0,23,49
23,2020-05-13,1,21,59
23,2020-05-13,0,7,69
23,2020-05-13,0,5,79
23,2020-05-13,0,27,89
23,2020-05-13,0,18,90
24,2020-05-13,1,106,0
24,2020-05-13,0,3,09
24,2020-05-13,0,9,19
24,2020-05-13,0,14,29
24,2020-05-13,1,7,39
24,2020-05-13,0,13,49
24,2020-05-13,0,24,59
24,2020-05-13,0,19,69
24,2020-05-13,0,9,79
24,2020-05-13,0,4,89
24,2020-05-13,0,4,90
25,2020-05-13,6,292,0
25,2020-05-13,0,20,09
25,2020-05-13,1,15,19
25,2020-05-13,0,43,29
25,2020-05-13,0,47,39
25,2020-05-13,0,46,49
25,2020-05-13,0,35,59
25,2020-05-13,0,27,69
25,2020-05-13,2,25,79
25,2020-05-13,2,22,89
25,2020-05-13,1,10,90
26,2020-05-13,2,153,0
26,2020-05-13,0,5,09
26,2020-05-13,0,10,19
26,2020-05-13,0,16,29
26,2020-05-13,0,27,39
26,2020-05-13,0,18,49
26,2020-05-13,1,30,59
26,2020-05-13,0,23,69
26,2020-05-13,0,10,79
26,2020-05-13,0,6,89
26,2020-05-13,1,8,90
27,2020-05-13,8,151,0
27,2020-05-13,0,5,09
27,2020-05-13,0,8,19
27,2020-05-13,0,15,29
27,2020-05-13,0,23,39
27,2020-05-13,0,27,49
27,2020-05-13,2,24,59
27,2020-05-13,0,16,69
27,2020-05-13,1,10,79
27,2020-05-13,1,11,89
27,2020-05-13,4,11,90
28,2020-05-13,4,240,0
28,2020-05-13,0,13,09
28,2020-05-13,1,11,19
28,2020-05-13,0,36,29
28,2020-05-13,0,30,39
28,2020-05-13,0,44,49
28,2020-05-13,2,39,59
28,2020-05-13,0,20,69
28,2020-05-13,1,15,79
28,2020-05-13,0,22,89
28,2020-05-13,0,10,90
29,2020-05-13,2,208,0
29,2020-05-13,0,9,09
29,2020-05-13,1,12,19
29,2020-05-13,0,25,29
29,2020-05-13,0,32,39
29,2020-05-13,0,27,49
29,2020-05-13,0,23,59
29,2020-05-13,1,24,69
29,2020-05-13,0,28,79
29,2020-05-13,0,17,89
29,2020-05-13,0,11,90
2A,2020-05-13,4,172,0
2A,2020-05-13,0,2,09
2A,2020-05-13,0,2,19
2A,2020-05-13,1,24,29
2A,2020-05-13,3,47,39
2A,2020-05-13,0,27,49
2A,2020-05-13,0,26,59
2A,2020-05-13,0,20,69
2A,2020-05-13,0,16,79
2A,2020-05-13,0,6,89
2A,2020-05-13,0,1,90
2B,2020-05-13,2,191,0
2B,2020-05-13,0,3,09
2B,2020-05-13,0,9,19
2B,2020-05-13,0,32,29
2B,2020-05-13,1,50,39
2B,2020-05-13,0,29,49
2B,2020-05-13,0,34,59
2B,2020-05-13,1,20,69
2B,2020-05-13,0,8,79
2B,2020-05-13,0,4,89
2B,2020-05-13,0,1,90
30,2020-05-13,0,351,0
30,2020-05-13,0,17,09
30,2020-05-13,0,24,19
30,2020-05-13,0,29,29
30,2020-05-13,0,45,39
30,2020-05-13,0,60,49
30,2020-05-13,0,53,59
30,2020-05-13,0,46,69
30,2020-05-13,0,42,79
30,2020-05-13,0,25,89
30,2020-05-13,0,10,90
31,2020-05-13,19,1047,0
31,2020-05-13,0,30,09
31,2020-05-13,0,45,19
31,2020-05-13,7,132,29
31,2020-05-13,4,161,39
31,2020-05-13,1,139,49
31,2020-05-13,3,145,59
31,2020-05-13,0,80,69
31,2020-05-13,0,81,79
31,2020-05-13,2,122,89
31,2020-05-13,1,110,90
32,2020-05-13,2,138,0
32,2020-05-13,0,4,09
32,2020-05-13,0,4,19
32,2020-05-13,0,12,29
32,2020-05-13,0,18,39
32,2020-05-13,0,14,49
32,2020-05-13,0,12,59
32,2020-05-13,0,9,69
32,2020-05-13,0,13,79
32,2020-05-13,0,23,89
32,2020-05-13,2,29,90
33,2020-05-13,4,789,0
33,2020-05-13,0,44,09
33,2020-05-13,1,41,19
33,2020-05-13,1,101,29
33,2020-05-13,0,129,39
33,2020-05-13,0,127,49
33,2020-05-13,1,101,59
33,2020-05-13,0,68,69
33,2020-05-13,0,61,79
33,2020-05-13,1,61,89
33,2020-05-13,0,52,90
34,2020-05-13,11,1062,0
34,2020-05-13,0,34,09
34,2020-05-13,0,48,19
34,2020-05-13,2,117,29
34,2020-05-13,0,149,39
34,2020-05-13,2,158,49
34,2020-05-13,2,157,59
34,2020-05-13,1,145,69
34,2020-05-13,0,125,79
34,2020-05-13,2,91,89
34,2020-05-13,2,38,90
35,2020-05-13,5,348,0
35,2020-05-13,2,30,09
35,2020-05-13,0,19,19
35,2020-05-13,0,55,29
35,2020-05-13,2,69,39
35,2020-05-13,0,56,49
35,2020-05-13,1,48,59
35,2020-05-13,0,25,69
35,2020-05-13,0,22,79
35,2020-05-13,0,11,89
35,2020-05-13,0,12,90
36,2020-05-13,1,53,0
36,2020-05-13,0,0,09
36,2020-05-13,0,2,19
36,2020-05-13,0,3,29
36,2020-05-13,0,7,39
36,2020-05-13,0,7,49
36,2020-05-13,0,11,59
36,2020-05-13,1,5,69
36,2020-05-13,0,3,79
36,2020-05-13,0,2,89
36,2020-05-13,0,0,90
37,2020-05-13,7,344,0
37,2020-05-13,0,10,09
37,2020-05-13,0,14,19
37,2020-05-13,2,67,29
37,2020-05-13,2,57,39
37,2020-05-13,0,44,49
37,2020-05-13,0,45,59
37,2020-05-13,1,35,69
37,2020-05-13,0,32,79
37,2020-05-13,1,21,89
37,2020-05-13,1,19,90
38,2020-05-13,5,528,0
38,2020-05-13,0,14,09
38,2020-05-13,0,41,19
38,2020-05-13,2,60,29
38,2020-05-13,1,76,39
38,2020-05-13,1,88,49
38,2020-05-13,1,70,59
38,2020-05-13,0,75,69
38,2020-05-13,0,53,79
38,2020-05-13,0,38,89
38,2020-05-13,0,13,90
39,2020-05-13,0,144,0
39,2020-05-13,0,5,09
39,2020-05-13,0,6,19
39,2020-05-13,0,17,29
39,2020-05-13,0,24,39
39,2020-05-13,0,20,49
39,2020-05-13,0,19,59
39,2020-05-13,0,18,69
39,2020-05-13,0,8,79
39,2020-05-13,0,16,89
39,2020-05-13,0,10,90
40,2020-05-13,0,109,0
40,2020-05-13,0,8,09
40,2020-05-13,0,5,19
40,2020-05-13,0,12,29
40,2020-05-13,0,13,39
40,2020-05-13,0,19,49
40,2020-05-13,0,13,59
40,2020-05-13,0,12,69
40,2020-05-13,0,12,79
40,2020-05-13,0,9,89
40,2020-05-13,0,6,90
41,2020-05-13,2,147,0
41,2020-05-13,0,2,09
41,2020-05-13,0,4,19
41,2020-05-13,0,20,29
41,2020-05-13,0,24,39
41,2020-05-13,1,30,49
41,2020-05-13,0,31,59
41,2020-05-13,0,12,69
41,2020-05-13,1,13,79
41,2020-05-13,0,9,89
41,2020-05-13,0,2,90
42,2020-05-13,4,306,0
42,2020-05-13,0,7,09
42,2020-05-13,1,17,19
42,2020-05-13,0,16,29
42,2020-05-13,0,39,39
42,2020-05-13,0,23,49
42,2020-05-13,0,30,59
42,2020-05-13,0,33,69
42,2020-05-13,0,37,79
42,2020-05-13,1,57,89
42,2020-05-13,2,47,90
43,2020-05-13,0,35,0
43,2020-05-13,0,1,09
43,2020-05-13,0,0,19
43,2020-05-13,0,4,29
43,2020-05-13,0,0,39
43,2020-05-13,0,6,49
43,2020-05-13,0,7,59
43,2020-05-13,0,5,69
43,2020-05-13,0,3,79
43,2020-05-13,0,4,89
43,2020-05-13,0,0,90
44,2020-05-13,5,542,0
44,2020-05-13,0,29,09
44,2020-05-13,0,34,19
44,2020-05-13,0,75,29
44,2020-05-13,0,103,39
44,2020-05-13,2,103,49
44,2020-05-13,0,66,59
44,2020-05-13,0,29,69
44,2020-05-13,0,33,79
44,2020-05-13,3,40,89
44,2020-05-13,0,19,90
45,2020-05-13,14,440,0
45,2020-05-13,0,9,09
45,2020-05-13,0,17,19
45,2020-05-13,3,56,29
45,2020-05-13,3,62,39
45,2020-05-13,2,57,49
45,2020-05-13,1,70,59
45,2020-05-13,1,64,69
45,2020-05-13,1,40,79
45,2020-05-13,1,41,89
45,2020-05-13,2,23,90
46,2020-05-13,1,71,0
46,2020-05-13,0,2,09
46,2020-05-13,0,5,19
46,2020-05-13,0,8,29
46,2020-05-13,1,9,39
46,2020-05-13,0,9,49
46,2020-05-13,0,10,59
46,2020-05-13,0,8,69
46,2020-05-13,0,5,79
46,2020-05-13,0,10,89
46,2020-05-13,0,5,90
47,2020-05-13,0,109,0
47,2020-05-13,0,3,09
47,2020-05-13,0,9,19
47,2020-05-13,0,5,29
47,2020-05-13,0,13,39
47,2020-05-13,0,16,49
47,2020-05-13,0,17,59
47,2020-05-13,0,17,69
47,2020-05-13,0,11,79
47,2020-05-13,0,7,89
47,2020-05-13,0,10,90
48,2020-05-13,0,53,0
48,2020-05-13,0,4,09
48,2020-05-13,0,5,19
48,2020-05-13,0,3,29
48,2020-05-13,0,8,39
48,2020-05-13,0,6,49
48,2020-05-13,0,5,59
48,2020-05-13,0,5,69
48,2020-05-13,0,3,79
48,2020-05-13,0,8,89
48,2020-05-13,0,6,90
49,2020-05-13,6,358,0
49,2020-05-13,0,24,09
49,2020-05-13,0,27,19
49,2020-05-13,2,46,29
49,2020-05-13,0,47,39
49,2020-05-13,0,48,49
49,2020-05-13,0,40,59
49,2020-05-13,0,30,69
49,2020-05-13,1,29,79
49,2020-05-13,1,35,89
49,2020-05-13,2,32,90
50,2020-05-13,5,155,0
50,2020-05-13,0,8,09
50,2020-05-13,0,16,19
50,2020-05-13,2,20,29
50,2020-05-13,1,13,39
50,2020-05-13,0,25,49
50,2020-05-13,1,20,59
50,2020-05-13,0,18,69
50,2020-05-13,0,17,79
50,2020-05-13,0,12,89
50,2020-05-13,0,5,90
51,2020-05-13,14,398,0
51,2020-05-13,0,4,09
51,2020-05-13,0,8,19
51,2020-05-13,2,50,29
51,2020-05-13,1,45,39
51,2020-05-13,1,51,49
51,2020-05-13,2,57,59
51,2020-05-13,3,33,69
51,2020-05-13,1,48,79
51,2020-05-13,2,56,89
51,2020-05-13,2,46,90
52,2020-05-13,2,71,0
52,2020-05-13,0,1,09
52,2020-05-13,0,4,19
52,2020-05-13,1,10,29
52,2020-05-13,0,11,39
52,2020-05-13,0,10,49
52,2020-05-13,0,14,59
52,2020-05-13,1,12,69
52,2020-05-13,0,7,79
52,2020-05-13,0,2,89
52,2020-05-13,0,0,90
53,2020-05-13,2,126,0
53,2020-05-13,0,4,09
53,2020-05-13,0,8,19
53,2020-05-13,0,12,29
53,2020-05-13,0,22,39
53,2020-05-13,0,19,49
53,2020-05-13,0,18,59
53,2020-05-13,1,13,69
53,2020-05-13,1,11,79
53,2020-05-13,0,10,89
53,2020-05-13,0,8,90
54,2020-05-13,23,734,0
54,2020-05-13,1,18,09
54,2020-05-13,3,24,19
54,2020-05-13,6,86,29
54,2020-05-13,5,95,39
54,2020-05-13,1,98,49
54,2020-05-13,2,109,59
54,2020-05-13,2,92,69
54,2020-05-13,1,88,79
54,2020-05-13,1,91,89
54,2020-05-13,1,33,90
55,2020-05-13,15,159,0
55,2020-05-13,0,4,09
55,2020-05-13,0,5,19
55,2020-05-13,1,21,29
55,2020-05-13,4,30,39
55,2020-05-13,1,25,49
55,2020-05-13,3,30,59
55,2020-05-13,3,17,69
55,2020-05-13,2,19,79
55,2020-05-13,0,4,89
55,2020-05-13,1,4,90
56,2020-05-13,0,166,0
56,2020-05-13,0,10,09
56,2020-05-13,0,13,19
56,2020-05-13,0,19,29
56,2020-05-13,0,20,39
56,2020-05-13,0,22,49
56,2020-05-13,0,22,59
56,2020-05-13,0,17,69
56,2020-05-13,0,15,79
56,2020-05-13,0,12,89
56,2020-05-13,0,10,90
57,2020-05-13,36,809,0
57,2020-05-13,1,16,09
57,2020-05-13,3,19,19
57,2020-05-13,2,75,29
57,2020-05-13,5,83,39
57,2020-05-13,2,97,49
57,2020-05-13,5,105,59
57,2020-05-13,2,86,69
57,2020-05-13,3,59,79
57,2020-05-13,11,153,89
57,2020-05-13,2,116,90
58,2020-05-13,0,173,0
58,2020-05-13,0,1,09
58,2020-05-13,0,1,19
58,2020-05-13,0,22,29
58,2020-05-13,0,20,39
58,2020-05-13,0,32,49
58,2020-05-13,0,51,59
58,2020-05-13,0,19,69
58,2020-05-13,0,9,79
58,2020-05-13,0,11,89
58,2020-05-13,0,7,90
59,2020-05-13,35,1212,0
59,2020-05-13,0,44,09
59,2020-05-13,1,72,19
59,2020-05-13,3,160,29
59,2020-05-13,4,183,39
59,2020-05-13,3,198,49
59,2020-05-13,1,168,59
59,2020-05-13,9,134,69
59,2020-05-13,4,98,79
59,2020-05-13,6,91,89
59,2020-05-13,4,62,90
60,2020-05-13,4,139,0
60,2020-05-13,0,5,09
60,2020-05-13,0,4,19
60,2020-05-13,0,10,29
60,2020-05-13,1,15,39
60,2020-05-13,0,18,49
60,2020-05-13,0,27,59
60,2020-05-13,2,21,69
60,2020-05-13,1,16,79
60,2020-05-13,0,14,89
60,2020-05-13,0,8,90
61,2020-05-13,6,165,0
61,2020-05-13,0,4,09
61,2020-05-13,1,8,19
61,2020-05-13,1,20,29
61,2020-05-13,1,30,39
61,2020-05-13,1,27,49
61,2020-05-13,1,28,59
61,2020-05-13,0,15,69
61,2020-05-13,1,17,79
61,2020-05-13,0,6,89
61,2020-05-13,0,8,90
62,2020-05-13,13,529,0
62,2020-05-13,0,13,09
62,2020-05-13,0,21,19
62,2020-05-13,0,56,29
62,2020-05-13,5,90,39
62,2020-05-13,0,81,49
62,2020-05-13,2,76,59
62,2020-05-13,2,73,69
62,2020-05-13,1,38,79
62,2020-05-13,1,48,89
62,2020-05-13,0,22,90
63,2020-05-13,3,376,0
63,2020-05-13,0,16,09
63,2020-05-13,0,22,19
63,2020-05-13,0,34,29
63,2020-05-13,0,51,39
63,2020-05-13,0,51,49
63,2020-05-13,1,50,59
63,2020-05-13,1,39,69
63,2020-05-13,0,33,79
63,2020-05-13,1,47,89
63,2020-05-13,0,33,90
64,2020-05-13,2,386,0
64,2020-05-13,0,35,09
64,2020-05-13,0,27,19
64,2020-05-13,1,47,29
64,2020-05-13,1,54,39
64,2020-05-13,0,60,49
64,2020-05-13,0,56,59
64,2020-05-13,0,37,69
64,2020-05-13,0,33,79
64,2020-05-13,0,23,89
64,2020-05-13,0,14,90
65,2020-05-13,2,135,0
65,2020-05-13,0,2,09
65,2020-05-13,0,10,19
65,2020-05-13,0,16,29
65,2020-05-13,0,20,39
65,2020-05-13,1,15,49
65,2020-05-13,0,23,59
65,2020-05-13,0,20,69
65,2020-05-13,1,14,79
65,2020-05-13,0,11,89
65,2020-05-13,0,4,90
66,2020-05-13,0,226,0
66,2020-05-13,0,8,09
66,2020-05-13,0,13,19
66,2020-05-13,0,22,29
66,2020-05-13,0,26,39
66,2020-05-13,0,39,49
66,2020-05-13,0,50,59
66,2020-05-13,0,23,69
66,2020-05-13,0,20,79
66,2020-05-13,0,19,89
66,2020-05-13,0,4,90
67,2020-05-13,30,958,0
67,2020-05-13,2,34,09
67,2020-05-13,0,38,19
67,2020-05-13,1,108,29
67,2020-05-13,2,115,39
67,2020-05-13,2,140,49
67,2020-05-13,8,133,59
67,2020-05-13,2,141,69
67,2020-05-13,2,91,79
67,2020-05-13,5,94,89
67,2020-05-13,6,57,90
68,2020-05-13,14,577,0
68,2020-05-13,0,15,09
68,2020-05-13,0,26,19
68,2020-05-13,1,72,29
68,2020-05-13,1,82,39
68,2020-05-13,3,72,49
68,2020-05-13,2,87,59
68,2020-05-13,2,88,69
68,2020-05-13,1,61,79
68,2020-05-13,4,53,89
68,2020-05-13,0,11,90
69,2020-05-13,20,1468,0
69,2020-05-13,0,59,09
69,2020-05-13,0,69,19
69,2020-05-13,2,221,29
69,2020-05-13,0,208,39
69,2020-05-13,2,206,49
69,2020-05-13,3,208,59
69,2020-05-13,2,147,69
69,2020-05-13,5,137,79
69,2020-05-13,1,142,89
69,2020-05-13,4,70,90
70,2020-05-13,1,93,0
70,2020-05-13,0,3,09
70,2020-05-13,0,3,19
70,2020-05-13,0,3,29
70,2020-05-13,0,13,39
70,2020-05-13,0,16,49
70,2020-05-13,0,23,59
70,2020-05-13,0,13,69
70,2020-05-13,1,8,79
70,2020-05-13,0,8,89
70,2020-05-13,0,3,90
71,2020-05-13,5,484,0
71,2020-05-13,0,10,09
71,2020-05-13,0,17,19
71,2020-05-13,0,43,29
71,2020-05-13,1,57,39
71,2020-05-13,2,63,49
71,2020-05-13,0,72,59
71,2020-05-13,1,64,69
71,2020-05-13,0,40,79
71,2020-05-13,0,57,89
71,2020-05-13,0,40,90
72,2020-05-13,2,157,0
72,2020-05-13,0,5,09
72,2020-05-13,0,4,19
72,2020-05-13,0,19,29
72,2020-05-13,1,35,39
72,2020-05-13,1,35,49
72,2020-05-13,0,27,59
72,2020-05-13,0,14,69
72,2020-05-13,0,9,79
72,2020-05-13,0,6,89
72,2020-05-13,0,3,90
73,2020-05-13,2,166,0
73,2020-05-13,0,15,09
73,2020-05-13,0,6,19
73,2020-05-13,0,14,29
73,2020-05-13,0,25,39
73,2020-05-13,1,17,49
73,2020-05-13,0,29,59
73,2020-05-13,1,21,69
73,2020-05-13,0,12,79
73,2020-05-13,0,15,89
73,2020-05-13,0,12,90
74,2020-05-13,8,400,0
74,2020-05-13,0,19,09
74,2020-05-13,1,24,19
74,2020-05-13,1,56,29
74,2020-05-13,1,82,39
74,2020-05-13,2,77,49
74,2020-05-13,1,69,59
74,2020-05-13,0,34,69
74,2020-05-13,1,23,79
74,2020-05-13,0,8,89
74,2020-05-13,1,7,90
75,2020-05-13,38,1461,0
75,2020-05-13,0,62,09
75,2020-05-13,0,41,19
75,2020-05-13,6,195,29
75,2020-05-13,2,244,39
75,2020-05-13,2,208,49
75,2020-05-13,8,230,59
75,2020-05-13,10,198,69
75,2020-05-13,5,130,79
75,2020-05-13,2,92,89
75,2020-05-13,3,44,90
76,2020-05-13,15,431,0
76,2020-05-13,0,26,09
76,2020-05-13,0,24,19
76,2020-05-13,2,59,29
76,2020-05-13,0,60,39
76,2020-05-13,2,40,49
76,2020-05-13,3,70,59
76,2020-05-13,0,49,69
76,2020-05-13,0,36,79
76,2020-05-13,4,39,89
76,2020-05-13,4,28,90
77,2020-05-13,26,1047,0
77,2020-05-13,0,13,09
77,2020-05-13,3,44,19
77,2020-05-13,3,115,29
77,2020-05-13,2,151,39
77,2020-05-13,4,169,49
77,2020-05-13,3,179,59
77,2020-05-13,1,112,69
77,2020-05-13,1,98,79
77,2020-05-13,3,90,89
77,2020-05-13,6,72,90
78,2020-05-13,32,939,0
78,2020-05-13,2,30,09
78,2020-05-13,0,28,19
78,2020-05-13,4,121,29
78,2020-05-13,2,170,39
78,2020-05-13,3,149,49
78,2020-05-13,3,144,59
78,2020-05-13,8,97,69
78,2020-05-13,3,81,79
78,2020-05-13,5,75,89
78,2020-05-13,2,39,90
79,2020-05-13,11,199,0
79,2020-05-13,0,7,09
79,2020-05-13,0,7,19
79,2020-05-13,4,38,29
79,2020-05-13,2,37,39
79,2020-05-13,4,41,49
79,2020-05-13,0,31,59
79,2020-05-13,0,18,69
79,2020-05-13,0,9,79
79,2020-05-13,0,8,89
79,2020-05-13,1,3,90
80,2020-05-13,11,350,0
80,2020-05-13,0,9,09
80,2020-05-13,1,11,19
80,2020-05-13,0,18,29
80,2020-05-13,0,30,39
80,2020-05-13,3,50,49
80,2020-05-13,1,37,59
80,2020-05-13,0,42,69
80,2020-05-13,1,37,79
80,2020-05-13,2,66,89
80,2020-05-13,2,46,90
81,2020-05-13,6,435,0
81,2020-05-13,0,9,09
81,2020-05-13,0,9,19
81,2020-05-13,0,31,29
81,2020-05-13,1,49,39
81,2020-05-13,2,49,49
81,2020-05-13,0,44,59
81,2020-05-13,0,44,69
81,2020-05-13,3,44,79
81,2020-05-13,0,82,89
81,2020-05-13,0,67,90
82,2020-05-13,0,133,0
82,2020-05-13,0,8,09
82,2020-05-13,0,12,19
82,2020-05-13,0,14,29
82,2020-05-13,0,18,39
82,2020-05-13,0,16,49
82,2020-05-13,0,19,59
82,2020-05-13,0,20,69
82,2020-05-13,0,13,79
82,2020-05-13,0,6,89
82,2020-05-13,0,5,90
83,2020-05-13,1,554,0
83,2020-05-13,0,9,09
83,2020-05-13,0,20,19
83,2020-05-13,1,46,29
83,2020-05-13,0,84,39
83,2020-05-13,0,85,49
83,2020-05-13,0,90,59
83,2020-05-13,0,70,69
83,2020-05-13,0,56,79
83,2020-05-13,0,56,89
83,2020-05-13,0,33,90
84,2020-05-13,2,204,0
84,2020-05-13,0,6,09
84,2020-05-13,0,8,19
84,2020-05-13,1,21,29
84,2020-05-13,0,25,39
