,,26/2,27/2,28/2,29/2,1/3,2/3,3/3,4/3,5/3,6/3,7/3,8/3,9/3,10/3,11/3,12/3,13/3,14/3,15/3,16/3,17/3,18/3,19/3,20/3,21/3,22/3,23/3,24/3,25/3,26/3,27/3,28/3,29/3,30/3,31/3,1/4,2/4,3/4,4/4,5/4,6/4,7/4,8/4,9/4,10/4,11/4,12/4,13/4,14/4,15/4,16/4,17/4,18/4,19/4,20/4,21/4,22/4,23/4,24/4,25/4,26/4,27/4,28/4,29/4,30/4,1/5,2/5,3/5,4/5,5/5,6/5,7/5,8/5,9/5,10/5,11/5,12/5,13/5,14/5,15/5,16/5,17/5,18/5,19/5,20/5,21/5,22/5,23/5
Bahia,BA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,2,2,1,2,3,4,0,2,0,1,0,5,3,6,1,8,1,1,3,9,5,6,3,3,10,10,8,13,6,0,18,5,14,5,18,13,6,9,14,11,26,19,5,9,17,14,36,14,23,14
Ceará,CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,2,1,12,2,0,4,3,2,12,12,3,9,7,17,16,9,8,25,27,10,12,17,18,33,18,26,17,63,13,38,41,23,133,25,49,83,53,55,63,96,52,75,91,109,24,63,138,27,107,108,44,261,90,57
Maranhão,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,7,1,4,5,3,3,5,2,3,3,4,4,6,6,6,10,12,12,12,13,20,21,18,20,20,13,12,22,20,14,25,25,24,20,24,21,26,26,28,25,27,28,30,29,30,29
Paraíba,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,3,4,0,2,0,3,5,3,2,0,3,3,1,6,1,4,2,3,1,3,5,4,5,7,2,3,6,7,9,13,10,11,4,15,3,3,10,13,11,13,12,11,15,3,10
Pernambuco,PE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,0,2,1,1,4,7,9,4,12,10,9,7,13,17,13,28,17,26,19,11,18,26,22,30,40,29,34,35,58,30,27,38,25,24,39,58,54,42,82,45,75,40,70,67,74,83,80,55,124,101,93,91,132,87
Piauí,PI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,2,2,1,0,1,1,1,2,1,3,0,0,2,2,0,1,1,5,2,1,4,3,4,8,3,0,5,7,8,5,2,4,2,6
Rio Grande do Norte,RN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,2,0,1,3,0,0,2,2,2,1,1,1,3,1,1,2,1,1,5,4,2,4,1,3,5,3,0,3,2,1,6,4,4,5,6,1,4,1,12,12,5,14,3,7,14,10,8,3,3
Sergipe,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,1,1,1,0,2,0,0,3,4,2,2,3,5,1,3,0,5,5,3,3,4,2,4,6,7,6,4
Nordeste,(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,3,3,4,5,5,16,8,8,19,14,11,38,32,21,25,27,41,39,51,35,67,54,46,47,55,60,91,89,81,77,121,111,118,107,107,201,74,133,193,164,145,221,207,186,170,231,250,186,219,298,152,316,296,252,440,307,231
Espirito Santo,ES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,1,2,0,5,3,1,4,3,3,2,3,1,0,8,0,5,4,6,7,12,7,13,7,11,8,11,12,10,10,7,9,15,16,21,16,11,11,14,17,23,16,22,34,20
Minas Gerais,MG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,3,2,3,1,2,0,3,3,4,3,3,2,4,0,2,3,3,4,3,4,3,1,9,9,2,6,0,1,1,4,3,9,5,7,1,2,6,8,4,7,4,6,5,6,10,14,10,16
Rio de Janeiro,RJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,0,3,1,3,4,1,5,5,13,6,11,6,7,18,17,16,25,8,15,18,36,41,35,41,46,15,20,39,29,40,40,45,30,32,61,56,60,67,50,48,46,58,82,189,109,150,61,56,158,122,197,191,176,101,137,227,158,175,245,248
São Paulo,SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,5,6,7,8,10,8,10,10,16,14,15,23,28,24,31,41,15,29,67,57,68,44,20,28,20,87,83,75,75,63,24,22,56,41,211,167,155,33,125,224,198,128,136,75,41,27,197,194,161,210,192,101,34,206,169,197,186,187,94,41,324,216,195,215,272
Sudeste,(SE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,5,7,7,9,12,8,13,11,19,18,17,29,34,39,42,53,22,39,87,77,85,72,30,46,46,130,128,117,121,116,41,47,99,73,263,210,209,70,164,301,275,197,222,132,101,82,270,291,369,334,356,172,107,386,320,414,395,378,215,200,580,400,406,504,556
Paraná,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,2,3,2,4,2,5,3,1,4,1,5,2,3,1,4,2,3,0,6,3,4,5,3,3,2,5,1,6,1,3,1,5,2,3,2,1,2,2,2,4,2,1,3,1,3,2,8,4,5,4
Rio Grande do Sul,RS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,1,1,0,1,1,3,2,1,1,0,2,1,0,3,2,0,3,0,0,2,2,3,1,7,3,5,1,7,4,3,9,5,8,3,1,4,2,8,6,0,9,6,6,10,2,7,10,5,6,4
Santa Catarina,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-1,1,0,0,3,0,5,0,1,4,2,1,3,3,0,2,2,1,1,1,1,3,0,2,2,3,0,0,1,1,0,2,2,4,0,0,3,4,4,0,1,1,4,4,0,5,1,2,2,2,6,3,4,2,3
Sul,(S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,2,2,0,2,3,3,9,2,6,7,10,6,5,8,1,9,5,4,5,7,3,9,0,8,7,9,8,4,11,6,10,4,15,9,6,10,13,14,10,3,6,5,14,12,4,16,8,11,13,7,15,21,13,13,11
Distrito Federal,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,2,0,3,2,0,1,1,0,0,1,2,0,3,0,4,0,0,0,1,0,1,0,1,0,1,0,2,0,1,2,0,0,1,1,2,2,3,2,2,2,3,4,1,3,7,6,5,7,6,5
Goiás,GO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,2,0,1,2,4,1,0,0,1,0,2,0,1,0,2,2,1,1,0,1,1,0,2,0,1,0,0,8,6,0,5,-2,0,2,3,9,3,3,2,1,3,0,5,7,8,2
Mato Grosso,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,2,2,1,0,1,3,3,1,0,2,3,0,2,3,0
Mato Grosso do Sul,MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0
Centro-Oeste,(CO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,1,3,2,1,5,3,2,2,2,3,4,5,2,0,6,0,6,0,2,1,3,4,3,2,1,4,3,0,4,0,3,3,1,8,7,1,9,2,5,5,6,13,10,10,5,4,13,9,11,16,17,7
