,,26/2,27/2,28/2,29/2,1/3,2/3,3/3,4/3,5/3,6/3,7/3,8/3,9/3,10/3,11/3,12/3,13/3,14/3,15/3,16/3,17/3,18/3,19/3,20/3,21/3,22/3,23/3,24/3,25/3,26/3,27/3,28/3,29/3,30/3,31/3,1/4,2/4,3/4,4/4,5/4,6/4,7/4,8/4,9/4,10/4,11/4,12/4,13/4,14/4,15/4,16/4,17/4,18/4,19/4,20/4,21/4,22/4,23/4,24/4,25/4,26/4,27/4,28/4,29/4,30/4,1/5,2/5,3/5,4/5,5/5,6/5,7/5,8/5,9/5,10/5
Sudeste,(SE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,11,18,25,34,46,54,67,78,97,115,132,161,195,234,276,329,351,390,477,554,639,711,741,787,833,963,1091,1208,1329,1445,1486,1533,1632,1705,1968,2178,2387,2457,2621,2922,3197,3394,3616,3748,3849,3931,4201,4492,4861,5195,5551,5723
Paraná,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,4,4,6,9,11,15,17,22,25,26,30,31,36,38,41,42,46,48,51,51,57,60,64,69,72,75,77,82,83,89,90,93,94,99,101,104,106,107,109
Rio Grande do Sul,RS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,4,4,5,5,6,7,7,8,9,12,14,15,16,16,18,19,19,22,24,24,27,27,27,29,31,34,35,42,45,50,51,58,62,65,74,79,87,90,91,95,97
Santa Catarina,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,2,2,2,5,5,10,10,11,15,17,18,21,24,24,26,28,29,30,31,32,35,35,37,39,42,42,42,43,44,44,46,48,52,52,52,55,59,63,63,64,65
Sul,(S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,5,5,7,9,9,11,14,17,26,28,34,41,51,57,62,70,71,80,85,89,94,101,104,113,113,121,128,137,145,149,160,166,176,180,195,204,210,220,233,247,257,260,266,271
Distrito Federal,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,5,7,7,10,12,12,13,14,14,14,15,17,17,20,20,24,24,24,24,25,25,26,26,27,27,28,28,30,30,31,33,33,33,34,35,37,39,42
Goiás,GO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,3,5,5,7,7,8,10,14,15,15,15,16,16,18,18,19,19,21,23,24,25,25,26,27,27,29,29,30,30,30,38,44,44,49,47,47
Mato Grosso,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,4,4,4,5,5,5,5,6,6,6,7,8,9,9,10,11,11,11,11,12,12,13,13,13,13,14,16,18
Mato Grosso do Sul,MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,4,5,5,5,5,5,6,6,7,7,7,7,9,9,9,9,9,9,10,10,10,10,10,11,11,11
Centro-Oeste,(CO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,5,5,6,9,11,12,17,20,22,24,26,29,33,38,40,40,46,46,52,52,54,55,58,62,65,67,68,72,75,75,79,79,82,85,86,94,101,102,111,113,118
