Date,Country,Region,Event,Value
2020-01-22,CY,,Deaths,0
2020-01-22,CZ,,Confirmed,0
2020-01-22,CZ,,Deaths,0
2020-01-22,DE,,Confirmed,0
2020-01-22,DE,,Deaths,0
2020-01-22,DK,,Confirmed,0
2020-01-22,DK,,Deaths,0
2020-01-22,DO,,Confirmed,0
2020-01-22,DO,,Deaths,0
2020-01-22,DZ,,Confirmed,0
2020-01-22,DZ,,Deaths,0
2020-01-22,EC,,Confirmed,0
2020-01-22,EC,,Deaths,0
2020-01-22,EE,,Confirmed,0
2020-01-22,EE,,Deaths,0
2020-01-22,EG,,Confirmed,0
2020-01-22,EG,,Deaths,0
2020-01-22,ES,,Confirmed,0
2020-01-22,ES,,Deaths,0
2020-01-22,ET,,Confirmed,0
2020-01-22,ET,,Deaths,0
2020-01-22,FI,,Confirmed,0
2020-01-22,FI,,Deaths,0
2020-01-22,FR,,Confirmed,0
2020-01-22,FR,,Deaths,0
2020-01-22,GE,,Confirmed,0
2020-01-22,GE,,Deaths,0
2020-01-22,GF,,Confirmed,0
2020-01-22,GF,,Deaths,0
2020-01-22,GN,,Confirmed,0
2020-01-22,GN,,Deaths,0
2020-01-22,GP,,Confirmed,0
2020-01-22,GP,,Deaths,0
2020-01-22,GR,,Confirmed,0
2020-01-22,GR,,Deaths,0
2020-01-22,GY,,Confirmed,0
2020-01-22,GY,,Deaths,0
2020-01-22,HN,,Confirmed,0
2020-01-22,HN,,Deaths,0
2020-01-22,HR,,Confirmed,0
2020-01-22,HR,,Deaths,0
2020-01-22,HU,,Confirmed,0
2020-01-22,HU,,Deaths,0
2020-01-22,ID,,Confirmed,0
2020-01-22,ID,,Deaths,0
2020-01-22,IE,,Confirmed,0
2020-01-22,IE,,Deaths,0
2020-01-22,IL,,Confirmed,0
2020-01-22,IL,,Deaths,0
2020-01-22,IN,,Confirmed,0
2020-01-22,IN,,Deaths,0
2020-01-22,IQ,,Confirmed,0
2020-01-22,IQ,,Deaths,0
2020-01-22,IR,,Confirmed,0
2020-01-22,IR,,Deaths,0
2020-01-22,IS,,Confirmed,0
2020-01-22,IS,,Deaths,0
2020-01-22,IT,,Confirmed,0
2020-01-22,IT,,Deaths,0
2020-01-22,JM,,Confirmed,0
2020-01-22,JM,,Deaths,0
2020-01-22,JO,,Confirmed,0
2020-01-22,JO,,Deaths,0
2020-01-22,JP,,Confirmed,2
2020-01-22,JP,,Deaths,0
2020-01-22,KE,,Confirmed,0
2020-01-22,KE,,Deaths,0
2020-01-22,KH,,Confirmed,0
2020-01-22,KH,,Deaths,0
2020-01-22,KR,,Confirmed,1
2020-01-22,KR,,Deaths,0
2020-01-22,KW,,Confirmed,0
2020-01-22,KW,,Deaths,0
2020-01-22,KY,,Confirmed,0
2020-01-22,KY,,Deaths,0
2020-01-22,KZ,,Confirmed,0
2020-01-22,KZ,,Deaths,0
2020-01-22,LB,,Confirmed,0
2020-01-22,LB,,Deaths,0
2020-01-22,LI,,Confirmed,0
2020-01-22,LI,,Deaths,0
2020-01-22,LK,,Confirmed,0
2020-01-22,LK,,Deaths,0
2020-01-22,LT,,Confirmed,0
2020-01-22,LT,,Deaths,0
2020-01-22,LU,,Confirmed,0
2020-01-22,LU,,Deaths,0
2020-01-22,LV,,Confirmed,0
2020-01-22,LV,,Deaths,0
2020-01-22,MA,,Confirmed,0
2020-01-22,MA,,Deaths,0
2020-01-22,MC,,Confirmed,0
2020-01-22,MC,,Deaths,0
2020-01-22,MD,,Confirmed,0
2020-01-22,MD,,Deaths,0
2020-01-22,MK,,Confirmed,0
2020-01-22,MK,,Deaths,0
2020-01-22,MN,,Confirmed,0
2020-01-22,MN,,Deaths,0
2020-01-22,MQ,,Confirmed,0
2020-01-22,MQ,,Deaths,0
2020-01-22,MT,,Confirmed,0
2020-01-22,MT,,Deaths,0
2020-01-22,MV,,Confirmed,0
2020-01-22,MV,,Deaths,0
2020-01-22,MX,,Confirmed,0
2020-01-22,MX,,Deaths,0
2020-01-22,MY,,Confirmed,0
2020-01-22,MY,,Deaths,0
2020-01-22,NG,,Confirmed,0
2020-01-22,NG,,Deaths,0
2020-01-22,NL,,Confirmed,0
2020-01-22,NL,,Deaths,0
2020-01-22,NO,,Confirmed,0
2020-01-22,NO,,Deaths,0
2020-01-22,NP,,Confirmed,0
2020-01-22,NP,,Deaths,0
2020-01-22,NZ,,Confirmed,0
2020-01-22,NZ,,Deaths,0
2020-01-22,OM,,Confirmed,0
2020-01-22,OM,,Deaths,0
2020-01-22,PA,,Confirmed,0
2020-01-22,PA,,Deaths,0
2020-01-22,PE,,Confirmed,0
2020-01-22,PE,,Deaths,0
2020-01-22,PH,,Confirmed,0
2020-01-22,PH,,Deaths,0
2020-01-22,PK,,Confirmed,0
2020-01-22,PK,,Deaths,0
2020-01-22,PL,,Confirmed,0
2020-01-22,PL,,Deaths,0
2020-01-22,PT,,Confirmed,0
2020-01-22,PT,,Deaths,0
2020-01-22,PY,,Confirmed,0
2020-01-22,PY,,Deaths,0
2020-01-22,QA,,Confirmed,0
2020-01-22,QA,,Deaths,0
2020-01-22,RE,,Confirmed,0
2020-01-22,RE,,Deaths,0
2020-01-22,RO,,Confirmed,0
2020-01-22,RO,,Deaths,0
2020-01-22,RS,,Confirmed,0
2020-01-22,RS,,Deaths,0
2020-01-22,RU,,Confirmed,0
2020-01-22,RU,,Deaths,0
2020-01-22,SA,,Confirmed,0
2020-01-22,SA,,Deaths,0
2020-01-22,SD,,Confirmed,0
2020-01-22,SD,,Deaths,0
2020-01-22,SE,,Confirmed,0
2020-01-22,SE,,Deaths,0
2020-01-22,SG,,Confirmed,0
2020-01-22,SG,,Deaths,0
2020-01-22,SI,,Confirmed,0
2020-01-22,SI,,Deaths,0
2020-01-22,SK,,Confirmed,0
2020-01-22,SK,,Deaths,0
2020-01-22,SM,,Confirmed,0
2020-01-22,SM,,Deaths,0
2020-01-22,SN,,Confirmed,0
2020-01-22,SN,,Deaths,0
2020-01-22,TG,,Confirmed,0
2020-01-22,TG,,Deaths,0
2020-01-22,TH,,Confirmed,2
2020-01-22,TH,,Deaths,0
2020-01-22,TN,,Confirmed,0
2020-01-22,TN,,Deaths,0
2020-01-22,TR,,Confirmed,0
2020-01-22,TR,,Deaths,0
2020-01-22,TW,,Confirmed,1
2020-01-22,TW,,Deaths,0
2020-01-22,UA,,Confirmed,0
2020-01-22,UA,,Deaths,0
2020-01-22,UK,,Confirmed,0
2020-01-22,UK,,Deaths,0
2020-01-22,US,AK,Confirmed,0
2020-01-22,US,AK,Deaths,0
2020-01-22,US,AL,Confirmed,0
2020-01-22,US,AL,Deaths,0
2020-01-22,US,AR,Confirmed,0
2020-01-22,US,AR,Deaths,0
2020-01-22,US,AZ,Confirmed,0
2020-01-22,US,AZ,Deaths,0
2020-01-22,US,CA,Confirmed,0
2020-01-22,US,CA,Deaths,0
2020-01-22,US,CO,Confirmed,0
2020-01-22,US,CO,Deaths,0
2020-01-22,US,CT,Confirmed,0
2020-01-22,US,CT,Deaths,0
2020-01-22,US,DC,Confirmed,0
2020-01-22,US,DC,Deaths,0
2020-01-22,US,DE,Confirmed,0
2020-01-22,US,DE,Deaths,0
2020-01-22,US,Diamond Princess,Confirmed,0
2020-01-22,US,Diamond Princess,Deaths,0
2020-01-22,US,FL,Confirmed,0
2020-01-22,US,FL,Deaths,0
2020-01-22,US,GA,Confirmed,0
2020-01-22,US,GA,Deaths,0
2020-01-22,US,Grand Princess,Confirmed,0
2020-01-22,US,Grand Princess,Deaths,0
2020-01-22,US,HI,Confirmed,0
2020-01-22,US,HI,Deaths,0
2020-01-22,US,IA,Confirmed,0
2020-01-22,US,IA,Deaths,0
2020-01-22,US,ID,Confirmed,0
2020-01-22,US,ID,Deaths,0
2020-01-22,US,IL,Confirmed,0
2020-01-22,US,IL,Deaths,0
2020-01-22,US,IN,Confirmed,0
2020-01-22,US,IN,Deaths,0
2020-01-22,US,KS,Confirmed,0
2020-01-22,US,KS,Deaths,0
2020-01-22,US,KY,Confirmed,0
2020-01-22,US,KY,Deaths,0
2020-01-22,US,LA,Confirmed,0
2020-01-22,US,LA,Deaths,0
2020-01-22,US,MA,Confirmed,0
2020-01-22,US,MA,Deaths,0
2020-01-22,US,MD,Confirmed,0
2020-01-22,US,MD,Deaths,0
2020-01-22,US,ME,Confirmed,0
2020-01-22,US,ME,Deaths,0
2020-01-22,US,MI,Confirmed,0
2020-01-22,US,MI,Deaths,0
2020-01-22,US,MN,Confirmed,0
2020-01-22,US,MN,Deaths,0
2020-01-22,US,MO,Confirmed,0
2020-01-22,US,MO,Deaths,0
2020-01-22,US,MS,Confirmed,0
2020-01-22,US,MS,Deaths,0
2020-01-22,US,MT,Confirmed,0
2020-01-22,US,MT,Deaths,0
2020-01-22,US,NC,Confirmed,0
2020-01-22,US,NC,Deaths,0
2020-01-22,US,ND,Confirmed,0
2020-01-22,US,ND,Deaths,0
2020-01-22,US,NE,Confirmed,0
2020-01-22,US,NE,Deaths,0
2020-01-22,US,NH,Confirmed,0
2020-01-22,US,NH,Deaths,0
2020-01-22,US,NJ,Confirmed,0
2020-01-22,US,NJ,Deaths,0
2020-01-22,US,NM,Confirmed,0
2020-01-22,US,NM,Deaths,0
2020-01-22,US,NV,Confirmed,0
2020-01-22,US,NV,Deaths,0
2020-01-22,US,NY,Confirmed,0
2020-01-22,US,NY,Deaths,0
2020-01-22,US,OH,Confirmed,0
2020-01-22,US,OH,Deaths,0
2020-01-22,US,OK,Confirmed,0
2020-01-22,US,OK,Deaths,0
2020-01-22,US,OR,Confirmed,0
2020-01-22,US,OR,Deaths,0
2020-01-22,US,OR ,Confirmed,0
2020-01-22,US,OR ,Deaths,0
2020-01-22,US,PA,Confirmed,0
2020-01-22,US,PA,Deaths,0
2020-01-22,US,RI,Confirmed,0
2020-01-22,US,RI,Deaths,0
2020-01-22,US,SC,Confirmed,0
2020-01-22,US,SC,Deaths,0
2020-01-22,US,SD,Confirmed,0
2020-01-22,US,SD,Deaths,0
2020-01-22,US,TN,Confirmed,0
2020-01-22,US,TN,Deaths,0
2020-01-22,US,TX,Confirmed,0
2020-01-22,US,TX,Deaths,0
2020-01-22,US,UT,Confirmed,0
2020-01-22,US,UT,Deaths,0
2020-01-22,US,VA,Confirmed,0
2020-01-22,US,VA,Deaths,0
2020-01-22,US,VT,Confirmed,0
2020-01-22,US,VT,Deaths,0
2020-01-22,US,WA,Confirmed,1
2020-01-22,US,WA,Deaths,0
2020-01-22,US,WI,Confirmed,0
2020-01-22,US,WI,Deaths,0
2020-01-22,US,WV,Confirmed,0
2020-01-22,US,WV,Deaths,0
2020-01-22,US,WY,Confirmed,0
2020-01-22,US,WY,Deaths,0
2020-01-22,VA,,Confirmed,0
2020-01-22,VA,,Deaths,0
2020-01-22,VN,,Confirmed,0
2020-01-22,VN,,Deaths,0
2020-01-22,ZA,,Confirmed,0
2020-01-22,ZA,,Deaths,0
2020-01-23,??,Diamond Princess,Confirmed,0
2020-01-23,??,Diamond Princess,Deaths,0
2020-01-23,AD,,Confirmed,0
2020-01-23,AD,,Deaths,0
2020-01-23,AE,,Confirmed,0
2020-01-23,AE,,Deaths,0
2020-01-23,AF,,Confirmed,0
2020-01-23,AF,,Deaths,0
2020-01-23,AG,,Confirmed,0
2020-01-23,AG,,Deaths,0
2020-01-23,AL,,Confirmed,0
2020-01-23,AL,,Deaths,0
2020-01-23,AM,,Confirmed,0
2020-01-23,AM,,Deaths,0
2020-01-23,AR,,Confirmed,0
2020-01-23,AR,,Deaths,0
2020-01-23,AT,,Confirmed,0
2020-01-23,AT,,Deaths,0
2020-01-23,AU,,Confirmed,0
2020-01-23,AU,,Deaths,0
2020-01-23,AW,,Confirmed,0
2020-01-23,AW,,Deaths,0
2020-01-23,AZ,,Confirmed,0
2020-01-23,AZ,,Deaths,0
2020-01-23,BA,,Confirmed,0
2020-01-23,BA,,Deaths,0
2020-01-23,BD,,Confirmed,0
2020-01-23,BD,,Deaths,0
2020-01-23,BE,,Confirmed,0
2020-01-23,BE,,Deaths,0
2020-01-23,BF,,Confirmed,0
2020-01-23,BF,,Deaths,0
2020-01-23,BG,,Confirmed,0
2020-01-23,BG,,Deaths,0
2020-01-23,BH,,Confirmed,0
2020-01-23,BH,,Deaths,0
2020-01-23,BN,,Confirmed,0
2020-01-23,BN,,Deaths,0
2020-01-23,BO,,Confirmed,0
2020-01-23,BO,,Deaths,0
2020-01-23,BR,,Confirmed,0
2020-01-23,BR,,Deaths,0
2020-01-23,BT,,Confirmed,0
2020-01-23,BT,,Deaths,0
2020-01-23,BY,,Confirmed,0
2020-01-23,BY,,Deaths,0
2020-01-23,CA,,Confirmed,0
2020-01-23,CA,,Deaths,0
2020-01-23,CD,,Confirmed,0
2020-01-23,CD,,Deaths,0
2020-01-23,CH,,Confirmed,0
2020-01-23,CH,,Deaths,0
2020-01-23,CI,,Confirmed,0
2020-01-23,CI,,Deaths,0
2020-01-23,CL,,Confirmed,0
2020-01-23,CL,,Deaths,0
2020-01-23,CM,,Confirmed,0
2020-01-23,CM,,Deaths,0
2020-01-23,CN,Anhui,Confirmed,9
2020-01-23,CN,Anhui,Deaths,0
2020-01-23,CN,Beijing,Confirmed,22
2020-01-23,CN,Beijing,Deaths,0
2020-01-23,CN,Chongqing,Confirmed,9
2020-01-23,CN,Chongqing,Deaths,0
2020-01-23,CN,Fujian,Confirmed,5
2020-01-23,CN,Fujian,Deaths,0
2020-01-23,CN,Gansu,Confirmed,2
2020-01-23,CN,Gansu,Deaths,0
2020-01-23,CN,Guangdong,Confirmed,32
2020-01-23,CN,Guangdong,Deaths,0
2020-01-23,CN,Guangxi,Confirmed,5
2020-01-23,CN,Guangxi,Deaths,0
2020-01-23,CN,Guizhou,Confirmed,3
2020-01-23,CN,Guizhou,Deaths,0
2020-01-23,CN,Hainan,Confirmed,5
2020-01-23,CN,Hainan,Deaths,0
2020-01-23,CN,Hebei,Confirmed,1
2020-01-23,CN,Hebei,Deaths,1
2020-01-23,CN,Heilongjiang,Confirmed,2
2020-01-23,CN,Heilongjiang,Deaths,0
2020-01-23,CN,Henan,Confirmed,5
2020-01-23,CN,Henan,Deaths,0
2020-01-23,CN,Hong Kong,Confirmed,2
2020-01-23,CN,Hong Kong,Deaths,0
2020-01-23,CN,Hubei,Confirmed,444
2020-01-23,CN,Hubei,Deaths,17
2020-01-23,CN,Hunan,Confirmed,9
2020-01-23,CN,Hunan,Deaths,0
2020-01-23,CN,Inner Mongolia,Confirmed,0
2020-01-23,CN,Inner Mongolia,Deaths,0
2020-01-23,CN,Jiangsu,Confirmed,5
2020-01-23,CN,Jiangsu,Deaths,0
2020-01-23,CN,Jiangxi,Confirmed,7
2020-01-23,CN,Jiangxi,Deaths,0
2020-01-23,CN,Jilin,Confirmed,1
2020-01-23,CN,Jilin,Deaths,0
2020-01-23,CN,Liaoning,Confirmed,3
2020-01-23,CN,Liaoning,Deaths,0
2020-01-23,CN,Macau,Confirmed,2
2020-01-23,CN,Macau,Deaths,0
2020-01-23,CN,Ningxia,Confirmed,1
2020-01-23,CN,Ningxia,Deaths,0
2020-01-23,CN,Qinghai,Confirmed,0
2020-01-23,CN,Qinghai,Deaths,0
2020-01-23,CN,Shaanxi,Confirmed,3
2020-01-23,CN,Shaanxi,Deaths,0
2020-01-23,CN,Shandong,Confirmed,6
2020-01-23,CN,Shandong,Deaths,0
2020-01-23,CN,Shanghai,Confirmed,16
2020-01-23,CN,Shanghai,Deaths,0
2020-01-23,CN,Shanxi,Confirmed,1
2020-01-23,CN,Shanxi,Deaths,0
2020-01-23,CN,Sichuan,Confirmed,8
2020-01-23,CN,Sichuan,Deaths,0
2020-01-23,CN,Tianjin,Confirmed,4
2020-01-23,CN,Tianjin,Deaths,0
2020-01-23,CN,Tibet,Confirmed,0
2020-01-23,CN,Tibet,Deaths,0
2020-01-23,CN,Xinjiang,Confirmed,2
2020-01-23,CN,Xinjiang,Deaths,0
2020-01-23,CN,Yunnan,Confirmed,2
2020-01-23,CN,Yunnan,Deaths,0
2020-01-23,CN,Zhejiang,Confirmed,27
2020-01-23,CN,Zhejiang,Deaths,0
2020-01-23,CO,,Confirmed,0
2020-01-23,CO,,Deaths,0
2020-01-23,CR,,Confirmed,0
2020-01-23,CR,,Deaths,0
2020-01-23,CU,,Confirmed,0
2020-01-23,CU,,Deaths,0
2020-01-23,CY,,Confirmed,0
2020-01-23,CY,,Deaths,0
2020-01-23,CZ,,Confirmed,0
2020-01-23,CZ,,Deaths,0
2020-01-23,DE,,Confirmed,0
2020-01-23,DE,,Deaths,0
2020-01-23,DK,,Confirmed,0
2020-01-23,DK,,Deaths,0
2020-01-23,DO,,Confirmed,0
2020-01-23,DO,,Deaths,0
2020-01-23,DZ,,Confirmed,0
2020-01-23,DZ,,Deaths,0
2020-01-23,EC,,Confirmed,0
2020-01-23,EC,,Deaths,0
2020-01-23,EE,,Confirmed,0
2020-01-23,EE,,Deaths,0
2020-01-23,EG,,Confirmed,0
2020-01-23,EG,,Deaths,0
2020-01-23,ES,,Confirmed,0
2020-01-23,ES,,Deaths,0
2020-01-23,ET,,Confirmed,0
2020-01-23,ET,,Deaths,0
2020-01-23,FI,,Confirmed,0
2020-01-23,FI,,Deaths,0
2020-01-23,FR,,Confirmed,0
2020-01-23,FR,,Deaths,0
2020-01-23,GE,,Confirmed,0
2020-01-23,GE,,Deaths,0
2020-01-23,GF,,Confirmed,0
2020-01-23,GF,,Deaths,0
2020-01-23,GN,,Confirmed,0
2020-01-23,GN,,Deaths,0
2020-01-23,GP,,Confirmed,0
2020-01-23,GP,,Deaths,0
2020-01-23,GR,,Confirmed,0
2020-01-23,GR,,Deaths,0
2020-01-23,GY,,Confirmed,0
2020-01-23,GY,,Deaths,0
2020-01-23,HN,,Confirmed,0
2020-01-23,HN,,Deaths,0
2020-01-23,HR,,Confirmed,0
2020-01-23,HR,,Deaths,0
2020-01-23,HU,,Confirmed,0
2020-01-23,HU,,Deaths,0
2020-01-23,ID,,Confirmed,0
2020-01-23,ID,,Deaths,0
2020-01-23,IE,,Confirmed,0
2020-01-23,IE,,Deaths,0
2020-01-23,IL,,Confirmed,0
2020-01-23,IL,,Deaths,0
2020-01-23,IN,,Confirmed,0
2020-01-23,IN,,Deaths,0
2020-01-23,IQ,,Confirmed,0
2020-01-23,IQ,,Deaths,0
2020-01-23,IR,,Confirmed,0
2020-01-23,IR,,Deaths,0
2020-01-23,IS,,Confirmed,0
2020-01-23,IS,,Deaths,0
2020-01-23,IT,,Confirmed,0
2020-01-23,IT,,Deaths,0
2020-01-23,JM,,Confirmed,0
2020-01-23,JM,,Deaths,0
2020-01-23,JO,,Confirmed,0
2020-01-23,JO,,Deaths,0
2020-01-23,JP,,Confirmed,1
2020-01-23,JP,,Deaths,0
2020-01-23,KE,,Confirmed,0
2020-01-23,KE,,Deaths,0
2020-01-23,KH,,Confirmed,0
2020-01-23,KH,,Deaths,0
2020-01-23,KR,,Confirmed,1
2020-01-23,KR,,Deaths,0
2020-01-23,KW,,Confirmed,0
2020-01-23,KW,,Deaths,0
2020-01-23,KY,,Confirmed,0
2020-01-23,KY,,Deaths,0
2020-01-23,KZ,,Confirmed,0
2020-01-23,KZ,,Deaths,0
2020-01-23,LB,,Confirmed,0
2020-01-23,LB,,Deaths,0
2020-01-23,LI,,Confirmed,0
2020-01-23,LI,,Deaths,0
2020-01-23,LK,,Confirmed,0
2020-01-23,LK,,Deaths,0
2020-01-23,LT,,Confirmed,0
2020-01-23,LT,,Deaths,0
2020-01-23,LU,,Confirmed,0
2020-01-23,LU,,Deaths,0
2020-01-23,LV,,Confirmed,0
2020-01-23,LV,,Deaths,0
2020-01-23,MA,,Confirmed,0
2020-01-23,MA,,Deaths,0
2020-01-23,MC,,Confirmed,0
2020-01-23,MC,,Deaths,0
2020-01-23,MD,,Confirmed,0
2020-01-23,MD,,Deaths,0
2020-01-23,MK,,Confirmed,0
2020-01-23,MK,,Deaths,0
2020-01-23,MN,,Confirmed,0
2020-01-23,MN,,Deaths,0
2020-01-23,MQ,,Confirmed,0
2020-01-23,MQ,,Deaths,0
2020-01-23,MT,,Confirmed,0
2020-01-23,MT,,Deaths,0
2020-01-23,MV,,Confirmed,0
2020-01-23,MV,,Deaths,0
2020-01-23,MX,,Confirmed,0
2020-01-23,MX,,Deaths,0
2020-01-23,MY,,Confirmed,0
2020-01-23,MY,,Deaths,0
2020-01-23,NG,,Confirmed,0
2020-01-23,NG,,Deaths,0
2020-01-23,NL,,Confirmed,0
2020-01-23,NL,,Deaths,0
2020-01-23,NO,,Confirmed,0
2020-01-23,NO,,Deaths,0
2020-01-23,NP,,Confirmed,0
2020-01-23,NP,,Deaths,0
2020-01-23,NZ,,Confirmed,0
2020-01-23,NZ,,Deaths,0
2020-01-23,OM,,Confirmed,0
2020-01-23,OM,,Deaths,0
2020-01-23,PA,,Confirmed,0
2020-01-23,PA,,Deaths,0
2020-01-23,PE,,Confirmed,0
2020-01-23,PE,,Deaths,0
2020-01-23,PH,,Confirmed,0
2020-01-23,PH,,Deaths,0
2020-01-23,PK,,Confirmed,0
2020-01-23,PK,,Deaths,0
2020-01-23,PL,,Confirmed,0
2020-01-23,PL,,Deaths,0
2020-01-23,PT,,Confirmed,0
2020-01-23,PT,,Deaths,0
2020-01-23,PY,,Confirmed,0
2020-01-23,PY,,Deaths,0
2020-01-23,QA,,Confirmed,0
2020-01-23,QA,,Deaths,0
2020-01-23,RE,,Confirmed,0
2020-01-23,RE,,Deaths,0
2020-01-23,RO,,Confirmed,0
2020-01-23,RO,,Deaths,0
2020-01-23,RS,,Confirmed,0
2020-01-23,RS,,Deaths,0
2020-01-23,RU,,Confirmed,0
2020-01-23,RU,,Deaths,0
2020-01-23,SA,,Confirmed,0
2020-01-23,SA,,Deaths,0
2020-01-23,SD,,Confirmed,0
2020-01-23,SD,,Deaths,0
2020-01-23,SE,,Confirmed,0
2020-01-23,SE,,Deaths,0
2020-01-23,SG,,Confirmed,1
2020-01-23,SG,,Deaths,0
2020-01-23,SI,,Confirmed,0
2020-01-23,SI,,Deaths,0
2020-01-23,SK,,Confirmed,0
2020-01-23,SK,,Deaths,0
2020-01-23,SM,,Confirmed,0
2020-01-23,SM,,Deaths,0
