key,date,new_confirmed_male,new_confirmed_female,total_confirmed_male,total_confirmed_female,new_deceased_male,new_deceased_female,total_deceased_male,total_deceased_female,new_recovered_male,new_recovered_female,total_recovered_male,total_recovered_female,new_tested_male,new_tested_female,total_tested_male,total_tested_female,new_hospitalized_male,new_hospitalized_female,total_hospitalized_male,total_hospitalized_female,current_hospitalized_male,current_hospitalized_female,new_intensive_care_male,new_intensive_care_female,total_intensive_care_male,total_intensive_care_female,current_intensive_care_male,current_intensive_care_female,new_ventilator_male,new_ventilator_female,total_ventilator_male,total_ventilator_female,current_ventilator_male,current_ventilator_female
CO_05_05854,2020-06-16,1,1,1,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
CO_05_05873,2020-06-25,1,2,9,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
CO_05_05887,2020-06-25,1,1,4,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
CO_05_05890,2020-06-09,0,,3,0,0,,0,0,2,,2,0,,,,,,,,,,,,,,,,,,,,,,
CO_08,2020-06-25,319,253,10860,7034,1,0,588,282,209,141,3227,2094,,,,,,,,,,,,,,,,,,,,,,
CO_08_08001,2020-06-25,130,93,5860,3804,0,0,352,165,127,86,1626,1124,,,,,,,,,,,,,,,,,,,,,,
CO_08_08078,2020-06-25,23,13,251,183,0,0,5,6,3,0,44,24,,,,,,,,,,,,,,,,,,,,,,
CO_08_08137,2020-06-25,3,1,9,3,0,0,0,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,
CO_08_08141,2020-06-25,9,4,20,11,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
CO_08_08296,2020-06-25,18,13,368,225,0,0,16,6,5,2,80,36,,,,,,,,,,,,,,,,,,,,,,
CO_08_08372,2020-06-25,1,0,10,14,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,
CO_08_08421,2020-06-24,1,1,22,20,0,0,1,0,0,0,7,12,,,,,,,,,,,,,,,,,,,,,,
CO_08_08433,2020-06-25,11,14,626,359,0,0,42,19,13,5,243,127,,,,,,,,,,,,,,,,,,,,,,
CO_08_08436,2020-06-25,1,0,13,9,0,0,0,0,0,1,4,3,,,,,,,,,,,,,,,,,,,,,,
CO_08_08520,2020-06-25,3,2,90,41,0,0,1,0,1,0,41,22,,,,,,,,,,,,,,,,,,,,,,
CO_08_08549,2020-06-25,0,1,9,9,0,0,1,0,1,0,4,5,,,,,,,,,,,,,,,,,,,,,,
CO_08_08558,2020-06-25,3,1,66,34,0,0,1,0,2,0,15,5,,,,,,,,,,,,,,,,,,,,,,
CO_08_08560,2020-06-25,0,1,22,25,0,0,1,0,1,1,5,7,,,,,,,,,,,,,,,,,,,,,,
CO_08_08573,2020-06-25,2,3,194,123,0,0,6,5,2,1,37,18,,,,,,,,,,,,,,,,,,,,,,
CO_08_08606,2020-06-25,1,1,17,7,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
CO_08_08634,2020-06-25,6,1,174,132,0,0,3,4,3,1,67,50,,,,,,,,,,,,,,,,,,,,,,
CO_08_08638,2020-06-25,3,2,149,89,0,0,6,1,4,1,51,24,,,,,,,,,,,,,,,,,,,,,,
CO_08_08675,2020-06-25,1,1,11,10,0,0,0,1,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,
CO_08_08685,2020-06-25,6,6,94,48,0,0,4,0,1,1,36,15,,,,,,,,,,,,,,,,,,,,,,
CO_08_08758,2020-06-25,99,96,2766,1830,1,0,141,73,46,42,951,610,,,,,,,,,,,,,,,,,,,,,,
CO_08_08770,2020-06-18,3,2,10,8,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
CO_08_08832,2020-06-25,1,1,41,30,0,0,4,2,0,0,6,5,,,,,,,,,,,,,,,,,,,,,,
CO_08_08849,2020-06-25,2,1,38,20,0,0,1,0,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,
CO_11,2020-06-25,649,589,13553,11064,1,0,366,203,185,171,5849,4846,,,,,,,,,,,,,,,,,,,,,,
CO_11_11001,2020-06-25,649,589,13553,11064,1,0,366,203,185,171,5849,4846,,,,,,,,,,,,,,,,,,,,,,
CO_13,2020-06-25,218,152,4765,2847,0,0,190,110,167,91,2140,1386,,,,,,,,,,,,,,,,,,,,,,
CO_13_13001,2020-06-25,182,127,4296,2567,0,0,171,98,163,89,1990,1301,,,,,,,,,,,,,,,,,,,,,,
CO_13_13042,2020-06-21,,1,0,1,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
CO_13_13052,2020-06-25,3,6,86,48,0,0,3,1,1,1,23,13,,,,,,,,,,,,,,,,,,,,,,
CO_13_13074,2020-04-17,,1,0,1,,0,0,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
CO_13_13140,2020-06-25,4,3,14,9,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
CO_13_13188,2020-06-16,1,,1,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
CO_13_13222,2020-06-24,1,1,5,2,0,0,0,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,
CO_13_13244,2020-06-24,1,1,34,7,0,0,1,1,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,
CO_13_13430,2020-06-25,0,6,37,35,0,0,2,1,1,0,4,1,,,,,,,,,,,,,,,,,,,,,,
CO_13_13433,2020-06-25,2,1,18,17,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
CO_13_13442,2020-06-25,0,4,3,6,0,0,0,0,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,
CO_13_13468,2020-06-23,1,0,1,2,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
CO_13_13600,2020-06-13,1,,1,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
CO_13_13620,2020-06-22,1,1,2,1,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
CO_13_13647,2020-06-16,1,,1,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
CO_13_13654,2020-06-20,,1,0,2,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
CO_13_13657,2020-06-25,3,1,11,8,0,0,0,1,0,0,5,2,,,,,,,,,,,,,,,,,,,,,,
CO_13_13667,2020-06-17,1,,1,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
CO_13_13670,2020-06-18,1,2,1,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
CO_13_13673,2020-06-24,1,0,6,2,0,0,0,0,0,1,3,2,,,,,,,,,,,,,,,,,,,,,,
CO_13_13683,2020-06-25,2,1,43,25,0,0,4,2,0,2,25,16,,,,,,,,,,,,,,,,,,,,,,
CO_13_13688,2020-06-25,1,1,3,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
CO_13_13760,2020-06-25,2,6,2,7,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
CO_13_13810,2020-06-24,5,1,11,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
CO_13_13836,2020-06-25,12,4,131,65,0,0,4,2,2,0,59,31,,,,,,,,,,,,,,,,,,,,,,
CO_13_13838,2020-06-25,0,1,23,10,1,0,3,0,0,0,11,5,,,,,,,,,,,,,,,,,,,,,,
CO_13_13873,2020-06-25,9,5,33,27,0,0,1,3,0,0,10,13,,,,,,,,,,,,,,,,,,,,,,
CO_13_13894,2020-06-20,1,,1,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
CO_15,2020-06-25,3,2,177,155,0,0,6,9,0,0,94,104,,,,,,,,,,,,,,,,,,,,,,
CO_15_15001,2020-06-25,5,1,55,48,0,0,3,1,0,0,25,30,,,,,,,,,,,,,,,,,,,,,,
CO_15_15047,2020-06-13,0,0,1,1,0,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
CO_15_15109,2020-06-09,,0,0,1,,0,0,0,,1,0,1,,,,,,,,,,,,,,,,,,,,,,
CO_15_15131,2020-05-06,0,,1,0,0,,0,0,1,,1,0,,,,,,,,,,,,,,,,,,,,,,
CO_15_15176,2020-06-20,0,1,10,10,0,1,0,2,1,0,7,8,,,,,,,,,,,,,,,,,,,,,,
CO_15_15204,2020-06-21,0,0,5,3,0,0,0,0,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,
CO_15_15212,2020-06-03,,0,0,1,,0,0,0,,1,0,1,,,,,,,,,,,,,,,,,,,,,,
CO_15_15215,2020-06-23,0,,1,0,0,,0,0,1,,1,0,,,,,,,,,,,,,,,,,,,,,,
CO_15_15223,2020-05-28,0,0,1,2,0,0,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
CO_15_15224,2020-05-28,,0,0,2,,0,0,1,,1,0,1,,,,,,,,,,,,,,,,,,,,,,
CO_15_15238,2020-06-25,1,1,18,23,0,0,0,0,0,0,10,15,,,,,,,,,,,,,,,,,,,,,,
CO_15_15272,2020-06-17,1,,3,0,0,,0,0,0,,1,0,,,,,,,,,,,,,,,,,,,,,,
CO_15_15299,2020-06-01,0,0,3,1,0,0,1,0,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,
CO_15_15322,2020-06-20,1,1,7,6,0,0,1,0,0,0,4,4,,,,,,,,,,,,,,,,,,,,,,
CO_15_15325,2020-06-19,1,,2,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
CO_15_15407,2020-06-25,1,0,4,2,0,0,0,0,0,1,3,2,,,,,,,,,,,,,,,,,,,,,,
CO_15_15455,2020-05-21,0,,1,0,0,,0,0,1,,1,0,,,,,,,,,,,,,,,,,,,,,,
CO_15_15469,2020-06-24,3,1,5,3,0,0,0,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,
CO_15_15480,2020-05-19,0,,1,0,0,,0,0,1,,1,0,,,,,,,,,,,,,,,,,,,,,,
CO_15_15494,2020-06-11,0,,1,0,0,,0,0,1,,1,0,,,,,,,,,,,,,,,,,,,,,,
CO_15_15500,2020-04-11,,0,0,1,,0,0,0,,1,0,1,,,,,,,,,,,,,,,,,,,,,,
CO_15_15516,2020-05-27,1,0,2,4,0,0,0,1,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,
CO_15_15531,2020-06-03,0,,1,0,0,,0,0,1,,1,0,,,,,,,,,,,,,,,,,,,,,,
CO_15_15533,2020-05-28,0,0,1,1,0,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
CO_15_15599,2020-06-23,1,,1,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
CO_15_15646,2020-06-20,1,1,2,2,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
CO_15_15676,2020-06-03,,0,0,1,,0,0,0,,1,0,1,,,,,,,,,,,,,,,,,,,,,,
CO_15_15686,2020-06-06,0,0,2,2,0,0,0,0,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,
CO_15_15693,2020-05-15,,0,0,1,,0,0,0,,1,0,1,,,,,,,,,,,,,,,,,,,,,,
CO_15_15696,2020-05-24,0,,1,0,0,,0,0,1,,1,0,,,,,,,,,,,,,,,,,,,,,,
CO_15_15757,2020-06-15,1,0,2,2,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,
CO_15_15759,2020-06-25,1,2,16,16,0,0,0,2,0,0,1,6,,,,,,,,,,,,,,,,,,,,,,
CO_15_15774,2020-06-23,1,,1,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
CO_15_15776,2020-06-24,2,0,8,9,0,0,0,0,0,1,5,8,,,,,,,,,,,,,,,,,,,,,,
CO_15_15790,2020-05-27,1,,1,0,0,,1,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
CO_15_15798,2020-04-19,0,0,1,1,0,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
CO_15_15808,2020-05-31,,0,0,1,,0,0,0,,1,0,1,,,,,,,,,,,,,,,,,,,,,,
CO_15_15810,2020-05-29,0,,1,0,0,,0,0,1,,1,0,,,,,,,,,,,,,,,,,,,,,,
CO_15_15814,2020-06-18,2,0,3,2,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
CO_15_15816,2020-05-31,0,0,8,6,0,0,0,0,5,1,8,6,,,,,,,,,,,,,,,,,,,,,,
CO_15_15835,2020-05-26,0,0,2,1,0,0,0,0,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,
CO_15_15861,2020-06-19,0,0,4,2,0,0,0,0,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,
CO_15_15879,2020-05-21,0,,1,0,0,,0,0,1,,1,0,,,,,,,,,,,,,,,,,,,,,,
CO_17,2020-06-25,1,1,119,119,0,0,4,3,0,1,69,83,,,,,,,,,,,,,,,,,,,,,,
CO_17_17001,2020-06-25,1,1,62,56,0,0,1,1,0,0,30,31,,,,,,,,,,,,,,,,,,,,,,
CO_17_17013,2020-06-04,,0,0,1,,0,0,0,,1,0,1,,,,,,,,,,,,,,,,,,,,,,
CO_17_17042,2020-04-10,,0,0,1,,0,0,0,,1,0,1,,,,,,,,,,,,,,,,,,,,,,
CO_17_17050,2020-06-20,1,,1,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
CO_17_17174,2020-06-22,2,0,6,4,0,0,0,0,0,1,4,4,,,,,,,,,,,,,,,,,,,,,,
CO_17_17380,2020-06-25,0,0,35,40,0,0,1,1,1,1,24,31,,,,,,,,,,,,,,,,,,,,,,
CO_17_17433,2020-05-25,0,0,1,1,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
CO_17_17442,2020-05-08,0,,1,0,0,,0,0,1,,1,0,,,,,,,,,,,,,,,,,,,,,,
CO_17_17444,2020-06-22,1,0,5,2,0,0,0,0,0,1,4,2,,,,,,,,,,,,,,,,,,,,,,
CO_17_17486,2020-06-23,0,,1,0,0,,0,0,1,,1,0,,,,,,,,,,,,,,,,,,,,,,
CO_17_17495,2020-05-08,,0,0,1,,1,0,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
CO_17_17614,2020-06-19,0,,2,0,0,,0,0,1,,2,0,,,,,,,,,,,,,,,,,,,,,,
CO_17_17616,2020-05-15,,0,0,1,,0,0,0,,1,0,1,,,,,,,,,,,,,,,,,,,,,,
CO_17_17662,2020-06-05,,0,0,2,,0,0,0,,1,0,2,,,,,,,,,,,,,,,,,,,,,,
CO_17_17873,2020-06-17,1,0,5,8,0,0,1,0,0,1,3,7,,,,,,,,,,,,,,,,,,,,,,
CO_17_17877,2020-04-05,,0,0,2,,0,0,0,,1,0,2,,,,,,,,,,,,,,,,,,,,,,
CO_18,2020-06-19,0,0,16,10,0,0,1,0,1,1,13,9,,,,,,,,,,,,,,,,,,,,,,
CO_18_18001,2020-06-19,0,0,16,9,0,0,1,0,1,1,13,9,,,,,,,,,,,,,,,,,,,,,,
CO_18_18753,2020-05-13,,1,0,1,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
CO_19,2020-06-25,13,4,183,123,0,0,10,3,5,1,82,52,,,,,,,,,,,,,,,,,,,,,,
CO_19_19001,2020-06-25,6,1,70,45,0,0,2,1,0,0,30,19,,,,,,,,,,,,,,,,,,,,,,
CO_19_19075,2020-06-21,1,,1,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
CO_19_19110,2020-06-25,0,1,1,1,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
CO_19_19130,2020-06-19,1,,1,0,1,,1,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
CO_19_19137,2020-06-19,,1,0,1,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
CO_19_19142,2020-06-20,1,1,1,3,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,
CO_19_19212,2020-06-25,1,,1,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
CO_19_19256,2020-06-12,0,0,3,2,0,0,0,0,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,
CO_19_19300,2020-06-20,0,1,2,1,0,0,0,0,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,
CO_19_19318,2020-06-24,1,1,4,1,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
CO_19_19418,2020-06-21,0,,1,0,0,,0,0,1,,1,0,,,,,,,,,,,,,,,,,,,,,,
CO_19_19455,2020-06-25,1,2,14,7,0,0,1,1,0,0,3,2,,,,,,,,,,,,,,,,,,,,,,
CO_19_19532,2020-06-21,0,,1,0,0,,0,0,1,,1,0,,,,,,,,,,,,,,,,,,,,,,
CO_19_19548,2020-06-24,1,1,10,11,0,0,1,0,0,0,7,7,,,,,,,,,,,,,,,,,,,,,,
CO_19_19573,2020-06-25,2,0,40,26,0,0,2,0,3,1,21,13,,,,,,,,,,,,,,,,,,,,,,
CO_19_19698,2020-06-25,1,1,13,14,0,0,0,1,1,1,6,6,,,,,,,,,,,,,,,,,,,,,,
CO_19_19743,2020-06-25,1,1,3,1,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
CO_19_19807,2020-06-25,1,1,2,3,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,
CO_19_19809,2020-06-25,1,1,10,4,0,0,0,0,1,0,3,0,,,,,,,,,,,,,,,,,,,,,,
CO_19_19824,2020-05-22,0,,1,0,0,,0,0,1,,1,0,,,,,,,,,,,,,,,,,,,,,,
CO_19_19845,2020-06-25,1,1,4,3,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
CO_20,2020-06-25,4,2,442,341,0,0,14,8,12,9,176,132,,,,,,,,,,,,,,,,,,,,,,
CO_20_20001,2020-06-25,1,0,282,235,0,0,8,3,4,5,126,109,,,,,,,,,,,,,,,,,,,,,,
CO_20_20011,2020-06-25,1,2,13,18,0,0,0,1,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,
CO_20_20013,2020-06-24,0,1,38,27,0,0,1,0,2,1,16,6,,,,,,,,,,,,,,,,,,,,,,
CO_20_20045,2020-06-18,0,,2,0,0,,0,0,1,,2,0,,,,,,,,,,,,,,,,,,,,,,
CO_20_20060,2020-06-24,3,1,18,10,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,
CO_20_20175,2020-06-20,2,1,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
CO_20_20178,2020-06-22,0,1,4,2,0,0,0,1,1,0,4,1,,,,,,,,,,,,,,,,,,,,,,
CO_20_20228,2020-06-25,0,1,8,3,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
CO_20_20238,2020-06-21,0,1,11,9,0,0,0,1,2,0,4,1,,,,,,,,,,,,,,,,,,,,,,
CO_20_20250,2020-06-18,1,,2,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
CO_20_20295,2020-06-20,1,,2,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
CO_20_20310,2020-06-25,0,0,17,11,0,0,1,0,2,2,9,5,,,,,,,,,,,,,,,,,,,,,,
