key,date,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index
CV,2020-05-27,2,2,2,3,1,2,2,4,1,2,0,0,2,3,2,0,0,74.07
CY,2020-05-31,2,2,2,3,2,1,2,4,2,2,0,0,2,3,2,0,0,82.41
CZ,2020-06-01,2,2,1,2,0,0,0,1,2,2,0,0,2,2,2,0,0,43.52
DE,2020-05-28,2,2,2,3,0,0,0,3,2,1,0,0,2,3,1,0,0,50
DJ,2020-05-22,3,0,2,4,0,1,0,4,1,0,0,0,2,3,2,0,0,59.26
DK,2020-05-31,2,2,1,3,1,1,1,3,2,2,0,0,2,3,2,0,0,62.96
DM,2020-05-28,3,0,2,4,0,1,2,4,1,2,0,0,2,3,2,0,0,70.37
DO,2020-06-01,3,2,2,3,1,2,2,4,1,0,0,0,2,2,1,0,0,84.26
DZ,2020-05-28,3,2,2,4,2,2,2,3,1,1,0,0,2,0,0,0,0,83.8
EC,2020-05-28,3,3,2,3,2,2,2,4,1,2,0,0,2,3,1,0,0,86.11
EE,2020-06-01,1,2,2,4,0,2,0,2,0,2,0,0,2,2,0,0,0,56.02
EG,2020-05-30,3,2,2,1,2,2,2,4,0,1,0,0,2,1,2,0,0,84.26
ES,2020-06-03,3,2,2,4,1,2,2,4,2,2,0,0,2,2,1,0,0,81.02
ET,2020-06-01,3,2,2,4,1,1,2,2,0,0,0,0,2,1,2,0,0,73.15
FI,2020-05-30,2,2,2,3,1,1,1,3,1,0,0,0,2,1,1,0,0,65.74
FR,2020-05-25,2,2,2,3,1,1,2,4,2,2,0,0,2,2,2,0,0,65.74
GA,2020-05-29,3,2,2,4,1,3,2,4,0,2,0,0,1,3,2,0,0,82.41
GB,2020-05-27,3,2,2,4,1,1,1,0,2,2,0,0,2,1,0,0,0,66.67
GE,2020-05-25,3,2,2,3,2,1,2,4,1,1,0,0,2,2,2,0,0,86.11
GH,2020-05-25,3,1,2,3,1,0,0,4,0,2,0,0,2,3,2,0,0,62.04
GL,2020-06-03,2,0,1,2,0,1,1,4,0,0,0,0,2,3,2,0,0,50
GM,2020-05-25,3,2,2,4,1,1,1,4,0,0,0,0,2,1,1,0,0,77.78
GN,2020-05-26,3,2,2,3,1,2,2,4,0,0,0,0,2,2,1,0,0,78.7
GR,2020-05-29,2,1,2,3,1,2,2,3,1,1,0,0,2,2,0,0,0,68.52
GT,2020-05-28,3,3,2,4,2,2,2,4,1,2,0,0,2,2,2,0,0,96.3
GU,2020-05-23,3,3,2,4,1,1,0,3,1,0,0,0,2,2,1,0,0,73.15
GY,2020-06-02,3,3,2,4,1,2,2,4,0,1,0,0,2,1,2,,0,90.74
HK,2020-05-27,2,2,2,3,0,1,0,4,2,2,0,0,2,2,2,0,0,60.19
HN,2020-05-30,3,3,2,4,2,3,2,4,2,2,0,0,2,1,1,0,0,100
HR,2020-05-28,2,1,1,2,1,1,0,0,2,2,0,0,2,3,2,0,0,42.59
HT,2020-06-01,3,2,2,4,2,1,2,4,0,1,0,0,2,1,0,0,0,83.33
HU,2020-06-02,2,2,2,1,1,1,1,3,1,2,0,0,2,1,2,0,0,62.96
ID,2020-05-28,3,2,2,4,0,2,1,4,0,0,43000000000,0,2,1,2,0,338558,68.06
IE,2020-05-28,3,2,2,4,2,1,1,2,2,2,0,0,2,2,1,0,0,77.78
IL,2020-05-25,2,2,2,2,1,2,2,4,1,2,0,0,2,1,2,0,0,75
IN,2020-05-31,3,2,2,4,2,2,2,3,1,2,0,0,2,3,2,0,0,79.17
IQ,2020-05-25,3,2,2,4,1,2,2,4,1,1,0,0,2,2,0,0,0,82.41
IR,2020-06-03,2,2,2,0,2,1,2,0,1,2,0,0,2,2,2,0,0,52.78
IS,2020-05-27,2,2,2,3,0,0,0,3,2,2,0,0,2,3,1,0,0,53.7
IT,2020-06-01,3,1,2,0,0,1,2,3,1,1,0,0,2,2,2,0,0,60.19
JM,2020-06-03,3,2,2,4,1,2,2,4,1,1,0,0,2,1,1,0,0,87.04
JO,2020-05-28,3,2,2,4,0,1,2,4,1,1,0,0,2,2,1,0,0,77.78
JP,2020-05-28,3,0,1,0,0,0,0,3,1,2,0,0,2,1,1,0,0,28.7
KE,2020-06-03,3,2,2,4,2,3,2,4,1,1,0,0,2,1,1,0,0,93.52
KG,2020-05-31,3,2,2,4,2,2,2,4,1,1,0,0,1,1,1,0,0,79.17
KH,2020-06-03,3,0,2,4,,,2,2,,,,,,,,,,
KR,2020-06-03,3,2,2,4,0,1,1,3,1,1,0,0,2,3,2,0,0,56.94
KW,2020-05-24,3,3,2,4,2,3,2,4,1,1,0,0,2,2,2,0,0,100
KZ,2020-06-01,2,2,2,4,2,2,1,4,1,1,0,0,2,3,2,0,0,77.31
LA,2020-05-30,2,2,2,3,2,0,2,4,1,0,0,0,2,1,2,0,0,74.07
LB,2020-05-28,3,2,2,4,1,1,1,4,0,1,0,0,2,1,1,0,0,77.78
LK,2020-06-01,3,0,2,4,1,2,2,4,0,2,0,0,2,2,2,0,0,76.85
LR,2020-06-03,3,2,2,4,1,2,2,3,0,0,0,0,2,1,1,0,0,81.48
LS,2020-05-28,2,1,1,3,1,1,1,4,0,2,0,0,2,1,1,0,0,62.04
LT,2020-06-01,2,2,2,4,1,1,1,3,2,1,0,0,2,2,2,0,0,71.3
LU,2020-05-25,0,1,1,3,1,1,1,0,2,2,0,0,2,3,2,0,0,43.52
LY,2020-05-29,3,3,2,4,2,3,2,4,0,0,0,0,2,2,1,0,0,98.15
MA,2020-05-28,3,3,2,3,2,2,2,4,1,2,0,0,2,2,2,0,0,93.52
MD,2020-06-03,3,2,2,4,2,1,2,4,1,1,0,0,1,2,2,0,0,80.56
MG,2020-05-31,1,2,2,3,1,2,2,4,1,0,0,0,2,1,1,0,0,62.96
ML,2020-05-27,3,1,2,3,0,0,0,4,1,1,0,0,2,1,2,0,0,56.48
MM,2020-05-31,3,2,2,4,2,2,2,3,0,0,0,0,2,2,1,0,0,80.56
MN,2020-06-01,3,2,2,4,0,0,0,4,0,2,0,0,2,1,2,0,0,62.96
MO,2020-05-27,2,0,2,0,0,0,0,3,1,2,0,0,2,1,2,0,0,37.96
MR,2020-05-28,3,1,2,4,0,2,2,4,1,1,0,0,2,1,2,0,0,77.78
MU,2020-06-03,3,0,2,3,1,2,1,4,0,1,0,0,2,1,2,0,0,71.3
MW,2020-06-01,3,1,2,3,0,1,0,3,2,2,0,0,2,1,2,0,0,57.41
MX,2020-05-31,3,3,2,3,1,2,2,3,0,0,0,0,2,1,1,0,0,82.41
MY,2020-05-30,3,2,2,3,0,1,2,4,1,2,0,0,2,3,2,0,0,75
MZ,2020-05-30,3,0,2,3,0,1,0,4,0,0,0,0,2,1,2,0,0,45.37
"NA",2020-06-01,3,2,2,4,0,1,0,4,2,1,0,0,2,1,2,0,0,66.67
NE,2020-05-31,3,0,0,0,0,0,0,4,0,1,0,0,2,1,1,0,0,33.33
NG,2020-05-25,3,2,2,3,1,1,2,4,0,0,0,0,2,1,2,0,0,80.56
NI,2020-05-25,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,11.11
NL,2020-05-28,2,2,2,3,1,1,1,3,2,1,99045436,0,2,1,1,0,0,68.52
NO,2020-06-02,0,2,2,3,0,0,1,4,0,2,0,0,2,1,1,0,0,54.63
NP,2020-05-28,3,2,2,4,2,2,2,4,1,2,0,0,2,1,2,0,0,92.59
NZ,2020-06-02,0,0,1,2,0,0,0,4,2,1,0,0,2,2,2,0,0,33.33
OM,2020-05-25,3,2,2,4,2,1,2,4,2,0,0,0,2,2,2,0,0,84.26
PA,2020-06-03,3,2,2,3,0,2,2,4,1,2,0,0,2,2,1,2000000,0,78.7
PE,2020-06-02,3,2,2,4,2,2,2,4,1,2,0,0,2,2,1,0,0,89.81
PG,2020-05-29,0,2,2,4,0,1,0,2,0,0,0,0,2,2,2,0,0,46.76
PH,2020-06-01,3,2,2,4,1,1,1,2,1,0,0,0,2,2,2,0,0,72.22
PK,2020-05-29,3,2,2,4,1,1,2,3,1,2,0,0,2,2,1,0,0,72.22
PL,2020-06-01,2,2,1,2,1,0,2,4,1,1,0,0,2,1,0,0,0,64.81
PR,2020-05-25,3,2,2,4,2,2,2,3,1,2,0,0,2,1,2,0,0,89.81
PS,2020-05-30,3,2,2,4,2,2,2,4,0,2,0,0,2,1,1,0,0,83.33
PT,2020-06-03,2,2,2,3,1,1,1,3,1,1,0,0,2,3,1,0,0,57.41
PY,2020-06-01,3,2,2,4,1,2,1,4,1,2,0,0,2,2,1,0,0,81.48
QA,2020-06-03,3,2,2,4,2,1,1,4,2,0,0,0,2,3,2,0,0,83.33
RO,2020-05-28,3,2,2,4,0,1,1,4,2,2,0,0,2,3,1,0,0,72.22
RS,2020-05-28,2,2,2,3,0,1,0,0,1,1,0,0,2,1,2,0,0,49.07
RU,2020-05-25,3,2,2,4,1,3,2,4,0,2,0,0,2,3,2,0,0,78.24
RW,2020-06-01,3,2,2,3,1,1,1,4,0,1,0,0,2,3,2,0,0,75
SA,2020-05-27,3,2,2,4,2,3,2,4,2,1,0,0,2,2,2,0,0,91.67
SB,2020-06-01,2,2,2,0,0,0,1,3,0,0,0,0,2,0,0,0,0,43.52
SC,2020-05-31,0,2,2,4,0,1,1,4,0,0,0,0,2,2,2,0,0,61.11
SD,2020-05-28,3,2,2,3,2,2,2,4,1,1,0,0,2,2,1,0,0,85.19
SE,2020-06-03,1,1,1,3,0,0,1,3,2,1,0,0,2,1,1,0,0,46.3
SG,2020-05-31,3,2,2,4,1,2,2,2,1,2,0,0,2,2,2,0,0,81.48
SI,2020-06-03,2,0,2,3,0,0,0,2,1,2,0,0,2,2,2,0,0,42.13
SK,2020-05-28,3,2,2,3,1,1,1,4,2,2,0,0,2,1,2,0,0,73.15
SL,2020-05-28,3,0,2,3,1,1,2,4,0,0,0,0,2,2,2,0,0,73.15
SM,2020-06-01,3,2,2,4,0,1,1,2,1,1,0,0,2,2,2,0,0,66.67
SN,2020-05-31,3,0,2,2,0,3,2,4,1,2,0,0,2,2,2,0,0,61.11
SO,2020-05-30,3,1,2,3,0,1,0,4,0,0,0,0,2,1,0,0,0,60.19
SR,2020-06-01,3,0,1,4,2,2,2,4,0,0,0,0,2,1,1,0,0,77.78
SS,2020-05-30,3,2,2,2,0,2,2,2,0,0,0,0,2,2,2,0,0,70.37
SV,2020-06-01,3,3,2,4,2,3,2,4,1,2,389000000,0,2,3,1,0,0,100
SY,2020-05-27,3,2,2,3,2,2,0,3,0,0,0,0,2,1,0,0,0,71.3
SZ,2020-05-29,3,0,2,3,2,2,2,4,0,0,0,0,2,3,1,0,0,82.41
TD,2020-05-27,3,3,2,3,2,1,2,4,0,2,0,0,2,1,1,0,0,85.19
TH,2020-05-29,3,2,2,3,1,1,1,3,2,2,0,0,2,2,2,0,0,69.44
TJ,2020-06-03,2,2,2,0,0,1,0,4,0,1,1200000,0,2,1,1,0,0,48.15
TL,2020-06-02,3,0,2,4,0,1,0,4,2,1,0,0,2,,2,0,0,66.67
TM,2020-05-31,0,0,0,0,0,0,2,3,0,0,0,0,2,1,0,0,0,27.78
TN,2020-06-01,2,2,2,4,1,1,2,3,1,2,0,0,2,1,2,0,0,76.85
TR,2020-05-31,3,2,2,0,2,2,2,4,2,1,0,0,2,2,2,0,0,78.7
TT,2020-05-29,3,2,2,4,1,2,2,4,2,1,0,0,2,1,2,0,0,87.04
TW,2020-05-25,0,0,0,0,0,0,0,4,1,0,0,0,2,3,2,0,0,22.22
TZ,2020-05-27,2,0,2,3,0,0,0,4,0,0,0,0,2,0,1,0,0,46.3
UA,2020-05-28,2,2,2,4,2,1,2,4,1,1,0,0,2,1,1,0,0,79.63
UG,2020-06-01,3,2,2,4,2,1,2,3,0,2,0,0,2,1,1,0,0,80.56
US,2020-05-27,3,3,2,4,1,2,2,3,2,1,0,0,2,3,1,0,0,72.69
UY,2020-05-25,3,1,2,0,1,1,2,4,1,2,0,0,2,1,1,0,0,66.67
UZ,2020-05-28,3,2,2,4,2,2,2,4,0,2,0,0,2,1,2,0,0,86.11
VE,2020-06-01,3,3,2,4,0,2,2,4,0,2,0,0,2,3,0,0,0,85.19
VN,2020-05-24,0,2,2,3,1,0,2,4,1,0,0,0,2,3,2,0,0,65.74
XK,2020-06-01,3,2,2,3,1,2,2,4,1,2,1200000000,0,2,1,1,0,0,84.26
YE,2020-05-29,3,0,2,0,0,1,2,4,0,0,0,0,1,0,0,0,0,50.93
ZA,2020-05-28,3,2,2,3,1,2,2,4,1,0,0,0,2,3,2,0,0,84.26
ZM,2020-05-28,3,2,0,3,0,0,0,2,0,1,0,0,2,1,2,0,0,43.52
ZW,2020-05-28,3,3,2,3,1,2,2,4,1,0,0,0,2,1,1,0,0,87.96
