key,date,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
FR_OCC_81,2020-06-26,0,155,4,,,1,,,
FR_OCC_82,2020-06-26,0,55,3,,,1,,,
FR_PAC,2020-06-26,1,7162,566,,,33,,,
FR_PAC_04,2020-06-26,0,158,3,,,0,,,
FR_PAC_05,2020-06-26,0,147,8,,,0,,,
FR_PAC_06,2020-06-26,0,995,45,,,1,,,
FR_PAC_13,2020-06-26,1,4421,391,,,29,,,
FR_PAC_83,2020-06-26,0,1090,97,,,3,,,
FR_PAC_84,2020-06-26,0,351,22,,,0,,,
FR_PDL,2020-06-26,2,2866,165,,,5,,,
FR_PDL_44,2020-06-26,0,921,47,,,4,,,
FR_PDL_49,2020-06-26,0,805,57,,,1,,,
FR_PDL_53,2020-06-26,0,238,5,,,0,,,
FR_PDL_72,2020-06-26,2,548,35,,,0,,,
FR_PDL_85,2020-06-26,0,354,21,,,0,,,
GB_SCT,2020-06-26,467,91057,,17,8577,,,,
GB_SCT_S08000015,2020-06-26,5,3430,,5,692,,,,
GB_SCT_S08000016,2020-06-26,9,2105,,5,548,,,,
GB_SCT_S08000017,2020-06-26,5,945,,5,526,,,,
GB_SCT_S08000019,2020-06-26,5,2579,,5,544,,,,
GB_SCT_S08000020,2020-06-26,46,6164,,5,774,,,,
GB_SCT_S08000022,2020-06-26,7,1555,,5,521,,,,
GB_SCT_S08000024,2020-06-26,108,15891,,6,1630,,,,
GB_SCT_S08000025,2020-06-26,108,10044,,6,606,,,,
GB_SCT_S08000026,2020-06-26,108,10044,,6,606,,,,
GB_SCT_S08000028,2020-06-26,5,465,,5,505,,,,
GB_SCT_S08000029,2020-06-26,49,6983,,5,597,,,,
GB_SCT_S08000030,2020-06-26,5,3690,,5,616,,,,
GB_SCT_S08000031,2020-06-26,215,38190,,5,2719,,,,
GB_SCT_S08000032,2020-06-26,33,9871,,5,1264,,,,
IE,2020-05-17,16,3143,,,,,,,
IT,2020-06-26,,,1461,,,105,,,
IT_21,2020-06-26,,,321,,,14,,,
IT_23,2020-06-26,,,2,,,0,,,
IT_25,2020-06-26,,,548,,,47,,,
IT_34,2020-06-26,,,17,,,1,,,
IT_36,2020-06-26,,,13,,,0,,,
IT_42,2020-06-26,,,57,,,3,,,
IT_45,2020-06-26,,,121,,,12,,,
IT_52,2020-06-26,,,27,,,6,,,
IT_55,2020-06-26,,,3,,,1,,,
IT_57,2020-06-26,,,10,,,0,,,
IT_62,2020-06-26,,,198,,,13,,,
IT_65,2020-06-26,,,32,,,2,,,
IT_67,2020-06-26,,,1,,,0,,,
IT_72,2020-06-26,,,42,,,1,,,
IT_75,2020-06-26,,,27,,,0,,,
IT_77,2020-06-26,,,1,,,0,,,
IT_78,2020-06-26,,,9,,,0,,,
IT_82,2020-06-26,,,22,,,4,,,
IT_88,2020-06-26,,,5,,,0,,,
IT_BZ,2020-06-26,,,4,,,1,,,
IT_TN,2020-06-26,,,1,,,0,,,
LU,2020-06-25,,,13,,,1,,,
MX,2020-06-25,1,63844,,1,5483,,,,
MX_AGU,2020-06-25,0,466,,0,19,,,,
MX_BCN,2020-06-25,0,3682,,0,74,,,,
MX_BCS,2020-06-25,0,196,,0,21,,,,
MX_CAM,2020-06-25,0,494,,0,78,,,,
MX_CHH,2020-06-25,0,1406,,0,408,,,,
MX_CHP,2020-06-25,0,1336,,0,186,,,,
MX_CMX,2020-06-25,0,14896,,0,1293,,,,
MX_COA,2020-06-25,0,500,,0,22,,,,
MX_COL,2020-06-25,0,210,,0,21,,,,
MX_DUR,2020-06-25,0,318,,0,31,,,,
MX_GRO,2020-06-25,0,1605,,0,216,,,,
MX_GUA,2020-06-25,0,1337,,0,116,,,,
MX_HID,2020-06-25,0,1431,,1,125,,,,
MX_JAL,2020-06-25,0,1699,,0,182,,,,
MX_MEX,2020-06-25,0,11135,,0,373,,,,
MX_MIC,2020-06-25,0,1030,,0,64,,,,
MX_MOR,2020-06-25,0,1434,,0,52,,,,
MX_NAY,2020-06-25,0,457,,0,41,,,,
MX_NLE,2020-06-25,0,940,,0,156,,,,
MX_OAX,2020-06-25,0,1180,,0,132,,,,
MX_PUE,2020-06-25,0,3077,,0,306,,,,
MX_QUE,2020-06-25,0,779,,0,44,,,,
MX_ROO,2020-06-25,1,1220,,0,181,,,,
MX_SIN,2020-06-25,0,2637,,0,292,,,,
MX_SLP,2020-06-25,0,388,,0,57,,,,
MX_SON,2020-06-25,0,1610,,0,97,,,,
MX_TAB,2020-06-25,0,1871,,0,180,,,,
MX_TAM,2020-06-25,0,799,,0,49,,,,
MX_TLA,2020-06-25,0,717,,0,202,,,,
MX_VER,2020-06-25,0,3834,,0,363,,,,
MX_YUC,2020-06-25,0,914,,0,67,,,,
MX_ZAC,2020-06-25,0,246,,0,35,,,,
NL,2020-06-26,5,11807,,,,,,,
NL_DR,2020-06-26,0,116,,,,,,,
NL_DR_0106,2020-06-26,0,12,,,,,,,
NL_DR_0109,2020-06-26,0,13,,,,,,,
NL_DR_0114,2020-06-26,0,20,,,,,,,
NL_DR_0118,2020-06-26,0,19,,,,,,,
NL_DR_0119,2020-06-26,0,8,,,,,,,
NL_DR_1680,2020-06-26,0,1,,,,,,,
NL_DR_1681,2020-06-26,0,4,,,,,,,
NL_DR_1690,2020-06-26,0,11,,,,,,,
NL_DR_1699,2020-06-26,0,4,,,,,,,
NL_DR_1701,2020-06-26,0,9,,,,,,,
NL_DR_1730,2020-06-26,0,9,,,,,,,
NL_DR_1731,2020-06-26,0,6,,,,,,,
NL_FL,2020-06-26,-1,266,,,,,,,
